代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13301992.710000000894070
真實報酬,3301992.710000000894070

夏普值報酬,0.321499271000000
夏普值風險,0.081984381276438
夏普值,3.921469748194558

二次趨勢線,-19.985659129271401 x^2 + 28463.266660558962030 x + 10000000.000000000000000
二次平均預期報酬,25885.116632882953127
風險,130536.031112527023652
二次平均趨勢值,0.198298633812215
一次趨勢線,26537.177923929404642 x + 10000000.000000000000000
一次預期報酬,26537.177923929404642
一次風險,135669.150092500902247
一次趨勢值,0.195602153517112
找到最佳解世代,2592
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),BA[2](1),DD[7](7),NKE[19](2),
FS( 74 ),3030273.600000000093132,2892767.299999999813735,3140125.150000000372529,2970001.299999999813735,12033167.350000001490116
FS( 75 ),3046523.919999999925494,2861772.100000000093132,3110414.700000000186265,2955564.399999999906868,11974275.119999999180436
FS( 76 ),3061491.320000000298023,2914076.500000000000000,3163893.510000000242144,2988448.449999999720603,12127909.779999999329448
FS( 77 ),3082018.039999999571592,2961295.750000000000000,3183880.540000000037253,2989250.500000000000000,12216444.829999998211861
FS( 78 ),3108959.360000000335276,2966865.199999999720603,3177938.450000000186265,3045394.000000000000000,12299157.010000001639128
FS( 79 ),3185079.280000000260770,2941439.449999999720603,3181719.780000000260770,3051810.399999999906868,12360048.910000002011657
FS( 80 ),3176098.839999999850988,2965896.600000000093132,3196304.910000000149012,3046196.049999999813735,12384496.399999998509884
FS( 81 ),3206888.919999999925494,3124262.700000000186265,3156871.040000000037253,3030155.049999999813735,12518177.710000000894070
FS( 82 ),3249652.919999999925494,3123294.099999999627471,3124999.830000000074506,3028550.949999999720603,12526497.799999998882413
FS( 83 ),3213303.520000000018626,3176809.250000000000000,3040190.000000000000000,3035769.399999999906868,12466072.169999999925494
FS( 84 ),3237251.360000000335276,3145087.599999999627471,3008858.980000000447035,3028550.949999999720603,12419748.890000000596046
FS( 85 ),3156427.400000000372529,3139760.299999999813735,3035328.290000000037253,3044591.950000000186265,12376107.940000001341105
FS( 86 ),3206888.919999999925494,3140244.600000000093132,3020202.970000000204891,3053414.500000000000000,12420750.990000000223517
FS( 87 ),3193204.439999999944121,3160100.899999999906868,3036408.670000000391155,3038175.550000000279397,12427889.560000000521541
FS( 88 ),3176954.120000000111759,3221364.850000000093132,2996434.610000000335276,3050206.299999999813735,12444959.880000002682209
FS( 89 ),3218007.560000000055879,3215553.249999999534339,2954299.790000000037253,3063039.099999999627471,12450899.699999999254942
FS( 90 ),3209882.400000000372529,3234440.949999999720603,2978608.340000000316650,3095923.149999999906868,12518854.839999999850988
FS( 91 ),3182513.439999999944121,3222817.750000000000000,3020202.970000000204891,3078278.050000000279397,12503812.210000000894070
FS( 92 ),3130769.000000000000000,3184558.049999999813735,2974827.010000000242144,3035769.399999999906868,12325923.460000000894070
FS( 93 ),3180375.240000000223517,3232503.750000000000000,3051533.990000000223517,3092714.950000000186265,12557127.929999999701977
FS( 94 ),3170967.160000000149012,3209257.350000000093132,3050993.799999999813735,3094319.049999999813735,12525537.359999999403954
FS( 95 ),3176954.120000000111759,3204414.350000000093132,3026145.060000000521541,3083090.349999999627471,12490603.880000000819564
FS( 96 ),3180802.879999999888241,3224754.949999999720603,3046132.090000000316650,3121588.750000000000000,12573278.669999999925494
FS( 97 ),3226560.360000000335276,3271247.750000000000000,3085025.770000000018626,3153670.750000000000000,12736504.630000000819564
FS( 98 ),3207316.560000000055879,3295220.600000000093132,3094749.189999999944121,3176930.199999999720603,12774216.549999998882413
FS( 99 ),3168401.320000000298023,3350430.800000000279397,3067199.500000000000000,3151264.599999999627471,12737296.220000000670552
FS( 100 ),3173960.640000000130385,3317014.099999999627471,3054234.939999999944121,3120786.699999999720603,12665996.379999998956919
FS( 101 ),3146164.039999999571592,3207320.149999999441206,3020202.970000000204891,3121588.750000000000000,12495275.910000000149012
FS( 102 ),3183796.360000000335276,3218943.350000000093132,3048833.040000000037253,3132015.399999999906868,12583588.150000000372529
FS( 103 ),3175671.200000000186265,3292556.949999999720603,3050993.799999999813735,3163295.349999999627471,12682517.299999998882413
FS( 104 ),3199619.039999999571592,3220638.399999999906868,3000756.129999999888241,3173722.000000000000000,12594735.570000000298023
FS( 105 ),3258633.360000000335276,3263741.100000000093132,2984010.240000000223517,3192169.149999999906868,12698553.850000001490116
FS( 106 ),3335180.919999999925494,3262288.199999999720603,3007778.600000000093132,3181742.500000000000000,12786990.219999998807907
FS( 107 ),3397188.719999999739230,3250907.149999999906868,3005077.650000000372529,3173722.000000000000000,12826895.519999999552965
FS( 108 ),3367681.560000000055879,3248727.799999999813735,3075842.540000000037253,3172117.899999999906868,12864369.799999998882413
FS( 109 ),3459624.160000000149012,3196423.399999999906868,2978608.340000000316650,3173722.000000000000000,12808377.900000000372529
FS( 110 ),3451499.000000000000000,3184315.899999999906868,2991572.900000000372529,3160889.199999999720603,12788277.000000000000000
FS( 111 ),3469459.879999999888241,3214100.349999999627471,2969965.299999999813735,3166503.549999999813735,12820029.079999998211861
FS( 112 ),3421136.560000000055879,3273427.100000000093132,3020743.160000000149012,3202595.799999999813735,12917902.620000001043081
FS( 113 ),3460479.439999999944121,3261319.600000000093132,3138504.580000000074506,3199387.600000000093132,13059691.220000000670552
FS( 114 ),3454920.120000000111759,3237588.899999999441206,3214131.180000000167638,3176930.199999999720603,13083570.399999998509884
FS( 115 ),3429261.719999999739230,3209983.799999999813735,3157951.420000000391155,3081486.250000000000000,12878683.189999999478459
FS( 116 ),3424557.680000000167638,3219669.800000000279397,3135803.629999999888241,3057424.749999999534339,12837455.859999999403954
FS( 117 ),3386925.360000000335276,3240736.850000000093132,3194144.150000000372529,3063841.149999999906868,12885647.510000001639128
FS( 118 ),3405741.520000000018626,3262288.199999999720603,3200086.240000000223517,3065445.250000000000000,12933561.210000000894070
FS( 119 ),3390346.479999999981374,3290377.599999999627471,3246542.580000000074506,3078278.050000000279397,13005544.710000000894070
FS( 120 ),3364688.080000000540167,3280933.750000000000000,3347017.920000000391155,3150462.549999999813735,13143102.300000000745058
FS( 121 ),3326200.479999999981374,3273184.949999999720603,3377268.560000000521541,3138431.800000000279397,13115085.790000000968575
FS( 122 ),3353997.080000000540167,3309507.449999999720603,3368085.330000000074506,3101537.500000000000000,13133127.359999999403954
FS( 123 ),3482716.719999999739230,3302969.399999999906868,3375647.990000000223517,3092714.950000000186265,13254049.059999998658895
FS( 124 ),3468176.959999999962747,3313381.850000000093132,3417242.620000000111759,3114370.299999999813735,13313171.730000000447035
FS( 125 ),3445084.400000000372529,3348251.450000000186265,3450734.400000000372529,3136025.649999999906868,13380095.900000000372529
FS( 126 ),3421564.200000000186265,3315076.899999999906868,3430747.370000000111759,3134421.549999999813735,13301810.019999999552965
FS( 127 ),3387780.640000000130385,3291346.199999999720603,3430747.370000000111759,3157680.999999999534339,13267555.210000000894070
FS( 128 ),3427551.160000000149012,3305148.750000000000000,3415622.049999999813735,3153670.750000000000000,13301992.710000000894070
