代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12079958.679999999701977
真實報酬,2079958.679999999701977

夏普值報酬,0.199295868000000
夏普值風險,0.066670591036906
夏普值,2.989262055434261

二次趨勢線,112.045668615288704 x^2 + 4032.328331747324228 x + 10000000.000000000000000
二次平均預期報酬,18486.219583119567687
風險,159112.932048949529417
二次平均趨勢值,0.116183011305658
一次趨勢線,14830.566153784167909 x + 10000000.000000000000000
一次預期報酬,14830.566153784167909
一次風險,261277.103004654200049
一次趨勢值,0.056761828660968
找到最佳解世代,1834
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](3),NKE[19](4),PG[21](1),UNH[23](2),WMT[28](7),
FS( 35 ),2156679.630000000353903,2013333.319999999832362,2086024.069999999832362,2038588.340000000083819,1989373.199999999953434,10283998.559999998658895
FS( 36 ),2218275.990000000223517,2023589.719999999972060,2089051.310000000055879,2037611.420000000158325,1991498.559999999823049,10360027.000000000000000
FS( 37 ),2228053.190000000409782,2024102.540000000037253,2100908.000000000000000,2045915.239999999990687,2007173.089999999850988,10406152.060000000521541
FS( 38 ),2225120.030000000260770,2033333.299999999813735,2103682.969999999739230,2046159.469999999972060,2011955.150000000139698,10420250.919999999925494
FS( 39 ),2229275.340000000316650,2051794.819999999832362,2107467.020000000018626,2057394.049999999813735,2010892.469999999972060,10456823.700000001117587
FS( 40 ),2239785.830000000074506,2037948.680000000167638,2103430.699999999720603,2078886.290000000037253,2006376.079999999841675,10466427.580000000074506
FS( 41 ),2245652.150000000372529,2044102.520000000018626,2101664.810000000055879,2109659.269999999552965,2015143.189999999944121,10516221.939999999478459
FS( 42 ),2261295.670000000391155,2021025.619999999878928,2094601.250000000000000,2108682.350000000558794,2016471.540000000037253,10502076.429999999701977
FS( 43 ),2285494.240000000223517,2014358.959999999962747,2096619.409999999916181,2116986.169999999925494,2005844.739999999990687,10519303.520000001415610
FS( 44 ),2228053.190000000409782,2032820.479999999981374,2093339.900000000139698,2109903.500000000000000,2012486.489999999990687,10476603.560000000521541
FS( 45 ),2175500.740000000223517,2021025.619999999878928,2091321.739999999990687,2119672.700000000186265,2019393.910000000149012,10426914.710000000894070
FS( 46 ),2198232.730000000447035,2049230.719999999972060,2111503.339999999850988,2126266.910000000149012,2034005.760000000009313,10519239.459999999031425
FS( 47 ),2239296.970000000204891,2103589.640000000130385,2113269.229999999981374,2143118.780000000260770,2059244.410000000149012,10658519.030000001192093
FS( 48 ),2219987.000000000000000,2112820.400000000372529,2101917.079999999608845,2147026.459999999962747,2033208.750000000000000,10614959.690000001341105
FS( 49 ),2173789.730000000447035,2098461.439999999944121,2093592.169999999925494,2162901.410000000149012,2038787.819999999832362,10567532.570000000298023
FS( 50 ),2181611.490000000223517,2114871.680000000167638,2109989.719999999739230,2130907.280000000260770,2032677.410000000149012,10570057.580000000074506
FS( 51 ),2180878.200000000186265,2097948.619999999646097,2106205.669999999925494,2126755.370000000111759,2021784.939999999944121,10533572.799999998882413
FS( 52 ),2171589.860000000335276,2098461.439999999944121,2100403.459999999962747,2104774.669999999925494,2013017.829999999841675,10488247.259999999776483
FS( 53 ),2184789.080000000074506,2092820.420000000158325,2115791.930000000167638,2101111.219999999739230,2014080.510000000009313,10508593.159999998286366
FS( 54 ),2206543.350000000093132,2082051.200000000186265,2121089.600000000093132,2128709.209999999962747,2027629.679999999701977,10566023.039999999105930
FS( 55 ),2229764.200000000186265,2090256.319999999832362,2123107.759999999776483,2124557.299999999813735,2025504.319999999832362,10593189.899999998509884
FS( 56 ),2251029.610000000335276,2102051.180000000167638,2123864.569999999832362,2140188.019999999552965,2024972.979999999981374,10642106.360000001266599
FS( 57 ),2257140.360000000335276,2097948.619999999646097,2130928.129999999888241,2144339.929999999701977,2041444.520000000018626,10671801.559999998658895
FS( 58 ),2246141.010000000242144,2069230.700000000186265,2139505.310000000055879,2143607.240000000223517,2027364.010000000009313,10625848.270000001415610
FS( 59 ),2236363.810000000055879,2054358.920000000158325,2130171.319999999832362,2114788.100000000558794,2008501.439999999944121,10544183.590000001713634
FS( 60 ),2273761.600000000093132,2072820.440000000176951,2150352.919999999925494,2154353.360000000335276,2047820.599999999860302,10699108.919999999925494
FS( 61 ),2246385.440000000409782,2045128.160000000149012,2127396.350000000093132,2104774.669999999925494,2022316.280000000027940,10546000.900000000372529
FS( 62 ),2269361.860000000335276,2294871.500000000000000,2133703.100000000093132,2115032.330000000074506,2032146.069999999832362,10845114.860000001266599
FS( 63 ),2270339.580000000074506,2285127.919999999925494,2130171.319999999832362,2112834.259999999776483,2021253.599999999860302,10819726.679999999701977
FS( 64 ),2242474.560000000055879,2287179.200000000186265,2112512.419999999925494,2106484.280000000260770,2031614.729999999981374,10780265.190000001341105
FS( 65 ),2224875.600000000093132,2248717.700000000186265,2097376.219999999739230,2073024.770000000018626,2022316.280000000027940,10666310.570000000298023
FS( 66 ),2254696.060000000055879,2289743.299999999813735,2095105.789999999804422,2073513.230000000214204,2025238.650000000139698,10738297.029999999329448
FS( 67 ),2286471.960000000428408,2315384.299999999813735,2113773.770000000018626,2100866.990000000223517,2054196.679999999701977,10870693.699999999254942
FS( 68 ),2279627.920000000391155,2287692.020000000018626,2108223.829999999608845,2078153.600000000093132,2054993.689999999944121,10808691.059999998658895
FS( 69 ),2260317.950000000186265,2258461.279999999795109,2097880.759999999776483,2056172.899999999906868,2053665.339999999850988,10726498.230000000447035
FS( 70 ),2299915.610000000335276,2277948.439999999944121,2123612.300000000279397,2115520.790000000037253,2078638.319999999832362,10895635.460000000894070
FS( 71 ),2274983.750000000000000,2236922.839999999850988,2110494.259999999776483,2074490.149999999906868,2068542.859999999869615,10765433.859999999403954
FS( 72 ),2262273.390000000130385,2235897.200000000186265,2136478.069999999832362,2085480.500000000000000,2079966.670000000158325,10800095.830000000074506
FS( 73 ),2214609.540000000037253,2189743.400000000372529,2103178.430000000167638,2050311.380000000121072,2060572.760000000009313,10618415.510000001639128
FS( 74 ),2202388.040000000037253,2182051.099999999627471,2107719.290000000037253,2022713.389999999897555,2071730.900000000139698,10586602.720000000670552
FS( 75 ),2147391.290000000037253,2184102.380000000353903,2092583.090000000083819,2006594.209999999962747,1997874.640000000130385,10428545.609999999403954
FS( 76 ),2172567.580000000074506,2231794.640000000130385,2074671.919999999925494,2085480.500000000000000,1961212.179999999701977,10525726.820000000298023
FS( 77 ),2205810.060000000055879,2235384.380000000353903,2100655.729999999981374,2153620.669999999925494,1968650.939999999944121,10664121.779999999329448
FS( 78 ),2245163.290000000037253,2279486.900000000372529,2123612.300000000279397,2162412.950000000186265,1996280.620000000111759,10806956.060000002384186
FS( 79 ),2302604.340000000316650,2324102.240000000223517,2134459.910000000149012,2221272.379999999888241,2019659.579999999841675,11002098.450000001117587
FS( 80 ),2281583.360000000335276,2304102.259999999776483,2124873.649999999906868,2192453.240000000223517,2019925.250000000000000,10922937.759999999776483
FS( 81 ),2317270.140000000130385,2317435.580000000074506,2099646.649999999906868,2214189.709999999962747,2025769.989999999990687,10974312.070000002160668
FS( 82 ),2321914.310000000055879,2330768.900000000372529,2148334.759999999776483,2238124.250000000000000,2029223.699999999953434,11068365.919999999925494
FS( 83 ),2333646.950000000186265,2349743.240000000223517,2168264.089999999850988,2250091.519999999552965,2034802.770000000018626,11136548.570000000298023
FS( 84 ),2361023.110000000335276,2370768.859999999869615,2181382.129999999888241,2262547.250000000000000,2028426.689999999944121,11204148.040000000968575
FS( 85 ),2356867.800000000279397,2357948.359999999869615,2183148.020000000018626,2270362.610000000335276,2029489.370000000111759,11197816.160000000149012
FS( 86 ),2383755.100000000093132,2384615.000000000000000,2193238.819999999832362,2292831.769999999552965,2031083.390000000130385,11285524.080000000074506
FS( 87 ),2383755.100000000093132,2384102.180000000167638,2201563.729999999981374,2320429.759999999776483,2026301.329999999841675,11316152.099999999627471
FS( 88 ),2348801.610000000335276,2396409.859999999869615,2204338.699999999720603,2316766.309999999590218,2026567.000000000000000,11292883.480000000447035
FS( 89 ),2345624.020000000018626,2409230.359999999869615,2236124.719999999739230,2319697.070000000298023,2052602.660000000149012,11363278.830000000074506
FS( 90 ),2341224.280000000260770,2427691.880000000353903,2245206.439999999944121,2339723.929999999701977,2064292.140000000130385,11418138.669999999925494
FS( 91 ),2378133.210000000428408,2425640.599999999627471,2242683.740000000223517,2349737.360000000335276,2067214.510000000009313,11463409.419999999925494
FS( 92 ),2386932.690000000409782,2404614.979999999981374,2248485.949999999720603,2286237.559999999590218,2092718.829999999841675,11418990.009999999776483
FS( 93 ),2399398.620000000111759,2434871.359999999869615,2256558.589999999850988,2314079.780000000260770,2110518.719999999739230,11515427.070000000298023
FS( 94 ),2398909.760000000242144,2432820.080000000074506,2262108.529999999795109,2337037.400000000372529,2099094.910000000149012,11529970.679999999701977
FS( 95 ),2407464.810000000055879,2456922.619999999646097,2257315.399999999906868,2336793.169999999925494,2104142.639999999664724,11562638.640000000596046
FS( 96 ),2419930.740000000223517,2464614.919999999925494,2235115.639999999664724,2342166.230000000447035,2203503.219999999739230,11665330.750000000000000
FS( 97 ),2401354.060000000055879,2448717.500000000000000,2222754.410000000149012,2322872.059999999590218,2204034.559999999590218,11599732.589999999850988
FS( 98 ),2396221.030000000260770,2463076.459999999962747,2215943.120000000111759,2356087.339999999850988,2220240.429999999701977,11651568.379999998956919
FS( 99 ),2346112.880000000353903,2473845.680000000167638,2218718.089999999850988,2398094.900000000372529,2226085.169999999925494,11662856.720000000670552
FS( 100 ),2363711.840000000316650,2486153.359999999869615,2238395.149999999906868,2365612.309999999590218,2257965.570000000298023,11711838.230000000447035
FS( 101 ),2384977.250000000000000,2494871.299999999813735,2231836.129999999888241,2365368.080000000074506,2247073.099999999627471,11724125.859999999403954
FS( 102 ),2402331.780000000260770,2497948.220000000204891,2235115.639999999664724,2361948.860000000335276,2248932.790000000037253,11746277.289999999105930
FS( 103 ),2405264.940000000409782,2511794.359999999869615,2222754.410000000149012,2366589.230000000447035,2268858.040000000037253,11775260.980000000447035
FS( 104 ),2371289.170000000391155,2494871.299999999813735,2240161.040000000037253,2391012.230000000447035,2256902.889999999664724,11754236.630000002682209
FS( 105 ),2388154.840000000316650,2507691.799999999813735,2242179.199999999720603,2396141.059999999590218,2257699.900000000372529,11791866.799999998882413
FS( 106 ),2429707.940000000409782,2546153.299999999813735,2281281.050000000279397,2408841.019999999552965,2325711.419999999925494,11991694.730000000447035
FS( 107 ),2416997.580000000074506,2505127.700000000186265,2272451.600000000093132,2419342.910000000149012,2290642.979999999515712,11904562.769999999552965
FS( 108 ),2399398.620000000111759,2513845.640000000130385,2297426.329999999608845,2438148.620000000111759,2295425.040000000037253,11944244.250000000000000
FS( 109 ),2409909.110000000335276,2525640.500000000000000,2270433.439999999944121,2461838.929999999701977,2256637.219999999739230,11924459.199999999254942
FS( 110 ),2418708.590000000316650,2539999.459999999962747,2285065.100000000093132,2434240.940000000409782,2251855.160000000149012,11929869.250000000000000
FS( 111 ),2435574.260000000242144,2547178.939999999944121,2280019.699999999720603,2450360.120000000111759,2234852.280000000260770,11947985.300000000745058
FS( 112 ),2454884.230000000447035,2505640.520000000018626,2289605.959999999962747,2440346.690000000409782,2237774.650000000372529,11928252.050000000745058
FS( 113 ),2435574.260000000242144,2488204.640000000130385,2288344.609999999869615,2467211.990000000223517,2219974.759999999776483,11899310.259999999776483
FS( 114 ),2418464.160000000149012,2504102.060000000055879,2270433.439999999944121,2420075.600000000558794,2204565.900000000372529,11817641.160000002011657
FS( 115 ),2450973.350000000093132,2485640.540000000037253,2280776.509999999776483,2435706.320000000298023,2227147.849999999627471,11880244.570000000298023
FS( 116 ),2438996.280000000260770,2466153.380000000353903,2259081.290000000037253,2412016.009999999776483,2226616.509999999776483,11802863.470000000670552
FS( 117 ),2445595.890000000130385,2447179.040000000037253,2250251.839999999850988,2400048.740000000223517,2230070.219999999739230,11773145.730000000447035
FS( 118 ),2372511.320000000298023,2390256.020000000018626,2254288.160000000149012,2340945.080000000074506,2204034.559999999590218,11562035.140000000596046
FS( 119 ),2418464.160000000149012,2423076.500000000000000,2288092.339999999850988,2421296.750000000000000,2237774.650000000372529,11788704.400000000372529
FS( 120 ),2460750.550000000279397,2489230.279999999795109,2320887.439999999944121,2497008.049999999813735,2283204.219999999739230,12051080.539999999105930
FS( 121 ),2491548.730000000447035,2431794.439999999944121,2322148.790000000037253,2503113.799999999813735,2262481.959999999962747,12011087.719999998807907
FS( 122 ),2529924.240000000223517,2459999.540000000037253,2336023.639999999664724,2516546.450000000186265,2294893.700000000186265,12137387.570000000298023
FS( 123 ),2536279.420000000391155,2461025.180000000167638,2353430.270000000018626,2511906.080000000074506,2302332.459999999962747,12164973.410000000149012
FS( 124 ),2531390.820000000298023,2469230.299999999813735,2349646.219999999739230,2507754.169999999925494,2296222.049999999813735,12154243.559999998658895
FS( 125 ),2536034.990000000223517,2483076.439999999944121,2357718.859999999869615,2504579.179999999701977,2308974.209999999962747,12190383.679999999701977
FS( 126 ),2555100.530000000260770,2494871.299999999813735,2337032.719999999739230,2499206.120000000111759,2301801.120000000111759,12188011.789999999105930
FS( 127 ),2548745.350000000093132,2484102.080000000074506,2330978.240000000223517,2511906.080000000074506,2305786.169999999925494,12181517.919999999925494
FS( 128 ),2565855.450000000186265,2465640.560000000055879,2297930.870000000111759,2468921.600000000558794,2281610.200000000186265,12079958.679999999701977
