代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13333416.179999997839332
真實報酬,3333416.179999997839332

夏普值報酬,0.324641618000000
夏普值風險,0.111002365623494
夏普值,2.924636931623092

二次趨勢線,60.520322531157277 x^2 + 508.093582414512866 x + 10000000.000000000000000
二次平均預期報酬,15880.255505328459549
風險,316032.789565602084622
二次平均趨勢值,0.050248759083374
一次趨勢線,12014.475140098624252 x + 10000000.000000000000000
一次預期報酬,12014.475140098624252
一次風險,537880.084195106057450
一次趨勢值,0.022336716850332
找到最佳解世代,1894
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),HD[9](3),KO[14](9),V[25](1),VZ[26](11),WMT[28](13),
FS( 26 ),1723053.550000000046566,1744347.999999999767169,1716596.000000000000000,1897305.500000000000000,1719509.649999999906868,1672497.670000000158325,10473314.369999999180436
FS( 27 ),1735208.950000000186265,1724103.599999999860302,1714598.800000000046566,1888046.250000000000000,1722266.709999999497086,1659913.540000000037253,10444141.849999997764826
FS( 28 ),1707521.650000000139698,1711862.800000000046566,1700119.099999999627471,1850167.500000000000000,1705724.349999999627471,1653468.010000000009313,10328867.409999998286366
FS( 29 ),1706508.699999999953434,1700092.800000000046566,1693628.199999999953434,1845958.750000000000000,1704345.819999999832362,1655616.520000000018626,10306154.789999999105930
FS( 30 ),1727105.350000000093132,1701034.400000000139698,1699120.500000000000000,1867844.250000000000000,1697453.169999999692664,1658071.960000000195578,10350633.630000000819564
FS( 31 ),1725754.750000000000000,1693030.800000000046566,1689633.800000000046566,1851009.249999999767169,1694696.109999999869615,1646101.690000000176951,10300230.399999998509884
FS( 32 ),1760195.050000000279397,1690676.799999999813735,1686138.699999999953434,1867844.250000000000000,1691939.049999999813735,1646101.690000000176951,10342899.539999999105930
FS( 33 ),1803076.600000000093132,1680319.199999999953434,1675653.399999999906868,1853534.500000000000000,1686884.439999999711290,1636586.860000000102445,10336058.999999998137355
FS( 34 ),1817933.200000000186265,1700092.800000000046566,1730576.399999999674037,1877103.500000000000000,1698831.699999999720603,1656537.310000000055879,10481078.910000000149012
FS( 35 ),1866217.150000000139698,1714216.799999999813735,1719591.799999999813735,1865319.000000000000000,1715374.059999999590218,1654081.870000000111759,10534804.679999999701977
FS( 36 ),1868243.050000000046566,1728811.599999999860302,1731075.699999999953434,1852692.750000000232831,1726402.299999999813735,1671883.810000000055879,10579113.209999999031425
FS( 37 ),1897280.949999999953434,1719395.600000000093132,1741061.699999999720603,1883837.500000000000000,1688262.969999999739230,1673418.460000000195578,10603261.179999999701977
FS( 38 ),1922267.050000000046566,1725516.000000000000000,1729078.500000000000000,1874578.250000000000000,1664368.449999999720603,1656537.310000000055879,10572349.560000000521541
FS( 39 ),1945902.550000000279397,1713275.199999999953434,1727580.599999999860302,1877103.500000000000000,1667125.509999999776483,1644873.970000000204891,10575865.330000000074506
FS( 40 ),1893566.800000000046566,1677494.400000000139698,1715098.099999999860302,1846800.500000000000000,1663908.939999999711290,1634438.350000000093132,10431311.089999999850988
FS( 41 ),1889852.650000000139698,1654896.000000000000000,1718093.899999999674037,1829123.750000000000000,1638635.889999999664724,1626458.170000000158325,10357064.359999999403954
FS( 42 ),1883437.300000000046566,1644538.399999999906868,1698121.899999999674037,1800504.250000000000000,1621634.019999999785796,1617864.130000000121072,10266104.000000000000000
FS( 43 ),1913825.800000000046566,1612524.000000000000000,1691131.699999999720603,1803029.500000000232831,1648285.599999999627471,1615101.760000000009313,10283902.359999999403954
FS( 44 ),1876009.000000000232831,1545199.600000000093132,1674155.500000000000000,1758416.750000000000000,1630824.219999999739230,1586250.340000000083819,10070859.410000000149012
FS( 45 ),1893566.800000000046566,1551320.000000000232831,1707608.600000000093132,1840908.250000000000000,1652880.699999999720603,1573973.140000000130385,10220261.490000000223517
FS( 46 ),1820296.750000000000000,1492470.000000000000000,1643198.899999999674037,1788719.750000000000000,1604632.149999999906868,1537755.400000000139698,9887076.949999999254942
FS( 47 ),1802063.649999999906868,1447273.199999999953434,1667165.299999999813735,1755049.750000000232831,1610605.779999999562278,1560775.150000000139698,9842936.829999998211861
FS( 48 ),1703807.500000000232831,1362058.399999999906868,1625723.399999999906868,1667507.750000000000000,1521920.349999999627471,1501537.660000000149012,9382559.060000000521541
FS( 49 ),1804089.550000000046566,1419496.000000000000000,1664668.800000000046566,1741581.750000000000000,1575683.019999999785796,1559854.360000000102445,9765377.479999998584390
FS( 50 ),1754455.000000000232831,1342284.800000000046566,1596763.999999999767169,1668349.500000000000000,1546733.889999999664724,1485884.229999999981374,9394475.419999999925494
FS( 51 ),1802738.950000000186265,1414788.000000000000000,1659675.800000000046566,1778618.750000000000000,1590846.849999999627471,1526398.989999999990687,9773071.339999999850988
FS( 52 ),1818608.500000000000000,1439740.399999999906868,1676152.699999999953434,1764309.000000000000000,1576142.529999999562278,1527012.850000000093132,9801969.979999998584390
FS( 53 ),1849334.650000000139698,1481170.800000000046566,1702615.599999999860302,1807238.250000000000000,1610605.779999999562278,1534072.239999999990687,9985041.320000000298023
FS( 54 ),1835153.350000000093132,1559323.599999999860302,1702116.300000000046566,1806396.500000000000000,1602794.109999999869615,1593616.660000000149012,10099404.519999999552965
FS( 55 ),1835153.350000000093132,1572976.799999999813735,1729577.799999999813735,1767676.000000000000000,1636338.339999999618158,1582260.250000000000000,10123986.539999999105930
FS( 56 ),1765597.449999999953434,1514126.799999999813735,1691631.000000000000000,1689393.250000000000000,1611524.799999999813735,1589626.570000000065193,9861903.869999999180436
FS( 57 ),1717313.500000000000000,1500944.399999999906868,1675154.099999999627471,1675083.499999999767169,1594982.439999999711290,1605280.000000000000000,9768761.939999999478459
FS( 58 ),1719339.400000000139698,1519776.400000000139698,1679647.799999999813735,1679292.250000000000000,1600037.049999999813735,1601903.770000000018626,9800000.669999999925494
FS( 59 ),1802063.649999999906868,1558852.800000000046566,1724085.500000000000000,1762625.500000000000000,1652421.189999999711290,1633210.630000000121072,10133263.270000001415610
FS( 60 ),1814556.700000000186265,1618173.599999999860302,1739563.800000000046566,1818181.000000000232831,1675856.199999999720603,1638121.510000000009313,10304456.809999998658895
FS( 61 ),1802738.950000000186265,1593221.200000000186265,1697123.300000000046566,1770201.250000000000000,1643690.500000000000000,1617557.200000000186265,10124536.399999998509884
FS( 62 ),1850347.600000000093132,1600754.000000000000000,1710105.099999999860302,1806396.500000000000000,1643230.989999999757856,1623695.800000000046566,10234533.990000000223517
FS( 63 ),1881073.750000000232831,1600283.200000000186265,1741061.699999999720603,1822389.749999999767169,1660692.369999999878928,1632596.770000000018626,10338101.539999999105930
FS( 64 ),1881073.750000000232831,1580509.600000000093132,1744057.499999999767169,1850167.500000000000000,1668504.039999999804422,1621240.360000000102445,10345556.750000000000000
FS( 65 ),1856425.300000000046566,1571564.400000000139698,1759036.499999999767169,1849325.750000000000000,1662070.899999999906868,1632596.770000000018626,10331023.619999999180436
FS( 66 ),1837854.550000000046566,1550378.399999999906868,1759036.499999999767169,1845958.750000000000000,1648745.109999999869615,1616022.550000000046566,10257999.860000001266599
FS( 67 ),1804427.199999999953434,1515068.399999999906868,1741061.699999999720603,1800504.250000000000000,1634040.789999999804422,1596992.890000000130385,10092099.229999998584390
FS( 68 ),1831776.850000000093132,1508947.999999999767169,1733572.199999999720603,1807238.250000000000000,1618417.449999999720603,1586250.340000000083819,10086207.089999997988343
FS( 69 ),1852035.850000000093132,1547553.599999999860302,1767524.599999999860302,1861952.000000000000000,1636797.849999999627471,1608963.160000000149012,10274831.059999998658895
FS( 70 ),1853048.800000000279397,1528250.800000000046566,1777011.300000000046566,1840908.250000000000000,1625769.609999999869615,1602517.630000000121072,10227510.390000000596046
FS( 71 ),1820972.050000000046566,1500473.600000000093132,1732074.299999999813735,1817339.250000000000000,1619336.469999999739230,1576428.580000000074506,10066628.250000000000000
FS( 72 ),1832789.800000000046566,1523072.000000000000000,1732074.299999999813735,1840066.500000000000000,1619795.979999999748543,1590547.360000000102445,10138349.939999999478459
FS( 73 ),1855412.350000000093132,1537666.799999999813735,1725084.099999999627471,1846800.500000000000000,1631283.729999999748543,1583487.970000000204891,10179739.450000001117587
FS( 74 ),1877697.250000000000000,1579097.199999999953434,1742060.299999999813735,1885520.999999999767169,1635878.829999999841675,1602210.700000000186265,10322469.280000001192093
FS( 75 ),1895592.700000000186265,1613936.400000000139698,1773016.899999999674037,1904881.250000000000000,1662989.919999999692664,1611725.530000000027940,10462146.699999999254942
FS( 76 ),1931721.250000000232831,1629472.800000000046566,1778509.199999999720603,1911615.250000000000000,1687343.949999999720603,1616022.550000000046566,10554689.000000000000000
FS( 77 ),1985407.600000000093132,1617232.000000000000000,1759535.800000000046566,1894780.250000000232831,1667125.509999999776483,1609883.950000000186265,10533969.109999999403954
FS( 78 ),1994186.500000000232831,1638888.800000000046566,1764029.499999999767169,1953702.750000000000000,1673099.139999999664724,1604973.070000000065193,10628883.759999999776483
FS( 79 ),1988108.800000000279397,1593221.200000000186265,1729577.799999999813735,1924241.500000000000000,1646907.069999999832362,1575200.860000000102445,10457261.230000000447035
FS( 80 ),1938136.600000000093132,1556027.999999999767169,1693128.899999999674037,1858584.999999999767169,1635419.319999999832362,1543280.140000000130385,10224581.959999999031425
FS( 81 ),1950292.000000000000000,1587571.599999999860302,1683142.899999999906868,1895622.000000000000000,1648745.109999999869615,1559240.500000000000000,10324618.109999999403954
FS( 82 ),1944889.600000000093132,1600754.000000000000000,1716596.000000000000000,1899830.750000000000000,1670801.589999999618158,1590854.290000000037253,10423730.230000000447035
FS( 83 ),1925981.199999999953434,1595104.400000000139698,1736568.000000000000000,1882995.750000000000000,1695155.619999999878928,1596992.890000000130385,10432801.859999999403954
FS( 84 ),1915176.400000000139698,1581922.000000000000000,1699120.500000000000000,1844275.250000000000000,1692858.069999999832362,1574893.930000000167638,10308250.150000000372529
FS( 85 ),1884112.600000000093132,1590867.199999999953434,1724085.500000000000000,1845117.000000000232831,1707102.879999999655411,1593923.590000000083819,10345212.769999999552965
FS( 86 ),1839205.150000000139698,1547553.599999999860302,1686638.000000000000000,1803871.250000000000000,1691020.029999999562278,1593002.800000000046566,10161294.830000000074506
FS( 87 ),1806790.750000000000000,1487291.199999999953434,1633212.899999999906868,1773568.250000000000000,1669882.569999999832362,1594844.380000000121072,9965594.050000000745058
FS( 88 ),1796661.250000000232831,1528721.599999999860302,1628719.199999999720603,1784511.000000000000000,1672639.629999999655411,1623081.940000000176951,10034338.619999999180436
FS( 89 ),1824686.199999999953434,1545670.399999999906868,1636208.699999999953434,1788719.750000000000000,1643690.500000000000000,1616022.550000000046566,10055002.100000001490116
FS( 90 ),1820296.750000000000000,1571564.400000000139698,1632713.600000000093132,1833332.500000000000000,1650123.639999999664724,1619091.850000000093132,10127126.740000000223517
FS( 91 ),1783830.550000000046566,1596987.600000000093132,1645196.100000000093132,1814814.000000000000000,1661611.389999999664724,1648250.200000000186265,10150693.839999999850988
FS( 92 ),1875333.699999999953434,1631826.799999999813735,1670161.100000000093132,1877945.250000000000000,1695615.129999999655411,1682319.430000000167638,10433205.409999998286366
FS( 93 ),1930708.300000000046566,1634180.800000000046566,1667664.599999999860302,1904881.250000000000000,1677234.729999999748543,1679557.060000000055879,10494230.740000000223517
FS( 94 ),1940162.500000000232831,1634651.599999999860302,1684640.800000000046566,1918349.250000000000000,1685046.399999999906868,1694289.700000000186265,10557144.250000000000000
FS( 95 ),1970213.350000000093132,1620056.799999999813735,1682643.600000000093132,1948652.249999999767169,1701129.250000000000000,1688764.960000000195578,10611464.210000000894070
FS( 96 ),2035717.449999999953434,1650187.999999999767169,1693628.199999999953434,1976430.000000000000000,1715374.059999999590218,1702269.880000000121072,10773611.589999999850988
FS( 97 ),2025925.600000000093132,1631356.000000000000000,1672657.599999999860302,1919191.000000000000000,1697453.169999999692664,1681398.640000000130385,10627986.009999999776483
FS( 98 ),2036730.400000000139698,1692560.000000000232831,1666166.699999999720603,1976430.000000000000000,1711238.469999999739230,1715467.870000000111759,10798597.440000001341105
FS( 99 ),1922942.350000000093132,1666666.000000000000000,1673656.199999999953434,1895622.000000000000000,1702507.779999999562278,1726517.350000000093132,10587915.679999999701977
FS( 100 ),1906735.150000000139698,1682202.399999999906868,1675653.399999999906868,1922558.000000000000000,1704805.329999999841675,1730200.510000000009313,10622158.789999999105930
FS( 101 ),1894917.399999999906868,1735402.800000000046566,1702615.599999999860302,1966329.000000000000000,1719509.649999999906868,1747081.660000000149012,10765860.109999999403954
FS( 102 ),1957382.650000000139698,1727870.000000000232831,1694626.799999999813735,1982322.250000000000000,1696993.659999999683350,1742784.640000000130385,10801984.000000000000000
FS( 103 ),1918552.900000000139698,1696797.199999999953434,1671658.999999999767169,1908248.250000000232831,1662989.919999999692664,1740636.130000000121072,10598887.400000000372529
FS( 104 ),1932396.550000000046566,1720807.999999999767169,1684640.800000000046566,1936867.750000000232831,1691479.539999999804422,1760893.510000000009313,10727090.149999998509884
FS( 105 ),1951980.250000000232831,1759413.599999999860302,1711603.000000000000000,1986531.000000000232831,1730537.889999999664724,1774398.430000000167638,10914468.169999998062849
FS( 106 ),1953330.850000000093132,1700563.599999999860302,1721089.699999999720603,2001682.500000000000000,1729159.359999999869615,1754141.050000000046566,10859971.060000000521541
FS( 107 ),1952655.550000000046566,1685497.999999999767169,1705611.399999999674037,1962962.000000000000000,1699291.209999999497086,1740943.060000000055879,10746965.219999998807907
FS( 108 ),1912475.200000000186265,1673257.199999999953434,1673656.199999999953434,1894780.250000000232831,1675856.199999999720603,1725903.489999999990687,10555932.540000000968575
FS( 109 ),1916864.650000000139698,1694443.200000000186265,1692130.299999999813735,1925925.000000000000000,1691020.029999999562278,1745240.080000000074506,10665627.259999999776483
FS( 110 ),1944214.300000000046566,1716100.000000000232831,1714099.499999999767169,1961278.500000000000000,1720888.179999999934807,1762428.160000000149012,10819012.640000000596046
FS( 111 ),1930708.300000000046566,1713275.199999999953434,1692130.299999999813735,1949494.000000000000000,1708021.899999999906868,1764883.600000000093132,10758517.299999998882413
FS( 112 ),1928007.100000000093132,1758001.200000000186265,1702615.599999999860302,1956227.999999999767169,1715833.569999999832362,1778388.520000000018626,10839077.990000000223517
FS( 113 ),1959408.550000000046566,1786249.199999999953434,1714099.499999999767169,1989898.000000000000000,1724104.750000000000000,1820744.860000000102445,10994508.859999999403954
FS( 114 ),1906735.150000000139698,1749526.799999999813735,1673656.199999999953434,1959595.000000000000000,1695155.619999999878928,1781764.750000000000000,10766437.519999999552965
FS( 115 ),1858113.550000000046566,1751410.000000000232831,1682643.600000000093132,1957911.500000000232831,1715374.059999999590218,1784220.190000000176951,10749676.900000000372529
FS( 116 ),1855412.350000000093132,1791898.800000000046566,1700618.399999999906868,2002524.250000000000000,1724104.750000000000000,1817061.700000000186265,10891624.250000000000000
FS( 117 ),1829413.300000000046566,1800844.000000000000000,1692629.599999999860302,1974746.500000000000000,1700210.229999999748543,1807546.870000000111759,10805394.500000000000000
FS( 118 ),1875671.350000000093132,1792369.600000000093132,1697622.599999999860302,2012625.250000000000000,1711238.469999999739230,1763655.880000000121072,10853187.150000000372529
FS( 119 ),1856087.650000000139698,1781541.200000000186265,1673156.899999999674037,1965487.250000000232831,1684127.379999999655411,1739715.340000000083819,10700119.719999998807907
FS( 120 ),1820634.400000000139698,1771183.599999999860302,1663170.899999999906868,1923399.750000000232831,1686424.929999999934807,1741249.989999999990687,10606067.570000000298023
FS( 121 ),1808479.000000000232831,1783424.400000000139698,1682643.600000000093132,1910773.500000000000000,1675396.689999999711290,1756596.489999999990687,10617317.679999999701977
FS( 122 ),1780116.400000000139698,1744818.800000000046566,1646693.999999999767169,1919191.000000000000000,1657475.799999999813735,1739101.479999999981374,10487401.480000000447035
FS( 123 ),1816244.949999999953434,1746702.000000000000000,1647193.300000000046566,1911615.250000000000000,1662989.919999999692664,1744933.150000000139698,10529682.570000000298023
FS( 124 ),1770324.550000000046566,1719395.600000000093132,1619731.799999999813735,1878787.000000000000000,1624391.079999999841675,1738487.620000000111759,10351121.649999998509884
FS( 125 ),1753779.699999999953434,1717041.599999999860302,1616236.699999999720603,1873736.500000000232831,1624391.079999999841675,1746160.870000000111759,10331350.449999999254942
FS( 126 ),1814219.050000000046566,1756117.999999999767169,1627221.300000000046566,1967170.750000000000000,1665746.979999999748543,1757210.350000000093132,10587690.429999999701977
FS( 127 ),1800037.750000000232831,1834270.800000000046566,1652685.599999999860302,1955386.250000000000000,1683208.359999999869615,1785447.910000000149012,10711040.669999999925494
FS( 128 ),1843594.600000000093132,1846511.599999999860302,1678649.199999999720603,2040402.999999999767169,1733754.459999999497086,1807853.800000000046566,10950770.660000000149012
FS( 129 ),1871281.900000000139698,1852161.200000000186265,1668663.199999999953434,2057238.000000000000000,1735592.500000000000000,1798952.830000000074506,10983893.630000000819564
FS( 130 ),1879723.150000000139698,1880409.199999999953434,1657179.299999999813735,2045453.500000000000000,1739268.579999999841675,1782992.470000000204891,10985030.200000001117587
FS( 131 ),1895592.700000000186265,1894062.399999999906868,1655681.399999999674037,2021884.500000000000000,1748458.779999999562278,1790665.720000000204891,11006349.500000000000000
FS( 132 ),1885800.850000000093132,1898299.600000000093132,1664668.800000000046566,2006733.000000000000000,1760865.549999999813735,1804170.640000000130385,11020542.440000001341105
FS( 133 ),1876684.300000000046566,1917602.399999999906868,1667165.299999999813735,2042928.250000000000000,1760406.039999999804422,1795883.530000000027940,11060673.819999998435378
FS( 134 ),1884450.250000000232831,1878996.799999999813735,1666166.699999999720603,2015992.250000000000000,1737430.539999999804422,1779616.239999999990687,10962656.779999999329448
FS( 135 ),1898631.550000000046566,1894062.399999999906868,1686638.000000000000000,2045453.500000000000000,1765920.159999999683350,1790051.860000000102445,11080761.469999998807907
FS( 136 ),1890190.300000000046566,1885587.999999999767169,1670161.100000000093132,2039561.250000000000000,1762244.079999999841675,1782992.470000000204891,11030741.200000001117587
FS( 137 ),1875333.699999999953434,1860164.799999999813735,1659675.800000000046566,2018517.500000000000000,1758108.489999999757856,1767952.900000000139698,10939757.189999999478459
FS( 138 ),1833802.750000000232831,1842745.199999999953434,1654183.500000000000000,2027776.750000000000000,1758108.489999999757856,1769487.550000000046566,10886108.240000000223517
FS( 139 ),1827725.050000000279397,1855927.600000000093132,1670161.100000000093132,2016834.000000000000000,1765460.649999999906868,1778695.450000000186265,10914807.850000001490116
FS( 140 ),1837854.550000000046566,1903007.600000000093132,1683642.199999999720603,2050504.000000000000000,1782003.009999999776483,1788517.210000000195578,11045532.570000000298023
FS( 141 ),1843594.600000000093132,1892650.000000000232831,1682144.299999999813735,2074914.749999999767169,1775110.359999999869615,1773477.640000000130385,11041895.650000000372529
FS( 142 ),1909774.000000000232831,1975040.000000000232831,1707608.600000000093132,2132995.500000000000000,1801761.939999999711290,1816754.770000000018626,11343938.810000000521541
FS( 143 ),1912475.200000000186265,1977394.000000000000000,1736568.000000000000000,2119527.500000000000000,1802680.959999999497086,1822893.370000000111759,11371543.030000001192093
FS( 144 ),1922604.699999999953434,1973627.600000000093132,1727580.599999999860302,2116160.500000000000000,1805438.019999999785796,1816754.770000000018626,11362170.189999999478459
FS( 145 ),1945564.899999999906868,1981631.200000000186265,1746054.699999999720603,2156564.500000000000000,1837144.209999999497086,1841309.170000000158325,11508272.679999999701977
FS( 146 ),1961096.800000000046566,1987751.599999999860302,1744556.799999999813735,2144780.000000000000000,1837603.719999999739230,1836398.290000000037253,11512191.209999997168779
FS( 147 ),1942188.400000000139698,1955266.400000000139698,1735569.399999999674037,2119527.500000000000000,1827034.989999999757856,1833328.989999999990687,11412919.679999999701977
FS( 148 ),1954006.149999999906868,1977864.799999999813735,1751546.999999999767169,2170874.250000000000000,1840360.779999999562278,1841309.170000000158325,11535966.149999998509884
FS( 149 ),1953668.500000000000000,1979277.199999999953434,1747053.300000000046566,2136362.500000000000000,1843577.349999999627471,1834249.780000000027940,11494192.629999998956919
FS( 150 ),1983719.350000000093132,1983985.199999999953434,1751047.699999999953434,2167507.250000000000000,1825656.459999999497086,1851744.790000000037253,11563664.750000000000000
FS( 151 ),1994186.500000000232831,2012233.200000000186265,1740063.099999999860302,2128786.750000000000000,1801761.939999999711290,1832715.130000000121072,11509750.620000001043081
FS( 152 ),2016471.400000000139698,2028711.200000000186265,1732074.299999999813735,2144780.000000000000000,1789355.169999999692664,1823814.160000000149012,11535210.230000000447035
FS( 153 ),2037405.700000000186265,2033890.000000000232831,1721089.699999999720603,2119527.500000000000000,1761325.059999999590218,1810923.100000000093132,11484165.060000000521541
FS( 154 ),2034366.850000000093132,2035302.399999999906868,1721089.699999999720603,2102692.500000000000000,1763163.099999999627471,1816447.840000000083819,11473066.389999998733401
FS( 155 ),2041457.500000000232831,2049426.400000000139698,1731075.699999999953434,2100167.250000000000000,1772353.299999999813735,1812150.820000000065193,11506634.970000000670552
FS( 156 ),2038081.000000000000000,2046130.800000000046566,1699120.500000000000000,2085857.500000000000000,1787517.129999999655411,1823200.300000000046566,11479911.230000000447035
FS( 157 ),2032678.600000000093132,2042835.199999999953434,1686638.000000000000000,2132995.500000000000000,1788436.149999999906868,1826269.600000000093132,11509857.049999998882413
FS( 158 ),2024912.650000000139698,2048484.799999999813735,1672158.300000000046566,2120369.250000000000000,1788436.149999999906868,1827497.320000000065193,11481862.470000000670552
FS( 159 ),2048548.150000000139698,2059313.200000000186265,1681145.699999999953434,2157406.250000000000000,1793031.250000000000000,1837012.150000000139698,11576460.700000001117587
FS( 160 ),2069820.100000000093132,2112984.399999999906868,1687636.599999999627471,2184342.250000000000000,1792571.739999999757856,1841923.030000000027940,11689282.119999999180436
FS( 161 ),2063404.750000000000000,2137936.799999999813735,1684141.499999999767169,2154039.250000000000000,1792112.229999999748543,1860338.830000000074506,11691977.359999999403954
FS( 162 ),2027276.199999999953434,2095564.799999999813735,1700119.099999999627471,2117002.250000000000000,1790733.699999999720603,1872616.030000000027940,11603316.079999998211861
FS( 163 ),2061716.500000000232831,2112984.399999999906868,1711103.699999999953434,2095958.499999999767169,1764541.629999999655411,1869546.729999999981374,11615855.460000000894070
FS( 164 ),2027951.500000000232831,2116750.799999999813735,1695126.100000000093132,2125419.750000000000000,1736511.519999999785796,1884279.370000000111759,11586043.039999999105930
FS( 165 ),2154570.250000000000000,2130874.799999999813735,1708607.199999999720603,2116160.500000000000000,1731916.419999999692664,1886734.810000000055879,11728867.980000000447035
FS( 166 ),2144778.400000000372529,2116280.000000000000000,1698121.899999999674037,2122894.500000000000000,1715833.569999999832362,1871388.310000000055879,11669300.679999999701977
