代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12925674.099999999627471
真實報酬,2925674.099999999627471

夏普值報酬,0.283867410000000
夏普值風險,0.085668674428981
夏普值,3.313549694705800

二次趨勢線,28.210262214618304 x^2 + 6079.862349151025228 x + 10000000.000000000000000
二次平均預期報酬,13217.058689449457233
風險,112423.638091099914163
二次平均趨勢值,0.117564765861245
一次趨勢線,11422.159807829852070 x + 10000000.000000000000000
一次預期報酬,11422.159807829852070
一次風險,230551.794543107156642
一次趨勢值,0.049542706143171
找到最佳解世代,1568
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](8),CAT[3](2),DD[7](1),INTC[11](7),MCD[15](21),MRK[17](9),MSFT[18](3),
FS( 35 ),1477401.310000000288710,1484569.580000000074506,1638846.379999999888241,1472905.720000000204891,1412986.600000000093132,1419161.080000000074506,1517433.760000000009313,10423307.429999999701977
FS( 36 ),1462073.410000000149012,1433815.580000000074506,1602289.070000000065193,1463669.320000000065193,1398268.000000000000000,1411809.580000000074506,1479091.959999999962747,10251019.920000001788139
FS( 37 ),1534771.450000000186265,1438552.620000000111759,1583585.330000000074506,1454432.920000000158325,1403751.399999999906868,1402105.600000000093132,1476836.560000000055879,10294038.880000000819564
FS( 38 ),1529954.110000000335276,1439906.060000000055879,1578484.310000000055879,1459974.760000000009313,1410966.399999999906868,1397694.699999999953434,1464206.319999999832362,10281189.660000000149012
FS( 39 ),1506305.350000000325963,1429586.080000000074506,1608523.649999999906868,1459359.000000000000000,1408657.600000000093132,1401811.540000000037253,1466461.719999999739230,10280707.939999997615814
FS( 40 ),1520976.340000000083819,1424510.680000000167638,1613908.060000000055879,1441501.959999999962747,1416882.699999999953434,1402105.600000000093132,1478189.800000000046566,10298078.140000000596046
FS( 41 ),1510027.840000000083819,1417743.479999999981374,1574800.239999999990687,1415024.280000000027940,1401442.600000000093132,1405340.260000000009313,1500743.800000000046566,10225125.500000001862645
FS( 42 ),1491415.390000000130385,1410976.280000000260770,1549861.919999999925494,1411329.720000000204891,1388311.299999999813735,1400047.179999999934807,1501194.879999999888241,10153139.670000001788139
FS( 43 ),1526450.590000000083819,1417066.760000000242144,1546177.850000000093132,1405787.879999999888241,1387156.899999999906868,1433275.959999999962747,1514727.279999999795109,10230646.220000000670552
FS( 44 ),1531486.900000000139698,1422311.339999999850988,1561764.300000000046566,1409482.440000000176951,1374891.399999999906868,1422395.739999999990687,1530064.000000000000000,10252399.120000001043081
FS( 45 ),1512217.540000000270084,1420619.540000000037253,1564598.199999999953434,1391625.400000000139698,1366089.100000000093132,1422101.679999999934807,1527357.519999999785796,10204611.980000000447035
FS( 46 ),1510903.720000000204891,1424510.680000000167638,1613908.060000000055879,1404556.359999999869615,1366522.000000000000000,1418278.899999999906868,1528259.679999999934807,10266942.400000000372529
FS( 47 ),1525793.680000000400469,1413175.620000000111759,1588119.570000000065193,1405787.879999999888241,1361615.800000000046566,1408280.860000000102445,1502097.039999999804422,10204873.449999999254942
FS( 48 ),1504553.590000000083819,1401671.379999999888241,1554679.550000000046566,1384236.280000000027940,1355555.199999999953434,1404164.020000000018626,1489015.719999999739230,10093878.739999998360872
FS( 49 ),1522071.190000000409782,1413006.439999999944121,1570832.780000000027940,1391009.640000000130385,1345887.099999999860302,1390049.140000000130385,1491722.199999999953434,10124581.490000000223517
FS( 50 ),1531705.870000000344589,1433477.220000000204891,1630344.679999999934807,1422413.400000000139698,1362770.199999999953434,1396518.459999999962747,1522846.719999999739230,10300079.550000000745058
FS( 51 ),1541559.520000000251457,1448365.060000000055879,1657550.120000000111759,1432265.560000000055879,1367099.199999999953434,1390637.260000000009313,1539536.679999999934807,10377016.400000000372529
FS( 52 ),1551632.140000000130385,1459023.399999999906868,1647348.080000000074506,1443965.000000000000000,1366810.600000000093132,1374758.020000000018626,1553971.239999999990687,10397511.480000000447035
FS( 53 ),1559953.000000000000000,1450733.580000000074506,1631761.629999999888241,1440270.440000000176951,1353535.000000000000000,1369464.939999999944121,1555775.560000000055879,10361497.150000000372529
FS( 54 ),1567616.950000000186265,1459530.939999999944121,1659817.239999999990687,1459359.000000000000000,1374025.600000000093132,1387108.540000000037253,1562541.760000000009313,10470003.029999999329448
FS( 55 ),1578127.510000000009313,1452425.379999999888241,1670302.669999999925494,1472905.720000000204891,1377633.100000000093132,1385344.179999999934807,1575172.000000000000000,10511913.559999998658895
FS( 56 ),1591922.620000000344589,1477633.200000000186265,1667185.379999999888241,1470442.679999999934807,1373737.000000000000000,1370641.179999999934807,1576976.319999999832362,10528541.380000000819564
FS( 57 ),1630899.280000000260770,1483723.680000000167638,1669169.109999999869615,1486452.440000000176951,1364934.699999999953434,1367700.580000000074506,1578329.560000000055879,10581212.350000001490116
FS( 58 ),1626300.910000000149012,1508593.140000000130385,1676820.640000000130385,1482142.120000000111759,1372582.600000000093132,1366524.340000000083819,1559835.279999999795109,10592802.029999999329448
FS( 59 ),1642066.750000000000000,1417066.760000000242144,1656133.169999999925494,1461822.040000000037253,1359451.299999999813735,1369170.880000000121072,1522846.719999999739230,10428560.620000001043081
FS( 60 ),1663963.750000000000000,1430093.620000000111759,1639413.160000000149012,1464285.080000000074506,1366233.400000000139698,1359172.840000000083819,1521042.399999999906868,10444207.250000001862645
FS( 61 ),1645351.300000000279397,1434153.939999999944121,1594920.929999999934807,1492610.040000000037253,1367676.399999999906868,1368582.760000000009313,1611709.479999999748543,10515007.849999999627471
FS( 62 ),1657613.620000000344589,1425864.120000000111759,1578484.310000000055879,1499999.159999999916181,1376190.100000000093132,1333589.620000000111759,1604492.199999999953434,10476236.129999998956919
FS( 63 ),1616228.290000000270084,1422311.339999999850988,1592370.419999999925494,1509851.320000000065193,1386002.500000000000000,1340353.000000000000000,1602236.800000000046566,10469356.670000001788139
FS( 64 ),1642066.750000000000000,1412498.899999999906868,1584435.500000000000000,1508619.800000000046566,1385713.899999999906868,1330354.959999999962747,1603138.959999999962747,10466831.769999999552965
FS( 65 ),1635059.710000000195578,1410299.560000000055879,1592937.199999999953434,1506772.520000000018626,1392784.599999999860302,1325944.060000000055879,1597274.919999999692664,10461075.570000000298023
FS( 66 ),1626738.850000000325963,1414190.700000000186265,1571966.340000000083819,1498151.879999999888241,1403174.199999999953434,1330060.899999999906868,1602687.879999999888241,10446973.750000000000000
FS( 67 ),1647759.970000000204891,1419266.100000000093132,1549861.919999999925494,1493841.560000000055879,1404184.300000000046566,1344469.840000000083819,1621182.159999999683350,10480568.850000001490116
FS( 68 ),1643599.540000000270084,1421972.979999999981374,1562614.469999999972060,1479679.080000000074506,1405627.300000000046566,1333883.679999999934807,1652757.760000000009313,10500137.810000000521541
FS( 69 ),1629585.460000000195578,1424849.040000000037253,1584435.500000000000000,1493225.800000000046566,1412698.000000000000000,1351527.280000000027940,1722224.079999999841675,10618548.160000000149012
FS( 70 ),1603090.090000000083819,1415205.780000000260770,1560630.739999999990687,1481526.359999999869615,1402597.000000000000000,1347410.439999999944121,1691550.639999999897555,10502014.050000000745058
FS( 71 ),1628490.610000000335276,1425187.399999999906868,1600872.120000000111759,1483373.640000000130385,1399855.300000000046566,1376228.319999999832362,1704180.879999999888241,10618191.269999999552965
FS( 72 ),1623673.270000000251457,1423664.780000000260770,1600588.729999999981374,1488299.720000000204891,1401009.699999999953434,1382109.520000000018626,1695610.360000000102445,10614959.080000001937151
FS( 73 ),1626738.850000000325963,1418589.379999999888241,1587552.790000000037253,1504309.479999999981374,1409234.800000000046566,1399459.060000000055879,1685235.519999999785796,10631122.879999998956919
FS( 74 ),1628709.580000000074506,1424510.680000000167638,1598038.219999999972060,1514777.400000000139698,1415728.300000000046566,1392107.560000000055879,1721321.919999999692664,10695196.660000000149012
FS( 75 ),1652139.370000000344589,1417066.760000000242144,1618442.300000000046566,1501846.440000000176951,1407791.800000000046566,1406222.439999999944121,1715006.800000000046566,10718518.910000002011657
FS( 76 ),1642285.720000000204891,1416728.399999999906868,1623543.320000000065193,1509851.320000000065193,1398556.600000000093132,1413573.939999999944121,1706887.360000000102445,10711429.660000000149012
FS( 77 ),1622359.450000000186265,1421803.800000000279397,1609090.429999999934807,1514777.400000000139698,1409090.500000000000000,1411809.580000000074506,1678018.239999999990687,10666952.400000000372529
FS( 78 ),1625206.060000000288710,1415544.140000000130385,1602289.070000000065193,1520935.000000000000000,1413852.400000000139698,1413573.939999999944121,1657268.560000000055879,10648672.170000001788139
FS( 79 ),1610973.010000000009313,1398795.320000000298023,1584435.500000000000000,1512314.359999999869615,1407503.200000000186265,1415338.300000000046566,1672605.279999999795109,10601967.969999998807907
FS( 80 ),1630242.370000000344589,1389321.240000000223517,1599455.169999999925494,1553570.280000000027940,1409812.000000000000000,1429747.239999999990687,1687039.839999999850988,10699191.140000000596046
FS( 81 ),1626081.940000000409782,1402178.919999999925494,1600588.729999999981374,1469826.920000000158325,1418037.099999999860302,1439157.159999999916181,1694708.199999999953434,10650581.969999998807907
FS( 82 ),1638344.260000000009313,1427894.280000000260770,1574233.459999999962747,1462437.800000000046566,1427416.600000000093132,1460329.479999999981374,1697865.760000000009313,10688524.640000000596046
FS( 83 ),1668562.120000000344589,1427217.560000000055879,1565448.370000000111759,1456280.199999999953434,1417027.000000000000000,1457977.000000000000000,1684784.439999999944121,10677299.689999999478459
FS( 84 ),1707757.750000000000000,1432462.140000000130385,1577917.530000000027940,1471674.199999999953434,1400576.800000000046566,1465328.500000000000000,1696061.439999999944121,10751781.359999999403954
FS( 85 ),1739508.400000000139698,1431277.879999999888241,1576500.580000000074506,1467979.640000000130385,1405050.100000000093132,1465328.500000000000000,1719968.679999999934807,10805616.779999999329448
FS( 86 ),1724399.470000000204891,1425356.580000000074506,1613624.669999999925494,1459359.000000000000000,1392640.300000000046566,1475620.600000000093132,1734403.239999999990687,10825406.860000001266599
FS( 87 ),1771478.020000000251457,1418927.740000000223517,1562614.469999999972060,1450122.600000000093132,1390764.399999999906868,1463270.080000000074506,1728088.120000000111759,10785268.429999999701977
FS( 88 ),1767317.590000000083819,1420619.540000000037253,1569415.830000000074506,1461822.040000000037253,1381096.299999999813735,1450037.380000000121072,1756506.159999999683350,10806817.839999999850988
FS( 89 ),1776514.330000000074506,1428063.459999999962747,1558080.229999999981374,1493841.560000000055879,1377055.900000000139698,1435334.380000000121072,1714104.639999999897555,10782997.500000001862645
FS( 90 ),1751770.720000000204891,1446504.080000000074506,1584718.890000000130385,1528324.120000000111759,1396825.000000000000000,1452389.860000000102445,1730343.519999999785796,10890879.189999999478459
FS( 91 ),1771915.960000000195578,1456485.700000000186265,1646497.910000000149012,1535097.479999999981374,1381240.600000000093132,1457388.880000000121072,1746131.319999999832362,10994760.850000001490116
FS( 92 ),1769069.350000000325963,1462068.640000000130385,1686172.510000000009313,1528324.120000000111759,1377055.900000000139698,1453566.100000000093132,1719066.519999999785796,10995326.140000000596046
FS( 93 ),1755931.150000000139698,1442782.120000000111759,1656699.949999999953434,1503693.720000000204891,1374602.800000000046566,1439451.220000000204891,1696512.519999999785796,10869676.480000000447035
FS( 94 ),1753522.480000000214204,1447688.339999999850988,1645080.959999999962747,1506772.520000000018626,1357864.000000000000000,1420925.439999999944121,1678920.399999999906868,10810777.140000000596046
FS( 95 ),1734253.120000000344589,1455808.979999999981374,1675687.080000000074506,1495688.840000000083819,1362770.199999999953434,1422689.800000000046566,1655013.159999999683350,10801914.180000001564622
FS( 96 ),1743887.800000000279397,1478309.919999999925494,1678804.370000000111759,1505541.000000000000000,1377344.500000000000000,1414162.060000000055879,1663583.679999999934807,10861636.330000000074506
FS( 97 ),1736004.880000000121072,1470527.640000000130385,1703175.910000000149012,1518471.959999999962747,1361904.399999999906868,1408574.919999999925494,1647344.800000000046566,10846007.510000001639128
FS( 98 ),1722866.680000000400469,1491675.140000000130385,1755886.449999999953434,1548644.199999999953434,1384270.900000000139698,1437980.919999999925494,1650051.279999999795109,10991378.570000000298023
FS( 99 ),1703159.380000000121072,1481016.800000000279397,1771756.290000000037253,1548028.440000000176951,1372871.199999999953434,1434746.260000000009313,1635165.639999999897555,10946747.010000001639128
FS( 100 ),1717392.430000000400469,1504532.820000000298023,1766938.660000000149012,1543102.359999999869615,1392640.300000000046566,1450331.439999999944121,1659975.039999999804422,11034916.050000000745058
FS( 101 ),1783302.400000000139698,1521958.359999999869615,1770906.120000000111759,1559112.120000000111759,1389610.000000000000000,1451507.679999999934807,1651855.599999999860302,11128255.279999999329448
FS( 102 ),1775857.420000000158325,1538030.459999999962747,1792727.149999999906868,1565885.479999999981374,1393073.200000000186265,1452977.979999999981374,1672605.279999999795109,11191159.969999998807907
FS( 103 ),1764033.040000000270084,1542090.780000000260770,1810297.330000000074506,1582511.000000000000000,1397402.199999999953434,1462093.840000000083819,1688844.159999999683350,11247275.350000001490116
FS( 104 ),1751989.690000000409782,1537353.740000000223517,1799811.899999999906868,1576353.400000000139698,1398412.300000000046566,1464152.260000000009313,1682077.959999999962747,11210154.250000000000000
FS( 105 ),1734691.060000000288710,1537353.740000000223517,1799811.899999999906868,1591747.400000000139698,1399855.300000000046566,1468563.159999999916181,1682077.959999999962747,11214103.519999999552965
FS( 106 ),1755055.270000000251457,1536338.660000000149012,1791876.979999999981374,1598520.760000000009313,1400143.899999999906868,1471797.819999999832362,1687490.919999999692664,11241227.310000000521541
FS( 107 ),1730311.660000000149012,1520435.740000000223517,1770339.340000000083819,1588052.840000000083819,1391197.300000000046566,1455330.459999999962747,1676213.919999999692664,11131884.259999999776483
FS( 108 ),1692210.880000000121072,1519589.839999999850988,1762404.419999999925494,1587437.080000000074506,1393073.200000000186265,1462387.899999999906868,1664936.919999999692664,11082043.240000000223517
FS( 109 ),1701407.620000000344589,1499626.600000000093132,1759287.129999999888241,1567732.760000000009313,1383116.500000000000000,1462681.959999999962747,1629752.679999999934807,11003608.250000000000000
FS( 110 ),1689364.270000000251457,1504532.820000000298023,1739733.219999999972060,1575737.640000000130385,1390764.399999999906868,1473562.179999999934807,1642382.919999999692664,11016080.450000001117587
FS( 111 ),1700093.800000000279397,1508085.600000000093132,1741716.949999999953434,1565885.479999999981374,1376767.300000000046566,1464152.260000000009313,1613062.719999999739230,10969767.109999999403954
FS( 112 ),1678415.770000000251457,1517728.859999999869615,1719329.140000000130385,1558496.359999999869615,1377488.799999999813735,1456212.640000000130385,1602687.879999999888241,10910362.449999999254942
FS( 113 ),1667029.330000000074506,1531263.260000000242144,1723579.989999999990687,1572043.080000000074506,1382395.000000000000000,1466798.800000000046566,1625692.959999999962747,10968805.420000001788139
FS( 114 ),1675788.130000000121072,1520774.100000000093132,1690706.750000000000000,1570195.800000000046566,1368397.899999999906868,1562074.239999999990687,1577878.479999999748543,10965818.400000000372529
FS( 115 ),1709290.540000000270084,1532109.160000000149012,1721312.870000000111759,1632387.560000000055879,1374025.600000000093132,1558545.520000000018626,1613964.879999999888241,11141639.129999998956919
FS( 116 ),1743449.860000000335276,1563407.459999999962747,1737466.100000000093132,1642239.720000000204891,1377488.799999999813735,1544430.640000000130385,1658170.719999999739230,11266656.300000000745058
FS( 117 ),1733815.180000000400469,1556640.260000000242144,1738883.050000000046566,1634234.840000000083819,1386146.800000000046566,1543842.520000000018626,1664034.760000000009313,11257600.410000000149012
FS( 118 ),1691335.000000000000000,1546997.000000000000000,1738316.270000000018626,1591747.400000000139698,1369840.900000000139698,1527669.220000000204891,1641029.679999999934807,11106938.470000000670552
FS( 119 ),1717611.400000000139698,1532785.879999999888241,1853656.000000000000000,1575737.640000000130385,1372005.399999999906868,1524140.500000000000000,1631557.000000000000000,11207496.820000000298023
FS( 120 ),1725275.350000000325963,1516544.600000000093132,1843453.959999999962747,1558496.359999999869615,1369119.399999999906868,1510025.620000000111759,1620731.079999999841675,11143649.369999999180436
FS( 121 ),1739727.370000000344589,1496919.720000000204891,1804912.919999999925494,1547412.679999999934807,1375468.599999999860302,1517377.120000000111759,1626595.120000000111759,11108416.530000001192093
FS( 122 ),1708195.690000000409782,1457839.140000000130385,1751918.989999999990687,1527708.359999999869615,1362625.900000000139698,1528551.399999999906868,1660426.120000000111759,10997268.600000001490116
FS( 123 ),1721990.800000000279397,1544459.300000000279397,1739449.830000000074506,1522166.520000000018626,1357431.099999999860302,1544724.699999999953434,1625241.879999999888241,11055467.129999998956919
FS( 124 ),1584477.640000000130385,1564422.540000000037253,1737749.489999999990687,1533250.199999999953434,1359018.400000000139698,1554722.739999999990687,1636067.800000000046566,10969711.810000000521541
FS( 125 ),1566522.100000000325963,1533124.240000000223517,1805196.310000000055879,1519703.479999999981374,1344155.500000000000000,1535314.780000000027940,1653659.919999999692664,10957679.330000000074506
FS( 126 ),1563456.520000000251457,1576772.680000000167638,1828717.679999999934807,1523398.040000000037253,1353535.000000000000000,1573542.580000000074506,1662681.519999999785796,11082107.019999999552965
FS( 127 ),1565865.190000000409782,1588784.459999999962747,1836652.600000000093132,1511082.840000000083819,1358874.100000000093132,1557663.340000000083819,1706887.360000000102445,11125812.889999998733401
FS( 128 ),1568930.770000000251457,1563576.640000000130385,1803495.969999999972060,1474753.000000000000000,1342279.599999999860302,1531492.000000000000000,1645540.479999999748543,10930071.460000000894070
FS( 129 ),1591484.680000000400469,1564930.080000000074506,1814548.179999999934807,1466748.120000000111759,1343289.699999999953434,1573542.580000000074506,1639676.439999999944121,10994222.779999999329448
FS( 130 ),1603528.030000000260770,1555794.359999999869615,1810013.939999999944121,1448275.320000000065193,1350360.399999999906868,1574130.699999999953434,1615769.199999999953434,10957874.949999999254942
FS( 131 ),1603309.060000000288710,1587431.020000000018626,1839769.890000000130385,1477216.040000000037253,1369985.199999999953434,1581188.140000000130385,1632008.079999999841675,11090910.430000001564622
FS( 132 ),1625644.000000000000000,1605025.740000000223517,1840336.669999999925494,1490762.760000000009313,1384126.600000000093132,1610594.140000000130385,1649149.120000000111759,11205642.030000001192093
FS( 133 ),1654767.010000000009313,1598766.080000000074506,1849971.929999999934807,1495688.840000000083819,1368830.800000000046566,1614122.860000000102445,1659975.039999999804422,11242125.559999998658895
FS( 134 ),1676664.010000000009313,1606548.359999999869615,1890213.310000000055879,1506772.520000000018626,1375757.199999999953434,1637941.720000000204891,1676665.000000000000000,11370565.119999999180436
FS( 135 ),1676445.040000000270084,1627019.140000000130385,1871509.570000000298023,1511698.600000000093132,1369263.699999999953434,1617357.520000000018626,1690197.399999999906868,11363493.970000002533197
FS( 136 ),1703159.380000000121072,1626004.060000000055879,1868675.669999999925494,1520935.000000000000000,1377488.799999999813735,1620298.120000000111759,1696512.519999999785796,11413076.550000000745058
FS( 137 ),1701626.590000000083819,1633447.979999999981374,1885112.289999999804422,1524629.560000000055879,1382106.399999999906868,1630296.159999999916181,1696963.599999999860302,11454185.580000000074506
FS( 138 ),1707976.720000000204891,1633617.160000000149012,1887946.190000000176951,1524629.560000000055879,1385569.599999999860302,1637647.659999999916181,1687942.000000000000000,11465331.890000000596046
FS( 139 ),1681043.410000000149012,1627695.859999999869615,1874060.079999999841675,1508619.800000000046566,1378787.500000000000000,1618533.760000000009313,1692001.719999999739230,11380745.129999998956919
FS( 140 ),1661555.080000000074506,1639707.640000000130385,1902399.079999999841675,1523398.040000000037253,1381673.500000000000000,1641176.380000000121072,1702827.639999999897555,11452740.360000001266599
FS( 141 ),1643161.600000000325963,1649520.080000000074506,1895314.329999999841675,1503693.720000000204891,1391774.500000000000000,1647645.699999999953434,1713202.479999999748543,11444315.410000000149012
FS( 142 ),1650168.640000000130385,1646474.839999999850988,1894747.550000000046566,1516624.679999999934807,1392496.000000000000000,1652056.600000000093132,1700121.159999999683350,11452692.470000000670552
FS( 143 ),1633088.980000000214204,1631079.459999999962747,1905799.760000000009313,1516008.920000000158325,1394227.600000000093132,1644116.979999999981374,1693354.959999999962747,11417679.660000000149012
FS( 144 ),1618417.990000000223517,1644444.680000000167638,1930171.300000000046566,1527092.600000000093132,1383693.699999999953434,1654703.140000000130385,1690197.399999999906868,11448723.810000000521541
FS( 145 ),1650606.580000000074506,1635985.680000000167638,1957660.129999999888241,1524629.560000000055879,1372005.399999999906868,1666171.479999999981374,1707789.519999999785796,11514851.350000001490116
FS( 146 ),1646227.180000000400469,1640553.540000000037253,1965878.440000000176951,1524629.560000000055879,1373015.500000000000000,1675875.459999999962747,1728088.120000000111759,11554270.800000000745058
FS( 147 ),1650825.550000000279397,1629387.660000000149012,1954826.230000000214204,1508619.800000000046566,1361038.599999999860302,1659114.040000000037253,1704180.879999999888241,11467995.759999997913837
