代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15712091.510000001639128
真實報酬,5712091.510000001639128

夏普值報酬,0.562509151000000
夏普值風險,0.148427374146480
夏普值,3.789793858677793

二次趨勢線,107.953541125841298 x^2 + -4881.377276847027133 x + 10000000.000000000000000
二次平均預期報酬,22430.868627990821551
風險,216853.389629867684562
二次平均趨勢值,0.103437943332482
一次趨勢線,15562.244410338551461 x + 10000000.000000000000000
一次預期報酬,15562.244410338551461
一次風險,800204.736064122524112
一次趨勢值,0.019447828423114
找到最佳解世代,2346
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),CSCO[4](6),MSFT[18](3),
FS( 87 ),3599393.320000000298023,3032328.540000000037253,3499125.670000000391155,10130848.530000001192093
FS( 88 ),3657752.600000000093132,3011035.620000000111759,3545835.060000000055879,10214624.280000001192093
FS( 89 ),3651771.680000000167638,2973289.080000000074506,3519657.270000000018626,10144719.029999999329448
FS( 90 ),3667902.040000000037253,2990710.560000000055879,3565340.080000000074506,10223953.679999999701977
FS( 91 ),3696719.200000000186265,2998453.440000000409782,3592031.160000000614673,10287204.800000000745058
FS( 92 ),3738585.640000000130385,3009099.899999999906868,3592544.450000000186265,10340230.990000000223517
FS( 93 ),3741666.720000000204891,3015874.920000000391155,3652086.090000000316650,10409628.730000000447035
FS( 94 ),3737860.680000000167638,3026521.379999999888241,3683910.069999999832362,10448293.130000000819564
FS( 95 ),3779183.399999999906868,3041039.280000000260770,3735752.360000000335276,10555976.039999999105930
FS( 96 ),3788064.160000000149012,3048782.160000000149012,3765009.890000000130385,10601857.210000000894070
FS( 97 ),3774289.920000000391155,3049750.020000000484288,3762443.439999999944121,10586484.380000000819564
FS( 98 ),3822137.280000000260770,3087496.560000000055879,3791187.680000000167638,10700822.519999999552965
FS( 99 ),3811262.880000000353903,3083625.120000000111759,3809666.120000000111759,10704555.120000001043081
FS( 100 ),3844973.520000000018626,3081689.399999999906868,3787594.650000000372529,10714258.570000000298023
FS( 101 ),3845698.480000000447035,3083625.120000000111759,3777842.140000000130385,10707166.740000000223517
FS( 102 ),3850773.200000000186265,3108789.479999999981374,3808126.250000000000000,10767689.929999999701977
FS( 103 ),4231195.959999999962747,3064267.920000000391155,3800940.189999999944121,11096405.070000000298023
FS( 104 ),4368032.160000000149012,3055557.180000000167638,3755257.379999999888241,11178847.719999998807907
FS( 105 ),4372925.640000000596046,3050717.879999999888241,3749097.900000000372529,11172742.420000001788139
FS( 106 ),4394493.200000000186265,3043942.859999999869615,3731646.040000000502914,11170083.100000001490116
FS( 107 ),4339758.719999999739230,3063300.060000000055879,3725486.560000000055879,11128546.339999999850988
FS( 108 ),4312753.959999999962747,3050717.879999999888241,3709061.280000000260770,11072534.120000001043081
FS( 109 ),4318191.160000000149012,3054589.319999999832362,3703415.090000000316650,11076196.570000000298023
FS( 110 ),4308404.200000000186265,3077817.960000000428408,3730619.460000000428408,11116842.620000001043081
FS( 111 ),4354076.679999999701977,3081689.399999999906868,3716247.340000000316650,11152014.419999999925494
FS( 112 ),4340846.160000000149012,3065235.780000000260770,3736265.650000000372529,11142348.589999999850988
FS( 113 ),4246782.600000000558794,3060396.480000000447035,3719840.370000000111759,11027020.450000001117587
FS( 114 ),4220865.280000000260770,3000389.160000000149012,3665431.629999999888241,10886687.070000000298023
FS( 115 ),4257113.280000000260770,3045878.580000000074506,3721380.240000000223517,11024373.100000001490116
FS( 116 ),4298254.760000000707805,3081689.399999999906868,3777328.850000000558794,11157274.010000001639128
FS( 117 ),4334865.240000000223517,3105885.900000000372529,3758337.120000000111759,11199089.260000001639128
FS( 118 ),4306229.320000000298023,3130082.400000000372529,3780408.590000000316650,11216721.310000000521541
FS( 119 ),4269981.320000000298023,3004260.600000000093132,3716247.340000000316650,10990490.259999999776483
FS( 120 ),4273243.640000000596046,2939413.980000000447035,3720866.950000000186265,10933525.570000000298023
FS( 121 ),4271612.480000000447035,2969417.640000000130385,3703415.090000000316650,10944446.210000000894070
FS( 122 ),4345377.160000000149012,3026521.379999999888241,3755257.379999999888241,11127156.919999999925494
FS( 123 ),4315291.320000000298023,2992646.280000000260770,3732672.620000000111759,11040611.220000000670552
FS( 124 ),4327071.919999999925494,3023617.799999999813735,3731132.750000000000000,11081823.469999998807907
FS( 125 ),4275418.519999999552965,3042975.000000000465661,3737805.520000000018626,11056200.039999999105930
FS( 126 ),4298798.480000000447035,3052653.600000000093132,3738318.810000000055879,11089771.890000000596046
FS( 127 ),4358788.919999999925494,3046846.440000000409782,3749611.189999999944121,11155247.550000000745058
FS( 128 ),4358245.200000000186265,3096207.299999999813735,3798887.030000000260770,11253340.530000001192093
FS( 129 ),4343746.000000000000000,3117500.220000000204891,3837897.069999999832362,11299144.290000000968575
FS( 130 ),4355889.080000000074506,3126210.959999999962747,3795294.000000000000000,11277395.039999999105930
FS( 131 ),4295536.160000000149012,3060396.480000000447035,3778355.430000000167638,11134289.070000000298023
FS( 132 ),4252401.040000000037253,3084592.980000000447035,3767576.340000000316650,11104571.360000001266599
FS( 133 ),4283030.600000000558794,3073946.520000000484288,3815825.600000000558794,11172803.720000002533197
FS( 134 ),4327796.879999999888241,3046846.440000000409782,3797347.160000000614673,11171991.480000000447035
FS( 135 ),4360601.320000000298023,3115564.500000000000000,3837383.780000000260770,11313550.600000001490116
FS( 136 ),4360420.080000000074506,3136857.419999999925494,3833277.460000000428408,11330555.960000000894070
FS( 137 ),4384887.480000000447035,3114596.640000000130385,3860481.830000000074506,11359966.950000001117587
FS( 138 ),4444696.679999999701977,3115564.500000000000000,3837897.069999999832362,11398159.250000000000000
FS( 139 ),4513024.160000000149012,3139761.000000000000000,3865614.730000000447035,11518400.890000000596046
FS( 140 ),4586970.080000000074506,3147503.880000000353903,3857915.379999999888241,11592390.339999999850988
FS( 141 ),4575733.200000000186265,3144600.300000000279397,3872287.500000000000000,11592622.000000000000000
FS( 142 ),4630105.200000000186265,3155246.760000000242144,3846623.000000000000000,11631975.960000000894070
FS( 143 ),4640617.120000000111759,3164925.360000000335276,3809152.830000000074506,11614696.310000000521541
FS( 144 ),4648047.959999999962747,3229771.979999999981374,3819418.629999999888241,11697239.570000000298023
FS( 145 ),4609443.839999999850988,3263647.080000000074506,3760390.280000000260770,11633482.199999999254942
FS( 146 ),4598206.959999999962747,3267518.520000000018626,3760390.280000000260770,11626116.760000001639128
FS( 147 ),4626842.879999999888241,3240418.439999999944121,3790674.390000000130385,11657936.710000000894070
FS( 148 ),4608537.640000000596046,3227836.260000000242144,3791700.970000000670552,11628075.870000001043081
FS( 149 ),4607450.200000000186265,3254936.340000000316650,3823524.950000000186265,11685912.490000002086163
FS( 150 ),4639710.919999999925494,3266550.660000000149012,3829684.430000000167638,11735947.009999999776483
FS( 151 ),4630105.200000000186265,3276229.260000000242144,3811719.280000000260770,11718054.740000002086163
FS( 152 ),4635542.400000000372529,3236547.000000000000000,3833790.750000000000000,11705881.150000000372529
FS( 153 ),4692270.519999999552965,3251064.900000000372529,3899491.870000000111759,11842828.289999999105930
FS( 154 ),4686652.080000000074506,3266550.660000000149012,3901031.740000000223517,11854235.480000000447035
FS( 155 ),4683208.519999999552965,3267518.520000000018626,3915917.150000000372529,11866645.189999999478459
FS( 156 ),4729243.480000000447035,3247193.459999999962747,3915917.150000000372529,11892355.089999999850988
FS( 157 ),4738486.719999999739230,3251064.900000000372529,3922589.920000000391155,11912142.540000000968575
FS( 158 ),4747005.000000000931323,3219125.520000000018626,3958520.220000000670552,11924651.740000002086163
FS( 159 ),4725799.919999999925494,3239450.580000000074506,3977511.950000000186265,11942763.449999999254942
FS( 160 ),4707857.160000000149012,3246225.600000000093132,3985724.590000000316650,11939808.349999999627471
FS( 161 ),4687377.040000000037253,3252032.760000000242144,3982644.850000000558794,11922055.650000002235174
FS( 162 ),4713113.120000000111759,3247193.459999999962747,3983671.430000000167638,11943979.009999999776483
FS( 163 ),4694989.120000000111759,3266550.660000000149012,3999070.129999999888241,11960610.910000000149012
FS( 164 ),4798477.160000000149012,3314943.660000000149012,4045266.230000000447035,12158688.050000000745058
FS( 165 ),4754435.839999999850988,3324622.260000000242144,4046292.810000000055879,12125351.910000000149012
FS( 166 ),4821132.160000000149012,3346883.040000000037253,4047832.680000000167638,12215848.880000000819564
FS( 167 ),4683752.240000000223517,3319782.959999999962747,4036027.009999999776483,12039563.210000000894070
FS( 168 ),4699157.639999999664724,3316879.380000000353903,4042699.780000000260770,12058737.800000000745058
FS( 169 ),4648229.200000000186265,3332365.140000000130385,4301911.230000000447035,12282506.570000000298023
FS( 170 ),4698795.160000000149012,3294618.600000000093132,4306017.549999999813735,12299432.309999998658895
FS( 171 ),4675777.680000000633299,3305265.060000000055879,4269573.960000000894070,12250617.700000001117587
FS( 172 ),4685202.160000000149012,3350754.479999999981374,4269573.960000000894070,12305531.600000001490116
FS( 173 ),4760054.280000000260770,3311072.220000000204891,4314230.190000000409782,12385357.690000001341105
FS( 174 ),4744105.160000000149012,3336236.580000000074506,4318849.799999999813735,12399192.539999999105930
FS( 175 ),4786152.839999999850988,3330429.419999999925494,4335788.370000000111759,12452371.629999998956919
FS( 176 ),4823488.280000000260770,3329461.560000000055879,4325522.570000000298023,12478473.410000000149012
FS( 177 ),4813338.839999999850988,3339140.160000000149012,4340407.980000000447035,12492887.980000000447035
FS( 178 ),4761322.959999999962747,3295586.459999999962747,4316283.350000000558794,12373193.769999999552965
FS( 179 ),4727793.560000000521541,3289779.300000000279397,4304990.970000000670552,12322564.830000001937151
FS( 180 ),4756248.240000000223517,3285907.860000000335276,4308070.710000000894070,12350227.810000002384186
FS( 181 ),4744286.400000000372529,3294618.600000000093132,4314230.190000000409782,12353136.190000001341105
FS( 182 ),4764222.800000000745058,3301393.620000000111759,4259308.160000000149012,12324925.580000001937151
FS( 183 ),4779446.959999999962747,3472704.840000000316650,4270600.540000000037253,12522753.339999999850988
FS( 184 ),4753348.400000000372529,3474640.560000000055879,4229537.340000000782311,12457527.300000000745058
FS( 185 ),4796302.280000000260770,3532712.160000000149012,4236210.110000000335276,12565225.550000000745058
FS( 186 ),4839074.919999999925494,3547230.060000000055879,4297291.620000000111759,12683597.600000001490116
FS( 187 ),4805726.759999999776483,3527872.860000000335276,4265980.930000000633299,12599581.550000000745058
FS( 188 ),4818957.280000000260770,3531744.300000000279397,4273680.280000000260770,12624382.859999999403954
FS( 189 ),4813520.080000000074506,3568522.979999999981374,4304990.970000000670552,12687035.030000001192093
FS( 190 ),4857198.919999999925494,3651758.939999999944121,4356833.259999999776483,12865792.119999999180436
FS( 191 ),4880941.360000000335276,3627562.439999999944121,4277786.600000000558794,12786291.400000002235174
FS( 192 ),5016871.360000000335276,3610140.959999999962747,4320389.669999999925494,12947402.990000000223517
FS( 193 ),4918639.280000000260770,3639176.760000000242144,4325009.280000000260770,12882826.320000000298023
FS( 194 ),5038076.440000000409782,3650791.080000000074506,4161783.060000000055879,12850651.580000000074506
FS( 195 ),4994035.120000000111759,3611108.820000000298023,4187960.850000000558794,12793105.790000002831221
FS( 196 ),5043513.639999999664724,3620787.419999999925494,4249042.360000000335276,12913344.419999998062849
FS( 197 ),5110572.440000000409782,3619819.560000000055879,4234156.950000000186265,12964549.949999999254942
FS( 198 ),5181799.759999999776483,3640144.620000000111759,4319876.379999999888241,13141821.759999997913837
FS( 199 ),5132140.000000000931323,3674019.720000000204891,4374798.410000000149012,13180959.130000000819564
FS( 200 ),5255020.719999999739230,3669180.419999999925494,4392763.560000000521541,13316965.700000001117587
FS( 201 ),5289456.319999999366701,3692409.060000000055879,4380957.889999999664724,13362824.269999999552965
FS( 202 ),5326429.280000000260770,3668212.560000000055879,4347080.750000000000000,13341723.589999999850988
FS( 203 ),5327516.719999999739230,3696280.500000000000000,4457951.389999999664724,13481749.609999999403954
FS( 204 ),5367389.519999999552965,3724348.439999999944121,4433826.759999999776483,13525565.719999998807907
FS( 205 ),5387507.160000000149012,3706926.959999999962747,4405595.810000000521541,13500030.930000001564622
FS( 206 ),5399287.759999999776483,3749512.800000000279397,4389683.820000000298023,13538485.380000000819564
FS( 207 ),5347271.879999999888241,3729187.740000000223517,4388657.240000000223517,13465117.860000001266599
FS( 208 ),5348540.560000000521541,3731123.459999999962747,4389170.530000000260770,13468835.550000000745058
FS( 209 ),5353252.800000000745058,3724348.439999999944121,4383524.340000000782311,13461126.580000001937151
FS( 210 ),5357965.040000000037253,3732091.320000000298023,4399436.330000000074506,13489493.689999999478459
FS( 211 ),5371195.560000000521541,3734994.900000000372529,4399949.620000000111759,13506141.080000001937151
FS( 212 ),5345097.000000000931323,3706926.959999999962747,4390710.400000000372529,13442735.360000001266599
FS( 213 ),5380076.319999999366701,3761127.120000000111759,4411755.290000000037253,13552959.730000000447035
FS( 214 ),5397475.360000000335276,3791130.780000000260770,4432286.889999999664724,13620894.030000001192093
FS( 215 ),5376995.240000000223517,3773709.300000000279397,4471296.930000000633299,13622002.470000002533197
FS( 216 ),5597564.319999999366701,3825973.740000000223517,4526732.250000000000000,13950271.309999998658895
FS( 217 ),5621306.759999999776483,3865656.000000000000000,4531351.860000000335276,14018315.620000001043081
FS( 218 ),5771373.480000000447035,3841459.500000000000000,4528272.120000000111759,14141106.100000001490116
FS( 219 ),5804540.400000000372529,3862752.419999999925494,4507740.519999999552965,14175034.339999999850988
FS( 220 ),5946995.040000000037253,3881141.760000000242144,4521086.060000000521541,14349223.860000001266599
FS( 221 ),6093618.200000000186265,3955666.979999999981374,4599106.139999999664724,14648392.320000000298023
FS( 222 ),6074588.000000000931323,3923727.600000000093132,4534944.889999999664724,14533261.490000002086163
FS( 223 ),6361853.400000000372529,3987606.360000000335276,4626823.799999999813735,14976284.560000002384186
FS( 224 ),6165208.000000000931323,3997284.959999999962747,4624770.639999999664724,14787264.600000001490116
FS( 225 ),6121166.680000000633299,3996317.100000000093132,4619637.740000000223517,14737122.520000001415610
FS( 226 ),6126060.160000000149012,4032127.919999999925494,4702277.430000000633299,14860466.510000001639128
FS( 227 ),6082381.319999999366701,4074713.760000000242144,4717162.840000000782311,14874258.920000001788139
FS( 228 ),6066069.719999999739230,4081488.780000000260770,4713056.519999999552965,14860616.019999999552965
FS( 229 ),6218673.800000000745058,4055356.560000000055879,4739234.310000000521541,15013265.670000001788139
FS( 230 ),6220667.440000000409782,4119235.320000000298023,4828033.480000000447035,15167937.240000002086163
FS( 231 ),6177169.839999999850988,4147303.260000000242144,4820847.419999999925494,15145321.519999999552965
FS( 232 ),6120804.200000000186265,4089231.660000000149012,4760279.200000000186265,14970316.059999998658895
FS( 233 ),6422750.040000000037253,4020513.600000000093132,4876796.030000000260770,15320060.670000001788139
FS( 234 ),6469328.719999999739230,4035999.360000000335276,4838299.280000000260770,15343628.359999999403954
FS( 235 ),6323793.000000000931323,3961474.140000000130385,4711003.360000000335276,14996271.500000000000000
FS( 236 ),5960769.280000000260770,3753384.240000000223517,4516979.740000000223517,14231134.259999999776483
FS( 237 ),6178801.000000000931323,3887916.780000000260770,4687905.310000000521541,14754624.090000001713634
FS( 238 ),6309475.040000000037253,3904370.400000000372529,4599619.430000000633299,14813465.870000001043081
FS( 239 ),5974906.000000000931323,3752416.380000000353903,4363506.030000000260770,14090829.410000000149012
FS( 240 ),6032359.080000000074506,3825973.740000000223517,4526218.960000000894070,14384552.780000001192093
FS( 241 ),6231179.360000000335276,3929534.760000000242144,4574981.509999999776483,14735696.630000000819564
FS( 242 ),6219580.000000000931323,3990509.939999999944121,4610911.810000000521541,14821002.750000001862645
FS( 243 ),6250209.560000000521541,4073745.900000000372529,4661214.230000000447035,14985170.690000001341105
FS( 244 ),6460629.200000000186265,4266350.040000000037253,4756172.879999999888241,15483153.120000001043081
FS( 245 ),6434893.120000000111759,4290546.540000000037253,4722295.740000000223517,15447736.400000000372529
FS( 246 ),6404263.560000000521541,4264414.320000000298023,4759252.620000000111759,15427931.500000000000000
FS( 247 ),6386502.040000000037253,4191824.820000000298023,4696117.950000000186265,15274445.809999998658895
FS( 248 ),6450842.240000000223517,4156014.000000000000000,4708436.910000000149012,15315294.150000000372529
FS( 249 ),6464254.000000000931323,4258607.160000000149012,4828033.480000000447035,15550895.640000000596046
FS( 250 ),6587859.680000000633299,4390236.120000000111759,4897840.919999999925494,15875937.720000000670552
FS( 251 ),6608883.519999999552965,4359264.599999999627471,4835219.540000000037253,15803368.660000000149012
FS( 252 ),6564842.200000000186265,4334100.240000000223517,4813148.070000000298023,15712091.510000001639128
