代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13613453.230000000447035
真實報酬,3613453.230000000447035

夏普值報酬,0.352645323000000
夏普值風險,0.090507451386455
夏普值,3.896312597448456

二次趨勢線,-67.581988916315595 x^2 + 31624.707317469321424 x + 10000000.000000000000000
二次平均預期報酬,14526.464121641474776
風險,277647.194092164398171
二次平均趨勢值,0.052319866473491
一次趨勢線,18826.418351087289921 x + 10000000.000000000000000
一次預期報酬,18826.418351087289921
一次風險,556426.102552331984043
一次趨勢值,0.033834534837116
找到最佳解世代,2189
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](4),NKE[19](3),UNH[23](1),WBA[27](2),
FS( 37 ),2679902.299999999813735,2773657.599999999627471,2852552.410000000149012,2851455.200000000186265,11157567.509999999776483
FS( 38 ),2699403.160000000149012,2777078.319999999832362,2848428.990000000223517,2862041.200000000186265,11186951.670000001788139
FS( 39 ),2702699.080000000540167,2792471.559999999590218,2854025.060000000521541,2867969.360000000335276,11217165.060000002384186
FS( 40 ),2664521.340000000316650,2773657.599999999627471,2883478.060000000521541,2871356.880000000353903,11193013.880000000819564
FS( 41 ),2683472.880000000353903,2787910.599999999627471,2889663.190000000409782,2899303.920000000391155,11260350.590000001713634
FS( 42 ),2730165.080000000540167,2830669.599999999627471,2904978.750000000000000,2905232.080000000074506,11371045.509999999776483
FS( 43 ),2715882.760000000242144,2785060.000000000000000,2917643.540000000502914,2869663.120000000111759,11288249.420000001788139
FS( 44 ),2696107.240000000223517,2794752.040000000037253,2940322.350000000093132,2826472.240000000223517,11257653.870000001043081
FS( 45 ),2707917.620000000111759,2807864.799999999813735,2968891.760000000242144,2853148.959999999962747,11337823.140000000596046
FS( 46 ),2717805.380000000353903,2823828.159999999683350,2935609.870000000577420,2875167.840000000316650,11352411.250000000000000
FS( 47 ),2736756.920000000391155,2831809.839999999850988,2955048.850000000093132,2904808.640000000130385,11428424.250000000000000
FS( 48 ),2758455.060000000521541,2785630.119999999646097,2942973.120000000577420,2867969.360000000335276,11355027.660000000149012
FS( 49 ),2736756.920000000391155,2766246.040000000037253,2975371.420000000391155,2904385.200000000186265,11382759.580000001937151
FS( 50 ),2717530.720000000204891,2783919.759999999776483,2918527.130000000353903,2885753.840000000316650,11305731.450000001117587
FS( 51 ),2754060.500000000000000,2763395.439999999944121,2937377.050000000279397,3091545.680000000633299,11546378.670000001788139
FS( 52 ),2740602.160000000149012,2741730.879999999888241,2908807.640000000596046,3154638.240000000223517,11545778.919999999925494
FS( 53 ),2748017.979999999981374,2720636.439999999944121,2894375.670000000391155,3109753.600000000093132,11472783.689999999478459
FS( 54 ),2665894.640000000130385,2657353.119999999646097,2823099.410000000149012,3065292.400000000372529,11211639.570000000298023
FS( 55 ),2717530.720000000204891,2693840.799999999813735,2919999.780000000260770,3048354.799999999813735,11379726.099999999627471
FS( 56 ),2765046.900000000372529,2767386.279999999795109,3011304.080000000074506,3149556.959999999962747,11693294.219999998807907
FS( 57 ),2799654.060000000521541,2703532.839999999850988,3018667.330000000074506,3100861.360000000335276,11622715.589999999850988
FS( 58 ),2842775.680000000167638,2734889.439999999944121,3034866.480000000447035,3144899.120000000111759,11757430.720000002533197
FS( 59 ),2849916.840000000316650,2736029.679999999701977,3029270.410000000149012,3239749.680000000633299,11854966.609999999403954
FS( 60 ),2844423.640000000130385,2745151.599999999627471,3024263.400000000372529,3246524.720000000204891,11860363.360000001266599
FS( 61 ),2849642.180000000167638,2760544.839999999850988,3020434.510000000242144,3237632.479999999981374,11868254.009999999776483
FS( 62 ),2871065.660000000149012,2773657.599999999627471,3013954.850000000093132,3251606.000000000465661,11910284.109999999403954
FS( 63 ),2863924.500000000000000,2761685.079999999608845,3029270.410000000149012,3220271.439999999944121,11875151.429999999701977
FS( 64 ),2883150.700000000186265,2741160.759999999776483,2977433.130000000353903,3226623.040000000502914,11828367.630000000819564
FS( 65 ),2840853.060000000521541,2709234.040000000037253,2968302.700000000186265,3218154.240000000223517,11736544.040000000968575
FS( 66 ),2781251.840000000316650,2665334.799999999813735,2919410.720000000670552,3154638.240000000223517,11520635.600000001490116
FS( 67 ),2772737.380000000353903,2649941.559999999590218,2913520.120000000577420,3162683.600000000093132,11498882.660000000149012
FS( 68 ),2867769.740000000223517,2704673.079999999608845,2943267.650000000372529,3243560.640000000130385,11759271.110000001266599
FS( 69 ),2931216.200000000186265,2766816.159999999683350,3083758.460000000428408,3283787.439999999944121,12065578.259999999776483
FS( 70 ),2880953.420000000391155,2736599.799999999813735,3054894.520000000484288,3204180.720000000204891,11876628.460000002756715
FS( 71 ),2868044.400000000372529,2732608.959999999962747,3020434.510000000242144,3205451.040000000502914,11826538.910000002011657
FS( 72 ),2849092.860000000335276,2708663.919999999925494,3035750.070000000298023,3186819.680000000633299,11780326.530000001192093
FS( 73 ),2819154.920000000391155,2671606.119999999646097,3043407.850000000093132,3175386.799999999813735,11709555.690000001341105
FS( 74 ),2774385.340000000316650,2645950.719999999739230,3076689.740000000223517,3166494.560000000055879,11663520.360000001266599
FS( 75 ),2859804.600000000093132,2651081.799999999813735,3115273.170000000391155,3219424.560000000055879,11845584.130000000819564
FS( 76 ),2835909.180000000167638,2668755.520000000018626,3110855.220000000670552,3220271.439999999944121,11835791.360000001266599
FS( 77 ),2843599.660000000149012,2665904.919999999925494,3219831.320000000298023,3200793.200000000186265,11930129.100000001490116
FS( 78 ),2913363.299999999813735,2732608.959999999962747,3353253.410000000149012,3219001.120000000111759,12218226.789999999105930
FS( 79 ),2894137.100000000093132,2741160.759999999776483,3298765.360000000335276,3200793.200000000186265,12134856.419999998062849
FS( 80 ),2921328.439999999944121,2746861.959999999962747,3287278.690000000409782,3211379.200000000186265,12166848.289999999105930
FS( 81 ),2888369.240000000223517,2693840.799999999813735,3240153.890000000596046,3172846.160000000614673,11995210.089999999850988
FS( 82 ),2876833.520000000018626,2660203.719999999739230,3194501.740000000223517,3123727.120000000111759,11855266.100000001490116
FS( 83 ),2955935.600000000093132,2704673.079999999608845,3221893.030000000260770,3157602.319999999832362,12040104.030000001192093
FS( 84 ),2868044.400000000372529,2629987.359999999869615,3129410.610000000335276,3122880.240000000223517,11750322.610000001266599
FS( 85 ),2868319.060000000521541,2620295.319999999832362,3160041.730000000447035,3171152.400000000372529,11819808.510000001639128
FS( 86 ),2945498.520000000018626,2661343.959999999962747,3175357.290000000502914,3166918.000000000465661,11949117.770000001415610
FS( 87 ),2977633.740000000223517,2637969.040000000037253,3178597.120000000577420,3161836.720000000204891,11956036.620000001043081
FS( 88 ),2993564.020000000018626,2660773.839999999850988,3205104.820000000298023,3166918.000000000465661,12026360.679999999701977
FS( 89 ),2994937.320000000298023,2616874.599999999627471,3169172.160000000149012,3224505.840000000316650,12005489.919999999925494
FS( 90 ),2975711.120000000111759,2599200.879999999888241,3136479.330000000074506,3235091.840000000316650,11946483.169999999925494
FS( 91 ),3039706.900000000372529,2644240.359999999869615,3209522.770000000484288,3247371.600000000093132,12140841.630000000819564
FS( 92 ),3029819.140000000130385,2603191.719999999739230,3235441.410000000149012,3367628.560000000055879,12236080.830000000074506
FS( 93 ),3080631.240000000223517,2622575.799999999813735,3235146.880000000353903,3385836.479999999981374,12324190.400000000372529
FS( 94 ),3073215.420000000391155,2623716.040000000037253,3223365.680000000167638,3333753.360000000335276,12254050.500000000000000
FS( 95 ),3076236.680000000167638,2618584.959999999962747,3232790.640000000596046,3302842.240000000223517,12230454.520000001415610
FS( 96 ),3075962.020000000018626,2668755.520000000018626,3233085.170000000391155,3293950.000000000465661,12271752.710000000894070
FS( 97 ),3047122.720000000204891,2671036.000000000000000,3240742.950000000186265,3264732.640000000130385,12223634.310000002384186
FS( 98 ),3082828.520000000018626,2706383.439999999944121,3317026.220000000670552,3266002.959999999962747,12372241.140000000596046
FS( 99 ),3083927.160000000149012,2708663.919999999925494,3428358.560000000521541,3327825.200000000186265,12548774.839999999850988
FS( 100 ),3206700.180000000167638,2720066.319999999832362,3399789.150000000372529,3404044.400000000372529,12730600.050000000745058
FS( 101 ),3194615.140000000130385,2759974.719999999739230,3359144.010000000242144,3387953.680000000633299,12701687.550000000745058
FS( 102 ),3169071.760000000242144,2765105.799999999813735,3347657.340000000316650,3457397.840000000316650,12739232.740000000223517
FS( 103 ),3151768.180000000167638,2768526.520000000018626,3346773.750000000000000,3517949.760000000242144,12785018.209999999031425
FS( 104 ),3189396.600000000093132,2815276.359999999869615,3369452.560000000521541,3540815.520000000484288,12914941.039999999105930
FS( 105 ),3188023.299999999813735,2793041.679999999701977,3324094.940000000409782,3523454.479999999981374,12828614.400000000372529
FS( 106 ),3152042.840000000316650,2779928.919999999925494,3352369.820000000298023,3515409.120000000111759,12799750.699999999254942
FS( 107 ),3183628.740000000223517,2806724.559999999590218,3380939.230000000447035,3523031.040000000502914,12894323.570000002160668
FS( 108 ),3143528.380000000353903,2762825.319999999832362,3324684.000000000000000,3487038.640000000130385,12718076.339999999850988
FS( 109 ),3165501.180000000167638,2777648.439999999944121,3384179.060000000521541,3535734.240000000223517,12863062.919999999925494
FS( 110 ),3091617.640000000130385,2751422.919999999925494,3312313.740000000223517,3502705.920000000391155,12658060.220000000670552
FS( 111 ),3105625.299999999813735,2717785.839999999850988,3319971.520000000484288,3493813.680000000633299,12637196.339999999850988
FS( 112 ),3188847.279999999795109,2766246.040000000037253,3383590.000000000000000,3567492.240000000223517,12906175.560000000521541
FS( 113 ),3153690.799999999813735,2731468.719999999739230,3394487.610000000335276,3545049.920000000391155,12824697.049999998882413
FS( 114 ),3199833.680000000167638,2749142.439999999944121,3490798.920000000391155,3674199.120000000111759,13113974.160000000149012
FS( 115 ),3174564.959999999962747,2751993.040000000037253,3463702.160000000149012,3652603.680000000633299,13042863.839999999850988
FS( 116 ),3188297.959999999962747,2779928.919999999925494,3533211.240000000223517,3691560.160000000614673,13192998.280000001192093
FS( 117 ),3163029.240000000223517,2802733.719999999739230,3556773.640000000596046,3699182.080000000074506,13221718.680000001564622
FS( 118 ),3227025.020000000018626,2907065.679999999701977,3509059.780000000260770,3736021.360000000335276,13379171.839999999850988
FS( 119 ),3188023.299999999813735,2892242.559999999590218,3506114.480000000447035,3722894.720000000204891,13309275.060000000521541
FS( 120 ),3190220.580000000540167,2869437.759999999776483,3479017.720000000670552,3726282.240000000223517,13264958.300000000745058
FS( 121 ),3122379.560000000521541,2822117.799999999813735,3432481.980000000447035,3636512.959999999962747,13013492.300000000745058
FS( 122 ),3086399.100000000093132,2831809.839999999850988,3423940.610000000335276,3575537.600000000093132,12917687.150000000372529
FS( 123 ),3127323.439999999944121,2847203.079999999608845,3475777.890000000596046,3611530.000000000465661,13061834.410000000149012
FS( 124 ),3148472.260000000242144,2876279.200000000186265,3563842.360000000335276,3641170.799999999813735,13229764.620000001043081
FS( 125 ),3120456.939999999944121,2860315.839999999850988,3484024.730000000447035,3585700.160000000614673,13050497.669999999925494
FS( 126 ),3107273.260000000242144,2838081.159999999683350,3459284.210000000428408,3567915.680000000633299,12972554.310000002384186
FS( 127 ),3146000.320000000298023,2840931.759999999776483,3456633.440000000409782,3640323.920000000391155,13083889.439999999478459
FS( 128 ),3157261.380000000353903,2843212.239999999757856,3466647.460000000428408,3726705.680000000633299,13193826.760000001639128
FS( 129 ),3139408.479999999981374,2839791.520000000018626,3456338.910000000149012,3695794.560000000055879,13131333.470000000670552
FS( 130 ),3174839.620000000111759,2874568.839999999850988,3481079.430000000167638,3712732.160000000614673,13243220.050000000745058
FS( 131 ),3146824.299999999813735,2871148.119999999646097,3491682.510000000242144,3921911.520000000484288,13431566.449999999254942
FS( 132 ),3165226.520000000018626,2850053.679999999701977,3504936.360000000335276,3896505.120000000111759,13416721.679999999701977
FS( 133 ),3143253.720000000204891,2830099.479999999981374,3515833.970000000670552,3883378.479999999981374,13372565.650000002235174
FS( 134 ),3132541.979999999981374,2837511.040000000037253,3532033.120000000577420,3894811.360000000335276,13396897.500000000000000
FS( 135 ),3116062.380000000353903,2846062.839999999850988,3455455.320000000298023,3876180.000000000465661,13293760.540000000968575
FS( 136 ),3113865.100000000093132,2847773.200000000186265,3581514.160000000149012,3790645.120000000111759,13333797.580000001937151
FS( 137 ),3078983.279999999795109,2809575.159999999683350,3496394.990000000223517,3682244.479999999981374,13067197.910000000149012
FS( 138 ),3099857.439999999944121,2850623.799999999813735,3492566.100000000093132,3689019.520000000484288,13132066.859999999403954
FS( 139 ),3108371.900000000372529,2859175.599999999627471,3513183.200000000186265,3687749.200000000186265,13168479.899999998509884
FS( 140 ),3103428.020000000018626,2855184.759999999776483,3469887.290000000502914,3684785.120000000111759,13113285.190000001341105
FS( 141 ),3130070.040000000037253,2882550.520000000018626,3483141.140000000596046,3670811.600000000093132,13166573.300000000745058
FS( 142 ),3122928.880000000353903,2877989.559999999590218,3495805.930000000167638,3640747.360000000335276,13137471.730000000447035
FS( 143 ),3059482.420000000391155,2877419.439999999944121,3423646.080000000074506,3646675.520000000484288,13007223.460000000894070
FS( 144 ),3037234.959999999962747,2846632.959999999962747,3463407.630000000353903,3644981.760000000242144,12992257.310000000521541
FS( 145 ),2985873.540000000037253,2855754.879999999888241,3346184.690000000409782,3581042.319999999832362,12768855.429999999701977
FS( 146 ),2938357.360000000335276,2817556.839999999850988,3281093.560000000521541,3511598.160000000614673,12548605.920000001788139
FS( 147 ),3008944.979999999981374,2872858.479999999981374,3334108.960000000428408,3534040.479999999981374,12749952.900000000372529
FS( 148 ),3022952.640000000130385,2874568.839999999850988,3374165.040000000502914,3562410.959999999962747,12834097.480000000447035
FS( 149 ),2968020.640000000130385,2862596.319999999832362,3339115.970000000670552,3520490.400000000372529,12690223.330000000074506
FS( 150 ),2974887.140000000130385,2856895.119999999646097,3342650.330000000074506,3518796.640000000130385,12693229.230000000447035
FS( 151 ),3022403.320000000298023,2892242.559999999590218,3380055.640000000596046,3566645.360000000335276,12861346.879999998956919
FS( 152 ),3089145.700000000186265,2920178.439999999944121,3407152.400000000372529,3600097.120000000111759,13016573.660000000149012
FS( 153 ),3073490.080000000540167,2930440.599999999627471,3380350.170000000391155,3567492.240000000223517,12951773.089999999850988
FS( 154 ),3090519.000000000000000,2918468.079999999608845,3376521.280000000260770,3564528.160000000614673,12950036.519999999552965
FS( 155 ),3053989.220000000204891,2912196.759999999776483,3412453.940000000409782,3559870.319999999832362,12938510.240000002086163
FS( 156 ),3074588.720000000204891,2948684.439999999944121,3491093.450000000186265,3614070.640000000130385,13128437.250000000000000
FS( 157 ),3113315.779999999795109,2992583.679999999701977,3514655.850000000093132,3661495.920000000391155,13282051.229999998584390
FS( 158 ),3140232.459999999962747,2986312.359999999869615,3528498.760000000242144,3656838.080000000074506,13311881.660000000149012
FS( 159 ),3085575.120000000111759,2982891.639999999664724,3550588.510000000242144,3634819.200000000186265,13253874.469999998807907
FS( 160 ),3078983.279999999795109,2982321.520000000018626,3570911.080000000074506,3594592.400000000372529,13226808.279999999329448
FS( 161 ),3076511.340000000316650,2976050.200000000186265,3547937.740000000223517,3689866.400000000372529,13290365.680000001564622
FS( 162 ),3080631.240000000223517,2977190.439999999944121,3522313.630000000353903,3660649.040000000502914,13240784.350000001490116
FS( 163 ),3046848.060000000521541,2948114.319999999832362,3482552.080000000074506,3622539.439999999944121,13100053.900000000372529
FS( 164 ),3080631.240000000223517,2931580.839999999850988,3518190.210000000428408,3649216.160000000614673,13179618.450000001117587
FS( 165 ),3081455.220000000204891,2916187.599999999627471,3523197.220000000670552,3643711.439999999944121,13164551.480000000447035
FS( 166 ),3060306.400000000372529,2898513.879999999888241,3540574.490000000223517,3634819.200000000186265,13134213.969999998807907
FS( 167 ),3067172.900000000372529,2900794.359999999869615,3530265.940000000409782,3640747.360000000335276,13138980.559999998658895
FS( 168 ),3064975.620000000111759,2911056.520000000018626,3468120.110000000335276,3655567.760000000242144,13099720.009999999776483
FS( 169 ),3108097.240000000223517,2922458.919999999925494,3485791.910000000149012,3633972.319999999832362,13150320.390000000596046
FS( 170 ),3061405.040000000037253,2906495.559999999590218,3435721.810000000521541,3609836.240000000223517,13013458.650000000372529
FS( 171 ),3031467.100000000093132,2908776.040000000037253,3432187.450000000186265,3552248.400000000372529,12924678.990000000223517
FS( 172 ),3019382.060000000521541,2891672.439999999944121,3443379.590000000316650,3525571.680000000633299,12880005.769999999552965
FS( 173 ),3008395.660000000149012,2889391.959999999962747,3445735.830000000074506,3564104.720000000204891,12907628.169999999925494
FS( 174 ),3048221.360000000335276,2945833.839999999850988,3491682.510000000242144,3619998.799999999813735,13105736.510000001639128
FS( 175 ),3056735.820000000298023,2961227.079999999608845,3514361.320000000298023,3632702.000000000465661,13165026.220000000670552
FS( 176 ),3037784.279999999795109,2958376.479999999981374,3465174.810000000521541,3601790.880000000353903,13063126.450000001117587
FS( 177 ),3021579.340000000316650,2946403.959999999962747,3504347.300000000279397,3574690.720000000204891,13047021.320000002160668
FS( 178 ),3027621.860000000335276,2980611.159999999683350,3580041.510000000242144,3636512.959999999962747,13224787.489999998360872
FS( 179 ),3034213.700000000186265,2986312.359999999869615,3526731.580000000074506,3625503.520000000484288,13172761.160000000149012
FS( 180 ),3072116.779999999795109,3021659.799999999813735,3560602.530000000260770,3717813.439999999944121,13372192.549999998882413
FS( 181 ),3088047.060000000521541,3037053.040000000037253,3544108.850000000093132,3748301.120000000111759,13417510.070000000298023
FS( 182 ),3105625.299999999813735,3044464.599999999627471,3541752.610000000335276,3715696.240000000223517,13407538.750000000000000
FS( 183 ),3108646.560000000521541,3055867.000000000000000,3615090.580000000074506,3687749.200000000186265,13467353.339999999850988
FS( 184 ),3085849.779999999795109,3027931.119999999646097,3509943.370000000577420,3647945.840000000316650,13271670.109999999403954
FS( 185 ),3082828.520000000018626,2999425.119999999646097,3603014.850000000093132,3656838.080000000074506,13342106.570000000298023
FS( 186 ),3092716.279999999795109,3127702.119999999646097,3630111.610000000335276,3674199.120000000111759,13524729.129999998956919
FS( 187 ),3036136.320000000298023,3069549.879999999888241,3569438.430000000167638,3568762.560000000055879,13243887.190000001341105
FS( 188 ),3052341.260000000242144,3079241.919999999925494,3593295.360000000335276,3575537.600000000093132,13300416.139999998733401
FS( 189 ),3078159.299999999813735,3119720.439999999944121,3633940.500000000000000,3631855.120000000111759,13463675.359999999403954
FS( 190 ),3062229.020000000018626,3132263.079999999608845,3587699.290000000502914,3633548.880000000353903,13415740.270000001415610
FS( 191 ),3057559.799999999813735,3131122.839999999850988,3598007.840000000316650,3615764.400000000372529,13402454.880000000819564
FS( 192 ),3087223.080000000540167,3172741.599999999627471,3555006.460000000428408,3694524.240000000223517,13509495.380000000819564
FS( 193 ),3048770.680000000167638,3115159.479999999981374,3498456.700000000186265,3637783.280000000260770,13300170.140000000596046
FS( 194 ),3059207.760000000242144,3119720.439999999944121,3514950.380000000353903,3791915.439999999944121,13485794.019999999552965
FS( 195 ),3106449.279999999795109,3150506.919999999925494,3597713.310000000521541,3942660.080000000074506,13797329.589999999850988
FS( 196 ),3155888.080000000540167,3204668.319999999832362,3606549.210000000428408,4000671.360000000335276,13967776.970000002533197
FS( 197 ),3168522.439999999944121,3202387.839999999850988,3681654.360000000335276,3994319.760000000242144,14046884.400000000372529
FS( 198 ),3174564.959999999962747,3189845.200000000186265,3706983.940000000409782,3978229.040000000502914,14049623.140000002458692
FS( 199 ),3151218.860000000335276,3202387.839999999850988,3679592.650000000372529,4068845.200000000186265,14102044.550000000745058
FS( 200 ),3144077.700000000186265,3215500.599999999627471,3647783.410000000149012,4054448.240000000223517,14061809.950000001117587
FS( 201 ),3114963.740000000223517,3225192.639999999664724,3612439.810000000521541,4050213.840000000316650,14002810.030000001192093
FS( 202 ),3127323.439999999944121,3221201.799999999813735,3559718.940000000409782,4050637.280000000260770,13958881.460000000894070
FS( 203 ),3155888.080000000540167,3252558.399999999441206,3552355.690000000409782,4092134.400000000372529,14052936.570000002160668
FS( 204 ),3147373.620000000111759,3249707.799999999813735,3514655.850000000093132,4043015.360000000335276,13954752.629999998956919
FS( 205 ),3119907.620000000111759,3221201.799999999813735,3473716.180000000167638,4027348.080000000074506,13842173.679999999701977
FS( 206 ),3105625.299999999813735,3185284.239999999757856,3471949.000000000000000,3996436.959999999962747,13759295.500000000000000
FS( 207 ),3154240.120000000111759,3234884.679999999701977,3579157.920000000391155,4074349.920000000391155,14042632.640000000596046
FS( 208 ),3196263.100000000093132,3275933.319999999832362,3579157.920000000391155,4089593.760000000242144,14140948.099999999627471
FS( 209 ),3198735.040000000037253,3278783.919999999925494,3550883.040000000502914,4087900.000000000465661,14116302.000000000000000
FS( 210 ),3214390.660000000149012,3284485.119999999646097,3575623.560000000521541,4091710.959999999962747,14166210.300000000745058
FS( 211 ),3210545.420000000391155,3273652.839999999850988,3560602.530000000260770,4061223.280000000260770,14106024.070000000298023
FS( 212 ),3228123.660000000149012,3300448.479999999981374,3559129.880000000353903,4051060.720000000204891,14138762.740000002086163
FS( 213 ),3241032.680000000167638,3328384.359999999869615,3649845.120000000577420,4093828.160000000614673,14313090.320000000298023
FS( 214 ),3201481.640000000130385,3281634.520000000018626,3594473.480000000447035,3968913.360000000335276,14046503.000000000000000
FS( 215 ),3211644.060000000521541,3264530.919999999925494,3587993.820000000298023,3949858.560000000055879,14014027.360000001266599
FS( 216 ),3230046.279999999795109,3288475.959999999962747,3607432.800000000279397,3978229.040000000502914,14104184.080000001937151
FS( 217 ),3232518.220000000204891,3262820.559999999590218,3600953.140000000596046,3935885.040000000502914,14032176.960000000894070
FS( 218 ),3232518.220000000204891,3222912.159999999683350,3569732.960000000428408,3953246.080000000074506,13978409.419999999925494
FS( 219 ),3269048.000000000000000,3238305.399999999441206,3549704.920000000391155,3918524.000000000465661,13975582.320000000298023
FS( 220 ),3289098.180000000167638,3259969.959999999962747,3564431.420000000391155,3899892.640000000130385,14013392.200000001117587
FS( 221 ),3287724.880000000353903,3277643.679999999701977,3646899.820000000298023,3925299.040000000502914,14137567.420000001788139
FS( 222 ),3372869.479999999981374,3273082.719999999739230,3696380.860000000335276,3893117.600000000093132,14235450.659999998286366
FS( 223 ),3371770.840000000316650,3277073.559999999590218,3629228.020000000484288,3870675.280000000260770,14148747.700000002980232
FS( 224 ),3310796.320000000298023,3201247.599999999627471,3528204.230000000447035,3801231.120000000111759,13841479.269999999552965
FS( 225 ),3190495.240000000223517,3046745.079999999608845,3424824.200000000186265,3625080.080000000074506,13287144.599999999627471
