代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14983246.910000000149012
真實報酬,4983246.910000000149012

夏普值報酬,0.489624691000000
夏普值風險,0.120026474594406
夏普值,4.079305775284501

二次趨勢線,28.514614738822999 x^2 + 12250.240566147327627 x + 10000000.000000000000000
二次平均預期報酬,19464.438095069548581
風險,192620.351021156035131
二次平均趨勢值,0.101050787166989
一次趨勢線,17650.174558093080122 x + 10000000.000000000000000
一次預期報酬,17650.174558093080122
一次風險,280172.414603423443623
一次趨勢值,0.062997545932837
找到最佳解世代,1845
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),DD[7](10),MMM[16](2),NKE[19](3),UNH[23](11),
FS( 91 ),2459055.500000000000000,2078604.650000000139698,2331707.719999999739230,2494595.599999999627471,2287859.500000000000000,11651822.969999998807907
FS( 92 ),2494088.000000000000000,2113445.629999999888241,2333606.809999999590218,2543206.399999999906868,2263657.299999999813735,11748004.140000000596046
FS( 93 ),2517702.500000000000000,2138514.140000000130385,2352808.719999999739230,2540120.000000000000000,2259256.900000000372529,11808402.259999999776483
FS( 94 ),2506284.500000000000000,2124067.879999999888241,2343735.290000000037253,2486107.999999999534339,2278692.000000000000000,11738887.669999999925494
FS( 95 ),2567007.500000000000000,2167406.660000000149012,2350487.610000000335276,2520058.399999999441206,2304361.000000000000000,11909321.169999999925494
FS( 96 ),2561817.500000000000000,2154659.959999999962747,2357450.940000000409782,2520830.000000000000000,2294093.400000000372529,11888851.800000000745058
FS( 97 ),2562596.000000000000000,2164857.320000000298023,2363570.230000000447035,2516971.999999999534339,2305461.099999999627471,11913456.650000000372529
FS( 98 ),2541317.000000000000000,2124917.660000000149012,2337827.009999999776483,2486879.599999999627471,2283825.799999999813735,11774767.070000000298023
FS( 99 ),2588546.000000000000000,2124067.879999999888241,2329808.629999999888241,2443670.000000000000000,2286759.400000000372529,11772851.910000000149012
FS( 100 ),2595033.500000000000000,2122793.209999999962747,2326854.490000000223517,2422836.799999999813735,2275758.400000000372529,11743276.400000000372529
FS( 101 ),2597888.000000000000000,2120243.870000000111759,2354707.809999999590218,2441355.199999999720603,2322696.000000000000000,11836890.879999998956919
FS( 102 ),2571419.000000000000000,2114295.410000000149012,2345001.349999999627471,2428237.999999999534339,2323062.700000000186265,11782016.460000000894070
FS( 103 ),2609046.500000000000000,2105797.610000000335276,2351120.639999999664724,2408176.399999999906868,2371100.399999999441206,11845241.550000000745058
FS( 104 ),2569602.500000000000000,2084978.000000000000000,2326854.490000000223517,2378855.599999999627471,2296660.299999999813735,11656950.890000000596046
FS( 105 ),2614236.500000000000000,2077754.869999999878928,2334028.830000000074506,2432096.000000000000000,2302894.200000000186265,11761010.399999998509884
FS( 106 ),2584913.000000000000000,2094750.469999999972060,2321579.240000000223517,2422065.199999999720603,2286759.400000000372529,11710067.310000000521541
FS( 107 ),2555849.000000000000000,2036540.540000000037253,2291404.809999999590218,2382713.599999999627471,2264390.700000000186265,11530898.649999998509884
FS( 108 ),2588805.500000000000000,2050561.909999999916181,2293092.889999999664724,2398145.599999999627471,2270624.599999999627471,11601230.499999998137355
FS( 109 ),2659649.000000000000000,2078604.650000000139698,2344579.330000000074506,2421293.599999999627471,2294460.099999999627471,11798586.679999999701977
FS( 110 ),2653161.500000000000000,2077329.979999999981374,2338249.030000000260770,2432096.000000000000000,2335163.799999999813735,11836000.310000002384186
FS( 111 ),2640446.000000000000000,2057360.150000000139698,2325799.440000000409782,2398145.599999999627471,2344331.299999999813735,11766082.490000002086163
FS( 112 ),2617869.500000000000000,2044613.449999999953434,2300689.250000000000000,2369596.399999999906868,2340664.299999999813735,11673432.899999998509884
FS( 113 ),2651085.500000000000000,2096450.030000000260770,2346478.419999999925494,2382713.599999999627471,2352398.700000000186265,11829126.250000000000000
FS( 114 ),2642522.000000000000000,2057785.040000000037253,2342891.250000000000000,2388114.799999999813735,2339564.200000000186265,11770877.289999999105930
FS( 115 ),2673662.000000000000000,2065857.949999999953434,2361460.129999999888241,2389657.999999999534339,2360466.100000000558794,11851104.179999999701977
FS( 116 ),2700909.500000000000000,2094750.469999999972060,2383827.190000000409782,2398145.599999999627471,2408503.799999999813735,11986136.559999998658895
FS( 117 ),2653421.000000000000000,2063308.610000000102445,2354285.790000000037253,2382713.599999999627471,2393102.400000000372529,11846831.400000000372529
FS( 118 ),2585691.500000000000000,2008497.800000000046566,2295414.000000000000000,2344905.199999999720603,2339564.200000000186265,11574072.699999999254942
FS( 119 ),2594514.500000000000000,1974506.599999999860302,2312505.809999999590218,2337189.199999999720603,2343231.200000000186265,11561947.309999998658895
FS( 120 ),2539241.000000000000000,1957511.000000000000000,2268404.719999999739230,2313269.599999999627471,2370733.700000000186265,11449160.019999999552965
FS( 121 ),2560520.000000000000000,1966433.690000000176951,2284019.459999999962747,2330244.799999999813735,2336997.299999999813735,11478215.250000000000000
FS( 122 ),2614496.000000000000000,1948588.310000000055879,2314404.900000000372529,2386571.599999999627471,2375500.799999999813735,11639561.609999999403954
FS( 123 ),2676776.000000000000000,1957511.000000000000000,2326221.459999999962747,2404318.399999999906868,2423538.500000000000000,11788365.359999999403954
FS( 124 ),2658351.500000000000000,1946463.860000000102445,2307441.570000000298023,2456787.199999999720603,2401169.799999999813735,11770213.929999999701977
FS( 125 ),2679111.500000000000000,1966433.690000000176951,2306597.530000000260770,2405090.000000000000000,2406670.299999999813735,11763903.019999999552965
FS( 126 ),2633180.000000000000000,1963034.570000000065193,2294358.950000000186265,2415892.399999999906868,2393469.099999999627471,11699935.019999999552965
FS( 127 ),2670029.000000000000000,1962184.790000000037253,2309551.669999999925494,2425151.599999999627471,2403370.000000000000000,11770287.059999998658895
FS( 128 ),2704023.500000000000000,1977905.719999999972060,2353652.759999999776483,2455244.000000000000000,2426472.099999999627471,11917298.080000000074506
FS( 129 ),2708435.000000000000000,2002124.449999999953434,2366102.349999999627471,2458330.399999999906868,2477443.400000000372529,12012435.599999999627471
FS( 130 ),2716479.500000000000000,2058634.820000000065193,2391845.570000000298023,2466817.999999999534339,2492478.099999999627471,12126255.990000000223517
FS( 131 ),2737758.500000000000000,2044613.449999999953434,2393533.650000000372529,2453700.799999999813735,2482210.500000000000000,12111816.900000000372529
FS( 132 ),2773569.500000000000000,2069257.070000000065193,2416744.750000000000000,2458330.399999999906868,2506779.400000000372529,12224681.120000001043081
FS( 133 ),2643560.000000000000000,2064583.280000000260770,2429616.360000000335276,2456787.199999999720603,2493578.200000000186265,12088125.039999999105930
FS( 134 ),2741910.500000000000000,2081578.880000000121072,2423497.070000000298023,2444441.599999999627471,2479643.600000000558794,12171071.650000002235174
FS( 135 ),2704802.000000000000000,2055660.590000000083819,2412735.559999999590218,2418978.799999999813735,2453607.899999999441206,12045784.849999997764826
FS( 136 ),2719334.000000000000000,2101548.709999999962747,2419065.860000000335276,2443670.000000000000000,2428672.299999999813735,12112290.870000001043081
FS( 137 ),2793032.000000000000000,2092626.020000000018626,2436790.700000000186265,2442898.399999999906868,2587086.700000000186265,12352433.820000000298023
FS( 138 ),2775645.500000000000000,2097724.699999999720603,2451772.410000000149012,2444441.599999999627471,2620089.700000000186265,12389673.910000000149012
FS( 139 ),2773050.500000000000000,2093050.909999999916181,2453671.500000000000000,2442126.799999999813735,2646858.799999999813735,12408758.510000001639128
FS( 140 ),2797184.000000000000000,2090501.570000000065193,2463588.969999999739230,2438268.799999999813735,2665560.500000000000000,12455103.839999999850988
FS( 141 ),2775386.000000000000000,2079879.320000000065193,2454726.549999999813735,2416664.000000000000000,2659693.299999999813735,12386349.170000001788139
FS( 142 ),2768898.500000000000000,2117269.640000000130385,2459368.769999999552965,2411262.799999999813735,2662993.600000000558794,12419793.310000002384186
FS( 143 ),2740353.500000000000000,2099849.149999999906868,2466965.129999999888241,2412806.000000000000000,2647958.899999999441206,12367932.679999999701977
FS( 144 ),2719853.000000000000000,2117694.530000000260770,2460634.830000000074506,2419750.399999999906868,2669227.500000000000000,12387160.259999999776483
FS( 145 ),2743727.000000000000000,2121518.540000000037253,2465488.059999999590218,2425151.599999999627471,2650159.099999999627471,12406044.299999998882413
FS( 146 ),2727378.500000000000000,2120243.870000000111759,2477937.650000000372529,2427466.399999999906868,2671427.700000000186265,12424454.120000001043081
FS( 147 ),2768898.500000000000000,2141913.259999999776483,2498616.629999999888241,2545521.200000000186265,2682795.399999999441206,12637744.989999998360872
FS( 148 ),2800038.500000000000000,2191625.390000000130385,2495451.480000000447035,2557866.799999999813735,2649792.400000000372529,12694774.570000002160668
FS( 149 ),2789658.500000000000000,2207346.320000000298023,2488277.139999999664724,2561724.799999999813735,2689396.000000000000000,12736402.759999999776483
FS( 150 ),2777721.500000000000000,2181852.919999999925494,2479414.719999999739230,2567126.000000000000000,2685729.000000000000000,12691844.140000000596046
FS( 151 ),2761632.500000000000000,2195874.290000000037253,2486378.049999999813735,2532404.000000000000000,2673994.599999999627471,12650283.439999999478459
FS( 152 ),2746581.500000000000000,2233264.610000000335276,2504313.900000000372529,2548607.600000000093132,2683528.799999999813735,12716296.410000000149012
FS( 153 ),2733347.000000000000000,2301671.899999999906868,2496506.530000000260770,2558638.399999999441206,2674361.299999999813735,12764525.129999998956919
FS( 154 ),2705061.500000000000000,2267680.699999999720603,2497983.599999999627471,2566354.399999999441206,2654559.500000000000000,12691639.699999999254942
FS( 155 ),2756702.000000000000000,2291899.429999999701977,2504102.889999999664724,2539348.399999999441206,2689762.700000000186265,12781815.419999998062849
FS( 156 ),2702985.500000000000000,2284251.410000000149012,2481946.839999999850988,2482250.000000000000000,2658226.500000000000000,12609660.250000000000000
FS( 157 ),2665877.000000000000000,2248135.759999999776483,2444598.070000000298023,2449842.799999999813735,2618256.200000000186265,12426709.829999998211861
FS( 158 ),2685080.000000000000000,2231989.939999999944121,2445653.120000000111759,2456015.599999999627471,2619356.299999999813735,12438094.960000000894070
FS( 159 ),2717517.500000000000000,2216269.009999999776483,2439533.830000000074506,2496138.799999999813735,2629623.899999999441206,12499083.039999999105930
FS( 160 ),2715182.000000000000000,2235813.949999999720603,2435524.639999999664724,2493824.000000000000000,2657126.399999999441206,12537470.989999998360872
FS( 161 ),2696498.000000000000000,2247285.979999999981374,2393322.639999999664724,2474534.000000000000000,2634757.700000000186265,12446398.320000000298023
FS( 162 ),2728416.500000000000000,2250260.209999999962747,2419698.889999999664724,2502311.599999999627471,2639158.099999999627471,12539845.299999998882413
FS( 163 ),2737239.500000000000000,2344160.899999999906868,2414001.620000000111759,2476848.799999999813735,2660060.000000000000000,12632310.820000000298023
FS( 164 ),2738537.000000000000000,2338637.330000000074506,2412524.549999999813735,2466046.399999999906868,2654192.799999999813735,12609938.079999998211861
FS( 165 ),2678333.000000000000000,2272779.379999999888241,2378762.950000000186265,2423608.399999999906868,2622656.599999999627471,12376140.330000000074506
FS( 166 ),2679890.000000000000000,2265981.140000000130385,2384460.219999999739230,2445213.199999999720603,2623390.000000000000000,12398934.560000000521541
FS( 167 ),2722967.000000000000000,2270230.040000000037253,2391212.540000000037253,2449071.199999999720603,2656393.000000000000000,12489873.779999999329448
FS( 168 ),2696757.500000000000000,2263006.910000000149012,2396698.799999999813735,2423608.399999999906868,2630724.000000000000000,12410795.609999999403954
FS( 169 ),2725043.000000000000000,2265556.250000000000000,2389102.440000000409782,2480706.799999999813735,2660793.400000000372529,12521201.890000000596046
FS( 170 ),2760335.000000000000000,2285950.969999999739230,2417166.769999999552965,2513114.000000000000000,2689762.700000000186265,12666329.439999997615814
FS( 171 ),2767601.000000000000000,2324191.070000000298023,2423919.089999999850988,2522373.199999999720603,2715065.000000000000000,12753149.359999999403954
FS( 172 ),2752550.000000000000000,2333113.759999999776483,2427506.259999999776483,2506941.200000000186265,2715798.400000000372529,12735909.619999999180436
FS( 173 ),2781614.000000000000000,2348409.800000000279397,2463377.959999999962747,2523144.799999999813735,2722765.700000000186265,12839312.260000001639128
FS( 174 ),2807045.000000000000000,2419366.429999999701977,2481313.809999999590218,2577928.399999999441206,2736700.299999999813735,13022353.939999997615814
FS( 175 ),2834552.000000000000000,2411293.520000000018626,2504946.929999999701977,2608020.799999999813735,2756868.799999999813735,13115682.050000000745058
FS( 176 ),2849343.500000000000000,2351384.030000000260770,2494185.419999999925494,2626539.199999999720603,2740734.000000000000000,13062186.150000000372529
FS( 177 ),2889047.000000000000000,2412568.189999999944121,2502625.820000000298023,2620366.399999999906868,2731199.799999999813735,13155807.210000000894070
FS( 178 ),3001670.000000000000000,2408319.290000000037253,2515919.450000000186265,2631168.799999999813735,2754668.600000000558794,13311746.140000000596046
FS( 179 ),3039038.000000000000000,2402795.719999999739230,2530690.150000000372529,2635798.399999999441206,2724965.900000000372529,13333288.169999999925494
FS( 180 ),3072513.500000000000000,2472477.679999999701977,2559387.509999999776483,2680551.200000000186265,2678395.000000000000000,13463324.890000000596046
FS( 181 ),3089121.500000000000000,2457181.640000000130385,2565295.790000000037253,2681322.799999999813735,2597721.000000000000000,13390642.730000000447035
FS( 182 ),3026582.000000000000000,2402370.830000000074506,2532378.230000000447035,2676693.199999999720603,2587820.099999999627471,13225844.359999999403954
FS( 183 ),3049418.000000000000000,2374328.090000000316650,2555589.330000000074506,2661261.200000000186265,2633657.599999999627471,13274254.220000000670552
FS( 184 ),3088083.500000000000000,2366680.070000000298023,2549048.019999999552965,2679007.999999999534339,2651992.599999999627471,13334812.189999999478459
FS( 185 ),3075368.000000000000000,2411718.410000000149012,2536387.419999999925494,2658946.399999999906868,2639524.799999999813735,13321945.030000001192093
FS( 186 ),3097944.500000000000000,2419791.320000000298023,2546093.879999999888241,2713730.000000000000000,2646125.399999999441206,13423685.099999997764826
FS( 187 ),3081336.500000000000000,2361156.500000000000000,2536809.440000000409782,2841044.000000000000000,2639891.500000000000000,13460237.940000001341105
FS( 188 ),3049158.500000000000000,2323766.179999999701977,2519717.629999999888241,2802464.000000000000000,2625956.900000000372529,13321063.209999999031425
FS( 189 ),3055646.000000000000000,2318242.610000000335276,2524148.839999999850988,2793976.399999999906868,2661526.799999999813735,13353540.649999998509884
FS( 190 ),3057981.500000000000000,2341611.560000000055879,2515286.419999999925494,2773914.799999999813735,2661160.099999999627471,13349954.380000000819564
FS( 191 ),2990511.500000000000000,2345860.459999999962747,2501570.769999999552965,2763884.000000000000000,2659326.599999999627471,13261153.330000000074506
FS( 192 ),3041373.500000000000000,2419791.320000000298023,2519506.620000000111759,2783174.000000000000000,2676561.500000000000000,13440406.940000001341105
