代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13592033.839999999850988
真實報酬,3592033.839999999850988

夏普值報酬,0.350503384000000
夏普值風險,0.090816369592072
夏普值,3.859473634262071

二次趨勢線,43.575917748102214 x^2 + 2805.455848599143792 x + 10000000.000000000000000
二次平均預期報酬,13655.859367876590113
風險,155836.836579481285298
二次平均趨勢值,0.087629213141218
一次趨勢線,10926.884639688105381 x + 10000000.000000000000000
一次預期報酬,10926.884639688105381
一次風險,339082.685583766491618
一次趨勢值,0.032224838083007
找到最佳解世代,2350
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](5),TRV[22](1),V[25](2),
FS( 22 ),3289030.280000000260770,3637277.619999999646097,3422968.200000000186265,10349277.100000001490116
FS( 23 ),3289533.720000000204891,3637839.439999999944121,3260504.400000000372529,10187878.560000000521541
FS( 24 ),3259327.319999999832362,3623793.939999999944121,3299719.799999999813735,10182842.059999998658895
FS( 25 ),3262347.959999999962747,3628850.320000000298023,3319887.719999999739230,10211087.000000000000000
FS( 26 ),3271409.880000000353903,3617613.919999999925494,3309803.759999999776483,10198828.560000000521541
FS( 27 ),3236169.080000000074506,3591208.379999999888241,3289635.839999999850988,10117014.300000000745058
FS( 28 ),3250768.839999999850988,3631659.419999999925494,3309803.759999999776483,10192233.019999999552965
FS( 29 ),3239189.720000000204891,3630535.780000000260770,3303081.120000000111759,10172807.620000001043081
FS( 30 ),3218548.680000000167638,3622670.300000000279397,3269467.919999999925494,10110687.900000000372529
FS( 31 ),3202438.600000000093132,3604130.240000000223517,3266106.599999999627471,10072676.439999999478459
FS( 32 ),3207473.000000000465661,3573791.959999999962747,3291876.719999999739230,10073142.679999999701977
FS( 33 ),3199417.959999999962747,3522666.340000000316650,3221289.000000000000000,9943374.300000000745058
FS( 34 ),3189349.160000000149012,3493451.699999999720603,3155183.040000000037253,9837984.899999998509884
FS( 35 ),3195390.440000000409782,3522666.340000000316650,3256022.639999999664724,9974080.420000001788139
FS( 36 ),3197907.640000000596046,3529408.180000000167638,3316526.400000000372529,10043843.220000000670552
FS( 37 ),3197907.640000000596046,3529408.180000000167638,3316526.400000000372529,10043843.220000000670552
FS( 38 ),3176763.160000000149012,3550195.520000000018626,3354621.360000000335276,10081581.039999999105930
FS( 39 ),3147060.200000000186265,3517048.140000000130385,3343416.959999999962747,10007526.300000000745058
FS( 40 ),3151087.720000000204891,3532779.100000000093132,3369187.080000000074506,10053054.900000000372529
FS( 41 ),3131957.000000000465661,3477158.919999999925494,3290756.280000000260770,9899873.199999999254942
FS( 42 ),3143032.680000000167638,3510868.120000000111759,3226891.200000000186265,9880793.000000000000000
FS( 43 ),3110309.080000000074506,3403560.500000000000000,3143978.639999999664724,9657849.219999998807907
FS( 44 ),3138501.720000000204891,3392324.100000000093132,3197759.759999999776483,9728586.580000000074506
FS( 45 ),3131957.000000000465661,3415920.539999999571592,3187675.799999999813735,9735554.339999999850988
FS( 46 ),3161659.959999999962747,3463113.419999999925494,3259383.959999999962747,9884158.339999999850988
FS( 47 ),3161659.959999999962747,3478282.559999999590218,3271708.799999999813735,9911652.320000000298023
FS( 48 ),3170721.879999999888241,3491204.419999999925494,3266106.599999999627471,9928033.899999998509884
FS( 49 ),3127426.040000000037253,3458618.859999999869615,3259383.959999999962747,9845429.859999999403954
FS( 50 ),3175756.280000000260770,3479968.020000000018626,3281792.759999999776483,9937518.060000000521541
FS( 51 ),3244727.560000000521541,3463675.239999999757856,3219048.120000000111759,9927451.920000001788139
FS( 52 ),3295071.560000000521541,3546262.779999999795109,3262745.280000000260770,10104080.620000001043081
FS( 53 ),3323264.200000000651926,3562555.559999999590218,3316526.400000000372529,10202347.160000000149012
FS( 54 ),3337863.959999999962747,3543453.680000000167638,3364705.320000000298023,10246023.960000000894070
FS( 55 ),3359008.440000000409782,3564802.840000000316650,3399438.959999999962747,10323251.240000002086163
FS( 56 ),3373104.760000000242144,3587275.640000000130385,3434172.599999999627471,10394554.000000000000000
FS( 57 ),3342394.920000000391155,3515924.500000000000000,3346778.280000000260770,10205098.699999999254942
FS( 58 ),3354477.479999999981374,3559184.640000000130385,3500278.560000000055879,10413941.679999999701977
FS( 59 ),3347932.760000000242144,3491766.239999999757856,3397198.080000000074506,10236898.080000000074506
FS( 60 ),3343905.240000000223517,3491766.239999999757856,3449858.759999999776483,10285531.240000000223517
FS( 61 ),3365049.720000000204891,3529970.000000000000000,3457701.839999999850988,10352722.560000000521541
FS( 62 ),3370084.120000000111759,3531093.640000000130385,3403920.719999999739230,10305099.480000000447035
FS( 63 ),3401297.400000000372529,3586713.820000000298023,3463304.040000000037253,10451316.260000001639128
FS( 64 ),3423448.760000000242144,3591208.379999999888241,3547337.040000000037253,10561995.179999999701977
FS( 65 ),3425462.520000000484288,3603006.599999999627471,3539493.959999999962747,10567964.080000000074506
FS( 66 ),3412373.080000000074506,3593455.660000000149012,3557421.000000000000000,10563250.740000000223517
FS( 67 ),3405324.920000000391155,3554128.259999999776483,3509242.080000000074506,10468696.259999999776483
FS( 68 ),3412373.080000000074506,3543453.680000000167638,3463304.040000000037253,10419131.800000000745058
FS( 69 ),3417407.479999999981374,3551319.160000000149012,3425209.080000000074506,10393936.720000000670552
FS( 70 ),3418414.360000000335276,3513115.399999999906868,3382632.360000000335276,10314163.120000001043081
FS( 71 ),3408849.000000000000000,3496822.620000000111759,3435293.040000000037253,10340965.660000000149012
FS( 72 ),3454158.600000000093132,3546824.600000000093132,3475628.879999999888241,10476613.080000000074506
FS( 73 ),3446103.560000000521541,3514239.039999999571592,3561902.759999999776483,10522246.359999999403954
FS( 74 ),3473792.760000000242144,3556937.359999999869615,3592154.640000000130385,10622885.759999999776483
FS( 75 ),3492420.040000000502914,3595702.939999999944121,3580950.240000000223517,10669074.220000000670552
FS( 76 ),3500475.080000000074506,3578286.520000000018626,3512603.400000000372529,10591366.000000000000000
FS( 77 ),3455165.479999999981374,3523228.160000000149012,3522687.360000000335276,10501082.000000000000000
FS( 78 ),3428986.600000000093132,3468731.620000000111759,3486833.280000000260770,10384552.500000000000000
FS( 79 ),3390725.160000000149012,3420976.919999999925494,3435293.040000000037253,10246996.120000001043081
FS( 80 ),3399787.080000000074506,3426033.299999999813735,3422968.200000000186265,10248789.580000000074506
FS( 81 ),3460703.319999999832362,3461427.959999999962747,3550698.360000000335276,10472830.640000000596046
FS( 82 ),3499971.640000000130385,3523789.979999999981374,3616804.320000000298023,10640566.940000001341105
FS( 83 ),3496447.560000000521541,3551319.160000000149012,3664983.240000000223517,10712750.960000000894070
FS( 84 ),3484868.440000000409782,3519857.239999999757856,3615683.880000000353903,10620410.560000000521541
FS( 85 ),3492923.479999999981374,3559184.640000000130385,3570866.280000000260770,10622975.400000000372529
FS( 86 ),3446103.560000000521541,3532217.279999999795109,3621286.080000000074506,10599607.919999999925494
FS( 87 ),3479834.040000000502914,3579410.160000000149012,3668344.560000000055879,10727589.760000001639128
FS( 88 ),3465737.720000000204891,3568735.580000000074506,3670585.439999999944121,10705059.740000000223517
FS( 89 ),3438048.520000000484288,3560308.279999999795109,3652658.400000000372529,10651016.200000001117587
FS( 90 ),3441069.160000000149012,3585028.359999999869615,3673946.759999999776483,10700045.279999999329448
FS( 91 ),3439558.839999999850988,3589522.919999999925494,3599997.720000000204891,10629080.480000000447035
FS( 92 ),3455668.920000000391155,3594579.299999999813735,3615683.880000000353903,10665933.100000001490116
FS( 93 ),3446607.000000000000000,3580533.799999999813735,3594395.520000000018626,10621537.320000000298023
FS( 94 ),3455668.920000000391155,3569859.219999999739230,3638092.679999999701977,10663621.820000000298023
FS( 95 ),3441069.160000000149012,3581657.439999999944121,3615683.880000000353903,10638411.480000000447035
FS( 96 ),3433517.560000000521541,3597388.399999999906868,3632490.479999999981374,10663397.440000001341105
FS( 97 ),3413379.959999999962747,3659188.599999999627471,3604479.479999999981374,10677049.039999999105930
FS( 98 ),3408345.560000000521541,3687841.419999999925494,3589913.759999999776483,10686101.740000000223517
FS( 99 ),3412373.080000000074506,3664806.800000000279397,3571986.719999999739230,10649167.600000001490116
FS( 100 ),3410862.760000000242144,3677166.840000000316650,3588793.320000000298023,10676823.920000001788139
FS( 101 ),3410359.319999999832362,3640648.539999999571592,3561902.759999999776483,10612911.619999999180436
FS( 102 ),3403311.160000000149012,3674357.740000000223517,3548457.479999999981374,10626127.380000000819564
FS( 103 ),3397773.319999999832362,3661997.700000000186265,3576468.479999999981374,10636240.500000000000000
FS( 104 ),3398780.200000000651926,3642895.820000000298023,3568625.400000000372529,10610302.420000001788139
FS( 105 ),3391732.040000000502914,3640648.539999999571592,3586552.439999999944121,10618934.019999999552965
FS( 106 ),3383677.000000000000000,3623232.119999999646097,3549577.919999999925494,10556488.039999999105930
FS( 107 ),3394752.680000000633299,3637277.619999999646097,3592154.640000000130385,10624185.940000001341105
FS( 108 ),3386194.200000000651926,3631659.419999999925494,3599997.720000000204891,10617852.340000001713634
FS( 109 ),3386697.640000000130385,3625479.399999999906868,3574227.599999999627471,10586405.640000000596046
FS( 110 ),3415393.720000000204891,3670986.820000000298023,3628008.720000000204891,10714390.260000001639128
FS( 111 ),3417407.479999999981374,3663683.159999999683350,3633610.919999999925494,10714702.559999998658895
FS( 112 ),3432510.680000000633299,3669301.359999999869615,3604479.479999999981374,10706292.520000001415610
FS( 113 ),3433517.560000000521541,3761439.840000000316650,3682910.279999999795109,10877868.679999999701977
FS( 114 ),3431000.360000000335276,3794587.220000000204891,3738932.279999999795109,10964520.859999999403954
FS( 115 ),3473289.319999999832362,3845712.840000000316650,3780388.560000000055879,11099391.720000000670552
FS( 116 ),3447110.440000000409782,3853016.500000000000000,3760220.640000000130385,11060348.580000000074506
FS( 117 ),3436034.760000000242144,3847398.300000000279397,3750136.679999999701977,11033570.740000000223517
FS( 118 ),3451137.959999999962747,3846274.659999999683350,3744534.479999999981374,11041948.099999999627471
FS( 119 ),3453655.160000000149012,3833352.800000000279397,3775906.800000000279397,11062915.760000001639128
FS( 120 ),3468758.360000000335276,3845712.840000000316650,3770304.599999999627471,11084776.800000000745058
FS( 121 ),3476813.400000000372529,3854701.959999999962747,3781509.000000000000000,11113025.359999999403954
FS( 122 ),3473792.760000000242144,3844027.379999999888241,3746775.359999999869615,11064596.500000000000000
FS( 123 ),3489902.839999999850988,3847398.300000000279397,3769184.160000000149012,11106486.300000000745058
FS( 124 ),3473792.760000000242144,3808070.899999999906868,3712041.720000000204891,10993906.380000000819564
FS( 125 ),3474296.200000000651926,3843465.559999999590218,3751257.119999999646097,11069019.879999998956919
FS( 126 ),3469261.800000000279397,3835038.260000000242144,3761341.080000000074506,11065642.140000000596046
FS( 127 ),3480337.479999999981374,3880545.679999999701977,3829687.919999999925494,11190572.080000000074506
FS( 128 ),3471779.000000000000000,3859758.340000000316650,3809520.000000000000000,11141058.339999999850988
FS( 129 ),3473792.760000000242144,3877174.760000000242144,3880107.720000000204891,11231076.240000000223517
FS( 130 ),3487385.640000000130385,3892343.899999999906868,3912600.479999999981374,11292331.019999999552965
FS( 131 ),3506516.360000000335276,3908074.859999999869615,3929407.080000000074506,11343999.300000000745058
FS( 132 ),3495944.120000000111759,3906951.220000000204891,3885709.919999999925494,11288606.259999999776483
FS( 133 ),3444089.800000000279397,3894591.179999999701977,3830808.359999999869615,11169490.339999999850988
FS( 134 ),3434524.440000000409782,3899085.740000000223517,3848735.400000000372529,11182346.580000001937151
FS( 135 ),3421938.440000000409782,3885602.059999999590218,3894673.439999999944121,11202214.939999999478459
FS( 136 ),3421938.440000000409782,3860881.979999999981374,3896914.320000000298023,11179735.740000000223517
FS( 137 ),3453655.160000000149012,3920996.720000000204891,3918202.679999999701977,11292855.560000000521541
FS( 138 ),3501481.959999999962747,3960324.119999999646097,3954056.759999999776483,11415863.839999999850988
FS( 139 ),3574480.760000000242144,4010326.099999999627471,3993272.160000000149012,11578080.019999999552965
FS( 140 ),3651003.640000000130385,4154152.020000000018626,3974224.679999999701977,11779381.339999999850988
FS( 141 ),3617776.600000000093132,4129993.760000000242144,3920443.560000000055879,11668214.919999999925494
FS( 142 ),3613749.080000000074506,4156961.119999999646097,3893553.000000000000000,11664264.199999999254942
FS( 143 ),3568942.920000000391155,4122690.099999999627471,3827447.039999999571592,11519081.059999998658895
FS( 144 ),3561391.319999999832362,4111453.700000000186265,3822965.279999999795109,11495811.299999998882413
FS( 145 ),3581528.920000000391155,4051900.780000000260770,3853217.160000000149012,11486647.860000001266599
FS( 146 ),3569446.360000000335276,4020438.859999999869615,3874505.520000000018626,11464391.740000000223517
FS( 147 ),3565418.839999999850988,3985606.020000000018626,3886830.359999999869615,11437856.219999998807907
FS( 148 ),3599652.760000000242144,3945716.800000000279397,4030246.679999999701977,11575617.240000000223517
FS( 149 ),3569446.360000000335276,3911445.780000000260770,4016801.400000000372529,11497694.540000000968575
FS( 150 ),3563908.520000000484288,3882792.959999999962747,3964140.720000000204891,11410843.200000001117587
FS( 151 ),3574984.200000000651926,3942345.879999999888241,4030246.679999999701977,11547577.759999999776483
FS( 152 ),3541253.720000000204891,3860320.159999999683350,3993272.160000000149012,11394847.039999999105930
FS( 153 ),3506516.360000000335276,3876612.939999999944121,3979826.880000000353903,11362957.180000001564622
FS( 154 ),3517592.040000000502914,3875489.300000000279397,4003356.119999999646097,11396438.460000000894070
FS( 155 ),3508026.680000000633299,3844589.200000000186265,4012319.640000000130385,11364936.520000001415610
FS( 156 ),3499468.200000000651926,3833352.800000000279397,3989910.839999999850988,11322732.839999999850988
FS( 157 ),3487385.640000000130385,3824363.679999999701977,3920443.560000000055879,11232193.880000000819564
FS( 158 ),3477316.839999999850988,3838409.179999999701977,3921564.000000000000000,11237291.019999999552965
FS( 159 ),3483358.120000000111759,3856949.240000000223517,3997753.919999999925494,11338062.280000001192093
FS( 160 ),3486378.760000000242144,3906951.220000000204891,4079546.039999999571592,11472877.019999999552965
FS( 161 ),3507523.240000000223517,3912569.419999999925494,4099713.960000000428408,11519807.620000001043081
FS( 162 ),3503495.720000000204891,3945154.979999999981374,4108677.479999999981374,11557329.179999999701977
FS( 163 ),3501985.400000000372529,4004146.079999999608845,4149013.320000000298023,11655145.800000000745058
FS( 164 ),3478323.720000000204891,3981111.459999999962747,4124363.640000000130385,11583799.820000000298023
FS( 165 ),3464227.400000000372529,3979426.000000000000000,4112038.800000000279397,11555693.200000001117587
FS( 166 ),3488392.520000000484288,3986729.659999999683350,4125484.080000000074506,11600607.259999999776483
FS( 167 ),3484868.440000000409782,3999089.700000000186265,4151254.199999999720603,11635213.339999999850988
FS( 168 ),3510543.880000000353903,3978864.179999999701977,4193830.919999999925494,11683239.980000000447035
FS( 169 ),3506516.360000000335276,3986167.840000000316650,4163579.039999999571592,11656264.240000000223517
FS( 170 ),3517088.600000000093132,3962571.399999999906868,4134447.599999999627471,11614108.599999999627471
FS( 171 ),3522626.440000000409782,4157522.939999999944121,4147892.880000000353903,11828043.260000001639128
FS( 172 ),3526653.959999999962747,4109768.240000000223517,4159097.279999999795109,11795520.480000000447035
FS( 173 ),3546791.560000000521541,4123251.919999999925494,4161338.160000000149012,11831382.640000000596046
FS( 174 ),3554343.160000000149012,4120442.820000000298023,4164699.479999999981374,11839486.460000000894070
FS( 175 ),3579515.160000000149012,4125499.200000000186265,4171422.119999999646097,11876437.480000000447035
FS( 176 ),3572467.000000000000000,4118757.359999999869615,4142290.679999999701977,11833516.039999999105930
FS( 177 ),3561894.760000000242144,4114262.800000000279397,4123243.199999999720603,11799401.759999999776483
FS( 178 ),3558874.120000000111759,4122128.280000000260770,4113159.240000000223517,11794162.640000000596046
FS( 179 ),3571460.120000000111759,4168197.520000000018626,4177024.320000000298023,11916682.960000000894070
FS( 180 ),3571963.560000000521541,4176063.000000000000000,4221841.919999999925494,11969869.480000000447035
FS( 181 ),3555853.479999999981374,4125499.200000000186265,4178144.759999999776483,11859498.439999999478459
FS( 182 ),3561894.760000000242144,4147410.179999999701977,4271141.279999999329448,11980447.219999998807907
FS( 183 ),3537729.640000000130385,4091228.179999999701977,4222962.359999999403954,11851921.179999999701977
FS( 184 ),3525143.640000000130385,4065384.459999999962747,4235287.199999999254942,11825816.299999998882413
FS( 185 ),3532695.240000000223517,4060328.079999999608845,4194951.359999999403954,11787975.679999999701977
FS( 186 ),3528667.720000000204891,4035046.179999999701977,4184867.400000000372529,11748582.300000000745058
FS( 187 ),3497957.880000000353903,4002460.619999999646097,4163579.039999999571592,11663998.539999999105930
FS( 188 ),3529171.160000000149012,4035046.179999999701977,4246491.599999999627471,11810709.939999999478459
FS( 189 ),3566425.720000000204891,4093475.459999999962747,4352933.400000000372529,12012835.580000000074506
FS( 190 ),3561391.319999999832362,4124937.379999999888241,4356294.720000000670552,12042624.419999999925494
FS( 191 ),3602169.959999999962747,4160893.859999999869615,4391028.359999999403954,12154093.179999999701977
FS( 192 ),3594618.360000000335276,4104711.859999999869615,4422400.679999999701977,12121731.900000000372529
FS( 193 ),3595121.800000000279397,4112015.520000000018626,4463856.959999999962747,12170995.280000001192093
FS( 194 ),3611231.880000000353903,4154152.020000000018626,4532203.800000000745058,12297588.700000001117587
FS( 195 ),3634390.120000000111759,4182804.840000000316650,4496349.720000000670552,12313545.680000001564622
FS( 196 ),3642445.160000000149012,4205277.639999998733401,4514276.759999999776483,12362000.559999998658895
FS( 197 ),3653017.400000000372529,4210895.839999999850988,4499711.040000000037253,12363625.280000001192093
FS( 198 ),3643452.040000000502914,4245166.859999999403954,4494108.839999999850988,12382728.740000000223517
FS( 199 ),3654024.280000000260770,4244605.039999999105930,4487386.199999999254942,12386016.519999999552965
FS( 200 ),3670134.360000000335276,4264268.740000000223517,4478422.679999999701977,12412826.780000001192093
FS( 201 ),3686747.880000000353903,4287303.359999999403954,4433605.080000000074506,12407657.320000000298023
FS( 202 ),3659562.120000000111759,4379441.839999999850988,4454893.439999999478459,12493898.399999998509884
FS( 203 ),3667617.160000000149012,4362025.419999999925494,4454893.439999999478459,12484537.019999999552965
FS( 204 ),3680203.160000000149012,4387307.320000000298023,4469459.160000000149012,12536970.640000000596046
FS( 205 ),3721485.240000000223517,4401914.639999998733401,4477302.240000000223517,12600703.119999999180436
FS( 206 ),3706382.040000000502914,4345732.639999998733401,4379823.959999999962747,12431939.640000000596046
FS( 207 ),3746153.800000000279397,4371576.359999999403954,4388787.480000000447035,12506518.640000000596046
FS( 208 ),3730043.720000000204891,4358654.500000000000000,4341729.000000000000000,12430428.220000000670552
FS( 209 ),3721485.240000000223517,4408094.660000000149012,4423521.120000000111759,12553102.019999999552965
FS( 210 ),3734574.680000000633299,4488434.919999999925494,4441448.160000000149012,12664458.760000001639128
FS( 211 ),3731050.600000000093132,4382250.939999999478459,4387667.040000000037253,12500969.579999998211861
FS( 212 ),3758739.800000000279397,4418769.240000000223517,4468338.720000000670552,12645848.760000001639128
FS( 213 ),3795490.920000000391155,4436185.660000000149012,4505313.240000000223517,12736990.820000000298023
FS( 214 ),3778877.400000000372529,4445174.779999999329448,4399991.879999999888241,12624045.059999998658895
FS( 215 ),3800021.880000000353903,4430567.459999999031425,4420159.800000000745058,12650750.140000000596046
FS( 216 ),3796497.800000000279397,4450231.160000000149012,4378703.519999999552965,12625433.480000000447035
FS( 217 ),3816131.959999999962747,4488996.740000000223517,4392148.800000000745058,12697278.500000000000000
FS( 218 ),3809083.800000000279397,4494053.119999999180436,4335006.359999999403954,12638144.279999999329448
FS( 219 ),3816635.400000000372529,4513716.820000000298023,4368619.560000000521541,12698972.780000001192093
FS( 220 ),3834255.800000000279397,4516525.919999999925494,4425762.000000000000000,12776544.720000000670552
FS( 221 ),3874531.000000000000000,4528324.139999998733401,4414557.599999999627471,12817413.739999998360872
FS( 222 ),3858924.360000000335276,4500794.959999999031425,4352933.400000000372529,12712653.719999998807907
FS( 223 ),3870000.040000000502914,4515964.099999999627471,4410075.839999999850988,12796040.980000000447035
FS( 224 ),3838786.760000000242144,4551358.759999999776483,4466097.839999999850988,12856244.359999999403954
FS( 225 ),3804552.839999999850988,4452478.439999999478459,4366378.679999999701977,12623410.959999999031425
FS( 226 ),3813614.760000000242144,4496862.220000000670552,4421280.240000000223517,12731758.220000000670552
FS( 227 ),3842310.839999999850988,4538436.900000000372529,4478422.679999999701977,12859171.419999999925494
FS( 228 ),3831738.600000000093132,4518211.380000000819564,4443689.040000000037253,12793640.019999999552965
FS( 229 ),3861441.560000000521541,4533380.519999999552965,4428002.879999999888241,12822825.960000000894070
FS( 230 ),3886613.560000000521541,4523829.580000000074506,4468338.720000000670552,12878782.860000001266599
FS( 231 ),3909771.800000000279397,4576640.660000000149012,4489627.080000000074506,12976040.540000000968575
FS( 232 ),3896178.920000000391155,4554729.679999999701977,4512035.879999999888241,12962945.480000000447035
FS( 233 ),3914302.760000000242144,4562033.339999999850988,4496349.720000000670552,12972686.820000000298023
FS( 234 ),3936454.120000000111759,4587315.240000000223517,4500831.480000000447035,13024601.839999999850988
FS( 235 ),3949040.120000000111759,4592933.439999999478459,4515397.199999999254942,13057371.759999997913837
FS( 236 ),3955081.400000000372529,4592371.619999999180436,4476181.800000000745058,13023635.820000000298023
FS( 237 ),3954577.959999999962747,4613720.779999999329448,4463856.959999999962747,13032156.699999999254942
FS( 238 ),3982267.160000000149012,4627204.459999999031425,4500831.480000000447035,13110304.099999999627471
FS( 239 ),3986798.120000000111759,4622709.900000000372529,4441448.160000000149012,13050957.179999999701977
FS( 240 ),3967667.400000000372529,4636755.400000000372529,4428002.879999999888241,13032426.679999999701977
FS( 241 ),3970184.600000000093132,4673835.519999999552965,4369740.000000000000000,13013761.119999999180436
FS( 242 ),3999887.560000000521541,4710353.820000000298023,4462736.519999999552965,13172978.900000000372529
FS( 243 ),3977736.200000000651926,4705297.439999999478459,4420159.800000000745058,13103194.440000001341105
FS( 244 ),4014487.319999999832362,4701926.519999999552965,4484024.879999999888241,13200439.719999998807907
FS( 245 ),4011466.680000000633299,4683948.279999999329448,4593828.000000000000000,13289243.960000000894070
FS( 246 ),4070369.160000000149012,4683386.459999999031425,4691306.279999999329448,13445062.899999998509884
FS( 247 ),4091513.640000000130385,4683948.279999999329448,4724919.480000000447035,13500382.400000000372529
FS( 248 ),4104603.080000000074506,4730017.519999999552965,4757412.240000000223517,13592033.839999999850988
