代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13734822.359999999403954
真實報酬,3734822.359999999403954

夏普值報酬,0.364782236000000
夏普值風險,0.090272439986290
夏普值,4.040903691707014

二次趨勢線,6.728005134235144 x^2 + 12959.529312474676772 x + 10000000.000000000000000
二次平均預期報酬,14654.986606301932625
風險,187719.031687845359556
二次平均趨勢值,0.078068731095265
一次趨勢線,14228.594265011342941 x + 10000000.000000000000000
一次預期報酬,14228.594265011342941
一次風險,193666.341048605245305
一次趨勢值,0.073469629198191
找到最佳解世代,2193
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),TRV[22](2),V[25](3),WMT[28](16),
FS( 18 ),2638293.820000000298023,2471740.069999999832362,2850172.189999999944121,2350437.399999999906868,10310643.480000000447035
FS( 19 ),2655158.919999999925494,2463304.270000000018626,2900893.509999999776483,2369333.750000000000000,10388690.449999999254942
FS( 20 ),2674272.700000000186265,2445167.299999999813735,2837491.859999999869615,2375364.500000000000000,10332296.359999999403954
FS( 21 ),2668088.830000000074506,2464147.850000000093132,2857975.470000000204891,2364911.200000000186265,10355123.350000001490116
FS( 22 ),2665277.979999999981374,2446854.459999999962747,2832614.810000000055879,2372550.149999999906868,10317297.400000000372529
FS( 23 ),2664153.640000000130385,2467522.169999999925494,2834565.629999999888241,2388230.100000000093132,10354471.540000000968575
FS( 24 ),2607936.640000000130385,2403831.879999999888241,2800426.279999999795109,2370941.950000000186265,10183136.750000000000000
FS( 25 ),2664153.640000000130385,2398770.399999999906868,2819934.479999999981374,2406724.399999999906868,10289582.919999999925494
FS( 26 ),2688326.950000000186265,2408471.569999999832362,2876508.259999999776483,2403105.950000000186265,10376412.730000000447035
FS( 27 ),2704067.710000000428408,2429982.859999999869615,2857000.060000000055879,2415569.500000000000000,10406620.130000000819564
FS( 28 ),2731614.040000000502914,2429982.859999999869615,2841393.500000000000000,2439692.500000000000000,10442682.900000000372529
FS( 29 ),2762533.390000000130385,2463726.059999999590218,2859926.290000000037253,2452558.100000000093132,10538743.839999999850988
FS( 30 ),2781085.000000000000000,2486502.720000000204891,2847245.959999999962747,2455774.500000000000000,10570608.179999999701977
FS( 31 ),2765906.410000000614673,2491985.989999999757856,2853098.419999999925494,2461805.250000000000000,10572796.070000000298023
FS( 32 ),2757473.859999999869615,2497047.470000000204891,2845295.140000000130385,2446125.300000000279397,10545941.770000001415610
FS( 33 ),2745106.120000000111759,2493673.149999999906868,2897967.279999999795109,2442104.800000000279397,10578851.349999999627471
FS( 34 ),2776025.470000000204891,2495360.309999999590218,2841393.500000000000000,2436476.100000000093132,10549255.379999998956919
FS( 35 ),2799074.440000000409782,2467943.959999999962747,2847245.959999999962747,2434867.900000000372529,10549132.260000001639128
FS( 36 ),2792890.570000000298023,2445167.299999999813735,2859926.290000000037253,2438486.350000000093132,10536470.509999999776483
FS( 37 ),2785020.190000000409782,2454868.470000000204891,2896991.869999999646097,2442506.850000000093132,10579387.379999998956919
FS( 38 ),2818188.220000000204891,2482284.819999999832362,2928204.989999999757856,2460599.100000000093132,10689277.129999998956919
FS( 39 ),2813128.690000000409782,2466678.589999999850988,2921377.119999999646097,2456176.550000000279397,10657360.950000001117587
FS( 40 ),2805820.479999999981374,2478910.500000000000000,2910647.609999999869615,2460197.049999999813735,10655575.640000000596046
FS( 41 ),2805820.479999999981374,2473849.020000000018626,2901868.919999999925494,2445321.200000000186265,10626859.620000001043081
FS( 42 ),2828307.280000000260770,2497047.470000000204891,2877483.669999999925494,2460599.100000000093132,10663437.519999999552965
FS( 43 ),2810317.840000000316650,2502530.739999999757856,2901868.919999999925494,2467031.899999999906868,10681749.400000000372529
FS( 44 ),2810880.010000000242144,2500421.790000000037253,2935032.859999999869615,2438486.350000000093132,10684821.009999999776483
FS( 45 ),2802447.460000000428408,2497891.049999999813735,2901868.919999999925494,2422806.399999999906868,10625013.830000000074506
FS( 46 ),2845734.550000000279397,2483550.189999999944121,2950639.419999999925494,2439290.450000000186265,10719214.609999999403954
FS( 47 ),2843485.870000000111759,2448541.619999999646097,2914549.250000000000000,2417579.750000000000000,10624156.490000000223517
FS( 48 ),2774901.130000000353903,2435887.919999999925494,2847245.959999999962747,2409538.750000000000000,10467573.760000001639128
FS( 49 ),2796825.760000000242144,2453603.100000000093132,2862852.520000000018626,2404312.100000000093132,10517593.480000000447035
FS( 50 ),2846296.720000000204891,2492829.569999999832362,2951614.830000000074506,2417981.800000000279397,10708722.919999999925494
FS( 51 ),2864848.330000000074506,2451494.149999999906868,3003311.560000000055879,2403105.950000000186265,10722759.990000002086163
FS( 52 ),2905886.740000000223517,2495360.309999999590218,2946737.779999999795109,2435672.000000000000000,10783656.830000000074506
FS( 53 ),2925000.520000000484288,2530368.879999999888241,2976975.489999999757856,2487536.450000000186265,10919881.339999999850988
FS( 54 ),2912632.780000000260770,2508435.799999999813735,2970147.619999999646097,2495175.400000000372529,10886391.599999999627471
FS( 55 ),2898578.530000000260770,2602494.970000000204891,2955516.470000000204891,2482711.850000000093132,10939301.820000000298023
FS( 56 ),2892956.830000000074506,2646782.919999999925494,2950639.419999999925494,2510855.350000000093132,11001234.519999999552965
FS( 57 ),2872718.710000000428408,2653531.559999999590218,2880409.899999999906868,2393858.800000000279397,10800518.970000000670552
FS( 58 ),2880026.919999999925494,2672933.899999999906868,2899918.100000000093132,2322695.950000000186265,10775574.870000001043081
FS( 59 ),2918254.479999999981374,2690227.290000000037253,2970147.619999999646097,2306211.899999999906868,10884841.289999999105930
FS( 60 ),2916005.800000000279397,2731984.499999999534339,3004286.970000000204891,2370137.850000000093132,11022415.119999999180436
FS( 61 ),2920503.160000000614673,2699928.459999999962747,3012090.250000000000000,2373354.250000000000000,11005876.120000001043081
FS( 62 ),2911508.440000000409782,2713003.949999999720603,2999409.919999999925494,2368529.649999999906868,10992451.960000000894070
FS( 63 ),2941303.450000000186265,2724814.069999999832362,3001360.739999999757856,2374962.450000000186265,11042440.710000000894070
FS( 64 ),2963228.080000000074506,2730719.129999999888241,2979901.720000000204891,2372550.149999999906868,11046399.080000000074506
FS( 65 ),2949736.000000000000000,2731140.919999999925494,2838467.270000000018626,2371746.050000000279397,10891090.240000000223517
FS( 66 ),2921065.330000000074506,2720596.169999999925494,2872606.619999999646097,2360086.600000000093132,10874354.719999998807907
FS( 67 ),2889021.640000000130385,2724392.280000000260770,2890164.000000000000000,2379787.049999999813735,10883364.969999998807907
FS( 68 ),2845734.550000000279397,2715956.479999999981374,2881385.310000000055879,2374158.350000000093132,10817234.689999999478459
FS( 69 ),2817063.880000000353903,2696132.350000000093132,2863827.929999999701977,2373354.250000000000000,10750378.410000000149012
FS( 70 ),2845734.550000000279397,2726501.229999999981374,2881385.310000000055879,2379787.049999999813735,10833408.140000000596046
FS( 71 ),2829993.790000000502914,2725657.649999999906868,2875532.850000000093132,2389034.200000000186265,10820218.490000002086163
FS( 72 ),2804133.970000000204891,2719752.590000000316650,2846270.549999999813735,2374962.450000000186265,10745119.560000000521541
FS( 73 ),2736111.400000000372529,2705833.520000000018626,2843344.319999999832362,2386219.850000000093132,10671509.089999999850988
FS( 74 ),2741733.100000000558794,2683056.859999999869615,2865778.750000000000000,2379787.049999999813735,10670355.760000001639128
FS( 75 ),2643353.350000000558794,2644673.970000000204891,2804327.919999999925494,2479897.500000000000000,10572252.740000000223517
FS( 76 ),2645039.859999999869615,2622740.890000000130385,2746778.729999999981374,2510051.250000000000000,10524610.730000000447035
FS( 77 ),2676521.380000000353903,2644673.970000000204891,2834565.629999999888241,2534576.300000000279397,10690337.280000001192093
FS( 78 ),2713062.430000000167638,2649735.449999999720603,2887237.770000000018626,2562317.750000000000000,10812353.400000000372529
FS( 79 ),2713062.430000000167638,2649735.449999999720603,2887237.770000000018626,2562317.750000000000000,10812353.400000000372529
FS( 80 ),2794577.080000000074506,2665341.679999999701977,2920401.709999999962747,2616192.449999999720603,10996512.919999999925494
FS( 81 ),2779398.490000000223517,2640456.069999999832362,2910647.609999999869615,2625841.650000000372529,10956343.820000000298023
FS( 82 ),2798512.270000000484288,2652266.189999999944121,2933082.040000000037253,2640717.500000000465661,11024578.000000001862645
FS( 83 ),2794577.080000000074506,2610508.979999999981374,2864803.339999999850988,2631068.299999999813735,10900957.699999999254942
FS( 84 ),2773776.790000000502914,2635816.379999999888241,2809204.970000000204891,2646346.199999999720603,10865144.339999999850988
FS( 85 ),2696197.330000000074506,2555254.489999999757856,2737024.629999999888241,2635490.850000000093132,10623967.300000000745058
FS( 86 ),2741170.930000000167638,2546818.689999999944121,2783844.310000000055879,2653181.049999999813735,10725014.980000000447035
FS( 87 ),2750165.650000000372529,2564533.869999999646097,2775065.619999999646097,2633480.600000000093132,10723245.739999998360872
FS( 88 ),2844610.210000000428408,2599964.229999999981374,2837491.859999999869615,2650768.750000000465661,10932835.050000000745058
FS( 89 ),2880589.090000000316650,2611352.559999999590218,2848221.369999999646097,2648356.450000000186265,10988519.469999998807907
FS( 90 ),2942989.960000000428408,2621053.729999999981374,2843344.319999999832362,2742838.200000000186265,11150226.210000000894070
FS( 91 ),2886772.960000000428408,2596589.910000000149012,2837491.859999999869615,2715096.750000000000000,11035951.480000000447035
FS( 92 ),2936806.090000000316650,2612617.929999999701977,2857000.060000000055879,2722735.700000000186265,11129159.780000001192093
FS( 93 ),2865410.500000000000000,2600386.020000000018626,2802377.100000000093132,2696602.449999999720603,10964776.069999998435378
FS( 94 ),2932308.729999999981374,2662389.149999999906868,2840418.089999999850988,2719117.250000000000000,11154233.219999998807907
FS( 95 ),2916005.800000000279397,2674621.059999999590218,2887237.770000000018626,2723941.850000000093132,11201806.479999998584390
FS( 96 ),2941303.450000000186265,2660280.199999999720603,2929180.399999999906868,2738817.700000000186265,11269581.750000000000000
FS( 97 ),2977844.500000000000000,2676308.220000000204891,2959418.109999999869615,2726354.150000000372529,11339924.980000000447035
FS( 98 ),2969974.120000000111759,2693179.819999999832362,2989655.819999999832362,2754899.699999999720603,11407709.459999999031425
FS( 99 ),2881713.430000000167638,2639612.489999999757856,2913573.839999999850988,2721931.600000000093132,11156831.359999999403954
FS( 100 ),2924438.350000000558794,2672090.319999999832362,3047205.009999999776483,2705849.600000000093132,11349583.279999999329448
FS( 101 ),2896329.850000000558794,2621475.520000000018626,2957467.290000000037253,2741230.000000000465661,11216502.660000000149012
FS( 102 ),2916567.970000000204891,2621475.520000000018626,3003311.560000000055879,2757312.000000000000000,11298667.050000000745058
FS( 103 ),2898016.359999999869615,2650157.239999999757856,3010139.429999999701977,2757714.050000000279397,11316027.080000000074506
FS( 104 ),2905886.740000000223517,2651000.819999999832362,2963319.750000000000000,2746054.600000000093132,11266261.910000000149012
FS( 105 ),2978968.840000000316650,2692758.030000000260770,3015016.479999999981374,2803145.700000000186265,11489889.050000000745058
FS( 106 ),2980093.180000000167638,2696132.350000000093132,3088172.229999999981374,2788269.850000000093132,11552667.609999999403954
FS( 107 ),2903638.060000000055879,2704989.939999999944121,3081344.359999999869615,2844556.850000000093132,11534529.209999999031425
FS( 108 ),2929497.880000000353903,2697819.509999999776483,3096950.919999999925494,2857824.500000000000000,11582092.810000000521541
FS( 109 ),2931746.560000000055879,2668294.209999999962747,3055008.290000000037253,2869081.899999999906868,11524130.959999999031425
FS( 110 ),2930060.050000000279397,2660280.199999999720603,3015016.479999999981374,2885163.900000000372529,11490520.630000000819564
FS( 111 ),2935681.750000000000000,2666185.259999999776483,2981852.540000000037253,2899235.649999999906868,11482955.200000001117587
FS( 112 ),2904762.400000000372529,2637503.540000000037253,2944786.959999999962747,2905266.400000000372529,11392319.300000000745058
FS( 113 ),2898016.359999999869615,2625271.629999999888241,2990631.229999999981374,2907276.650000000372529,11421195.870000001043081
FS( 114 ),2928373.540000000502914,2662810.939999999944121,3025745.989999999757856,2942255.000000000465661,11559185.470000000670552
FS( 115 ),2892394.660000000614673,2638347.119999999646097,3100852.560000000055879,2934214.000000000465661,11565808.339999999850988
FS( 116 ),2851356.250000000000000,2670403.160000000149012,3127188.630000000353903,2939038.600000000093132,11587986.640000000596046
FS( 117 ),2862037.479999999981374,2699506.669999999925494,3117434.529999999795109,2928987.350000000093132,11607966.029999999329448
FS( 118 ),2864848.330000000074506,2686431.179999999701977,3057934.520000000018626,2875916.750000000000000,11485130.779999999329448
FS( 119 ),2850231.910000000614673,2645095.759999999776483,3066713.209999999962747,2904864.350000000093132,11466905.229999998584390
FS( 120 ),2864848.330000000074506,2604182.129999999888241,3035500.089999999850988,2888782.350000000093132,11393312.900000000372529
FS( 121 ),2876653.900000000372529,2568329.979999999981374,2990631.229999999981374,2900441.800000000279397,11336056.910000002011657
FS( 122 ),2871032.200000000186265,2572126.089999999850988,2979901.720000000204891,2898029.500000000000000,11321089.509999999776483
FS( 123 ),2974471.479999999981374,2598698.859999999869615,3091098.459999999962747,2961955.450000000186265,11626224.250000000000000
FS( 124 ),3019445.080000000074506,2645517.549999999813735,3148647.649999999906868,2996129.699999999720603,11809739.979999998584390
FS( 125 ),2993585.260000000242144,2666185.259999999776483,3190590.279999999795109,3014624.000000000465661,11864984.799999998882413
FS( 126 ),2933433.070000000298023,2642565.020000000018626,3147672.240000000223517,2992511.250000000465661,11716181.580000000074506
FS( 127 ),2905324.570000000298023,2672090.319999999832362,3108655.839999999850988,2959945.200000000186265,11646015.929999999701977
FS( 128 ),2889021.640000000130385,2651844.399999999906868,3152549.290000000037253,2977233.350000000093132,11670648.679999999701977
FS( 129 ),2939616.940000000409782,2687274.759999999776483,3193516.510000000242144,2997335.850000000093132,11817744.060000000521541
FS( 130 ),2923314.010000000242144,2679260.750000000000000,3195467.329999999608845,2986480.500000000000000,11784522.589999999850988
FS( 131 ),2945800.810000000055879,2672933.899999999906868,3179860.770000000018626,2974821.049999999813735,11773416.530000001192093
FS( 132 ),2967725.440000000409782,2691492.660000000149012,3198393.560000000055879,2987686.650000000372529,11845298.310000000521541
FS( 133 ),2987963.560000000055879,2694866.979999999981374,3134016.500000000000000,2969192.350000000093132,11786039.389999998733401
FS( 134 ),2982904.030000000260770,2698663.089999999850988,3147672.240000000223517,2962357.500000000465661,11791596.859999999403954
FS( 135 ),2969411.950000000186265,2688118.339999999850988,3129139.449999999720603,2951100.100000000093132,11737769.839999999850988
FS( 136 ),3075662.080000000074506,2680104.330000000074506,3167180.439999999944121,2975625.150000000372529,11898572.000000000000000
FS( 137 ),3091965.010000000242144,2688961.919999999925494,3147672.240000000223517,2993315.350000000093132,11921914.519999999552965
FS( 138 ),3165609.280000000260770,2700772.040000000037253,3162303.390000000130385,2900843.850000000093132,11929528.560000000521541
FS( 139 ),3189220.419999999925494,2747168.939999999944121,3137918.140000000130385,2894411.049999999813735,11968718.550000000745058
FS( 140 ),3180225.700000000186265,2768680.229999999981374,3125237.810000000055879,2906874.600000000093132,11981018.339999999850988
FS( 141 ),3166171.450000000186265,2751386.840000000316650,3109631.250000000000000,2871896.250000000465661,11899085.790000000968575
FS( 142 ),3184160.890000000130385,2760666.220000000204891,3124262.399999999906868,2885565.949999999720603,11954655.459999999031425
FS( 143 ),3179101.359999999869615,2733249.869999999646097,3100852.560000000055879,2877122.900000000372529,11890326.689999999478459
FS( 144 ),3202150.330000000074506,2758557.270000000018626,3089147.640000000130385,2899235.649999999906868,11949090.890000000596046
FS( 145 ),3185847.400000000372529,2749277.890000000130385,3113532.890000000130385,2914915.600000000093132,11963573.780000001192093
FS( 146 ),3177977.020000000484288,2734937.030000000260770,3106705.020000000018626,2911297.149999999906868,11930916.220000000670552
FS( 147 ),3195404.290000000502914,2733249.869999999646097,3122311.579999999608845,2925770.949999999720603,11976736.689999999478459
FS( 148 ),3183036.550000000279397,2720174.379999999888241,3090123.049999999813735,2904864.350000000093132,11898198.330000000074506
FS( 149 ),3190344.760000000242144,2730719.129999999888241,3127188.630000000353903,2918936.100000000093132,11967188.620000001043081
FS( 150 ),3192593.440000000409782,2726501.229999999981374,3134016.500000000000000,2955522.650000000372529,12008633.820000000298023
FS( 151 ),3178539.190000000409782,2721861.540000000037253,3111582.069999999832362,2957130.850000000093132,11969113.650000000372529
FS( 152 ),3240940.060000000055879,2756026.530000000260770,3158401.750000000000000,3007789.150000000372529,12163157.490000000223517
FS( 153 ),3219015.430000000167638,2750543.259999999776483,3163278.799999999813735,2967986.199999999720603,12100823.689999997615814
FS( 154 ),3221264.109999999869615,2754761.160000000149012,3137918.140000000130385,2955522.650000000372529,12069466.060000000521541
FS( 155 ),3188658.250000000000000,2823934.720000000204891,3206196.839999999850988,2977635.400000000372529,12196425.210000000894070
FS( 156 ),3207209.859999999869615,2848820.330000000074506,3254967.339999999850988,2978037.449999999720603,12289034.979999998584390
FS( 157 ),3277481.109999999869615,2887203.220000000204891,3291057.510000000242144,3021056.800000000279397,12476798.640000000596046
FS( 158 ),3342692.830000000074506,2892686.489999999757856,3273500.130000000353903,2995325.600000000093132,12504205.050000000745058
FS( 159 ),3311773.479999999981374,2888468.590000000316650,3264721.439999999944121,2974821.049999999813735,12439784.559999998658895
FS( 160 ),3308962.630000000353903,2887625.009999999776483,3259844.390000000130385,2973212.850000000093132,12429644.880000000819564
FS( 161 ),3343255.000000000000000,2877923.840000000316650,3287155.870000000111759,2990098.950000000186265,12498433.660000000149012
FS( 162 ),3332573.770000000484288,2887203.220000000204891,3282278.819999999832362,3005376.850000000093132,12507432.660000000149012
FS( 163 ),3340444.150000000372529,2893951.859999999869615,3292032.919999999925494,2993315.350000000093132,12519744.279999999329448
FS( 164 ),3338757.640000000130385,2885937.850000000093132,3261795.209999999497086,3004974.799999999813735,12491465.500000000000000
FS( 165 ),3357309.250000000000000,2888468.590000000316650,3281303.410000000149012,2985676.400000000372529,12512757.650000000372529
FS( 166 ),3326389.900000000372529,2858943.290000000037253,3231557.500000000000000,2982862.049999999813735,12399752.740000002086163
FS( 167 ),3366303.970000000204891,2885516.059999999590218,3265696.849999999627471,2974419.000000000465661,12491935.879999998956919
FS( 168 ),3393850.300000000279397,2879189.209999999962747,3274475.540000000037253,2967182.100000000093132,12514697.150000000372529
FS( 169 ),3405093.700000000186265,2913354.199999999720603,3333975.549999999813735,2977233.350000000093132,12629656.799999998882413
FS( 170 ),3391601.620000000111759,2897747.970000000204891,3316418.169999999925494,2965171.850000000093132,12570939.609999999403954
FS( 171 ),3472554.100000000558794,2910823.459999999962747,3377869.000000000000000,2983264.100000000093132,12744510.660000000149012
FS( 172 ),3470867.590000000316650,2922211.790000000037253,3406155.890000000130385,3004170.700000000186265,12803405.970000002533197
FS( 173 ),3552944.410000000614673,2934021.910000000149012,3420787.040000000037253,3020654.750000000000000,12928408.109999999403954
FS( 174 ),3478737.970000000204891,2933178.330000000074506,3382746.049999999813735,3025479.350000000093132,12820141.700000001117587
FS( 175 ),3426456.160000000614673,2923898.949999999720603,3334950.959999999497086,2980851.800000000279397,12666157.870000001043081
FS( 176 ),3358433.590000000316650,2927273.270000000018626,3350557.520000000018626,3032314.200000000186265,12668578.580000001937151
FS( 177 ),3317395.180000000167638,2917150.309999999590218,3390549.329999999608845,3015830.150000000372529,12640924.970000000670552
FS( 178 ),3348314.530000000260770,2898591.549999999813735,3392500.149999999906868,3047994.150000000372529,12687400.380000000819564
FS( 179 ),3409591.060000000055879,2943723.080000000074506,3411032.939999999944121,3101868.850000000093132,12866215.929999999701977
FS( 180 ),3421396.630000000353903,2973248.379999999888241,3442246.060000000055879,3092219.649999999906868,12929110.720000000670552
FS( 181 ),3451191.640000000130385,3010787.689999999944121,3476385.410000000149012,3097044.250000000000000,13035408.990000000223517
FS( 182 ),3474240.609999999869615,3118765.929999999701977,3459803.439999999944121,3078147.900000000372529,13130957.879999998956919
FS( 183 ),3479300.140000000130385,3100628.959999999962747,3412983.760000000242144,3040355.200000000186265,13033268.059999998658895
FS( 184 ),3487732.690000000409782,3120874.879999999888241,3389573.919999999925494,3041561.350000000093132,13039742.839999999850988
FS( 185 ),3471429.760000000242144,3095145.689999999944121,3332024.729999999515712,3005778.900000000372529,12904379.080000000074506
FS( 186 ),3445007.770000000484288,3086709.890000000130385,3328123.089999999850988,3008191.199999999720603,12868031.949999999254942
FS( 187 ),3400034.169999999925494,3042000.149999999906868,3354459.160000000149012,3028293.699999999720603,12824787.179999999701977
FS( 188 ),3375298.690000000409782,3018379.910000000149012,3372991.949999999720603,3019850.649999999906868,12786521.200000001117587
FS( 189 ),3450629.470000000204891,2992228.929999999701977,3383721.459999999497086,3016232.199999999720603,12842812.059999998658895
FS( 190 ),3500100.430000000167638,2962281.840000000316650,3508573.939999999944121,2953110.350000000093132,12924066.560000000521541
FS( 191 ),3486608.350000000558794,2936552.649999999906868,3496869.020000000018626,2925770.949999999720603,12845800.969999998807907
FS( 192 ),3506846.470000000204891,2915041.359999999869615,3451024.750000000000000,2940646.800000000279397,12813559.380000000819564
FS( 193 ),3520338.550000000279397,2959751.100000000093132,3508573.939999999944121,2965573.900000000372529,12954237.490000000223517
FS( 194 ),3484921.840000000316650,2898169.759999999776483,3476385.410000000149012,2939440.649999999906868,12798917.660000000149012
FS( 195 ),3421396.630000000353903,2910401.669999999925494,3464680.490000000223517,2914111.500000000465661,12710590.290000000968575
FS( 196 ),3427018.330000000074506,2909558.090000000316650,3485164.099999999627471,2907276.650000000372529,12729017.169999999925494
FS( 197 ),3438261.729999999981374,2886359.640000000130385,3492967.380000000353903,2914111.500000000465661,12731700.250000000000000
FS( 198 ),3563063.470000000204891,2877923.840000000316650,3473459.179999999701977,2887174.150000000372529,12801620.640000000596046
FS( 199 ),3455689.000000000000000,2871175.199999999720603,3412983.760000000242144,2867071.650000000372529,12606919.609999999403954
FS( 200 ),3443321.260000000242144,2881719.949999999720603,3413959.169999999925494,2762940.700000000186265,12501941.079999998211861
FS( 201 ),3492230.050000000279397,2895639.020000000018626,3480287.049999999813735,2735199.250000000000000,12603355.370000001043081
FS( 202 ),3560252.620000000111759,2933178.330000000074506,3551491.979999999515712,2775002.199999999720603,12819925.129999998956919
FS( 203 ),3587798.950000000186265,2937396.229999999981374,3569049.360000000335276,2774198.100000000093132,12868442.639999998733401
FS( 204 ),3602977.540000000502914,2961860.049999999813735,3576852.640000000130385,2769775.550000000279397,12911465.780000001192093
FS( 205 ),3644015.949999999720603,3006147.999999999534339,3611967.399999999906868,2822444.100000000093132,13084575.449999999254942
FS( 206 ),3635583.400000000372529,2988854.609999999869615,3590508.380000000353903,2810784.649999999906868,13025731.040000000968575
FS( 207 ),3606912.729999999981374,2987589.239999999757856,3579778.870000000111759,2794300.600000000093132,12968581.439999999478459
FS( 208 ),3644578.120000000111759,2993072.509999999776483,3591483.790000000037253,2836917.900000000372529,13066052.320000000298023
FS( 209 ),3611410.089999999850988,3002351.890000000130385,3613918.219999999739230,2847773.250000000000000,13075453.449999999254942
FS( 210 ),3658070.199999999720603,2987167.449999999720603,3650983.799999999813735,2895617.199999999720603,13191838.649999998509884
FS( 211 ),3653010.670000000391155,2992650.720000000204891,3624647.729999999515712,2868277.800000000279397,13138586.920000001788139
FS( 212 ),3611410.089999999850988,2974935.540000000037253,3599287.069999999832362,2899637.700000000186265,13085270.399999998509884
FS( 213 ),3599042.350000000093132,3121296.669999999925494,3610991.990000000223517,2880741.350000000093132,13212072.359999999403954
FS( 214 ),3617031.790000000502914,3085444.520000000018626,3620746.089999999850988,2878329.050000000279397,13201551.450000001117587
FS( 215 ),3623215.660000000614673,3095567.479999999981374,3622696.910000000149012,2906472.550000000279397,13247952.600000001490116
FS( 216 ),3543949.690000000409782,3093458.530000000260770,3625623.140000000130385,2900843.850000000093132,13163875.210000000894070
FS( 217 ),3535517.140000000130385,3097254.640000000130385,3631475.599999999627471,2850185.550000000279397,13114432.929999999701977
FS( 218 ),3537765.820000000298023,3092193.160000000149012,3606114.939999999944121,2771785.799999999813735,13007859.719999998807907
FS( 219 ),3508532.979999999981374,3088818.840000000316650,3589532.969999999739230,2775806.300000000279397,12962691.089999999850988
FS( 220 ),3488857.030000000260770,3094723.899999999906868,3580754.279999999795109,2764146.850000000093132,12928482.059999998658895
FS( 221 ),3559128.280000000260770,3129310.679999999701977,3636352.649999999906868,2782239.100000000093132,13107030.709999999031425
FS( 222 ),3541701.010000000242144,3135215.739999999757856,3675369.049999999813735,2794300.600000000093132,13146586.400000000372529
FS( 223 ),3472554.100000000558794,3097254.640000000130385,3637328.060000000055879,2754899.699999999720603,12962036.500000000000000
FS( 224 ),3483797.500000000000000,3113704.449999999720603,3718287.089999999850988,2774198.100000000093132,13089987.139999998733401
FS( 225 ),3447256.450000000186265,3071525.449999999720603,3676344.459999999497086,2760126.350000000093132,12955252.709999999031425
