代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14665052.839999997988343
真實報酬,4665052.839999997988343

夏普值報酬,0.457805284000000
夏普值風險,0.104731265517368
夏普值,4.371237965458172

二次趨勢線,-37.557084642037807 x^2 + 26542.341761947547639 x + 10000000.000000000000000
二次平均預期報酬,17040.399347511985980
風險,238859.247413304256042
二次平均趨勢值,0.071340756248916
一次趨勢線,19429.996746785862342 x + 10000000.000000000000000
一次預期報酬,19429.996746785862342
一次風險,358976.193391746317502
一次趨勢值,0.054126142915506
找到最佳解世代,1814
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](5),INTC[11](7),MSFT[18](1),NKE[19](3),V[25](2),
FS( 33 ),2077398.750000000000000,2294099.359999999869615,2099266.160000000149012,1960270.139999999897555,2075071.099999999860302,10506105.509999999776483
FS( 34 ),2089782.550000000279397,2284980.000000000000000,2107380.559999999590218,1974887.729999999981374,2060056.879999999888241,10517087.719999998807907
FS( 35 ),2120742.050000000279397,2304358.639999999664724,2131723.759999999776483,1988755.700000000186265,2070258.849999999860302,10615838.999999998137355
FS( 36 ),2126933.950000000186265,2327157.039999999571592,2132264.719999999739230,2011244.300000000046566,2069873.869999999878928,10667473.879999998956919
FS( 37 ),2141175.320000000298023,2333996.560000000055879,2133076.160000000149012,2002248.860000000102445,2086812.989999999757856,10697309.890000000596046
FS( 38 ),2123838.000000000000000,2324307.239999999757856,2126855.120000000111759,2059219.979999999981374,2107601.909999999683350,10741822.250000000000000
FS( 39 ),2121980.430000000633299,2356794.959999999962747,2130371.360000000335276,2129309.450000000186265,2113569.099999999627471,10852025.300000000745058
FS( 40 ),2131887.470000000204891,2530632.759999999776483,2266963.759999999776483,2097450.600000000558794,2111836.689999999944121,11138771.279999999329448
FS( 41 ),2107739.060000000055879,2528922.879999999888241,2269127.600000000558794,2071588.710000000195578,2118188.859999999869615,11095567.109999999403954
FS( 42 ),2114550.150000000372529,2592758.399999999906868,2249923.520000000484288,2061094.030000000260770,2117033.919999999925494,11135360.020000001415610
FS( 43 ),2143652.080000000074506,2662293.520000000018626,2249923.520000000484288,2064092.510000000009313,2138015.329999999608845,11257976.960000000894070
FS( 44 ),2118265.290000000502914,2684521.959999999962747,2273455.280000000260770,2065966.560000000055879,2136282.919999999925494,11278492.009999999776483
FS( 45 ),2134364.229999999981374,2641205.000000000000000,2275889.600000000558794,2088080.350000000093132,2143597.540000000037253,11283136.720000002533197
FS( 46 ),2130649.089999999850988,2661723.560000000055879,2284815.440000000409782,2100449.080000000074506,2154376.979999999981374,11332014.150000002235174
FS( 47 ),2130029.900000000372529,2666283.239999999757856,2279405.839999999850988,2067090.989999999990687,2157649.310000000055879,11300459.280000001192093
FS( 48 ),2136221.800000000279397,2661723.560000000055879,2287249.759999999776483,2089954.399999999906868,2164963.929999999701977,11340113.449999999254942
FS( 49 ),2108358.250000000000000,2638925.159999999683350,2274537.200000000186265,2103822.370000000111759,2158611.759999999776483,11284254.740000000223517
FS( 50 ),2104643.110000000335276,2597888.039999999571592,2268586.640000000596046,2102323.129999999888241,2153607.020000000018626,11227047.940000001341105
FS( 51 ),2102166.350000000558794,2607577.359999999869615,2270209.520000000484288,2095576.550000000046566,2144367.500000000000000,11219897.280000001192093
FS( 52 ),2107739.060000000055879,2613846.919999999925494,2273455.280000000260770,2098200.219999999739230,2155531.919999999925494,11248773.400000000372529
FS( 53 ),2112073.390000000130385,2591048.520000000018626,2244513.919999999925494,2122562.870000000111759,2122231.149999999906868,11192429.849999999627471
FS( 54 ),2221670.020000000484288,2601877.759999999776483,2250464.480000000447035,2145051.469999999739230,2137052.879999999888241,11356116.609999999403954
FS( 55 ),2222908.400000000372529,2543741.839999999850988,2228826.080000000074506,2218514.230000000447035,2113954.079999999608845,11327944.630000000819564
FS( 56 ),2260059.800000000279397,2543171.879999999888241,2232342.320000000298023,2220763.089999999850988,2116456.450000000186265,11372793.539999999105930
FS( 57 ),2269347.650000000372529,2561410.599999999627471,2264529.440000000409782,2226010.429999999701977,2145329.950000000186265,11466628.070000000298023
FS( 58 ),2256963.850000000558794,2544881.759999999776483,2248030.160000000149012,2214016.509999999776483,2133203.079999999608845,11397095.360000001266599
FS( 59 ),2259440.610000000335276,2550581.359999999869615,2252087.360000000335276,2223386.759999999776483,2155339.429999999701977,11440835.519999999552965
FS( 60 ),2282969.830000000074506,2535762.399999999906868,2268586.640000000596046,2235005.870000000111759,2163231.520000000018626,11485556.260000001639128
FS( 61 ),2336220.169999999925494,2549441.439999999478459,2295905.120000000111759,2233131.820000000298023,2182095.540000000037253,11596794.089999999850988
FS( 62 ),2320740.419999999925494,2504984.560000000055879,2254251.200000000186265,2262367.000000000000000,2114724.040000000037253,11457067.219999998807907
FS( 63 ),2309595.000000000000000,2555711.000000000000000,2276701.040000000037253,2264615.860000000335276,2167273.810000000055879,11573896.710000000894070
FS( 64 ),2328170.700000000186265,2546591.639999999664724,2279135.360000000335276,2244376.120000000111759,2131470.669999999925494,11529744.490000000223517
FS( 65 ),2335600.979999999981374,2535762.399999999906868,2193122.719999999739230,2252621.940000000409782,2067948.969999999972060,11385057.009999999776483
FS( 66 ),2310214.190000000409782,2475916.599999999627471,2206917.200000000186265,2264615.860000000335276,2090085.319999999832362,11347749.170000001788139
FS( 67 ),2316406.089999999850988,2476486.560000000055879,2239104.320000000298023,2238379.160000000149012,2112414.159999999683350,11382790.290000000968575
FS( 68 ),2315786.900000000372529,2455398.039999999571592,2231260.400000000372529,2271362.440000000409782,2144367.500000000000000,11418175.280000001192093
FS( 69 ),2328789.890000000130385,2470786.959999999962747,2276430.559999999590218,2297599.139999999664724,2167466.299999999813735,11541072.849999997764826
FS( 70 ),2350461.540000000502914,2488455.719999999739230,2305371.919999999925494,2320462.549999999813735,2163039.029999999795109,11627790.759999999776483
FS( 71 ),2347365.589999999850988,2469647.039999999571592,2314838.719999999739230,2330207.610000000335276,2184020.439999999944121,11646079.399999998509884
FS( 72 ),2362226.150000000372529,2470217.000000000000000,2308617.679999999701977,2410042.139999999664724,2181133.089999999850988,11732236.059999998658895
FS( 73 ),2346746.400000000372529,2465657.319999999832362,2290766.000000000000000,2418662.770000000484288,2173625.979999999981374,11695458.470000002533197
FS( 74 ),2364702.910000000149012,2539752.120000000111759,2349189.679999999701977,2428407.830000000074506,2190950.079999999608845,11873002.619999999180436
FS( 75 ),2382659.419999999925494,2636645.319999999832362,2336477.120000000111759,2429157.450000000186265,2185752.849999999627471,11970692.160000000149012
FS( 76 ),2371514.000000000000000,2681102.199999999720603,2321600.719999999739230,2407793.280000000260770,2158611.759999999776483,11940621.959999999031425
FS( 77 ),2398758.360000000335276,2710740.120000000111759,2313215.839999999850988,2383430.629999999888241,2158226.779999999795109,11964371.729999998584390
FS( 78 ),2385755.370000000577420,2665143.319999999832362,2312674.879999999888241,2427658.209999999962747,2163808.989999999757856,11955040.770000001415610
FS( 79 ),2386993.750000000000000,2661723.560000000055879,2312945.360000000335276,2372186.330000000074506,2169198.709999999962747,11903047.710000000894070
FS( 80 ),2382659.419999999925494,2626386.039999999571592,2309970.080000000074506,2385679.490000000223517,2174973.409999999683350,11879668.439999999478459
FS( 81 ),2387612.940000000409782,2628095.919999999925494,2318354.959999999962747,2359442.790000000037253,2194799.879999999888241,11888306.489999998360872
FS( 82 ),2389470.510000000707805,2634365.479999999981374,2318625.440000000409782,2359442.790000000037253,2201152.049999999813735,11903056.269999999552965
FS( 83 ),2371514.000000000000000,2630945.719999999739230,2313756.800000000745058,2344450.389999999664724,2194799.879999999888241,11855466.789999999105930
FS( 84 ),2406188.640000000130385,2670272.959999999962747,2324846.480000000447035,2379682.530000000260770,2204231.890000000130385,11985222.500000000000000
FS( 85 ),2425383.530000000260770,2579649.319999999832362,2335665.679999999701977,2379307.719999999739230,2226175.750000000000000,11946182.000000000000000
FS( 86 ),2414238.110000000335276,2532342.639999999664724,2356222.160000000149012,2377808.480000000447035,2234452.819999999832362,11915064.210000000894070
FS( 87 ),2447674.370000000577420,2550011.399999999906868,2385434.000000000000000,2398048.219999999739230,2287965.040000000037253,12069133.030000001192093
FS( 88 ),2473061.160000000149012,2550011.399999999906868,2387868.320000000298023,2419412.389999999664724,2297204.560000000055879,12127557.830000000074506
FS( 89 ),2457581.410000000149012,2486175.879999999888241,2386245.440000000409782,2402171.129999999888241,2292777.290000000037253,12024951.149999998509884
FS( 90 ),2471203.589999999850988,2422340.359999999869615,2375426.240000000223517,2407043.660000000149012,2290274.919999999925494,11966288.769999999552965
FS( 91 ),2482968.200000000186265,2474206.719999999739230,2382458.719999999739230,2409667.330000000074506,2306829.060000000055879,12056130.029999999329448
FS( 92 ),2530645.830000000074506,2464517.399999999906868,2423571.679999999701977,2423910.110000000335276,2311641.310000000055879,12154286.330000000074506
FS( 93 ),2510212.560000000055879,2458817.799999999813735,2389761.679999999701977,2377058.860000000335276,2317416.009999999776483,12053266.909999998286366
FS( 94 ),2551079.100000000558794,2530062.799999999813735,2438177.600000000558794,2391676.450000000186265,2348021.919999999925494,12259017.870000001043081
FS( 95 ),2557271.000000000000000,2535192.439999999478459,2437095.679999999701977,2402920.750000000000000,2369773.290000000037253,12302253.160000000149012
FS( 96 ),2556651.810000000055879,2554571.080000000074506,2434390.879999999888241,2519111.849999999627471,2361881.200000000186265,12426606.820000000298023
FS( 97 ),2579561.839999999850988,2607577.359999999869615,2477938.160000000149012,2488377.429999999701977,2393257.069999999832362,12546711.859999999403954
FS( 98 ),2606806.200000000186265,2625246.120000000111759,2485782.080000000074506,2516488.179999999701977,2399416.750000000000000,12633739.330000000074506
FS( 99 ),2611140.530000000260770,2593898.319999999832362,2483618.240000000223517,2548721.839999999850988,2397491.849999999627471,12634870.779999999329448
FS( 100 ),2594422.400000000372529,2581929.159999999683350,2497412.719999999739230,2537852.349999999627471,2410388.679999999701977,12622005.309999998658895
FS( 101 ),2635288.940000000409782,2854370.039999999571592,2544205.759999999776483,2550221.080000000074506,2431562.579999999608845,13015648.400000000372529
FS( 102 ),2653245.450000000186265,2848670.439999999478459,2540419.040000000037253,2532979.820000000298023,2403074.060000000055879,12978388.810000000521541
FS( 103 ),2616094.050000000279397,2780845.199999999720603,2508502.400000000372529,2523609.570000000298023,2378242.849999999627471,12807294.070000000298023
FS( 104 ),2572131.560000000055879,2743797.799999999813735,2569901.360000000335276,2556967.660000000149012,2391332.169999999925494,12834130.549999998882413
FS( 105 ),2582038.600000000558794,2715869.759999999776483,2549615.360000000335276,2535603.490000000223517,2420013.179999999701977,12803140.390000000596046
FS( 106 ),2534360.970000000204891,2630375.759999999776483,2482536.320000000298023,2519486.660000000149012,2327425.489999999757856,12494185.200000001117587
FS( 107 ),2401235.120000000577420,2537472.280000000260770,2380294.879999999888241,2413415.429999999701977,2238110.129999999888241,11970527.839999999850988
FS( 108 ),2487302.530000000260770,2559700.719999999739230,2470364.719999999739230,2444524.660000000149012,2309331.429999999701977,12271224.059999998658895
FS( 109 ),2497828.760000000707805,2576229.560000000055879,2423842.160000000149012,2459891.870000000111759,2303171.750000000000000,12260964.100000001490116
FS( 110 ),2400615.930000000633299,2436589.359999999869615,2299421.360000000335276,2342201.530000000260770,2191720.040000000037253,11670548.220000002533197
FS( 111 ),2447674.370000000577420,2504984.560000000055879,2385163.520000000484288,2454644.530000000260770,2239072.579999999608845,12031539.560000000521541
FS( 112 ),2513927.700000000186265,2555141.039999999571592,2410859.120000000111759,2473010.220000000670552,2280457.929999999701977,12233396.010000001639128
FS( 113 ),2552936.669999999925494,2534052.520000000018626,2429792.719999999739230,2468887.310000000521541,2278148.049999999813735,12263817.269999999552965
FS( 114 ),2606187.010000000707805,2586488.839999999850988,2456299.759999999776483,2547222.599999999627471,2325885.569999999832362,12522083.780000001192093
FS( 115 ),2729405.820000000298023,2617266.680000000167638,2506338.559999999590218,2559591.330000000074506,2353796.620000000111759,12766399.010000001639128
FS( 116 ),2744885.570000000298023,2596748.120000000111759,2488486.879999999888241,2559966.139999999664724,2345519.549999999813735,12735606.260000001639128
FS( 117 ),2728167.440000000409782,2640065.080000000074506,2507961.440000000409782,2529606.530000000260770,2348599.390000000130385,12754399.880000002682209
FS( 118 ),2681728.190000000409782,2618406.599999999627471,2474692.400000000372529,2513114.889999999664724,2318185.970000000204891,12606128.050000000745058
FS( 119 ),2658818.160000000149012,2610427.159999999683350,2481183.919999999925494,2516113.370000000111759,2317223.520000000018626,12583766.129999998956919
FS( 120 ),2724452.300000000279397,2720429.439999999478459,2544205.759999999776483,2554718.799999999813735,2366308.470000000204891,12910114.770000001415610
FS( 121 ),2808662.140000000130385,2799083.919999999925494,2580991.040000000037253,2610565.490000000223517,2398261.810000000055879,13197564.400000000372529
FS( 122 ),2788848.060000000055879,2844680.719999999739230,2547992.480000000447035,2549846.270000000484288,2374778.029999999795109,13106145.560000000521541
FS( 123 ),2772749.120000000577420,2809343.199999999720603,2536361.839999999850988,2512365.270000000484288,2366500.959999999962747,12997320.390000000596046
FS( 124 ),2712068.500000000000000,2726699.000000000000000,2511477.679999999701977,2485753.759999999776483,2317608.500000000000000,12753607.439999999478459
FS( 125 ),2728167.440000000409782,2791674.439999999478459,2516887.280000000260770,2469636.929999999701977,2324730.629999999888241,12831096.719999998807907
FS( 126 ),2756650.180000000633299,2835561.359999999869615,2532845.600000000558794,2438152.889999999664724,2346097.020000000018626,12909307.050000000745058
FS( 127 ),2742408.810000000055879,2890277.520000000018626,2524190.240000000223517,2445274.280000000260770,2330312.839999999850988,12932463.690000001341105
FS( 128 ),2736836.100000000558794,2925045.080000000074506,2538796.160000000149012,2405169.610000000335276,2345519.549999999813735,12951366.500000000000000
FS( 129 ),2745504.760000000707805,2891987.399999999906868,2554213.520000000484288,2440401.750000000000000,2352641.679999999701977,12984749.109999999403954
FS( 130 ),2809281.330000000074506,2974631.599999999627471,2611284.800000000745058,2485004.139999999664724,2396721.890000000130385,13276923.760000001639128
FS( 131 ),2820426.750000000000000,2936444.280000000260770,2617505.839999999850988,2504494.259999999776483,2391524.659999999683350,13270395.789999999105930
FS( 132 ),2796278.339999999850988,2951263.239999999757856,2553672.559999999590218,2480131.610000000335276,2371505.700000000186265,13152851.449999999254942
FS( 133 ),2803708.620000000577420,2955822.919999999925494,2538525.679999999701977,2481256.040000000037253,2359571.319999999832362,13138884.580000001937151
FS( 134 ),2806804.570000000298023,2899966.839999999850988,2547451.520000000484288,2488377.429999999701977,2375547.989999999757856,13118148.349999999627471
FS( 135 ),2786990.490000000223517,2916495.680000000167638,2558811.679999999701977,2470386.549999999813735,2397106.870000000111759,13129791.269999999552965
FS( 136 ),2741170.430000000633299,2897117.039999999571592,2512559.600000000558794,2462890.349999999627471,2371698.189999999944121,12985435.610000001266599
FS( 137 ),2747362.330000000074506,2938154.159999999683350,2519051.120000000111759,2503744.639999999664724,2404421.489999999757856,13112733.740000000223517
FS( 138 ),2743647.190000000409782,2938724.120000000111759,2501469.919999999925494,2486878.189999999478459,2371890.679999999701977,13042610.099999999627471
FS( 139 ),2666867.630000000353903,2897117.039999999571592,2428710.800000000745058,2414539.860000000335276,2309716.409999999683350,12716951.740000002086163
FS( 140 ),2626620.280000000260770,2813332.919999999925494,2358115.520000000484288,2422410.870000000111759,2252161.899999999906868,12472641.490000000223517
FS( 141 ),2728167.440000000409782,2991160.439999999478459,2536632.320000000298023,2470011.740000000223517,2322228.259999999776483,13048200.200000001117587
FS( 142 ),2642719.220000000204891,2917635.599999999627471,2420055.440000000409782,2480131.610000000335276,2259861.500000000000000,12720403.370000001043081
FS( 143 ),2579561.839999999850988,2827011.959999999962747,2417891.600000000558794,2452770.480000000447035,2251969.409999999683350,12529205.290000000968575
FS( 144 ),2655722.210000000428408,2968362.039999999571592,2468741.839999999850988,2490251.480000000447035,2302594.279999999795109,12885671.849999999627471
FS( 145 ),2539314.490000000223517,2788254.680000000167638,2394359.839999999850988,2403295.560000000521541,2278918.009999999776483,12404142.580000000074506
FS( 146 ),2562224.520000000484288,2835561.359999999869615,2426546.959999999962747,2499996.540000000037253,2294509.700000000186265,12618839.080000001937151
FS( 147 ),2551079.100000000558794,2849240.399999999906868,2497412.719999999739230,2564463.860000000335276,2306251.589999999850988,12768447.669999999925494
FS( 148 ),2589468.880000000353903,2871468.839999999850988,2498765.120000000111759,2608316.629999999888241,2332815.209999999962747,12900834.679999999701977
FS( 149 ),2521977.169999999925494,2780845.199999999720603,2440611.919999999925494,2531855.389999999664724,2265636.200000000186265,12540925.879999998956919
FS( 150 ),2549221.530000000260770,2824162.159999999683350,2455217.839999999850988,2517987.419999999925494,2286617.609999999869615,12633206.559999998658895
FS( 151 ),2632192.990000000223517,2922195.280000000260770,2512289.120000000111759,2511240.839999999850988,2323768.179999999701977,12901686.410000000149012
FS( 152 ),2627239.470000000204891,2912505.959999999962747,2484700.160000000149012,2504869.070000000298023,2305674.120000000111759,12834988.780000001192093
FS( 153 ),2683585.760000000707805,3004839.479999999981374,2531222.719999999739230,2540101.209999999962747,2330505.329999999608845,13090254.500000000000000
FS( 154 ),2662533.300000000279397,2955822.919999999925494,2517698.719999999739230,2520611.089999999850988,2324345.649999999906868,12981011.680000001564622
FS( 155 ),2681109.000000000000000,2986600.759999999776483,2547181.040000000037253,2513489.700000000186265,2346097.020000000018626,13074477.519999999552965
FS( 156 ),2760984.510000000707805,3051576.199999999720603,2598572.240000000223517,2530356.150000000372529,2383055.099999999627471,13324544.200000001117587
FS( 157 ),2763461.270000000484288,3055565.919999999925494,2608580.000000000000000,2481256.040000000037253,2383055.099999999627471,13291918.330000000074506
FS( 158 ),2759126.940000000409782,2976341.479999999981374,2599654.160000000149012,2463639.970000000670552,2386134.939999999944121,13184897.490000000223517
FS( 159 ),2730025.010000000707805,2937014.239999999757856,2569630.879999999888241,2477133.129999999888241,2390754.700000000186265,13104557.960000000894070
FS( 160 ),2739932.050000000279397,2912505.959999999962747,2579097.679999999701977,2506743.120000000111759,2395759.439999999944121,13134038.249999998137355
FS( 161 ),2708353.360000000335276,2932454.560000000055879,2518780.640000000596046,2510116.410000000149012,2334355.129999999888241,13004060.100000001490116
FS( 162 ),2706495.790000000502914,2928464.839999999850988,2496871.759999999776483,2498872.110000000335276,2333200.189999999944121,12963904.689999999478459
FS( 163 ),2737455.290000000502914,3023648.159999999683350,2549615.360000000335276,2550595.889999999664724,2446191.819999999832362,13307506.519999999552965
FS( 164 ),2768414.790000000502914,3005409.439999999478459,2591810.240000000223517,2607192.200000000186265,2425595.390000000130385,13398422.060000002384186
FS( 165 ),2742408.810000000055879,2942143.879999999888241,2529599.839999999850988,2563339.429999999701977,2442342.020000000018626,13219833.979999998584390
FS( 166 ),2775845.070000000298023,3039607.039999999571592,2569630.879999999888241,2552469.939999999478459,2454468.890000000130385,13392021.820000000298023
FS( 167 ),2715783.640000000130385,2981471.120000000111759,2529329.360000000335276,2558466.900000000372529,2432717.520000000018626,13217768.539999999105930
FS( 168 ),2751696.660000000149012,2979761.239999999757856,2544476.240000000223517,2507492.740000000223517,2448116.720000000204891,13231543.600000001490116
FS( 169 ),2804947.000000000000000,3008259.239999999757856,2573958.559999999590218,2552469.939999999478459,2466980.739999999757856,13406615.479999998584390
FS( 170 ),2831572.169999999925494,3039607.039999999571592,2602629.440000000409782,2598946.379999999888241,2488154.639999999664724,13560909.669999998062849
FS( 171 ),2830333.790000000502914,3056705.839999999850988,2591539.759999999776483,2565963.099999999627471,2500474.000000000000000,13545016.490000000223517
FS( 172 ),2850767.060000000055879,3097173.000000000000000,2622104.000000000000000,2546847.790000000037253,2518568.060000000055879,13635459.910000002011657
FS( 173 ),2866866.000000000000000,3133650.439999999478459,2648340.559999999590218,2545723.360000000335276,2518568.060000000055879,13713148.419999999925494
FS( 174 ),2843955.970000000204891,3115981.680000000167638,2642660.480000000447035,2564838.669999999925494,2537432.079999999608845,13704868.880000000819564
FS( 175 ),2829714.600000000558794,3129090.759999999776483,2651586.320000000298023,2580205.879999999888241,2525690.189999999944121,13716287.749999998137355
FS( 176 ),2816092.419999999925494,3073234.680000000167638,2632382.240000000223517,2604943.339999999850988,2523572.799999999813735,13650225.480000000447035
FS( 177 ),2796278.339999999850988,3114271.799999999813735,2627784.080000000074506,2673908.379999999888241,2519530.509999999776483,13731773.109999997541308
FS( 178 ),2691016.040000000502914,3123961.120000000111759,2601547.520000000484288,2658915.980000000447035,2501051.470000000204891,13576492.130000000819564
FS( 179 ),2675536.290000000502914,3123961.120000000111759,2606416.160000000149012,2673158.759999999776483,2501051.470000000204891,13580123.800000000745058
FS( 180 ),2708972.550000000279397,3096033.080000000074506,2639955.679999999701977,2675407.620000000111759,2515103.239999999757856,13635472.169999999925494
FS( 181 ),2702780.650000000372529,3103442.560000000055879,2637250.879999999888241,2672783.950000000186265,2516065.689999999944121,13632323.729999998584390
FS( 182 ),2704638.220000000204891,3146759.520000000018626,2668626.559999999590218,2673908.379999999888241,2538587.020000000018626,13732519.699999999254942
FS( 183 ),2697827.130000000353903,3120541.359999999869615,2659159.759999999776483,2705392.419999999925494,2538779.509999999776483,13721700.179999999701977
FS( 184 ),2678632.240000000223517,3159868.599999999627471,2660512.160000000149012,2708016.089999999850988,2527037.620000000111759,13734066.710000000894070
FS( 185 ),2660675.729999999981374,3153029.080000000074506,2651045.360000000335276,2658166.360000000335276,2496431.709999999962747,13619348.240000002086163
FS( 186 ),2653245.450000000186265,3173547.639999999664724,2676470.480000000447035,2707266.470000000670552,2514718.259999999776483,13725248.300000000745058
FS( 187 ),2644576.790000000502914,3146189.560000000055879,2673495.200000000186265,2691149.639999999664724,2516258.179999999701977,13671669.370000001043081
FS( 188 ),2703399.839999999850988,3253342.039999999571592,2726238.800000000745058,2727131.400000000372529,2518760.549999999813735,13928872.629999998956919
FS( 189 ),2698446.320000000298023,3239093.039999999571592,2750041.040000000037253,2767236.070000000298023,2561493.329999999608845,14016309.799999998882413
FS( 190 ),2704019.030000000260770,3221994.239999999757856,2764106.000000000000000,2775481.889999999664724,2570925.339999999850988,14036526.500000000000000
FS( 191 ),2740551.240000000223517,3250492.239999999757856,2772220.400000000372529,2801718.589999999850988,2623282.620000000111759,14188265.089999999850988
