代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13615770.730000000447035
真實報酬,3615770.730000000447035

夏普值報酬,0.352877073000000
夏普值風險,0.094562397615046
夏普值,3.731684918105888

二次趨勢線,9.393534816617485 x^2 + 12150.385329969567465 x + 10000000.000000000000000
二次平均預期報酬,14526.949638573792981
風險,201606.904716393473791
二次平均趨勢值,0.072055814055621
一次趨勢線,13929.279010469372224 x + 10000000.000000000000000
一次預期報酬,13929.279010469372224
一次風險,212456.010805119789438
一次趨勢值,0.065563120373404
找到最佳解世代,2351
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),GS[8](6),NKE[19](5),UNH[23](2),
FS( 14 ),2478894.969999999739230,2573586.169999999925494,2462179.819999999832362,2596773.760000000242144,10111434.719999998807907
FS( 15 ),2492483.139999999664724,2623043.270000000018626,2469231.040000000037253,2626996.479999999981374,10211753.929999999701977
FS( 16 ),2487568.270000000484288,2650019.869999999646097,2480128.379999999888241,2623638.399999999906868,10241354.919999999925494
FS( 17 ),2509540.629999999888241,2641627.149999999441206,2519230.599999999627471,2615701.120000000111759,10286099.500000000000000
FS( 18 ),2493061.360000000335276,2628738.330000000074506,2491025.719999999739230,2585173.120000000111759,10197998.530000001192093
FS( 19 ),2519659.480000000447035,2636981.179999999701977,2512820.400000000372529,2617838.080000000074506,10287299.140000000596046
FS( 20 ),2492194.030000000260770,2630836.509999999776483,2503205.099999999627471,2572656.640000000130385,10198892.279999999329448
FS( 21 ),2521394.139999999664724,2634133.649999999441206,2551922.620000000111759,2532359.680000000167638,10239810.089999999850988
FS( 22 ),2482942.509999999776483,2590821.219999999739230,2472436.140000000130385,2474356.479999999981374,10020556.349999999627471
FS( 23 ),2468487.009999999776483,2551555.279999999795109,2460897.780000000260770,2487788.799999999813735,9968728.869999999180436
FS( 24 ),2522261.469999999739230,2573136.559999999590218,2473077.159999999683350,2511600.640000000130385,10080075.830000000074506
FS( 25 ),2508095.080000000074506,2539116.069999999832362,2465384.919999999925494,2472524.799999999813735,9985120.870000001043081
FS( 26 ),2503469.320000000298023,2543911.910000000149012,2472436.140000000130385,2488094.080000000074506,10007911.450000001117587
FS( 27 ),2472245.440000000409782,2534320.229999999515712,2446795.340000000316650,2419711.360000000335276,9873072.370000001043081
FS( 28 ),2510986.179999999701977,2581679.149999999441206,2469872.060000000055879,2445965.440000000409782,10008502.829999998211861
FS( 29 ),2529778.330000000074506,2584676.549999999813735,2469872.060000000055879,2438333.440000000409782,10022660.379999998956919
FS( 30 ),2521394.139999999664724,2582728.239999999757856,2459615.739999999757856,2449018.240000000223517,10012756.359999999403954
FS( 31 ),2532669.429999999701977,2583327.719999999739230,2476282.260000000242144,2488399.360000000335276,10080678.769999999552965
FS( 32 ),2561869.540000000037253,2588723.039999999571592,2477564.299999999813735,2497863.040000000037253,10126019.919999999925494
FS( 33 ),2581239.910000000149012,2576283.830000000074506,2472436.140000000130385,2487178.240000000223517,10117138.120000001043081
FS( 34 ),2601188.500000000000000,2615999.379999999888241,2517948.560000000055879,2513737.600000000093132,10248874.039999999105930
FS( 35 ),2604657.820000000298023,2607157.049999999813735,2516666.520000000018626,2548234.240000000223517,10276715.630000000819564
FS( 36 ),2597430.070000000298023,2608206.139999999664724,2529486.919999999925494,2547013.120000000111759,10282136.250000000000000
FS( 37 ),2613042.009999999776483,2624991.580000000074506,2530127.939999999944121,2557392.640000000130385,10325554.169999999925494
FS( 38 ),2616222.219999999739230,2629787.419999999925494,2541666.299999999813735,2557697.919999999925494,10345373.859999999403954
FS( 39 ),2613042.009999999776483,2665756.219999999739230,2564743.020000000018626,2571740.799999999813735,10415282.050000000745058
FS( 40 ),2602634.049999999813735,2666205.830000000074506,2547435.479999999981374,2598605.440000000409782,10414880.800000000745058
FS( 41 ),2612752.900000000372529,2664857.000000000000000,2555127.719999999739230,2637070.719999999739230,10469808.339999999850988
FS( 42 ),2608705.360000000335276,2662459.080000000074506,2526281.819999999832362,2635849.600000000093132,10433295.859999999403954
FS( 43 ),2598586.509999999776483,2684340.100000000093132,2517948.560000000055879,2646229.120000000111759,10447104.289999999105930
FS( 44 ),2625184.629999999888241,2694231.520000000018626,2541025.280000000260770,2637376.000000000000000,10497817.429999999701977
FS( 45 ),2629232.169999999925494,2691683.729999999515712,2526281.819999999832362,2649587.200000000186265,10496784.919999998062849
FS( 46 ),2606103.370000000111759,2698877.489999999757856,2561537.919999999925494,2657829.760000000242144,10524348.539999999105930
FS( 47 ),2629232.169999999925494,2693931.779999999795109,2629486.040000000037253,2678894.080000000074506,10631544.070000000298023
FS( 48 ),2618245.990000000223517,2699327.100000000093132,2641024.400000000372529,2683778.560000000055879,10642376.050000000745058
FS( 49 ),2590491.429999999701977,2658712.330000000074506,2623075.840000000316650,2703621.760000000242144,10575901.359999999403954
FS( 50 ),2588178.549999999813735,2695730.219999999739230,2643588.479999999981374,2663630.080000000074506,10591127.330000000074506
FS( 51 ),2601188.500000000000000,2712665.529999999795109,2622434.819999999832362,2658440.319999999832362,10594729.169999999925494
FS( 52 ),2592515.200000000186265,2745187.319999999832362,2623075.840000000316650,2630965.120000000111759,10591743.480000000447035
FS( 53 ),2604368.709999999962747,2757326.789999999571592,2616024.620000000111759,2626385.919999999925494,10604106.039999999105930
FS( 54 ),2609861.799999999813735,2758226.009999999776483,2602563.200000000186265,2660882.560000000055879,10631533.570000000298023
FS( 55 ),2611596.459999999962747,2769915.869999999646097,2612819.520000000018626,2655692.799999999813735,10650024.649999998509884
FS( 56 ),2611885.570000000298023,2815925.959999999497086,2627562.979999999981374,2675230.719999999739230,10730605.230000000447035
FS( 57 ),2616222.219999999739230,2790597.929999999701977,2622434.819999999832362,2680420.479999999981374,10709675.449999999254942
FS( 58 ),2581529.020000000484288,2776959.759999999776483,2586537.700000000186265,2679504.640000000130385,10624531.120000001043081
FS( 59 ),2553196.240000000223517,2773962.359999999869615,2567948.120000000111759,2643481.600000000093132,10538588.320000000298023
FS( 60 ),2586154.780000000260770,2814727.000000000000000,2591024.840000000316650,2692936.959999999962747,10684843.580000001937151
FS( 61 ),2546257.600000000093132,2758975.359999999869615,2556409.760000000242144,2630965.120000000111759,10492607.839999999850988
FS( 62 ),2565627.969999999739230,2774411.969999999739230,2868586.500000000000000,2643786.879999999888241,10852413.320000000298023
FS( 63 ),2568229.959999999962747,2755078.739999999757856,2856407.120000000111759,2641039.360000000335276,10820755.179999999701977
FS( 64 ),2574012.160000000149012,2751182.119999999646097,2858971.200000000186265,2633102.080000000074506,10817267.559999998658895
FS( 65 ),2529489.219999999739230,2708169.429999999701977,2810894.700000000186265,2591278.719999999739230,10639832.070000000298023
FS( 66 ),2509251.520000000484288,2740841.089999999850988,2862176.299999999813735,2591889.280000000260770,10704158.190000001341105
FS( 67 ),2557243.780000000260770,2818623.619999999646097,2894227.299999999813735,2626080.640000000130385,10896175.339999999850988
FS( 68 ),2560423.990000000223517,2809781.289999999571592,2859612.219999999739230,2597689.600000000093132,10827507.099999999627471
FS( 69 ),2518503.040000000037253,2754629.129999999888241,2823074.080000000074506,2570214.399999999906868,10666420.650000000372529
FS( 70 ),2547414.040000000037253,2797192.209999999497086,2847432.840000000316650,2644397.440000000409782,10836436.530000001192093
FS( 71 ),2478027.639999999664724,2716712.020000000018626,2796151.239999999757856,2593110.399999999906868,10584001.300000000745058
FS( 72 ),2494217.799999999813735,2703373.589999999850988,2794869.200000000186265,2606848.000000000000000,10599308.589999999850988
FS( 73 ),2425987.839999999850988,2679244.520000000018626,2737177.400000000372529,2562887.680000000167638,10405297.439999999478459
FS( 74 ),2432637.370000000111759,2678195.429999999701977,2727562.099999999627471,2528391.040000000037253,10366785.939999999478459
FS( 75 ),2373080.709999999962747,2656314.410000000149012,2730126.180000000167638,2508242.560000000055879,10267763.860000001266599
FS( 76 ),2363250.969999999739230,2586474.989999999757856,2789741.040000000037253,2606848.000000000000000,10346315.000000000000000
FS( 77 ),2423674.959999999962747,2651368.699999999720603,2794228.180000000167638,2692021.120000000111759,10561292.960000000894070
FS( 78 ),2472534.549999999813735,2665306.609999999869615,2849355.900000000372529,2703011.200000000186265,10690208.260000001639128
FS( 79 ),2530934.770000000484288,2700376.189999999944121,2905124.640000000130385,2776583.680000000167638,10913019.280000001192093
FS( 80 ),2518213.929999999701977,2650169.739999999757856,2880124.859999999869615,2740560.640000000130385,10789069.169999999925494
FS( 81 ),2543944.719999999739230,2698577.750000000000000,2896791.379999999888241,2767730.560000000055879,10907044.410000000149012
FS( 82 ),2561869.540000000037253,2747884.979999999515712,2913457.900000000372529,2797648.000000000000000,11020860.419999999925494
FS( 83 ),2557243.780000000260770,2756277.699999999720603,2937175.640000000130385,2812606.719999999739230,11063303.839999999850988
FS( 84 ),2600032.060000000055879,2792396.369999999646097,2963457.459999999962747,2828176.000000000000000,11184061.890000000596046
FS( 85 ),2588467.660000000149012,2788799.489999999757856,2947431.959999999962747,2837944.959999999962747,11162644.070000000298023
FS( 86 ),2608416.250000000000000,2802137.919999999925494,2980765.000000000000000,2866030.719999999739230,11257349.890000000596046
FS( 87 ),2641953.009999999776483,2847398.660000000149012,2980123.979999999981374,2900527.360000000335276,11370003.010000001639128
FS( 88 ),2651493.639999999664724,2859987.739999999757856,2995508.459999999962747,2895948.160000000149012,11402938.000000000000000
FS( 89 ),2612174.679999999701977,2851595.020000000018626,3011533.959999999962747,2899611.520000000018626,11374915.179999999701977
FS( 90 ),2630966.830000000074506,2845150.609999999869615,3034610.680000000167638,2924644.479999999981374,11435372.599999999627471
FS( 91 ),2659877.830000000074506,2862535.529999999795109,3032046.599999999627471,2937160.959999999962747,11491620.919999998062849
FS( 92 ),2602055.830000000074506,2858189.299999999813735,3005764.780000000260770,2857788.160000000149012,11323798.070000000298023
FS( 93 ),2595695.410000000149012,2874525.129999999888241,3043584.959999999962747,2892590.080000000074506,11406395.580000000074506
FS( 94 ),2601477.610000000335276,2875724.089999999850988,3041020.879999999888241,2921286.399999999906868,11439508.980000000447035
FS( 95 ),2599164.730000000447035,2850246.189999999944121,3071148.819999999832362,2920981.120000000111759,11441540.859999999403954
FS( 96 ),2616222.219999999739230,2851145.410000000149012,3080764.120000000111759,2927697.280000000260770,11475829.030000001192093
FS( 97 ),2625184.629999999888241,2847248.789999999571592,3060892.500000000000000,2903580.160000000149012,11436906.080000000074506
FS( 98 ),2613909.339999999850988,2846499.439999999944121,3078841.060000000055879,2945098.240000000223517,11484348.080000000074506
FS( 99 ),2610150.910000000149012,2842153.209999999497086,3092302.479999999981374,2997606.399999999906868,11542213.000000000000000
FS( 100 ),2596851.850000000093132,2835409.059999999590218,3107686.959999999962747,2957004.160000000149012,11496952.030000001192093
FS( 101 ),2570253.730000000447035,2843801.779999999795109,3118584.299999999813735,2956698.879999999888241,11489338.689999997615814
FS( 102 ),2571988.389999999664724,2841403.859999999869615,3122430.419999999925494,2952424.959999999962747,11488247.629999998956919
FS( 103 ),2618824.209999999962747,2848597.619999999646097,3139737.959999999962747,2958225.280000000260770,11565385.070000000298023
FS( 104 ),2649758.980000000447035,2830463.350000000093132,3118584.299999999813735,2988753.280000000260770,11587559.910000000149012
FS( 105 ),2657564.950000000186265,2825367.770000000018626,3134609.799999999813735,2995164.160000000149012,11612706.679999999701977
FS( 106 ),2674622.440000000409782,2823719.199999999720603,3182686.299999999813735,3011038.719999999739230,11692066.660000000149012
FS( 107 ),2680115.530000000260770,2820571.929999999701977,3131404.700000000186265,3024165.760000000242144,11656257.919999999925494
FS( 108 ),2702377.000000000000000,2850396.059999999590218,3142302.040000000037253,3047672.319999999832362,11742747.419999999925494
FS( 109 ),2691969.040000000037253,2861786.179999999701977,3157045.500000000000000,3077284.479999999981374,11788085.199999999254942
FS( 110 ),2695438.360000000335276,2876773.179999999701977,3174994.060000000055879,3042787.840000000316650,11789993.439999999478459
FS( 111 ),2710761.190000000409782,2929227.679999999701977,3183968.340000000316650,3062936.319999999832362,11886893.530000001192093
FS( 112 ),2711917.629999999888241,2946762.469999999739230,3132045.719999999739230,3050419.840000000316650,11841145.660000000149012
FS( 113 ),2687054.169999999925494,2950808.959999999497086,3110251.040000000037253,3084000.640000000130385,11832114.809999998658895
FS( 114 ),2649180.759999999776483,2877522.529999999795109,3130122.659999999683350,3025081.600000000093132,11681907.549999998882413
FS( 115 ),2652650.080000000074506,2900602.509999999776483,3107045.939999999944121,3044619.520000000018626,11704918.049999998882413
FS( 116 ),2645133.219999999739230,2829863.869999999646097,3082687.180000000167638,3015007.360000000335276,11572691.629999998956919
FS( 117 ),2628075.730000000447035,2780706.509999999776483,3058969.439999999944121,3000048.640000000130385,11467800.320000000298023
FS( 118 ),2606970.700000000186265,2747285.500000000000000,2987816.219999999739230,2926170.879999999888241,11268243.300000000745058
FS( 119 ),2641953.009999999776483,2773063.139999999664724,3028841.500000000000000,3026608.000000000000000,11470465.649999998509884
FS( 120 ),2677513.540000000037253,2871677.600000000093132,3111533.080000000074506,3121244.799999999813735,11781969.019999999552965
FS( 121 ),2685608.620000000111759,2896705.889999999664724,3039738.840000000316650,3128876.799999999813735,11750930.149999998509884
FS( 122 ),2723482.030000000260770,2914090.809999999590218,3074994.939999999944121,3145667.200000000186265,11858234.980000000447035
FS( 123 ),2737648.419999999925494,2929977.029999999795109,3076276.979999999981374,3139866.879999999888241,11883769.309999998658895
FS( 124 ),2729842.450000000186265,2935821.959999999497086,3086533.299999999813735,3134677.120000000111759,11886874.830000001937151
FS( 125 ),2747478.160000000149012,2929227.679999999701977,3103840.840000000316650,3130708.479999999981374,11911255.160000000149012
FS( 126 ),2761066.330000000074506,2940318.059999999590218,3118584.299999999813735,3123992.319999999832362,11943961.009999999776483
FS( 127 ),2737937.530000000260770,2933124.299999999813735,3105122.879999999888241,3139866.879999999888241,11916051.589999999850988
FS( 128 ),2723192.919999999925494,2904948.739999999757856,3082046.159999999683350,3086137.600000000093132,11796325.419999999925494
FS( 129 ),2710472.080000000074506,2913641.199999999720603,3046149.040000000037253,3076673.919999999925494,11746936.240000000223517
FS( 130 ),2670864.009999999776483,2822670.109999999869615,2996790.500000000000000,3025997.440000000409782,11516322.059999998658895
FS( 131 ),2656697.620000000111759,2765569.639999999664724,2979482.959999999962747,3019891.840000000316650,11421642.059999998658895
FS( 132 ),2683873.959999999962747,2806783.889999999664724,3041020.879999999888241,3050725.120000000111759,11582403.850000001490116
FS( 133 ),2711628.520000000484288,2851595.020000000018626,3110892.060000000055879,3196343.680000000167638,11870459.280000001192093
FS( 134 ),2724927.580000000074506,2807832.979999999515712,3076918.000000000000000,3166426.240000000223517,11776104.799999998882413
FS( 135 ),2730998.889999999664724,2773662.619999999646097,3072430.859999999869615,3130708.479999999981374,11707800.849999999627471
FS( 136 ),2752103.919999999925494,2771564.439999999944121,3045508.020000000018626,3146583.040000000037253,11715759.419999998062849
FS( 137 ),2724349.360000000335276,2701125.539999999571592,3003841.719999999739230,3154520.319999999832362,11583836.940000001341105
FS( 138 ),2727818.679999999701977,2675048.160000000149012,2974995.819999999832362,3189016.959999999962747,11566879.620000001043081
FS( 139 ),2751814.810000000055879,2656164.539999999571592,2980765.000000000000000,3229008.640000000130385,11617752.990000000223517
FS( 140 ),2739093.969999999739230,2632185.339999999850988,3000636.620000000111759,3224429.440000000409782,11596345.370000001043081
FS( 141 ),2722614.700000000186265,2654965.580000000074506,2997431.520000000018626,3337383.040000000037253,11712394.839999999850988
FS( 142 ),2750947.480000000447035,2728252.009999999776483,3072430.859999999869615,3475674.879999999888241,12027305.230000000447035
FS( 143 ),2738515.750000000000000,2705022.160000000149012,3082046.159999999683350,3419198.080000000074506,11944782.150000000372529
FS( 144 ),2745743.500000000000000,2703973.069999999832362,3088456.359999999869615,3407292.160000000149012,11945465.089999999850988
FS( 145 ),2716832.500000000000000,2645074.160000000149012,3028841.500000000000000,3358447.360000000335276,11749195.519999999552965
FS( 146 ),2679248.200000000186265,2593518.879999999888241,2991021.319999999832362,3311128.959999999962747,11574917.359999999403954
FS( 147 ),2695149.250000000000000,2637580.660000000149012,3041020.879999999888241,3339520.000000000000000,11713270.789999999105930
FS( 148 ),2629810.389999999664724,2583927.199999999720603,2957047.260000000242144,3243662.080000000074506,11414446.929999999701977
FS( 149 ),2657854.060000000055879,2630087.160000000149012,2946149.919999999925494,3275411.200000000186265,11509502.339999999850988
FS( 150 ),2720590.929999999701977,2701275.410000000149012,2992303.359999999869615,3291285.760000000242144,11705455.459999999031425
FS( 151 ),2928171.910000000149012,2679394.389999999664724,2966021.540000000037253,3294643.840000000316650,11868231.679999999701977
FS( 152 ),2967490.870000000111759,2709218.520000000018626,2991662.340000000316650,3322119.040000000037253,11990490.769999999552965
FS( 153 ),2949566.049999999813735,2749083.939999999944121,2942303.799999999813735,3284874.879999999888241,11925828.669999998062849
FS( 154 ),2941181.860000000335276,2730949.669999999925494,2922432.180000000167638,3250988.799999999813735,11845552.510000001639128
FS( 155 ),2946674.950000000186265,2766019.250000000000000,2973072.760000000242144,3326698.240000000223517,12012465.200000001117587
FS( 156 ),2945229.400000000372529,2812329.080000000074506,2926919.319999999832362,3353562.879999999888241,12038040.679999999701977
FS( 157 ),2994667.209999999962747,2844251.389999999664724,2948714.000000000000000,3353257.600000000093132,12140890.199999999254942
FS( 158 ),3011724.700000000186265,2832561.529999999795109,2949996.040000000037253,3341046.399999999906868,12135328.669999999925494
FS( 159 ),3010279.150000000372529,2847848.270000000018626,2944226.859999999869615,3350815.360000000335276,12153169.640000000596046
FS( 160 ),3002762.290000000037253,2827615.819999999832362,3000636.620000000111759,3351120.640000000130385,12182135.370000001043081
FS( 161 ),3003629.620000000111759,2834210.100000000093132,3003200.700000000186265,3359057.919999999925494,12200098.340000001713634
FS( 162 ),3022710.879999999888241,2870178.899999999441206,3042943.939999999944121,3438125.440000000409782,12373959.160000000149012
FS( 163 ),3035431.719999999739230,2852194.500000000000000,3045508.020000000018626,3553521.280000000260770,12486655.519999999552965
FS( 164 ),3026180.200000000186265,2880819.669999999925494,3058328.419999999925494,3523909.120000000111759,12489237.410000000149012
FS( 165 ),3052200.100000000093132,2873326.169999999925494,3103199.819999999832362,3481780.479999999981374,12510506.570000000298023
FS( 166 ),3022999.990000000223517,2880519.929999999701977,3108969.000000000000000,3469874.560000000055879,12482363.480000000447035
FS( 167 ),3009122.709999999962747,2844401.259999999776483,3112815.120000000111759,3468958.719999999739230,12435297.809999998658895
FS( 168 ),3061451.620000000111759,2874375.259999999776483,3165378.760000000242144,3492465.280000000260770,12593670.920000001788139
FS( 169 ),3074750.679999999701977,2866582.020000000018626,3140378.979999999981374,3445452.160000000149012,12527163.839999999850988
FS( 170 ),3052200.100000000093132,2842602.819999999832362,3125635.520000000018626,3474759.040000000037253,12495197.480000000447035
FS( 171 ),3036588.160000000149012,2848747.489999999757856,3155763.459999999962747,3504371.200000000186265,12545470.309999998658895
FS( 172 ),3001605.850000000093132,2801238.699999999720603,3106404.919999999925494,3446062.719999999739230,12355312.189999997615814
FS( 173 ),3043237.690000000409782,2816525.439999999944121,3123071.439999999944121,3507729.280000000260770,12490563.850000001490116
FS( 174 ),2980500.820000000298023,2738293.299999999813735,3093584.520000000018626,3433240.959999999962747,12245619.600000001490116
FS( 175 ),2974718.620000000111759,2760324.189999999944121,3055764.340000000316650,3441178.240000000223517,12231985.390000000596046
FS( 176 ),3098457.700000000186265,2846799.179999999701977,3110251.040000000037253,3507118.719999999739230,12562626.640000000596046
FS( 177 ),3077352.669999999925494,2837657.109999999869615,3071148.819999999832362,3518414.080000000074506,12504572.679999999701977
FS( 178 ),3104239.900000000372529,2876023.830000000074506,3091020.439999999944121,3618240.640000000130385,12689524.810000000521541
FS( 179 ),3092386.389999999664724,2856091.119999999646097,3094225.540000000037253,3590154.879999999888241,12632857.929999999701977
FS( 180 ),3121586.500000000000000,2882318.369999999646097,3125635.520000000018626,3662200.959999999962747,12791741.349999997764826
FS( 181 ),3104239.900000000372529,2847098.919999999925494,3151276.319999999832362,3686623.360000000335276,12789238.500000000000000
FS( 182 ),3134885.560000000055879,2894457.839999999850988,3268582.979999999981374,3637168.000000000000000,12935094.380000000819564
FS( 183 ),3128814.250000000000000,2876923.049999999813735,3251916.459999999962747,3634115.200000000186265,12891768.960000000894070
FS( 184 ),3096723.040000000037253,2866731.889999999664724,3226275.659999999683350,3606029.440000000409782,12795760.030000001192093
FS( 185 ),3035720.830000000074506,2807832.979999999515712,3173071.000000000000000,3557795.200000000186265,12574420.009999997913837
FS( 186 ),3042659.469999999739230,2806184.410000000149012,3183968.340000000316650,3548942.080000000074506,12581754.300000000745058
FS( 187 ),3049598.110000000335276,2818473.750000000000000,3201275.879999999888241,3602671.360000000335276,12672019.100000001490116
FS( 188 ),3068101.150000000372529,2862835.270000000018626,3233967.900000000372529,3693950.080000000074506,12858854.400000000372529
FS( 189 ),3032540.620000000111759,2817124.919999999925494,3216019.340000000316650,3611219.200000000186265,12676904.080000001937151
FS( 190 ),3048441.669999999925494,2880969.539999999571592,3191019.560000000055879,3585575.680000000167638,12706006.449999999254942
FS( 191 ),3064631.830000000074506,2870778.379999999888241,3194224.659999999683350,3582828.160000000149012,12712463.029999999329448
FS( 192 ),3053934.759999999776483,2878271.879999999888241,3196788.739999999757856,3593207.680000000167638,12722203.059999998658895
FS( 193 ),3048152.560000000055879,2883367.459999999497086,3192942.620000000111759,3582522.879999999888241,12706985.519999999552965
FS( 194 ),3075039.790000000037253,2885915.250000000000000,3232044.840000000316650,3608166.399999999906868,12801166.280000001192093
FS( 195 ),3086893.299999999813735,2920834.959999999497086,3228198.719999999739230,3619156.479999999981374,12855083.460000000894070
FS( 196 ),3092097.280000000260770,2932075.209999999497086,3204480.979999999981374,3632894.080000000074506,12861547.550000000745058
FS( 197 ),3079376.440000000409782,2931175.989999999757856,3182045.280000000260770,3644189.440000000409782,12836787.150000002235174
FS( 198 ),3083713.089999999850988,2963248.169999999925494,3190378.540000000037253,3660979.840000000316650,12898319.640000000596046
FS( 199 ),3092964.610000000335276,3013904.229999999515712,3199993.840000000316650,3581607.040000000037253,12888469.719999998807907
FS( 200 ),3125344.929999999701977,3000565.799999999813735,3201916.900000000372529,3712266.879999999888241,13040094.509999997913837
FS( 201 ),3084580.419999999925494,2957702.979999999515712,3158968.560000000055879,3624040.959999999962747,12825292.919999998062849
FS( 202 ),3128814.250000000000000,2968943.229999999515712,3205122.000000000000000,3620072.319999999832362,12922951.800000000745058
FS( 203 ),3113202.310000000055879,2950059.609999999869615,3214737.299999999813735,3641441.919999999925494,12919441.139999998733401
FS( 204 ),3120719.169999999925494,2972240.369999999646097,3210250.159999999683350,3596565.760000000242144,12899775.459999999031425
FS( 205 ),3151364.830000000074506,2987077.500000000000000,3241019.120000000111759,3610303.360000000335276,12989764.809999998658895
FS( 206 ),3166687.660000000149012,2967294.660000000149012,3235890.959999999962747,3623430.399999999906868,12993303.680000001564622
FS( 207 ),3184901.589999999850988,2945263.770000000018626,3235249.939999999944121,3548636.799999999813735,12914052.099999997764826
FS( 208 ),3177962.950000000186265,2959801.160000000149012,3200634.859999999869615,3589849.600000000093132,12928248.570000000298023
FS( 209 ),3174782.740000000223517,2975837.250000000000000,3210891.180000000167638,3468348.160000000149012,12829859.330000000074506
FS( 210 ),3143269.750000000000000,2943765.069999999832362,3167942.840000000316650,3400881.280000000260770,12655858.940000001341105
FS( 211 ),3195309.549999999813735,2960400.639999999664724,3230121.780000000260770,3455831.680000000167638,12841663.649999998509884
FS( 212 ),3210054.160000000149012,2986927.629999999888241,3232044.840000000316650,3497349.760000000242144,12926376.390000000596046
FS( 213 ),3203693.740000000223517,2956803.759999999776483,3218583.419999999925494,3461021.440000000409782,12840102.359999999403954
FS( 214 ),3172180.750000000000000,2941217.279999999795109,3212173.219999999739230,3464684.799999999813735,12790256.050000000745058
FS( 215 ),3158881.690000000409782,2958302.459999999497086,3251916.459999999962747,3503455.360000000335276,12872555.969999998807907
FS( 216 ),3183456.040000000037253,3004912.029999999795109,3283326.439999999944121,3531541.120000000111759,13003235.629999998956919
FS( 217 ),3139800.429999999701977,3023346.039999999571592,3294864.799999999813735,3503760.640000000130385,12961771.910000000149012
FS( 218 ),3158303.469999999739230,3005361.639999999664724,3281403.379999999888241,3499792.000000000000000,12944860.489999998360872
FS( 219 ),3156857.919999999925494,3018849.939999999944121,3274352.159999999683350,3537036.160000000149012,12987096.179999999701977
FS( 220 ),3178252.060000000055879,3036684.469999999739230,3315377.439999999944121,3618545.919999999925494,13148859.889999998733401
FS( 221 ),3188949.129999999888241,3041929.919999999925494,3364735.979999999981374,3642968.319999999832362,13238583.349999999627471
FS( 222 ),3189816.459999999962747,3067257.949999999720603,3357684.760000000242144,3657316.479999999981374,13272075.650000000372529
FS( 223 ),3196465.990000000223517,3078348.330000000074506,3353838.640000000130385,3680212.479999999981374,13308865.440000001341105
FS( 224 ),3186058.030000000260770,3073552.489999999757856,3353197.620000000111759,3701276.799999999813735,13314084.940000001341105
FS( 225 ),3191551.120000000111759,3071604.179999999701977,3346146.400000000372529,3677464.959999999962747,13286766.660000000149012
