代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15085458.000000000000000
真實報酬,5085458.000000000000000

夏普值報酬,0.499845800000000
夏普值風險,0.126977346922885
夏普值,3.936495856253507

二次趨勢線,-8.614709755930829 x^2 + 22887.984610590665397 x + 10000000.000000000000000
二次平均預期報酬,20708.463042340172251
風險,312129.248508814140223
二次平均趨勢值,0.066345794702913
一次趨勢線,21256.580347622966656 x + 10000000.000000000000000
一次預期報酬,21256.580347622966656
一次風險,318123.961927839962300
一次趨勢值,0.066818545257665
找到最佳解世代,1519
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](8),BA[2](3),INTC[11](4),V[25](1),
FS( 18 ),2649460.479999999515712,2668960.360000000335276,2358113.350000000558794,2495283.100000000093132,10171817.290000000968575
FS( 19 ),2653292.799999999813735,2654413.220000000204891,2329043.890000000130385,2486897.500000000000000,10123647.410000000149012
FS( 20 ),2681715.839999999850988,2664155.800000000279397,2367111.040000000502914,2521750.149999999906868,10234732.830000001937151
FS( 21 ),2670857.599999999627471,2635328.440000000409782,2321430.460000000428408,2474319.100000000093132,10101935.599999999627471
FS( 22 ),2690338.559999999590218,2639198.780000000260770,2335273.060000000521541,2457547.899999999906868,10122358.300000000745058
FS( 23 ),2717803.519999999552965,2650409.420000000391155,2315893.420000000391155,2446279.750000000000000,10130386.109999999403954
FS( 24 ),2711096.959999999962747,2693383.540000000502914,2376800.860000000800937,2463575.050000000279397,10244856.410000002011657
FS( 25 ),2674370.559999999590218,2688979.360000000335276,2327659.630000000819564,2443659.250000000000000,10134668.800000000745058
FS( 26 ),2693212.799999999813735,2700857.300000000279397,2344962.880000000819564,2461216.600000000093132,10200249.580000000074506
FS( 27 ),2692254.719999999739230,2722077.440000000409782,2329043.890000000130385,2491876.450000000186265,10235252.500000000000000
FS( 28 ),2687783.679999999701977,2752906.700000000186265,2347731.400000000372529,2500262.049999999813735,10288683.830000000074506
FS( 29 ),2708861.439999999478459,2755175.520000000018626,2370571.690000000409782,2520439.900000000372529,10355048.550000000745058
FS( 30 ),2726426.240000000223517,2752372.860000000335276,2369879.560000000521541,2514150.699999999720603,10362829.360000001266599
FS( 31 ),2723552.000000000000000,2782801.740000000223517,2400333.280000000260770,2540093.650000000372529,10446780.670000001788139
FS( 32 ),2721635.839999999850988,2789341.280000000260770,2385798.550000000279397,2537473.149999999906868,10434248.820000000298023
FS( 33 ),2731216.639999999664724,2779198.320000000298023,2389951.330000000540167,2557126.899999999906868,10457493.190000001341105
FS( 34 ),2744310.400000000372529,2814431.760000000242144,2392027.720000000670552,2574684.250000000000000,10525454.130000000819564
FS( 35 ),2725787.519999999552965,2806424.160000000149012,2405178.190000000409782,2571015.549999999813735,10508405.419999999925494
FS( 36 ),2733452.160000000149012,2831247.720000000204891,2403793.930000000167638,2610061.000000000000000,10578554.810000000521541
FS( 37 ),2714609.919999999925494,2831781.560000000521541,2387874.940000000409782,2630238.850000000093132,10564505.270000001415610
FS( 38 ),2727703.679999999701977,2835518.440000000409782,2399641.150000000372529,2620280.949999999720603,10583144.220000000670552
FS( 39 ),2724190.719999999739230,3115650.979999999981374,2405178.190000000409782,2642817.250000000000000,10887837.140000000596046
FS( 40 ),2677883.519999999552965,3216413.280000000260770,2420405.050000000279397,2609274.849999999627471,10923976.699999999254942
FS( 41 ),2708222.719999999739230,3220016.700000000186265,2443937.470000000670552,2598268.750000000000000,10970445.640000000596046
FS( 42 ),2721955.200000000186265,3235898.440000000409782,2455011.550000000279397,2609012.800000000279397,11021877.990000002086163
FS( 43 ),2722274.559999999590218,3195593.520000000018626,2515918.990000000689179,2643341.350000000093132,11077128.419999999925494
FS( 44 ),2724190.719999999739230,3175707.979999999981374,2535990.760000000242144,2654085.399999999906868,11089974.859999999403954
FS( 45 ),2731855.360000000335276,3179711.780000000260770,2525608.810000000521541,2636003.950000000186265,11073179.900000002235174
FS( 46 ),2745587.839999999850988,3172504.940000000409782,2512458.340000000316650,2643865.450000000186265,11074416.570000000298023
FS( 47 ),2741755.519999999552965,3206136.860000000335276,2521456.030000000260770,2659588.449999999720603,11128936.859999999403954
FS( 48 ),2744629.759999999776483,3196394.280000000260770,2520071.770000000018626,2654085.399999999906868,11115181.210000000894070
FS( 49 ),2736645.759999999776483,3127128.540000000502914,2532530.110000000800937,2645961.850000000093132,11042266.260000001639128
FS( 50 ),2700558.080000000074506,3108043.760000000242144,2501384.260000000242144,2607178.449999999720603,10917164.549999998882413
FS( 51 ),2691935.360000000335276,3134735.760000000242144,2482696.750000000000000,2622901.450000000186265,10932269.320000000298023
FS( 52 ),2729619.839999999850988,3165031.180000000167638,2515226.860000000800937,2669546.350000000093132,11079424.230000000447035
FS( 53 ),2771775.360000000335276,3191990.100000000093132,2491694.440000000409782,2689462.149999999906868,11144922.050000002607703
FS( 54 ),2790936.959999999962747,3170903.420000000391155,2478543.970000000670552,2707543.599999999627471,11147927.950000001117587
FS( 55 ),2749420.160000000149012,3144211.420000000391155,2434247.650000000372529,2677145.799999999813735,11005025.030000001192093
FS( 56 ),2726745.599999999627471,3146613.700000000186265,2423173.570000000298023,2686317.550000000279397,10982850.419999999925494
FS( 57 ),2724190.719999999739230,3145412.560000000521541,2416944.400000000372529,2704923.100000000093132,10991470.780000001192093
FS( 58 ),2724190.719999999739230,3199730.780000000260770,2398256.890000000130385,2727197.349999999627471,11049375.740000000223517
FS( 59 ),2723552.000000000000000,3177576.420000000391155,2398949.020000000018626,2703874.900000000372529,11003952.339999999850988
FS( 60 ),2726106.879999999888241,3186251.320000000298023,2402409.670000000391155,2704923.100000000093132,11019690.970000000670552
FS( 61 ),2729619.839999999850988,3148215.220000000204891,2399641.150000000372529,2708329.750000000000000,10985805.960000000894070
FS( 62 ),2727703.679999999701977,3165431.560000000521541,2398256.890000000130385,2719597.899999999906868,11010990.030000001192093
FS( 63 ),2728023.040000000037253,3209606.820000000298023,2403793.930000000167638,2719335.850000000093132,11060759.640000000596046
FS( 64 ),2736645.759999999776483,3209206.440000000409782,2414868.010000000242144,2718287.649999999906868,11079007.860000001266599
FS( 65 ),2749739.519999999552965,3198529.640000000130385,2427326.350000000558794,2712784.600000000093132,11088380.110000001266599
FS( 66 ),2751016.959999999962747,3207471.460000000428408,2428710.610000000800937,2722742.500000000000000,11109941.530000001192093
FS( 67 ),2724510.080000000074506,3163029.280000000260770,2423865.700000000651926,2699420.050000000279397,11010825.110000001266599
FS( 68 ),2721955.200000000186265,3131265.800000000279397,2475083.320000000298023,2703874.900000000372529,11032179.220000000670552
FS( 69 ),2695767.679999999701977,3153820.540000000502914,2459856.460000000428408,2740037.800000000279397,11049482.480000002309680
FS( 70 ),2690657.919999999925494,3186785.160000000149012,2435631.910000000149012,2736631.150000000372529,11049706.140000000596046
FS( 71 ),2736645.759999999776483,3210941.420000000391155,2475775.450000000651926,2781703.750000000000000,11205066.380000000819564
FS( 72 ),2764110.719999999739230,3210807.960000000428408,2497923.610000000800937,2783276.049999999813735,11256118.339999999850988
FS( 73 ),2766984.959999999962747,3228825.060000000521541,2514534.730000000447035,2773318.149999999906868,11283662.900000000372529
FS( 74 ),2752613.759999999776483,3272866.860000000335276,2524916.680000000167638,2779869.399999999906868,11330266.700000001117587
FS( 75 ),2778162.559999999590218,3323181.280000000260770,2560907.440000000409782,2759429.500000000000000,11421680.780000001192093
FS( 76 ),2806266.240000000223517,3377632.960000000428408,2560907.440000000409782,2747113.149999999906868,11491919.790000000968575
FS( 77 ),2842353.919999999925494,3369358.440000000409782,2576826.430000000167638,2762312.049999999813735,11550850.839999999850988
FS( 78 ),2824150.400000000372529,3409396.440000000409782,2565752.350000000558794,2762312.049999999813735,11561611.240000002086163
FS( 79 ),2823831.040000000037253,3417137.120000000577420,2574750.040000000502914,2759691.550000000279397,11575409.750000001862645
FS( 80 ),2823192.320000000298023,3422608.979999999981374,2573365.780000000260770,2766242.800000000279397,11585409.880000002682209
FS( 81 ),2817124.479999999515712,3394182.000000000000000,2571981.520000000018626,2699682.100000000093132,11482970.099999999627471
FS( 82 ),2832453.759999999776483,3385907.479999999981374,2593437.550000000279397,2697585.699999999720603,11509384.490000000223517
FS( 83 ),2858002.559999999590218,3406994.160000000149012,2598282.460000000428408,2722480.450000000186265,11585759.629999998956919
FS( 84 ),2878760.959999999962747,3393514.700000000186265,2618354.230000000447035,2740561.899999999906868,11631191.790000000968575
FS( 85 ),2888980.479999999515712,3392713.940000000409782,2635657.480000000447035,2740561.899999999906868,11657913.800000000745058
FS( 86 ),2891535.360000000335276,3416469.820000000298023,2702101.960000000428408,2763098.199999999720603,11773205.339999999850988
FS( 87 ),2919958.400000000372529,3409396.440000000409782,2725634.380000000819564,2767028.950000000186265,11822018.170000001788139
FS( 88 ),2906545.280000000260770,3413400.240000000223517,2722865.860000000800937,2759691.550000000279397,11802502.930000001564622
FS( 89 ),2911335.679999999701977,3455173.220000000204891,2736016.330000000540167,2784062.199999999720603,11886587.429999999701977
FS( 90 ),2923790.719999999739230,3451035.959999999962747,2742937.630000000819564,2796902.649999999906868,11914666.960000000894070
FS( 91 ),2928261.759999999776483,3448500.220000000204891,2758856.620000000577420,2804240.050000000279397,11939858.650000002235174
FS( 92 ),2934648.959999999962747,3482399.060000000521541,2744321.890000000130385,2812101.550000000279397,11973471.460000000894070
FS( 93 ),2936884.479999999515712,3489205.520000000018626,2720097.340000000316650,2841713.199999999720603,11987900.539999999105930
FS( 94 ),2925706.879999999888241,3495478.140000000596046,2712483.910000000149012,2833065.549999999813735,11966734.480000000447035
FS( 95 ),2965626.879999999888241,3479863.320000000298023,2745706.150000000372529,2847478.299999999813735,12038674.650000002235174
FS( 96 ),2936884.479999999515712,3466650.780000000260770,2751935.320000000298023,2838044.500000000000000,11993515.080000000074506
FS( 97 ),2928261.759999999776483,3451569.800000000279397,2754011.710000000428408,2818128.700000000186265,11951971.970000002533197
FS( 98 ),2940716.799999999813735,3470521.120000000577420,2785849.690000000409782,2824942.000000000000000,12022029.609999999403954
FS( 99 ),2934968.320000000298023,3457175.120000000577420,2774775.610000000800937,2804502.100000000093132,11971421.150000002235174
FS( 100 ),2941036.160000000149012,3533380.780000000260770,2798308.030000000260770,2818390.750000000000000,12091115.720000000670552
FS( 101 ),2950297.599999999627471,3500950.000000000000000,2825993.230000000447035,2817866.649999999906868,12095107.480000000447035
FS( 102 ),2997562.879999999888241,3550063.280000000260770,2834298.790000000502914,2840927.049999999813735,12222852.000000000000000
FS( 103 ),2987024.000000000000000,3448900.600000000558794,2822532.580000000540167,2869228.449999999720603,12127685.630000000819564
FS( 104 ),3056005.759999999776483,3460244.700000000186265,2861983.990000000689179,2877352.000000000000000,12255586.450000001117587
FS( 105 ),3059199.360000000335276,3422742.439999999944121,3073083.640000000130385,2874993.549999999813735,12430018.990000002086163
FS( 106 ),3036205.439999999478459,3459977.780000000260770,3071007.250000000000000,2883641.200000000186265,12450831.669999998062849
FS( 107 ),3050576.639999999664724,3443028.360000000335276,3148525.810000000521541,2882068.899999999906868,12524199.710000000894070
FS( 108 ),3059199.360000000335276,3449968.280000000260770,3232965.670000000391155,2910632.349999999627471,12652765.660000000149012
FS( 109 ),3065267.200000000186265,3505087.260000000242144,3259958.740000000689179,2908273.899999999906868,12738587.100000001490116
FS( 110 ),3079638.400000000372529,3493342.780000000260770,3207356.860000000800937,2918231.799999999813735,12698569.839999999850988
FS( 111 ),3075167.360000000335276,3524305.500000000000000,3232273.540000000502914,2932906.600000000093132,12764653.000000000000000
FS( 112 ),3045786.240000000223517,3551798.260000000242144,3237810.580000000540167,2937361.450000000186265,12772756.530000001192093
FS( 113 ),3038121.599999999627471,3544324.500000000000000,3232273.540000000502914,2947319.350000000093132,12762038.990000000223517
FS( 114 ),2994049.919999999925494,3506021.479999999981374,3204588.340000000316650,2938671.700000000186265,12643331.440000001341105
FS( 115 ),2986704.639999999664724,3481331.380000000353903,3154754.980000000447035,2931858.399999999906868,12554649.400000000372529
FS( 116 ),2998840.320000000298023,3502284.600000000558794,3166521.190000000409782,2919280.000000000000000,12586926.110000001266599
FS( 117 ),2994369.280000000260770,3493476.240000000223517,3174134.620000000577420,2934478.899999999906868,12596459.040000000968575
FS( 118 ),2978401.280000000260770,3508156.840000000316650,3146449.420000000391155,2889144.250000000000000,12522151.790000000968575
FS( 119 ),2987982.080000000074506,3519367.479999999981374,3159599.890000000130385,2909322.100000000093132,12576271.550000000745058
FS( 120 ),2992133.759999999776483,3500149.240000000223517,3089002.630000000819564,2877876.099999999627471,12459161.730000000447035
FS( 121 ),3000437.120000000111759,3531779.260000000242144,3088310.500000000000000,2881282.750000000000000,12501809.630000000819564
FS( 122 ),3015127.679999999701977,3563275.820000000298023,3110458.660000000149012,2920590.250000000000000,12609452.410000000149012
FS( 123 ),2996285.439999999478459,3538719.180000000167638,3090386.890000000130385,2904081.099999999627471,12529472.609999999403954
FS( 124 ),2985427.200000000186265,3548461.760000000242144,3097308.190000000409782,2934216.850000000093132,12565414.000000001862645
FS( 125 ),2985107.839999999850988,3544457.959999999962747,3079312.810000000521541,2944960.899999999906868,12553839.509999999776483
FS( 126 ),3042912.000000000000000,3576621.820000000298023,3095923.930000000167638,2970641.799999999813735,12686099.550000000745058
FS( 127 ),3085067.519999999552965,3594105.080000000540167,3041937.790000000502914,2878924.299999999813735,12600034.690000001341105
FS( 128 ),3120516.479999999515712,3694200.080000000540167,3103537.360000000800937,2950463.950000000186265,12868717.870000001043081
FS( 129 ),3125306.879999999888241,3621864.760000000242144,3092463.280000000260770,2901722.649999999906868,12741357.570000002160668
FS( 130 ),3148620.160000000149012,3709814.900000000838190,3079312.810000000521541,2815246.150000000372529,12752994.020000001415610
FS( 131 ),3152452.479999999515712,3677384.120000000577420,3006639.160000000149012,2845381.899999999906868,12681857.660000000149012
FS( 132 ),3136484.479999999515712,3713818.700000000186265,3007331.290000000502914,2875779.699999999720603,12733414.169999999925494
FS( 133 ),3148300.799999999813735,3763198.900000000838190,2981722.480000000447035,2919280.000000000000000,12812502.180000001564622
FS( 134 ),3147342.719999999739230,3815648.680000000167638,3000409.990000000689179,2950726.000000000000000,12914127.390000000596046
FS( 135 ),3161713.919999999925494,3779080.640000000596046,3021866.020000000018626,2944698.850000000093132,12907359.429999999701977
FS( 136 ),3173530.240000000223517,3869566.520000000018626,2999025.730000000447035,2973262.299999999813735,13015384.789999999105930
FS( 137 ),3122752.000000000000000,3894923.919999999925494,2999717.860000000800937,2969331.550000000279397,12986725.330000001937151
FS( 138 ),3102632.320000000298023,3922149.760000000242144,2994180.820000000298023,2959111.600000000093132,12978074.500000000000000
FS( 139 ),3146384.639999999664724,3922950.520000000018626,3084157.720000000670552,2982696.099999999627471,13136188.980000000447035
FS( 140 ),3183430.400000000372529,3952311.720000000204891,3201819.820000000298023,2975620.750000000000000,13313182.690000001341105
FS( 141 ),3166504.320000000298023,3967125.780000000260770,3255805.960000000428408,2938671.700000000186265,13328107.760000001639128
FS( 142 ),3146065.280000000260770,3975800.680000000167638,3291796.720000000670552,2938147.600000000093132,13351810.280000001192093
FS( 143 ),3145745.919999999925494,3937497.659999999683350,3236426.320000000298023,2945747.049999999813735,13265416.949999999254942
FS( 144 ),3153410.559999999590218,3938431.880000000353903,3232273.540000000502914,2953084.449999999720603,13277200.429999999701977
FS( 145 ),3147981.439999999478459,3941901.840000000316650,3189361.480000000447035,2960945.949999999720603,13240190.709999999031425
FS( 146 ),3165865.599999999627471,3945371.800000000279397,3191437.870000000577420,2987937.100000000093132,13290612.370000001043081
FS( 147 ),3184069.120000000111759,3955114.380000000353903,3199051.300000000279397,2996584.750000000000000,13334819.550000000745058
FS( 148 ),3171614.080000000074506,3935896.140000000596046,3194898.520000000018626,2987937.100000000093132,13290345.839999999850988
FS( 149 ),3159797.759999999776483,3961653.919999999925494,3242655.490000000689179,3000777.550000000279397,13364884.720000000670552
FS( 150 ),3179278.719999999739230,3974466.080000000540167,3132606.820000000298023,3030651.250000000000000,13317002.870000001043081
FS( 151 ),3220795.519999999552965,3959385.100000000558794,3075160.030000000260770,3041919.399999999906868,13297260.050000000745058
FS( 152 ),3228140.799999999813735,4121805.919999999925494,3096616.060000000521541,3114769.299999999813735,13561332.080000001937151
FS( 153 ),3198440.320000000298023,4139289.180000000167638,3096616.060000000521541,3127347.700000000186265,13561693.260000001639128
FS( 154 ),3210256.639999999664724,4249794.060000000521541,3019097.500000000000000,3121320.549999999813735,13600468.750000000000000
FS( 155 ),3232611.839999999850988,4274217.240000000223517,2941578.940000000409782,3117913.899999999906868,13566321.919999999925494
FS( 156 ),3216963.200000000186265,4379116.800000000745058,3004562.770000000018626,3140450.200000000186265,13741092.970000002533197
FS( 157 ),3224627.839999999850988,4487085.940000000409782,2992796.560000000521541,3147001.450000000186265,13851511.789999999105930
FS( 158 ),3204508.160000000149012,4473072.640000000596046,2985875.260000000242144,3154862.950000000186265,13818319.010000001639128
FS( 159 ),3217921.280000000260770,4684606.740000000223517,3072391.510000000242144,3196528.899999999906868,14171448.430000001564622
FS( 160 ),3189178.879999999888241,4539802.640000000596046,3078620.680000000167638,3226140.549999999813735,14033742.750000000000000
FS( 161 ),3130736.000000000000000,4507371.860000000335276,3102153.100000000558794,3215396.500000000000000,13955657.460000000894070
FS( 162 ),3139997.439999999478459,4510975.280000000260770,3166521.190000000409782,3258110.649999999906868,14075604.560000000521541
FS( 163 ),3129139.200000000186265,4478811.419999999925494,3187977.220000000670552,3266496.250000000000000,14062424.089999999850988
FS( 164 ),3171294.719999999739230,4466800.020000000484288,3149910.070000000298023,3263875.750000000000000,14051880.560000000521541
FS( 165 ),3183749.759999999776483,4579173.340000000782311,3135375.340000000316650,3281433.100000000093132,14179731.540000000968575
FS( 166 ),3181833.599999999627471,4580641.400000000372529,3466213.480000000447035,3310258.599999999627471,14538947.080000000074506
FS( 167 ),3174807.679999999701977,4548611.000000000000000,3459292.180000000167638,3271475.200000000186265,14454186.059999998658895
FS( 168 ),3152452.479999999515712,4507104.940000000409782,3376928.710000000428408,3237670.750000000000000,14274156.880000000819564
FS( 169 ),3174488.320000000298023,4729449.300000000745058,3331940.260000000242144,3255490.149999999906868,14491368.030000001192093
FS( 170 ),3193649.919999999925494,4763748.520000000484288,3298025.890000000130385,3294535.600000000093132,14549959.929999999701977
FS( 171 ),3087622.400000000372529,4656580.140000000596046,3194206.390000000130385,3168489.549999999813735,14106898.480000000447035
FS( 172 ),2938481.280000000260770,4389259.759999999776483,3081389.200000000651926,3046898.350000000093132,13456028.589999999850988
FS( 173 ),3007782.400000000372529,4549812.140000000596046,3108382.270000000018626,3143856.850000000093132,13809833.660000000149012
FS( 174 ),2989578.879999999888241,4646036.800000000745058,3128454.040000000502914,3135471.250000000000000,13899540.970000000670552
FS( 175 ),2821276.160000000149012,4399669.640000000596046,2958882.190000000409782,2983744.299999999813735,13163572.290000002831221
FS( 176 ),2929219.839999999850988,4441976.459999999962747,3041937.790000000502914,3048208.599999999627471,13461342.689999999478459
FS( 177 ),3024389.120000000111759,4588382.080000000074506,3102845.230000000447035,3104549.350000000093132,13820165.779999999329448
FS( 178 ),3019918.080000000074506,4579840.640000000596046,3077236.420000000391155,3101404.750000000000000,13778399.890000000596046
FS( 179 ),3073251.200000000186265,4602395.380000000819564,3140912.380000000819564,3166393.149999999906868,13982952.110000001266599
FS( 180 ),3083790.080000000074506,4757342.440000000409782,3178287.400000000372529,3204390.399999999906868,14223810.320000002160668
FS( 181 ),3091135.360000000335276,4738391.120000000111759,3153370.720000000670552,3193122.250000000000000,14176019.450000001117587
FS( 182 ),3103909.759999999776483,4715836.380000000819564,3205972.600000000558794,3197315.050000000279397,14223033.790000002831221
FS( 183 ),3113809.919999999925494,4702757.300000000745058,3179671.660000000149012,3155911.150000000372529,14152150.030000001192093
FS( 184 ),3109019.519999999552965,4750135.600000000558794,3169981.840000000316650,3154600.899999999906868,14183737.860000001266599
FS( 185 ),3155326.719999999739230,4760011.640000000596046,3303562.930000000167638,3221423.650000000372529,14440324.940000001341105
FS( 186 ),3246024.959999999962747,4851031.360000000335276,3399076.870000000577420,3264923.950000000186265,14761057.140000000596046
FS( 187 ),3180236.799999999813735,4866512.719999999739230,3454447.270000000018626,3232953.850000000093132,14734150.639999998733401
FS( 188 ),3114129.280000000260770,4834081.940000000409782,3411535.210000000428408,3221685.699999999720603,14581432.130000000819564
FS( 189 ),3038440.959999999962747,4666990.020000000484288,3311176.360000000800937,3155125.000000000000000,14171732.340000001713634
FS( 190 ),3053131.519999999552965,4599993.100000000558794,3390079.180000000167638,3164820.850000000093132,14208024.650000000372529
FS( 191 ),3086983.679999999701977,4707828.780000000260770,3443373.190000000409782,3193908.399999999906868,14432094.050000000745058
FS( 192 ),3068141.439999999478459,4656713.600000000558794,3509817.670000000391155,3172420.300000000279397,14407093.010000001639128
FS( 193 ),3054408.959999999962747,4631623.120000000111759,3552037.600000000558794,3193122.250000000000000,14431191.929999999701977
FS( 194 ),3084748.160000000149012,4654177.860000000335276,3511894.060000000521541,3202818.100000000093132,14453638.180000001564622
FS( 195 ),3163310.719999999739230,4731451.200000000186265,3612252.910000000149012,3262827.550000000279397,14769842.380000000819564
FS( 196 ),3119239.040000000037253,4593587.020000000484288,3565880.200000000651926,3255752.199999999720603,14534458.460000000894070
FS( 197 ),3045786.240000000223517,4519917.100000000558794,3583875.580000000540167,3228499.000000000000000,14378077.920000001788139
FS( 198 ),3018960.000000000000000,4407677.240000000223517,3589412.620000000577420,3212251.899999999906868,14228301.760000001639128
FS( 199 ),3014488.959999999962747,4403940.360000000335276,3521583.880000000819564,3234002.049999999813735,14174015.250000000000000
FS( 200 ),3053450.879999999888241,4410479.900000000372529,3541655.650000000372529,3263351.649999999906868,14268938.080000000074506
FS( 201 ),3028860.160000000149012,4427696.240000000223517,3518123.230000000447035,3228761.049999999813735,14203440.679999999701977
FS( 202 ),3032373.120000000111759,4506037.259999999776483,3567956.590000000316650,3273309.549999999813735,14379676.519999999552965
FS( 203 ),3025666.559999999590218,4498963.880000000819564,3568648.720000000670552,3229023.100000000093132,14322302.259999999776483
FS( 204 ),2919319.679999999701977,4265542.340000000782311,3518123.230000000447035,3144380.949999999720603,13847366.199999999254942
FS( 205 ),2888661.120000000111759,4284093.280000000260770,3416380.120000000577420,3066028.000000000000000,13655162.520000001415610
FS( 206 ),2957962.240000000223517,4390460.900000000372529,3632324.680000000167638,3161414.200000000186265,14142162.019999999552965
FS( 207 ),2919639.040000000037253,4285694.800000000745058,3543039.910000000149012,3076510.000000000000000,13824883.750000000000000
FS( 208 ),2944868.479999999515712,4271014.200000000186265,3432991.240000000689179,3065765.949999999720603,13714639.869999999180436
FS( 209 ),2979040.000000000000000,4375913.759999999776483,3604639.480000000447035,3134685.100000000093132,14094278.339999999850988
FS( 210 ),2906225.919999999925494,4303311.520000000484288,3385926.400000000372529,3102452.950000000186265,13697916.789999999105930
FS( 211 ),2961794.559999999590218,4415151.000000000000000,3443373.190000000409782,3123679.000000000000000,13943997.750000000000000
FS( 212 ),2988620.799999999813735,4370041.520000000484288,3459984.310000000521541,3139664.050000000279397,13958310.680000001564622
FS( 213 ),3008421.120000000111759,4489621.679999999701977,3486977.380000000819564,3175826.949999999720603,14160847.129999998956919
FS( 214 ),2935287.679999999701977,4352424.800000000745058,3376928.710000000428408,3084371.500000000000000,13749012.690000001341105
FS( 215 ),2942632.959999999962747,4303845.360000000335276,3429530.590000000316650,3112934.950000000186265,13788943.859999999403954
FS( 216 ),2970097.919999999925494,4468668.459999999962747,3548576.950000000651926,3163510.600000000093132,14150853.929999999701977
FS( 217 ),2925387.519999999552965,4368973.840000000782311,3536810.740000000689179,3138877.899999999906868,13970050.000000001862645
FS( 218 ),2981275.519999999552965,4504035.360000000335276,3648935.800000000279397,3172682.349999999627471,14306929.029999999329448
FS( 219 ),2971056.000000000000000,4394598.160000000149012,3589412.620000000577420,3164296.750000000000000,14119363.530000001192093
FS( 220 ),2989259.519999999552965,4427829.700000000186265,3626787.640000000130385,3193908.399999999906868,14237785.259999999776483
FS( 221 ),2997562.879999999888241,4493892.400000000372529,3705690.460000000428408,3244222.000000000000000,14441367.740000000223517
FS( 222 ),3038760.320000000298023,4551013.280000000260770,3710535.370000000577420,3244222.000000000000000,14544530.970000000670552
FS( 223 ),3269338.240000000223517,4546208.719999999739230,3614329.300000000279397,3248414.799999999813735,14678291.059999998658895
FS( 224 ),3218879.360000000335276,4519917.100000000558794,3566572.330000000540167,3254704.000000000000000,14560072.790000000968575
FS( 225 ),3213130.879999999888241,4522185.919999999925494,3536810.740000000689179,3261517.299999999813735,14533644.839999999850988
