代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14070926.269999999552965
真實報酬,4070926.269999999552965

夏普值報酬,0.398392627000000
夏普值風險,0.106484778129569
夏普值,3.741310579764204

二次趨勢線,27.115246550189738 x^2 + 10889.359555460465344 x + 10000000.000000000000000
二次平均預期報酬,17695.286439558083657
風險,152667.315819780022139
二次平均趨勢值,0.115907496929120
一次趨勢線,15983.616205234156951 x + 10000000.000000000000000
一次預期報酬,15983.616205234156951
一次風險,244063.047106581361732
一次趨勢值,0.065489701922201
找到最佳解世代,1991
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,5
HD[9](3),NKE[19](12),PG[21](7),TRV[22](1),V[25](2),
FS( 26 ),2173476.160000000149012,1726198.020000000018626,2000000.000000000000000,2082204.860000000102445,2203133.750000000000000,10185012.789999999105930
FS( 27 ),2177646.259999999776483,1745318.270000000018626,2005848.739999999990687,2086826.820000000065193,2178900.250000000000000,10194540.339999999850988
FS( 28 ),2154710.709999999962747,1764438.520000000018626,1995126.050000000046566,2064377.300000000046566,2151815.750000000000000,10130468.330000000074506
FS( 29 ),2149706.589999999850988,1756025.610000000102445,2069859.950000000186265,2054803.240000000223517,2185315.000000000000000,10215710.390000000596046
FS( 30 ),2172225.130000000353903,1796560.540000000037253,2115025.220000000204891,2084185.700000000186265,2210974.000000000000000,10378970.589999999850988
FS( 31 ),2145536.490000000223517,1778969.910000000149012,2105927.180000000167638,2065037.580000000074506,2265855.750000000000000,10361326.910000000149012
FS( 32 ),2115094.759999999776483,1773616.240000000223517,2123473.399999999906868,2090128.220000000204891,2285100.000000000000000,10387412.620000001043081
FS( 33 ),2123017.949999999720603,1809562.310000000055879,2106252.109999999869615,2112907.879999999888241,2277972.500000000000000,10429712.750000000000000
FS( 34 ),2125103.000000000000000,1821799.270000000018626,2109501.410000000149012,2102673.540000000037253,2234494.750000000000000,10393571.969999998807907
FS( 35 ),2114260.740000000223517,1779734.719999999972060,2103327.740000000223517,2070319.820000000065193,2240909.500000000000000,10308552.519999999552965
FS( 36 ),2125103.000000000000000,1775145.860000000102445,2092280.120000000111759,2038296.240000000223517,2218101.500000000000000,10248926.720000000670552
FS( 37 ),2133860.209999999962747,1777440.290000000037253,2080257.709999999962747,2010234.340000000083819,2185315.000000000000000,10187107.550000000745058
FS( 38 ),2129690.109999999869615,1788147.630000000121072,2080257.709999999962747,2013205.600000000093132,2177474.750000000000000,10188775.800000000745058
FS( 39 ),2206419.949999999720603,1847038.000000000000000,2097803.930000000167638,2034004.420000000158325,2258728.250000000000000,10443994.550000000745058
FS( 40 ),2239780.750000000000000,1855450.910000000149012,2115025.220000000204891,2070649.960000000195578,2300780.500000000000000,10581687.339999999850988
FS( 41 ),2220598.290000000037253,1832506.610000000102445,2115350.149999999906868,2086826.820000000065193,2331428.750000000000000,10586710.620000001043081
FS( 42 ),2175978.220000000204891,1785088.390000000130385,2097154.070000000298023,2068338.979999999981374,2300067.750000000000000,10426627.410000000149012
FS( 43 ),2155127.720000000204891,1778205.100000000093132,2079932.780000000260770,2091448.780000000260770,2271557.750000000000000,10376272.130000000819564
FS( 44 ),2143034.430000000167638,1769792.190000000176951,2063686.280000000027940,2075602.060000000055879,2303631.500000000000000,10355746.460000000894070
FS( 45 ),2180565.330000000074506,1808032.690000000176951,2128347.350000000093132,2103333.820000000298023,2333567.000000000000000,10553846.190000001341105
FS( 46 ),2168472.040000000037253,1826388.130000000121072,2138420.180000000167638,2097061.160000000149012,2334992.500000000000000,10565334.009999999776483
FS( 47 ),2185152.439999999944121,1838625.090000000083819,2151742.310000000055879,2092109.060000000055879,2323588.500000000000000,10591217.400000000372529
FS( 48 ),2201415.830000000074506,1834036.230000000214204,2167988.810000000055879,2106635.219999999739230,2337130.750000000000000,10647206.839999999850988
FS( 49 ),2216428.189999999944121,1817975.219999999972060,2168313.740000000223517,2109276.339999999850988,2290089.250000000000000,10602082.740000000223517
FS( 50 ),2212675.100000000093132,1807267.880000000121072,2169613.459999999962747,2112247.599999999627471,2300067.750000000000000,10601871.789999999105930
FS( 51 ),2202666.859999999869615,1832506.610000000102445,2160190.490000000223517,2103994.099999999627471,2286525.500000000000000,10585883.559999998658895
FS( 52 ),2281481.750000000000000,1814915.980000000214204,2168313.740000000223517,2097721.440000000409782,2314322.750000000000000,10676755.660000000149012
FS( 53 ),2293575.040000000037253,1801914.209999999962747,2165389.370000000111759,2104654.379999999888241,2300067.750000000000000,10665600.750000000000000
FS( 54 ),2348203.350000000093132,1812621.550000000046566,2177086.850000000093132,2113898.299999999813735,2310759.000000000000000,10762569.050000000745058
FS( 55 ),2365717.770000000018626,1840919.520000000018626,2177086.850000000093132,2150213.700000000186265,2292940.250000000000000,10826878.089999999850988
FS( 56 ),2359045.609999999869615,1830976.990000000223517,2168963.600000000093132,2167050.839999999850988,2283674.500000000000000,10809711.539999999105930
FS( 57 ),2348620.359999999869615,1832506.610000000102445,2169613.459999999962747,2153515.100000000558794,2272270.500000000000000,10776526.030000001192093
FS( 58 ),2361964.680000000167638,1830976.990000000223517,2172212.899999999906868,2160778.180000000633299,2282961.750000000000000,10808894.500000000000000
FS( 59 ),2358211.589999999850988,1824858.510000000009313,2166689.090000000316650,2139319.080000000074506,2265855.750000000000000,10754934.019999999552965
FS( 60 ),2375309.000000000000000,1852391.669999999925494,2177736.709999999962747,2159127.480000000447035,2257302.750000000000000,10821867.609999999403954
FS( 61 ),2363215.709999999962747,1843978.760000000009313,2180661.080000000074506,2151864.400000000372529,2275121.500000000000000,10814841.449999999254942
FS( 62 ),2357377.570000000298023,1890632.169999999925494,2176761.919999999925494,2140639.640000000596046,2270132.250000000000000,10835543.550000000745058
FS( 63 ),2370304.880000000353903,1886808.120000000111759,2172862.760000000242144,2139319.080000000074506,2281536.250000000000000,10850831.089999999850988
FS( 64 ),2361130.660000000149012,1869217.490000000223517,2173187.689999999944121,2129084.740000000223517,2258015.500000000000000,10790636.080000000074506
FS( 65 ),2366551.790000000037253,1861569.390000000130385,2183260.520000000018626,2137338.240000000223517,2285100.000000000000000,10833819.939999999478459
FS( 66 ),2368219.830000000074506,1860039.770000000018626,2190084.050000000279397,2134036.839999999850988,2290089.250000000000000,10842469.740000000223517
FS( 67 ),2357794.580000000074506,1861569.390000000130385,2186509.820000000298023,2130405.299999999813735,2273696.000000000000000,10809975.089999999850988
FS( 68 ),2404082.689999999944121,1902104.320000000065193,2217378.169999999925494,2157146.640000000596046,2307908.000000000000000,10988619.820000000298023
FS( 69 ),2387819.299999999813735,1898280.270000000018626,2226476.209999999962747,2152854.820000000298023,2311471.750000000000000,10976902.350000001490116
FS( 70 ),2389487.339999999850988,1912811.660000000149012,2226151.280000000260770,2156156.219999999739230,2292940.250000000000000,10977546.750000000000000
FS( 71 ),2365300.759999999776483,1905928.370000000111759,2218028.030000000260770,2210299.180000000633299,2342832.750000000000000,11042389.089999999850988
FS( 72 ),2379062.089999999850988,1928107.860000000102445,2212829.149999999906868,2229777.440000000409782,2378470.250000000000000,11128246.789999999105930
FS( 73 ),2431188.339999999850988,1896750.650000000139698,2239148.479999999981374,2259820.180000000633299,2404842.000000000000000,11231749.650000002235174
FS( 74 ),2479561.500000000000000,1847802.810000000055879,2247271.729999999981374,2264112.000000000000000,2392012.500000000000000,11230760.540000000968575
FS( 75 ),2456625.949999999720603,1873041.540000000037253,2250196.100000000093132,2260810.600000000558794,2385597.750000000000000,11226271.940000001341105
FS( 76 ),2454540.899999999906868,1868452.680000000167638,2249221.310000000055879,2260150.320000000298023,2382034.000000000000000,11214399.210000000894070
FS( 77 ),2479978.509999999776483,1867687.870000000111759,2250521.030000000260770,2252557.100000000558794,2401991.000000000000000,11252735.510000001639128
FS( 78 ),2472055.320000000298023,1849332.430000000167638,2260268.930000000167638,2259820.180000000633299,2398427.250000000000000,11239904.109999999403954
FS( 79 ),2477893.459999999962747,1845508.380000000121072,2255719.910000000149012,2265102.419999999925494,2405554.750000000000000,11249778.919999999925494
FS( 80 ),2476642.430000000167638,1822564.080000000074506,2266767.530000000260770,2258829.759999999776483,2383459.500000000000000,11208263.300000000745058
FS( 81 ),2490403.759999999776483,1817975.219999999972060,2261243.720000000204891,2260810.600000000558794,2397714.500000000000000,11228147.800000000745058
FS( 82 ),2467468.209999999962747,1825623.320000000065193,2251820.750000000000000,2237700.799999999813735,2361364.250000000000000,11143977.330000000074506
FS( 83 ),2497075.919999999925494,1835565.850000000093132,2251820.750000000000000,2258499.620000000111759,2386310.500000000000000,11229272.640000000596046
FS( 84 ),2517509.410000000149012,1814915.980000000214204,2253770.330000000074506,2253547.520000000484288,2392725.250000000000000,11232468.490000002086163
FS( 85 ),2525849.609999999869615,1827152.940000000176951,2256694.700000000186265,2280288.860000000335276,2436203.000000000000000,11326189.109999999403954
FS( 86 ),2515841.370000000111759,1815680.790000000037253,2235249.320000000298023,2268073.680000000633299,2423373.500000000000000,11258218.660000000149012
FS( 87 ),2575890.810000000055879,1793501.300000000046566,2247596.660000000149012,2278308.020000000484288,2468276.750000000000000,11363573.540000000968575
FS( 88 ),2574639.780000000260770,1833271.419999999925494,2254420.189999999944121,2287221.799999999813735,2488946.500000000000000,11438499.690000001341105
FS( 89 ),2635523.240000000223517,1821034.459999999962747,2262543.439999999944121,2296465.719999999739230,2499637.750000000000000,11515204.609999999403954
FS( 90 ),2580477.919999999925494,1816445.600000000093132,2245322.149999999906868,2295805.440000000409782,2471840.500000000000000,11409891.609999999403954
FS( 91 ),2541695.990000000223517,1806503.070000000065193,2232324.950000000186265,2288542.360000000335276,2436915.750000000000000,11305982.120000001043081
FS( 92 ),2491237.780000000260770,1801914.209999999962747,2214128.870000000111759,2291183.480000000447035,2448319.750000000000000,11246784.089999999850988
FS( 93 ),2460796.049999999813735,1814915.980000000214204,2209579.850000000093132,2283260.120000000111759,2477542.500000000000000,11246094.500000000000000
FS( 94 ),2483731.600000000093132,1805738.260000000009313,2207630.270000000018626,2268733.959999999962747,2478968.000000000000000,11244802.089999999850988
FS( 95 ),2529185.689999999944121,1827917.750000000000000,2232649.879999999888241,2304058.940000000409782,2492510.250000000000000,11386322.509999999776483
FS( 96 ),2537942.899999999906868,1859274.959999999962747,2242072.850000000093132,2327168.740000000223517,2515318.250000000000000,11481777.699999999254942
FS( 97 ),2560044.430000000167638,1865393.440000000176951,2257344.560000000055879,2356551.200000000186265,2540264.500000000000000,11579598.129999998956919
FS( 98 ),2577141.839999999850988,1865393.440000000176951,2257344.560000000055879,2441067.040000000037253,2528147.750000000000000,11669094.629999998956919
FS( 99 ),2580894.930000000167638,1843978.760000000009313,2228100.859999999869615,2426871.020000000484288,2493935.750000000000000,11573781.320000000298023
FS( 100 ),2587150.080000000074506,1806503.070000000065193,2225826.350000000093132,2442717.740000000223517,2476829.750000000000000,11539026.990000000223517
FS( 101 ),2575056.790000000037253,1775145.860000000102445,2191383.770000000018626,2422579.200000000186265,2434777.499999999534339,11398943.120000001043081
FS( 102 ),2555457.320000000298023,1775910.669999999925494,2212179.290000000037253,2415976.400000000372529,2431926.500000000000000,11391450.179999999701977
FS( 103 ),2522096.520000000018626,1746083.080000000074506,2276840.359999999869615,2380981.560000000521541,2451170.750000000000000,11377172.269999999552965
FS( 104 ),2503748.080000000074506,1743023.840000000083819,2256369.770000000018626,2362493.719999999739230,2464713.000000000000000,11330348.410000000149012
FS( 105 ),2559627.419999999925494,1747612.700000000186265,2249871.169999999925494,2342025.040000000037253,2472553.250000000000000,11371689.580000000074506
FS( 106 ),2596324.299999999813735,1823328.890000000130385,2250196.100000000093132,2318585.100000000558794,2563785.250000000000000,11552219.640000000596046
FS( 107 ),2586316.060000000055879,1808032.690000000176951,2248246.520000000018626,2298446.560000000521541,2555232.250000000000000,11496274.080000000074506
FS( 108 ),2601328.419999999925494,1821799.270000000018626,2231350.160000000149012,2281609.419999999925494,2521733.000000000000000,11457820.269999999552965
FS( 109 ),2611336.660000000149012,1837860.280000000260770,2239798.340000000316650,2316604.259999999776483,2563785.250000000000000,11569384.790000000968575
FS( 110 ),2585065.030000000260770,1809562.310000000055879,2211529.430000000167638,2268403.820000000298023,2540264.500000000000000,11414825.089999999850988
FS( 111 ),2537942.899999999906868,1756790.419999999925494,2174162.479999999981374,2277977.879999999888241,2531711.500000000000000,11278585.179999999701977
FS( 112 ),2542113.000000000000000,1765203.330000000074506,2177411.780000000260770,2277317.600000000558794,2546679.250000000000000,11308724.960000000894070
FS( 113 ),2550453.199999999720603,1764438.520000000018626,2179686.290000000037253,2259159.900000000372529,2552381.250000000000000,11306119.160000000149012
FS( 114 ),2643029.419999999925494,1749142.320000000065193,2172212.899999999906868,2252557.100000000558794,2538126.250000000000000,11355067.990000002086163
FS( 115 ),2563380.509999999776483,1732316.500000000000000,2161815.140000000130385,2247274.860000000335276,2493935.750000000000000,11198722.760000001639128
FS( 116 ),2554206.290000000037253,1736905.360000000102445,2154991.609999999869615,2255528.360000000335276,2494648.500000000000000,11196280.120000001043081
FS( 117 ),2590486.160000000149012,1770557.000000000000000,2171238.109999999869615,2266422.980000000447035,2543115.500000000000000,11341819.750000000000000
FS( 118 ),2640944.370000000111759,1841684.330000000074506,2206980.410000000149012,2295805.440000000409782,2595146.249999999534339,11580560.800000000745058
FS( 119 ),2661377.859999999869615,1827917.750000000000000,2219327.750000000000000,2299106.839999999850988,2607975.750000000465661,11615705.949999999254942
FS( 120 ),2672637.130000000353903,1827917.750000000000000,2224851.560000000055879,2318254.959999999962747,2613677.750000000000000,11657339.150000002235174
FS( 121 ),2703078.859999999869615,1850097.240000000223517,2261243.720000000204891,2352919.660000000149012,2639336.750000000000000,11806676.230000000447035
FS( 122 ),2696823.709999999962747,1867687.870000000111759,2257669.490000000223517,2339383.919999999925494,2623656.250000000000000,11785221.240000000223517
FS( 123 ),2675556.199999999720603,1854686.100000000093132,2241747.919999999925494,2338393.500000000000000,2615816.000000000000000,11726199.719999998807907
FS( 124 ),2703495.870000000111759,1895221.030000000260770,2256369.770000000018626,2342685.320000000298023,2624369.000000000000000,11822140.990000000223517
FS( 125 ),2678892.279999999795109,1892161.790000000037253,2258319.350000000093132,2349948.400000000372529,2640762.250000000000000,11820084.070000000298023
FS( 126 ),2713504.109999999869615,1863863.820000000065193,2269042.040000000037253,2338063.360000000335276,2667846.750000000000000,11852320.080000000074506
FS( 127 ),2709751.020000000018626,1865393.440000000176951,2260918.790000000037253,2342355.180000000633299,2648602.499999999534339,11827020.929999999701977
FS( 128 ),2678892.279999999795109,1867687.870000000111759,2252145.680000000167638,2328489.299999999813735,2630071.000000000000000,11757286.129999998956919
FS( 129 ),2669718.060000000055879,1867687.870000000111759,2255394.979999999981374,2443047.879999999888241,2638624.000000000000000,11874472.789999999105930
FS( 130 ),2683062.380000000353903,1882219.260000000009313,2272941.200000000186265,2414985.980000000447035,2645751.500000000000000,11898960.320000000298023
FS( 131 ),2687649.490000000223517,1885278.500000000000000,2283988.820000000298023,2422909.339999999850988,2647177.000000000000000,11927003.150000000372529
FS( 132 ),2628851.080000000074506,1875335.969999999972060,2281714.310000000055879,2421258.640000000596046,2649315.250000000000000,11856475.250000000000000
FS( 133 ),2622595.930000000167638,1900574.700000000186265,2296011.229999999981374,2424229.900000000372529,2653591.750000000000000,11897003.510000001639128
FS( 134 ),2624263.970000000204891,1896750.650000000139698,2299260.530000000260770,2420268.219999999739230,2635060.250000000000000,11875603.620000001043081
FS( 135 ),2602579.449999999720603,1860804.580000000074506,2278789.939999999944121,2417627.100000000558794,2622943.500000000000000,11782744.570000000298023
FS( 136 ),2587984.100000000093132,1853156.480000000214204,2272291.340000000316650,2422249.060000000521541,2616528.750000000000000,11752209.730000000447035
FS( 137 ),2640110.350000000093132,1873806.350000000093132,2272291.340000000316650,2449320.540000000037253,2657155.500000000000000,11892684.080000001937151
FS( 138 ),2627183.040000000037253,1891396.980000000214204,2273591.060000000055879,2453942.500000000000000,2685665.500000000000000,11931779.080000000074506
FS( 139 ),2575890.810000000055879,1869982.300000000046566,2253120.470000000204891,2424229.900000000372529,2657868.250000000000000,11781091.730000000447035
FS( 140 ),2584231.009999999776483,1892926.600000000093132,2268717.109999999869615,2437105.360000000335276,2717026.500000000000000,11900006.579999998211861
FS( 141 ),2557125.359999999869615,2009942.530000000260770,2232974.810000000055879,2404091.360000000335276,2686378.250000000000000,11890512.310000002384186
FS( 142 ),2567550.609999999869615,2019120.250000000000000,2226476.209999999962747,2388904.919999999925494,2694218.500000000000000,11896270.489999998360872
FS( 143 ),2549619.180000000167638,1963289.120000000111759,2209579.850000000093132,2385933.660000000149012,2668559.500000000000000,11776981.310000000521541
FS( 144 ),2546700.109999999869615,1979350.130000000121072,2208605.060000000055879,2371077.360000000335276,2662144.750000000000000,11767877.410000000149012
FS( 145 ),2529185.689999999944121,1950287.350000000093132,2181960.800000000279397,2351929.240000000223517,2648602.499999999534339,11661965.580000000074506
FS( 146 ),2579226.890000000130385,1973231.650000000139698,2206005.620000000111759,2371077.360000000335276,2701346.000000000000000,11830887.519999999552965
FS( 147 ),2647199.520000000018626,1982409.370000000111759,2254745.120000000111759,2405411.919999999925494,2769057.250000000000000,12058823.179999999701977
FS( 148 ),2639693.339999999850988,2003059.240000000223517,2240448.200000000186265,2423899.759999999776483,2771195.500000000000000,12078296.039999999105930
FS( 149 ),2634689.220000000204891,2022179.490000000223517,2244997.220000000204891,2445028.719999999739230,2793290.750000000000000,12140185.400000002235174
FS( 150 ),2620510.880000000353903,2025238.730000000214204,2229725.510000000242144,2412014.719999999739230,2813247.750000000000000,12100737.589999999850988
FS( 151 ),2636357.259999999776483,2003824.050000000046566,2226151.280000000260770,2416306.540000000037253,2839619.500000000465661,12122258.629999998956919
FS( 152 ),2634272.209999999962747,2006118.480000000214204,2238173.689999999944121,2441067.040000000037253,2883097.250000000000000,12202728.670000001788139
FS( 153 ),2653037.660000000149012,2009942.530000000260770,2250845.959999999962747,2457904.180000000633299,2860289.250000000000000,12232019.580000001937151
FS( 154 ),2656373.740000000223517,2030592.400000000139698,2249221.310000000055879,2471109.780000000260770,2871693.250000000000000,12278990.480000000447035
FS( 155 ),2647199.520000000018626,2034416.450000000186265,2262543.439999999944121,2474411.180000000633299,2862427.499999999534339,12280998.089999999850988
FS( 156 ),2666798.990000000223517,2051242.270000000018626,2270666.689999999944121,2494549.719999999739230,2858863.750000000000000,12342121.419999998062849
FS( 157 ),2663045.899999999906868,2055066.320000000065193,2253120.470000000204891,2494219.580000000074506,2854587.250000000000000,12320039.519999999552965
FS( 158 ),2712670.089999999850988,2045123.790000000037253,2263843.160000000149012,2505774.480000000447035,2848885.250000000000000,12376296.769999999552965
FS( 159 ),2730184.509999999776483,2038240.500000000000000,2272616.270000000018626,2519310.219999999739230,2820375.250000000000000,12380726.750000000000000
FS( 160 ),2741860.790000000037253,2045123.790000000037253,2272941.200000000186265,2573453.180000000633299,2833917.500000000000000,12467296.460000000894070
FS( 161 ),2771468.500000000000000,2030592.400000000139698,2296986.020000000018626,2563218.839999999850988,2833917.500000000000000,12496183.259999999776483
FS( 162 ),2808582.389999999664724,2059655.180000000167638,2288212.910000000149012,2578075.140000000596046,2843183.250000000000000,12577708.870000001043081
FS( 163 ),2828181.859999999869615,2124664.030000000260770,2380168.100000000093132,2586658.780000000260770,2848172.500000000000000,12767845.269999999552965
FS( 164 ),2818173.620000000111759,2084129.100000000093132,2397064.459999999962747,2553644.780000000260770,2786163.250000000465661,12639175.210000000894070
FS( 165 ),2802327.240000000223517,2061949.610000000102445,2437030.850000000093132,2568831.219999999739230,2791865.250000000000000,12662004.170000001788139
FS( 166 ),2803995.279999999795109,2050477.459999999962747,2439630.290000000037253,2561238.000000000000000,2761929.750000000000000,12617270.780000001192093
FS( 167 ),2790650.959999999962747,2067303.280000000260770,2442229.729999999981374,2590290.320000000298023,2813960.500000000000000,12704434.790000000968575
FS( 168 ),2806497.339999999850988,2053536.700000000186265,2466924.410000000149012,2637500.339999999850988,2825364.500000000000000,12789823.289999999105930
FS( 169 ),2767298.399999999906868,2052007.080000000074506,2445154.100000000093132,2575103.879999999888241,2791152.499999999534339,12630715.960000000894070
FS( 170 ),2768549.430000000167638,2061184.800000000046566,2459775.950000000186265,2596562.980000000447035,2842470.500000000000000,12728543.660000000149012
FS( 171 ),2780225.709999999962747,2071127.330000000074506,2474397.800000000279397,2606797.320000000298023,2865991.250000000000000,12798539.410000000149012
FS( 172 ),2765213.350000000093132,2091012.390000000130385,2474397.800000000279397,2612079.560000000521541,2798992.750000000000000,12741695.850000001490116
FS( 173 ),2794404.050000000279397,2087953.150000000139698,2461400.600000000093132,2603495.919999999925494,2811822.250000000000000,12759075.970000000670552
FS( 174 ),2768132.419999999925494,2111662.260000000242144,2463350.180000000167638,2615050.820000000298023,2785450.500000000000000,12743646.179999999701977
FS( 175 ),2807331.359999999869615,2107073.400000000372529,2468873.990000000223517,2637830.480000000447035,2794003.500000000000000,12815112.730000000447035
FS( 176 ),2812752.490000000223517,2086423.530000000260770,2487719.930000000167638,2640801.740000000223517,2757653.250000000000000,12785350.940000001341105
FS( 177 ),2808165.380000000353903,2088717.959999999962747,2494868.390000000130385,2652356.640000000596046,2779035.750000000000000,12823144.120000001043081
FS( 178 ),2815671.560000000055879,2101719.729999999981374,2487070.070000000298023,2654007.339999999850988,2815386.000000000000000,12873854.699999999254942
FS( 179 ),2816922.589999999850988,2083364.290000000037253,2514364.189999999944121,2660940.280000000260770,2808258.500000000000000,12883849.850000001490116
FS( 180 ),2770634.479999999981374,2065773.660000000149012,2504616.290000000037253,2644763.419999999925494,2769057.250000000000000,12754845.100000001490116
FS( 181 ),2684730.419999999925494,2085658.719999999972060,2503316.570000000298023,2653677.200000000186265,2805407.500000000000000,12732790.410000000149012
FS( 182 ),2734771.620000000111759,2083364.290000000037253,2501691.919999999925494,2674476.020000000484288,2841045.000000000000000,12835348.850000001490116
FS( 183 ),2665547.959999999962747,2066538.469999999972060,2466924.410000000149012,2616371.379999999888241,2777610.250000000000000,12592992.469999998807907
FS( 184 ),2817339.600000000093132,2075716.190000000176951,2472123.290000000037253,2642452.440000000409782,2812535.000000000000000,12820166.519999999552965
FS( 185 ),2838190.100000000093132,2078010.620000000111759,2493893.600000000093132,2666882.799999999813735,2848885.250000000000000,12925862.370000001043081
FS( 186 ),2856538.540000000037253,2082599.480000000214204,2475372.590000000316650,2654997.759999999776483,2826789.999999999534339,12896298.370000001043081
FS( 187 ),2878640.070000000298023,2096366.060000000055879,2485445.419999999925494,2663911.540000000037253,2816811.500000000000000,12941174.589999999850988
FS( 188 ),2931183.330000000074506,2093306.820000000065193,2491619.090000000316650,2658299.160000000149012,2842470.500000000000000,13016878.900000000372529
FS( 189 ),2938689.509999999776483,2099425.299999999813735,2503641.500000000000000,2689332.320000000298023,2856012.750000000000000,13087101.379999998956919
FS( 190 ),2939106.520000000018626,2114721.500000000000000,2508515.450000000186265,2676456.860000000335276,2870267.750000000000000,13109068.080000000074506
FS( 191 ),2929515.290000000037253,2111662.260000000242144,2498767.550000000279397,2680748.680000000633299,2860289.250000000000000,13080983.030000001192093
FS( 192 ),2976220.410000000149012,2091777.200000000186265,2507865.590000000316650,2695604.980000000447035,2863140.250000000000000,13134608.430000001564622
