代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12532664.140000000596046
真實報酬,2532664.140000000596046

夏普值報酬,0.244566414000000
夏普值風險,0.068585803269609
夏普值,3.565846025577848

二次趨勢線,17.095927378362948 x^2 + 4980.196272343388955 x + 10000000.000000000000000
二次平均預期報酬,9322.561826447579733
風險,238663.837545089336345
二次平均趨勢值,0.039061476268630
一次趨勢線,8230.546820237936117 x + 10000000.000000000000000
一次預期報酬,8230.546820237936117
一次風險,268471.420001611055341
一次趨勢值,0.030657068898390
找到最佳解世代,2452
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](2),MCD[15](1),
FS( 20 ),5073054.530000000260770,4854964.299999998882413,9928018.829999998211861
FS( 21 ),5078247.979999999515712,4840460.730000000447035,9918708.710000000894070
FS( 22 ),5081364.049999999813735,4840460.730000000447035,9921824.780000001192093
FS( 23 ),5106292.610000000335276,4830371.289999999105930,9936663.899999998509884
FS( 24 ),5111832.290000000037253,4685966.179999999701977,9797798.469999998807907
FS( 25 ),5091404.720000000670552,4708036.829999999143183,9799441.550000000745058
FS( 26 ),5147147.750000000000000,4679660.279999999329448,9826808.029999999329448
FS( 27 ),5121872.960000000894070,4689749.719999999739230,9811622.679999999701977
FS( 28 ),5111832.290000000037253,4638671.929999999701977,9750504.219999998807907
FS( 29 ),5099368.010000000707805,4660111.990000000223517,9759480.000000000000000
FS( 30 ),5162381.870000000111759,4641194.289999999105930,9803576.160000000149012
FS( 31 ),5152687.429999999701977,4582549.419999999925494,9735236.849999999627471
FS( 32 ),5193542.570000000298023,4670201.429999999701977,9863744.000000000000000
FS( 33 ),5216047.520000000484288,4709298.009999999776483,9925345.530000001192093
FS( 34 ),5390547.440000000409782,4751547.539999999105930,10142094.980000000447035
FS( 35 ),5394355.970000000670552,4739566.329999999143183,10133922.300000000745058
FS( 36 ),5383969.070000000298023,4730107.480000000447035,10114076.550000000745058
FS( 37 ),5526962.060000000521541,4753439.309999999590218,10280401.370000001043081
FS( 38 ),5589629.690000000409782,4759745.209999999962747,10349374.900000000372529
FS( 39 ),5575780.490000000223517,4740196.919999999925494,10315977.410000000149012
FS( 40 ),5576819.179999999701977,4688488.539999999105930,10265307.719999998807907
FS( 41 ),5512420.400000000372529,4621015.410000000149012,10133435.810000000521541
FS( 42 ),5609018.570000000298023,4645608.419999999925494,10254626.990000000223517
FS( 43 ),5663030.450000000186265,4632996.619999999180436,10296027.070000000298023
FS( 44 ),5654028.470000000670552,4643716.649999999441206,10297745.120000001043081
FS( 45 ),5661991.760000000707805,4655697.859999999403954,10317689.620000001043081
FS( 46 ),5678264.570000000298023,4669570.839999999850988,10347835.410000000149012
FS( 47 ),5706655.429999999701977,4631735.439999999478459,10338390.869999999180436
FS( 48 ),5749241.720000000670552,4752178.129999999888241,10501419.850000001490116
FS( 49 ),5700769.520000000484288,4788121.759999999776483,10488891.280000001192093
FS( 50 ),5681380.640000000596046,4777401.730000000447035,10458782.370000001043081
FS( 51 ),5673071.120000000111759,4801364.149999999441206,10474435.269999999552965
FS( 52 ),5651258.629999999888241,4807670.049999998882413,10458928.679999999701977
FS( 53 ),5638101.890000000596046,4801994.740000000223517,10440096.630000000819564
FS( 54 ),5657490.770000000484288,4793797.069999999366701,10451287.839999999850988
FS( 55 ),5686574.090000000782311,4791274.709999999962747,10477848.800000000745058
FS( 56 ),5707347.890000000596046,4800733.559999999590218,10508081.449999999254942
FS( 57 ),5607287.419999999925494,4773618.189999999478459,10380905.609999999403954
FS( 58 ),5546004.710000000894070,4741458.099999999627471,10287462.810000000521541
FS( 59 ),5566432.280000000260770,4742719.279999999329448,10309151.559999998658895
FS( 60 ),5618713.010000000707805,4694163.849999999627471,10312876.859999999403954
FS( 61 ),5604863.810000000521541,4772357.009999999776483,10377220.820000000298023
FS( 62 ),5538733.879999999888241,4722540.399999999441206,10261274.279999999329448
FS( 63 ),5545312.250000000000000,4709928.599999999627471,10255240.849999999627471
FS( 64 ),5660260.610000000335276,4807670.049999998882413,10467930.660000000149012
FS( 65 ),5603132.660000001080334,4794427.660000000149012,10397560.320000000298023
FS( 66 ),5537348.960000000894070,4810823.000000000000000,10348171.960000000894070
FS( 67 ),5618713.010000000707805,4763528.750000000000000,10382241.760000001639128
FS( 68 ),5742663.350000000558794,4778662.910000000149012,10521326.260000001639128
FS( 69 ),5609711.030000000260770,4835416.009999999776483,10445127.039999999105930
FS( 70 ),5623906.460000000894070,4838568.959999999962747,10462475.420000001788139
FS( 71 ),5587898.540000000037253,4771726.419999999925494,10359624.960000000894070
FS( 72 ),5505842.030000000260770,4737043.969999999739230,10242886.000000000000000
FS( 73 ),5297411.570000000298023,4627321.309999999590218,9924732.879999998956919
FS( 74 ),5338266.710000000894070,4628582.490000000223517,9966849.200000001117587
FS( 75 ),5397472.040000000037253,4602728.299999998882413,10000200.339999999850988
FS( 76 ),5459447.210000000894070,4651283.730000000447035,10110730.940000001341105
FS( 77 ),5470526.570000000298023,4658220.219999999739230,10128746.789999999105930
FS( 78 ),5523499.760000000707805,4699839.160000000149012,10223338.920000001788139
FS( 79 ),5541157.490000000223517,4725062.759999999776483,10266220.250000000000000
FS( 80 ),5615250.710000000894070,4745241.639999999664724,10360492.350000001490116
FS( 81 ),5587206.080000000074506,4729476.889999999664724,10316682.969999998807907
FS( 82 ),5639486.810000000521541,4752808.719999999739230,10392295.530000001192093
FS( 83 ),5664415.370000000111759,4780554.679999999701977,10444970.050000000745058
FS( 84 ),5646065.179999999701977,4798211.200000000186265,10444276.379999998956919
FS( 85 ),5687612.780000000260770,4791905.299999998882413,10479518.079999998211861
FS( 86 ),5686920.320000000298023,4817128.899999999441206,10504049.219999998807907
FS( 87 ),5677918.340000000782311,4830371.289999999105930,10508289.629999998956919
FS( 88 ),5679649.490000000223517,4837938.369999999180436,10517587.859999999403954
FS( 89 ),5691421.310000000521541,4793166.480000000447035,10484587.790000000968575
FS( 90 ),5679995.720000000670552,4795058.250000000000000,10475053.970000000670552
FS( 91 ),5676533.419999999925494,4808300.639999999664724,10484834.059999998658895
FS( 92 ),5652297.320000000298023,4834154.829999999143183,10486452.149999998509884
FS( 93 ),5676533.419999999925494,4848658.399999999441206,10525191.820000000298023
FS( 94 ),5711848.879999999888241,4860009.019999999552965,10571857.899999998509884
FS( 95 ),5754781.400000000372529,4879557.309999999590218,10634338.710000000894070
FS( 96 ),5745433.190000000409782,4855594.889999999664724,10601028.080000000074506
FS( 97 ),5726736.770000000484288,4830371.289999999105930,10557108.059999998658895
FS( 98 ),5704231.820000000298023,4943877.490000000223517,10648109.310000000521541
FS( 99 ),5826451.010000000707805,4849919.579999999143183,10676370.589999999850988
FS( 100 ),5805330.979999999515712,4863792.559999999590218,10669123.539999999105930
FS( 101 ),5833721.840000000782311,4851811.349999999627471,10685533.190000001341105
FS( 102 ),5898813.080000000074506,4910456.219999999739230,10809269.300000000745058
FS( 103 ),5913008.510000000707805,4920545.660000000149012,10833554.170000001788139
FS( 104 ),5906083.910000001080334,4938202.179999999701977,10844286.089999999850988
FS( 105 ),5960442.020000000484288,4959011.649999999441206,10919453.669999999925494
FS( 106 ),5985370.580000000074506,4977929.349999999627471,10963299.929999999701977
FS( 107 ),5907468.830000000074506,4986127.019999999552965,10893595.849999999627471
FS( 108 ),5832683.150000000372529,4956489.289999999105930,10789172.439999999478459
FS( 109 ),5847571.040000000037253,4962795.189999999478459,10810366.230000000447035
FS( 110 ),5854841.870000000111759,5001261.179999999701977,10856103.050000000745058
FS( 111 ),5899159.310000000521541,5026484.779999999329448,10925644.089999999850988
FS( 112 ),5868691.070000000298023,5013872.980000000447035,10882564.050000000745058
FS( 113 ),5963558.090000000782311,5086390.829999999143183,11049948.919999999925494
FS( 114 ),5883232.729999999515712,5091435.549999998882413,10974668.279999997466803
FS( 115 ),5846532.350000000558794,5116659.149999999441206,10963191.500000000000000
FS( 116 ),5903314.070000000298023,5103416.759999999776483,11006730.830000000074506
FS( 117 ),5901236.690000000409782,5139360.389999999664724,11040597.080000000074506
FS( 118 ),5906430.140000000596046,5203049.980000000447035,11109480.120000001043081
FS( 119 ),5891542.250000000000000,5191699.359999999403954,11083241.609999999403954
FS( 120 ),5825758.549999999813735,5202419.389999999664724,11028177.939999999478459
FS( 121 ),5816410.340000000782311,5211247.649999999441206,11027657.990000000223517
FS( 122 ),5808100.820000000298023,5216292.369999999180436,11024393.189999999478459
FS( 123 ),5788365.710000000894070,5198005.259999999776483,10986370.970000000670552
FS( 124 ),5799445.070000000298023,5146927.469999999739230,10946372.539999999105930
FS( 125 ),5848955.960000000894070,5141882.750000000000000,10990838.710000000894070
FS( 126 ),5766899.450000000186265,5106569.709999999962747,10873469.160000000149012
FS( 127 ),5750626.640000000596046,5092066.139999999664724,10842692.780000001192093
FS( 128 ),5714618.720000000670552,5078823.750000000000000,10793442.470000000670552
FS( 129 ),5704231.820000000298023,5088913.189999999478459,10793145.009999999776483
FS( 130 ),5667531.440000000409782,5116659.149999999441206,10784190.589999999850988
FS( 131 ),5690036.390000000596046,5117289.740000000223517,10807326.130000000819564
FS( 132 ),5707347.890000000596046,5124226.230000000447035,10831574.120000001043081
FS( 133 ),5649873.710000000894070,5067473.129999999888241,10717346.839999999850988
FS( 134 ),5649527.479999999515712,5090804.959999999962747,10740332.439999999478459
FS( 135 ),5682419.330000000074506,5137468.619999999180436,10819887.949999999254942
FS( 136 ),5620444.160000001080334,5122965.049999998882413,10743409.210000000894070
FS( 137 ),5632215.979999999515712,5158908.679999999701977,10791124.660000000149012
FS( 138 ),5693498.690000000409782,5203680.569999999366701,10897179.259999999776483
FS( 139 ),5713580.030000000260770,5214400.599999999627471,10927980.629999998956919
FS( 140 ),5755127.629999999888241,5221337.089999999850988,10976464.719999998807907
FS( 141 ),5736431.210000000894070,5211878.240000000223517,10948309.450000001117587
FS( 142 ),5751665.330000000074506,5189177.000000000000000,10940842.330000000074506
FS( 143 ),5715311.179999999701977,5160800.450000000186265,10876111.629999998956919
FS( 144 ),5803599.830000000074506,5191068.769999999552965,10994668.599999999627471
FS( 145 ),5886348.799999999813735,5319078.539999999105930,11205427.339999999850988
FS( 146 ),5904698.990000000223517,5332951.519999999552965,11237650.509999999776483
FS( 147 ),5939668.220000000670552,5317186.769999999552965,11256854.990000000223517
FS( 148 ),6043190.990000000223517,5401055.240000000223517,11444246.230000000447035
FS( 149 ),6074005.460000000894070,5400424.649999999441206,11474430.109999999403954
FS( 150 ),6152945.900000000372529,5414297.629999999888241,11567243.530000001192093
FS( 151 ),6110359.610000000335276,5426909.429999999701977,11537269.039999999105930
FS( 152 ),6110705.840000000782311,5397902.289999999105930,11508608.129999998956919
FS( 153 ),6058771.340000000782311,5382137.539999999105930,11440908.879999998956919
FS( 154 ),6026225.720000000670552,5359436.299999998882413,11385662.019999999552965
FS( 155 ),6035573.929999999701977,5357544.529999999329448,11393118.459999999031425
FS( 156 ),6032457.860000000335276,5411144.679999999701977,11443602.539999999105930
FS( 157 ),6077813.990000000223517,5390335.209999999962747,11468149.199999999254942
FS( 158 ),6068812.010000000707805,5385290.490000000223517,11454102.500000000000000
FS( 159 ),6412618.400000000372529,5436368.279999999329448,11848986.679999999701977
FS( 160 ),6358606.520000000484288,5440151.819999999366701,11798758.339999999850988
FS( 161 ),6401885.270000000484288,5457177.750000000000000,11859063.019999999552965
FS( 162 ),6411579.710000000894070,5584556.929999999701977,11996136.640000000596046
FS( 163 ),6360337.669999999925494,5556810.969999999739230,11917148.640000000596046
FS( 164 ),6333677.960000000894070,5550505.069999999366701,11884183.030000001192093
FS( 165 ),6278973.620000000111759,5491860.200000000186265,11770833.820000000298023
FS( 166 ),6294553.970000000670552,5472311.910000000149012,11766865.880000000819564
FS( 167 ),6296285.120000000111759,5453394.209999999962747,11749679.330000000074506
FS( 168 ),6258199.820000000298023,5447718.899999999441206,11705918.719999998807907
FS( 169 ),6164717.720000000670552,5363850.429999999701977,11528568.150000000372529
FS( 170 ),6191723.660000001080334,5394118.750000000000000,11585842.410000000149012
FS( 171 ),5937244.610000000335276,5314664.410000000149012,11251909.019999999552965
FS( 172 ),5989179.110000000335276,5365111.609999999403954,11354290.719999998807907
FS( 173 ),5755127.629999999888241,5177826.379999999888241,10932954.009999999776483
FS( 174 ),5907122.600000000558794,5420603.529999999329448,11327726.129999998956919
FS( 175 ),5627714.990000000223517,5302052.609999999403954,10929767.599999999627471
FS( 176 ),5772785.360000000335276,5440782.410000000149012,11213567.769999999552965
FS( 177 ),5823681.169999999925494,5454655.389999999664724,11278336.559999998658895
FS( 178 ),5989525.340000000782311,5474834.269999999552965,11464359.609999999403954
FS( 179 ),5928935.090000000782311,5465375.419999999925494,11394310.510000001639128
FS( 180 ),5937244.610000000335276,5517714.389999999664724,11454959.000000000000000
FS( 181 ),5672378.660000001080334,5398532.879999999888241,11070911.540000000968575
FS( 182 ),5454599.990000000223517,5500688.459999999962747,10955288.449999999254942
FS( 183 ),5504457.110000000335276,5534109.730000000447035,11038566.839999999850988
FS( 184 ),5689343.929999999701977,5645724.160000000149012,11335068.089999999850988
FS( 185 ),5773824.049999999813735,5683559.559999999590218,11457383.609999999403954
FS( 186 ),5732968.910000001080334,5594015.779999999329448,11326984.690000001341105
FS( 187 ),5856226.790000000037253,5670947.759999999776483,11527174.550000000745058
FS( 188 ),5976714.830000000074506,5725178.500000000000000,11701893.330000000074506
FS( 189 ),5972906.299999999813735,5724547.910000000149012,11697454.210000000894070
FS( 190 ),5952132.500000000000000,5701216.079999999143183,11653348.579999998211861
FS( 191 ),5897428.160000001080334,5679776.019999999552965,11577204.179999999701977
FS( 192 ),5781441.110000000335276,5617978.200000000186265,11399419.310000000521541
FS( 193 ),5716696.100000000558794,5600952.269999999552965,11317648.370000001043081
FS( 194 ),5792866.700000000186265,5630590.000000000000000,11423456.699999999254942
FS( 195 ),5721543.320000000298023,5587709.879999999888241,11309253.199999999254942
FS( 196 ),5587206.080000000074506,5361958.660000000149012,10949164.740000000223517
FS( 197 ),5623560.229999999515712,5435107.099999999627471,11058667.329999998211861
FS( 198 ),5658529.460000000894070,5430692.969999999739230,11089222.429999999701977
FS( 199 ),5790443.090000000782311,5470420.139999999664724,11260863.230000000447035
FS( 200 ),5889118.640000000596046,5553658.019999999552965,11442776.660000000149012
FS( 201 ),5989525.340000000782311,5567531.000000000000000,11557056.339999999850988
FS( 202 ),5994372.560000000521541,5600321.679999999701977,11594694.240000000223517
FS( 203 ),6049423.129999999888241,5631851.179999999701977,11681274.309999998658895
FS( 204 ),5990564.030000000260770,5518975.569999999366701,11509539.599999999627471
FS( 205 ),5838222.830000000074506,5422495.299999998882413,11260718.129999998956919
FS( 206 ),5863151.390000000596046,5509516.719999999739230,11372668.109999999403954
FS( 207 ),6042152.299999999813735,5633742.950000000186265,11675895.250000000000000
FS( 208 ),6152945.900000000372529,5658966.549999998882413,11811912.449999999254942
FS( 209 ),6147406.220000000670552,5551135.660000000149012,11698541.880000000819564
FS( 210 ),6203495.479999999515712,5598429.910000000149012,11801925.390000000596046
FS( 211 ),6054616.580000000074506,5537893.269999999552965,11592509.849999999627471
FS( 212 ),5999912.240000000223517,5424387.069999999366701,11424299.309999998658895
FS( 213 ),6050115.590000000782311,5453394.209999999962747,11503509.800000000745058
FS( 214 ),6123170.120000000111759,5412405.859999999403954,11535575.980000000447035
FS( 215 ),6290745.440000000409782,5493121.379999999888241,11783866.820000000298023
FS( 216 ),6314981.540000000037253,5498796.689999999478459,11813778.230000000447035
FS( 217 ),6461436.830000000074506,5581403.980000000447035,12042840.810000000521541
FS( 218 ),6405347.570000000298023,5633742.950000000186265,12039090.519999999552965
FS( 219 ),6444125.330000000074506,5571945.129999999888241,12016070.460000000894070
FS( 220 ),6468361.429999999701977,5631851.179999999701977,12100212.609999999403954
FS( 221 ),6596812.760000000707805,5671578.349999999627471,12268391.109999999403954
FS( 222 ),6460398.140000000596046,5590862.829999999143183,12051260.969999998807907
FS( 223 ),6194147.270000000484288,5652660.649999999441206,11846807.919999999925494
FS( 224 ),6141866.540000000037253,5651399.469999999739230,11793266.009999999776483
FS( 225 ),6137019.320000000298023,5612933.480000000447035,11749952.800000000745058
FS( 226 ),6288668.060000000521541,5821658.769999999552965,12110326.830000000074506
FS( 227 ),6310134.320000000298023,5802110.480000000447035,12112244.800000000745058
FS( 228 ),6244696.850000000558794,5786976.319999999366701,12031673.169999999925494
FS( 229 ),6300439.879999999888241,5787606.910000000149012,12088046.789999999105930
FS( 230 ),6451742.390000000596046,5896698.980000000447035,12348441.370000001043081
FS( 231 ),6490173.919999999925494,5882826.000000000000000,12372999.919999999925494
FS( 232 ),6392537.060000000521541,5855080.039999999105930,12247617.099999999627471
FS( 233 ),6278973.620000000111759,5795804.579999999143183,12074778.199999999254942
FS( 234 ),6367954.729999999515712,5834901.160000000149012,12202855.890000000596046
FS( 235 ),6484980.470000000670552,5864538.889999999664724,12349519.359999999403954
FS( 236 ),6453127.310000000521541,5915616.679999999701977,12368743.990000000223517
FS( 237 ),6485672.929999999701977,5966694.469999999739230,12452367.399999998509884
FS( 238 ),6483249.320000000298023,5965433.289999999105930,12448682.609999999403954
FS( 239 ),6309788.090000000782311,5842468.240000000223517,12152256.330000001937151
FS( 240 ),6348219.620000000111759,5880934.230000000447035,12229153.850000001490116
FS( 241 ),6487750.310000000521541,5975522.730000000447035,12463273.040000000968575
FS( 242 ),6486711.620000000111759,5931381.429999999701977,12418093.050000000745058
FS( 243 ),6535183.820000000298023,5957235.619999999180436,12492419.439999999478459
FS( 244 ),6461436.830000000074506,5873997.740000000223517,12335434.570000000298023
FS( 245 ),6430622.360000000335276,5819767.000000000000000,12250389.359999999403954
FS( 246 ),6413657.090000000782311,5848143.549999998882413,12261800.640000000596046
FS( 247 ),6283474.610000000335276,5819136.410000000149012,12102611.019999999552965
FS( 248 ),6277588.700000000186265,5842468.240000000223517,12120056.940000001341105
FS( 249 ),6161255.419999999925494,5793282.219999999739230,11954537.640000000596046
FS( 250 ),6130440.950000000186265,5807785.789999999105930,11938226.739999998360872
FS( 251 ),6308749.400000000372529,5912463.730000000447035,12221213.130000000819564
FS( 252 ),6264778.190000000409782,5893546.029999999329448,12158324.219999998807907
FS( 253 ),6509216.570000000298023,6023447.569999999366701,12532664.140000000596046
