代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15118293.879999997094274
真實報酬,5118293.879999997094274

夏普值報酬,0.503129388000000
夏普值風險,0.120815561109429
夏普值,4.164441926022167

二次趨勢線,23.243431307444759 x^2 + 14562.747073567608822 x + 10000000.000000000000000
二次平均預期報酬,20443.335194351133396
風險,137717.598471623437945
二次平均趨勢值,0.148443883869812
一次趨勢線,18964.454617441246228 x + 10000000.000000000000000
一次預期報酬,18964.454617441246228
一次風險,215570.333257429098012
一次趨勢值,0.087973397502681
找到最佳解世代,2701
找到最佳解實驗#,7
找到最佳解次數,16

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](3),MMM[16](6),V[25](4),
FS( 30 ),2750144.500000000000000,2732286.530000000260770,2721907.600000000093132,2425877.820000000298023,10630216.450000001117587
FS( 31 ),2711701.239999999757856,2735849.890000000130385,2687967.000000000000000,2423733.790000000037253,10559251.919999999925494
FS( 32 ),2699413.439999999944121,2725159.810000000055879,2679139.400000000372529,2435066.520000000018626,10538779.169999999925494
FS( 33 ),2712227.859999999869615,2744758.290000000037253,2700904.000000000000000,2399843.169999999925494,10557733.320000000298023
FS( 34 ),2741718.580000000074506,2739190.540000000037253,2711710.199999999720603,2392185.919999999925494,10584805.240000000223517
FS( 35 ),2745404.919999999459833,2746762.680000000167638,2719168.000000000000000,2400149.459999999962747,10611485.059999998658895
FS( 36 ),2764538.779999999795109,2743422.030000000260770,2715819.600000000093132,2393411.080000000074506,10617191.490000000223517
FS( 37 ),2764187.700000000186265,2755448.370000000111759,2727539.000000000000000,2386060.120000000111759,10633235.190000001341105
FS( 38 ),2770331.600000000093132,2742531.189999999944121,2720690.000000000000000,2393717.370000000111759,10627270.160000000149012
FS( 39 ),2764538.779999999795109,2740972.219999999739230,2723277.399999999906868,2399843.169999999925494,10628631.570000000298023
FS( 40 ),2740314.259999999776483,2732286.530000000260770,2710492.600000000093132,2398311.719999999739230,10581405.109999999403954
FS( 41 ),2733117.119999999646097,2734736.340000000316650,2715515.199999999720603,2399230.589999999850988,10582599.250000000000000
FS( 42 ),2732941.580000000074506,2710906.370000000111759,2717950.399999999906868,2389735.600000000093132,10551533.949999999254942
FS( 43 ),2755586.239999999757856,2664137.270000000018626,2710036.000000000000000,2435066.520000000018626,10564826.029999999329448
FS( 44 ),2784550.339999999850988,2661019.330000000074506,2714145.399999999906868,2454975.370000000111759,10614690.440000001341105
FS( 45 ),2786130.200000000186265,2665918.950000000186265,2704861.200000000186265,2483766.630000000353903,10640676.980000000447035
FS( 46 ),2792976.259999999776483,2689526.209999999962747,2712775.599999999627471,2518071.109999999869615,10713349.179999999701977
FS( 47 ),2779284.139999999664724,2682176.780000000260770,2698164.400000000372529,2503981.770000000018626,10663607.089999999850988
FS( 48 ),2792449.639999999664724,2678168.000000000000000,2687662.600000000093132,2490505.010000000242144,10648785.250000000000000
FS( 49 ),2798242.459999999962747,2692198.729999999981374,2707600.799999999813735,2505513.219999999739230,10703555.209999999031425
FS( 50 ),2778757.519999999552965,2719369.350000000093132,2700751.799999999813735,2492342.750000000000000,10691221.419999998062849
FS( 51 ),2788236.680000000167638,2706006.750000000000000,2699990.799999999813735,2486216.950000000186265,10680451.179999999701977
FS( 52 ),2767874.039999999571592,2733845.500000000000000,2698012.199999999720603,2488973.560000000055879,10688705.299999998882413
FS( 53 ),2779284.139999999664724,2732954.659999999683350,2716732.800000000279397,2499081.130000000353903,10728052.730000000447035
FS( 54 ),2791220.859999999869615,2721151.030000000260770,2719624.600000000093132,2503369.189999999944121,10735365.679999999701977
FS( 55 ),2800524.479999999981374,2722932.709999999962747,2716732.800000000279397,2506738.380000000353903,10746928.370000001043081
FS( 56 ),2770858.219999999739230,2703334.229999999981374,2717037.199999999720603,2516233.370000000111759,10707463.019999999552965
FS( 57 ),2818429.560000000055879,2695984.799999999813735,2678378.399999999906868,2549312.689999999944121,10742105.449999999254942
FS( 58 ),2937972.300000000279397,2712465.340000000316650,2689945.599999999627471,2569834.120000000111759,10910217.359999999403954
FS( 59 ),2968867.339999999850988,2714469.729999999981374,2691315.399999999906868,2549618.979999999981374,10924271.450000001117587
FS( 60 ),2943940.659999999683350,2736295.310000000055879,2701360.599999999627471,2565852.350000000093132,10947448.919999999925494
FS( 61 ),2906550.639999999664724,2739858.669999999925494,2670007.399999999906868,2563708.320000000298023,10880125.029999999329448
FS( 62 ),2868809.539999999571592,2729836.719999999739230,2660875.399999999906868,2533385.609999999869615,10792907.269999999552965
FS( 63 ),2878464.239999999757856,2726496.069999999832362,2666202.399999999906868,2525115.779999999795109,10796278.489999998360872
FS( 64 ),2848446.899999999906868,2744312.870000000111759,2651134.600000000093132,2520827.719999999739230,10764722.089999999850988
FS( 65 ),2850904.459999999962747,2767029.290000000037253,2664223.799999999813735,2636605.339999999850988,10918762.890000000596046
FS( 66 ),2878639.779999999795109,2771706.200000000186265,2665137.000000000000000,2628948.089999999850988,10944431.070000000298023
FS( 67 ),2922875.859999999869615,2774824.140000000130385,2675182.199999999720603,2627416.640000000130385,11000298.839999999850988
FS( 68 ),2875655.600000000093132,2776605.819999999832362,2695120.399999999906868,2606282.630000000353903,10953664.450000001117587
FS( 69 ),2883905.979999999981374,2772374.330000000074506,2712014.600000000093132,2621290.839999999850988,10989585.750000000000000
FS( 70 ),2918136.279999999795109,2802217.469999999739230,2724495.000000000000000,2631092.120000000111759,11075940.870000001043081
FS( 71 ),2949733.479999999981374,2795981.590000000316650,2755239.400000000372529,2647631.779999999795109,11148586.250000000000000
FS( 72 ),2957983.859999999869615,2801994.760000000242144,2764067.000000000000000,2660189.669999999925494,11184235.290000000968575
FS( 73 ),2972027.060000000055879,2816916.330000000074506,2765589.000000000000000,2681323.680000000167638,11235856.070000000298023
FS( 74 ),2998533.600000000093132,2821815.950000000186265,2791615.199999999720603,2677341.909999999683350,11289306.660000000149012
FS( 75 ),3031886.200000000186265,2846314.049999999813735,2784614.000000000000000,2678873.359999999869615,11341687.609999999403954
FS( 76 ),3081915.100000000093132,2851659.089999999850988,2791006.399999999906868,2692962.700000000186265,11417543.289999999105930
FS( 77 ),3078404.300000000279397,2847427.600000000093132,2831643.799999999813735,2689287.219999999739230,11446762.919999998062849
FS( 78 ),3104735.300000000279397,2856781.420000000391155,2849146.799999999813735,2700926.240000000223517,11511589.759999999776483
FS( 79 ),3114916.619999999646097,2865244.399999999906868,2852495.199999999720603,2708583.490000000223517,11541239.709999999031425
FS( 80 ),3149849.080000000074506,2828274.540000000037253,2844885.199999999720603,2695413.020000000018626,11518421.839999999850988
FS( 81 ),3163892.279999999795109,2842973.399999999906868,2836362.000000000000000,2693575.279999999795109,11536802.959999999031425
FS( 82 ),3228491.000000000000000,2874152.800000000279397,2889784.200000000186265,2725735.729999999981374,11718163.730000000447035
FS( 83 ),3212341.319999999832362,2855890.579999999608845,2890240.799999999813735,2711646.390000000130385,11670119.089999999850988
FS( 84 ),3198122.580000000074506,2848541.149999999906868,2881413.200000000186265,2719609.930000000167638,11647686.859999999403954
FS( 85 ),3176180.080000000074506,2851436.379999999888241,2875173.000000000000000,2724204.279999999795109,11626993.740000000223517
FS( 86 ),3195313.939999999944121,2852327.219999999739230,2878064.800000000279397,2727879.760000000242144,11653585.720000000670552
FS( 87 ),3190398.819999999832362,2852772.640000000130385,2884457.199999999720603,2724816.859999999869615,11652445.519999999552965
FS( 88 ),3169860.639999999664724,2853886.189999999478459,2890393.000000000000000,2729411.209999999962747,11643551.039999999105930
FS( 89 ),3137034.659999999683350,2850322.830000000074506,2910331.200000000186265,2748401.189999999944121,11646089.880000000819564
FS( 90 ),3143178.560000000055879,2842082.560000000055879,2915049.400000000372529,2760040.209999999962747,11660350.730000000447035
FS( 91 ),3137561.279999999795109,2846314.049999999813735,2896937.600000000093132,2742887.969999999739230,11623700.899999998509884
FS( 92 ),3137210.200000000186265,2848095.729999999981374,2910179.000000000000000,2754220.700000000186265,11649705.629999998956919
FS( 93 ),3128082.119999999646097,2850322.830000000074506,2896633.200000000186265,2757896.180000000167638,11632934.329999998211861
FS( 94 ),3161610.259999999776483,2865021.689999999478459,2927834.200000000186265,2764021.979999999981374,11718488.129999998956919
FS( 95 ),3149146.919999999459833,2868139.629999999888241,2937727.199999999720603,2731555.240000000223517,11686568.989999998360872
FS( 96 ),3088936.700000000186265,2862349.170000000391155,2924333.600000000093132,2697250.760000000242144,11572870.230000000447035
FS( 97 ),3106841.779999999795109,2875266.350000000093132,2925703.399999999906868,2711340.100000000093132,11619151.629999998956919
FS( 98 ),3111756.899999999906868,2873039.250000000000000,2924485.799999999813735,2721753.959999999962747,11631035.910000000149012
FS( 99 ),3086479.139999999664724,2880611.390000000130385,2914897.199999999720603,2731861.529999999795109,11613849.259999997913837
FS( 100 ),3091394.259999999776483,2883952.040000000037253,2898459.600000000093132,2724510.570000000298023,11598316.470000000670552
FS( 101 ),3113512.300000000279397,2883061.199999999720603,2906982.800000000279397,2729717.500000000000000,11633273.800000000745058
FS( 102 ),3118251.879999999888241,2869475.890000000130385,2902264.600000000093132,2731555.240000000223517,11621547.609999999403954
FS( 103 ),3124395.779999999795109,2880165.969999999739230,2911396.600000000093132,2726348.310000000055879,11642306.660000000149012
FS( 104 ),3104735.300000000279397,2886624.560000000521541,2912157.600000000093132,2722060.250000000000000,11625577.710000000894070
FS( 105 ),3101048.959999999962747,2886624.560000000521541,2902873.399999999906868,2737068.459999999962747,11627615.379999998956919
FS( 106 ),3137034.659999999683350,2879497.839999999850988,2894806.799999999813735,2719303.640000000130385,11630642.940000001341105
FS( 107 ),3108597.180000000167638,2904441.359999999869615,2895567.800000000279397,2726960.890000000130385,11635567.230000000447035
FS( 108 ),3113687.839999999850988,2898650.899999999906868,2890240.799999999813735,2728798.630000000353903,11631378.169999999925494
FS( 109 ),3139667.759999999776483,2894419.410000000149012,2891762.800000000279397,2718078.479999999981374,11643928.450000001117587
FS( 110 ),3117023.100000000093132,2894864.829999999608845,2887501.200000000186265,2721753.959999999962747,11621143.089999999850988
FS( 111 ),3134752.639999999664724,2922035.449999999720603,2892980.399999999906868,2721447.669999999925494,11671216.160000000149012
FS( 112 ),3090516.560000000055879,2923371.709999999962747,2887349.000000000000000,2716240.740000000223517,11617478.009999999776483
FS( 113 ),3082968.339999999850988,2912236.209999999962747,2871368.000000000000000,2722060.250000000000000,11588632.800000000745058
FS( 114 ),3142651.939999999944121,2925376.100000000093132,2897394.200000000186265,2750851.510000000242144,11716273.750000000000000
FS( 115 ),3122113.759999999776483,2946533.550000000279397,2895263.399999999906868,2748401.189999999944121,11712311.900000000372529
FS( 116 ),3131768.459999999962747,2954105.689999999478459,2889327.600000000093132,2749013.770000000018626,11724215.519999999552965
FS( 117 ),3147567.060000000055879,2968136.420000000391155,2909570.199999999720603,2791894.370000000111759,11817168.050000000745058
FS( 118 ),3166525.379999999888241,2971254.359999999869615,2914745.000000000000000,2791894.370000000111759,11844419.109999999403954
FS( 119 ),3196016.100000000093132,2989516.579999999608845,2956295.599999999627471,2813334.669999999925494,11955162.949999999254942
FS( 120 ),3221469.399999999906868,3155880.949999999720603,2969993.600000000093132,2821298.209999999962747,12168642.160000000149012
FS( 121 ),3189872.200000000186265,3136727.890000000130385,2968015.000000000000000,2812415.799999999813735,12107030.890000000596046
FS( 122 ),3216378.739999999757856,3137396.020000000018626,2984909.200000000186265,2805677.419999999925494,12144361.380000000819564
FS( 123 ),3244640.680000000167638,3116461.280000000260770,2980647.600000000093132,2794038.399999999906868,12135787.960000000894070
FS( 124 ),3201808.919999999459833,3143631.899999999906868,2965123.200000000186265,2795263.560000000055879,12105827.580000000074506
FS( 125 ),3220240.619999999646097,3145413.579999999608845,2991301.600000000093132,2834468.680000000167638,12191424.479999998584390
FS( 126 ),3219362.919999999459833,3176370.270000000018626,3008043.600000000093132,2831405.779999999795109,12235182.569999998435378
FS( 127 ),3213745.639999999664724,3194855.199999999720603,3036657.199999999720603,2836919.000000000000000,12282177.039999999105930
FS( 128 ),3247800.399999999906868,3206213.410000000149012,3034983.000000000000000,2820685.630000000353903,12309682.440000001341105
FS( 129 ),3265529.939999999944121,3212449.290000000037253,3023568.000000000000000,2815478.700000000186265,12317025.929999999701977
FS( 130 ),3281153.000000000000000,3215121.810000000521541,3013066.200000000186265,2817929.020000000018626,12327270.030000001192093
FS( 131 ),3215676.580000000074506,3218685.170000000391155,2992975.799999999813735,2825586.270000000018626,12252923.820000000298023
FS( 132 ),3229017.619999999646097,3211781.160000000149012,2994650.000000000000000,2820991.919999999925494,12256440.699999999254942
FS( 133 ),3216905.359999999869615,3237392.810000000521541,2991910.399999999906868,2840288.189999999944121,12286496.759999999776483
FS( 134 ),3201808.919999999459833,3257882.129999999888241,3008043.600000000093132,2855602.689999999944121,12323337.339999997988343
FS( 135 ),3207250.659999999683350,3280375.839999999850988,3012305.199999999720603,2853152.370000000111759,12353084.070000000298023
FS( 136 ),3138438.979999999981374,3260777.359999999869615,2965579.800000000279397,2810578.060000000055879,12175374.200000001117587
FS( 137 ),3114214.459999999962747,3274139.959999999962747,2971667.800000000279397,2809046.609999999869615,12169068.830000000074506
FS( 138 ),3173195.899999999906868,3299528.899999999906868,2980191.000000000000000,2832630.939999999944121,12285546.740000000223517
FS( 139 ),3224278.039999999571592,3300419.739999999757856,3021437.199999999720603,2858053.010000000242144,12404187.989999998360872
FS( 140 ),3221118.319999999832362,3292179.469999999739230,3009565.599999999627471,2874898.959999999962747,12397762.349999997764826
FS( 141 ),3252013.359999999869615,3329594.750000000000000,3005912.800000000279397,2903996.510000000242144,12491517.419999999925494
FS( 142 ),3283961.639999999664724,3335830.629999999888241,3037113.799999999813735,2911041.180000000167638,12567947.250000000000000
FS( 143 ),3275535.719999999739230,3337612.310000000521541,3054312.399999999906868,2899708.450000000186265,12567168.879999998956919
FS( 144 ),3280626.379999999888241,3339171.280000000260770,3081251.799999999813735,2901239.899999999906868,12602289.360000001266599
FS( 145 ),3293791.879999999888241,3360551.439999999478459,3112148.399999999906868,2916860.689999999944121,12683352.409999998286366
FS( 146 ),3288350.139999999664724,3393957.939999999478459,3110322.000000000000000,2922067.620000000111759,12714697.699999999254942
FS( 147 ),3339432.279999999795109,3424023.790000000037253,3146089.000000000000000,2945039.370000000111759,12854584.440000001341105
FS( 148 ),3316963.159999999683350,3402866.339999999850988,3138783.399999999906868,2957290.969999999739230,12815903.870000001043081
FS( 149 ),3278344.359999999869615,3368123.579999999608845,3126455.199999999720603,2934012.930000000167638,12706936.069999998435378
FS( 150 ),3302042.259999999776483,3383935.989999999757856,3120367.199999999720603,2943201.630000000353903,12749547.080000000074506
FS( 151 ),3334166.080000000074506,3372577.780000000260770,3134521.799999999813735,2943201.630000000353903,12784467.290000000968575
FS( 152 ),3335921.479999999981374,3373691.329999999608845,3149589.600000000093132,2896339.260000000242144,12755541.669999999925494
FS( 153 ),3335394.859999999869615,3306655.620000000111759,3156590.799999999813735,2863872.520000000018626,12662513.800000000745058
FS( 154 ),3354528.719999999739230,3336721.469999999739230,3182769.200000000186265,2912266.339999999850988,12786285.730000000447035
FS( 155 ),3377173.379999999888241,3355874.530000000260770,3196467.199999999720603,2919617.299999999813735,12849132.410000000149012
FS( 156 ),3431064.159999999683350,3366787.319999999832362,3215948.799999999813735,2884393.950000000186265,12898194.230000000447035
FS( 157 ),3448442.619999999646097,3385049.540000000037253,3245627.800000000279397,2884393.950000000186265,12963513.910000000149012
FS( 158 ),3494785.180000000167638,3410661.189999999478459,3247454.200000000186265,2903383.930000000167638,13056284.500000000000000
FS( 159 ),3481619.680000000167638,3431373.219999999739230,3247454.200000000186265,2890826.040000000037253,13051273.140000000596046
FS( 160 ),3496365.039999999571592,3423801.079999999608845,3239844.200000000186265,2895726.680000000167638,13055737.000000000000000
FS( 161 ),3501104.619999999646097,3447631.050000000279397,3230103.399999999906868,2877655.570000000298023,13056494.640000000596046
FS( 162 ),3550080.279999999795109,3444067.689999999478459,3240453.000000000000000,2927580.839999999850988,13162181.809999998658895
FS( 163 ),3510583.779999999795109,3428923.410000000149012,3236039.200000000186265,2916554.399999999906868,13092100.790000000968575
FS( 164 ),3491449.919999999459833,3423578.370000000111759,3192966.600000000093132,2906753.120000000111759,13014748.009999997913837
FS( 165 ),3504264.339999999850988,3436495.550000000279397,3205751.399999999906868,2947489.689999999944121,13094000.980000000447035
FS( 166 ),3466347.700000000186265,3410438.479999999981374,3163592.000000000000000,2892051.200000000186265,12932429.379999998956919
FS( 167 ),3471438.359999999869615,3411106.609999999869615,3168766.799999999813735,2872448.640000000130385,12923760.410000000149012
FS( 168 ),3486183.719999999739230,3396407.750000000000000,3193727.600000000093132,2859278.169999999925494,12935597.240000000223517
FS( 169 ),3542707.600000000093132,3409102.219999999739230,3192662.199999999720603,2879493.310000000055879,13023965.330000000074506
FS( 170 ),3536914.779999999795109,3409547.640000000130385,3166179.400000000372529,2856215.270000000018626,12968857.089999999850988
FS( 171 ),3552537.839999999850988,3480369.420000000391155,3190074.800000000279397,2876736.700000000186265,13099718.760000001639128
FS( 172 ),3580448.700000000186265,3463666.170000000391155,3203772.800000000279397,2912572.630000000353903,13160460.300000002607703
FS( 173 ),3620998.439999999944121,3450080.859999999869615,3191140.199999999720603,2922373.909999999683350,13184593.410000000149012
FS( 174 ),3623982.619999999646097,3487273.430000000167638,3216101.000000000000000,2945958.240000000223517,13273315.290000000968575
FS( 175 ),3620296.279999999795109,3452976.089999999850988,3212904.800000000279397,2938607.279999999795109,13224784.449999999254942
FS( 176 ),3660319.399999999906868,3458321.129999999888241,3223254.400000000372529,2968929.990000000223517,13310824.919999999925494
FS( 177 ),3668920.859999999869615,3457875.709999999962747,3221884.600000000093132,2965867.089999999850988,13314548.259999999776483
FS( 178 ),3655579.819999999832362,3428923.410000000149012,3216253.200000000186265,2988838.839999999850988,13289595.269999999552965
FS( 179 ),3701922.379999999888241,3427364.439999999478459,3228277.000000000000000,3009360.270000000018626,13366924.089999999850988
FS( 180 ),3691389.979999999981374,3434491.160000000149012,3233604.000000000000000,3005072.209999999962747,13364557.350000001490116
FS( 181 ),3724040.419999999459833,3428032.569999999832362,3213970.199999999720603,3050709.419999999925494,13416752.609999999403954
FS( 182 ),3724742.580000000074506,3381931.600000000093132,3196315.000000000000000,3074293.750000000000000,13377282.929999999701977
FS( 183 ),3729657.700000000186265,3542728.219999999739230,3034830.799999999813735,3062654.729999999981374,13369871.449999999254942
FS( 184 ),4098116.159999999683350,3485714.459999999962747,3029351.600000000093132,3088995.669999999925494,13702177.889999998733401
FS( 185 ),4230648.859999999403954,3495513.699999999720603,3044876.000000000000000,3049790.549999999813735,13820829.109999999403954
FS( 186 ),4235388.439999999478459,3471015.600000000093132,3039853.399999999906868,3036926.370000000111759,13783183.809999998658895
FS( 187 ),4256277.699999999254942,3455203.189999999478459,3061922.399999999906868,3049484.260000000242144,13822887.549999998882413
FS( 188 ),4203264.619999999180436,3430705.089999999850988,3092514.600000000093132,3089608.250000000000000,13816092.559999998658895
FS( 189 ),4177109.159999999683350,3487496.140000000130385,3126455.199999999720603,3102166.140000000130385,13893226.640000000596046
FS( 190 ),4182375.359999999869615,3445849.370000000111759,3160091.399999999906868,3081032.130000000353903,13869348.260000001639128
FS( 191 ),4172896.200000000186265,3425805.469999999739230,3160548.000000000000000,3090220.830000000074506,13849470.500000000000000
FS( 192 ),4217132.279999999329448,3451417.120000000111759,3157351.799999999813735,3108598.229999999981374,13934499.429999999701977
FS( 193 ),4204317.859999999403954,3450303.569999999832362,3141979.600000000093132,3102166.140000000130385,13898767.169999999925494
FS( 194 ),4113212.600000000093132,3450303.569999999832362,3142740.599999999627471,3092671.149999999906868,13798927.919999999925494
FS( 195 ),4088110.379999999888241,3488164.270000000018626,3138935.599999999627471,3047340.229999999981374,13762550.480000000447035
FS( 196 ),4123218.379999999888241,3503308.550000000279397,3135130.599999999627471,3065717.630000000353903,13827375.160000000149012
FS( 197 ),4163065.959999999962747,3502417.709999999962747,3156286.399999999906868,3120237.250000000000000,13942007.320000000298023
FS( 198 ),4198525.039999999105930,3510435.270000000018626,3153394.600000000093132,3143515.290000000037253,14005870.199999999254942
FS( 199 ),4170789.719999999739230,3538942.149999999906868,3164657.399999999906868,3164649.299999999813735,14039038.570000000298023
FS( 200 ),4135681.719999999739230,3516448.439999999478459,3125542.000000000000000,3129119.659999999683350,13906791.820000000298023
FS( 201 ),4138841.439999999944121,3513553.209999999962747,3097841.600000000093132,3139839.810000000055879,13890076.060000000521541
FS( 202 ),4137261.580000000074506,3526915.810000000521541,3113366.000000000000000,3161586.399999999906868,13939129.790000000968575
FS( 203 ),4208706.359999999403954,3555422.689999999478459,3127216.200000000186265,3187621.049999999813735,14078966.300000000745058
FS( 204 ),4179566.719999999739230,3536937.760000000242144,3084752.399999999906868,3160361.240000000223517,13961618.120000001043081
FS( 205 ),4190976.819999999832362,3528029.359999999869615,3076381.399999999906868,3161586.399999999906868,13956973.980000000447035
FS( 206 ),4140947.919999999459833,3537160.469999999739230,3076533.600000000093132,3165568.169999999925494,13920210.159999998286366
FS( 207 ),4163592.580000000074506,3556090.819999999832362,3081556.200000000186265,3178738.640000000130385,13979978.240000002086163
FS( 208 ),4221696.320000000298023,3549632.229999999981374,3088557.399999999906868,3178432.350000000093132,14038318.300000000745058
FS( 209 ),4221169.699999999254942,3552972.879999999888241,3100276.799999999813735,3177207.189999999944121,14051626.569999998435378
FS( 210 ),4207126.500000000000000,3562772.120000000111759,3109865.399999999906868,3170775.100000000093132,14050539.119999999180436
FS( 211 ),4218887.679999999701977,3559208.760000000242144,3098298.200000000186265,3182414.120000000111759,14058808.760000001639128
FS( 212 ),4160432.859999999869615,3543396.350000000093132,3059030.599999999627471,3155154.310000000055879,13918014.119999999180436
FS( 213 ),4118654.339999999850988,3523797.870000000111759,3075316.000000000000000,3160361.240000000223517,13878129.450000001117587
FS( 214 ),4148320.600000000093132,3561213.149999999906868,3111996.200000000186265,3202629.260000000242144,14024159.209999999031425
FS( 215 ),4191678.979999999981374,3556981.660000000149012,3130716.799999999813735,3198647.490000000223517,14078024.930000001564622
FS( 216 ),4223451.720000000670552,3597514.879999999888241,3189618.200000000186265,3251329.370000000111759,14261914.170000001788139
FS( 217 ),4223276.179999999701977,3481705.680000000167638,3190835.799999999813735,3253167.109999999869615,14148984.769999999552965
FS( 218 ),4246974.080000000074506,3496627.250000000000000,3188552.800000000279397,3241528.089999999850988,14173682.220000000670552
FS( 219 ),4304902.279999999329448,3496627.250000000000000,3218079.600000000093132,3249185.339999999850988,14268794.469999998807907
FS( 220 ),4371080.859999999403954,3494845.569999999832362,3247302.000000000000000,3225294.719999999739230,14338523.149999998509884
FS( 221 ),4442701.179999999701977,3489500.530000000260770,3253542.199999999720603,3210899.089999999850988,14396643.000000000000000
FS( 222 ),4431817.699999999254942,3506203.780000000260770,3250498.200000000186265,3228663.909999999683350,14417183.589999999850988
FS( 223 ),4484479.699999999254942,3560767.729999999981374,3204077.199999999720603,3228663.909999999683350,14477988.539999999105930
FS( 224 ),4494661.019999999552965,3541837.379999999888241,3203011.799999999813735,3225601.010000000242144,14465111.209999999031425
FS( 225 ),4501858.160000000149012,3539164.859999999869615,3207882.199999999720603,3233258.260000000242144,14482163.479999998584390
