代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13974512.019999999552965
真實報酬,3974512.019999999552965

夏普值報酬,0.388751202000000
夏普值風險,0.105470261671436
夏普值,3.685884493309109

二次趨勢線,42.788741402639424 x^2 + 5501.450999108468750 x + 10000000.000000000000000
二次平均預期報酬,16284.213832573605032
風險,187155.687295682990225
二次平均趨勢值,0.087008917911463
一次趨勢線,13572.445446026180434 x + 10000000.000000000000000
一次預期報酬,13572.445446026180434
一次風險,356047.515379543707240
一次趨勢值,0.038119758907903
找到最佳解世代,1769
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](1),MSFT[18](2),UNH[23](5),
FS( 14 ),2514950.319999999832362,2389375.850000000558794,2485674.870000000111759,2460257.500000000000000,9850258.539999999105930
FS( 15 ),2542181.259999999776483,2376503.900000000372529,2500493.969999999739230,2478047.000000000000000,9897226.129999998956919
FS( 16 ),2574484.629999999888241,2380048.350000000093132,2471349.740000000223517,2468205.999999999534339,9894088.720000000670552
FS( 17 ),2613729.220000000204891,2378555.950000000186265,2548409.060000000055879,2509273.250000000000000,10049967.480000000447035
FS( 18 ),2659648.060000000055879,2403926.750000000465661,2574589.469999999739230,2524980.999999999534339,10163145.279999999329448
FS( 19 ),2680738.689999999944121,2412321.500000000000000,2563228.160000000149012,2516654.000000000000000,10172942.349999999627471
FS( 20 ),2679136.869999999646097,2410642.550000000279397,2584468.870000000111759,2535957.500000000000000,10210205.789999999105930
FS( 21 ),2666055.339999999850988,2353371.700000000186265,2618058.830000000074506,2529712.249999999534339,10167198.119999999180436
FS( 22 ),2628679.539999999571592,2358222.000000000000000,2610649.280000000260770,2545987.750000000000000,10143538.570000000298023
FS( 23 ),2608923.759999999776483,2366430.200000000186265,2592372.390000000130385,2574564.500000000000000,10142290.849999999627471
FS( 24 ),2614263.160000000149012,2376317.350000000093132,2558288.459999999962747,2589704.500000000000000,10138573.469999998807907
FS( 25 ),2633218.029999999795109,2460637.950000000186265,2575083.440000000409782,2614496.250000000000000,10283435.670000001788139
FS( 26 ),2643896.830000000074506,2461197.600000000093132,2573601.530000000260770,2591597.000000000000000,10270292.960000000894070
FS( 27 ),2641494.100000000093132,2481158.450000000186265,2570637.709999999962747,2657077.500000000000000,10350367.760000001639128
FS( 28 ),2660448.970000000204891,2483023.950000000186265,2549890.969999999739230,2662376.500000000000000,10355740.390000000596046
FS( 29 ),2638557.429999999701977,2446460.149999999906868,2542975.390000000130385,2635124.500000000000000,10263117.470000000670552
FS( 30 ),2598778.899999999906868,2423701.049999999813735,2476783.410000000149012,2613360.750000000000000,10112624.109999999403954
FS( 31 ),2601982.539999999571592,2434520.950000000186265,2461470.339999999850988,2609197.250000000000000,10107171.080000000074506
FS( 32 ),2593439.500000000000000,2428178.250000000000000,2454554.759999999776483,2597653.000000000000000,10073825.509999999776483
FS( 33 ),2604385.270000000018626,2413440.800000000279397,2489132.660000000149012,2624148.000000000000000,10131106.730000000447035
FS( 34 ),2545117.929999999701977,2421835.550000000279397,2476289.440000000409782,2605790.750000000000000,10049033.670000001788139
FS( 35 ),2538977.619999999646097,2476494.700000000186265,2473325.620000000111759,2621498.500000000000000,10110296.440000001341105
FS( 36 ),2560602.189999999944121,2453549.050000000279397,2528650.259999999776483,2615253.250000000000000,10158054.750000000000000
FS( 37 ),2550991.270000000018626,2458212.800000000279397,2518770.860000000335276,2609765.000000000000000,10137739.929999999701977
FS( 38 ),2565674.619999999646097,2491418.700000000186265,2564216.100000000093132,2634178.250000000000000,10255487.669999999925494
FS( 39 ),2493592.720000000204891,2360274.050000000279397,2461470.339999999850988,2598220.750000000000000,9913557.859999999403954
FS( 40 ),2457284.800000000279397,2289011.950000000186265,2392314.540000000037253,2594814.250000000465661,9733425.540000000968575
FS( 41 ),2498665.149999999906868,2311211.400000000372529,2442205.509999999776483,2625094.250000000000000,9877176.310000000521541
FS( 42 ),2520289.720000000204891,2369041.899999999906868,2496542.209999999962747,2659348.500000000000000,10045222.330000000074506
FS( 43 ),2552326.119999999646097,2422768.300000000279397,2527662.320000000298023,2672217.500000000000000,10174974.240000000223517
FS( 44 ),2560068.250000000000000,2419410.400000000372529,2527168.350000000093132,2665783.000000000465661,10172430.000000000000000
FS( 45 ),2536040.949999999720603,2368668.800000000279397,2527662.320000000298023,2679030.500000000000000,10111402.570000000298023
FS( 46 ),2550457.330000000074506,2368482.250000000000000,2538035.690000000409782,2694549.000000000000000,10151524.269999999552965
FS( 47 ),2561403.100000000093132,2372399.800000000279397,2538035.690000000409782,2664647.500000000000000,10136486.089999999850988
FS( 48 ),2581158.879999999888241,2426872.400000000372529,2583480.929999999701977,2673542.250000000000000,10265054.460000000894070
FS( 49 ),2589167.979999999981374,2463249.649999999906868,2597806.060000000055879,2655563.500000000000000,10305787.189999999478459
FS( 50 ),2600914.660000000149012,2440304.000000000000000,2628432.200000000186265,2646858.000000000465661,10316508.860000001266599
FS( 51 ),2586231.310000000055879,2427245.500000000465661,2643251.299999999813735,2677516.500000000000000,10334244.609999999403954
FS( 52 ),2637489.550000000279397,2454108.700000000186265,2654612.610000000335276,2665404.500000000000000,10411615.359999999403954
FS( 53 ),2637222.580000000074506,2469778.899999999906868,2652636.730000000447035,2674677.750000000465661,10434315.960000000894070
FS( 54 ),2665254.429999999701977,2489180.100000000093132,2665479.950000000186265,2663701.250000000000000,10483615.730000000447035
FS( 55 ),2666322.310000000055879,2512125.750000000000000,2622504.560000000055879,2698523.250000000000000,10499475.870000001043081
FS( 56 ),2668725.039999999571592,2513245.050000000279397,2761804.100000000093132,2706661.000000000000000,10650435.189999999478459
FS( 57 ),2654575.629999999888241,2491045.600000000093132,2756370.429999999701977,2703822.250000000000000,10605813.910000000149012
FS( 58 ),2634018.939999999944121,2489926.300000000279397,2794406.120000000111759,2719340.750000000000000,10637692.109999999403954
FS( 59 ),2598778.899999999906868,2480039.150000000372529,2802309.640000000130385,2682247.750000000000000,10563375.440000001341105
FS( 60 ),2580891.910000000149012,2515670.200000000186265,2803791.549999999813735,2681680.000000000000000,10582033.660000000149012
FS( 61 ),2748549.069999999832362,2536377.250000000465661,2775635.259999999776483,2681301.500000000000000,10741863.080000000074506
FS( 62 ),2785657.899999999906868,2481345.000000000000000,2776623.200000000186265,2701740.500000000000000,10745366.600000001490116
FS( 63 ),2782187.289999999571592,2493470.750000000000000,2799839.790000000037253,2710067.500000000000000,10785565.329999998211861
FS( 64 ),2831309.770000000018626,2485076.000000000465661,2794900.089999999850988,2715934.250000000000000,10827220.109999999403954
FS( 65 ),2789395.479999999981374,2455041.450000000186265,2794900.089999999850988,2709499.749999999534339,10748836.769999999552965
FS( 66 ),2824368.550000000279397,2460078.300000000279397,2814164.919999999925494,2704011.500000000000000,10802623.269999999552965
FS( 67 ),2826504.310000000055879,2447766.000000000465661,2834911.660000000149012,2700794.250000000000000,10809976.220000000670552
FS( 68 ),2869486.479999999981374,2457466.600000000093132,2863067.950000000186265,2706093.250000000000000,10896114.280000001192093
FS( 69 ),2893246.810000000055879,2466047.900000000372529,2868007.650000000372529,2689817.750000000000000,10917120.110000001266599
FS( 70 ),2904993.489999999757856,2474069.550000000279397,2874923.230000000447035,2683951.000000000000000,10937937.269999999552965
FS( 71 ),2883368.919999999925494,2467726.850000000093132,2866031.770000000018626,2690953.250000000000000,10908080.789999999105930
FS( 72 ),2881500.129999999888241,2481158.450000000186265,2879862.929999999701977,2699280.250000000000000,10941801.759999999776483
FS( 73 ),2888174.379999999888241,2483023.950000000186265,2862080.009999999776483,2704011.500000000000000,10937289.839999999850988
FS( 74 ),2922880.479999999981374,2512125.750000000000000,2870971.469999999739230,2680166.000000000000000,10986143.699999999254942
FS( 75 ),2920210.779999999795109,2518468.450000000186265,2837381.509999999776483,2669946.500000000465661,10946007.240000000223517
FS( 76 ),2915939.259999999776483,2513245.050000000279397,2843309.150000000372529,2681869.250000000000000,10954362.710000000894070
FS( 77 ),2912201.679999999701977,2518468.450000000186265,2845285.030000000260770,2690574.749999999534339,10966529.910000000149012
FS( 78 ),2919676.839999999850988,2508021.650000000372529,2846272.969999999739230,2688114.500000000000000,10962085.960000000894070
FS( 79 ),2896984.390000000130385,2518281.900000000372529,2848742.820000000298023,2689060.750000000000000,10953069.860000001266599
FS( 80 ),2906061.369999999646097,2502425.149999999906868,2859610.160000000149012,2687546.750000000000000,10955643.429999999701977
FS( 81 ),2884169.830000000074506,2486568.399999999906868,2862573.980000000447035,2647047.250000000000000,10880359.460000000894070
FS( 82 ),2871889.209999999962747,2480785.350000000093132,2873441.320000000298023,2598410.000000000000000,10824525.880000000819564
FS( 83 ),2855070.100000000093132,2466794.100000000093132,2866525.740000000223517,2585541.000000000000000,10773930.940000001341105
FS( 84 ),2851866.459999999962747,2479292.950000000186265,2869983.530000000260770,2597842.250000000000000,10798985.190000001341105
FS( 85 ),2829974.919999999925494,2440304.000000000000000,2859610.160000000149012,2590272.250000000000000,10720161.330000000074506
FS( 86 ),2832644.619999999646097,2414933.200000000186265,2838369.450000000186265,2574753.750000000000000,10660701.019999999552965
FS( 87 ),2849463.729999999981374,2423327.950000000186265,2844791.060000000055879,2568887.000000000000000,10686469.740000000223517
FS( 88 ),2876160.729999999981374,2446833.250000000000000,2848742.820000000298023,2585351.750000000465661,10757088.550000000745058
FS( 89 ),2875359.819999999832362,2480971.900000000372529,2845779.000000000000000,2573239.750000000000000,10775350.470000000670552
FS( 90 ),2892979.839999999850988,2474442.649999999906868,2848248.850000000093132,2554693.250000000000000,10770364.589999999850988
FS( 91 ),2817160.359999999869615,2479292.950000000186265,2836887.540000000037253,2563209.500000000000000,10696550.350000001490116
FS( 92 ),2753354.529999999795109,2397770.600000000093132,2776623.200000000186265,2528766.000000000000000,10456514.330000000074506
FS( 93 ),2815024.600000000093132,2427432.050000000279397,2818116.679999999701977,2564912.750000000000000,10625486.080000000074506
FS( 94 ),2882034.069999999832362,2402061.250000000000000,2792430.240000000223517,2535011.250000000000000,10611536.810000000521541
FS( 95 ),2984016.609999999869615,2381727.300000000279397,2779093.049999999813735,2530090.750000000000000,10674927.710000000894070
FS( 96 ),3085465.209999999962747,2383592.800000000279397,2825032.259999999776483,2566426.750000000465661,10860517.019999999552965
FS( 97 ),3068112.160000000149012,2363631.950000000186265,2827996.080000000074506,2620552.250000000000000,10880292.440000001341105
FS( 98 ),3032338.179999999701977,2378182.850000000093132,2812189.040000000037253,2605601.500000000000000,10828311.570000000298023
FS( 99 ),3032071.209999999962747,2383965.900000000372529,2806261.400000000372529,2601627.250000000000000,10823925.760000001639128
FS( 100 ),3031537.270000000018626,2435640.250000000000000,2853188.549999999813735,2647804.250000000000000,10968170.320000000298023
FS( 101 ),3060103.060000000055879,2460078.300000000279397,2856152.370000000111759,2669189.500000000000000,11045523.230000000447035
FS( 102 ),3009111.789999999571592,2458399.350000000093132,2836887.540000000037253,2659159.250000000000000,10963557.929999999701977
FS( 103 ),3013650.279999999795109,2435826.800000000279397,2810707.129999999888241,2644208.500000000000000,10904392.710000000894070
FS( 104 ),3019256.649999999906868,2449818.050000000279397,2862573.980000000447035,2664458.250000000000000,10996106.929999999701977
FS( 105 ),3042216.069999999832362,2466794.100000000093132,2866525.740000000223517,2657266.750000000000000,11032802.660000000149012
FS( 106 ),2994962.379999999888241,2444408.100000000093132,2835405.629999999888241,2617713.500000000000000,10892489.609999999403954
FS( 107 ),3018188.770000000018626,2457653.150000000372529,2845285.030000000260770,2649507.500000000000000,10970634.449999999254942
FS( 108 ),3004039.359999999869615,2469592.350000000093132,2836393.570000000298023,2620930.750000000000000,10930956.030000001192093
FS( 109 ),3016853.919999999925494,2467167.200000000186265,2827502.110000000335276,2614685.500000000000000,10926208.730000000447035
FS( 110 ),3018188.770000000018626,2512125.750000000000000,2847260.910000000149012,2604087.500000000000000,10981662.929999999701977
FS( 111 ),3040614.250000000000000,2507648.549999999813735,2852200.610000000335276,2582702.250000000000000,10983165.660000000149012
FS( 112 ),3045152.739999999757856,2497015.200000000186265,2855164.429999999701977,2586298.000000000000000,10983630.369999999180436
FS( 113 ),3098279.770000000018626,2534138.650000000372529,2867019.709999999962747,2613171.500000000465661,11112609.629999998956919
FS( 114 ),3104954.020000000018626,2494963.150000000372529,2825032.259999999776483,2550151.250000000000000,10975100.679999999701977
FS( 115 ),3132718.899999999906868,2484143.250000000000000,2821080.500000000000000,2556775.000000000000000,10994717.650000000372529
FS( 116 ),3123107.979999999981374,2488247.350000000093132,2811695.070000000298023,2539553.250000000000000,10962603.650000000372529
FS( 117 ),3140461.029999999795109,2490485.950000000186265,2836393.570000000298023,2534443.499999999534339,11001784.050000000745058
FS( 118 ),3138325.270000000018626,2499813.450000000186265,2826514.169999999925494,2538417.750000000000000,11003070.640000000596046
FS( 119 ),3136189.509999999776483,2520333.950000000186265,2848248.850000000093132,2713663.249999999534339,11218435.560000000521541
FS( 120 ),3126845.560000000055879,2540481.350000000093132,2841827.240000000223517,2732209.750000000000000,11241363.900000000372529
FS( 121 ),3125243.739999999757856,2534138.650000000372529,2827996.080000000074506,2745457.250000000000000,11232835.720000000670552
FS( 122 ),3112963.119999999646097,2530221.100000000093132,2947042.850000000093132,2751134.750000000000000,11341361.820000000298023
FS( 123 ),3140994.970000000204891,2564173.200000000186265,3013234.830000000074506,2738265.750000000000000,11456668.750000000000000
FS( 124 ),3157013.169999999925494,2593461.550000000279397,3012740.860000000335276,2721044.000000000000000,11484259.580000001937151
FS( 125 ),3085999.149999999906868,2715092.149999999906868,2994957.940000000409782,2691710.250000000000000,11487759.490000000223517
FS( 126 ),3056365.479999999981374,2673491.500000000000000,2968777.530000000260770,2686222.000000000000000,11384856.510000001639128
FS( 127 ),3036075.759999999776483,2667895.000000000000000,2957416.219999999739230,2656131.250000000000000,11317518.230000000447035
FS( 128 ),3031270.300000000279397,2657075.100000000093132,2959886.070000000298023,2674677.750000000465661,11322909.220000000670552
FS( 129 ),2976541.449999999720603,2656702.000000000000000,2953958.429999999701977,2638720.250000000000000,11225922.129999998956919
FS( 130 ),2979211.149999999906868,2625734.700000000186265,2935681.540000000037253,2630204.000000000000000,11170831.390000000596046
FS( 131 ),2932224.429999999701977,2612116.550000000279397,2924814.200000000186265,2608440.250000000465661,11077595.429999999701977
FS( 132 ),2905794.399999999906868,2603162.149999999906868,2900115.700000000186265,2606169.250000000000000,11015241.500000000000000
FS( 133 ),2947708.689999999944121,2668268.100000000093132,2984584.570000000298023,2686032.750000000000000,11286594.109999999403954
FS( 134 ),2965061.739999999757856,2652784.450000000186265,2987054.419999999925494,2704390.000000000000000,11309290.609999999403954
FS( 135 ),2960256.279999999795109,2706697.400000000372529,2972235.320000000298023,2685465.000000000000000,11324654.000000000000000
FS( 136 ),2877762.550000000279397,2755200.400000000372529,2899621.730000000447035,2765517.750000000000000,11298102.430000001564622
FS( 137 ),2894848.629999999888241,2770684.050000000279397,2915428.770000000018626,2771005.999999999534339,11351967.449999999254942
FS( 138 ),2822232.789999999571592,2798106.900000000372529,2870971.469999999739230,2881906.500000000000000,11373217.660000000149012
FS( 139 ),2859608.589999999850988,2763035.500000000465661,2908019.219999999739230,2880960.250000000000000,11411623.559999998658895
FS( 140 ),2936495.949999999720603,2731881.650000000372529,2946548.879999999888241,2867145.000000000000000,11482071.480000000447035
FS( 141 ),2935428.069999999832362,2711174.600000000558794,2995451.910000000149012,2853329.750000000000000,11495384.330000000074506
FS( 142 ),2938364.739999999757856,2730202.700000000186265,2981126.780000000260770,2828348.750000000000000,11478042.969999998807907
FS( 143 ),2982948.729999999981374,2742701.550000000279397,3006319.250000000000000,2846516.750000000000000,11578486.280000001192093
FS( 144 ),2984817.520000000018626,2789339.050000000279397,3019162.469999999739230,2881528.000000000000000,11674847.039999999105930
FS( 145 ),2969600.229999999981374,2793443.150000000372529,2983596.629999999888241,2905752.000000000000000,11652392.010000001639128
FS( 146 ),2984550.550000000279397,2799039.649999999906868,2990018.240000000223517,2891936.750000000000000,11665545.190000001341105
FS( 147 ),2978677.209999999962747,2794002.800000000279397,2993970.000000000000000,2878689.250000000465661,11645339.259999999776483
FS( 148 ),2975740.539999999571592,2828887.649999999906868,3017680.560000000055879,2982398.250000000000000,11804707.000000000000000
FS( 149 ),2950645.359999999869615,2808740.250000000000000,2976681.049999999813735,2996213.500000000000000,11732280.160000000149012
FS( 150 ),2923147.449999999720603,2842878.899999999906868,2924320.230000000447035,3045797.000000000000000,11736143.580000000074506
FS( 151 ),2934093.220000000204891,2840267.200000000186265,2926790.080000000074506,3041822.750000000000000,11742973.250000000000000
FS( 152 ),2913002.589999999850988,2838588.250000000000000,2974705.169999999925494,2983155.250000000000000,11709451.259999999776483
FS( 153 ),2935428.069999999832362,2840080.650000000372529,2961367.980000000447035,2977288.500000000000000,11714165.200000001117587
FS( 154 ),2964260.830000000074506,2875525.149999999906868,3031511.719999999739230,3016652.500000000000000,11887950.199999999254942
FS( 155 ),2993360.560000000055879,2898843.899999999906868,3013728.799999999813735,3015138.500000000000000,11921071.759999999776483
FS( 156 ),3042216.069999999832362,2919364.400000000372529,3061149.919999999925494,3030278.500000000000000,12053008.890000000596046
FS( 157 ),3024863.020000000018626,2931863.250000000000000,3071029.320000000298023,3018355.750000000000000,12046111.339999999850988
FS( 158 ),3075320.350000000093132,2922535.750000000000000,3111040.890000000130385,3038227.000000000000000,12147123.990000000223517
FS( 159 ),3075320.350000000093132,2881681.300000000279397,3096221.790000000037253,3025358.000000000465661,12078581.440000001341105
FS( 160 ),3092139.459999999962747,2868622.800000000279397,3091282.089999999850988,3039741.000000000000000,12091785.349999999627471
FS( 161 ),3096144.009999999776483,2882240.950000000186265,3077450.929999999701977,3102572.000000000000000,12158407.890000000596046
FS( 162 ),3114031.000000000000000,2913581.350000000093132,3142654.969999999739230,3057152.000000000000000,12227419.320000000298023
FS( 163 ),3122307.069999999832362,2917498.899999999906868,3138703.209999999962747,3058098.250000000000000,12236607.429999999701977
FS( 164 ),3125243.739999999757856,2937832.850000000093132,3138703.209999999962747,3053177.750000000465661,12254957.550000000745058
FS( 165 ),3104687.050000000279397,2937459.750000000465661,3139197.179999999701977,3057909.000000000465661,12239252.980000000447035
FS( 166 ),3110827.359999999869615,2943989.000000000000000,3123884.110000000335276,3085350.250000000000000,12264050.719999998807907
FS( 167 ),3130583.140000000130385,2937832.850000000093132,3125859.990000000223517,3077969.499999999534339,12272245.480000000447035
FS( 168 ),3117234.640000000130385,2912088.950000000186265,3111534.860000000335276,3055259.500000000000000,12196117.949999999254942
FS( 169 ),3116433.729999999981374,2904440.400000000372529,3107089.129999999888241,3047689.500000000000000,12175652.760000001639128
FS( 170 ),3092139.459999999962747,2904253.850000000093132,3069547.410000000149012,3028764.500000000000000,12094705.220000000670552
FS( 171 ),3100949.470000000204891,2928318.800000000279397,3091282.089999999850988,3055448.750000000000000,12175999.109999999403954
FS( 172 ),3097478.859999999869615,2959099.550000000279397,3077450.929999999701977,3064154.250000000000000,12198183.589999999850988
FS( 173 ),3113230.089999999850988,2960778.500000000465661,3077450.929999999701977,3069264.000000000000000,12220723.519999999552965
FS( 174 ),3147936.189999999944121,2968053.950000000186265,3104125.310000000055879,3073616.750000000000000,12293732.200000001117587
FS( 175 ),3176768.949999999720603,2953503.050000000279397,3094245.910000000149012,3064911.250000000000000,12289429.160000000149012
FS( 176 ),3179972.589999999850988,2967494.300000000279397,3093257.969999999739230,3057909.000000000465661,12298633.859999999403954
FS( 177 ),3197058.669999999925494,2973650.450000000186265,3121414.259999999776483,3063775.749999999534339,12355899.129999998956919
FS( 178 ),3183710.169999999925494,2952943.399999999906868,3092764.000000000000000,3072670.500000000465661,12302088.070000000298023
FS( 179 ),3178103.800000000279397,2963017.100000000558794,3097209.730000000447035,3062072.500000000000000,12300403.130000000819564
FS( 180 ),3203732.919999999925494,2941377.299999999813735,3088812.240000000223517,3040498.000000000000000,12274420.460000000894070
FS( 181 ),3203465.949999999720603,2953503.050000000279397,3087330.330000000074506,2985237.000000000000000,12229536.330000000074506
FS( 182 ),3197859.580000000074506,2966188.450000000186265,3077450.929999999701977,3003405.000000000000000,12244903.960000000894070
FS( 183 ),3203732.919999999925494,2976075.600000000093132,3099185.610000000335276,3002648.000000000000000,12281642.129999998956919
FS( 184 ),3205868.679999999701977,2944548.650000000372529,3110052.950000000186265,3010407.250000000000000,12270877.530000001192093
FS( 185 ),3202932.009999999776483,2995103.700000000186265,3137715.270000000018626,3036145.250000000000000,12371896.230000000447035
FS( 186 ),3253923.279999999795109,3122144.250000000465661,3145618.790000000037253,3051474.500000000000000,12573160.820000000298023
FS( 187 ),3255525.100000000093132,3154977.050000000279397,3174763.020000000018626,3080051.250000000000000,12665316.419999999925494
FS( 188 ),3255792.069999999832362,3128486.950000000186265,3249352.490000000223517,3084593.250000000000000,12718224.759999999776483
FS( 189 ),3247249.029999999795109,3088751.800000000279397,3217244.439999999944121,3067560.750000000000000,12620806.019999999552965
FS( 190 ),3239773.869999999646097,3048643.549999999813735,3193533.880000000353903,3067750.000000000000000,12549701.300000000745058
FS( 191 ),3437331.669999999925494,3058903.800000000279397,3140679.089999999850988,3079294.250000000000000,12716208.810000000521541
FS( 192 ),3431458.330000000074506,3027003.750000000000000,3120426.320000000298023,3042390.500000000000000,12621278.900000000372529
FS( 193 ),3446141.680000000167638,3029615.450000000186265,3145618.790000000037253,3063397.250000000000000,12684773.170000001788139
FS( 194 ),3478445.049999999813735,3059090.350000000093132,3143642.910000000149012,3037659.250000000000000,12718837.560000000521541
FS( 195 ),3511549.330000000074506,3106100.950000000186265,3133269.540000000037253,3038037.750000000000000,12788957.570000000298023
FS( 196 ),3525164.799999999813735,3055919.000000000000000,3128823.810000000055879,3033874.250000000000000,12743781.859999999403954
FS( 197 ),3535309.659999999683350,3064686.850000000093132,3164389.650000000372529,3036334.500000000000000,12800720.660000000149012
FS( 198 ),3527300.560000000055879,3101064.100000000093132,3161425.830000000074506,3042201.250000000000000,12831991.740000000223517
FS( 199 ),3558536.049999999813735,3134643.100000000093132,3196991.669999999925494,3065668.250000000000000,12955839.070000000298023
FS( 200 ),3604721.860000000335276,3143410.950000000186265,3189582.119999999646097,3087242.750000000000000,13024957.679999999701977
FS( 201 ),3617803.389999999664724,3158334.950000000186265,3187606.240000000223517,3109195.750000000000000,13072940.330000000074506
FS( 202 ),3613531.869999999646097,3186504.000000000000000,3187112.270000000018626,3097083.750000000000000,13084231.889999998733401
FS( 203 ),3623409.759999999776483,3221948.500000000465661,3192051.970000000204891,2982966.000000000000000,13020376.230000000447035
FS( 204 ),3649572.819999999832362,3275115.250000000000000,3185630.359999999869615,3038794.750000000000000,13149113.179999999701977
FS( 205 ),3660518.590000000316650,3271384.250000000465661,3179208.750000000000000,3038794.750000000000000,13149906.339999999850988
FS( 206 ),3645034.330000000074506,3299366.750000000465661,3192051.970000000204891,3077212.500000000000000,13213665.550000000745058
FS( 207 ),3648504.939999999944121,3310186.650000000372529,3192051.970000000204891,3085918.000000000000000,13236661.560000000521541
FS( 208 ),3655713.129999999888241,3347310.100000000093132,3172787.140000000130385,3129824.000000000000000,13305634.370000001043081
FS( 209 ),3657314.950000000186265,3362234.100000000093132,3160437.890000000130385,3129824.000000000000000,13309810.940000001341105
FS( 210 ),3732066.549999999813735,3430884.500000000000000,3207859.009999999776483,3178272.000000000000000,13549082.059999998658895
FS( 211 ),3709908.040000000037253,3413721.900000000372529,3161919.800000000279397,3166349.250000000000000,13451898.990000000223517
FS( 212 ),3731799.580000000074506,3398611.350000000093132,3173775.080000000074506,3183192.500000000000000,13487378.509999999776483
FS( 213 ),3720052.899999999906868,3375292.600000000093132,3174763.020000000018626,3192655.000000000000000,13462763.519999999552965
FS( 214 ),3724858.360000000335276,3395626.550000000279397,3181184.630000000353903,3185085.000000000000000,13486754.540000000968575
FS( 215 ),3710975.919999999925494,3390403.150000000372529,3210328.859999999869615,3177704.250000000000000,13489412.179999999701977
FS( 216 ),3702432.879999999888241,3368576.800000000279397,3197485.640000000130385,3179596.750000000000000,13448092.070000000298023
FS( 217 ),3714713.499999999534339,3333691.950000000186265,3207365.040000000502914,3216879.000000000000000,13472649.490000000223517
FS( 218 ),3716315.319999999832362,3340221.200000000186265,3196497.699999999720603,3221231.750000000000000,13474265.969999998807907
FS( 219 ),3710708.950000000186265,3334251.600000000093132,3181678.600000000093132,3199468.000000000000000,13426107.150000000372529
FS( 220 ),3749953.540000000037253,3333878.500000000465661,3198473.580000000074506,3250944.000000000000000,13533249.620000001043081
FS( 221 ),3756093.850000000093132,3324177.900000000372529,3193039.910000000149012,3241860.000000000000000,13515171.660000000149012
FS( 222 ),3737405.950000000186265,3359808.950000000186265,3204401.220000000204891,3211580.000000000000000,13513196.120000001043081
FS( 223 ),3776650.540000000037253,3346563.899999999906868,3207365.040000000502914,3179407.500000000000000,13509986.980000000447035
FS( 224 ),3733401.399999999906868,3282577.250000000465661,3171799.199999999720603,3173730.000000000000000,13361507.849999999627471
FS( 225 ),3775582.659999999683350,3301605.350000000093132,3212304.740000000223517,3161050.250000000000000,13450543.000000000000000
