代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12901415.980000000447035
真實報酬,2901415.980000000447035

夏普值報酬,0.281441598000000
夏普值風險,0.091976943941280
夏普值,3.059914647519459

二次趨勢線,51.407244319119471 x^2 + -97.623111463774990 x + 10000000.000000000000000
二次平均預期報酬,12908.409701273450992
風險,307276.138028751942329
二次平均趨勢值,0.042009151065501
一次趨勢線,9637.585607773200536 x + 10000000.000000000000000
一次預期報酬,9637.585607773200536
一次風險,478496.023700510093477
一次趨勢值,0.020141412112978
找到最佳解世代,2124
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),MCD[15](1),VZ[26](7),
FS( 97 ),4386397.950000000186265,3691110.200000000186265,3046737.600000000093132,11124246.750000000000000
FS( 98 ),4509591.149999999441206,3726258.400000000372529,3016975.770000000018626,11252826.320000000298023
FS( 99 ),4583033.250000000000000,3732553.600000000558794,2993827.680000000167638,11309415.530000001192093
FS( 100 ),4560526.799999999813735,3725733.799999999813735,2982804.779999999795109,11269066.379999998956919
FS( 101 ),4433779.950000000186265,3700028.400000000372529,2962963.560000000055879,11096772.910000000149012
FS( 102 ),4426672.649999999441206,3690061.000000000465661,3001543.709999999962747,11118278.359999999403954
FS( 103 ),4546312.200000000186265,3751963.799999999813735,3011464.320000000298023,11309741.320000000298023
FS( 104 ),4418380.799999999813735,3703176.000000000465661,2978395.620000000111759,11099953.420000001788139
FS( 105 ),4507222.049999999813735,3746717.800000000279397,3018078.060000000055879,11272018.910000000149012
FS( 106 ),4376921.549999999813735,3705799.000000000000000,2962963.560000000055879,11045685.109999999403954
FS( 107 ),4331908.649999999441206,3706848.199999999720603,2955247.529999999795109,10994005.379999998956919
FS( 108 ),4167256.199999999720603,3641797.800000000279397,2886905.550000000279397,10695960.550000000745058
FS( 109 ),3990758.249999999534339,3567829.200000000186265,2905644.479999999981374,10464232.929999999701977
FS( 110 ),4297556.700000000186265,3702651.399999999906868,2948633.790000000037253,10948842.890000000596046
FS( 111 ),4341385.049999999813735,3697405.400000000372529,2926587.990000000223517,10965379.440000001341105
FS( 112 ),4434964.500000000000000,3707372.800000000279397,2957452.109999999869615,11099790.410000000149012
FS( 113 ),4372183.349999999627471,3698454.600000000093132,2956349.820000000298023,11026988.769999999552965
FS( 114 ),4295187.599999999627471,3650716.000000000465661,2938713.180000000167638,10884617.779999999329448
FS( 115 ),4302294.899999999441206,3679569.000000000000000,2954145.240000000223517,10936010.140000000596046
FS( 116 ),4270312.049999999813735,3673273.799999999813735,2928792.570000000298023,10872379.419999999925494
FS( 117 ),4202792.699999999254942,3640748.600000000558794,2938713.180000000167638,10782255.480000000447035
FS( 118 ),4023925.649999999906868,3549468.199999999720603,2860450.589999999850988,10433845.439999999478459
FS( 119 ),4100921.399999999441206,3559960.200000000186265,2881394.100000000093132,10542276.699999999254942
FS( 120 ),4175548.049999999813735,3549468.199999999720603,2832893.339999999850988,10557910.589999999850988
FS( 121 ),4149487.949999999720603,3558911.000000000465661,2824075.020000000018626,10532474.970000000670552
FS( 122 ),4130535.149999999441206,3462909.200000000186265,2775574.259999999776483,10369019.609999999403954
FS( 123 ),4286895.750000000000000,3525336.600000000093132,2842813.949999999720603,10655047.299999998882413
FS( 124 ),4347307.799999999813735,3508024.800000000279397,2836200.209999999962747,10691533.809999998658895
FS( 125 ),4413642.599999999627471,3481270.200000000186265,2804233.800000000279397,10699147.599999999627471
FS( 126 ),4466947.349999999627471,3555238.799999999813735,2842813.949999999720603,10865001.099999999627471
FS( 127 ),4452732.750000000000000,3559435.599999999627471,2848325.399999999906868,10860494.750000000000000
FS( 128 ),4331908.649999999441206,3499106.600000000093132,2804233.800000000279397,10635250.050000000745058
FS( 129 ),4246621.049999999813735,3501729.600000000093132,2791006.320000000298023,10539357.970000000670552
FS( 130 ),4219376.399999999441206,3587239.399999999906868,2852734.560000000055879,10659351.359999999403954
FS( 131 ),4115136.000000000000000,3580944.200000000186265,2862655.169999999925494,10558736.370000001043081
FS( 132 ),4239513.750000000000000,3639174.800000000279397,2921076.540000000037253,10799766.089999999850988
FS( 133 ),4290449.399999999441206,3648093.000000000465661,2943122.339999999850988,10881665.740000000223517
FS( 134 ),4303479.449999999254942,3635502.600000000093132,2950838.370000000111759,10889821.419999998062849
FS( 135 ),4394689.799999999813735,3693208.600000000558794,3000441.419999999925494,11088340.820000000298023
FS( 136 ),4522621.200000000186265,3687438.000000000465661,3007055.160000000149012,11217115.360000001266599
FS( 137 ),4600801.500000000000000,3674847.600000000093132,2998236.839999999850988,11273886.939999999478459
FS( 138 ),4637522.549999999813735,3665929.399999999906868,3001543.709999999962747,11304996.660000000149012
FS( 139 ),4572372.299999999813735,3668027.800000000279397,2994929.970000000204891,11235331.070000000298023
FS( 140 ),4633968.899999999441206,3600879.000000000000000,2994929.970000000204891,11229778.869999999180436
FS( 141 ),4585402.349999999627471,3600354.399999999906868,3022487.220000000204891,11208244.970000000670552
FS( 142 ),4552234.950000000186265,3553140.400000000372529,2985009.359999999869615,11090385.710000000894070
FS( 143 ),4513144.799999999813735,3536877.800000000279397,2942020.050000000279397,10992043.650000000372529
FS( 144 ),4540389.449999999254942,3532156.399999999906868,2958554.399999999906868,11031101.250000000000000
FS( 145 ),4335462.299999999813735,3486516.199999999720603,2949736.080000000074506,10771715.580000000074506
FS( 146 ),4256097.450000000186265,3455564.800000000279397,2888007.839999999850988,10599671.089999999850988
FS( 147 ),4205161.799999999813735,3499631.199999999720603,2899030.740000000223517,10603824.740000000223517
FS( 148 ),4179101.699999999720603,3469729.000000000000000,2955247.529999999795109,10604079.229999998584390
FS( 149 ),4207530.900000000372529,3468155.200000000186265,2933201.729999999981374,10608888.830000000074506
FS( 150 ),4376921.549999999813735,3531107.200000000186265,2923281.120000000111759,10831310.870000001043081
FS( 151 ),4367445.149999999441206,3620813.799999999813735,2951940.660000000149012,10940200.609999999403954
FS( 152 ),4393505.250000000000000,3631305.799999999813735,2937610.889999999664724,10962422.939999999478459
FS( 153 ),4354415.099999999627471,3669077.000000000000000,2919974.250000000000000,10943467.349999999627471
FS( 154 ),4260835.649999999441206,3716291.000000000465661,2964065.850000000093132,10941193.500000000000000
FS( 155 ),4276234.799999999813735,3719438.600000000558794,2958554.399999999906868,10954228.800000000745058
FS( 156 ),4254912.900000000372529,3741996.399999999906868,2954145.240000000223517,10951055.540000000968575
FS( 157 ),4228852.799999999813735,3669077.000000000000000,2942020.050000000279397,10839950.849999999627471
FS( 158 ),4155410.699999999720603,3667503.199999999720603,2945326.919999999925494,10768241.820000000298023
FS( 159 ),4262020.199999999254942,3717864.800000000279397,2939815.470000000204891,10919701.470000000670552
FS( 160 ),4302294.899999999441206,3677995.200000000186265,2923281.120000000111759,10903572.219999998807907
FS( 161 ),4382844.299999999813735,3745668.600000000558794,2976191.040000000037253,11104704.940000001341105
FS( 162 ),4398243.450000000186265,3666978.600000000558794,3088624.620000000111759,11153847.670000001788139
FS( 163 ),4387582.500000000000000,3717864.800000000279397,3117284.160000000149012,11222732.460000000894070
FS( 164 ),4469316.449999999254942,3693208.600000000558794,3151455.149999999906868,11313981.199999999254942
FS( 165 ),4416011.700000000186265,3660158.799999999813735,3186728.430000000167638,11262899.929999999701977
FS( 166 ),4367445.149999999441206,3639699.399999999906868,3183421.560000000055879,11190567.109999999403954
FS( 167 ),4353230.549999999813735,3658060.400000000372529,3203262.779999999795109,11214554.730000000447035
FS( 168 ),4431410.849999999627471,3685339.600000000093132,3258377.279999999795109,11375128.729999998584390
FS( 169 ),4432595.400000000372529,3695831.600000000093132,3256172.699999999720603,11384600.699999999254942
FS( 170 ),4450363.649999999441206,3708422.000000000000000,3240740.639999999664724,11399527.289999999105930
FS( 171 ),4429041.750000000000000,3695831.600000000093132,3257274.990000000223517,11382149.339999999850988
FS( 172 ),4401797.099999999627471,3763505.000000000000000,3257274.990000000223517,11422578.089999999850988
FS( 173 ),4429041.750000000000000,3825407.800000000279397,3291445.979999999981374,11545896.530000001192093
FS( 174 ),4389951.599999999627471,3821211.000000000465661,3309082.620000000111759,11520246.219999998807907
FS( 175 ),4233591.000000000000000,3754586.799999999813735,3258377.279999999795109,11246556.080000000074506
FS( 176 ),4260835.649999999441206,3780292.200000000186265,3342151.320000000298023,11383280.169999999925494
FS( 177 ),4215822.750000000000000,3771374.000000000000000,3310184.910000000149012,11297382.660000000149012
FS( 178 ),4190947.200000000186265,3766128.000000000465661,3302468.880000000353903,11259545.080000001937151
FS( 179 ),4264389.299999999813735,3841145.799999999813735,3325616.970000000204891,11431153.070000000298023
FS( 180 ),4282157.549999999813735,3842719.600000000093132,3323412.389999999664724,11448290.539999999105930
FS( 181 ),4228852.799999999813735,3828030.799999999813735,3264991.020000000018626,11321875.619999999180436
FS( 182 ),4224114.599999999627471,3833801.399999999906868,3237433.770000000018626,11295350.769999999552965
FS( 183 ),4158964.349999999627471,3847441.000000000465661,3241842.930000000167638,11248249.279999999329448
FS( 184 ),4060646.699999999720603,3814915.799999999813735,3248456.669999999925494,11124020.169999999925494
FS( 185 ),4110397.800000000279397,3839572.000000000000000,3269400.180000000167638,11219370.980000000447035
FS( 186 ),4066569.449999999720603,3837998.199999999720603,3251763.540000000037253,11156332.189999999478459
FS( 187 ),4089075.900000000372529,3881540.000000000000000,3289241.399999999906868,11259858.300000000745058
FS( 188 ),4103290.500000000000000,3815965.000000000000000,3245149.800000000279397,11164406.300000000745058
FS( 189 ),4113951.449999999254942,3832752.200000000186265,3255070.410000000149012,11201775.059999998658895
FS( 190 ),4235960.099999999627471,3910393.000000000465661,3335537.580000000074506,11481891.679999999701977
FS( 191 ),4266758.400000000372529,3935573.799999999813735,3319003.229999999981374,11521336.429999999701977
FS( 192 ),4379290.649999999441206,3939246.000000000465661,3328923.839999999850988,11647461.490000000223517
FS( 193 ),4362706.949999999254942,3976492.600000000093132,3331128.419999999925494,11670328.969999998807907
FS( 194 ),4449179.099999999627471,3991181.399999999906868,3357583.380000000353903,11797944.880000000819564
FS( 195 ),4451548.199999999254942,3901474.800000000279397,3399470.399999999906868,11752494.400000000372529
FS( 196 ),4457470.950000000186265,3935049.200000000186265,3397265.820000000298023,11789786.970000000670552
FS( 197 ),4519067.549999999813735,3911966.799999999813735,3406084.139999999664724,11837119.489999998360872
FS( 198 ),4535651.250000000000000,3878917.000000000000000,3407186.430000000167638,11821755.679999999701977
FS( 199 ),4572372.299999999813735,3919311.199999999720603,3438050.550000000279397,11929735.050000000745058
FS( 200 ),4680166.349999999627471,3924032.600000000093132,3463403.220000000204891,12067603.169999999925494
FS( 201 ),4660029.000000000000000,3898851.799999999813735,3492062.759999999776483,12050944.560000000521541
FS( 202 ),4792698.599999999627471,3940295.200000000186265,3537256.650000000372529,12270251.450000001117587
FS( 203 ),4802175.000000000000000,3961279.200000000186265,3562609.320000000298023,12326064.519999999552965
FS( 204 ),4869694.349999999627471,3941344.399999999906868,3570325.350000000093132,12381365.099999999627471
FS( 205 ),4888647.150000000372529,3915639.000000000000000,3546074.970000000204891,12350362.120000001043081
FS( 206 ),4946690.099999999627471,3939770.599999999627471,3597882.600000000093132,12484344.299999998882413
FS( 207 ),4926552.750000000000000,3921934.200000000186265,3622132.979999999981374,12470620.929999999701977
FS( 208 ),4854295.199999999254942,3915114.399999999906868,3606700.919999999925494,12376111.519999999552965
FS( 209 ),4862587.049999999813735,3905671.600000000093132,3600087.179999999701977,12368346.830000000074506
FS( 210 ),4802175.000000000000000,3908819.200000000186265,3592371.150000000372529,12303366.349999999627471
FS( 211 ),4780853.099999999627471,3930327.800000000279397,3625439.850000000093132,12336621.750000000000000
FS( 212 ),4715702.849999999627471,3931901.600000000093132,3640871.910000000149012,12288477.359999999403954
FS( 213 ),4889831.700000000186265,3977541.799999999813735,3700395.570000000298023,12567770.070000000298023
FS( 214 ),4877986.200000000186265,3955508.600000000558794,3665122.290000000037253,12498618.089999999850988
FS( 215 ),4894569.899999999441206,3979640.200000000186265,3629849.009999999776483,12504060.109999999403954
FS( 216 ),4976303.849999999627471,3992230.599999999627471,3618826.109999999869615,12587361.559999998658895
FS( 217 ),4997625.750000000000000,3965476.000000000465661,3640871.910000000149012,12603974.660000000149012
FS( 218 ),5052115.049999999813735,3964951.399999999906868,3586859.699999999720603,12603927.149999998509884
FS( 219 ),5079359.700000000186265,3973869.600000000093132,3550484.130000000353903,12603714.430000001564622
FS( 220 ),5116080.750000000000000,4041543.000000000465661,3575836.799999999813735,12733461.550000000745058
FS( 221 ),5325746.099999999627471,4064625.400000000372529,3574734.509999999776483,12965107.009999999776483
FS( 222 ),5381419.950000000186265,4056231.799999999813735,3592371.150000000372529,13030023.900000000372529
FS( 223 ),5236904.849999999627471,4038920.000000000000000,3544972.679999999701977,12820798.529999999329448
FS( 224 ),5254673.099999999627471,4060953.199999999720603,3597882.600000000093132,12913509.899999998509884
FS( 225 ),5238089.399999999441206,4114987.000000000000000,3584655.120000000577420,12937732.519999999552965
FS( 226 ),5202552.900000000372529,4120757.600000000093132,3537256.650000000372529,12860568.150000000372529
FS( 227 ),5226243.899999999441206,4128626.600000000093132,3565916.190000000409782,12920787.690000001341105
FS( 228 ),5213213.849999999627471,4131774.200000000186265,3582450.540000000037253,12927439.589999999850988
FS( 229 ),5209660.199999999254942,4064625.400000000372529,3583552.829999999608845,12857839.429999999701977
FS( 230 ),5165831.849999999627471,4064625.400000000372529,3572529.929999999701977,12802988.179999999701977
FS( 231 ),5093574.299999999813735,4079838.799999999813735,3580245.959999999497086,12753660.059999998658895
FS( 232 ),5146879.049999999813735,4085609.399999999906868,3571427.639999999664724,12803917.089999999850988
FS( 233 ),5234535.750000000000000,4112888.600000000558794,3615519.239999999757856,12962944.590000001713634
FS( 234 ),5293763.250000000000000,4118134.600000000093132,3636462.750000000465661,13048361.599999999627471
FS( 235 ),5386158.149999999441206,4153807.400000000372529,3694884.120000000577420,13234850.670000001788139
FS( 236 ),5366020.799999999813735,4160102.600000000093132,3684963.509999999776483,13211087.910000000149012
FS( 237 ),5392080.900000000372529,4160627.200000000186265,3656303.970000000204891,13209013.070000002160668
FS( 238 ),5348252.549999999813735,4149610.599999999627471,3638667.329999999608845,13136531.479999998584390
FS( 239 ),5381419.950000000186265,4170594.600000000093132,3621030.690000000409782,13173046.240000002086163
FS( 240 ),5358913.500000000000000,4181086.600000000093132,3596780.310000000521541,13136781.410000000149012
FS( 241 ),5212029.299999999813735,4136495.599999999627471,3589064.280000000260770,12937590.179999999701977
FS( 242 ),5195445.599999999627471,4148036.799999999813735,3612212.370000000577420,12955695.769999999552965
FS( 243 ),5103050.699999999254942,4061477.800000000279397,3548279.549999999813735,12712809.050000000745058
FS( 244 ),5085282.450000000186265,4111314.800000000279397,3564813.900000000372529,12761412.150000000372529
FS( 245 ),5219136.599999999627471,4145413.799999999813735,3598984.889999999664724,12963536.289999999105930
FS( 246 ),5190707.399999999441206,4177939.000000000000000,3592371.150000000372529,12961018.549999998882413
FS( 247 ),5303239.650000000372529,4171643.799999999813735,3582450.540000000037253,13057334.989999998360872
FS( 248 ),5223874.799999999813735,4144889.200000000186265,3570325.350000000093132,12939090.349999999627471
FS( 249 ),5326930.649999999441206,4169545.400000000372529,3565916.190000000409782,13062393.240000002086163
FS( 250 ),5330484.299999999813735,4120233.000000000465661,3550484.130000000353903,13001202.430000001564622
FS( 251 ),5362467.150000000372529,4105544.200000000186265,3516313.139999999664724,12984325.490000002086163
FS( 252 ),5265334.049999999813735,4107642.600000000093132,3528438.329999999608845,12901415.980000000447035
