代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13256323.570000000298023
真實報酬,3256323.570000000298023

夏普值報酬,0.316932357000000
夏普值風險,0.098869908567769
夏普值,3.205549206943613

二次趨勢線,61.893776801492436 x^2 + -1584.241855988615725 x + 10000000.000000000000000
二次平均預期報酬,14074.883674788976350
風險,305952.358708730200306
二次平均趨勢值,0.046003514188261
一次趨勢線,10136.846165068680421 x + 10000000.000000000000000
一次預期報酬,10136.846165068680421
一次風險,537247.135120271123014
一次趨勢值,0.018868125118619
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),CAT[3](2),KO[14](3),MCD[15](1),UNH[23](8),
FS( 33 ),1884855.519999999785796,1989752.600000000093132,1953716.839999999850988,2062439.719999999972060,2026006.709999999962747,9916771.390000000596046
FS( 34 ),1873079.379999999888241,1982237.840000000083819,1941795.420000000158325,2063395.429999999934807,2098318.049999999813735,9958826.119999999180436
FS( 35 ),1841676.339999999850988,1935441.379999999888241,1922861.400000000139698,2066581.130000000121072,2081191.679999999934807,9847751.929999999701977
FS( 36 ),1875696.300000000046566,1945688.780000000027940,1934081.559999999823049,2079005.360000000102445,2132570.789999999571592,9967042.789999999105930
FS( 37 ),1888126.669999999925494,1939881.920000000158325,1862553.039999999804422,2050971.199999999953434,2121787.520000000018626,9863320.349999999627471
FS( 38 ),1912333.179999999934807,1948763.000000000000000,1848527.839999999850988,2034086.989999999990687,2147794.229999999981374,9891505.240000000223517
FS( 39 ),1953549.669999999925494,1976089.400000000139698,1868163.120000000111759,2038228.399999999906868,2159211.809999999590218,9995242.399999998509884
FS( 40 ),1952241.209999999962747,1986336.800000000046566,1868864.379999999888241,2041095.529999999795109,2153503.020000000018626,10002040.939999999478459
FS( 41 ),1956166.589999999850988,2000683.160000000149012,1891304.699999999953434,2027078.450000000186265,2163017.669999999925494,10038250.570000000298023
FS( 42 ),1969251.189999999944121,1996584.200000000186265,1910238.719999999972060,2020707.050000000046566,2090072.020000000018626,9986853.179999999701977
FS( 43 ),2046450.330000000074506,2023227.439999999944121,1917952.580000000074506,2028352.729999999981374,2140182.509999999776483,10156165.589999999850988
FS( 44 ),2047758.790000000037253,2012296.879999999888241,1909537.459999999962747,2074545.380000000121072,2099586.669999999925494,10143725.179999999701977
FS( 45 ),2084395.669999999925494,2021519.540000000037253,1899719.820000000065193,2073908.239999999757856,2098318.049999999813735,10177861.320000000298023
FS( 46 ),2101405.649999999441206,2007856.340000000083819,1900421.080000000074506,2068811.119999999878928,2108467.009999999776483,10186961.199999999254942
FS( 47 ),2107293.719999999739230,2011955.300000000046566,1879383.280000000027940,2077412.509999999776483,2124959.069999999832362,10201003.879999998956919
FS( 48 ),2117761.399999999441206,2061825.979999999981374,1870968.159999999916181,2087606.750000000000000,2087534.779999999562278,10225697.069999998435378
FS( 49 ),2092246.429999999934807,2031425.360000000102445,1881487.059999999823049,2100349.550000000279397,2063431.000000000000000,10168939.400000000372529
FS( 50 ),2097480.270000000484288,2030742.200000000186265,1882889.580000000074506,2104809.529999999795109,2096415.119999999646097,10212336.699999999254942
FS( 51 ),2094863.350000000093132,2057043.860000000102445,1887798.400000000139698,2114685.199999999720603,2077385.819999999832362,10231776.630000000819564
FS( 52 ),2099442.959999999962747,2041672.760000000242144,1892005.959999999962747,2124242.300000000279397,2130667.859999999869615,10288031.839999999850988
FS( 53 ),2077199.139999999897555,2028009.560000000055879,1920056.359999999869615,2119463.750000000000000,2181412.659999999683350,10326141.470000000670552
FS( 54 ),2100751.419999999925494,2047821.200000000186265,1912342.500000000000000,2134755.110000000335276,2112272.869999999646097,10307943.099999999627471
FS( 55 ),2134117.149999999441206,2131849.879999999888241,1938990.379999999888241,2145586.489999999757856,2103392.529999999795109,10453936.429999997839332
FS( 56 ),2143930.600000000558794,2119894.580000000074506,1915147.539999999804422,2128065.140000000130385,2075482.889999999664724,10382520.750000000000000
FS( 57 ),2118415.629999999888241,2122627.220000000204891,1921458.879999999888241,2131250.840000000316650,2100855.289999999571592,10394607.859999999403954
FS( 58 ),2158323.660000000149012,2132874.620000000111759,1916550.059999999823049,2142719.360000000335276,2069774.100000000093132,10420241.800000000745058
FS( 59 ),2172062.490000000223517,2168398.939999999944121,1920757.620000000111759,2136666.529999999795109,2083094.610000000102445,10480980.189999999478459
FS( 60 ),2204119.759999999776483,2157468.379999999888241,1924263.920000000158325,2142082.219999999739230,2097049.429999999934807,10524983.709999999031425
FS( 61 ),2196269.000000000000000,2146879.400000000372529,1928471.479999999981374,2125516.580000000074506,2072311.339999999850988,10469447.800000000745058
FS( 62 ),2205428.219999999739230,2185819.520000000018626,1938990.379999999888241,2152913.600000000093132,2092609.260000000009313,10575760.980000000447035
FS( 63 ),2228980.500000000000000,2219977.520000000018626,1923562.659999999916181,2167249.250000000000000,2102123.909999999683350,10641893.839999999850988
FS( 64 ),2238793.950000000186265,2230224.920000000391155,1903927.379999999888241,2160240.709999999962747,2119250.279999999795109,10652437.240000000223517
FS( 65 ),2248607.399999999441206,2202215.359999999869615,1887097.139999999897555,2156736.439999999944121,2088803.399999999906868,10583459.740000000223517
FS( 66 ),2242719.330000000074506,2202556.940000000409782,1884993.359999999869615,2190504.860000000335276,2069139.789999999571592,10589914.280000001192093
FS( 67 ),2259729.309999999590218,2229541.759999999776483,1914446.280000000027940,2187956.300000000279397,2046304.629999999655411,10637978.279999999329448
FS( 68 ),2264308.919999999925494,2279412.440000000409782,1920056.359999999869615,2183177.750000000000000,2046304.629999999655411,10693260.099999999627471
FS( 69 ),2265617.379999999888241,2260967.120000000111759,1929172.739999999990687,2195601.979999999981374,2039961.529999999562278,10691320.750000000000000
FS( 70 ),2296366.190000000409782,2298199.340000000316650,1927068.959999999962747,2211530.479999999981374,1969553.119999999878928,10702718.089999999850988
FS( 71 ),2326460.770000000484288,2330307.859999999869615,1902524.859999999869615,2203247.660000000149012,1942912.099999999860302,10705453.250000000000000
FS( 72 ),2312067.709999999962747,2284536.140000000130385,1927770.219999999972060,2199106.250000000000000,1949255.199999999953434,10672735.519999999552965
FS( 73 ),2309450.790000000037253,2288293.520000000018626,1939691.639999999897555,2227458.979999999981374,1980970.699999999953434,10745865.629999998956919
FS( 74 ),2285898.509999999776483,2305714.100000000093132,1910238.719999999972060,2240838.919999999925494,1965112.949999999953434,10707803.199999999254942
FS( 75 ),2422632.580000000074506,2314253.600000000093132,1900421.080000000074506,2241476.060000000055879,1919442.629999999888241,10798225.949999999254942
FS( 76 ),2490672.500000000000000,2306055.680000000167638,1904628.639999999897555,2262820.250000000000000,1932128.829999999841675,10896305.900000000372529
FS( 77 ),2531234.759999999776483,2349436.340000000316650,1889200.920000000158325,2266643.090000000316650,1963210.019999999785796,10999725.129999998956919
FS( 78 ),2518804.389999999664724,2447469.800000000279397,1884292.100000000093132,2262501.679999999701977,1893435.919999999925494,11006503.889999998733401
FS( 79 ),2448801.780000000260770,2340896.840000000316650,1854137.920000000158325,2246891.750000000000000,1890264.369999999878928,10780992.660000000149012
FS( 80 ),2444876.399999999441206,2355926.359999999869615,1870968.159999999916181,2240838.919999999925494,1930860.209999999962747,10843470.050000000745058
FS( 81 ),2510953.629999999888241,2416727.600000000093132,1884292.100000000093132,2278430.179999999701977,1985410.869999999878928,11075814.379999998956919
FS( 82 ),2440296.790000000037253,2325867.320000000298023,1874474.459999999962747,2248803.169999999925494,1922614.179999999701977,10812055.919999999925494
FS( 83 ),2489364.040000000037253,2389059.620000000111759,1884993.359999999869615,2275244.479999999981374,1919442.629999999888241,10958104.129999998956919
FS( 84 ),2417398.740000000223517,2278387.700000000186265,1864656.820000000065193,2250396.020000000018626,1870600.759999999776483,10681440.040000000968575
FS( 85 ),2392538.000000000000000,2253110.779999999795109,1881487.059999999823049,2251033.160000000149012,1902950.569999999832362,10681119.570000000298023
FS( 86 ),2301600.030000000260770,2169082.100000000093132,1833801.379999999888241,2211530.479999999981374,1854743.009999999776483,10370757.000000000000000
FS( 87 ),2204119.759999999776483,2121260.900000000372529,1847125.320000000065193,2166612.110000000335276,1840788.189999999711290,10179906.280000001192093
FS( 88 ),2373565.330000000074506,2278046.120000000111759,1894811.000000000000000,2248484.600000000093132,1895338.849999999860302,10690245.900000000372529
FS( 89 ),2397771.839999999850988,2256868.159999999683350,1880084.539999999804422,2245298.900000000372529,1893435.919999999925494,10673459.360000001266599
FS( 90 ),2449456.009999999776483,2327916.800000000279397,1894109.739999999990687,2251351.729999999981374,1923248.489999999757856,10846082.770000001415610
FS( 91 ),2414781.819999999366701,2285560.879999999888241,1875876.979999999981374,2245936.040000000037253,1914368.149999999906868,10736523.869999999180436
FS( 92 ),2372256.870000000111759,2216220.140000000130385,1870266.900000000139698,2216946.169999999925494,1927688.659999999916181,10603378.740000000223517
FS( 93 ),2376182.250000000000000,2178646.340000000316650,1873071.939999999944121,2234467.520000000018626,1930860.209999999962747,10593228.259999997913837
FS( 94 ),2358518.040000000037253,2158493.120000000111759,1861851.780000000027940,2230644.679999999701977,1914368.149999999906868,10523875.770000001415610
FS( 95 ),2321226.929999999701977,2098716.620000000111759,1862553.039999999804422,2210893.340000000316650,1902316.259999999776483,10395706.189999999478459
FS( 96 ),2222438.200000000186265,2004098.960000000195578,1807153.500000000000000,2155462.160000000149012,1836982.329999999841675,10026135.150000000372529
FS( 97 ),2264963.149999999441206,2052603.320000000298023,1809257.280000000027940,2161833.560000000055879,1820490.269999999785796,10109147.580000000074506
FS( 98 ),2306179.639999999664724,2022885.860000000102445,1804348.459999999962747,2155462.160000000149012,1828736.299999999813735,10117612.419999999925494
FS( 99 ),2291786.580000000074506,2022544.280000000027940,1774895.539999999804422,2161196.419999999925494,1831273.539999999804422,10081696.359999999403954
FS( 100 ),2281318.899999999441206,2040306.439999999944121,1755961.520000000018626,2102898.110000000335276,1826199.059999999823049,10006684.029999999329448
FS( 101 ),2367677.259999999776483,2119894.580000000074506,1796634.600000000093132,2140807.939999999944121,1859817.489999999757856,10284831.869999999180436
FS( 102 ),2401042.990000000223517,2075489.179999999934807,1802244.679999999934807,2130295.130000000353903,1843959.739999999757856,10253031.720000000670552
FS( 103 ),2437679.870000000111759,2024593.760000000242144,1798738.379999999888241,2114048.060000000055879,1838250.949999999953434,10213311.019999999552965
FS( 104 ),2467120.219999999739230,2078904.979999999981374,1838008.939999999944121,2158966.429999999701977,1897241.779999999795109,10440242.349999997764826
FS( 105 ),2459269.459999999962747,2087444.479999999981374,1849930.359999999869615,2161514.989999999757856,1932128.829999999841675,10490288.119999999180436
FS( 106 ),2392538.000000000000000,1973015.179999999934807,1798037.120000000111759,2124879.439999999944121,1924517.109999999869615,10212986.849999999627471
FS( 107 ),2345433.440000000409782,1907090.239999999990687,1781206.879999999888241,2126472.290000000037253,1932128.829999999841675,10092331.679999999701977
FS( 108 ),2330386.149999999441206,1933733.479999999981374,1807854.760000000009313,2178399.199999999720603,1959404.159999999916181,10209777.749999998137355
FS( 109 ),2272813.910000000149012,1940565.080000000074506,1800842.159999999916181,2174576.360000000335276,1936569.000000000000000,10125366.510000001639128
FS( 110 ),2341508.059999999590218,2047821.200000000186265,1839411.459999999962747,2209937.630000000353903,1947352.269999999785796,10386030.619999999180436
FS( 111 ),2369639.950000000186265,2057385.439999999944121,1811361.059999999823049,2215353.320000000298023,1945449.339999999850988,10399189.109999999403954
FS( 112 ),2376836.479999999515712,2083687.100000000093132,1806452.239999999990687,2207707.640000000130385,1940374.859999999869615,10415058.320000000298023
FS( 113 ),2427212.190000000409782,2167715.780000000260770,1829593.820000000065193,2242750.340000000316650,1978433.459999999962747,10645705.589999999850988
FS( 114 ),2497869.030000000260770,2199482.720000000204891,1837307.679999999934807,2239246.070000000298023,1991119.659999999916181,10765025.160000000149012
FS( 115 ),2541048.209999999962747,2218611.200000000186265,1835905.159999999916181,2231600.390000000130385,1998097.069999999832362,10825262.030000001192093
FS( 116 ),2561329.339999999850988,2249353.399999999906868,1834502.639999999897555,2226184.699999999720603,1987313.799999999813735,10858683.879999998956919
FS( 117 ),2525346.690000000409782,2256868.159999999683350,1840112.719999999972060,2227458.979999999981374,1975896.219999999739230,10825682.769999999552965
FS( 118 ),2559366.649999999441206,2189918.479999999981374,1839411.459999999962747,2186682.020000000018626,1943546.409999999916181,10718925.019999999552965
FS( 119 ),2532543.219999999739230,2197433.240000000223517,1831697.600000000093132,2186363.449999999720603,1916271.079999999841675,10664308.589999999850988
FS( 120 ),2514224.780000000260770,2164641.560000000055879,1816269.879999999888241,2157692.150000000372529,1887727.129999999888241,10540555.500000000000000
FS( 121 ),2492635.190000000409782,2210413.279999999795109,1762272.859999999869615,2147816.479999999981374,1895338.849999999860302,10508476.660000000149012
FS( 122 ),2507682.479999999515712,2199824.300000000279397,1791024.520000000018626,2144949.350000000093132,1851571.459999999962747,10495052.109999999403954
FS( 123 ),2394500.690000000409782,2078563.400000000139698,1765077.900000000139698,2117233.759999999776483,1816050.099999999860302,10171425.850000001490116
FS( 124 ),2350667.280000000260770,2051920.160000000149012,1757364.039999999804422,2098438.130000000353903,1801460.969999999739230,10059850.580000001937151
FS( 125 ),2322535.389999999664724,2048504.360000000102445,1754559.000000000000000,2125198.009999999776483,1766573.919999999925494,10017370.679999999701977
FS( 126 ),2308142.330000000074506,2021519.540000000037253,1755260.260000000009313,2107039.520000000018626,1795117.869999999878928,9987079.519999999552965
FS( 127 ),2323843.850000000558794,2043039.080000000074506,1768584.199999999953434,2106083.810000000055879,1832542.159999999916181,10074093.100000001490116
FS( 128 ),2417398.740000000223517,2123993.540000000037253,1805049.719999999972060,2144312.209999999962747,1852205.769999999785796,10342959.980000000447035
FS( 129 ),2412164.899999999441206,2157809.959999999962747,1838008.939999999944121,2198787.679999999701977,1882652.649999999906868,10489424.129999998956919
FS( 130 ),2426557.959999999962747,2210754.859999999869615,1837307.679999999934807,2205159.080000000074506,1901047.639999999664724,10580827.219999998807907
FS( 131 ),2404968.370000000111759,2195725.340000000316650,1839411.459999999962747,2228096.120000000111759,1905487.809999999823049,10573689.100000001490116
FS( 132 ),2353284.200000000186265,2281461.920000000391155,1848527.839999999850988,2256767.419999999925494,1911830.909999999916181,10651872.290000000968575
FS( 133 ),2361789.190000000409782,2278387.700000000186265,1852034.139999999897555,2258678.840000000316650,1923248.489999999757856,10674138.360000001266599
FS( 134 ),2350013.049999999813735,2271897.680000000167638,1853436.659999999916181,2272377.350000000093132,1958769.849999999860302,10706494.589999999850988
FS( 135 ),2335619.990000000223517,2184111.620000000111759,1836606.420000000158325,2228096.120000000111759,1924517.109999999869615,10508951.259999999776483
FS( 136 ),2295057.729999999515712,2213487.500000000000000,1833100.120000000111759,2227140.410000000149012,1954963.989999999757856,10523749.750000000000000
FS( 137 ),2353938.429999999701977,2269165.040000000502914,1866760.600000000093132,2257723.130000000353903,1955598.299999999813735,10703185.500000000000000
FS( 138 ),2376182.250000000000000,2284194.560000000055879,1896213.520000000018626,2233511.810000000055879,1947352.269999999785796,10737454.410000000149012
FS( 139 ),2420669.889999999664724,2322793.100000000093132,1902524.859999999869615,2274607.340000000316650,1966381.569999999832362,10886976.759999999776483
FS( 140 ),2429174.879999999888241,2367540.080000000074506,1920056.359999999869615,2226821.840000000316650,1961307.089999999850988,10904900.250000000000000
FS( 141 ),2423286.809999999590218,2390767.520000000018626,1926367.699999999953434,2257723.130000000353903,1996194.139999999664724,10994339.300000000745058
FS( 142 ),2468428.679999999701977,2363099.540000000502914,1930575.260000000009313,2242750.340000000316650,1952426.750000000000000,10957280.570000000298023
FS( 143 ),2438988.330000000074506,2381544.859999999869615,1924263.920000000158325,2222680.429999999701977,1923882.799999999813735,10891360.339999999850988
FS( 144 ),2412164.899999999441206,2370614.300000000279397,1928471.479999999981374,2210256.199999999720603,1930860.209999999962747,10852367.089999999850988
FS( 145 ),2404314.139999999664724,2382569.600000000093132,1932679.039999999804422,2221406.150000000372529,1931494.519999999785796,10872463.449999999254942
FS( 146 ),2447493.319999999366701,2426975.000000000000000,1978260.939999999944121,2237971.790000000037253,1994291.209999999962747,11084992.260000001639128
FS( 147 ),2448147.549999999813735,2403747.560000000055879,1976858.420000000158325,2244343.189999999944121,2056453.589999999850988,11129550.309999998658895
FS( 148 ),2457961.000000000000000,2429366.060000000055879,1983169.760000000009313,2251988.870000000111759,2087534.779999999562278,11210020.470000000670552
FS( 149 ),2446184.860000000335276,2458058.779999999795109,1976858.420000000158325,2244343.189999999944121,2119884.589999999850988,11245329.839999999850988
FS( 150 ),2431137.569999999366701,2444395.580000000074506,1990182.359999999869615,2285438.719999999739230,2121787.520000000018626,11272941.750000000000000
FS( 151 ),2446184.860000000335276,2461816.159999999683350,2002805.039999999804422,2323029.979999999981374,2124324.759999999776483,11358160.799999998882413
FS( 152 ),2424595.270000000484288,2439613.459999999962747,1997896.219999999972060,2320481.419999999925494,2114175.799999999813735,11296762.170000001788139
FS( 153 ),2338236.910000000149012,2347045.279999999795109,1964937.000000000000000,2280023.029999999795109,2029178.259999999776483,10959420.479999998584390
FS( 154 ),2353284.200000000186265,2305714.100000000093132,1953015.580000000074506,2295632.959999999962747,2038058.600000000093132,10945705.439999999478459
FS( 155 ),2328423.459999999962747,2323134.680000000167638,1954418.100000000093132,2290217.270000000018626,2031715.500000000000000,10927909.009999999776483
FS( 156 ),2314684.629999999888241,2339530.520000000018626,1959326.920000000158325,2287031.570000000298023,2023469.469999999739230,10924043.109999999403954
FS( 157 ),2355246.889999999664724,2382228.020000000018626,1967742.039999999804422,2332587.080000000074506,2052013.419999999925494,11089817.450000001117587
FS( 158 ),2365060.339999999850988,2382569.600000000093132,1957924.400000000139698,2333542.790000000037253,2064065.309999999823049,11103162.439999999478459
FS( 159 ),2335619.990000000223517,2366856.920000000391155,1938289.120000000111759,2324622.830000000074506,2016492.059999999823049,10981880.919999999925494
FS( 160 ),2333003.069999999366701,2352168.979999999981374,1938990.379999999888241,2328127.100000000093132,2005074.479999999748543,10957364.009999999776483
FS( 161 ),2297020.419999999925494,2283169.820000000298023,1949509.280000000027940,2336409.919999999925494,1998097.069999999832362,10864206.510000001639128
FS( 162 ),2242719.330000000074506,2221685.420000000391155,1951613.059999999823049,2316658.580000000074506,1968918.809999999823049,10701595.200000001117587
FS( 163 ),2270196.990000000223517,2210071.700000000186265,1942496.679999999934807,2331631.370000000111759,2027275.329999999841675,10781672.070000000298023
FS( 164 ),2245990.479999999515712,2184453.200000000186265,1934081.559999999823049,2330675.660000000149012,2020297.919999999925494,10715498.819999998435378
FS( 165 ),2258420.850000000558794,2251061.300000000279397,1969144.559999999823049,2357116.969999999739230,2053282.039999999571592,10889025.719999998807907
FS( 166 ),2266271.610000000335276,2202215.359999999869615,1948106.760000000009313,2317295.719999999739230,2024103.779999999795109,10757993.229999998584390
FS( 167 ),2272159.679999999701977,2225784.379999999888241,1959326.920000000158325,2327489.959999999962747,2012051.889999999664724,10796812.829999998211861
FS( 168 ),2339545.370000000111759,2328258.379999999888241,2009817.639999999897555,2374638.320000000298023,2067236.860000000102445,11119496.570000000298023
FS( 169 ),2356555.350000000558794,2341238.420000000391155,2011921.420000000158325,2389929.679999999701977,2084363.229999999748543,11184008.100000001490116
FS( 170 ),2418707.200000000186265,2393841.740000000223517,2018232.760000000009313,2392159.669999999925494,2150965.779999999795109,11373907.150000000372529
FS( 171 ),2409547.979999999515712,2380861.700000000186265,2021037.800000000046566,2414778.140000000130385,2142719.750000000000000,11368945.369999999180436
FS( 172 ),2457306.770000000484288,2416386.020000000018626,2028050.400000000139698,2423698.100000000093132,2147159.919999999925494,11472601.210000000894070
FS( 173 ),2458615.229999999515712,2412970.220000000204891,2044179.379999999888241,2369222.630000000353903,2157943.189999999944121,11442930.649999998509884
FS( 174 ),2461886.379999999888241,2434148.180000000167638,2051893.239999999990687,2389611.110000000335276,2187755.759999999776483,11525294.669999999925494
FS( 175 ),2495906.339999999850988,2467623.020000000018626,2035063.000000000000000,2375594.029999999795109,2202344.889999999664724,11576531.279999997466803
FS( 176 ),2505065.559999999590218,2453618.240000000223517,2019635.280000000027940,2355524.120000000111759,2195367.479999999981374,11529210.679999999701977
FS( 177 ),2525346.690000000409782,2463865.640000000130385,2013323.939999999944121,2380054.009999999776483,2173800.939999999944121,11556391.219999998807907
FS( 178 ),2584881.620000000111759,2459425.100000000093132,2016830.239999999990687,2382921.140000000130385,2171898.009999999776483,11615956.110000001266599
FS( 179 ),2573759.709999999962747,2499731.540000000502914,2018232.760000000009313,2367629.779999999795109,2164920.600000000093132,11624274.389999998733401
FS( 180 ),2647033.469999999739230,2553359.600000000093132,2032959.219999999972060,2392796.810000000055879,2215665.399999999906868,11841814.500000000000000
FS( 181 ),2652267.309999999590218,2609378.720000000204891,2037868.039999999804422,2405539.610000000335276,2236597.629999999888241,11941651.309999998658895
FS( 182 ),2689558.419999999925494,2602205.540000000502914,2042075.600000000093132,2393433.949999999720603,2263238.649999999906868,11990512.160000000149012
FS( 183 ),2700026.100000000558794,2604938.180000000167638,2029452.920000000158325,2377824.020000000018626,2248015.209999999497086,11960256.429999999701977
FS( 184 ),2732083.370000000111759,2723466.440000000409782,2055399.539999999804422,2392478.239999999757856,2266410.199999999720603,12169837.789999999105930
FS( 185 ),2720961.459999999962747,2716976.420000000391155,2054698.280000000027940,2381646.860000000335276,2242306.419999999925494,12116589.440000001341105
FS( 186 ),2681053.429999999701977,2721416.959999999962747,2072229.780000000027940,2377505.449999999720603,2222642.809999999590218,12074848.429999999701977
FS( 187 ),2685633.040000000037253,2732347.520000000018626,2060308.359999999869615,2371771.189999999944121,2232791.770000000018626,12082851.879999998956919
FS( 188 ),2652267.309999999590218,2687600.540000000502914,2051893.239999999990687,2373682.610000000335276,2227082.979999999981374,11992526.679999999701977
FS( 189 ),2640491.169999999925494,2671887.859999999869615,2072931.039999999804422,2386743.979999999981374,2247380.899999999906868,12019434.949999999254942
FS( 190 ),2604508.520000000484288,2639437.759999999776483,2064515.920000000158325,2387699.689999999944121,2190927.309999999590218,11887089.199999999254942
FS( 191 ),2700680.330000000074506,2712194.300000000279397,2091865.059999999823049,2415415.279999999795109,2224545.739999999757856,12144700.710000000894070
