代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13689187.869999997317791
真實報酬,3689187.869999997317791

夏普值報酬,0.360218787000000
夏普值風險,0.108824945816899
夏普值,3.310075500575753

二次趨勢線,6.384159093700230 x^2 + 15108.643190519112977 x + 10000000.000000000000000
二次平均預期報酬,16723.835441225270188
風險,313243.295249783433974
二次平均趨勢值,0.053389284606681
一次趨勢線,16317.638578176452938 x + 10000000.000000000000000
一次預期報酬,16317.638578176452938
一次風險,316538.025171870947815
一次趨勢值,0.051550326597623
找到最佳解世代,1930
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),HD[9](3),MCD[15](9),MMM[16](2),PG[21](15),
FS( 29 ),1987945.759999999776483,1864239.159999999916181,1906435.199999999720603,2016866.000000000000000,1957271.660000000149012,9732757.779999999329448
FS( 30 ),2042189.839999999850988,1913079.949999999953434,1913786.719999999972060,2040478.400000000139698,1985757.219999999972060,9895292.130000000819564
FS( 31 ),2041185.320000000065193,1960265.120000000111759,1920135.760000000009313,2045200.880000000121072,2006746.580000000074506,9973533.660000000149012
FS( 32 ),2107483.639999999664724,1993377.519999999785796,1907437.679999999934807,2091413.719999999972060,2048350.489999999990687,10148063.049999998882413
FS( 33 ),2116524.320000000298023,2019867.439999999944121,1912115.919999999925494,2138638.519999999552965,2069339.850000000093132,10256486.049999998882413
FS( 34 ),2177800.040000000037253,2042218.310000000288710,1932833.840000000083819,2122447.160000000149012,2095951.360000000102445,10371250.710000000894070
FS( 35 ),2193872.360000000335276,2052979.840000000083819,1947536.879999999888241,2153480.599999999627471,2082458.200000000186265,10430327.879999998956919
FS( 36 ),2173781.959999999962747,2024834.300000000046566,1959232.479999999981374,2165624.120000000111759,2079834.530000000260770,10403307.390000000596046
FS( 37 ),2249120.959999999962747,2050496.409999999916181,1965581.520000000018626,2181478.160000000149012,2056596.310000000055879,10503273.360000001266599
FS( 38 ),2265193.280000000260770,2092714.720000000204891,1874355.840000000083819,2342042.480000000447035,2067465.800000000046566,10641772.120000001043081
FS( 39 ),2296333.399999999441206,2096025.959999999962747,1874021.679999999934807,2341705.160000000149012,2092952.880000000121072,10701039.080000000074506
FS( 40 ),2297337.919999999925494,2082781.000000000000000,1870345.919999999925494,2358233.839999999850988,2090704.020000000018626,10699402.699999999254942
FS( 41 ),2296333.399999999441206,2101820.629999999888241,1887053.919999999925494,2357221.879999999888241,2088080.350000000093132,10730510.179999997839332
FS( 42 ),2296333.399999999441206,2101820.629999999888241,1885048.959999999729916,2318092.759999999776483,2103447.559999999590218,10704743.309999998658895
FS( 43 ),2336514.200000000186265,2139899.890000000130385,1857647.840000000083819,2357896.520000000484288,2107570.469999999739230,10799528.919999998062849
FS( 44 ),2344550.360000000335276,2147350.180000000167638,1839937.359999999869615,2378810.359999999403954,2080584.149999999906868,10791232.410000000149012
FS( 45 ),2388749.240000000223517,2178806.959999999962747,1842276.479999999981374,2433456.200000000186265,2084332.250000000000000,10927621.129999998956919
FS( 46 ),2375690.479999999515712,2176323.529999999795109,1838266.559999999823049,2429745.679999999701977,2078710.100000000093132,10898736.349999999627471
FS( 47 ),2369663.360000000335276,2179634.770000000018626,1840939.840000000083819,2422999.280000000260770,2020614.550000000046566,10833851.800000000745058
FS( 48 ),2352586.520000000484288,2197018.779999999795109,1832585.840000000083819,2442226.520000000484288,1928786.100000000093132,10753203.759999999776483
FS( 49 ),2374685.959999999962747,2256621.100000000093132,1844615.600000000093132,2459092.520000000484288,1950150.270000000018626,10885165.449999999254942
FS( 50 ),2363636.240000000223517,2243376.140000000130385,1880370.719999999972060,2391965.839999999850988,1955397.610000000102445,10834746.550000000745058
FS( 51 ),2336514.200000000186265,2225992.129999999888241,1872016.719999999972060,2406470.599999999627471,1946402.170000000158325,10787395.819999998435378
FS( 52 ),2372676.919999999925494,2251654.239999999757856,1880036.559999999823049,2439865.280000000260770,1952024.320000000065193,10896257.320000000298023
FS( 53 ),2416875.799999999813735,2291389.120000000111759,1863996.879999999888241,2448972.919999999925494,1960270.139999999897555,10981504.859999999403954
FS( 54 ),2393771.839999999850988,2246687.379999999888241,1846954.719999999972060,2405795.959999999962747,1962893.810000000055879,10856103.709999999031425
FS( 55 ),2290306.280000000260770,2161422.950000000186265,1821224.399999999906868,2363968.280000000260770,1956896.850000000093132,10593818.759999999776483
FS( 56 ),2353591.040000000037253,2229303.370000000111759,1846620.559999999823049,2373075.919999999925494,1965892.290000000270084,10768483.180000001564622
FS( 57 ),2361627.200000000186265,2214402.790000000037253,1859652.799999999813735,2387918.000000000000000,1979010.639999999897555,10802611.429999999701977
FS( 58 ),2386740.200000000186265,2208608.120000000111759,1876026.639999999897555,2402760.080000000074506,1987256.460000000195578,10861391.500000000000000
FS( 59 ),2427925.520000000484288,2276488.540000000037253,1880370.719999999972060,2450322.200000000186265,2008245.820000000065193,11043352.800000000745058
FS( 60 ),2425916.479999999515712,2237581.470000000204891,1868340.959999999729916,2447623.639999999664724,1999250.380000000121072,10978712.929999999701977
FS( 61 ),2430939.080000000074506,2261587.959999999962747,1886385.600000000093132,2451671.480000000447035,2001499.239999999990687,11032083.360000001266599
FS( 62 ),2402812.520000000484288,2282283.209999999962747,1904764.399999999906868,2409169.160000000149012,2000000.000000000000000,10999029.290000000968575
FS( 63 ),2431943.599999999627471,2280627.590000000316650,1910110.959999999729916,2416252.879999999888241,1988755.700000000186265,11027690.730000000447035
FS( 64 ),2439979.759999999776483,2292216.930000000167638,1873687.520000000018626,2426035.160000000149012,1993628.229999999981374,11025547.599999999627471
FS( 65 ),2413862.240000000223517,2259104.529999999795109,1879368.239999999990687,2432106.919999999925494,2028110.750000000000000,11012552.679999999701977
FS( 66 ),2371672.399999999441206,2213574.979999999981374,1859318.639999999897555,2365317.560000000521541,1987256.460000000195578,10797140.039999999105930
FS( 67 ),2370667.879999999888241,2196190.970000000204891,1850296.319999999832362,2380834.280000000260770,1979010.639999999897555,10777000.089999999850988
FS( 68 ),2389753.759999999776483,2226819.939999999944121,1856979.520000000018626,2395676.359999999403954,1981634.310000000055879,10850863.889999998733401
FS( 69 ),2443997.839999999850988,2237581.470000000204891,1876026.639999999897555,2406807.919999999925494,1981259.500000000000000,10945673.370000001043081
FS( 70 ),2481165.080000000074506,2274832.919999999925494,1878699.919999999925494,2418276.799999999813735,2031484.040000000270084,11084458.759999999776483
FS( 71 ),2456052.080000000074506,2266554.819999999832362,1840939.840000000083819,2468537.480000000447035,2014992.399999999906868,11047076.620000001043081
FS( 72 ),2476142.479999999515712,2278971.970000000204891,1832920.000000000000000,2509353.200000000186265,2100449.080000000074506,11197836.729999998584390
FS( 73 ),2470115.360000000335276,2263243.580000000074506,1817548.639999999897555,2496197.719999999739230,2085456.680000000167638,11132561.980000000447035
FS( 74 ),2493219.320000000298023,2277316.350000000093132,1812202.079999999841675,2515087.639999999664724,2072713.139999999897555,11170538.530000001192093
FS( 75 ),2513309.719999999739230,2269038.250000000000000,1837264.079999999841675,2519135.480000000447035,2062593.270000000018626,11201340.800000000745058
FS( 76 ),2609743.639999999664724,2322845.899999999906868,1887053.919999999925494,2542747.879999999888241,2073087.950000000186265,11435479.289999999105930
FS( 77 ),2647915.399999999441206,2311256.560000000055879,1886719.760000000009313,2526219.200000000186265,2081333.770000000018626,11453444.689999997615814
FS( 78 ),2654947.040000000037253,2336918.669999999925494,1904764.399999999906868,2517111.560000000521541,2148424.759999999776483,11562166.429999999701977
FS( 79 ),2640883.759999999776483,2329468.379999999888241,1876026.639999999897555,2514413.000000000000000,2140178.940000000409782,11500970.719999998807907
FS( 80 ),2646910.879999999888241,2286422.260000000242144,1864999.359999999869615,2528917.759999999776483,2145426.280000000260770,11472676.539999999105930
FS( 81 ),2661978.679999999701977,2264071.390000000130385,1855977.039999999804422,2510365.160000000149012,2145801.089999999850988,11438193.359999999403954
FS( 82 ),2637870.200000000186265,2238409.279999999795109,1875358.319999999832362,2499570.919999999925494,2167914.879999999888241,11419123.600000001490116
FS( 83 ),2616775.280000000260770,2222680.890000000130385,1903093.600000000093132,2489451.320000000298023,2174286.650000000372529,11406287.740000000223517
FS( 84 ),2671019.360000000335276,2256621.100000000093132,1910445.119999999878928,2530267.040000000037253,2179908.799999999813735,11548261.420000001788139
FS( 85 ),2659969.639999999664724,2221025.270000000018626,1910445.119999999878928,2494173.799999999813735,2170538.549999999813735,11456152.379999998956919
FS( 86 ),2659969.639999999664724,2205296.879999999888241,1907103.520000000018626,2489451.320000000298023,2170913.360000000335276,11432734.719999998807907
FS( 87 ),2595680.360000000335276,2178806.959999999962747,1896076.239999999990687,2447286.320000000298023,2122188.059999999590218,11240037.940000001341105
FS( 88 ),2652938.000000000000000,2154800.470000000204891,1895073.760000000009313,2426372.480000000447035,2127060.589999999850988,11256245.300000000745058
FS( 89 ),2669010.320000000298023,2164734.189999999944121,1891732.159999999916181,2463140.359999999403954,2124436.919999999925494,11313053.949999999254942
FS( 90 ),2726267.959999999962747,2176323.529999999795109,1919467.439999999944121,2493836.480000000447035,2137555.270000000484288,11453450.679999999701977
FS( 91 ),2730286.040000000037253,2163906.379999999888241,1909442.639999999897555,2467188.200000000186265,2134556.790000000037253,11405380.050000000745058
FS( 92 ),2716222.759999999776483,2225992.129999999888241,1900420.319999999832362,2514075.679999999701977,2160793.490000000223517,11517504.379999998956919
FS( 93 ),2733299.599999999627471,2231786.800000000279397,1894739.600000000093132,2520822.080000000074506,2157420.200000000186265,11538068.280000001192093
FS( 94 ),2738322.200000000186265,2238409.279999999795109,1894071.279999999795109,2525881.879999999888241,2155171.339999999850988,11551855.980000000447035
FS( 95 ),2727272.479999999515712,2278971.970000000204891,1906435.199999999720603,2518123.520000000484288,2146175.900000000372529,11576979.069999998435378
FS( 96 ),2745353.839999999850988,2266554.819999999832362,1921472.399999999906868,2582888.959999999962747,2148049.950000000186265,11664319.969999998807907
FS( 97 ),2734304.120000000111759,2259932.340000000316650,1944863.600000000093132,2589635.359999999403954,2145426.280000000260770,11674161.699999999254942
FS( 98 ),2698141.399999999441206,2256621.100000000093132,1964244.879999999888241,2564336.359999999403954,2152922.480000000447035,11636266.219999998807907
FS( 99 ),2724258.919999999925494,2287250.069999999832362,1980952.879999999888241,2574455.959999999962747,2166040.830000000074506,11732958.660000000149012
FS( 100 ),2851832.959999999962747,2232614.609999999869615,1968923.119999999878928,2561975.120000000111759,2178784.370000000111759,11794130.179999999701977
FS( 101 ),2940230.719999999739230,2178806.959999999962747,1949207.679999999934807,2574793.280000000260770,2154796.530000000260770,11797835.170000001788139
FS( 102 ),2944248.799999999813735,2211919.359999999869615,1988304.399999999906868,2657774.000000000000000,2178784.370000000111759,11981030.929999999701977
FS( 103 ),2926167.439999999478459,2174667.910000000149012,1985965.279999999795109,2625053.959999999962747,2160418.679999999701977,11872273.269999999552965
FS( 104 ),2906077.040000000037253,2160595.140000000130385,1978279.600000000093132,2591321.959999999962747,2132682.740000000223517,11768956.479999998584390
FS( 105 ),2832747.080000000074506,2152317.040000000037253,1972264.719999999972060,2563661.719999999739230,2143177.419999999925494,11664167.979999998584390
FS( 106 ),2761426.160000000149012,2086920.050000000046566,1959566.639999999897555,2511714.439999999478459,2145051.469999999739230,11464678.759999997913837
FS( 107 ),2817679.280000000260770,2144866.750000000000000,1976274.639999999897555,2546121.080000000074506,2231632.580000000074506,11716574.330000000074506
FS( 108 ),2705173.040000000037253,2076986.330000000074506,1958564.159999999916181,2481692.959999999962747,2173911.839999999850988,11396328.330000000074506
FS( 109 ),2716222.759999999776483,2074502.899999999906868,1976942.959999999729916,2505642.679999999701977,2209518.790000000037253,11482830.089999999850988
FS( 110 ),2708186.599999999627471,2069536.040000000037253,1979616.239999999990687,2498221.639999999664724,2195650.820000000298023,11451211.339999999850988
FS( 111 ),2738322.200000000186265,2066224.800000000046566,2014703.039999999804422,2498558.959999999962747,2212517.270000000484288,11530326.269999999552965
FS( 112 ),2784530.120000000111759,2121688.069999999832362,2054468.079999999841675,2545446.439999999478459,2266489.910000000149012,11772622.619999999180436
FS( 113 ),2788548.200000000186265,2158939.520000000018626,2062487.919999999925494,2543759.839999999850988,2287854.080000000074506,11841589.560000000521541
FS( 114 ),2891009.240000000223517,2219369.649999999906868,2093230.639999999897555,2604140.120000000111759,2318213.690000000409782,12125963.339999999850988
FS( 115 ),2913108.679999999701977,2220197.459999999962747,2081200.879999999888241,2630788.399999999441206,2318588.500000000000000,12163883.919999998062849
FS( 116 ),2917126.759999999776483,2260760.149999999906868,2099579.679999999701977,2629776.439999999478459,2332456.469999999739230,12239699.500000000000000
FS( 117 ),2899045.399999999441206,2254965.479999999981374,2077525.119999999878928,2604477.439999999478459,2297599.139999999664724,12133612.579999998211861
FS( 118 ),2934203.599999999627471,2263243.580000000074506,2124641.679999999701977,2608187.959999999962747,2309218.250000000000000,12239495.070000000298023
FS( 119 ),2965343.719999999739230,2288905.689999999944121,2156386.879999999888241,2631800.359999999403954,2333955.709999999962747,12376392.359999999403954
FS( 120 ),2970366.320000000298023,2234270.229999999981374,2124307.520000000018626,2657436.679999999701977,2335454.950000000186265,12321835.699999999254942
FS( 121 ),2955298.520000000484288,2259104.529999999795109,2138008.079999999608845,2624379.320000000298023,2339203.049999999813735,12315993.500000000000000
FS( 122 ),2876945.959999999962747,2244203.950000000186265,2118960.959999999962747,2605826.719999999739230,2329457.990000000223517,12175395.580000000074506
FS( 123 ),2868909.799999999813735,2249998.620000000111759,2137673.919999999925494,2585250.200000000186265,2316339.639999999664724,12158172.179999999701977
FS( 124 ),2954294.000000000000000,2277316.350000000093132,2138342.239999999757856,2622018.080000000074506,2351196.969999999739230,12343167.640000000596046
FS( 125 ),2934203.599999999627471,2281455.399999999906868,2146027.919999999925494,2617970.240000000223517,2353820.639999999664724,12333477.800000000745058
FS( 126 ),2930185.520000000484288,2305461.890000000130385,2153713.600000000093132,2628089.839999999850988,2356444.309999999590218,12373895.160000000149012
FS( 127 ),2878955.000000000000000,2285594.450000000186265,2125310.000000000000000,2588960.719999999739230,2341826.719999999739230,12220646.890000000596046
FS( 128 ),2868909.799999999813735,2264899.200000000186265,2113614.399999999906868,2612235.799999999813735,2336954.190000000409782,12196613.390000000596046
FS( 129 ),2826719.959999999962747,2317879.040000000037253,2123305.040000000037253,2652376.879999999888241,2357943.549999999813735,12278224.469999998807907
FS( 130 ),2815670.240000000223517,2345196.770000000018626,2088552.399999999906868,2644955.839999999850988,2368438.230000000447035,12262813.480000000447035
FS( 131 ),2819688.320000000298023,2312084.370000000111759,2070841.919999999925494,2602453.520000000484288,2344825.200000000186265,12149893.330000001937151
FS( 132 ),2774484.919999999925494,2324501.520000000018626,2058143.840000000083819,2639221.399999999441206,2346324.440000000409782,12142676.120000001043081
FS( 133 ),2711200.160000000149012,2336090.859999999869615,2069505.279999999795109,2628089.839999999850988,2341451.910000000149012,12086338.049999998882413
FS( 134 ),2724258.919999999925494,2290561.310000000055879,2025396.159999999916181,2601104.240000000223517,2318963.309999999590218,11960283.940000001341105
FS( 135 ),2838774.200000000186265,2280627.590000000316650,2025062.000000000000000,2689819.399999999441206,2332831.280000000260770,12167114.470000002533197
FS( 136 ),2818683.799999999813735,2317051.229999999981374,2040099.199999999720603,2721527.480000000447035,2332831.280000000260770,12230192.989999998360872
FS( 137 ),2793570.799999999813735,2358441.729999999981374,2060482.959999999729916,2757620.719999999739230,2336579.379999999888241,12306695.589999999850988
FS( 138 ),2826719.959999999962747,2389898.510000000242144,2076522.639999999897555,2763017.839999999850988,2361691.650000000372529,12417850.599999999627471
FS( 139 ),2786539.160000000149012,2402315.660000000149012,2071844.399999999906868,2789666.120000000111759,2328333.559999999590218,12378698.899999998509884
FS( 140 ),2798593.399999999441206,2397348.800000000279397,2085879.119999999878928,2756608.759999999776483,2329832.799999999813735,12368262.879999998956919
FS( 141 ),2753390.000000000000000,2384103.840000000316650,2069171.119999999878928,2714443.759999999776483,2308468.629999999888241,12229577.349999997764826
FS( 142 ),2804620.520000000484288,2371686.689999999944121,2077525.119999999878928,2731309.759999999776483,2306969.389999999664724,12292111.480000000447035
FS( 143 ),2844801.320000000298023,2397348.800000000279397,2093898.959999999729916,2746826.480000000447035,2297599.139999999664724,12380474.700000002980232
FS( 144 ),2874936.919999999925494,2424666.529999999795109,2104257.919999999925494,2764704.439999999478459,2297599.139999999664724,12466164.949999999254942
FS( 145 ),2900049.919999999925494,2400660.040000000037253,2117290.159999999683350,2772462.799999999813735,2297973.950000000186265,12488436.869999997317791
FS( 146 ),2999497.399999999441206,2414732.810000000055879,2119295.120000000111759,2784606.320000000298023,2296849.520000000484288,12614981.169999998062849
FS( 147 ),3036664.639999999664724,2415560.620000000111759,2125644.159999999683350,2814965.120000000111759,2295725.089999999850988,12688559.629999998956919
FS( 148 ),3000501.919999999925494,2423010.910000000149012,2124975.839999999850988,2837902.879999999888241,2308093.820000000298023,12694485.370000001043081
FS( 149 ),3036664.639999999664724,2411421.569999999832362,2101584.640000000130385,2830144.520000000484288,2300222.809999999590218,12680038.179999999701977
FS( 150 ),3023605.879999999888241,2394865.370000000111759,2086547.439999999944121,2788654.160000000149012,2272486.870000000111759,12566159.719999998807907
FS( 151 ),3070818.320000000298023,2373342.310000000055879,2097908.879999999888241,2800460.359999999403954,2290852.559999999590218,12633382.429999999701977
FS( 152 ),3076845.439999999478459,2390726.319999999832362,2081869.199999999720603,2782919.719999999739230,2291602.179999999701977,12623962.859999999403954
FS( 153 ),3027623.959999999962747,2382448.220000000204891,2053465.600000000093132,2822386.160000000149012,2280732.690000000409782,12566656.629999998956919
FS( 154 ),3021596.839999999850988,2410593.760000000242144,2068502.799999999813735,2824410.080000000074506,2268363.959999999962747,12593467.440000001341105
FS( 155 ),3041687.240000000223517,2399004.419999999925494,2066497.840000000083819,2844311.959999999962747,2265365.480000000447035,12616866.940000001341105
FS( 156 ),3015569.719999999739230,2331124.000000000000000,2082537.520000000018626,2832843.080000000074506,2256370.040000000037253,12518444.359999999403954
FS( 157 ),2980411.520000000484288,2316223.419999999925494,2093898.959999999729916,2835204.320000000298023,2282231.929999999701977,12507970.150000000372529
FS( 158 ),3022601.360000000335276,2328640.569999999832362,2091559.840000000083819,2826096.679999999701977,2305844.959999999962747,12574743.410000000149012
FS( 159 ),3005524.520000000484288,2342713.340000000316650,2093564.799999999813735,2816651.719999999739230,2308093.820000000298023,12566548.200000001117587
FS( 160 ),2955298.520000000484288,2365064.209999999962747,2081200.879999999888241,2812266.560000000521541,2279608.259999999776483,12493438.430000001564622
FS( 161 ),3085886.120000000111759,2390726.319999999832362,2121300.079999999608845,2871297.560000000521541,2313341.160000000149012,12782551.240000000223517
FS( 162 ),3038673.679999999701977,2372514.500000000000000,2105594.560000000055879,2857804.759999999776483,2265740.290000000037253,12640327.789999999105930
FS( 163 ),2985434.120000000111759,2357613.919999999925494,2111943.600000000093132,2789666.120000000111759,2242876.879999999888241,12487534.640000000596046
FS( 164 ),2837769.679999999701977,2294700.359999999869615,2118292.640000000130385,2748513.080000000074506,2260492.950000000186265,12259768.710000000894070
FS( 165 ),2914113.200000000186265,2286422.260000000242144,2108267.839999999850988,2760319.280000000260770,2272486.870000000111759,12341609.450000002980232
FS( 166 ),2955298.520000000484288,2295528.169999999925494,2132327.359999999869615,2753572.879999999888241,2274735.730000000447035,12411462.660000000149012
FS( 167 ),2983425.080000000074506,2304634.080000000074506,2129654.079999999608845,2776173.320000000298023,2279233.450000000186265,12473120.010000001639128
FS( 168 ),2859869.120000000111759,2263243.580000000074506,2099579.679999999701977,2723888.719999999739230,2311841.919999999925494,12258423.019999999552965
FS( 169 ),2756403.560000000521541,2318706.850000000093132,2086213.279999999795109,2715118.399999999441206,2306969.389999999664724,12183411.480000000447035
FS( 170 ),2794575.320000000298023,2350163.629999999888241,2135000.640000000130385,2713431.799999999813735,2323461.030000000260770,12316632.420000001788139
FS( 171 ),2810647.639999999664724,2403143.470000000204891,2139678.879999999888241,2713094.480000000447035,2357568.740000000223517,12424133.209999999031425
FS( 172 ),2858864.599999999627471,2356786.109999999869615,2179109.759999999776483,2749187.719999999739230,2348198.490000000223517,12492146.679999997839332
FS( 173 ),2756403.560000000521541,2312084.370000000111759,2140681.359999999869615,2671941.439999999478459,2301347.240000000223517,12182457.970000000670552
FS( 174 ),2804620.520000000484288,2316223.419999999925494,2117624.319999999832362,2649341.000000000000000,2297599.139999999664724,12185408.399999998509884
FS( 175 ),2785534.639999999664724,2366719.830000000074506,2102587.120000000111759,2615271.679999999701977,2286729.650000000372529,12156842.919999999925494
FS( 176 ),2815670.240000000223517,2389898.510000000242144,2124307.520000000018626,2655412.759999999776483,2314840.400000000372529,12300129.429999999701977
FS( 177 ),2799597.919999999925494,2371686.689999999944121,2113614.399999999906868,2652039.560000000521541,2311467.110000000335276,12248405.679999999701977
FS( 178 ),2850828.439999999478459,2399832.229999999981374,2131659.040000000037253,2707697.359999999403954,2322336.600000000558794,12412353.670000001788139
FS( 179 ),2875941.439999999478459,2400660.040000000037253,2124975.839999999850988,2670929.480000000447035,2314840.400000000372529,12387347.200000001117587
FS( 180 ),2919135.799999999813735,2437083.680000000167638,2139010.560000000055879,2714443.759999999776483,2354945.070000000298023,12564618.870000001043081
FS( 181 ),2907081.560000000521541,2485096.660000000149012,2147364.560000000055879,2703312.200000000186265,2355694.690000000409782,12598549.670000001788139
FS( 182 ),2912104.160000000149012,2508275.340000000316650,2154716.080000000074506,2736032.240000000223517,2375934.429999999701977,12687062.250000000000000
FS( 183 ),2894022.799999999813735,2495858.189999999944121,2163404.239999999757856,2749862.359999999403954,2378183.290000000037253,12681330.879999998956919
FS( 184 ),2875941.439999999478459,2509930.959999999962747,2164406.719999999739230,2721527.480000000447035,2377058.860000000335276,12648865.460000000894070
FS( 185 ),2827724.479999999515712,2545526.790000000037253,2167748.319999999832362,2688807.439999999478459,2369187.850000000558794,12598994.879999998956919
FS( 186 ),2879959.520000000484288,2596023.200000000186265,2180780.560000000055879,2700950.959999999962747,2394674.929999999701977,12752389.170000001788139
FS( 187 ),2899045.399999999441206,2596023.200000000186265,2151374.479999999981374,2689819.399999999441206,2387553.540000000037253,12723816.019999999552965
FS( 188 ),2936212.639999999664724,2582778.239999999757856,2133664.000000000000000,2703649.520000000484288,2371811.520000000484288,12728115.919999998062849
FS( 189 ),2999497.399999999441206,2601817.870000000111759,2138008.079999999608845,2718154.280000000260770,2380432.150000000372529,12837909.779999999329448
FS( 190 ),2997488.360000000335276,2596023.200000000186265,2141015.519999999552965,2736706.879999999888241,2387928.350000000558794,12859162.310000002384186
FS( 191 ),3003515.479999999515712,2605129.109999999869615,2126312.479999999981374,2732321.719999999739230,2381931.389999999664724,12849210.179999999701977
FS( 192 ),3023605.879999999888241,2602645.680000000167638,2119629.279999999795109,2732996.359999999403954,2386429.110000000335276,12865306.309999998658895
