代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13645970.780000001192093
真實報酬,3645970.780000001192093

夏普值報酬,0.355897078000000
夏普值風險,0.088740595078336
夏普值,4.010532921103694

二次趨勢線,-16.613270173741451 x^2 + 18985.314858746991376 x + 10000000.000000000000000
二次平均預期報酬,14782.157504790402527
風險,184500.413572452496737
二次平均趨勢值,0.080119915281304
一次趨勢線,15839.189156181457292 x + 10000000.000000000000000
一次預期報酬,15839.189156181457292
一次風險,219297.905440189642832
一次趨勢值,0.072226814589898
找到最佳解世代,2254
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](9),DD[7](1),MRK[17](6),UNH[23](12),
FS( 54 ),2873158.979999999981374,2619146.500000000000000,2633507.040000000037253,2772521.620000000111759,10898334.140000000596046
FS( 55 ),2951026.099999999627471,2608026.160000000149012,2593564.359999999869615,2953365.459999999962747,11105982.079999998211861
FS( 56 ),2932656.039999999571592,2614380.640000000130385,2614903.600000000093132,2991041.259999999776483,11152981.539999999105930
FS( 57 ),2929914.239999999757856,2608555.700000000186265,2611073.479999999981374,3021600.520000000018626,11171143.939999999478459
FS( 58 ),2955412.979999999981374,2605378.460000000428408,2622563.839999999850988,3042950.139999999664724,11226305.419999999925494
FS( 59 ),2932381.859999999869615,2592139.960000000428408,2613809.280000000260770,3036252.219999999739230,11174583.320000000298023
FS( 60 ),2925527.359999999869615,2638739.479999999981374,2635695.680000000167638,3040019.800000000279397,11239982.320000000298023
FS( 61 ),2895367.559999999590218,2617028.340000000316650,2653204.800000000279397,3022856.379999999422580,11188457.080000000074506
FS( 62 ),2873707.339999999850988,2639269.020000000484288,2644997.400000000372529,3047136.340000000316650,11205110.100000001490116
FS( 63 ),2898931.899999999906868,2644034.880000000353903,2629129.759999999776483,3025368.099999999627471,11197464.640000000596046
FS( 64 ),2881658.559999999590218,2642446.260000000242144,2635695.680000000167638,3049648.059999999590218,11209448.559999998658895
FS( 65 ),2925527.359999999869615,2669452.799999999813735,2658129.239999999757856,3062625.279999999795109,11315734.679999999701977
FS( 66 ),2958428.959999999962747,2731408.979999999981374,2655940.600000000093132,3024949.479999999981374,11370728.019999999552965
FS( 67 ),2947461.759999999776483,2751001.960000000428408,2655393.439999999944121,3070160.439999999944121,11424017.599999999627471
FS( 68 ),2934849.479999999981374,2719229.560000000055879,2650469.000000000000000,3065974.239999999757856,11370522.279999999329448
FS( 69 ),2917850.319999999832362,2736704.380000000353903,2656487.759999999776483,3052578.399999999906868,11363620.859999999403954
FS( 70 ),2901947.879999999888241,2783303.900000000372529,2652110.479999999981374,3063462.520000000018626,11400824.779999999329448
FS( 71 ),2887964.699999999720603,2868559.840000000316650,2647733.200000000186265,3052997.020000000018626,11457254.759999999776483
FS( 72 ),2858079.079999999608845,2826196.640000000130385,2652110.479999999981374,3030391.540000000037253,11366777.739999998360872
FS( 73 ),2912640.899999999906868,2856380.419999999925494,2649921.839999999850988,3070579.059999999590218,11489522.219999998807907
FS( 74 ),2855885.639999999664724,2846848.700000000186265,2657582.080000000074506,3034577.739999999757856,11394894.160000000149012
FS( 75 ),2816677.899999999906868,2801837.799999999813735,2624752.479999999981374,2988948.160000000149012,11232216.339999999850988
FS( 76 ),2836967.219999999739230,2781715.280000000260770,2609979.160000000149012,2990204.020000000018626,11218865.679999999701977
FS( 77 ),2871239.719999999739230,2762122.299999999813735,2603413.239999999757856,3001925.379999999422580,11238700.639999998733401
FS( 78 ),2868772.099999999627471,2786481.140000000130385,2602318.919999999925494,3033321.879999999422580,11290894.039999999105930
FS( 79 ),2849031.139999999664724,2800778.720000000204891,2596847.319999999832362,3007786.059999999590218,11254443.239999998360872
FS( 80 ),2882755.279999999795109,2804485.500000000000000,2615997.919999999925494,3012809.500000000000000,11316048.199999999254942
FS( 81 ),2892077.399999999906868,2921513.840000000316650,2611620.639999999664724,3036670.840000000316650,11461882.719999998807907
FS( 82 ),2893448.299999999813735,2914629.820000000298023,2605601.879999999888241,3029972.919999999459833,11443652.919999999925494
FS( 83 ),2829838.539999999571592,2832551.120000000111759,2577696.719999999739230,2993971.599999999627471,11234057.980000000447035
FS( 84 ),2831483.619999999646097,2824078.479999999981374,2576602.400000000372529,2994808.840000000316650,11226973.339999999850988
FS( 85 ),2876997.500000000000000,2829373.880000000353903,2577149.560000000055879,3032484.639999999664724,11316005.580000001937151
FS( 86 ),2849305.319999999832362,2820371.700000000186265,2587545.600000000093132,3003181.239999999757856,11260403.859999999403954
FS( 87 ),2879190.939999999944121,2823548.939999999944121,2583168.319999999832362,3037508.080000000074506,11323416.279999999329448
FS( 88 ),2916479.419999999925494,2848966.859999999869615,2608884.839999999850988,3070579.059999999590218,11444910.179999999701977
FS( 89 ),2924156.459999999962747,2896625.460000000428408,2599583.119999999646097,3099463.840000000316650,11519828.879999998956919
FS( 90 ),2908254.019999999552965,2907745.799999999813735,2598488.800000000279397,3100301.080000000074506,11514789.699999999254942
FS( 91 ),2938962.179999999701977,2926809.240000000223517,2612167.800000000279397,3108254.859999999869615,11586194.080000000074506
FS( 92 ),2965831.819999999832362,3015242.419999999925494,2625299.639999999664724,3124162.419999999459833,11730536.299999998882413
FS( 93 ),2994894.899999999906868,3005181.160000000149012,2634054.200000000186265,3147186.520000000018626,11781316.780000001192093
FS( 94 ),3010523.159999999683350,2930516.020000000484288,2618186.560000000055879,3128767.239999999757856,11687992.980000000447035
FS( 95 ),3052472.699999999720603,3006769.780000000260770,2614903.600000000093132,3117883.120000000111759,11792029.199999999254942
FS( 96 ),3171466.819999999832362,3001474.380000000353903,2636790.000000000000000,3144674.800000000279397,11954406.000000000000000
FS( 97 ),3210948.739999999757856,2994590.359999999869615,2626941.119999999646097,3110766.580000000074506,11943246.799999998882413
FS( 98 ),3246317.959999999962747,3081434.919999999925494,2648280.359999999869615,3057601.840000000316650,12033635.080000000074506
FS( 99 ),3263865.479999999981374,3062371.479999999981374,2640620.119999999646097,2965505.439999999944121,11932362.519999999552965
FS( 100 ),3197788.099999999627471,2994060.820000000298023,2626941.119999999646097,2954202.699999999720603,11772992.739999998360872
FS( 101 ),3221915.939999999944121,2959111.180000000167638,2608884.839999999850988,3006530.199999999720603,11796442.160000000149012
FS( 102 ),3262768.759999999776483,2949579.460000000428408,2600677.439999999944121,3027461.199999999720603,11840486.859999999403954
FS( 103 ),3249333.939999999944121,3005710.700000000186265,2608337.680000000167638,3013228.120000000111759,11876610.440000001341105
FS( 104 ),3273187.599999999627471,3015771.960000000428408,2608884.839999999850988,3020763.279999999795109,11918607.679999999701977
FS( 105 ),3255640.079999999608845,2942695.439999999944121,2614903.600000000093132,3013646.739999999757856,11826885.859999999403954
FS( 106 ),3221641.759999999776483,2896095.919999999925494,2605054.719999999739230,2997739.179999999701977,11720531.579999998211861
FS( 107 ),3228496.259999999776483,2889211.900000000372529,2666883.800000000279397,3038345.319999999832362,11822937.280000001192093
FS( 108 ),3230963.879999999888241,2918336.600000000093132,2646638.879999999888241,3037926.699999999720603,11833866.059999998658895
FS( 109 ),3159677.079999999608845,2923632.000000000000000,2646091.719999999739230,3035833.599999999627471,11765234.400000000372529
FS( 110 ),3213416.359999999869615,3015771.960000000428408,2638978.639999999664724,3055508.739999999757856,11923675.700000001117587
FS( 111 ),3199433.179999999701977,2967583.820000000298023,2620375.200000000186265,3021181.899999999906868,11808574.099999999627471
FS( 112 ),3165160.679999999701977,2905098.100000000093132,2612714.959999999962747,2992297.120000000111759,11675270.859999999403954
FS( 113 ),3138565.219999999739230,2935281.880000000353903,2586451.280000000260770,2988110.919999999459833,11648409.299999998882413
FS( 114 ),3260026.959999999962747,3046485.280000000260770,2598488.800000000279397,3096952.120000000111759,12001953.160000000149012
FS( 115 ),3234802.399999999906868,3097321.120000000111759,2587545.600000000093132,3109092.099999999627471,12028761.219999998807907
FS( 116 ),3275381.039999999571592,3078257.680000000167638,2557998.959999999962747,3127930.000000000000000,12039567.679999999701977
FS( 117 ),3240286.000000000000000,3049132.979999999981374,2548150.080000000074506,3092347.300000000279397,11929916.360000001266599
FS( 118 ),3299508.879999999888241,3101557.439999999944121,2580979.680000000167638,3147605.139999999664724,12129651.140000000596046
FS( 119 ),3352973.979999999981374,3121150.419999999925494,2577696.719999999739230,2987692.300000000279397,12039513.420000001788139
FS( 120 ),3359280.119999999646097,3115325.479999999981374,2550338.719999999739230,2878432.479999999981374,11903376.800000000745058
FS( 121 ),3330491.219999999739230,3119032.260000000242144,2544867.119999999646097,2854989.759999999776483,11849380.359999999403954
FS( 122 ),3358183.399999999906868,3133329.840000000316650,2542678.479999999981374,2882618.679999999701977,11916810.400000000372529
FS( 123 ),3537497.120000000111759,3094673.419999999925494,2547602.919999999925494,2847035.979999999981374,12026809.440000001341105
FS( 124 ),3536400.399999999441206,3063430.560000000055879,2528999.479999999981374,2830291.179999999701977,11959121.619999999180436
FS( 125 ),3596994.179999999701977,2980292.780000000260770,2546508.600000000093132,2830709.800000000279397,11954505.360000001266599
FS( 126 ),3561076.599999999627471,2949579.460000000428408,2481396.560000000055879,2802243.639999999664724,11794296.260000001639128
FS( 127 ),3555044.639999999664724,2975526.919999999925494,2493981.239999999757856,2849966.319999999832362,11874519.119999999180436
FS( 128 ),3555593.000000000000000,2960699.799999999813735,2475377.800000000279397,2847035.979999999981374,11838706.580000000074506
FS( 129 ),3578075.759999999776483,2976586.000000000000000,2467170.400000000372529,2857501.479999999981374,11879333.640000000596046
FS( 130 ),3647443.299999999813735,2937400.040000000037253,2474830.639999999664724,2872990.419999999459833,11932664.400000000372529
FS( 131 ),3640862.979999999515712,2896095.919999999925494,2501641.479999999981374,2886386.259999999776483,11924986.639999998733401
FS( 132 ),3662249.019999999552965,2919925.220000000204891,2481943.719999999739230,2876758.000000000000000,11940875.960000000894070
FS( 133 ),3649088.379999999888241,2960699.799999999813735,2514773.319999999832362,2942481.340000000316650,12067042.839999999850988
FS( 134 ),3605767.939999999478459,2916218.439999999944121,2507113.080000000074506,2920294.479999999981374,11949393.939999999478459
FS( 135 ),3660055.580000000074506,2991413.120000000111759,2560734.759999999776483,2951272.359999999869615,12163475.820000000298023
FS( 136 ),3633734.299999999813735,2990883.580000000074506,2571677.959999999962747,2951272.359999999869615,12147568.199999999254942
FS( 137 ),3628250.700000000186265,2966524.740000000223517,2603960.400000000372529,2928248.259999999776483,12126984.099999999627471
FS( 138 ),3651281.819999999366701,2986117.720000000204891,2590281.400000000372529,2972621.979999999981374,12200302.919999999925494
FS( 139 ),3703924.379999999888241,3024244.600000000093132,2616545.080000000074506,2990622.639999999664724,12335336.699999999254942
FS( 140 ),3731068.200000000186265,3033776.320000000298023,2630224.080000000074506,3008623.300000000279397,12403691.900000002235174
FS( 141 ),3793581.240000000223517,3006769.780000000260770,2626941.119999999646097,3000669.520000000018626,12427961.660000000149012
FS( 142 ),3755744.399999999441206,2994060.820000000298023,2630224.080000000074506,2997739.179999999701977,12377768.480000000447035
FS( 143 ),3631540.859999999403954,2960699.799999999813735,2633507.040000000037253,3013228.120000000111759,12238975.820000000298023
FS( 144 ),3644701.500000000000000,2988765.419999999925494,2660317.879999999888241,3052159.779999999795109,12345944.580000000074506
FS( 145 ),3728052.219999999739230,2990883.580000000074506,2677827.000000000000000,3086905.239999999757856,12483668.040000000968575
FS( 146 ),3646620.759999999776483,2941636.359999999869615,2717222.519999999552965,3100719.699999999720603,12406199.339999997988343
FS( 147 ),3695424.799999999813735,2925220.620000000111759,2712845.239999999757856,3119557.599999999627471,12453048.259999999776483
FS( 148 ),3693779.719999999739230,2948520.380000000353903,2726524.239999999757856,3112859.679999999701977,12481684.019999999552965
FS( 149 ),3680893.259999999776483,2945872.680000000167638,2726524.239999999757856,3117883.120000000111759,12471173.300000000745058
FS( 150 ),3678425.639999999664724,3015242.419999999925494,2745674.839999999850988,3104487.279999999795109,12543830.179999997839332
FS( 151 ),3619202.759999999776483,2919925.220000000204891,2722694.119999999646097,3086486.620000000111759,12348308.719999998807907
FS( 152 ),3605493.759999999776483,2932634.180000000167638,2698071.919999999925494,3083137.660000000149012,12319337.519999999552965
FS( 153 ),3639217.899999999441206,2911452.580000000074506,2670713.919999999925494,3045461.859999999869615,12266846.259999997913837
FS( 154 ),3706392.000000000000000,2961229.340000000316650,2702449.200000000186265,3076858.359999999869615,12446928.899999998509884
FS( 155 ),3692683.000000000000000,3076669.060000000055879,2711750.919999999925494,3086068.000000000000000,12567170.980000000447035
FS( 156 ),3665813.359999999403954,3150804.660000000149012,2704637.839999999850988,3099882.459999999962747,12621138.320000000298023
FS( 157 ),3634556.839999999850988,3095732.500000000000000,2678374.160000000149012,3019926.040000000037253,12428589.539999999105930
FS( 158 ),3645524.040000000037253,3074021.359999999869615,2643903.080000000074506,2972621.979999999981374,12336070.460000000894070
FS( 159 ),3669377.700000000186265,3131211.680000000167638,2647186.040000000037253,2950435.120000000111759,12398210.540000002831221
FS( 160 ),3693779.719999999739230,3137036.620000000111759,2631318.400000000372529,2974715.080000000074506,12436849.820000000298023
FS( 161 ),3725584.599999999627471,3182577.060000000055879,2620922.359999999869615,2960900.620000000111759,12489984.640000000596046
FS( 162 ),3714891.580000000074506,3281071.500000000000000,2675638.359999999869615,3029972.919999999459833,12701574.359999999403954
FS( 163 ),3706117.819999999366701,3310725.740000000223517,2669619.600000000093132,3030391.540000000037253,12716854.699999999254942
FS( 164 ),3747244.819999999366701,3301723.560000000055879,2698619.080000000074506,3070579.059999999590218,12818166.519999999552965
FS( 165 ),3739841.959999999962747,3309137.120000000111759,2700807.719999999739230,3112441.059999999590218,12862227.859999999403954
FS( 166 ),3751631.700000000186265,3349911.700000000186265,2703543.519999999552965,3103231.419999999459833,12908318.339999999850988
FS( 167 ),3791113.620000000111759,3382743.180000000167638,2720505.479999999981374,3133372.059999999590218,13027734.339999999850988
FS( 168 ),3753550.959999999962747,3363150.200000000186265,2724335.600000000093132,3126674.139999999664724,12967710.899999998509884
FS( 169 ),3726681.319999999366701,3363150.200000000186265,2732543.000000000000000,3130441.719999999739230,12952816.239999998360872
FS( 170 ),3742309.580000000074506,3348323.080000000074506,2738561.759999999776483,3152209.959999999962747,12981404.379999998956919
FS( 171 ),3747244.819999999366701,3308078.040000000037253,2707920.800000000279397,3121650.699999999720603,12884894.359999999403954
FS( 172 ),3773291.919999999925494,3293250.919999999925494,2721052.639999999664724,3143837.559999999590218,12931433.039999999105930
FS( 173 ),3794952.139999999664724,3287425.979999999981374,2721599.800000000279397,3107836.239999999757856,12911814.160000000149012
FS( 174 ),3852529.939999999478459,3250887.720000000204891,2741844.719999999739230,3202862.979999999981374,13048125.359999999403954
FS( 175 ),3861029.519999999552965,3254594.500000000000000,2724335.600000000093132,3165605.800000000279397,13005565.419999999925494
FS( 176 ),3896947.099999999627471,3212760.840000000316650,2709562.280000000260770,3184862.319999999832362,13004132.539999999105930
FS( 177 ),3890640.959999999962747,3220703.939999999944121,2729260.040000000037253,3127092.759999999776483,12967697.700000001117587
FS( 178 ),3857739.359999999403954,3159277.299999999813735,2906539.879999999888241,3095277.639999999664724,13018834.179999999701977
FS( 179 ),3838820.939999999478459,3216467.620000000111759,2899973.959999999962747,3098626.599999999627471,13053889.119999999180436
FS( 180 ),3855545.919999999925494,3246651.400000000372529,2873710.280000000260770,3132953.439999999944121,13108861.040000000968575
FS( 181 ),3844304.540000000037253,3249299.100000000093132,2872615.959999999962747,3045880.479999999981374,13012100.080000001937151
FS( 182 ),3851159.040000000037253,3248240.020000000484288,2842522.160000000149012,3035833.599999999627471,12977754.820000000298023
FS( 183 ),3884334.819999999366701,3463762.799999999813735,2835956.239999999757856,3062625.279999999795109,13246679.139999998733401
FS( 184 ),3958363.419999999925494,3444699.359999999869615,2809692.560000000055879,3072672.160000000149012,13285427.500000000000000
FS( 185 ),3874464.339999999850988,3372681.919999999925494,2823371.560000000055879,3064299.759999999776483,13134817.580000000074506
FS( 186 ),3746696.459999999962747,3273657.939999999944121,2844163.639999999664724,2997320.559999999590218,12861838.599999997764826
FS( 187 ),3766163.240000000223517,3250358.180000000167638,2874257.439999999944121,2999413.660000000149012,12890192.519999999552965
FS( 188 ),3758760.379999999888241,3247180.939999999944121,2892860.879999999888241,3001925.379999999422580,12900727.579999998211861
FS( 189 ),3558334.799999999813735,3373211.460000000428408,2856748.319999999832362,2983087.479999999981374,12771382.060000000521541
FS( 190 ),3469226.299999999813735,3417163.280000000260770,2927879.119999999646097,3047554.959999999962747,12861823.660000000149012
FS( 191 ),3434405.439999999944121,3431990.400000000372529,2898332.479999999981374,3025786.719999999739230,12790515.039999999105930
FS( 192 ),3374634.199999999720603,3370034.220000000204891,2849635.239999999757856,2961319.239999999757856,12555622.900000000372529
FS( 193 ),3346119.479999999981374,3390686.280000000260770,2927879.119999999646097,2951690.979999999981374,12616375.859999999403954
FS( 194 ),3328571.959999999962747,3382213.640000000130385,2928973.439999999944121,2964668.199999999720603,12604427.239999998360872
FS( 195 ),3363392.819999999832362,3437815.340000000316650,2942105.280000000260770,2966761.300000000279397,12710074.740000002086163
FS( 196 ),3482661.119999999646097,3438874.419999999925494,2996821.280000000260770,2987273.679999999701977,12905630.500000000000000
FS( 197 ),3486499.639999999664724,3456878.780000000260770,3003387.200000000186265,2919457.239999999757856,12866222.860000001266599
FS( 198 ),3568753.639999999664724,3532073.460000000428408,3047707.160000000149012,2956295.800000000279397,13104830.060000000521541
FS( 199 ),3513095.099999999627471,3497123.820000000298023,3009405.959999999962747,2940388.239999999757856,12960013.119999999180436
FS( 200 ),3550657.759999999776483,3491828.419999999925494,3014877.560000000055879,2980994.379999999422580,13038358.119999999180436
FS( 201 ),3568753.639999999664724,3522541.739999999757856,3033481.000000000000000,3077695.599999999627471,13202471.979999998584390
FS( 202 ),3581640.099999999627471,3527837.140000000596046,3047160.000000000000000,3090672.819999999832362,13247310.060000000521541
FS( 203 ),3520223.779999999329448,3501889.679999999701977,3011594.600000000093132,3078951.459999999962747,13112659.519999999552965
FS( 204 ),3552302.839999999850988,3554843.679999999701977,3053725.919999999925494,3076021.120000000111759,13236893.559999998658895
FS( 205 ),3517207.799999999813735,3541605.179999999701977,3065763.439999999944121,3089835.580000000074506,13214412.000000000000000
FS( 206 ),3553125.379999999888241,3540546.100000000093132,3073970.839999999850988,3181931.979999999981374,13349574.300000000745058
FS( 207 ),3476080.799999999813735,3561198.160000000149012,3059197.519999999552965,3153047.199999999720603,13249523.679999999701977
FS( 208 ),3471419.739999999757856,3606738.600000000093132,3078895.280000000260770,3184025.080000000074506,13341078.700000001117587
FS( 209 ),3524884.839999999850988,3658103.979999999981374,3100234.519999999552965,3182350.599999999627471,13465573.939999999478459
FS( 210 ),3534755.319999999366701,3673460.640000000596046,3118290.800000000279397,3234678.099999999627471,13561184.859999999403954
FS( 211 ),3515562.719999999739230,3652808.580000000540167,3087102.680000000167638,3227561.559999999590218,13483035.539999999105930
FS( 212 ),3570672.899999999441206,3730121.419999999925494,3122120.919999999925494,3270679.419999999459833,13693594.659999998286366
FS( 213 ),3531190.979999999515712,3764011.979999999981374,3112272.040000000037253,3264818.739999999757856,13672293.740000000223517
FS( 214 ),3533110.240000000223517,3753950.720000000204891,3133064.119999999646097,3250167.040000000037253,13670292.120000001043081
FS( 215 ),3524336.479999999515712,3733828.200000000651926,3144554.479999999981374,3240120.160000000149012,13642839.320000000298023
FS( 216 ),3479096.779999999795109,3757657.500000000000000,3136347.080000000074506,3260213.919999999459833,13633315.279999999329448
FS( 217 ),3445646.819999999832362,3714764.760000000242144,3101876.000000000000000,3256027.719999999739230,13518315.300000000745058
FS( 218 ),3411648.500000000000000,3697289.939999999944121,3108441.919999999925494,3248492.559999999590218,13465872.919999998062849
FS( 219 ),3342006.779999999795109,3675578.799999999813735,3052631.600000000093132,3223793.979999999981374,13294011.160000000149012
FS( 220 ),3375456.739999999757856,3668694.780000000260770,3047707.160000000149012,3168954.759999999776483,13260813.439999999478459
FS( 221 ),3438792.319999999832362,3695171.780000000260770,3078348.119999999646097,3213328.479999999981374,13425640.699999999254942
FS( 222 ),3400955.479999999981374,3745478.080000000540167,3083819.719999999739230,3265237.359999999869615,13495490.640000000596046
FS( 223 ),3351603.079999999608845,3741241.760000000242144,3063574.800000000279397,3347286.879999999422580,13503706.519999999552965
FS( 224 ),3392455.899999999906868,3788900.359999999869615,3041688.400000000372529,3413010.219999999739230,13636054.879999998956919
FS( 225 ),3360925.199999999720603,3786252.660000000149012,2990802.519999999552965,3405056.439999999944121,13543036.819999998435378
