代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14842742.070000000298023
真實報酬,4842742.070000000298023

夏普值報酬,0.475574207000000
夏普值風險,0.114224189850897
夏普值,4.163515693311502

二次趨勢線,-16.984402567456645 x^2 + 24228.725464557635860 x + 10000000.000000000000000
二次平均預期報酬,19931.671614991100796
風險,236437.884315319330199
二次平均趨勢值,0.084299822224808
一次趨勢線,21012.316840525669249 x + 10000000.000000000000000
一次預期報酬,21012.316840525669249
一次風險,265685.616346771246754
一次趨勢值,0.079087144910022
找到最佳解世代,1888
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,9
AAPL[0](1),BA[2](3),INTC[11](16),MCD[15](14),MRK[17](9),MSFT[18](11),PG[21](8),TRV[22](22),UNH[23](23),
FS( 10 ),1073218.459999999962747,1171236.260000000009313,1092135.669999999925494,1135919.680000000167638,1191128.000000000000000,1101229.720000000204891,1140290.800000000046566,1077138.880000000121072,1344747.760000000242144,10327046.230000000447035
FS( 11 ),1068940.269999999785796,1159372.979999999981374,1067538.020000000018626,1133587.240000000223517,1164608.080000000074506,1110013.080000000074506,1137372.820000000065193,1072016.099999999860302,1330719.880000000121072,10244169.470000000670552
FS( 12 ),1105610.469999999972060,1196310.919999999925494,1090730.090000000083819,1149278.200000000186265,1176953.560000000055879,1130873.560000000288710,1178897.920000000158325,1094664.179999999934807,1345231.479999999981374,10468551.380000000819564
FS( 13 ),1112944.510000000009313,1203051.419999999925494,1099866.360000000102445,1142280.880000000121072,1178325.280000000027940,1114953.720000000204891,1188549.699999999953434,1058804.719999999972060,1328301.280000000260770,10427078.870000001043081
FS( 14 ),1098887.599999999860302,1201972.939999999944121,1094946.830000000074506,1192746.400000000139698,1192956.959999999962747,1118796.440000000176951,1212566.920000000158325,1050985.739999999990687,1343780.320000000298023,10507641.150000000372529
FS( 15 ),1084219.519999999785796,1167191.959999999962747,1066835.229999999981374,1180872.160000000149012,1194328.680000000167638,1088054.680000000167638,1190120.920000000158325,1070398.380000000121072,1302180.400000000139698,10344202.929999999701977
FS( 16 ),1069551.439999999944121,1157755.260000000009313,1057698.959999999962747,1210345.720000000204891,1196614.880000000121072,1084211.960000000195578,1190345.380000000121072,1085497.099999999860302,1272189.760000000242144,10324211.460000000894070
FS( 17 ),1141669.500000000000000,1190648.899999999906868,1087918.929999999934807,1247664.760000000242144,1214447.239999999990687,1116600.600000000093132,1207179.880000000121072,1116503.399999999906868,1315240.840000000316650,10637875.049999998882413
FS( 18 ),1161838.110000000102445,1174741.320000000065193,1086513.350000000093132,1226036.680000000167638,1217647.919999999925494,1105072.440000000176951,1162287.880000000121072,1049368.020000000018626,1329752.440000000176951,10513259.160000000149012
FS( 19 ),1179562.040000000037253,1194962.820000000065193,1104785.890000000130385,1232609.920000000158325,1224049.280000000027940,1122639.160000000149012,1180469.140000000130385,1063657.880000000121072,1315240.840000000316650,10617977.970000002533197
FS( 20 ),1185673.739999999757856,1209252.679999999934807,1104785.890000000130385,1250845.360000000102445,1261085.719999999972060,1146793.400000000139698,1165879.239999999990687,1096281.899999999906868,1286701.360000000102445,10707300.289999999105930
FS( 21 ),1216843.409999999916181,1286094.380000000121072,1159603.510000000009313,1269080.800000000279397,1258799.520000000018626,1174790.360000000102445,1197752.560000000055879,1129984.399999999906868,1330236.160000000149012,11023186.099999999627471
FS( 22 ),1218065.750000000000000,1326537.380000000121072,1137817.020000000018626,1280318.920000000158325,1266572.600000000093132,1174790.360000000102445,1205608.659999999916181,1158833.739999999990687,1359259.360000000102445,11127804.789999999105930
FS( 23 ),1230900.320000000065193,1304158.919999999925494,1120247.270000000018626,1293253.360000000102445,1261542.959999999962747,1192906.040000000270084,1207853.260000000009313,1151284.380000000121072,1330236.160000000149012,11092383.670000001788139
FS( 24 ),1254735.949999999953434,1363475.320000000065193,1133600.280000000027940,1277350.360000000102445,1215361.719999999972060,1198395.640000000130385,1197528.100000000093132,1176089.419999999925494,1319110.600000000093132,11135648.389999998733401
FS( 25 ),1263292.330000000074506,1419556.280000000027940,1118841.689999999944121,1269504.880000000121072,1192042.479999999981374,1215413.400000000139698,1193712.280000000027940,1179594.479999999981374,1310887.360000000102445,11162846.179999999701977
FS( 26 ),1255958.290000000037253,1424409.439999999944121,1118841.689999999944121,1245120.280000000027940,1185641.120000000111759,1210472.760000000242144,1192814.439999999944121,1184178.020000000018626,1260096.760000000242144,11077533.799999998882413
FS( 27 ),1246179.570000000065193,1411467.679999999934807,1153981.190000000176951,1252753.720000000204891,1176039.080000000074506,1212119.640000000130385,1176428.859999999869615,1187413.459999999962747,1256710.720000000204891,11073094.919999999925494
FS( 28 ),1224788.619999999878928,1410119.579999999841675,1156792.350000000093132,1237486.840000000083819,1170094.959999999962747,1237920.760000000242144,1169021.679999999934807,1180133.719999999972060,1244617.720000000204891,11030977.230000000447035
FS( 29 ),1221732.769999999785796,1365901.899999999906868,1149061.660000000149012,1222856.080000000074506,1197529.360000000102445,1253291.640000000130385,1167450.459999999962747,1174741.320000000065193,1163352.760000000242144,10915918.950000001117587
FS( 30 ),1196063.629999999888241,1386932.260000000009313,1146250.500000000000000,1237486.840000000083819,1192499.719999999972060,1280739.640000000130385,1179571.300000000046566,1164765.380000000121072,1171092.280000000260770,10955402.550000000745058
FS( 31 ),1188118.419999999925494,1335165.219999999972060,1123058.429999999934807,1225188.520000000251457,1141288.840000000083819,1285680.280000000260770,1152187.179999999934807,1147509.699999999953434,1137231.880000000121072,10735429.470000000670552
FS( 32 ),1190563.099999999860302,1316561.439999999944121,1114624.949999999953434,1210133.680000000167638,1117055.120000000111759,1287327.160000000149012,1124578.600000000093132,1142386.919999999925494,1161901.600000000093132,10665133.570000000298023
FS( 33 ),1183840.229999999981374,1309012.079999999841675,1134303.070000000065193,1216494.880000000121072,1132601.280000000027940,1299953.240000000223517,1122558.459999999962747,1146161.599999999860302,1161901.600000000093132,10706827.439999999478459
FS( 34 ),1186284.909999999916181,1320066.500000000000000,1115327.739999999990687,1233246.040000000037253,1172838.399999999906868,1290071.960000000195578,1148595.820000000065193,1146700.840000000083819,1231073.560000000055879,10844206.769999999552965
FS( 35 ),1218065.750000000000000,1306046.260000000009313,1125166.800000000046566,1233458.080000000074506,1184726.640000000130385,1321362.680000000167638,1136699.439999999944121,1134567.939999999944121,1230106.120000000111759,10890200.709999997168779
FS( 36 ),1199119.479999999981374,1264524.780000000027940,1101974.729999999981374,1212890.200000000186265,1151348.120000000111759,1277994.840000000316650,1134903.760000000009313,1107066.699999999953434,1188022.479999999981374,10637846.089999999850988
FS( 37 ),1169783.320000000065193,1182829.919999999925494,1111111.000000000000000,1203560.440000000176951,1148147.439999999944121,1281288.600000000093132,1134679.300000000046566,1105448.979999999981374,1187055.040000000037253,10523905.039999999105930
FS( 38 ),1189340.760000000009313,1114076.820000000065193,1131491.910000000149012,1193806.600000000093132,1163693.600000000093132,1288425.080000000074506,1134679.300000000046566,1098978.099999999860302,1200115.479999999981374,10514608.650000000372529
FS( 39 ),1221121.599999999860302,1146700.840000000083819,1146250.500000000000000,1218403.240000000223517,1214904.479999999981374,1305991.800000000046566,1160043.280000000027940,1103022.399999999906868,1208822.440000000176951,10725261.580000000074506
FS( 40 ),1243734.890000000130385,1129175.540000000037253,1144844.919999999925494,1208649.400000000139698,1234565.800000000046566,1281837.560000000288710,1161614.500000000000000,1102213.540000000037253,1198180.600000000093132,10704817.749999998137355
FS( 41 ),1239456.699999999953434,1149936.280000000027940,1151170.030000000027940,1213526.320000000065193,1273431.200000000186265,1309834.520000000251457,1172388.579999999841675,1105718.599999999860302,1215110.800000000279397,10830574.030000001192093
FS( 42 ),1243734.890000000130385,1145891.979999999981374,1163117.459999999962747,1219039.360000000102445,1278460.840000000083819,1304893.880000000121072,1147024.600000000093132,1106527.459999999962747,1208338.720000000204891,10817030.189999999478459
FS( 43 ),1246790.739999999757856,1138612.239999999990687,1197554.169999999925494,1234518.280000000027940,1282576.000000000000000,1319715.800000000046566,1167226.000000000000000,1108954.040000000037253,1217045.680000000167638,10912993.949999999254942
FS( 44 ),1222343.939999999944121,1100865.439999999944121,1175064.889999999897555,1218191.200000000186265,1235023.040000000037253,1282935.480000000214204,1147249.060000000055879,1056917.380000000121072,1156580.680000000167638,10595172.110000001266599
FS( 45 ),1210120.540000000037253,1093585.699999999953434,1162414.669999999925494,1229641.360000000102445,1275260.160000000149012,1273603.160000000149012,1171041.820000000065193,1076869.260000000009313,1165287.640000000130385,10657825.310000000521541
FS( 46 ),1182006.719999999972060,1052603.459999999962747,1142033.760000000009313,1204408.600000000093132,1262914.680000000167638,1236822.840000000316650,1165205.859999999869615,1052603.459999999962747,1217529.400000000139698,10516129.779999999329448
FS( 47 ),1197897.140000000130385,1066354.079999999841675,1120247.270000000018626,1209497.560000000055879,1282118.760000000009313,1238469.720000000204891,1181591.439999999944121,1053412.320000000065193,1193343.400000000139698,10542932.689999999478459
FS( 48 ),1190563.099999999860302,1059613.579999999841675,1125869.590000000083819,1203772.480000000214204,1235023.040000000037253,1231882.200000000186265,1176428.859999999869615,1052873.079999999841675,1206403.840000000316650,10482430.769999999552965
FS( 49 ),1209509.369999999878928,1069050.280000000027940,1127275.169999999925494,1209709.600000000093132,1209417.600000000093132,1229137.400000000139698,1172164.119999999878928,1051524.979999999981374,1193343.400000000139698,10471132.919999999925494
FS( 50 ),1242512.549999999813735,1090350.260000000009313,1158900.719999999972060,1214374.480000000214204,1226335.479999999981374,1275250.040000000270084,1189223.079999999841675,1089271.780000000027940,1209789.880000000121072,10696009.269999999552965
FS( 51 ),1241901.379999999888241,1089541.399999999906868,1182795.579999999841675,1218403.240000000223517,1241881.640000000130385,1268662.520000000251457,1201792.840000000083819,1066084.459999999962747,1198180.600000000093132,10709244.660000002011657
FS( 52 ),1282238.599999999860302,1115155.300000000046566,1268535.959999999962747,1210345.720000000204891,1267029.840000000083819,1324107.480000000214204,1226707.899999999906868,1087923.679999999934807,1204952.680000000167638,10986998.160000000149012
FS( 53 ),1287739.129999999888241,1133759.079999999841675,1300161.510000000009313,1213314.280000000027940,1274345.680000000167638,1341674.200000000186265,1239277.659999999916181,1093046.459999999962747,1221399.160000000149012,11104718.160000000149012
FS( 54 ),1325020.500000000000000,1115155.300000000046566,1320542.419999999925494,1226460.760000000242144,1265658.120000000111759,1333439.800000000046566,1255214.320000000065193,1089811.020000000018626,1213659.640000000130385,11144962.880000000819564
FS( 55 ),1334799.219999999972060,1137803.380000000121072,1328273.109999999869615,1235790.520000000251457,1277546.360000000102445,1346614.840000000316650,1247133.760000000009313,1091159.119999999878928,1201566.640000000130385,11200687.950000001117587
FS( 56 ),1322575.820000000065193,1159912.219999999972060,1328273.109999999869615,1243211.920000000158325,1355734.399999999906868,1363083.640000000130385,1245562.540000000037253,1097630.000000000000000,1237845.640000000130385,11353830.290000002831221
FS( 57 ),1368413.570000000065193,1132410.979999999981374,1345140.070000000065193,1247240.680000000167638,1346589.600000000093132,1361436.760000000242144,1231646.020000000018626,1115155.300000000046566,1257678.160000000149012,11405712.140000000596046
FS( 58 ),1378192.290000000037253,1131062.880000000121072,1369034.929999999934807,1189353.760000000242144,1383168.800000000046566,1403157.720000000204891,1238155.359999999869615,1148857.800000000046566,1308468.760000000242144,11549453.299999998882413
FS( 59 ),1397138.559999999823049,1142386.919999999925494,1360601.449999999953434,1189141.720000000204891,1417004.560000000055879,1287327.160000000149012,1253418.640000000130385,1165304.619999999878928,1321529.200000000186265,11533853.830000001937151
FS( 60 ),1397749.729999999981374,1138881.860000000102445,1368332.139999999897555,1186809.280000000027940,1406945.280000000027940,1268662.520000000251457,1252071.880000000121072,1173932.459999999962747,1336040.800000000279397,11529426.950000002980232
FS( 61 ),1397138.559999999823049,1166113.479999999981374,1361304.239999999990687,1197411.280000000027940,1372652.280000000027940,1288425.080000000074506,1250500.659999999916181,1168809.679999999934807,1406663.920000000158325,11609020.179999999701977
FS( 62 ),1397138.559999999823049,1169348.919999999925494,1363412.609999999869615,1196139.040000000037253,1365793.680000000167638,1306540.760000000242144,1259703.520000000018626,1149397.040000000037253,1374254.680000000167638,11581729.809999998658895
FS( 63 ),1421585.360000000102445,1165843.860000000102445,1358493.079999999841675,1178751.760000000242144,1368994.360000000102445,1307089.720000000204891,1262172.579999999841675,1130793.260000000009313,1359259.360000000102445,11552984.339999999850988
FS( 64 ),1426474.719999999972060,1156946.399999999906868,1352870.760000000009313,1167513.640000000130385,1372195.040000000037253,1291169.880000000121072,1246011.459999999962747,1161260.320000000065193,1357324.479999999981374,11531767.699999999254942
FS( 65 ),1453366.199999999953434,1180672.959999999962747,1361304.239999999990687,1168997.920000000158325,1372652.280000000027940,1308187.640000000130385,1248256.060000000055879,1213836.219999999972060,1323464.080000000074506,11630738.600000001490116
FS( 66 ),1445420.989999999757856,1190648.899999999906868,1357790.290000000037253,1166453.440000000176951,1364421.959999999962747,1304893.880000000121072,1244889.159999999916181,1247269.099999999860302,1302664.120000000111759,11624452.839999999850988
FS( 67 ),1441753.969999999972060,1187143.840000000083819,1325461.949999999953434,1168149.760000000242144,1353905.439999999944121,1307089.720000000204891,1210097.859999999869615,1255896.939999999944121,1266385.120000000111759,11515885.599999997764826
FS( 68 ),1431364.080000000074506,1227317.219999999972060,1314217.310000000055879,1162848.760000000242144,1342474.439999999944121,1287876.120000000344589,1155105.159999999916181,1261289.340000000083819,1256710.720000000204891,11439204.150000000372529
FS( 69 ),1444809.820000000065193,1258862.760000000009313,1300161.510000000009313,1170482.200000000186265,1376310.200000000186265,1293365.720000000204891,1167899.380000000121072,1279623.500000000000000,1282347.880000000121072,11573863.970000002533197
FS( 70 ),1438086.949999999953434,1234057.719999999972060,1318434.050000000046566,1193170.480000000214204,1399172.200000000186265,1285680.280000000260770,1171041.820000000065193,1251583.020000000018626,1309436.200000000186265,11600663.719999998807907
FS( 71 ),1421585.360000000102445,1223812.159999999916181,1310000.570000000065193,1187869.480000000214204,1386826.719999999972060,1269760.440000000176951,1165654.780000000027940,1211409.639999999897555,1345715.200000000186265,11522635.350000001490116
FS( 72 ),1443587.479999999981374,1249426.060000000055879,1321948.000000000000000,1192958.440000000176951,1405573.560000000055879,1291718.840000000316650,1169021.679999999934807,1251852.639999999897555,1344264.040000000037253,11670351.740000002086163
FS( 73 ),1470478.959999999962747,1256975.419999999925494,1338814.959999999962747,1182780.520000000251457,1416547.320000000065193,1296659.480000000214204,1173959.800000000046566,1279893.119999999878928,1372319.800000000279397,11788430.380000000819564
FS( 74 ),1456422.049999999813735,1209791.919999999925494,1319136.840000000083819,1171966.480000000214204,1416547.320000000065193,1300502.200000000186265,1175531.020000000018626,1273961.479999999981374,1357324.479999999981374,11681184.790000000968575
FS( 75 ),1393471.540000000037253,1190648.899999999906868,1296647.560000000055879,1155639.400000000139698,1411974.919999999925494,1276347.960000000195578,1171939.659999999916181,1256705.800000000046566,1377640.720000000204891,11531017.460000000894070
FS( 76 ),1431975.250000000000000,1180403.340000000083819,1319136.840000000083819,1171754.440000000176951,1404201.840000000083819,1294463.640000000130385,1177326.699999999953434,1280971.599999999860302,1363129.120000000111759,11623363.769999999552965
FS( 77 ),1436864.610000000102445,1173393.219999999972060,1321245.209999999962747,1180024.000000000000000,1439409.320000000065193,1298306.360000000102445,1185182.800000000046566,1293104.500000000000000,1363129.120000000111759,11690660.140000000596046
FS( 78 ),1452143.860000000102445,1206286.860000000102445,1314920.100000000093132,1190413.960000000195578,1433007.959999999962747,1299404.280000000260770,1190120.920000000158325,1289060.199999999953434,1373287.240000000223517,11748646.380000000819564
FS( 79 ),1477201.830000000074506,1236753.919999999925494,1327570.320000000065193,1193170.480000000214204,1488791.240000000223517,1340027.320000000298023,1202690.679999999934807,1299575.380000000121072,1398924.400000000139698,11964706.570000002160668
FS( 80 ),1475979.489999999757856,1270726.040000000037253,1318434.050000000046566,1185537.040000000037253,1486047.800000000046566,1352653.400000000139698,1197303.640000000130385,1292834.880000000121072,1436170.840000000316650,12015688.180000001564622
FS( 81 ),1479035.339999999850988,1300923.479999999981374,1342328.910000000149012,1196987.200000000186265,1506623.600000000093132,1352653.400000000139698,1198650.399999999906868,1305776.639999999897555,1447296.400000000139698,12130276.370000001043081
FS( 82 ),1461922.580000000074506,1289329.820000000065193,1365520.979999999981374,1208649.400000000139698,1494278.120000000111759,1347712.760000000242144,1197752.560000000055879,1315482.959999999962747,1399408.120000000111759,12080058.300000000745058
FS( 83 ),1479646.510000000009313,1397177.820000000065193,1368332.139999999897555,1212042.040000000037253,1502965.679999999934807,1355398.200000000186265,1191018.760000000009313,1326537.380000000121072,1399891.840000000316650,12233011.370000001043081
FS( 84 ),1484535.869999999878928,1376147.459999999962747,1423149.760000000009313,1188929.680000000167638,1477817.479999999981374,1354849.240000000223517,1193936.739999999990687,1337591.800000000046566,1363129.120000000111759,12200088.150000002235174
FS( 85 ),1468645.449999999953434,1339209.520000000018626,1428069.290000000037253,1192534.360000000102445,1482847.120000000111759,1353202.360000000102445,1214587.060000000055879,1359431.020000000018626,1354422.160000000149012,12192949.339999999850988
FS( 86 ),1442976.309999999823049,1314943.719999999972060,1385901.889999999897555,1179811.960000000195578,1453583.760000000009313,1317519.960000000195578,1190120.920000000158325,1328155.099999999860302,1322012.920000000158325,11935027.539999999105930
FS( 87 ),1442365.140000000130385,1304967.780000000027940,1368332.139999999897555,1174086.880000000121072,1408774.239999999990687,1309834.520000000251457,1185182.800000000046566,1325189.280000000027940,1386347.680000000167638,11905081.459999999031425
FS( 88 ),1453977.369999999878928,1306585.500000000000000,1364818.190000000176951,1178327.680000000167638,1382711.560000000055879,1323558.520000000251457,1186754.020000000018626,1345950.020000000018626,1396505.800000000279397,11939189.660000002011657
FS( 89 ),1486980.549999999813735,1325189.280000000027940,1380279.570000000065193,1190413.960000000195578,1403744.600000000093132,1351555.480000000214204,1186529.560000000055879,1351342.419999999925494,1396989.520000000018626,12073025.940000001341105
FS( 90 ),1509593.839999999850988,1334625.979999999981374,1391524.209999999962747,1192110.280000000027940,1416090.080000000074506,1362534.680000000167638,1216607.199999999953434,1320336.119999999878928,1346682.640000000130385,12090106.029999999329448
FS( 91 ),1494314.589999999850988,1362396.840000000083819,1400660.479999999981374,1168149.760000000242144,1442610.000000000000000,1360338.840000000316650,1206730.959999999962747,1324919.659999999916181,1373770.960000000195578,12133893.089999999850988
FS( 92 ),1506537.989999999757856,1361318.360000000102445,1388713.050000000046566,1163060.800000000279397,1461356.840000000083819,1372415.960000000195578,1257907.840000000083819,1308203.219999999972060,1408115.080000000074506,12227630.140000000596046
FS( 93 ),1502870.969999999972060,1384505.679999999934807,1371143.300000000046566,1153306.960000000195578,1487876.760000000009313,1364730.520000000251457,1248929.439999999944121,1305237.399999999906868,1406180.200000000186265,12224782.230000000447035
FS( 94 ),1516927.879999999888241,1374260.119999999878928,1360601.449999999953434,1149914.320000000065193,1503880.160000000149012,1372415.960000000195578,1241297.800000000046566,1320875.360000000102445,1391184.880000000121072,12231358.930000001564622
FS( 95 ),1529151.280000000027940,1403918.320000000065193,1373954.459999999962747,1165817.320000000065193,1495192.600000000093132,1383395.160000000149012,1235237.380000000121072,1321414.599999999860302,1339910.560000000055879,12247992.680000001564622
FS( 96 ),1587823.599999999860302,1411737.300000000046566,1380982.359999999869615,1197411.280000000027940,1470958.880000000121072,1383395.160000000149012,1241522.260000000009313,1317100.679999999934807,1416822.040000000037253,12407754.559999998658895
FS( 97 ),1611048.059999999823049,1425757.540000000037253,1364115.399999999906868,1197199.240000000223517,1463643.040000000037253,1388884.760000000242144,1246460.380000000121072,1286094.380000000121072,1419240.640000000130385,12402444.440000003203750
FS( 98 ),1615326.250000000000000,1429532.219999999972060,1374657.250000000000000,1208649.400000000139698,1457698.919999999925494,1386688.920000000391155,1286638.719999999972060,1277196.919999999925494,1382477.920000000158325,12418867.520000001415610
FS( 99 ),1606769.869999999878928,1425218.300000000046566,1373251.669999999925494,1190413.960000000195578,1454955.479999999981374,1388884.760000000242144,1281700.600000000093132,1288520.959999999962747,1382961.640000000130385,12392678.239999998360872
FS( 100 ),1610436.890000000130385,1432767.659999999916181,1372548.880000000121072,1183416.640000000130385,1432550.719999999972060,1414685.880000000121072,1284843.040000000037253,1283128.560000000055879,1334105.920000000158325,12348485.190000001341105
FS( 101 ),1619604.439999999944121,1412006.919999999925494,1397146.530000000027940,1177691.560000000055879,1432550.719999999972060,1411392.120000000344589,1285067.500000000000000,1275039.959999999962747,1290571.120000000111759,12301071.870000001043081
FS( 102 ),1604936.360000000102445,1396368.959999999962747,1373251.669999999925494,1189989.880000000121072,1417919.040000000037253,1424018.200000000186265,1298310.640000000130385,1281241.219999999972060,1259129.320000000298023,12245166.290000000968575
FS( 103 ),1592101.790000000037253,1389089.219999999972060,1361304.239999999990687,1207589.200000000186265,1428892.800000000046566,1402608.760000000242144,1302126.459999999962747,1287442.479999999981374,1225752.640000000130385,12196908.589999999850988
FS( 104 ),1625104.969999999972060,1430880.320000000065193,1387307.469999999972060,1212254.080000000074506,1464557.520000000018626,1417979.640000000130385,1305493.359999999869615,1325458.899999999906868,1248003.760000000242144,12417041.019999999552965
FS( 105 ),1618382.099999999860302,1472671.419999999925494,1369034.929999999934807,1212254.080000000074506,1456327.200000000186265,1413587.960000000195578,1299881.859999999869615,1320066.500000000000000,1242199.120000000111759,12404406.169999998062849
FS( 106 ),1618382.099999999860302,1459999.280000000027940,1375360.040000000037253,1210133.680000000167638,1446267.919999999925494,1411941.080000000074506,1300106.320000000065193,1327346.239999999990687,1211241.040000000037253,12360778.699999999254942
FS( 107 ),1579267.219999999972060,1404996.800000000046566,1328273.109999999869615,1203136.360000000102445,1425692.120000000111759,1365828.440000000176951,1270926.520000000018626,1314943.719999999972060,1199148.040000000037253,12092213.330000001937151
FS( 108 ),1614103.909999999916181,1385853.780000000027940,1333192.639999999897555,1202500.240000000223517,1447182.399999999906868,1370220.120000000344589,1273844.500000000000000,1322223.459999999962747,1174478.320000000298023,12123600.370000001043081
FS( 109 ),1623882.629999999888241,1409580.340000000083819,1342328.910000000149012,1200379.840000000083819,1452669.280000000027940,1352653.400000000139698,1272273.280000000027940,1320875.360000000102445,1162869.040000000037253,12137513.079999998211861
FS( 110 ),1658719.320000000065193,1409849.959999999962747,1379576.780000000027940,1217979.160000000149012,1486505.040000000037253,1378454.520000000251457,1280129.380000000121072,1335434.840000000083819,1179315.520000000018626,12325965.520000001415610
FS( 111 ),1661164.000000000000000,1396368.959999999962747,1388010.260000000009313,1211617.960000000195578,1471873.359999999869615,1377905.560000000288710,1278333.699999999953434,1319257.639999999897555,1211724.760000000242144,12316257.199999999254942
FS( 112 ),1652607.619999999878928,1410119.579999999841675,1397146.530000000027940,1205892.880000000121072,1482847.120000000111759,1409196.280000000260770,1294045.899999999906868,1303619.679999999934807,1168673.680000000167638,12324150.269999999552965
FS( 113 ),1662997.510000000009313,1420634.760000000009313,1417527.440000000176951,1202288.200000000186265,1488791.240000000223517,1402608.760000000242144,1292025.760000000009313,1316022.199999999953434,1193343.400000000139698,12396240.269999999552965
FS( 114 ),1666053.360000000102445,1392863.899999999906868,1433691.609999999869615,1201864.120000000111759,1502508.439999999944121,1411941.080000000074506,1290679.000000000000000,1316561.439999999944121,1220431.720000000204891,12436595.669999999925494
FS( 115 ),1659330.489999999757856,1399334.780000000027940,1440016.719999999972060,1209709.600000000093132,1482389.880000000121072,1416881.720000000204891,1285291.959999999962747,1294722.219999999972060,1174962.040000000037253,12362640.410000000149012
FS( 116 ),1670331.549999999813735,1415781.599999999860302,1463911.579999999841675,1219251.400000000139698,1504337.399999999906868,1425116.120000000344589,1286414.260000000009313,1311977.899999999906868,1203017.800000000279397,12500140.610000001266599
FS( 117 ),1663608.679999999934807,1395560.099999999860302,1452666.940000000176951,1234094.200000000186265,1522627.000000000000000,1466288.120000000344589,1284843.040000000037253,1309012.079999999841675,1187538.760000000242144,12516239.920000001788139
FS( 118 ),1641606.559999999823049,1434115.760000000009313,1418230.229999999981374,1246392.520000000251457,1518511.840000000083819,1454759.960000000195578,1289332.239999999990687,1312247.520000000018626,1182701.560000000055879,12497899.190000001341105
FS( 119 ),1657496.979999999981374,1441125.880000000121072,1434394.399999999906868,1256994.520000000251457,1542288.319999999832362,1447074.520000000251457,1297188.340000000083819,1315752.579999999841675,1205436.400000000139698,12597752.939999999478459
