代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14374222.070000000298023
真實報酬,4374222.070000000298023

夏普值報酬,0.428722207000000
夏普值風險,0.136108350413905
夏普值,3.149859694105886

二次趨勢線,100.471715903698922 x^2 + -5177.320828043897563 x + 10000000.000000000000000
二次平均預期報酬,20242.023295591923670
風險,283304.315846839512233
二次平均趨勢值,0.071449752662911
一次趨勢線,13849.435763509263779 x + 10000000.000000000000000
一次預期報酬,13849.435763509263779
一次風險,770827.221361772390082
一次趨勢值,0.017966978046056
找到最佳解世代,1690
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](4),HD[9](2),MCD[15](5),
FS( 14 ),3278081.399999999906868,3336902.800000000279397,3497370.689999999944121,10112355.890000000596046
FS( 15 ),3226872.600000000093132,3306559.499999999534339,3489741.029999999795109,10023174.129999998956919
FS( 16 ),3218787.000000000000000,3286033.149999999906868,3496946.819999999832362,10001767.970000000670552
FS( 17 ),3197899.200000000186265,3261936.999999999534339,3502881.000000000000000,9962718.199999999254942
FS( 18 ),3241696.199999999720603,3269076.600000000093132,3506271.959999999962747,10017045.759999999776483
FS( 19 ),3224851.199999999720603,3229808.799999999813735,3493979.729999999981374,9948640.730000000447035
FS( 20 ),3247760.399999999906868,3212852.250000000000000,3459646.260000000242144,9920259.910000000149012
FS( 21 ),3348156.599999999627471,3237840.850000000093132,3456255.300000000279397,10042253.750000000000000
FS( 22 ),3325921.199999999720603,3159305.250000000000000,3432518.580000000074506,9917746.029999999329448
FS( 23 ),3331311.599999999627471,3131639.300000000279397,3422769.569999999832362,9885721.470000000670552
FS( 24 ),3305707.200000000186265,3090586.600000000093132,3413868.300000000279397,9810163.100000001490116
FS( 25 ),3253824.599999999627471,3060243.299999999813735,3420650.219999999739230,9734719.119999999180436
FS( 26 ),3195877.799999999813735,3063813.099999999627471,3439300.500000000000000,9698992.399999998509884
FS( 27 ),3197899.200000000186265,3043286.750000000000000,3439724.370000000111759,9680911.320000000298023
FS( 28 ),3191161.199999999720603,3063813.099999999627471,3444386.939999999944121,9699362.239999998360872
FS( 29 ),3137257.200000000186265,2987062.399999999906868,3406238.639999999664724,9530559.239999998360872
FS( 30 ),3143995.199999999720603,2990632.199999999720603,3421921.830000000074506,9556550.230000000447035
FS( 31 ),3199920.600000000093132,3101296.000000000000000,3453288.209999999962747,9754505.809999998658895
FS( 32 ),3145342.799999999813735,3023652.850000000093132,3443539.199999999720603,9612535.849999999627471
FS( 33 ),3129845.399999999906868,3078984.750000000000000,3467699.790000000037253,9676530.940000001341105
FS( 34 ),3082679.399999999906868,3081662.100000000093132,3497794.559999999590218,9662137.059999998658895
FS( 35 ),3035513.399999999906868,3103080.900000000372529,3505000.349999999627471,9643595.650000000372529
FS( 36 ),3131193.000000000000000,3161982.600000000093132,3509662.919999999925494,9802839.519999999552965
FS( 37 ),3105588.600000000093132,3117360.100000000093132,3503304.870000000111759,9726254.570000000298023
FS( 38 ),3188466.000000000000000,3181616.500000000000000,3488045.550000000279397,9858129.050000000745058
FS( 39 ),3141299.999999999534339,3130746.849999999627471,3468971.399999999906868,9741019.250000000000000
FS( 40 ),3195877.799999999813735,3141456.250000000465661,3489317.159999999683350,9826652.210000000894070
FS( 41 ),3226872.600000000093132,3218206.950000000186265,3575362.769999999552965,10020443.320000000298023
FS( 42 ),3215418.000000000000000,3211067.349999999627471,3584687.909999999683350,10011174.259999999776483
FS( 43 ),3230915.399999999906868,3232486.149999999906868,3574091.159999999683350,10037493.709999999031425
FS( 44 ),3304359.599999999627471,3278001.099999999627471,3630465.870000000111759,10212827.570000000298023
FS( 45 ),3363654.000000000000000,3265506.800000000279397,3630042.000000000000000,10259203.800000000745058
FS( 46 ),3385889.399999999906868,3263721.899999999906868,3639367.139999999664724,10288979.439999999478459
FS( 47 ),3438445.799999999813735,3306559.499999999534339,3647844.540000000037253,10392850.839999999850988
FS( 48 ),3462702.600000000093132,3268184.149999999906868,3628346.519999999552965,10359234.269999999552965
FS( 49 ),3407451.000000000000000,3244980.449999999720603,3617749.769999999552965,10270182.219999998807907
FS( 50 ),3405429.599999999627471,3222669.199999999720603,3602490.449999999720603,10230590.249999998137355
FS( 51 ),3446531.399999999906868,3224454.100000000093132,3601218.839999999385327,10272205.339999999850988
FS( 52 ),3443836.199999999720603,3209282.450000000186265,3637247.790000000037253,10290367.440000001341105
FS( 53 ),3512563.800000000279397,3204820.199999999720603,3623260.080000000074506,10340645.080000000074506
FS( 54 ),3598136.399999999906868,3185186.299999999813735,3619869.120000000111759,10403192.820000000298023
FS( 55 ),3627783.600000000093132,3222669.199999999720603,3654202.589999999385327,10504656.389999998733401
FS( 56 ),3724137.000000000000000,3249442.699999999720603,3656745.809999999590218,10630326.509999997913837
FS( 57 ),3728179.799999999813735,3277108.649999999906868,3668190.300000000279397,10673479.750000000000000
FS( 58 ),3786126.599999999627471,3259259.650000000372529,3753812.040000000037253,10799199.289999999105930
FS( 59 ),3835987.799999999813735,3270861.500000000000000,3735161.760000000242144,10842012.060000000521541
FS( 60 ),3883153.800000000279397,3247657.800000000279397,3730923.059999999590218,10861735.660000000149012
FS( 61 ),3778714.799999999813735,3179831.600000000093132,3691503.149999999906868,10650050.550000000745058
FS( 62 ),3771303.000000000000000,3136994.000000000000000,3678363.179999999701977,10586661.179999999701977
FS( 63 ),3758500.799999999813735,3117360.100000000093132,3665647.080000000074506,10541508.980000000447035
FS( 64 ),3819142.799999999813735,3056673.500000000000000,3661832.250000000000000,10537649.550000000745058
FS( 65 ),3743677.200000000186265,2929053.149999999906868,3605457.540000000037253,10278188.890000000596046
FS( 66 ),3778714.799999999813735,2940655.000000000465661,3625803.300000000279397,10345174.100000001490116
FS( 67 ),3632500.199999999720603,2829098.750000000000000,3572395.679999999701977,10033995.629999998956919
FS( 68 ),3596114.999999999534339,2743423.549999999813735,3606305.279999999795109,9945844.829999998211861
FS( 69 ),3400039.200000000186265,2581890.100000000093132,3480415.889999999664724,9462346.190000001341105
FS( 70 ),3600157.799999999813735,2690769.000000000000000,3643605.839999999385327,9934533.639999998733401
FS( 71 ),3501109.200000000186265,2544407.200000000186265,3563918.279999999795109,9609435.679999999701977
FS( 72 ),3597462.600000000093132,2681844.500000000000000,3657169.679999999701977,9936477.779999999329448
FS( 73 ),3629131.199999999720603,2729144.349999999627471,3666494.819999999832362,10024771.369999999180436
FS( 74 ),3690447.000000000000000,2807679.950000000186265,3680058.659999999683350,10178186.609999999403954
FS( 75 ),3662147.399999999906868,2955826.649999999906868,3673700.609999999869615,10291675.660000000149012
FS( 76 ),3662147.399999999906868,2981707.699999999720603,3708881.819999999832362,10352737.919999999925494
FS( 77 ),3523344.599999999627471,2870151.449999999720603,3628770.389999999664724,10022267.439999997615814
FS( 78 ),3426991.199999999720603,2845162.850000000093132,3697437.330000000074506,9969592.379999998956919
FS( 79 ),3431034.000000000000000,2880860.850000000093132,3719902.439999999944121,10031798.289999999105930
FS( 80 ),3596114.999999999534339,2954934.199999999720603,3794927.429999999701977,10345977.629999998956919
FS( 81 ),3621045.600000000093132,3067382.899999999906868,3820359.629999999422580,10508789.129999998956919
FS( 82 ),3597462.600000000093132,3020083.050000000279397,3760170.089999999385327,10377716.740000000223517
FS( 83 ),3692468.399999999906868,3034362.250000000000000,3811882.229999999981374,10538713.880000000819564
FS( 84 ),3753784.200000000186265,3033469.800000000279397,3848335.050000000279397,10635590.050000000745058
FS( 85 ),3753784.200000000186265,2995986.899999999906868,3847911.179999999701977,10597683.279999999329448
FS( 86 ),3704596.799999999813735,2979030.350000000093132,3832227.989999999757856,10515856.140000000596046
FS( 87 ),3667537.799999999813735,2938870.100000000093132,3817816.409999999683350,10424225.310000000521541
FS( 88 ),3600831.599999999627471,2871936.350000000093132,3776277.149999999906868,10249046.099999999627471
FS( 89 ),3655409.399999999906868,2860334.499999999534339,3764832.659999999683350,10280577.559999998658895
FS( 90 ),3695837.399999999906868,2933515.399999999906868,3784754.550000000279397,10414108.349999999627471
FS( 91 ),3697858.800000000279397,2896924.950000000186265,3755931.389999999664724,10350716.140000000596046
FS( 92 ),3633847.799999999813735,2844270.399999999906868,3604185.929999999701977,10082305.129999998956919
FS( 93 ),3657430.799999999813735,2887108.000000000000000,3653354.849999999627471,10197894.649999998509884
FS( 94 ),3702575.399999999906868,2914773.949999999720603,3650387.760000000242144,10267738.109999999403954
FS( 95 ),3747046.199999999720603,2993309.549999999813735,3677091.569999999832362,10417448.320000000298023
FS( 96 ),3782757.600000000093132,3059350.850000000093132,3733042.409999999683350,10575151.859999999403954
FS( 97 ),3854854.200000000186265,3088801.699999999720603,3742367.550000000279397,10686024.450000001117587
FS( 98 ),3961988.399999999906868,3065598.000000000000000,3764408.790000000037253,10791996.190000001341105
FS( 99 ),3979507.200000000186265,3106650.700000000186265,3785602.290000000037253,10871761.190000001341105
FS( 100 ),3967378.800000000279397,3020083.050000000279397,3709729.559999999590218,10697192.410000000149012
FS( 101 ),3867656.399999999906868,2949579.499999999534339,3644877.449999999720603,10462114.349999999627471
FS( 102 ),3891913.199999999720603,3009373.649999999906868,3703371.510000000242144,10604659.359999999403954
FS( 103 ),3881132.399999999906868,3034362.250000000000000,3786873.899999999906868,10702369.550000000745058
FS( 104 ),3843399.599999999627471,3023652.850000000093132,3803828.699999999720603,10670882.149999998509884
FS( 105 ),3821838.000000000000000,2998664.250000000000000,3731346.929999999701977,10551850.179999999701977
FS( 106 ),3759848.399999999906868,3015620.799999999813735,3763137.179999999701977,10538607.379999998956919
FS( 107 ),3670233.000000000000000,2933515.399999999906868,3722445.659999999683350,10326195.060000000521541
FS( 108 ),3605548.199999999720603,2819281.799999999813735,3646149.059999999590218,10070980.059999998658895
FS( 109 ),3585334.200000000186265,2897817.399999999906868,3665647.080000000074506,10148799.679999999701977
FS( 110 ),3641259.599999999627471,2929945.599999999627471,3638095.529999999795109,10209301.729999998584390
FS( 111 ),3632500.199999999720603,2979030.350000000093132,3692350.889999999664724,10303882.439999999478459
FS( 112 ),3559729.799999999813735,3027222.650000000372529,3696165.719999999739230,10283119.169999999925494
FS( 113 ),3742329.599999999627471,3093263.949999999720603,3751692.689999999944121,10587287.239999998360872
FS( 114 ),3852832.799999999813735,3097726.200000000186265,3786873.899999999906868,10737433.900000000372529
FS( 115 ),3871699.200000000186265,3098618.649999999906868,3745334.639999999664724,10715653.489999998360872
FS( 116 ),3931667.399999999906868,3070952.699999999720603,3785602.290000000037253,10788223.390000000596046
FS( 117 ),4062384.599999999627471,3128069.499999999534339,3812306.099999999627471,11002761.199999999254942
FS( 118 ),4042844.399999999906868,3092371.500000000000000,3758050.739999999757856,10893267.640000000596046
FS( 119 ),4064406.000000000000000,3208390.000000000465661,3799590.000000000000000,11072387.000000000000000
FS( 120 ),3837335.399999999906868,3159305.250000000000000,3798742.260000000242144,10795383.910000000149012
FS( 121 ),3804993.000000000000000,3188756.099999999627471,3772886.189999999944121,10766636.289999999105930
FS( 122 ),3781409.999999999534339,3289602.949999999720603,3913187.159999999683350,10984201.109999999403954
FS( 123 ),3906063.000000000000000,3275323.750000000465661,3900047.189999999944121,11081434.939999999478459
FS( 124 ),3828576.000000000000000,3216422.049999999813735,3889874.309999999590218,10934873.359999999403954
FS( 125 ),3856201.799999999813735,3261936.999999999534339,3890298.179999999701977,11008437.979999998584390
FS( 126 ),3895282.200000000186265,3335117.899999999906868,3963627.689999999944121,11194028.789999999105930
FS( 127 ),3897977.399999999906868,3223561.649999999906868,3954302.550000000279397,11075842.599999999627471
FS( 128 ),3896629.799999999813735,3195003.249999999534339,3935652.269999999552965,11027286.319999998435378
FS( 129 ),3816447.600000000093132,3171799.549999999813735,3895808.489999999757856,10884056.640000000596046
FS( 130 ),3825207.000000000000000,3211959.800000000279397,3922088.429999999701977,10959256.230000000447035
FS( 131 ),3879784.799999999813735,3253012.500000000465661,3942010.319999999832362,11074808.620000001043081
FS( 132 ),3852832.799999999813735,3247657.800000000279397,3976343.790000000037253,11076835.390000000596046
FS( 133 ),3847442.399999999906868,3332440.550000000279397,4010677.260000000242144,11190561.210000000894070
FS( 134 ),3910105.799999999813735,3385987.549999999813735,4009829.519999999552965,11305923.869999999180436
FS( 135 ),3804993.000000000000000,3316376.449999999720603,3927174.870000000111759,11048545.320000000298023
FS( 136 ),3707965.799999999813735,3319946.250000000465661,3953030.939999999944121,10980943.990000000223517
FS( 137 ),3702575.399999999906868,3396696.950000000186265,4016611.439999999944121,11115884.789999999105930
FS( 138 ),3650692.799999999813735,3413653.500000000000000,3986940.540000000037253,11051287.839999999850988
FS( 139 ),3743003.399999999906868,3397589.399999999906868,4004319.209999999962747,11144913.009999999776483
FS( 140 ),3703923.000000000000000,3377063.050000000279397,3948368.370000000111759,11029355.420000001788139
FS( 141 ),3633174.000000000000000,3357429.149999999906868,3911915.550000000279397,10902519.700000001117587
FS( 142 ),3608917.200000000186265,3380632.850000000093132,3930989.699999999720603,10920540.750000000000000
FS( 143 ),3552318.000000000000000,3307451.950000000186265,3911491.679999999701977,10771262.629999998956919
FS( 144 ),3624414.599999999627471,3311021.750000000000000,3927174.870000000111759,10862612.219999998807907
FS( 145 ),3532777.799999999813735,3259259.650000000372529,3894113.010000000242144,10686151.460000000894070
FS( 146 ),3499761.599999999627471,3254797.399999999906868,3903862.019999999552965,10658422.019999999552965
FS( 147 ),3620371.799999999813735,3328870.749999999534339,3974224.439999999944121,10923467.989999998360872
FS( 148 ),3592072.200000000186265,3477017.450000000186265,3961508.339999999385327,11030598.990000000223517
FS( 149 ),3678992.399999999906868,3500221.149999999906868,4048825.559999999590218,11228040.109999999403954
FS( 150 ),3734244.000000000000000,3510930.550000000279397,4047977.819999999832362,11293153.370000001043081
FS( 151 ),3751089.000000000000000,3564477.549999999813735,4056455.219999999739230,11372022.769999999552965
FS( 152 ),3782757.600000000093132,3590358.599999999627471,4041619.769999999552965,11414736.969999998807907
FS( 153 ),3763217.399999999906868,3598390.649999999906868,4069595.189999999944121,11431204.240000000223517
FS( 154 ),3745024.799999999813735,3634981.099999999627471,4088245.469999999739230,11468252.369999999180436
FS( 155 ),3760522.200000000186265,3561800.199999999720603,4108167.359999999869615,11430490.759999999776483
FS( 156 ),3788821.799999999813735,3590358.599999999627471,4155216.929999999701977,11534398.329999998211861
FS( 157 ),3771976.799999999813735,3574294.499999999534339,4174291.080000000074506,11520563.379999998956919
FS( 158 ),3742329.599999999627471,3526102.199999999720603,4153945.319999999832362,11422378.119999999180436
FS( 159 ),3659452.200000000186265,3493081.550000000279397,4137414.389999999664724,11289949.140000000596046
FS( 160 ),3647323.800000000279397,3518070.150000000372529,4159879.500000000000000,11325274.450000001117587
FS( 161 ),3667537.799999999813735,3607315.150000000372529,4132327.949999999720603,11407181.900000000372529
FS( 162 ),3678992.399999999906868,3587681.250000000465661,4121731.199999999720603,11388405.849999999627471
FS( 163 ),3811057.200000000186265,3743860.000000000465661,4188702.659999999683350,11743620.860000001266599
FS( 164 ),3816447.600000000093132,3748322.250000000000000,4204809.720000000670552,11769580.570000000298023
FS( 165 ),3836661.599999999627471,3741182.650000000372529,4179377.519999999552965,11757222.769999999552965
FS( 166 ),3882479.999999999534339,3756354.300000000279397,4245077.369999999180436,11883912.669999998062849
FS( 167 ),3913474.799999999813735,3767956.149999999906868,4262032.169999999925494,11943464.119999999180436
FS( 168 ),3875742.000000000000000,3706377.100000000093132,4220916.779999999329448,11803036.879999998956919
FS( 169 ),3899324.999999999534339,3749214.699999999720603,4273052.789999999105930,11921593.489999998360872
FS( 170 ),3898651.199999999720603,3751892.049999999813735,4252707.029999999329448,11903251.279999999329448
FS( 171 ),3958619.399999999906868,3760816.550000000279397,4189550.399999999906868,11908987.349999999627471
FS( 172 ),3979507.200000000186265,3814363.550000000279397,4212863.250000000000000,12006735.000000000000000
FS( 173 ),4023978.000000000000000,3845599.300000000279397,4231513.529999999329448,12101091.830000000074506
FS( 174 ),4065753.600000000093132,3855416.250000000465661,4264151.519999999552965,12185322.370000001043081
FS( 175 ),4059689.399999999906868,3858093.599999999627471,4223460.000000000000000,12141244.000000000000000
FS( 176 ),4073839.200000000186265,3884867.100000000093132,4226003.220000000670552,12184710.520000001415610
FS( 177 ),4067101.199999999720603,3878619.950000000186265,4235752.230000000447035,12181474.380000000819564
FS( 178 ),4056320.399999999906868,3872372.800000000279397,4262879.910000000149012,12191574.109999999403954
FS( 179 ),4040823.000000000000000,3883082.199999999720603,4253554.769999999552965,12177460.969999998807907
FS( 180 ),4087989.000000000000000,3903608.550000000279397,4262032.169999999925494,12253630.720000000670552
FS( 181 ),4130438.399999999906868,4005347.850000000093132,4304843.039999999105930,12440630.289999999105930
FS( 182 ),4117636.199999999720603,4052647.699999999720603,4292126.939999999478459,12462411.839999999850988
FS( 183 ),4045539.599999999627471,3972327.199999999720603,4312472.699999999254942,12330340.499999998137355
FS( 184 ),4114267.200000000186265,4005347.850000000093132,4278986.970000000670552,12398603.020000001415610
FS( 185 ),4046887.200000000186265,4012487.450000000186265,4185735.569999999832362,12245111.220000000670552
FS( 186 ),4299562.199999999254942,4039260.949999999720603,4206081.330000000074506,12544905.479999998584390
FS( 187 ),4280022.000000000000000,4011595.000000000465661,4203961.980000000447035,12495579.980000000447035
FS( 188 ),4305626.400000000372529,4004455.399999999906868,4183192.349999999627471,12493275.150000000372529
FS( 189 ),4360878.000000000000000,3995530.900000000372529,4183192.349999999627471,12539602.250000000000000
FS( 190 ),4393894.199999999254942,3961617.800000000279397,4198451.669999999925494,12553964.669999999925494
FS( 191 ),4391199.000000000000000,3968757.399999999906868,4170900.120000000111759,12530857.519999999552965
FS( 192 ),4381092.000000000000000,3967864.950000000186265,4180225.260000000242144,12529183.210000000894070
FS( 193 ),4424889.000000000000000,4031228.900000000372529,4239143.189999999478459,12695262.089999999850988
FS( 194 ),4465990.800000000745058,4033906.250000000465661,4217101.949999999254942,12717000.000000000000000
FS( 195 ),4513156.800000000745058,4057109.950000000186265,4277291.490000000223517,12847559.240000000223517
FS( 196 ),4588622.400000000372529,4031228.900000000372529,4240838.669999999925494,12860690.970000000670552
FS( 197 ),4746965.400000000372529,4040153.400000000372529,4238295.449999999254942,13025415.250000000000000
FS( 198 ),4749660.599999999627471,4045508.099999999627471,4216254.209999999031425,13011423.909999998286366
FS( 199 ),4837928.400000000372529,4099055.100000000093132,4223883.869999999180436,13160868.369999999180436
FS( 200 ),4903960.800000000745058,4110656.950000000186265,4219645.169999999925494,13234263.919999999925494
FS( 201 ),4790762.400000000372529,4079421.200000000186265,4179801.389999999664724,13049985.990000002086163
FS( 202 ),4833885.599999999627471,4099055.100000000093132,4207352.939999999478459,13140294.639999998733401
FS( 203 ),4833211.800000000745058,4168666.200000000186265,4238295.449999999254942,13240174.449999999254942
FS( 204 ),4955843.400000000372529,4187407.650000000372529,4259488.949999999254942,13402741.000000000000000
FS( 205 ),4938324.599999999627471,4156171.899999999906868,4266694.740000000223517,13361192.240000000223517
FS( 206 ),4970667.000000000000000,4190085.000000000465661,4273052.789999999105930,13433805.789999999105930
FS( 207 ),5028613.799999998882413,4192762.349999999627471,4252283.160000000149012,13473660.309999998658895
FS( 208 ),5060956.199999999254942,4188300.100000000093132,4253978.640000000596046,13503235.939999999478459
FS( 209 ),5153940.599999999627471,4215073.599999999627471,4229394.179999999701977,13598409.379999998956919
FS( 210 ),5221320.599999999627471,4245416.900000000372529,4208200.679999999701977,13674939.179999999701977
FS( 211 ),5240860.800000000745058,4235599.950000000186265,4206929.070000000298023,13683390.820000000298023
FS( 212 ),5247598.799999998882413,4231137.699999999254942,4217525.820000000298023,13696263.319999998435378
FS( 213 ),5132379.000000000000000,4229352.799999999813735,4236176.099999999627471,13597908.900000000372529
FS( 214 ),5104079.400000000372529,4140107.800000000279397,4234056.750000000000000,13478244.950000001117587
FS( 215 ),5108122.199999999254942,4229352.799999999813735,4246348.980000000447035,13583824.980000000447035
FS( 216 ),5217277.800000000745058,4267728.150000000372529,4109862.839999999385327,13594869.790000000968575
FS( 217 ),5247598.799999998882413,4292716.750000000000000,4104776.399999999906868,13645092.949999999254942
FS( 218 ),5313631.199999999254942,4336446.800000000745058,4097146.739999999757856,13747225.740000000223517
FS( 219 ),5468605.199999999254942,4385531.549999999813735,4102233.179999999701977,13956370.929999999701977
FS( 220 ),5675461.800000000745058,4414982.399999999441206,4123850.550000000279397,14214295.750000000000000
FS( 221 ),5636381.400000000372529,4390886.250000000000000,4155640.800000000279397,14182909.450000001117587
FS( 222 ),5636381.400000000372529,4377499.500000000000000,4139533.739999999757856,14153415.640000000596046
FS( 223 ),5785965.000000000000000,4357865.599999999627471,4142500.830000000074506,14286332.429999999701977
FS( 224 ),5833131.000000000000000,4406950.350000000558794,4139109.870000000111759,14379192.220000002533197
FS( 225 ),5799441.000000000000000,4443540.799999999813735,4099689.959999999962747,14342672.760000001639128
FS( 226 ),5769120.000000000000000,4433723.849999999627471,4060693.919999999925494,14263538.769999999552965
FS( 227 ),5737451.400000000372529,4421229.549999999813735,4050097.169999999925494,14208779.119999999180436
FS( 228 ),5842564.199999999254942,4473884.100000000558794,4110286.709999999962747,14426736.010000001639128
FS( 229 ),5914660.800000000745058,4465852.049999999813735,4125969.899999999906868,14506483.750000001862645
FS( 230 ),5944981.800000000745058,4454250.199999999254942,4114949.279999999795109,14514182.279999999329448
FS( 231 ),5870190.000000000000000,4454250.199999999254942,4138686.000000000000000,14463127.199999999254942
FS( 232 ),5771141.400000000372529,4489948.200000000186265,4158184.019999999552965,14419274.620000001043081
FS( 233 ),5955088.799999998882413,4461389.799999999813735,4169204.639999999664724,14585684.239999998360872
FS( 234 ),6057506.400000000372529,4462282.250000000000000,4213287.119999999180436,14733076.769999999552965
FS( 235 ),6009666.599999999627471,4448895.500000000000000,4131904.080000000074506,14590467.179999999701977
FS( 236 ),6099955.800000000745058,4517614.149999999441206,4180225.260000000242144,14797796.209999999031425
FS( 237 ),6124212.599999999627471,4514044.349999999627471,4191245.879999999422580,14829503.829999998211861
FS( 238 ),6049420.800000000745058,4405165.450000000186265,4139957.609999999869615,14594544.859999999403954
FS( 239 ),6027859.199999999254942,4439971.000000000000000,4177682.040000000037253,14645513.239999998360872
FS( 240 ),5994843.000000000000000,4518506.600000000558794,4138686.000000000000000,14652036.600000001490116
FS( 241 ),5825719.199999999254942,4547957.450000000186265,4110286.709999999962747,14483964.359999999403954
FS( 242 ),5584498.799999998882413,4613106.299999999813735,4093755.779999999795109,14291361.879999997094274
FS( 243 ),5868842.400000000372529,4643449.600000000558794,4116220.889999999664724,14628513.890000000596046
FS( 244 ),5856040.199999999254942,4623815.700000000186265,4125969.899999999906868,14605826.799999998882413
FS( 245 ),5654574.000000000000000,4601504.450000000186265,4038652.679999999701977,14294732.129999998956919
FS( 246 ),5515097.400000000372529,4592579.950000000186265,4066628.099999999627471,14174306.450000001117587
FS( 247 ),5502969.000000000000000,4560451.750000000000000,4034837.849999999627471,14098259.599999999627471
FS( 248 ),5393139.599999999627471,4572053.599999999627471,4009405.649999999906868,13974599.849999999627471
FS( 249 ),5871537.599999999627471,4632740.199999999254942,4036109.459999999962747,14540388.259999997913837
FS( 250 ),5849302.199999999254942,4629170.399999999441206,4061965.529999999795109,14540439.129999997094274
FS( 251 ),5804157.599999999627471,4636310.000000000000000,4127665.379999999422580,14568133.979999998584390
FS( 252 ),5621557.800000000745058,4622030.799999999813735,4130632.469999999739230,14374222.070000000298023
