代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13529394.040000000968575
真實報酬,3529394.040000000968575

夏普值報酬,0.344239404000000
夏普值風險,0.079707878360994
夏普值,4.318762600115297

二次趨勢線,-8.081601196838974 x^2 + 14912.558081529963601 x + 10000000.000000000000000
二次平均預期報酬,12867.912978729704264
風險,224721.045673086191528
二次平均趨勢值,0.057261717255665
一次趨勢線,13382.110856067602072 x + 10000000.000000000000000
一次預期報酬,13382.110856067602072
一次風險,232001.270502725616097
一次趨勢值,0.057681196430820
找到最佳解世代,1725
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),DIS[6](2),MRK[17](4),MSFT[18](1),UNH[23](5),
FS( 70 ),2061110.669999999925494,2257930.899999999906868,2432009.860000000335276,2109202.599999999627471,2046917.010000000009313,10907171.040000000968575
FS( 71 ),2093954.290000000037253,2257641.090000000316650,2436431.660000000149012,2117083.200000000186265,2075183.780000000027940,10980294.020000001415610
FS( 72 ),2092069.819999999832362,2296185.819999999832362,2451465.780000000260770,2117646.099999999627471,2142499.490000000223517,11099867.009999999776483
FS( 73 ),2099876.910000000149012,2306329.169999999925494,2462520.280000000260770,2106388.100000000558794,2151533.200000000186265,11126647.660000000149012
FS( 74 ),2066764.079999999841675,2285752.660000000149012,2433778.580000000074506,2111454.200000000186265,2143373.719999999739230,11041123.239999998360872
FS( 75 ),2042804.389999999897555,2295026.580000000074506,2467826.440000000409782,2124963.799999999813735,2141333.850000000558794,11071955.060000002384186
FS( 76 ),2020190.750000000000000,2322268.719999999739230,2477554.400000000372529,2137910.500000000000000,2150950.379999999888241,11108874.750000000000000
FS( 77 ),2028805.469999999972060,2339657.319999999832362,2484187.099999999627471,2121586.400000000372529,2215060.580000000074506,11189296.869999999180436
FS( 78 ),2007807.089999999850988,2324587.199999999720603,2472248.240000000223517,2113142.900000000372529,2194953.290000000037253,11112738.719999998807907
FS( 79 ),1989770.019999999785796,2320819.669999999925494,2488166.720000000670552,2109202.599999999627471,2216517.629999999888241,11124476.640000000596046
FS( 80 ),2029343.889999999897555,2332412.069999999832362,2505411.740000000223517,2131155.700000000186265,2215351.990000000223517,11213675.390000000596046
FS( 81 ),2023959.690000000176951,2341975.799999999813735,2520003.680000000633299,2156486.200000000186265,2251778.240000000223517,11294203.610000001266599
FS( 82 ),2029613.099999999860302,2302851.449999999720603,2494799.419999999925494,2126652.500000000000000,2246824.269999999552965,11200740.739999998360872
FS( 83 ),2043073.599999999860302,2368058.699999999720603,2523098.940000000409782,2162115.200000000186265,2276839.500000000000000,11373185.940000001341105
FS( 84 ),2047380.959999999729916,2396170.270000000018626,2515139.700000000186265,2145228.200000000186265,2272759.759999999776483,11376678.889999998733401
FS( 85 ),2041189.129999999655411,2415297.729999999981374,2531942.540000000037253,2147479.799999999813735,2262560.410000000149012,11398469.609999999403954
FS( 86 ),2040112.290000000037253,2382549.199999999720603,2541228.320000000298023,2133407.299999999813735,2255566.570000000298023,11352863.679999999701977
FS( 87 ),2041996.759999999776483,2375593.759999999776483,2534595.620000000111759,2128904.099999999627471,2269554.250000000000000,11350644.489999998360872
FS( 88 ),2061649.089999999850988,2348931.239999999757856,2506738.280000000260770,2140162.100000000558794,2266640.150000000372529,11324120.860000001266599
FS( 89 ),2063802.769999999785796,2358494.969999999739230,2512044.440000000409782,2154234.600000000558794,2261394.769999999552965,11349971.550000000745058
FS( 90 ),2040919.919999999925494,2316472.520000000018626,2466942.080000000074506,2132844.400000000372529,2244201.580000000074506,11201380.500000000000000
FS( 91 ),2018037.069999999832362,2320529.859999999869615,2462962.459999999962747,2122149.299999999813735,2206026.870000000111759,11129705.559999998658895
FS( 92 ),2025844.159999999916181,2358784.779999999795109,2487724.540000000037253,2141850.799999999813735,2236916.330000000074506,11251120.609999999403954
FS( 93 ),2043612.019999999785796,2376173.379999999888241,2492146.339999999850988,2226285.799999999813735,2273051.169999999925494,11411268.709999999031425
FS( 94 ),2043073.599999999860302,2333571.310000000055879,2475785.680000000633299,2210524.600000000558794,2330167.530000000260770,11393122.720000002533197
FS( 95 ),2033382.040000000037253,2341975.799999999813735,2458098.480000000447035,2270192.000000000000000,2375918.900000000372529,11479567.220000000670552
FS( 96 ),2049265.429999999934807,2328644.539999999571592,2416975.740000000223517,2260622.700000000186265,2370382.110000000335276,11425890.519999999552965
FS( 97 ),2073763.540000000037253,2303720.879999999888241,2378063.900000000372529,2279761.299999999813735,2368633.650000000372529,11403943.270000001415610
FS( 98 ),2096107.969999999972060,2305459.739999999757856,2440411.280000000260770,2270754.900000000372529,2363388.269999999552965,11476122.160000000149012
FS( 99 ),2075917.219999999972060,2278507.410000000149012,2477112.220000000670552,2239795.400000000372529,2376210.310000000521541,11447542.560000000521541
FS( 100 ),2067033.290000000037253,2274450.069999999832362,2464289.000000000000000,2215590.700000000186265,2361056.990000000223517,11382420.049999998882413
FS( 101 ),2064610.399999999906868,2289230.379999999888241,2475343.500000000000000,2268503.299999999813735,2378541.589999999850988,11476229.169999998062849
FS( 102 ),2064341.190000000176951,2320529.859999999869615,2510275.720000000670552,2307343.400000000372529,2389323.759999999776483,11591813.930000001564622
FS( 103 ),2083185.889999999897555,2364001.359999999869615,2492588.519999999552965,2331548.100000000558794,2384952.610000000335276,11656276.480000000447035
FS( 104 ),2086685.620000000111759,2366899.459999999962747,2496568.140000000596046,2327607.799999999813735,2378250.179999999701977,11656011.199999999254942
FS( 105 ),2072148.279999999795109,2367479.080000000074506,2485513.640000000596046,2308469.200000000186265,2396900.419999999925494,11630510.619999999180436
FS( 106 ),2045227.279999999795109,2330963.020000000018626,2481534.019999999552965,2244298.599999999627471,2375918.900000000372529,11477941.819999998435378
FS( 107 ),2013191.290000000037253,2293287.719999999739230,2440411.280000000260770,2240358.299999999813735,2362805.450000000186265,11350054.039999999105930
FS( 108 ),2013191.290000000037253,2306039.359999999869615,2433778.580000000074506,2241484.099999999627471,2350566.230000000447035,11345059.560000000521541
FS( 109 ),2039573.870000000111759,2332122.259999999776483,2524867.660000000149012,2278072.599999999627471,2371839.160000000149012,11546475.550000000745058
FS( 110 ),2013191.290000000037253,2246338.500000000000000,2469595.160000000149012,2215590.700000000186265,2331041.759999999776483,11275757.410000000149012
FS( 111 ),1998384.739999999990687,2231848.000000000000000,2472690.419999999925494,2207147.200000000186265,2300735.120000000111759,11210805.480000000447035
FS( 112 ),2006461.040000000037253,2249526.410000000149012,2457214.120000000111759,2205458.500000000000000,2307437.550000000745058,11226097.620000001043081
FS( 113 ),1991923.699999999720603,2250685.649999999906868,2478438.759999999776483,2237543.799999999813735,2317054.080000000074506,11275645.990000000223517
FS( 114 ),1995961.849999999860302,2288071.140000000130385,2487724.540000000037253,2274132.299999999813735,2278587.959999999962747,11324477.789999999105930
FS( 115 ),2018844.699999999720603,2318211.379999999888241,2497010.320000000298023,2252179.200000000186265,2208358.150000000372529,11294603.750000001862645
FS( 116 ),2042804.389999999897555,2292708.100000000093132,2531500.360000000335276,2248238.900000000372529,2184171.120000000111759,11299422.870000001043081
FS( 117 ),2044958.069999999832362,2302561.640000000130385,2554493.720000000670552,2251053.400000000372529,2207775.330000000074506,11360842.160000002011657
FS( 118 ),2018037.069999999832362,2304590.310000000055879,2542554.860000000335276,2234166.400000000372529,2195244.700000000186265,11294593.339999999850988
FS( 119 ),2183601.219999999739230,2306618.979999999981374,2543881.400000000372529,2243735.700000000186265,2231962.360000000335276,11509799.660000000149012
FS( 120 ),2199753.819999999366701,2267204.819999999832362,2531058.180000000633299,2246550.200000000186265,2204861.230000000447035,11449428.250000000000000
FS( 121 ),2284824.179999999701977,2254163.370000000111759,2506296.099999999627471,2300588.599999999627471,2207192.509999999776483,11553064.759999999776483
FS( 122 ),2278093.929999999701977,2279087.029999999795109,2596500.820000000298023,2280324.200000000186265,2191456.370000000111759,11625462.350000001490116
FS( 123 ),2269479.209999999962747,2299373.729999999981374,2589425.940000000409782,2274132.299999999813735,2186793.810000000521541,11619204.990000000223517
FS( 124 ),2274863.410000000149012,2305749.549999999813735,2636297.019999999552965,2251616.299999999813735,2184171.120000000111759,11652697.399999998509884
FS( 125 ),2278901.560000000521541,2327485.299999999813735,2574391.820000000298023,2234166.400000000372529,2186502.400000000372529,11601447.480000002309680
FS( 126 ),2311206.759999999776483,2353858.009999999776483,2592521.200000000186265,2219531.000000000000000,2192330.600000000558794,11669447.570000000298023
FS( 127 ),2286170.229999999515712,2348351.620000000111759,2525309.839999999850988,2198703.700000000186265,2193204.830000000074506,11551740.220000000670552
FS( 128 ),2278093.929999999701977,2326905.680000000167638,2469152.980000000447035,2218968.100000000558794,2270428.480000000447035,11563549.170000001788139
FS( 129 ),2261402.910000000149012,2364870.789999999571592,2424492.799999999813735,2231351.900000000372529,2240704.660000000149012,11522823.059999998658895
FS( 130 ),2251980.560000000521541,2375014.140000000130385,2441295.640000000596046,2225722.900000000372529,2242453.120000000111759,11536466.360000003129244
FS( 131 ),2279978.399999999441206,2388635.209999999962747,2444833.080000000074506,2249927.599999999627471,2265474.509999999776483,11628848.799999998882413
FS( 132 ),2283478.129999999888241,2378781.669999999925494,2465173.360000000335276,2275258.100000000558794,2274216.810000000521541,11676908.070000002160668
FS( 133 ),2284016.549999999813735,2345163.709999999962747,2492588.519999999552965,2265125.900000000372529,2248864.140000000596046,11635758.820000000298023
FS( 134 ),2264633.429999999701977,2322848.340000000316650,2471363.879999999888241,2229100.299999999813735,2228756.850000000558794,11516702.800000000745058
FS( 135 ),2298015.469999999739230,2329803.779999999795109,2470479.519999999552965,2242047.000000000000000,2233710.820000000298023,11574056.589999999850988
FS( 136 ),2325205.679999999701977,2348931.239999999757856,2491704.160000000149012,2237543.799999999813735,2249738.370000000111759,11653123.250000000000000
FS( 137 ),2325744.099999999627471,2350090.479999999981374,2476227.860000000335276,2233603.500000000000000,2234002.230000000447035,11619668.170000001788139
FS( 138 ),2331935.929999999701977,2381969.580000000074506,2501874.299999999813735,2271317.799999999813735,2264891.690000000409782,11751989.300000000745058
FS( 139 ),2335435.660000000149012,2386606.539999999571592,2497894.680000000633299,2257245.299999999813735,2282959.110000000335276,11760141.289999999105930
FS( 140 ),2361818.240000000223517,2414718.109999999869615,2512044.440000000409782,2258371.099999999627471,2295489.740000000223517,11842441.630000000819564
FS( 141 ),2406237.889999999664724,2426890.129999999888241,2506738.280000000260770,2262311.400000000372529,2305397.679999999701977,11907575.379999998956919
FS( 142 ),2399776.849999999627471,2422832.789999999571592,2493915.059999999590218,2252179.200000000186265,2289952.950000000186265,11858656.849999997764826
FS( 143 ),2443658.080000000074506,2435294.620000000111759,2551398.459999999962747,2270754.900000000372529,2312974.339999999850988,12014080.400000000372529
FS( 144 ),2434504.940000000409782,2434715.000000000000000,2558473.339999999850988,2304528.900000000372529,2320551.000000000000000,12052773.179999999701977
FS( 145 ),2417813.919999999925494,2442250.060000000055879,2561568.599999999627471,2296085.400000000372529,2315888.440000000409782,12033606.420000001788139
FS( 146 ),2452003.589999999850988,2430947.469999999739230,2560684.240000000223517,2267940.400000000372529,2327836.250000000000000,12039411.949999999254942
FS( 147 ),2480001.429999999701977,2441380.629999999888241,2561568.599999999627471,2269629.099999999627471,2346195.080000000074506,12098774.839999997988343
FS( 148 ),2489692.990000000223517,2457030.370000000111759,2569085.660000000149012,2319727.200000000186265,2325504.969999999739230,12161041.190000001341105
FS( 149 ),2482693.530000000260770,2452103.600000000093132,2558031.160000000149012,2334925.500000000000000,2329293.300000000745058,12157047.090000001713634
FS( 150 ),2522536.610000000335276,2477317.069999999832362,2562010.780000000260770,2323104.600000000558794,2324339.330000000074506,12209308.390000000596046
FS( 151 ),2537343.160000000149012,2456160.939999999944121,2586330.680000000633299,2314098.200000000186265,2325796.379999999888241,12219729.359999999403954
FS( 152 ),2526843.969999999739230,2443409.299999999813735,2600480.440000000409782,2300025.700000000186265,2336287.140000000596046,12207046.550000000745058
FS( 153 ),2484578.000000000000000,2399647.989999999757856,2577929.259999999776483,2284264.500000000000000,2315014.209999999962747,12061433.960000000894070
FS( 154 ),2457387.790000000037253,2399647.989999999757856,2575276.180000000633299,2320853.000000000000000,2307437.550000000745058,12060602.510000001639128
FS( 155 ),2482155.110000000335276,2414138.489999999757856,2567759.120000000111759,2336051.299999999813735,2273051.169999999925494,12073155.189999999478459
FS( 156 ),2478924.589999999850988,2410081.149999999906868,2567316.940000000409782,2346183.500000000000000,2278005.140000000596046,12080511.320000000298023
FS( 157 ),2481616.690000000409782,2422253.169999999925494,2582793.240000000223517,2344494.799999999813735,2308311.780000000260770,12139469.679999999701977
FS( 158 ),2473001.969999999739230,2427759.560000000055879,2577929.259999999776483,2336614.200000000186265,2346195.080000000074506,12161500.069999998435378
FS( 159 ),2447427.019999999552965,2400227.609999999869615,2605344.419999999925494,2346183.500000000000000,2372421.980000000447035,12171604.529999999329448
FS( 160 ),2445273.339999999850988,2398488.750000000000000,2586772.860000000335276,2363633.400000000372529,2374753.259999999776483,12168921.610000001266599
FS( 161 ),2430466.790000000037253,2396170.270000000018626,2561126.419999999925494,2350123.799999999813735,2382038.509999999776483,12119925.790000000968575
FS( 162 ),2432620.469999999739230,2431527.090000000316650,2602691.339999999850988,2365885.000000000000000,2399523.110000000335276,12232247.010000001639128
FS( 163 ),2447157.810000000521541,2447466.640000000130385,2588099.400000000372529,2348435.099999999627471,2398066.060000000521541,12229225.010000001639128
FS( 164 ),2476232.490000000223517,2472100.489999999757856,2543881.400000000372529,2378268.799999999813735,2389615.169999999925494,12260098.349999999627471
FS( 165 ),2501807.440000000409782,2484852.129999999888241,2558031.160000000149012,2347309.299999999813735,2382329.919999999925494,12274329.950000001117587
FS( 166 ),2517690.830000000074506,2506008.259999999776483,2587215.040000000037253,2356878.599999999627471,2386409.660000000149012,12354202.390000000596046
FS( 167 ),2516613.990000000223517,2505138.830000000074506,2611092.759999999776483,2358567.299999999813735,2403894.259999999776483,12395307.139999998733401
FS( 168 ),2531420.540000000037253,2516731.229999999981374,2617725.459999999962747,2352938.299999999813735,2428955.519999999552965,12447771.049999998882413
FS( 169 ),2583647.280000000260770,2509485.979999999981374,2587657.220000000670552,2363633.400000000372529,2396026.190000000409782,12440450.070000000298023
FS( 170 ),2566956.259999999776483,2488329.850000000093132,2572180.919999999925494,2351812.500000000000000,2387575.300000000745058,12366854.830000000074506
FS( 171 ),2568033.099999999627471,2527744.009999999776483,2588983.759999999776483,2345620.600000000558794,2411179.509999999776483,12441560.979999998584390
FS( 172 ),2558610.750000000000000,2517310.850000000093132,2590310.299999999813735,2346746.400000000372529,2391946.450000000186265,12404924.750000000000000
FS( 173 ),2563456.530000000260770,2518180.279999999795109,2584119.780000000260770,2369262.400000000372529,2414967.839999999850988,12449986.830000001937151
FS( 174 ),2596569.360000000335276,2514412.750000000000000,2572623.099999999627471,2372076.900000000372529,2455765.240000000223517,12511447.349999999627471
FS( 175 ),2566148.629999999888241,2496734.340000000316650,2560684.240000000223517,2389526.799999999813735,2444983.070000000298023,12458077.080000001937151
FS( 176 ),2551611.290000000037253,2473549.539999999571592,2571296.559999999590218,2481279.500000000000000,2440903.330000000074506,12518640.220000000670552
FS( 177 ),2506114.799999999813735,2464275.620000000111759,2546976.660000000149012,2506610.000000000000000,2480243.679999999701977,12504220.759999999776483
FS( 178 ),2542188.940000000409782,2486880.799999999813735,2579697.980000000447035,2515616.400000000372529,2492191.490000000223517,12616575.610000001266599
FS( 179 ),2528997.649999999441206,2484852.129999999888241,2564663.860000000335276,2524059.900000000372529,2478786.629999999888241,12581360.169999998062849
FS( 180 ),2549996.030000000260770,2498473.199999999720603,2583677.599999999627471,2523497.000000000000000,2507636.219999999739230,12663280.050000000745058
FS( 181 ),2616490.899999999441206,2493546.430000000167638,2569527.839999999850988,2525748.599999999627471,2504430.709999999962747,12709744.480000000447035
FS( 182 ),2612183.540000000037253,2515571.989999999757856,2573949.640000000596046,2499292.299999999813735,2496854.050000000745058,12697851.519999999552965
FS( 183 ),2629412.979999999515712,2499052.819999999832362,2571296.559999999590218,2504921.299999999813735,2467713.050000000745058,12672396.709999999031425
FS( 184 ),2665756.330000000074506,2525715.340000000316650,2563337.320000000298023,2475087.599999999627471,2498893.919999999925494,12728790.509999999776483
FS( 185 ),2648526.889999999664724,2498183.390000000130385,2590310.299999999813735,2470584.400000000372529,2455765.240000000223517,12663370.220000000670552
FS( 186 ),2642335.060000000521541,2527454.199999999720603,2568201.299999999813735,2453134.500000000000000,2417299.120000000111759,12608424.179999999701977
FS( 187 ),2573686.509999999776483,2488909.469999999739230,2508949.180000000633299,2429492.700000000186265,2361931.219999999739230,12362969.079999998211861
FS( 188 ),2587954.639999999664724,2474418.969999999739230,2511602.259999999776483,2412605.700000000186265,2374753.259999999776483,12361334.830000000074506
FS( 189 ),2573417.299999999813735,2528323.629999999888241,2523098.940000000409782,2441313.599999999627471,2397483.240000000223517,12463636.709999999031425
FS( 190 ),2560764.429999999701977,2514122.939999999944121,2477554.400000000372529,2424989.500000000000000,2360182.759999999776483,12337614.029999999329448
FS( 191 ),2556457.069999999366701,2509485.979999999981374,2473132.599999999627471,2405850.900000000372529,2375044.669999999925494,12319971.219999998807907
