代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12194518.489999998360872
真實報酬,2194518.489999998360872

夏普值報酬,0.210751849000000
夏普值風險,0.065823747709496
夏普值,3.201760099259680

二次趨勢線,20.328980833666616 x^2 + 4558.999140216466913 x + 10000000.000000000000000
二次平均預期報酬,9722.560271967788140
風險,145175.173037989065051
二次平均趨勢值,0.066971232535908
一次趨勢線,8424.031584988893883 x + 10000000.000000000000000
一次預期報酬,8424.031584988893883
一次風險,206034.837916452961508
一次趨勢值,0.040886442652989
找到最佳解世代,2223
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MRK[17](6),PG[21](2),WMT[28](11),
FS( 28 ),2589042.160000000149012,2424806.220000000204891,2702464.720000000204891,2612423.639999999664724,10328736.740000002086163
FS( 29 ),2605873.299999999813735,2413384.379999999888241,2697022.119999999646097,2621824.920000000391155,10338104.719999998807907
FS( 30 ),2591213.919999999925494,2354371.540000000037253,2689039.639999999664724,2613990.520000000018626,10248615.619999999180436
FS( 31 ),2566238.680000000167638,2357702.910000000149012,2692668.039999999571592,2351538.120000000111759,9968147.750000000000000
FS( 32 ),2637363.820000000298023,2413860.290000000037253,2694845.079999999608845,2324117.719999999739230,10070186.910000000149012
FS( 33 ),2666954.049999999813735,2450029.449999999720603,2717704.000000000000000,2306882.040000000037253,10141569.539999999105930
FS( 34 ),2658809.950000000186265,2446222.169999999925494,2727137.839999999850988,2305315.160000000149012,10137485.120000001043081
FS( 35 ),2649308.500000000000000,2398155.260000000242144,2700650.520000000018626,2301397.959999999962747,10049512.239999998360872
FS( 36 ),2650394.379999999888241,2407673.459999999962747,2670171.959999999962747,2297089.040000000037253,10025328.839999999850988
FS( 37 ),2701973.680000000167638,2475252.679999999701977,2715889.799999999813735,2307273.759999999776483,10200389.919999998062849
FS( 38 ),2723148.339999999850988,2516656.850000000093132,2794988.919999999925494,2283770.560000000055879,10318564.669999999925494
FS( 39 ),2713103.950000000186265,2518084.580000000074506,2811679.559999999590218,2272802.399999999906868,10315670.490000000223517
FS( 40 ),2719890.700000000186265,2544735.540000000037253,2804422.760000000242144,2251649.520000000018626,10320698.519999999552965
FS( 41 ),2727763.330000000074506,2622308.870000000111759,2776121.240000000223517,2257917.040000000037253,10384110.480000000447035
FS( 42 ),2751924.160000000149012,2611362.939999999944121,2794626.079999999608845,2270452.080000000074506,10428365.259999999776483
FS( 43 ),2742694.180000000167638,2601368.830000000074506,2771404.319999999832362,2242248.240000000223517,10357715.570000000298023
FS( 44 ),2773641.760000000242144,2622784.779999999795109,2779386.799999999813735,2256741.879999999888241,10432555.219999998807907
FS( 45 ),2767940.889999999664724,2622784.779999999795109,2795714.599999999627471,2276327.879999999888241,10462768.149999998509884
FS( 46 ),2767397.950000000186265,2642773.000000000000000,2796077.439999999944121,2286512.600000000093132,10492760.990000000223517
FS( 47 ),2777985.279999999795109,2619929.319999999832362,2771767.160000000149012,2295913.879999999888241,10465595.640000000596046
FS( 48 ),2766855.010000000242144,2598989.279999999795109,2742014.279999999795109,2302573.120000000111759,10410431.690000001341105
FS( 49 ),2737536.250000000000000,2581380.610000000335276,2735846.000000000000000,2291213.240000000223517,10345976.100000001490116
FS( 50 ),2754095.919999999925494,2590422.899999999906868,2749271.079999999608845,2298655.919999999925494,10392445.820000000298023
FS( 51 ),2765226.189999999944121,2556633.290000000037253,2756165.039999999571592,2255566.719999999739230,10333591.239999998360872
FS( 52 ),2722062.459999999962747,2523795.500000000000000,2708995.839999999850988,2230888.359999999869615,10185742.160000000149012
FS( 53 ),2711475.129999999888241,2523795.500000000000000,2683597.039999999571592,2210127.200000000186265,10128994.870000001043081
FS( 54 ),2747852.109999999869615,2555681.470000000204891,2732217.599999999627471,2266926.600000000093132,10302677.779999999329448
FS( 55 ),2755453.270000000018626,2556157.379999999888241,2723872.279999999795109,2347229.200000000186265,10382712.129999998956919
FS( 56 ),2787215.260000000242144,2580904.699999999720603,2753988.000000000000000,2386792.919999999925494,10508900.879999998956919
FS( 57 ),2782328.799999999813735,2583284.250000000000000,2765598.879999999888241,2377783.359999999869615,10508995.289999999105930
FS( 58 ),2782057.330000000074506,2574717.870000000111759,2751085.279999999795109,2353105.000000000000000,10460965.480000000447035
FS( 59 ),2789929.959999999962747,2570434.679999999701977,2756527.879999999888241,2360547.679999999701977,10477440.199999999254942
FS( 60 ),2770112.650000000372529,2545211.449999999720603,2773944.200000000186265,2347229.200000000186265,10436497.500000000000000
FS( 61 ),2767940.889999999664724,2556633.290000000037253,2753988.000000000000000,2359764.240000000223517,10438326.419999999925494
FS( 62 ),2779071.160000000149012,2568055.129999999888241,2746731.200000000186265,2346054.040000000037253,10439911.530000001192093
FS( 63 ),2748395.049999999813735,2522843.679999999701977,2715526.959999999962747,2304923.439999999944121,10291689.129999998956919
FS( 64 ),2778799.689999999944121,2597085.640000000130385,2755439.359999999869615,2310799.240000000223517,10442123.929999999701977
FS( 65 ),2770384.120000000111759,2561392.390000000130385,2749996.760000000242144,2285729.160000000149012,10367502.429999999701977
FS( 66 ),2736178.900000000372529,2502855.459999999962747,2748182.559999999590218,2312757.839999999850988,10299974.759999999776483
FS( 67 ),2794816.419999999925494,2552826.010000000242144,2824016.119999999646097,2337044.479999999981374,10508703.029999999329448
FS( 68 ),2804860.810000000055879,2554729.649999999906868,2843609.479999999981374,2369948.959999999962747,10573148.899999998509884
FS( 69 ),2780428.510000000242144,2544735.540000000037253,2821113.399999999906868,2335085.879999999888241,10481363.330000001937151
FS( 70 ),2773098.820000000298023,2513801.390000000130385,2819299.200000000186265,2316283.319999999832362,10422482.730000000447035
FS( 71 ),2786400.850000000093132,2555205.560000000055879,2822564.760000000242144,2333127.280000000260770,10497298.449999999254942
FS( 72 ),2760339.729999999981374,2481915.419999999925494,2822201.919999999925494,2325292.879999999888241,10389749.949999999254942
FS( 73 ),2773098.820000000298023,2484294.970000000204891,2840706.760000000242144,2365640.040000000037253,10463740.589999999850988
FS( 74 ),2826849.879999999888241,2517608.669999999925494,2891141.520000000018626,2336261.040000000037253,10571861.109999999403954
FS( 75 ),2857254.520000000018626,2570910.590000000316650,2938673.559999999590218,2362114.560000000055879,10728953.230000000447035
FS( 76 ),2813547.850000000093132,2506186.830000000074506,2913274.760000000242144,2310407.520000000018626,10543416.959999999031425
FS( 77 ),2767669.419999999925494,2457644.010000000242144,2834901.319999999832362,2305315.160000000149012,10365529.910000000149012
FS( 78 ),2757625.029999999795109,2468589.939999999944121,2864654.200000000186265,2332735.560000000055879,10423604.730000000447035
FS( 79 ),2788301.139999999664724,2479535.870000000111759,2888238.799999999813735,2371515.839999999850988,10527591.649999998509884
FS( 80 ),2809475.799999999813735,2521415.949999999720603,2899849.680000000167638,2393060.439999999944121,10623801.869999999180436
FS( 81 ),2815719.609999999869615,2515229.120000000111759,2895132.760000000242144,2382875.719999999739230,10608957.210000000894070
FS( 82 ),2802146.109999999869615,2514753.209999999962747,2899849.680000000167638,2379741.959999999962747,10596490.960000000894070
FS( 83 ),2824135.180000000167638,2538548.709999999962747,2915814.639999999664724,2413429.879999999888241,10691928.410000000149012
FS( 84 ),2817348.430000000167638,2534265.520000000018626,2905292.279999999795109,2416171.919999999925494,10673078.150000000372529
FS( 85 ),2788572.609999999869615,2513801.390000000130385,2881344.839999999850988,2401286.560000000055879,10585005.400000000372529
FS( 86 ),2727763.330000000074506,2497620.449999999720603,2843609.479999999981374,2407554.080000000074506,10476547.339999999850988
FS( 87 ),2739165.070000000298023,2529506.419999999925494,2852680.479999999981374,2464745.200000000186265,10586097.170000001788139
FS( 88 ),2725320.100000000093132,2494764.990000000223517,2825104.639999999664724,2489423.560000000055879,10534613.289999999105930
FS( 89 ),2693558.109999999869615,2472873.129999999888241,2800431.520000000018626,2547398.120000000111759,10514260.879999998956919
FS( 90 ),2664782.290000000037253,2430993.049999999813735,2756527.879999999888241,2489031.839999999850988,10341335.059999998658895
FS( 91 ),2648765.560000000055879,2439083.520000000018626,2781926.680000000167638,2515668.799999999813735,10385444.559999998658895
FS( 92 ),2666954.049999999813735,2463354.929999999701977,2776121.240000000223517,2492165.600000000093132,10398595.820000000298023
FS( 93 ),2633834.709999999962747,2411004.830000000074506,2752173.799999999813735,2425573.200000000186265,10222586.539999999105930
FS( 94 ),2684599.600000000093132,2465258.569999999832362,2763059.000000000000000,2470229.280000000260770,10383146.449999999254942
FS( 95 ),2633291.770000000018626,2433848.510000000242144,2720606.720000000204891,2425964.919999999925494,10213711.919999999925494
FS( 96 ),2646865.270000000018626,2443366.709999999962747,2784103.720000000204891,2450643.280000000260770,10324978.980000000447035
FS( 97 ),2599358.020000000018626,2405769.819999999832362,2751448.119999999646097,2383267.439999999944121,10139843.399999998509884
FS( 98 ),2604515.950000000186265,2423378.490000000223517,2783740.879999999888241,2424006.319999999832362,10235641.640000000596046
FS( 99 ),2626505.020000000018626,2443842.620000000111759,2806962.639999999664724,2455735.639999999664724,10333045.919999999925494
FS( 100 ),2617003.570000000298023,2423378.490000000223517,2788457.799999999813735,2485506.359999999869615,10314346.220000000670552
FS( 101 ),2746766.229999999981374,2448601.720000000204891,2859574.439999999944121,2507050.959999999962747,10561993.350000001490116
FS( 102 ),2773370.290000000037253,2397203.439999999944121,2859211.599999999627471,2505092.359999999869615,10534877.689999999478459
FS( 103 ),2776356.459999999962747,2341521.970000000204891,2896221.279999999795109,2515668.799999999813735,10529768.509999997913837
FS( 104 ),2835265.450000000186265,2411480.740000000223517,2964072.359999999869615,2599496.879999999888241,10810315.429999999701977
FS( 105 ),2833365.160000000149012,2415288.020000000018626,2943390.479999999981374,2644152.959999999962747,10836196.620000001043081
FS( 106 ),2807304.040000000037253,2399107.080000000074506,2910734.879999999888241,2619082.879999999888241,10736228.879999998956919
FS( 107 ),2827121.350000000093132,2381974.319999999832362,2942664.799999999813735,2595971.399999999906868,10747731.869999999180436
FS( 108 ),2820606.070000000298023,2312491.459999999962747,2928151.200000000186265,2601847.200000000186265,10663095.929999999701977
FS( 109 ),2729392.150000000372529,2350088.350000000093132,2946293.200000000186265,2624566.959999999962747,10650340.660000000149012
FS( 110 ),2769026.770000000018626,2323913.299999999813735,2997816.479999999981374,2620649.760000000242144,10711406.310000000521541
FS( 111 ),2768212.359999999869615,2339618.330000000074506,2998542.160000000149012,2577952.280000000260770,10684325.129999998956919
FS( 112 ),2761697.080000000074506,2357227.000000000000000,2961532.479999999981374,2577168.840000000316650,10657625.400000000372529
FS( 113 ),2760882.669999999925494,2324865.120000000111759,2899124.000000000000000,2558757.999999999534339,10543629.789999999105930
FS( 114 ),2764140.310000000055879,2333431.500000000000000,2938673.559999999590218,2592445.920000000391155,10628691.290000000968575
FS( 115 ),2777713.810000000055879,2369124.750000000000000,2956089.879999999888241,2581477.760000000242144,10684406.200000001117587
FS( 116 ),2782600.270000000018626,2408149.370000000111759,2991648.200000000186265,2589703.879999999888241,10772101.720000000670552
FS( 117 ),2829836.049999999813735,2394823.890000000130385,2974594.720000000204891,2511751.600000000093132,10711006.259999999776483
FS( 118 ),2827664.290000000037253,2385305.689999999944121,2967700.760000000242144,2532904.479999999981374,10713575.220000000670552
FS( 119 ),2843681.020000000018626,2416239.840000000316650,2980037.319999999832362,2570901.319999999832362,10810859.500000000000000
FS( 120 ),2825492.529999999795109,2405293.910000000149012,2968426.439999999944121,2604197.520000000018626,10803410.399999998509884
FS( 121 ),2849381.889999999664724,2406245.729999999981374,2959355.439999999944121,2629267.600000000093132,10844250.659999998286366
FS( 122 ),2887930.629999999888241,2427185.770000000018626,2987656.959999999962747,2665305.840000000316650,10968079.200000001117587
FS( 123 ),2871642.430000000167638,2410053.010000000242144,2942664.799999999813735,2605372.680000000167638,10829732.919999999925494
FS( 124 ),2856168.639999999664724,2389588.879999999888241,2913274.760000000242144,2598713.439999999944121,10757745.719999998807907
FS( 125 ),2910734.109999999869615,2462879.020000000018626,2947381.720000000204891,2603414.079999999608845,10924408.929999999701977
FS( 126 ),2905847.650000000372529,2487626.340000000316650,2995276.599999999627471,2593621.079999999608845,10982371.669999999925494
FS( 127 ),2895260.320000000298023,2479535.870000000111759,3005798.959999999962747,2590879.040000000037253,10971474.190000001341105
FS( 128 ),2891188.270000000018626,2478584.049999999813735,3029383.559999999590218,2615949.120000000111759,11015105.000000000000000
FS( 129 ),2897703.549999999813735,2505235.010000000242144,3015232.799999999813735,2659430.040000000037253,11077601.399999998509884
FS( 130 ),2883587.109999999869615,2496192.720000000204891,3013781.439999999944121,2665305.840000000316650,11058867.109999999403954
FS( 131 ),2900418.250000000000000,2491909.529999999795109,3010153.039999999571592,2645328.120000000111759,11047808.939999997615814
FS( 132 ),2908562.350000000093132,2524271.410000000149012,2985479.919999999925494,2640627.479999999981374,11058941.160000000149012
FS( 133 ),2924036.139999999664724,2531885.970000000204891,2966249.399999999906868,2631226.200000000186265,11053397.710000000894070
FS( 134 ),2922678.790000000037253,2526175.049999999813735,2945204.680000000167638,2638668.879999999888241,11032727.399999998509884
FS( 135 ),2925393.490000000223517,2494764.990000000223517,2950284.439999999944121,2667264.439999999944121,11037707.359999999403954
FS( 136 ),2915892.040000000037253,2471921.310000000055879,2951372.959999999962747,2663347.239999999757856,11002533.549999998882413
FS( 137 ),2897703.549999999813735,2452409.000000000000000,3002533.399999999906868,2642194.359999999869615,10994840.309999998658895
FS( 138 ),2918335.270000000018626,2486674.520000000018626,3017047.000000000000000,2622608.359999999869615,11044665.149999998509884
FS( 139 ),2912362.930000000167638,2512849.569999999832362,3023215.279999999795109,2662563.799999999813735,11110991.579999998211861
FS( 140 ),2915077.629999999888241,2523795.500000000000000,3002170.559999999590218,2658646.600000000093132,11099690.289999999105930
FS( 141 ),2945482.270000000018626,2526175.049999999813735,3005073.279999999795109,2642586.079999999608845,11119316.679999999701977
FS( 142 ),2940324.339999999850988,2525699.140000000130385,3007613.160000000149012,2663738.959999999962747,11137375.600000001490116
FS( 143 ),2938152.580000000074506,2514277.299999999813735,2997816.479999999981374,2668439.600000000093132,11118685.959999999031425
FS( 144 ),2962856.350000000093132,2537596.890000000130385,3004347.599999999627471,2664914.120000000111759,11169714.960000000894070
FS( 145 ),2958512.830000000074506,2532837.790000000037253,2999993.520000000018626,2695076.560000000055879,11186420.700000001117587
FS( 146 ),2937338.169999999925494,2518084.580000000074506,2986568.439999999944121,2682933.239999999757856,11124924.429999999701977
FS( 147 ),2964213.700000000186265,2555681.470000000204891,3030834.919999999925494,2705261.280000000260770,11255991.370000001043081
FS( 148 ),2947925.500000000000000,2588995.169999999925494,3019224.039999999571592,2706828.159999999683350,11262972.869999999180436
FS( 149 ),2957698.419999999925494,2581380.610000000335276,3017409.839999999850988,2688809.040000000037253,11245297.910000000149012
FS( 150 ),2970457.510000000242144,2647532.100000000093132,3040994.439999999944121,2704477.840000000316650,11363461.890000000596046
FS( 151 ),2966385.459999999962747,2637537.990000000223517,3020312.559999999590218,2672356.799999999813735,11296592.809999998658895
FS( 152 ),2961770.469999999739230,2634682.529999999795109,3018861.200000000186265,2666089.280000000260770,11281403.480000000447035
FS( 153 ),2958241.359999999869615,2619929.319999999832362,3001807.720000000204891,2640235.760000000242144,11220214.160000000149012
FS( 154 ),2975343.969999999739230,2633730.709999999962747,3005436.119999999646097,2695076.560000000055879,11309587.359999999403954
FS( 155 ),2982673.660000000149012,2663237.129999999888241,2992011.039999999571592,2708786.760000000242144,11346708.589999999850988
FS( 156 ),2981859.250000000000000,2686556.720000000204891,2975683.240000000223517,2695076.560000000055879,11339175.770000001415610
FS( 157 ),2991089.229999999981374,2671803.510000000242144,2986205.599999999627471,2705261.280000000260770,11354359.620000001043081
FS( 158 ),3011449.479999999981374,2689412.179999999701977,3005436.119999999646097,2736598.879999999888241,11442896.660000000149012
FS( 159 ),3058956.729999999981374,2706069.029999999795109,3021763.919999999925494,2733073.399999999906868,11519863.080000000074506
FS( 160 ),3083389.029999999795109,2692743.549999999813735,2958992.599999999627471,2711137.079999999608845,11446262.259999999776483
FS( 161 ),3083117.560000000055879,2693695.370000000111759,2931779.599999999627471,2682149.799999999813735,11390742.329999998211861
FS( 162 ),3076330.810000000055879,2700358.110000000335276,2937222.200000000186265,2691942.799999999813735,11405853.920000001788139
FS( 163 ),3081488.740000000223517,2675610.790000000037253,2953912.839999999850988,2721321.799999999813735,11432334.170000001788139
FS( 164 ),3065200.540000000037253,2667044.410000000149012,2886424.599999999627471,2714662.560000000055879,11333332.110000001266599
FS( 165 ),3061399.959999999962747,2679893.979999999981374,2898761.160000000149012,2719363.200000000186265,11359418.300000000745058
FS( 166 ),3053527.330000000074506,2652767.110000000335276,2894044.240000000223517,2699385.479999999981374,11299724.160000000149012
FS( 167 ),3042668.529999999795109,2609935.209999999962747,2907106.479999999981374,2619474.600000000093132,11179184.820000000298023
FS( 168 ),3060857.020000000018626,2631827.069999999832362,2937947.879999999888241,2647678.439999999944121,11278310.409999998286366
FS( 169 ),3059228.200000000186265,2621357.049999999813735,2942664.799999999813735,2624566.959999999962747,11247817.010000001639128
FS( 170 ),3046469.109999999869615,2608507.479999999981374,2960806.799999999813735,2632009.639999999664724,11247793.030000001192093
FS( 171 ),3064386.129999999888241,2574241.959999999962747,2949921.599999999627471,2632793.079999999608845,11221342.769999999552965
FS( 172 ),3060585.549999999813735,2550922.370000000111759,2980037.319999999832362,2673531.959999999962747,11265077.199999999254942
FS( 173 ),3087189.609999999869615,2574717.870000000111759,2979674.479999999981374,2700952.359999999869615,11342534.320000000298023
FS( 174 ),3112979.260000000242144,2602320.649999999906868,2992736.720000000204891,2694684.840000000316650,11402721.470000000670552
FS( 175 ),3104835.160000000149012,2584711.979999999981374,2980763.000000000000000,2601455.479999999981374,11271765.620000001043081
FS( 176 ),3101034.580000000074506,2575669.689999999944121,2990196.839999999850988,2618691.159999999683350,11285592.269999999552965
FS( 177 ),3082846.089999999850988,2564247.850000000093132,2947381.720000000204891,2543872.639999999664724,11138348.300000000745058
FS( 178 ),3106735.450000000186265,2600892.919999999925494,2961895.319999999832362,2586178.399999999906868,11255702.089999999850988
FS( 179 ),3090175.779999999795109,2585187.890000000130385,2925248.479999999981374,2550140.159999999683350,11150752.310000000521541
FS( 180 ),3083660.500000000000000,2601844.740000000223517,2897309.799999999813735,2473754.759999999776483,11056569.799999998882413
FS( 181 ),3063571.719999999739230,2597561.549999999813735,2909646.359999999869615,2710745.359999999869615,11281524.989999998360872
FS( 182 ),3057870.850000000093132,2622784.779999999795109,2903478.079999999608845,2736598.879999999888241,11320732.589999999850988
FS( 183 ),3044840.290000000037253,2613742.490000000223517,2910009.200000000186265,2722496.959999999962747,11291088.940000001341105
FS( 184 ),3059228.200000000186265,2646104.370000000111759,2937947.879999999888241,2751484.239999999757856,11394764.689999999478459
FS( 185 ),3077145.219999999739230,2692267.640000000130385,2956452.720000000204891,2760885.520000000018626,11486751.099999999627471
FS( 186 ),3064929.070000000298023,2683701.260000000242144,2947018.879999999888241,2775379.159999999683350,11471028.370000001043081
FS( 187 ),3069272.589999999850988,2687984.449999999720603,2954638.520000000018626,2771461.959999999962747,11483357.519999999552965
FS( 188 ),3059228.200000000186265,2677514.429999999701977,2940487.760000000242144,2772637.120000000111759,11449867.510000001639128
FS( 189 ),3061671.430000000167638,2680845.799999999813735,2967700.760000000242144,2761668.959999999962747,11471886.949999999254942
FS( 190 ),3108092.799999999813735,2704165.390000000130385,2973506.200000000186265,2779296.359999999869615,11565060.750000000000000
FS( 191 ),3115422.490000000223517,2695599.010000000242144,2992373.879999999888241,2776162.600000000093132,11579557.979999998584390
FS( 192 ),3142840.959999999962747,2720822.240000000223517,3003259.079999999608845,2783213.560000000055879,11650135.839999999850988
FS( 193 ),3141755.080000000074506,2712731.770000000018626,2986931.279999999795109,2782430.120000000111759,11623848.250000000000000
FS( 194 ),3143655.370000000111759,2742238.189999999944121,2998905.000000000000000,2792223.120000000111759,11677021.679999999701977
FS( 195 ),3176231.770000000018626,2721298.149999999906868,3017772.680000000167638,2784780.439999999944121,11700083.039999999105930
FS( 196 ),3176503.240000000223517,2703689.479999999981374,3018861.200000000186265,2786739.040000000037253,11685792.960000000894070
FS( 197 ),3170530.900000000372529,2670375.779999999795109,2996002.279999999795109,2762844.120000000111759,11599753.079999998211861
FS( 198 ),3179489.410000000149012,2677038.520000000018626,3024303.799999999813735,2779296.359999999869615,11660128.089999999850988
FS( 199 ),3160215.040000000037253,2669423.959999999962747,3009790.200000000186265,2785955.600000000093132,11625384.799999998882413
FS( 200 ),3166458.850000000093132,2736527.270000000018626,3026480.839999999850988,2793006.560000000055879,11722473.520000001415610
FS( 201 ),3134968.330000000074506,2659905.760000000242144,3016321.319999999832362,2779296.359999999869615,11590491.769999999552965
FS( 202 ),3163744.150000000372529,2671803.510000000242144,3013055.760000000242144,2785172.159999999683350,11633775.580000000074506
FS( 203 ),3153971.229999999981374,2677038.520000000018626,3026480.839999999850988,2799274.079999999608845,11656764.669999999925494
FS( 204 ),3161572.389999999664724,2714635.410000000149012,3032286.279999999795109,2810633.959999999962747,11719128.039999999105930
FS( 205 ),3186547.629999999888241,2745093.649999999906868,3055508.039999999571592,2824344.159999999683350,11811493.479999998584390
FS( 206 ),3139040.379999999888241,2659429.850000000093132,2984754.240000000223517,2818860.079999999608845,11602084.550000000745058
FS( 207 ),3164015.620000000111759,2632302.979999999981374,2947381.720000000204891,2800840.959999999962747,11544541.280000001192093
FS( 208 ),3209622.580000000074506,2645152.549999999813735,2992011.039999999571592,2801232.680000000167638,11648018.849999999627471
FS( 209 ),3239484.279999999795109,2715111.319999999832362,3044622.839999999850988,2838446.079999999608845,11837664.519999999552965
FS( 210 ),3292963.870000000111759,2741762.279999999795109,3072198.680000000167638,2860382.399999999906868,11967307.230000000447035
FS( 211 ),3292692.400000000372529,2757467.310000000055879,3076189.919999999925494,2852156.280000000260770,11978505.910000000149012
FS( 212 ),3319296.459999999962747,2760322.770000000018626,3100137.359999999869615,2865083.040000000037253,12044839.629999998956919
FS( 213 ),3329340.850000000093132,2815528.330000000074506,3085260.919999999925494,2891719.999999999534339,12121850.099999999627471
FS( 214 ),3325811.740000000223517,2797443.750000000000000,3078004.119999999646097,2880360.120000000111759,12081619.730000000447035
FS( 215 ),3335041.719999999739230,2824570.620000000111759,3112111.079999999608845,2892503.439999999944121,12164226.859999999403954
FS( 216 ),3337213.479999999981374,2824094.709999999962747,3111385.399999999906868,2901121.280000000260770,12173814.870000001043081
FS( 217 ),3336942.010000000242144,2836468.370000000111759,3111385.399999999906868,2870175.399999999906868,12154971.180000001564622
FS( 218 ),3339113.770000000018626,2834088.819999999832362,3116465.160000000149012,2883885.600000000093132,12173553.349999999627471
FS( 219 ),3344000.229999999981374,2838847.919999999925494,3115739.479999999981374,2887019.359999999869615,12185606.990000000223517
FS( 220 ),3339113.770000000018626,2837896.100000000093132,3120819.240000000223517,2885844.200000000186265,12183673.309999998658895
FS( 221 ),3342914.350000000093132,2808865.590000000316650,3117916.520000000018626,2892503.439999999944121,12162199.900000000372529
FS( 222 ),3400194.520000000018626,2791732.830000000074506,3126624.680000000167638,2885452.479999999981374,12204004.509999999776483
FS( 223 ),3397208.350000000093132,2797919.660000000149012,3095783.279999999795109,2890544.840000000316650,12181456.129999998956919
FS( 224 ),3397479.820000000298023,2797919.660000000149012,3093606.240000000223517,2879968.399999999906868,12168974.120000001043081
FS( 225 ),3394222.180000000167638,2799347.390000000130385,3110296.879999999888241,2881143.560000000055879,12185010.009999999776483
