代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13950178.229999998584390
真實報酬,3950178.229999998584390

夏普值報酬,0.386317823000000
夏普值風險,0.109162807640146
夏普值,3.538914318450780

二次趨勢線,45.094239390174486 x^2 + 5803.879021513442240 x + 10000000.000000000000000
二次平均預期報酬,17257.815826617763378
風險,323994.465847985062283
二次平均趨勢值,0.053265773479955
一次趨勢線,14377.387931842991748 x + 10000000.000000000000000
一次預期報酬,14377.387931842991748
一次風險,458417.020535013696644
一次趨勢值,0.031363119796606
找到最佳解世代,1829
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),KO[14](5),VZ[26](3),
FS( 16 ),3372872.609999999869615,3361529.619999999646097,3235790.370000000111759,9970193.599999999627471
FS( 17 ),3435177.450000000186265,3381144.659999999683350,3261079.199999999720603,10077402.309999998658895
FS( 18 ),3457942.680000000167638,3256098.779999999329448,3251445.359999999869615,9965487.819999998435378
FS( 19 ),3502274.970000000204891,3231579.979999999515712,3257466.509999999776483,9991322.459999999031425
FS( 20 ),3577759.680000000167638,3265906.299999999813735,3263487.660000000149012,10107154.640000000596046
FS( 21 ),3575363.339999999850988,3267132.239999999292195,3294797.639999999664724,10137294.219999998807907
FS( 22 ),3582552.359999999869615,3306362.319999999366701,3279142.649999999906868,10168058.330000000074506
FS( 23 ),3606515.760000000242144,3339462.699999999254942,3296001.870000000111759,10241981.329999998211861
FS( 24 ),3747899.820000000298023,3352948.040000000037253,3291184.949999999720603,10392033.810000000521541
FS( 25 ),3750296.160000000149012,3338236.759999999776483,3335741.459999999962747,10424275.379999998956919
FS( 26 ),3817393.680000000167638,3321073.599999999627471,3367051.439999999944121,10505519.719999998807907
FS( 27 ),3848546.099999999627471,3322299.540000000037253,3348987.989999999757856,10519834.629999998956919
FS( 28 ),3859329.630000000353903,3285521.339999999850988,3359826.059999999590218,10504678.030000001192093
FS( 29 ),3878500.349999999627471,3270810.059999999590218,3347783.759999999776483,10497095.169999998062849
FS( 30 ),3831771.720000000204891,3289199.159999999683350,3362234.520000000018626,10483206.400000000372529
FS( 31 ),3841357.080000000540167,3291651.040000000037253,3369459.899999999906868,10502469.020000001415610
FS( 32 ),3836564.400000000372529,3300232.619999999646097,3394748.729999999981374,10531546.750000000000000
FS( 33 ),3844951.590000000316650,3307588.259999999776483,3411607.949999999720603,10564148.799999998882413
FS( 34 ),3804213.810000000055879,3356625.859999999403954,3423650.250000000000000,10584490.919999999925494
FS( 35 ),3847347.930000000167638,3343140.519999999552965,3451347.540000000037253,10641836.989999998360872
FS( 36 ),3908454.599999999627471,3389726.239999999292195,3487474.439999999944121,10785656.279999999329448
FS( 37 ),3926427.150000000372529,3348044.279999999329448,3429671.399999999906868,10704143.830000000074506
FS( 38 ),3879698.520000000484288,3359077.739999999292195,3412812.179999999701977,10651589.439999999478459
FS( 39 ),3952786.890000000130385,3350496.159999999683350,3418833.330000000074506,10722117.379999998956919
FS( 40 ),3977948.460000000428408,3357851.799999999813735,3428467.169999999925494,10764268.429999999701977
FS( 41 ),4036658.789999999571592,3363981.500000000000000,3516375.959999999962747,10917017.250000000000000
FS( 42 ),4022280.750000000000000,3371337.139999999664724,3492291.359999999869615,10885910.250000000000000
FS( 43 ),4039055.130000000353903,3389726.239999999292195,3521192.879999999888241,10949975.250000000000000
FS( 44 ),4082189.250000000000000,3362755.559999999590218,3541664.790000000037253,10986610.599999999627471
FS( 45 ),4100161.799999999813735,3328429.239999999292195,3512763.270000000018626,10941355.309999998658895
FS( 46 ),4118134.349999999627471,3299006.679999999701977,3404382.569999999832362,10821524.599999999627471
FS( 47 ),4107350.820000000298023,3295328.859999999403954,3395952.959999999962747,10798633.640000000596046
FS( 48 ),4138503.239999999757856,3346818.339999999850988,3386319.120000000111759,10871641.699999999254942
FS( 49 ),4146890.430000000167638,3356625.859999999403954,3370664.129999999888241,10874181.419999998062849
FS( 50 ),4149286.770000000484288,3372563.080000000074506,3385114.889999999664724,10906965.740000000223517
FS( 51 ),4205600.759999999776483,3368885.259999999776483,3361030.290000000037253,10935517.309999998658895
FS( 52 ),4260716.580000000074506,3325977.359999999403954,3326107.620000000111759,10912802.559999998658895
FS( 53 ),4234356.839999999850988,3370111.199999999254942,3330924.540000000037253,10935393.579999998211861
FS( 54 ),4229564.160000000149012,3390952.179999999701977,3347783.759999999776483,10968301.099999999627471
FS( 55 ),4186430.039999999571592,3339462.699999999254942,3350192.219999999739230,10876085.959999997168779
FS( 56 ),4436847.570000000298023,3322299.540000000037253,3328516.080000000074506,11087664.190000001341105
FS( 57 ),4561457.250000000000000,3329655.179999999701977,3296001.870000000111759,11187115.300000000745058
FS( 58 ),4635743.789999999105930,3302684.500000000000000,3270713.040000000037253,11209142.329999998211861
FS( 59 ),4612978.560000000521541,3294102.919999999925494,3258670.739999999757856,11165753.220000000670552
FS( 60 ),4484774.369999999180436,3241387.500000000000000,3236994.599999999627471,10963157.469999998807907
FS( 61 ),4477585.349999999627471,3270810.059999999590218,3279142.649999999906868,11027539.059999998658895
FS( 62 ),4598600.519999999552965,3294102.919999999925494,3289980.719999999739230,11182685.160000000149012
FS( 63 ),4469198.160000000149012,3276939.759999999776483,3253853.819999999832362,10999992.740000000223517
FS( 64 ),4559060.910000000149012,3295328.859999999403954,3297206.099999999627471,11151596.869999999180436
FS( 65 ),4427262.210000000894070,3259776.599999999627471,3236994.599999999627471,10924034.410000000149012
FS( 66 ),4381731.750000000000000,3289199.159999999683350,3228564.989999999757856,10899496.900000000372529
FS( 67 ),4215186.119999999180436,3205835.239999999292195,3153902.729999999981374,10574925.089999997988343
FS( 68 ),4036658.789999999571592,3229128.099999999627471,3174374.639999999664724,10440162.529999997466803
FS( 69 ),4346984.820000000298023,3312492.019999999552965,3221339.609999999869615,10880817.449999999254942
FS( 70 ),4391317.109999999403954,3286747.279999999329448,3197255.009999999776483,10875320.399999998509884
FS( 71 ),4485972.539999999105930,3311266.080000000074506,3230973.449999999720603,11028213.069999998435378
FS( 72 ),4422469.529999999329448,3279391.639999999664724,3229769.219999999739230,10931631.389999998733401
FS( 73 ),4344588.480000000447035,3269584.119999999646097,3210501.540000000037253,10824675.140000000596046
FS( 74 ),4351777.500000000000000,3274487.879999999888241,3227360.759999999776483,10853627.140000000596046
FS( 75 ),4319426.910000000149012,3254872.839999999850988,3199663.469999999739230,10773964.219999998807907
FS( 76 ),4251131.219999998807907,3256098.779999999329448,3210501.540000000037253,10717732.539999999105930
FS( 77 ),4070207.549999999813735,3159249.519999999552965,3125001.209999999962747,10354459.279999999329448
FS( 78 ),4148088.599999999627471,3162927.339999999850988,3147881.580000000074506,10458898.519999999552965
FS( 79 ),4223573.310000000521541,3154345.759999999776483,3094895.459999999962747,10472815.530000001192093
FS( 80 ),4197213.570000000298023,3102856.279999999329448,3085261.620000000111759,10385332.469999998807907
FS( 81 ),4178042.849999999627471,3069755.899999999441206,3032275.500000000000000,10280075.250000000000000
FS( 82 ),4336201.289999999105930,3140860.419999999925494,3105733.529999999795109,10582796.239999998360872
FS( 83 ),4397307.960000000894070,3150667.939999999478459,3098508.149999999906868,10646485.050000000745058
FS( 84 ),4464405.480000000447035,3144538.239999999292195,3063585.479999999981374,10672530.199999999254942
FS( 85 ),4518323.130000000819564,3213190.879999999888241,3105733.529999999795109,10837248.540000000968575
FS( 86 ),4503945.089999999850988,3234031.859999999403954,3111754.679999999701977,10849732.629999998956919
FS( 87 ),4381731.750000000000000,3143312.299999999813735,3063585.479999999981374,10588630.529999999329448
FS( 88 ),4295463.509999999776483,3113889.739999999292195,3049134.719999999739230,10458488.969999998807907
FS( 89 ),4267905.599999999627471,3160475.459999999962747,3116571.599999999627471,10544953.660000000149012
FS( 90 ),4162466.640000000130385,3148216.059999999590218,3127409.669999999925494,10438093.369999999180436
FS( 91 ),4288274.490000000223517,3215642.759999999776483,3191233.859999999869615,10695152.109999999403954
FS( 92 ),4339795.800000000745058,3166605.159999999683350,3215318.459999999962747,10721720.420000001788139
FS( 93 ),4352975.669999999925494,3158023.580000000074506,3223748.069999999832362,10734748.320000000298023
FS( 94 ),4445234.759999999776483,3198479.599999999627471,3277938.419999999925494,10921653.779999999329448
FS( 95 ),4574637.119999999180436,3211964.939999999478459,3285163.799999999813735,11071766.859999999403954
FS( 96 ),4653716.339999999850988,3209513.059999999590218,3275529.959999999962747,11138760.359999999403954
FS( 97 ),4690859.609999999403954,3207061.179999999701977,3279142.649999999906868,11177064.439999999478459
FS( 98 ),4624960.259999999776483,3216868.699999999254942,3271917.270000000018626,11113747.229999998584390
FS( 99 ),4687265.099999999627471,3215642.759999999776483,3271917.270000000018626,11174826.129999998956919
FS( 100 ),4638140.130000000819564,3202157.419999999925494,3302023.020000000018626,11142321.570000000298023
FS( 101 ),4604591.369999999180436,3175186.739999999292195,3261079.199999999720603,11040858.309999998658895
FS( 102 ),4565051.759999999776483,3080789.359999999403954,3214114.229999999981374,10859956.349999999627471
FS( 103 ),4592609.669999999925494,3131052.899999999441206,3232177.679999999701977,10955841.250000000000000
FS( 104 ),4385326.259999999776483,3085693.119999999646097,3222543.839999999850988,10693564.219999998807907
FS( 105 ),4305048.869999999180436,3072207.779999999329448,3155106.959999999962747,10532364.609999999403954
FS( 106 ),4253527.560000000521541,3067304.019999999552965,3167149.259999999776483,10487981.839999999850988
FS( 107 ),4227167.820000000298023,3068529.959999999962747,3228564.989999999757856,10524263.769999999552965
FS( 108 ),4255923.900000000372529,3091822.819999999366701,3204480.389999999664724,10552228.109999999403954
FS( 109 ),4427262.210000000894070,3155571.699999999254942,3193642.319999999832362,10776477.230000000447035
FS( 110 ),4417676.849999999627471,3213190.879999999888241,3224952.299999999813735,10855821.029999999329448
FS( 111 ),4444036.589999999850988,3211964.939999999478459,3209297.309999999590218,10865299.839999999850988
FS( 112 ),4404496.980000000447035,3215642.759999999776483,3190029.629999999888241,10810170.370000001043081
FS( 113 ),4309841.550000000745058,3231579.979999999515712,3238198.830000000074506,10779621.359999999403954
FS( 114 ),4325417.759999999776483,3237709.679999999701977,3232177.679999999701977,10795306.119999999180436
FS( 115 ),4303850.700000001117587,3240161.559999999590218,3227360.759999999776483,10771374.019999999552965
FS( 116 ),4277490.960000000894070,3210739.000000000000000,3214114.229999999981374,10702345.190000001341105
FS( 117 ),4203204.419999999925494,3204609.299999999813735,3217726.919999999925494,10625541.640000000596046
FS( 118 ),4311039.719999998807907,3263454.419999999925494,3211705.770000000018626,10786200.909999998286366
FS( 119 ),4351777.500000000000000,3314943.899999999441206,3193642.319999999832362,10860364.719999998807907
FS( 120 ),4433253.060000000521541,3325977.359999999403954,3251445.359999999869615,11010676.779999999329448
FS( 121 ),4448829.269999999552965,3356625.859999999403954,3374276.819999999832362,11179732.949999999254942
FS( 122 ),4438045.740000000223517,3367659.319999999366701,3405586.799999999813735,11211292.859999999403954
FS( 123 ),4520719.469999998807907,3375014.959999999962747,3442917.929999999701977,11338653.359999999403954
FS( 124 ),4466801.820000000298023,3363981.500000000000000,3481453.290000000037253,11312237.609999999403954
FS( 125 ),4417676.849999999627471,3371337.139999999664724,3477840.599999999627471,11266855.589999999850988
FS( 126 ),4403298.810000000521541,3378692.779999999329448,3499516.739999999757856,11281509.330000000074506
FS( 127 ),4482378.029999999329448,3458378.879999999888241,3559728.239999999757856,11500486.149999998509884
FS( 128 ),4483576.200000001117587,3455927.000000000000000,3557319.779999999795109,11496823.980000000447035
FS( 129 ),4501548.750000000000000,3466960.459999999962747,3540460.559999999590218,11508970.769999999552965
FS( 130 ),4479981.689999999478459,3455927.000000000000000,3558524.009999999776483,11494433.699999999254942
FS( 131 ),4452423.779999999329448,3479219.859999999403954,3558524.009999999776483,11490168.649999998509884
FS( 132 ),4479981.689999999478459,3501286.779999999329448,3595855.139999999664724,11577124.609999999403954
FS( 133 ),4440442.080000000074506,3492705.199999999254942,3615122.819999999832362,11548271.099999999627471
FS( 134 ),4282283.640000000596046,3435086.019999999552965,3559728.239999999757856,11277098.900000000372529
FS( 135 ),4309841.550000000745058,3414245.040000000037253,3651249.719999999739230,11375337.310000000521541
FS( 136 ),4264311.089999999850988,3416696.919999999925494,3616327.049999999813735,11297336.059999998658895
FS( 137 ),4239149.519999999552965,3425278.500000000000000,3607897.439999999944121,11272326.459999999031425
FS( 138 ),4313436.060000000521541,3439989.779999999329448,3633186.270000000018626,11386613.109999999403954
FS( 139 ),4331408.609999999403954,3422826.619999999646097,3630777.809999999590218,11385014.039999999105930
FS( 140 ),4277490.960000000894070,3388500.299999999813735,3566953.620000000111759,11232945.880000000819564
FS( 141 ),4272698.279999999329448,3389726.239999999292195,3536847.870000000111759,11199273.389999998733401
FS( 142 ),4206798.929999999701977,3408115.339999999850988,3541664.790000000037253,11156580.059999998658895
FS( 143 ),4107350.820000000298023,3411793.159999999683350,3548890.169999999925494,11068035.150000000372529
FS( 144 ),4157673.960000000428408,3395855.939999999478459,3571770.540000000037253,11125301.440000001341105
FS( 145 ),4113341.669999999925494,3381144.659999999683350,3552502.859999999869615,11046990.189999999478459
FS( 146 ),4136106.900000000372529,3442441.659999999683350,3593446.679999999701977,11171996.240000000223517
FS( 147 ),4150484.939999999944121,3405663.459999999962747,3545277.479999999981374,11101426.880000000819564
FS( 148 ),4161268.469999999739230,3425278.500000000000000,3556115.549999999813735,11142663.519999999552965
FS( 149 ),4284679.980000000447035,3513546.179999999701977,3644024.339999999850988,11442251.500000000000000
FS( 150 ),4315832.400000000372529,3517224.000000000000000,3625960.889999999664724,11459018.289999999105930
FS( 151 ),4429658.550000000745058,3528257.459999999962747,3636798.959999999962747,11594715.970000000670552
FS( 152 ),4412884.169999999925494,3533161.219999999739230,3639207.419999999925494,11585253.809999998658895
FS( 153 ),4500350.580000000074506,3545420.619999999646097,3668108.939999999944121,11713881.139999998733401
FS( 154 ),4502746.919999999925494,3573617.239999999292195,3713869.679999999701977,11790234.839999999850988
FS( 155 ),4508737.769999999552965,3587102.580000000074506,3711461.219999999739230,11807302.570000000298023
FS( 156 ),4571042.609999999403954,3557680.019999999552965,3721095.059999999590218,11849818.689999997615814
FS( 157 ),4587816.990000000223517,3530709.339999999850988,3722299.290000000037253,11840826.620000001043081
FS( 158 ),4624960.259999999776483,3519675.879999999888241,3756017.729999999981374,11900654.869999999180436
FS( 159 ),4733993.730000000447035,3525805.580000000074506,3783715.020000000018626,12043515.330000000074506
FS( 160 ),4713624.839999999850988,3528257.459999999962747,3815025.000000000000000,12056908.300000000745058
FS( 161 ),4847819.880000000819564,3554002.199999999254942,3864398.430000000167638,12266221.509999999776483
FS( 162 ),4857405.240000000223517,3562583.779999999329448,3892095.719999999739230,12312085.739999998360872
FS( 163 ),4925700.929999999701977,3569939.419999999925494,3900525.330000000074506,12396166.679999999701977
FS( 164 ),4944871.650000000372529,3547872.500000000000000,3874032.270000000018626,12366777.419999999925494
FS( 165 ),5003581.980000000447035,3593232.279999999329448,3930631.080000000074506,12527446.339999999850988
FS( 166 ),4983213.089999999850988,3592006.339999999850988,3957124.139999999664724,12532344.570000000298023
FS( 167 ),4910124.719999998807907,3622654.839999999850988,3940264.919999999925494,12473045.479999998584390
FS( 168 ),4918511.910000000149012,3601813.859999999403954,3933039.539999999571592,12453366.309999998658895
FS( 169 ),4857405.240000000223517,3587102.580000000074506,3924609.930000000167638,12369118.750000000000000
FS( 170 ),4835838.179999999701977,3623880.779999999329448,3960736.830000000074506,12420456.789999999105930
FS( 171 ),4769938.830000000074506,3609169.500000000000000,3977596.049999999813735,12356705.379999998956919
FS( 172 ),4946069.820000000298023,3656981.159999999683350,4042624.469999999739230,12645676.449999999254942
FS( 173 ),4934088.119999999180436,3663110.859999999403954,4004089.109999999869615,12601289.089999997988343
FS( 174 ),4950862.500000000000000,3643495.819999999366701,3965553.750000000000000,12559913.070000000298023
FS( 175 ),5033536.230000000447035,3642269.879999999888241,3953511.449999999720603,12629318.559999998658895
FS( 176 ),5055103.289999999105930,3650851.459999999962747,3977596.049999999813735,12683551.800000000745058
FS( 177 ),5110219.109999999403954,3653303.339999999850988,3918588.779999999795109,12682112.229999998584390
FS( 178 ),5137777.019999999552965,3674144.319999999366701,3878849.189999999944121,12690771.529999999329448
FS( 179 ),5174920.289999999105930,3672918.379999999888241,3906546.479999999515712,12754386.149999998509884
FS( 180 ),5386996.380000000819564,3674144.319999999366701,3905342.250000000000000,12966483.949999999254942
FS( 181 ),5443310.369999999180436,3677822.139999999664724,3924609.930000000167638,13045743.439999997615814
FS( 182 ),5297133.630000000819564,3698663.119999999646097,3872828.039999999571592,12868625.789999999105930
FS( 183 ),5315106.179999999701977,3748926.659999999683350,3930631.080000000074506,12994664.919999999925494
FS( 184 ),5298331.800000000745058,3768541.699999999254942,3916180.320000000298023,12983054.820000000298023
FS( 185 ),5262386.700000001117587,3777123.279999999329448,3864398.430000000167638,12903909.410000000149012
FS( 186 ),5286350.099999999627471,3740345.080000000074506,3895708.410000000149012,12922404.589999999850988
FS( 187 ),5273170.230000000447035,3753830.419999999925494,3913771.859999999869615,12940773.509999999776483
FS( 188 ),5269575.719999998807907,3751378.540000000037253,3914976.089999999850988,12935931.349999997764826
FS( 189 ),5225243.429999999701977,3752604.479999999515712,3902933.789999999571592,12880782.699999999254942
FS( 190 ),5152155.060000000521541,3758734.179999999701977,3911363.399999999441206,12822253.640000000596046
FS( 191 ),5206072.710000000894070,3783252.979999999515712,3901729.559999999590218,12891056.250000000000000
FS( 192 ),5294737.289999999105930,3791834.559999999590218,3949898.759999999310821,13036471.609999997541308
FS( 193 ),5354645.789999999105930,3797964.259999999776483,3972779.129999999888241,13125390.179999999701977
FS( 194 ),5448103.050000000745058,3828612.759999999776483,4036603.320000000298023,13313320.130000000819564
FS( 195 ),5427734.160000000149012,3835968.399999999441206,4025765.250000000000000,13289468.809999998658895
FS( 196 ),5454093.900000000372529,3828612.759999999776483,3994455.270000000018626,13277162.929999999701977
FS( 197 ),5409761.609999999403954,3839646.219999999739230,3975187.589999999850988,13224596.419999998062849
FS( 198 ),5443310.369999999180436,3834742.459999999962747,3955919.910000000149012,13233973.739999998360872
FS( 199 ),5420545.140000000596046,3849453.739999999292195,3929426.850000000093132,13199426.729999998584390
FS( 200 ),5271972.060000000521541,3856809.379999999888241,3920997.240000000223517,13049779.680000001564622
FS( 201 ),5255197.679999999701977,3859261.259999999776483,3946286.070000000298023,13060746.009999999776483
FS( 202 ),5161740.419999999925494,3805319.899999999441206,3876440.729999999515712,12843502.050000000745058
FS( 203 ),5143767.869999999180436,3832290.580000000074506,3894504.180000000167638,12870563.629999998956919
FS( 204 ),5279161.080000000074506,3913202.619999999646097,3931835.309999999590218,13124200.009999997913837
FS( 205 ),5250405.000000000000000,3942625.179999999236315,3924609.930000000167638,13117641.109999999403954
FS( 206 ),5364231.150000000372529,3940173.299999999813735,3913771.859999999869615,13218177.309999998658895
FS( 207 ),5283953.759999999776483,3899717.279999999329448,3900525.330000000074506,13084197.369999999180436
FS( 208 ),5388194.550000000745058,3961014.279999999795109,3895708.410000000149012,13244918.240000000223517
FS( 209 ),5391789.060000000521541,3930365.779999999795109,3878849.189999999944121,13201005.029999999329448
FS( 210 ),5424139.650000000372529,3886231.939999999478459,3841518.059999999590218,13151890.649999998509884
FS( 211 ),5325889.710000000894070,3872746.599999999627471,3854764.589999999850988,13053401.900000000372529
FS( 212 ),5415752.460000000894070,3965918.040000000037253,3895708.410000000149012,13277379.910000000149012
FS( 213 ),5445706.710000000894070,3978177.439999999944121,3942673.379999999888241,13366558.530000001192093
FS( 214 ),5433725.009999999776483,3953658.639999999664724,3961941.059999999590218,13349325.709999997168779
FS( 215 ),5480453.640000000596046,3923010.139999999664724,3960736.830000000074506,13364201.610000001266599
FS( 216 ),5446904.880000000819564,3931591.719999999739230,3967962.210000000428408,13346459.810000002384186
FS( 217 ),5494831.679999999701977,3947528.939999999944121,3971574.899999999441206,13413936.519999999552965
FS( 218 ),5473264.619999999180436,3974499.619999999646097,4041420.240000000223517,13489185.479999998584390
FS( 219 ),5486444.490000000223517,3963466.159999999683350,4099223.279999999795109,13549134.929999999701977
FS( 220 ),5505615.210000000894070,3974499.619999999646097,4107652.889999999664724,13587768.719999998807907
FS( 221 ),5482849.980000000447035,3916880.439999999478459,4175089.770000000018626,13574821.189999999478459
FS( 222 ),5484048.150000000372529,3968369.919999999459833,4170272.850000000093132,13622691.919999999925494
FS( 223 ),5498426.189999999478459,4005148.119999999646097,4185927.839999999850988,13689503.149999998509884
FS( 224 ),5487642.660000000149012,4027215.040000000037253,4171477.080000000074506,13686335.779999999329448
FS( 225 ),5515200.570000000298023,4003922.179999999236315,4183519.379999999888241,13702643.129999998956919
FS( 226 ),5548749.330000000074506,4013729.699999999720603,4207603.980000000447035,13770084.009999999776483
FS( 227 ),5565523.710000000894070,4021085.339999999385327,4236505.500000000000000,13823115.550000000745058
FS( 228 ),5539163.969999998807907,4019859.399999999441206,4267815.480000000447035,13826839.849999997764826
FS( 229 ),5557136.519999999552965,3987984.959999999962747,4275040.859999999403954,13820163.339999999850988
FS( 230 ),5571514.560000000521541,4006374.059999999590218,4289491.619999999180436,13867381.240000000223517
FS( 231 ),5567920.050000000745058,4012503.759999999310821,4284674.699999999254942,13865099.509999999776483
FS( 232 ),5540362.140000000596046,4014955.639999999664724,4282266.240000000223517,13837585.020000001415610
FS( 233 ),5521191.419999999925494,4032118.799999999813735,4308759.300000000745058,13862070.519999999552965
FS( 234 ),5641008.419999999925494,3997792.479999999515712,4387034.250000000000000,14025836.149999998509884
FS( 235 ),5670962.669999999925494,3915654.500000000000000,4474943.039999999105930,14061561.209999999031425
FS( 236 ),5716493.130000000819564,3892361.639999999664724,4536358.769999999552965,14145214.539999999105930
FS( 237 ),5712898.619999999180436,3864165.019999999552965,4362949.650000000372529,13940014.289999999105930
FS( 238 ),5753636.400000000372529,3856809.379999999888241,4326822.750000000000000,13937269.530000001192093
FS( 239 ),5861471.700000001117587,3865390.959999999962747,4325618.519999999552965,14052482.179999999701977
FS( 240 ),5848291.830000000074506,3843324.040000000037253,4258181.640000000596046,13949798.510000001639128
FS( 241 ),5895020.460000000894070,3864165.019999999552965,4271428.169999999925494,14030614.650000000372529
FS( 242 ),5916587.519999999552965,3886231.939999999478459,4311167.759999999776483,14113988.219999998807907
FS( 243 ),5964514.320000000298023,3870294.719999999739230,4270223.939999999478459,14105033.979999998584390
FS( 244 ),5830319.279999999329448,3891135.699999999254942,4137758.639999999664724,13859214.619999997317791
FS( 245 ),5800365.029999999329448,3887457.879999999888241,4166660.160000000149012,13854484.070000000298023
FS( 246 ),5694926.070000000298023,3858035.319999999366701,4167864.389999999664724,13720826.780000001192093
FS( 247 ),5591883.450000001117587,3848227.799999999813735,4208808.210000000894070,13648920.460000000894070
FS( 248 ),5776401.630000000819564,3877650.359999999403954,4243730.880000000819564,13897783.870000001043081
FS( 249 ),5843499.150000000372529,3859261.259999999776483,4309963.529999999329448,14012724.939999999478459
FS( 250 ),5885435.099999999627471,3859261.259999999776483,4383421.560000000521541,14128118.919999999925494
FS( 251 ),5874651.570000000298023,3843324.040000000037253,4394259.630000000819564,14112236.240000000223517
FS( 252 ),5752438.230000000447035,3813901.479999999515712,4290695.849999999627471,13857036.560000000521541
FS( 253 ),5807554.050000000745058,3853131.559999999590218,4289491.619999999180436,13950178.229999998584390
