代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13859664.469999998807907
真實報酬,3859664.469999998807907

夏普值報酬,0.377266447000000
夏普值風險,0.113351973506791
夏普值,3.328274182869863

二次趨勢線,58.384589542769689 x^2 + 2305.469633153324594 x + 10000000.000000000000000
二次平均預期報酬,17076.770787474055396
風險,203994.332431039685616
二次平均趨勢值,0.083711986426127
一次趨勢線,13362.007922922106445 x + 10000000.000000000000000
一次預期報酬,13362.007922922106445
一次風險,463846.217063462187070
一次趨勢值,0.028806978328971
找到最佳解世代,1937
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),TRV[22](5),UNH[23](2),
FS( 36 ),3278743.399999999906868,3667889.530000000260770,3165529.519999999552965,10112163.449999999254942
FS( 37 ),3308137.800000000279397,3673814.380000000353903,3190781.500000000000000,10172734.679999999701977
FS( 38 ),3324934.600000000093132,3667889.530000000260770,3208294.969999999273568,10201120.099999999627471
FS( 39 ),3346350.520000000018626,3692773.899999999906868,3222142.829999999608845,10261268.250000000000000
FS( 40 ),3345930.600000000093132,3691588.929999999701977,3200556.459999999497086,10238076.989999998360872
FS( 41 ),3355168.840000000316650,3716868.290000000037253,3232732.369999999646097,10304770.500000000000000
FS( 42 ),3369026.200000000186265,3691193.940000000409782,3243321.909999999683350,10303543.050000000745058
FS( 43 ),3394641.320000000298023,3701463.679999999701977,3236805.269999999552965,10332911.269999999552965
FS( 44 ),3387502.680000000167638,3689613.979999999981374,3253504.159999999683350,10330621.820000000298023
FS( 45 ),3382043.720000000204891,3739382.720000000204891,3279163.429999999701977,10400590.870000001043081
FS( 46 ),3375325.000000000000000,3751232.419999999925494,3250245.839999999385327,10376804.259999999776483
FS( 47 ),3386242.919999999925494,3727138.030000000260770,3255540.609999999869615,10368922.560000000521541
FS( 48 ),3384983.160000000149012,3738987.729999999981374,3248616.679999999701977,10372588.570000000298023
FS( 49 ),3390442.119999999646097,3756367.290000000037253,3250653.129999999888241,10397463.539999999105930
FS( 50 ),3351389.560000000055879,3748467.490000000223517,3265315.569999999832362,10365173.620000001043081
FS( 51 ),3293440.600000000093132,3752417.390000000130385,3235583.399999999441206,10281442.390000000596046
FS( 52 ),3278323.479999999981374,3768611.979999999981374,3224993.859999999869615,10271930.320000000298023
FS( 53 ),3313176.840000000316650,3770586.929999999701977,3176933.639999999664724,10260698.410000000149012
FS( 54 ),3360207.879999999888241,3761107.169999999925494,3183857.569999999832362,10305173.619999999180436
FS( 55 ),3389182.359999999869615,3768216.990000000223517,3226215.729999999515712,10383616.079999998211861
FS( 56 ),3377844.520000000018626,3776116.790000000037253,3279163.429999999701977,10433125.740000000223517
FS( 57 ),3366506.680000000167638,3736222.800000000279397,3315819.529999999329448,10418550.009999999776483
FS( 58 ),3386242.919999999925494,3750442.440000000409782,3319077.849999999627471,10455764.210000000894070
FS( 59 ),3377424.600000000093132,3739382.720000000204891,3329260.099999999627471,10446068.419999999925494
FS( 60 ),3381623.800000000279397,3746887.530000000260770,3353697.500000000000000,10482209.830000000074506
FS( 61 ),3390862.040000000037253,3729112.979999999981374,3351661.049999999813735,10471637.070000000298023
FS( 62 ),3406819.000000000000000,3709758.470000000204891,3339849.639999999664724,10456428.109999999403954
FS( 63 ),3399680.359999999869615,3715683.319999999832362,3329667.389999999664724,10445032.070000000298023
FS( 64 ),3435793.479999999981374,3760712.179999999701977,3335369.449999999720603,10531876.109999999403954
FS( 65 ),3442512.200000000186265,3737407.770000000484288,3359806.849999999627471,10539727.820000000298023
FS( 66 ),3445451.640000000130385,3746097.550000000279397,3394833.789999999571592,10586383.980000000447035
FS( 67 ),3418996.680000000167638,3734642.839999999850988,3348810.019999999552965,10502450.539999999105930
FS( 68 ),3391281.960000000428408,3718448.250000000000000,3336998.609999999869615,10446729.820000000298023
FS( 69 ),3390022.200000000186265,3740567.690000000409782,3369989.099999999627471,10500579.990000000223517
FS( 70 ),3334172.840000000316650,3724768.089999999850988,3343107.959999999497086,10402049.889999998733401
FS( 71 ),3342991.160000000149012,3739777.710000000428408,3375283.869999999646097,10458053.740000000223517
FS( 72 ),3336692.359999999869615,3774536.830000000074506,3432304.469999999273568,10543534.659999998286366
FS( 73 ),3353489.160000000149012,3789941.440000000409782,3417234.739999999757856,10560666.339999999850988
FS( 74 ),3345090.759999999776483,3776906.770000000484288,3411532.679999999701977,10533531.210000000894070
FS( 75 ),3340471.640000000130385,3740567.690000000409782,3466516.829999999608845,10547557.160000000149012
FS( 76 ),3362727.399999999906868,3765847.050000000279397,3483215.719999999273568,10611791.169999999925494
FS( 77 ),3347190.359999999869615,3762687.130000000353903,3464480.379999999888241,10574358.870000001043081
FS( 78 ),3382043.720000000204891,3619305.759999999776483,3504802.089999999385327,10506152.570000000298023
FS( 79 ),3402199.879999999888241,3625230.610000000335276,3500321.899999999441206,10527753.390000000596046
FS( 80 ),3409758.439999999944121,3668679.509999999776483,3489732.359999999869615,10568171.309999998658895
FS( 81 ),3402619.800000000279397,3637870.290000000037253,3449003.359999999869615,10489494.449999999254942
FS( 82 ),3404299.479999999981374,3629180.509999999776483,3492583.389999999664724,10526064.379999998956919
FS( 83 ),3400520.200000000186265,3599161.270000000484288,3432304.469999999273568,10431986.939999999478459
FS( 84 ),3433273.960000000428408,3592051.450000000186265,3378542.189999999944121,10403868.599999999627471
FS( 85 ),3395061.239999999757856,3537542.830000000074506,3301157.089999999385327,10233762.160000000149012
FS( 86 ),3348870.040000000037253,3539517.780000000260770,3319077.849999999627471,10207466.669999999925494
FS( 87 ),3360627.800000000279397,3550972.490000000223517,3350846.469999999273568,10262447.759999999776483
FS( 88 ),3360627.800000000279397,3520163.270000000484288,3298713.349999999627471,10179505.419999999925494
FS( 89 ),3381203.879999999888241,3543072.690000000409782,3319485.139999999664724,10243762.710000000894070
FS( 90 ),3379104.279999999795109,3550972.490000000223517,3228252.179999999701977,10158329.949999999254942
FS( 91 ),3461408.600000000093132,3573881.910000000149012,3263279.119999999646097,10298570.629999998956919
FS( 92 ),3480305.000000000000000,3580991.729999999981374,3253096.869999999646097,10314394.599999999627471
FS( 93 ),3481984.680000000167638,3597976.300000000279397,3267352.019999999552965,10347314.000000000000000
FS( 94 ),3490383.080000000074506,3605086.120000000111759,3319892.429999999701977,10415362.629999998956919
FS( 95 ),3521457.160000000149012,3642610.169999999925494,3332518.419999999459833,10496586.750000000000000
FS( 96 ),3514318.520000000018626,3639055.259999999776483,3318263.269999999552965,10471638.049999998882413
FS( 97 ),3510119.320000000298023,3673024.399999999906868,3353697.500000000000000,10536842.220000000670552
FS( 98 ),3704962.200000000186265,3669864.479999999981374,3399721.269999999552965,10774548.949999999254942
FS( 99 ),3810782.040000000037253,3677764.280000000260770,3398092.109999999869615,10886639.429999999701977
FS( 100 ),3827578.840000000316650,3710548.450000000186265,3411939.969999999273568,10950068.259999999776483
FS( 101 ),3822539.800000000279397,3703043.640000000130385,3412347.259999999776483,10937931.699999999254942
FS( 102 ),3829678.439999999944121,3724373.100000000558794,3431082.599999999627471,10985135.140000000596046
FS( 103 ),3847735.000000000000000,3720818.190000000409782,3466924.119999999646097,11035478.310000000521541
FS( 104 ),3857813.080000000074506,3742937.630000000353903,3518242.659999999683350,11118994.370000001043081
FS( 105 ),3884687.960000000428408,3726348.050000000279397,3516613.500000000000000,11127650.510000001639128
FS( 106 ),3926260.040000000037253,3740962.679999999701977,3530461.359999999869615,11197685.080000000074506
FS( 107 ),3827578.840000000316650,3733457.870000000111759,3518649.949999999720603,11079687.660000000149012
FS( 108 ),3737296.040000000037253,3731482.919999999925494,3534941.549999999813735,11003721.509999999776483
FS( 109 ),3776348.600000000093132,3723188.130000000353903,3545938.379999999888241,11045476.109999999403954
FS( 110 ),3846895.160000000149012,3721213.179999999701977,3574041.389999999664724,11142150.730000000447035
FS( 111 ),3813721.479999999981374,3684084.120000000111759,3580558.029999999329448,11078364.629999998956919
FS( 112 ),3734356.600000000093132,3667494.540000000037253,3607031.879999999888241,11008884.019999999552965
FS( 113 ),3747794.040000000037253,3680134.220000000204891,3553676.889999999664724,10981606.149999998509884
FS( 114 ),3746534.279999999795109,3670259.470000000204891,3546752.959999999497086,10963547.709999999031425
FS( 115 ),3730577.320000000298023,3650509.970000000204891,3510096.859999999869615,10891185.150000000372529
FS( 116 ),3753253.000000000000000,3695143.839999999850988,3503987.509999999776483,10952385.349999999627471
FS( 117 ),3790625.879999999888241,3698698.750000000000000,3550011.279999999329448,11039336.910000000149012
FS( 118 ),3830518.279999999795109,3699093.740000000223517,3543087.349999999627471,11072700.369999999180436
FS( 119 ),3867051.320000000298023,3743727.610000000335276,3569153.909999999683350,11179933.839999999850988
FS( 120 ),3877549.320000000298023,3737012.780000000260770,3576077.839999999385327,11190640.939999999478459
FS( 121 ),3858652.919999999925494,3736617.790000000037253,3574855.969999999273568,11170127.679999999701977
FS( 122 ),3841856.119999999646097,3695143.839999999850988,3526795.750000000000000,11063796.709999999031425
FS( 123 ),3906103.879999999888241,3744122.600000000558794,3592776.729999999515712,11243004.210000000894070
FS( 124 ),3859072.840000000316650,3701068.690000000409782,3510096.859999999869615,11070239.390000000596046
FS( 125 ),3898545.320000000298023,3728717.990000000223517,3527203.039999999571592,11154467.349999999627471
FS( 126 ),3900225.000000000000000,3703833.620000000111759,3523537.429999999701977,11127597.050000000745058
FS( 127 ),3852354.119999999646097,3710548.450000000186265,3512947.889999999664724,11075851.460000000894070
FS( 128 ),3822119.879999999888241,3677369.290000000037253,3457149.159999999683350,10956639.330000000074506
FS( 129 ),3873350.119999999646097,3676184.319999999832362,3457963.739999999757856,11007499.179999999701977
FS( 130 ),3927939.720000000204891,3731087.929999999701977,3503580.219999999273568,11162608.869999999180436
FS( 131 ),3916181.960000000428408,3740567.690000000409782,3465702.250000000000000,11122452.900000000372529
FS( 132 ),3883008.279999999795109,3699488.729999999981374,3429046.149999999441206,11011544.160000000149012
FS( 133 ),3951035.320000000298023,3730692.940000000409782,3528017.619999999646097,11209746.880000000819564
FS( 134 ),3908203.479999999981374,3708573.500000000000000,3459592.899999999441206,11076370.879999998956919
FS( 135 ),3886367.640000000130385,3714498.350000000558794,3477920.949999999720603,11078787.939999999478459
FS( 136 ),3804483.239999999757856,3693958.870000000111759,3419271.189999999944121,10917714.299999998882413
FS( 137 ),3783487.239999999757856,3700278.710000000428408,3373247.419999999459833,10857014.369999999180436
FS( 138 ),3689005.239999999757856,3633525.399999999906868,3346366.279999999329448,10668897.919999998062849
FS( 139 ),3732257.000000000000000,3626415.580000000074506,3477920.949999999720603,10836594.529999999329448
FS( 140 ),3789366.119999999646097,3682899.149999999906868,3591554.859999999869615,11063821.129999998956919
FS( 141 ),3856973.239999999757856,3681319.190000000409782,3606217.299999999813735,11144510.730000000447035
FS( 142 ),3955654.439999999944121,3722398.149999999906868,3704374.189999999944121,11382427.779999999329448
FS( 143 ),3919541.320000000298023,3775326.810000000055879,3656313.969999999273568,11351183.099999999627471
FS( 144 ),3980849.640000000130385,3822330.620000000111759,3692562.779999999329448,11495744.039999999105930
FS( 145 ),3988828.119999999646097,3860249.660000000149012,3732477.199999999720603,11581555.979999998584390
FS( 146 ),4008984.279999999795109,3905278.520000000484288,3752434.409999999683350,11666698.210000000894070
FS( 147 ),4056015.320000000298023,3939247.660000000149012,3773206.199999999720603,11768470.179999999701977
FS( 148 ),4048876.680000000167638,3927002.970000000204891,3786239.479999999515712,11762120.129999998956919
FS( 149 ),4095067.879999999888241,3949912.390000000130385,3823710.159999999683350,11868691.429999999701977
FS( 150 ),4095067.879999999888241,3981511.589999999850988,3869733.929999999701977,11946314.399999998509884
FS( 151 ),4035019.320000000298023,3947937.440000000409782,3863624.579999999608845,11846582.339999999850988
FS( 152 ),4029560.359999999869615,3994546.259999999776483,3868512.060000000055879,11892619.679999999701977
FS( 153 ),4022001.800000000279397,4008765.899999999906868,3901909.839999999385327,11932678.539999999105930
FS( 154 ),4085409.720000000204891,4025355.479999999981374,3918608.729999999515712,12029374.929999999701977
FS( 155 ),4100526.840000000316650,4043525.020000000484288,3812713.329999999608845,11956766.190000001341105
FS( 156 ),4121942.759999999776483,4068014.399999999906868,3859144.389999999664724,12049102.550000000745058
FS( 157 ),4121102.919999999925494,4066039.450000000186265,3897429.649999999441206,12084573.019999999552965
FS( 158 ),4135800.119999999646097,4070779.330000000074506,3897022.359999999869615,12103602.809999998658895
FS( 159 ),4157216.040000000037253,4077494.160000000149012,3905982.739999999757856,12140693.939999999478459
FS( 160 ),4125302.119999999646097,4045894.960000000428408,3873806.829999999608845,12045004.910000000149012
FS( 161 ),4116483.800000000279397,4058534.640000000130385,3929198.269999999552965,12104217.710000000894070
FS( 162 ),4030400.200000000186265,4062484.540000000037253,3999252.149999999441206,12092137.890000000596046
FS( 163 ),4060634.439999999944121,4069594.360000000335276,3945082.579999999608845,12075312.380000000819564
FS( 164 ),4097167.479999999981374,4086578.929999999701977,3944675.289999999571592,12128422.699999999254942
FS( 165 ),4126981.800000000279397,4100403.580000000074506,3938973.229999999515712,12166359.609999999403954
FS( 166 ),4132020.840000000316650,4099613.600000000558794,3946711.739999999757856,12178347.180000001564622
FS( 167 ),4073651.960000000428408,4085393.960000000428408,3987440.739999999757856,12146487.660000000149012
FS( 168 ),4102626.439999999944121,4122523.020000000484288,3995993.829999999608845,12221144.290000000968575
FS( 169 ),4174012.840000000316650,4125682.940000000409782,4017172.909999999683350,12316869.690000001341105
FS( 170 ),4152177.000000000000000,4125287.950000000186265,4034686.379999999888241,12312152.330000000074506
FS( 171 ),4121942.759999999776483,4123707.990000000223517,4066047.709999999497086,12311699.459999999031425
FS( 172 ),4139999.320000000298023,4154912.200000000186265,4105554.839999999385327,12400467.359999999403954
FS( 173 ),4155116.439999999944121,4151357.290000000037253,4059531.069999999832362,12366005.800000000745058
FS( 174 ),4184090.919999999925494,4155307.190000000409782,4086412.209999999497086,12425811.320000000298023
FS( 175 ),4217264.600000000558794,4180586.550000000279397,4069713.319999999832362,12467565.470000000670552
FS( 176 ),4184090.919999999925494,4148197.370000000111759,4114515.219999999273568,12446804.509999999776483
FS( 177 ),4154696.520000000018626,4118178.130000000353903,4035908.250000000000000,12308783.900000000372529
FS( 178 ),4210545.879999999888241,4130422.819999999832362,4061974.810000000055879,12402944.509999999776483
FS( 179 ),4189969.800000000279397,4074729.229999999981374,4022467.679999999701977,12287167.710000000894070
FS( 180 ),4201307.639999999664724,4071964.300000000279397,4002510.469999999273568,12275783.409999998286366
FS( 181 ),4075751.560000000055879,4071569.310000000055879,3903946.289999999571592,12051268.160000000149012
FS( 182 ),4154696.520000000018626,4124102.979999999981374,4037944.699999999720603,12316745.199999999254942
FS( 183 ),4227342.679999999701977,4184931.440000000409782,4164204.599999999627471,12576479.720000000670552
FS( 184 ),4280252.600000000558794,4177031.640000000130385,4174386.849999999627471,12631672.089999999850988
FS( 185 ),4346180.040000000037253,4199151.080000000074506,4196787.799999999813735,12742119.920000001788139
FS( 186 ),4357097.959999999962747,4224430.439999999478459,4189049.289999999571592,12770578.689999997615814
FS( 187 ),4348699.560000000521541,4215345.669999999925494,4182125.359999999869615,12746171.589999999850988
FS( 188 ),4356678.040000000037253,4214555.689999999478459,4176830.589999999385327,12748065.320000000298023
FS( 189 ),4389431.799999999813735,4224430.439999999478459,4167870.209999999497086,12781733.449999997392297
FS( 190 ),4378513.879999999888241,4223640.460000000894070,4189049.289999999571592,12791204.629999998956919
FS( 191 ),4407908.280000000260770,4180981.540000000037253,4117366.250000000000000,12706257.070000000298023
FS( 192 ),4343240.600000000558794,4164786.950000000186265,4104740.259999999776483,12612768.810000000521541
FS( 193 ),4252117.959999999962747,4114623.220000000204891,4037130.119999999646097,12403872.299999998882413
FS( 194 ),4239100.440000000409782,4077889.149999999906868,4028984.319999999832362,12345974.910000000149012
FS( 195 ),4384392.759999999776483,4147407.390000000130385,4070120.609999999869615,12601921.759999999776483
FS( 196 ),4481394.280000000260770,4233515.210000000894070,4264397.939999999478459,12979308.430000001564622
FS( 197 ),4404548.919999999925494,4180191.560000000055879,4224483.519999999552965,12809225.000000000000000
FS( 198 ),4384812.679999999701977,4155307.190000000409782,4176830.589999999385327,12716951.460000000894070
FS( 199 ),4355838.200000000186265,4161627.030000000260770,4198009.669999998994172,12715475.899999998509884
FS( 200 ),4310066.919999999925494,4098823.620000000111759,4208599.209999999962747,12617490.750000000000000
FS( 201 ),4241619.959999999962747,4116203.179999999701977,4254622.979999999515712,12612447.119999999180436
FS( 202 ),4372215.080000000074506,4208235.849999999627471,4307977.969999999739230,12888429.899999998509884
FS( 203 ),4335682.040000000037253,4180586.550000000279397,4301868.620000000111759,12818138.210000000894070
FS( 204 ),4347439.799999999813735,4147802.380000000353903,4452565.919999998994172,12947809.099999997764826
FS( 205 ),4454099.479999999515712,4272619.220000000670552,4637068.289999999105930,13363787.989999998360872
FS( 206 ),4424705.080000000074506,4226405.390000000596046,4561719.639999999664724,13212831.109999999403954
FS( 207 ),4466277.160000000149012,4229170.320000000298023,4545835.330000000074506,13241283.810000000521541
FS( 208 ),4415886.759999999776483,4188881.339999999850988,4480668.929999999701977,13085438.029999999329448
FS( 209 ),4398250.120000000111759,4130817.810000000055879,4417538.979999999515712,12946607.910000000149012
FS( 210 ),4519187.080000000074506,4129237.850000000558794,4455416.949999999254942,13103842.879999998956919
FS( 211 ),4384812.679999999701977,4061299.569999999832362,4327527.889999999664724,12773641.140000000596046
FS( 212 ),4385232.600000000558794,4130817.810000000055879,4369886.049999999813735,12885937.460000000894070
FS( 213 ),4503230.120000000111759,4188486.350000000558794,4391065.129999999888241,13082782.600000001490116
FS( 214 ),4552360.759999999776483,4215740.660000000149012,4395545.319999999366701,13163647.739999998360872
FS( 215 ),4576716.120000000111759,4242599.980000000447035,4432201.419999998994172,13251518.519999999552965
FS( 216 ),4578815.720000000670552,4234305.189999999478459,4382512.039999999105930,13195633.949999999254942
FS( 217 ),4549421.320000000298023,4177821.620000000111759,4337302.849999999627471,13064546.790000000968575
FS( 218 ),4647262.679999999701977,4207445.869999999180436,4438310.769999999552965,13293020.319999998435378
FS( 219 ),4632145.560000000521541,4256819.619999999180436,4474152.289999999105930,13363118.469999998807907
FS( 220 ),4709830.759999999776483,4267484.349999999627471,4473745.000000000000000,13451061.109999999403954
FS( 221 ),4698492.919999999925494,4265904.390000000596046,4457453.399999999441206,13421851.710000000894070
FS( 222 ),4703112.040000000037253,4265904.390000000596046,4470486.679999999701977,13439504.109999999403954
FS( 223 ),4702692.120000000111759,4265114.410000000149012,4470893.969999999739230,13438701.500000000000000
FS( 224 ),4658600.519999999552965,4265509.400000000372529,4481483.509999999776483,13405594.429999999701977
FS( 225 ),4713190.120000000111759,4258794.570000000298023,4586971.620000000111759,13558957.310000002384186
FS( 226 ),4714869.799999999813735,4229565.310000000521541,4740927.240000000223517,13685363.349999999627471
FS( 227 ),4902574.040000000037253,4248129.839999999850988,4701420.110000000335276,13852124.989999998360872
FS( 228 ),4884097.560000000521541,4222850.480000000447035,4645214.089999999850988,13752163.130000000819564
FS( 229 ),4845045.000000000000000,4258794.570000000298023,4629329.779999999329448,13733170.349999999627471
FS( 230 ),4818590.040000000037253,4243784.949999999254942,4628107.909999999217689,13690483.899999998509884
FS( 231 ),4876119.080000000074506,4261954.490000000223517,4659469.240000000223517,13797543.810000000521541
FS( 232 ),4874019.479999999515712,4242204.990000000223517,4596746.580000000074506,13712972.049999998882413
FS( 233 ),4819009.959999999962747,4221665.509999999776483,4635846.419999998994172,13676522.889999996870756
FS( 234 ),4867300.759999999776483,4250104.789999999105930,4675353.549999999813735,13792760.099999997764826
FS( 235 ),4805992.440000000409782,4179006.589999999850988,4597561.159999999217689,13582561.190000001341105
FS( 236 ),4839586.040000000037253,4215345.669999999925494,4679833.740000000223517,13734766.450000001117587
FS( 237 ),4726627.560000000521541,4136742.660000000149012,4580454.979999999515712,13443826.199999999254942
FS( 238 ),4748043.479999999515712,4173871.720000000204891,4591044.519999999552965,13512960.719999998807907
FS( 239 ),4875279.240000000223517,4259189.560000000521541,4679019.159999999217689,13813488.960000000894070
FS( 240 ),4821529.479999999515712,4215345.669999999925494,4694088.889999999664724,13730965.039999999105930
FS( 241 ),4892076.040000000037253,4302638.460000000894070,4827272.719999999739230,14021988.219999998807907
FS( 242 ),4853443.400000000372529,4295528.640000000596046,4789802.039999999105930,13938775.080000000074506
FS( 243 ),4874439.400000000372529,4325942.869999999180436,4885922.479999999515712,14086305.750000000000000
FS( 244 ),4835806.759999999776483,4309748.279999999329448,4918505.679999999701977,14064061.719999998807907
FS( 245 ),4933648.120000000111759,4334237.660000000149012,4852524.699999999254942,14120411.480000000447035
FS( 246 ),4874019.479999999515712,4329892.769999999552965,4848451.799999999813735,14052365.050000000745058
FS( 247 ),4877378.839999999850988,4314488.160000000149012,4810981.120000000111759,14002849.120000001043081
FS( 248 ),4773658.600000000558794,4250499.779999999329448,4746629.299999999813735,13770788.679999999701977
FS( 249 ),4718649.080000000074506,4219690.560000000521541,4734817.889999999664724,13673158.530000001192093
FS( 250 ),4781217.160000000149012,4231540.259999999776483,4806500.929999999701977,13819259.349999999627471
FS( 251 ),4813551.000000000000000,4330682.750000000000000,4928280.639999999664724,14072515.390000000596046
FS( 252 ),4770719.160000000149012,4271039.259999999776483,4817905.049999999813735,13859664.469999998807907
