代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14198214.009999997913837
真實報酬,4198214.009999997913837

夏普值報酬,0.411121401000000
夏普值風險,0.104464198796999
夏普值,3.935524378059071

二次趨勢線,31.364829740605906 x^2 + 8635.009860795062195 x + 10000000.000000000000000
二次平均預期報酬,16570.311785168352799
風險,125756.688858890716801
二次平均趨勢值,0.131764854303389
一次趨勢線,14574.701202207175811 x + 10000000.000000000000000
一次預期報酬,14574.701202207175811
一次風險,256705.049785221024649
一次趨勢值,0.056776059584342
找到最佳解世代,2066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](6),BA[2](4),CAT[3](7),JNJ[12](11),MCD[15](3),MSFT[18](1),UNH[23](2),V[25](5),
FS( 8 ),1264287.419999999925494,1239030.919999999925494,1231277.880000000121072,1234569.409999999916181,1242743.229999999981374,1226992.699999999953434,1233517.679999999701977,1259071.250000000000000,9931490.489999998360872
FS( 9 ),1309023.439999999944121,1228542.939999999944121,1243401.219999999972060,1237193.659999999916181,1247617.179999999934807,1221132.349999999860302,1231123.599999999860302,1252921.250000000000000,9970955.639999998733401
FS( 10 ),1353525.239999999990687,1229505.139999999897555,1258900.680000000167638,1245276.349999999860302,1258014.939999999944121,1241317.999999999767169,1248802.959999999962747,1260916.250000000000000,10096259.559999998658895
FS( 11 ),1345913.090000000083819,1219209.600000000093132,1259207.600000000093132,1241287.489999999990687,1248700.279999999795109,1242620.299999999813735,1275137.839999999850988,1261838.750000000000000,10093914.949999999254942
FS( 12 ),1330220.349999999860302,1226714.760000000009313,1256598.780000000027940,1235094.260000000009313,1247942.109999999869615,1235674.699999999720603,1267863.520000000018626,1268603.750000000000000,10068712.229999998584390
FS( 13 ),1330103.239999999990687,1229697.580000000074506,1253836.500000000000000,1238138.390000000130385,1261372.549999999813735,1233070.099999999860302,1265929.839999999850988,1268142.500000000000000,10080290.699999999254942
FS( 14 ),1329869.020000000018626,1256350.520000000018626,1280998.919999999925494,1248215.510000000009313,1266571.429999999934807,1253689.849999999860302,1288397.359999999869615,1279520.000000000000000,10203612.609999999403954
FS( 15 ),1342399.790000000037253,1268955.340000000083819,1281459.300000000046566,1253988.859999999869615,1271228.759999999776483,1254992.149999999906868,1298802.399999999674037,1281672.500000000000000,10253499.099999999627471
FS( 16 ),1320031.779999999795109,1268089.359999999869615,1265192.540000000037253,1247165.810000000055879,1269170.869999999878928,1246527.199999999720603,1293922.159999999683350,1269065.000000000000000,10179164.720000000670552
FS( 17 ),1322022.649999999906868,1256446.739999999990687,1264118.320000000065193,1236353.899999999906868,1262239.029999999795109,1235023.549999999813735,1286647.839999999850988,1257841.250000000000000,10120693.279999997466803
FS( 18 ),1324481.959999999962747,1263663.239999999990687,1271944.780000000027940,1251469.580000000074506,1266029.879999999888241,1257813.799999999813735,1296500.399999999674037,1263222.500000000000000,10195126.140000000596046
FS( 19 ),1334553.419999999925494,1272419.259999999776483,1328878.440000000176951,1253254.070000000065193,1247617.179999999934807,1259550.199999999953434,1293001.359999999869615,1275676.250000000000000,10264950.179999999701977
FS( 20 ),1313824.949999999953434,1260872.859999999869615,1342382.919999999925494,1231000.429999999934807,1243393.089999999850988,1245876.049999999813735,1273756.639999999664724,1259532.500000000000000,10170639.439999997615814
FS( 21 ),1324013.520000000018626,1267704.479999999981374,1362332.719999999972060,1240027.849999999860302,1249566.759999999776483,1250217.049999999813735,1289226.079999999841675,1271525.000000000000000,10254613.459999999031425
FS( 22 ),1317806.689999999944121,1273862.559999999823049,1354813.180000000167638,1247165.810000000055879,1241768.439999999944121,1246310.149999999906868,1275322.000000000000000,1273985.000000000000000,10231033.830000000074506
FS( 23 ),1323427.969999999972060,1272611.699999999953434,1342996.760000000009313,1247270.780000000027940,1229421.099999999860302,1242403.249999999767169,1272283.359999999869615,1271986.250000000000000,10202401.169999999925494
FS( 24 ),1324013.520000000018626,1295800.719999999972060,1372307.620000000111759,1251049.699999999953434,1228446.309999999823049,1251085.249999999767169,1267126.879999999888241,1281518.750000000000000,10271348.750000000000000
FS( 25 ),1333850.760000000009313,1293491.439999999944121,1370312.640000000130385,1246535.989999999990687,1233970.119999999878928,1253255.749999999767169,1256721.839999999850988,1281672.500000000000000,10269811.039999999105930
FS( 26 ),1335841.629999999888241,1288006.899999999906868,1357728.919999999925494,1251679.520000000018626,1228879.549999999813735,1254558.049999999813735,1258471.359999999869615,1274292.500000000000000,10249458.429999999701977
FS( 27 ),1359146.520000000018626,1307154.679999999934807,1353892.419999999925494,1257557.839999999850988,1242526.609999999869615,1259767.249999999767169,1271546.719999999972060,1277982.500000000000000,10329574.540000000968575
FS( 28 ),1362074.270000000018626,1286948.479999999981374,1342382.919999999925494,1234884.320000000065193,1231370.679999999934807,1241317.999999999767169,1240884.079999999841675,1261377.500000000000000,10201240.250000000000000
FS( 29 ),1374253.709999999962747,1281367.719999999972060,1344070.979999999981374,1238348.330000000074506,1242526.609999999869615,1239581.599999999860302,1244106.879999999888241,1264606.250000000000000,10228862.079999998211861
FS( 30 ),1370037.750000000000000,1283484.559999999823049,1334709.919999999925494,1241392.459999999962747,1250108.309999999823049,1235457.649999999906868,1235727.599999999860302,1258763.750000000000000,10209681.999999998137355
FS( 31 ),1377649.899999999906868,1284639.199999999953434,1345452.120000000111759,1234044.560000000055879,1235811.389999999897555,1246310.149999999906868,1233241.439999999711290,1267681.250000000000000,10224830.009999997913837
FS( 32 ),1376713.020000000018626,1289450.199999999953434,1339620.640000000130385,1243806.770000000018626,1217615.309999999823049,1241969.149999999674037,1235175.119999999878928,1263068.750000000000000,10207418.959999999031425
FS( 33 ),1375776.139999999897555,1300034.399999999906868,1338546.419999999925494,1211476.010000000009313,1205051.349999999860302,1251519.349999999627471,1320441.199999999720603,1254305.000000000000000,10257149.869999999180436
FS( 34 ),1371677.290000000037253,1310426.159999999916181,1350516.300000000046566,1202868.469999999972060,1205159.659999999916181,1248697.699999999953434,1329465.039999999804422,1273216.250000000000000,10292026.869999999180436
FS( 35 ),1370974.629999999888241,1307154.679999999934807,1329492.280000000027940,1205807.630000000121072,1197686.269999999785796,1242620.299999999813735,1335910.639999999664724,1268450.000000000000000,10258096.429999999701977
FS( 36 ),1365587.569999999832362,1305134.059999999823049,1324888.479999999981374,1190796.919999999925494,1234078.429999999934807,1294929.349999999627471,1338673.039999999804422,1266143.750000000000000,10320231.599999997764826
FS( 37 ),1377884.120000000111759,1322646.099999999860302,1319670.840000000083819,1192581.409999999916181,1230179.269999999785796,1324014.049999999813735,1332411.599999999860302,1278751.250000000000000,10378138.639999998733401
FS( 38 ),1384910.719999999972060,1337752.640000000130385,1296498.380000000121072,1196255.359999999869615,1220972.919999999925494,1323796.999999999767169,1324032.319999999832362,1261223.750000000000000,10345443.089999999850988
FS( 39 ),1353759.459999999962747,1400488.079999999841675,1291127.280000000027940,1202553.560000000055879,1214366.009999999776483,1315983.199999999953434,1309759.919999999692664,1256918.750000000000000,10344956.259999999776483
FS( 40 ),1340760.250000000000000,1379031.020000000018626,1273939.760000000009313,1214520.140000000130385,1214041.079999999841675,1304479.549999999813735,1307089.599999999860302,1259532.500000000000000,10293393.900000000372529
FS( 41 ),1331859.889999999897555,1376144.419999999925494,1287290.780000000027940,1210636.250000000000000,1214257.699999999720603,1299487.399999999674037,1292448.879999999888241,1264145.000000000000000,10276270.319999998435378
FS( 42 ),1329751.910000000149012,1370563.659999999916181,1280845.459999999962747,1217564.270000000018626,1219348.269999999785796,1300572.649999999906868,1301472.719999999972060,1268603.750000000000000,10288722.690000001341105
FS( 43 ),1305744.359999999869615,1370371.219999999972060,1262123.340000000083819,1210741.219999999972060,1215882.349999999860302,1297968.049999999813735,1283977.520000000018626,1254920.000000000000000,10201728.059999998658895
FS( 44 ),1306915.459999999962747,1354398.699999999953434,1244782.360000000102445,1205702.659999999916181,1217398.689999999944121,1289937.199999999720603,1279833.919999999692664,1238930.000000000000000,10137898.990000000223517
FS( 45 ),1286304.099999999860302,1347374.640000000130385,1247237.719999999972060,1207487.149999999906868,1210141.919999999925494,1285162.099999999860302,1269244.719999999972060,1240006.250000000000000,10092958.599999999627471
FS( 46 ),1274710.209999999962747,1342756.079999999841675,1263197.560000000055879,1208326.909999999916181,1202776.839999999850988,1274309.599999999860302,1268139.760000000009313,1235547.500000000000000,10069764.459999999031425
FS( 47 ),1293096.479999999981374,1376336.859999999869615,1285295.800000000046566,1224597.260000000009313,1222056.019999999785796,1311425.149999999906868,1306997.520000000018626,1268603.750000000000000,10288408.839999997988343
FS( 48 ),1300708.629999999888241,1368350.599999999860302,1299567.580000000074506,1228691.089999999850988,1236028.009999999776483,1312510.399999999674037,1315929.279999999795109,1274292.500000000000000,10336078.089999997988343
FS( 49 ),1298600.649999999906868,1396158.179999999934807,1399623.500000000000000,1262911.310000000055879,1245450.979999999981374,1305998.899999999906868,1306721.279999999795109,1279827.500000000000000,10495292.300000000745058
FS( 50 ),1262413.660000000149012,1421175.379999999888241,1434152.000000000000000,1254828.620000000111759,1240360.409999999916181,1274092.549999999813735,1345671.119999999878928,1258763.750000000000000,10491457.490000000223517
FS( 51 ),1269908.699999999953434,1429161.640000000130385,1427399.760000000009313,1243596.830000000074506,1237219.419999999925494,1281038.149999999906868,1348341.439999999711290,1258917.500000000000000,10495583.439999999478459
FS( 52 ),1238054.779999999795109,1443305.979999999981374,1445201.120000000111759,1223967.439999999944121,1276644.259999999776483,1261503.649999999674037,1402300.319999999832362,1205105.000000000000000,10496082.549999998882413
FS( 53 ),1254450.179999999934807,1425216.620000000111759,1449344.540000000037253,1221028.280000000027940,1281626.519999999785796,1277782.399999999674037,1401839.919999999692664,1208026.250000000000000,10519314.709999999031425
FS( 54 ),1288177.859999999869615,1409147.879999999888241,1432617.399999999906868,1221448.159999999916181,1291266.109999999869615,1294712.299999999813735,1395118.079999999841675,1231242.500000000000000,10563730.289999999105930
FS( 55 ),1287709.419999999925494,1398467.459999999962747,1423870.180000000167638,1223652.530000000027940,1293865.549999999813735,1316200.249999999767169,1388396.239999999990687,1246463.750000000000000,10578625.379999998956919
FS( 56 ),1288997.629999999888241,1408281.899999999906868,1417117.940000000176951,1210951.159999999916181,1299822.599999999860302,1309905.799999999813735,1376241.679999999701977,1242620.000000000000000,10553938.709999999031425
FS( 57 ),1308555.000000000000000,1414728.640000000130385,1425711.700000000186265,1207172.239999999990687,1294407.099999999860302,1320975.349999999860302,1385081.359999999869615,1255996.250000000000000,10612627.639999998733401
FS( 58 ),1309374.770000000018626,1438783.640000000130385,1436760.820000000065193,1183449.020000000018626,1296464.989999999757856,1326618.649999999674037,1402116.159999999683350,1228936.250000000000000,10622504.299999998882413
FS( 59 ),1302699.500000000000000,1440900.479999999981374,1476046.580000000074506,1186913.030000000027940,1301338.939999999944121,1310991.049999999813735,1413902.399999999674037,1223401.250000000000000,10656193.230000000447035
FS( 60 ),1309257.660000000149012,1443787.079999999841675,1470368.560000000055879,1198039.849999999860302,1306971.059999999823049,1313812.699999999953434,1407180.559999999823049,1232011.250000000000000,10681428.720000000670552
FS( 61 ),1306681.239999999990687,1441189.140000000130385,1456403.700000000186265,1187542.849999999860302,1319535.019999999785796,1315549.099999999860302,1400734.959999999962747,1215867.500000000000000,10643503.509999997913837
FS( 62 ),1305393.029999999795109,1459182.279999999795109,1443206.140000000130385,1180719.800000000046566,1307187.679999999934807,1325967.500000000000000,1451194.799999999813735,1216943.750000000000000,10689794.979999998584390
FS( 63 ),1294384.689999999944121,1448790.520000000018626,1466532.060000000055879,1168333.339999999850988,1291915.969999999739230,1307952.349999999860302,1457916.639999999664724,1188807.500000000000000,10624633.069999998435378
FS( 64 ),1282322.359999999869615,1466398.779999999795109,1476967.340000000083819,1169173.099999999860302,1283251.169999999925494,1284945.049999999813735,1482041.599999999860302,1159748.750000000000000,10604848.149999998509884
FS( 65 ),1287123.870000000111759,1465051.699999999953434,1460086.739999999990687,1175261.359999999869615,1280760.039999999804422,1286030.299999999813735,1480107.919999999692664,1164207.500000000000000,10598629.429999999701977
FS( 66 ),1277872.179999999934807,1464185.719999999972060,1449498.000000000000000,1175051.419999999925494,1292132.589999999850988,1307084.149999999674037,1451563.119999999878928,1188653.750000000000000,10606040.929999999701977
FS( 67 ),1287709.419999999925494,1464955.479999999981374,1461314.419999999925494,1176311.060000000055879,1291699.349999999860302,1301223.799999999813735,1448708.639999999664724,1185578.750000000000000,10617500.919999999925494
FS( 68 ),1300357.300000000046566,1483237.279999999795109,1493694.479999999981374,1166233.939999999944121,1298956.119999999878928,1332044.899999999674037,1467861.279999999795109,1219403.750000000000000,10761789.049999998882413
FS( 69 ),1313122.290000000037253,1495264.779999999795109,1477427.719999999972060,1165079.270000000018626,1304696.549999999813735,1324231.099999999860302,1467124.639999999664724,1218942.500000000000000,10765888.849999999627471
FS( 70 ),1334553.419999999925494,1505848.979999999981374,1466071.680000000167638,1178410.459999999962747,1313469.659999999916181,1345067.899999999674037,1474491.039999999804422,1216790.000000000000000,10834703.139999998733401
FS( 71 ),1326941.270000000018626,1512295.719999999972060,1459165.979999999981374,1210951.159999999916181,1318668.539999999804422,1349408.899999999906868,1468690.000000000000000,1206950.000000000000000,10853071.570000000298023
FS( 72 ),1349075.060000000055879,1507484.719999999972060,1473591.219999999972060,1216514.570000000065193,1328849.679999999934807,1366989.949999999720603,1478358.399999999674037,1217712.500000000000000,10938576.099999999627471
FS( 73 ),1349075.060000000055879,1486412.540000000037253,1438602.340000000083819,1207067.270000000018626,1330582.639999999897555,1360478.449999999720603,1472096.959999999962747,1216636.250000000000000,10860951.510000001639128
FS( 74 ),1356452.989999999990687,1479677.140000000130385,1450725.680000000167638,1216514.570000000065193,1325383.759999999776483,1358307.949999999720603,1479095.039999999804422,1222325.000000000000000,10888482.129999998956919
FS( 75 ),1358209.639999999897555,1486701.199999999953434,1420800.979999999981374,1216409.599999999860302,1334915.039999999804422,1352230.549999999813735,1509665.599999999860302,1204643.750000000000000,10883576.359999999403954
FS( 76 ),1366056.010000000009313,1502866.159999999916181,1422795.959999999962747,1217879.179999999934807,1332207.289999999804422,1380881.149999999674037,1487566.399999999674037,1200800.000000000000000,10911052.149999998509884
FS( 77 ),1369686.419999999925494,1504886.779999999795109,1447809.940000000176951,1214100.260000000009313,1335889.829999999841675,1379144.749999999767169,1488026.799999999813735,1204797.500000000000000,10944342.279999999329448
FS( 78 ),1370974.629999999888241,1515374.759999999776483,1439830.020000000018626,1210426.310000000055879,1334265.179999999934807,1379144.749999999767169,1485632.719999999972060,1201415.000000000000000,10937063.370000001043081
FS( 79 ),1361957.160000000149012,1515182.320000000065193,1444433.820000000065193,1211790.919999999925494,1340113.919999999925494,1379361.799999999813735,1487934.719999999972060,1197725.000000000000000,10938499.660000000149012
FS( 80 ),1364650.689999999944121,1518550.020000000018626,1447503.020000000018626,1217249.359999999869615,1333831.939999999944121,1372633.249999999767169,1501286.319999999832362,1201568.750000000000000,10957273.349999999627471
FS( 81 ),1373316.830000000074506,1515374.759999999776483,1451032.600000000093132,1216724.510000000009313,1333073.769999999785796,1373501.449999999953434,1497695.199999999720603,1204643.750000000000000,10965362.869999999180436
FS( 82 ),1367461.330000000074506,1502096.399999999906868,1429548.200000000186265,1208221.939999999944121,1328849.679999999934807,1367206.999999999767169,1486645.599999999860302,1203875.000000000000000,10893905.149999998509884
FS( 83 ),1367110.000000000000000,1498151.379999999888241,1431696.640000000130385,1212315.770000000018626,1330041.089999999850988,1365253.549999999813735,1482962.399999999674037,1204336.250000000000000,10891867.079999998211861
FS( 84 ),1356452.989999999990687,1498055.159999999916181,1423256.340000000083819,1209376.609999999869615,1318451.919999999925494,1348757.749999999767169,1473754.399999999674037,1199570.000000000000000,10827675.169999999925494
FS( 85 ),1360317.620000000111759,1510467.540000000037253,1442438.840000000083819,1215989.719999999972060,1295706.819999999832362,1358307.949999999720603,1486737.679999999701977,1222325.000000000000000,10892291.169999998062849
FS( 86 ),1358795.189999999944121,1526343.840000000083819,1435993.520000000018626,1213995.290000000037253,1294190.479999999981374,1352230.549999999813735,1490973.359999999869615,1232318.750000000000000,10904840.980000000447035
FS( 87 ),1365704.679999999934807,1527209.820000000065193,1427246.300000000046566,1226696.659999999916181,1296573.299999999813735,1352230.549999999813735,1493459.520000000018626,1246771.250000000000000,10935892.080000000074506
FS( 88 ),1380928.979999999981374,1530962.399999999906868,1427860.140000000130385,1220818.339999999850988,1308054.159999999916181,1363951.250000000000000,1495577.359999999869615,1263991.250000000000000,10992143.879999998956919
FS( 89 ),1393576.859999999869615,1523457.239999999990687,1417578.320000000065193,1220608.399999999906868,1304479.929999999934807,1359610.249999999767169,1491341.679999999701977,1256918.750000000000000,10967571.429999999701977
FS( 90 ),1394982.179999999934807,1530673.739999999990687,1439983.479999999981374,1219348.760000000009313,1302530.349999999860302,1359176.149999999674037,1487934.719999999972060,1250153.750000000000000,10984783.129999998956919
FS( 91 ),1402477.219999999972060,1533849.000000000000000,1452567.200000000186265,1204338.050000000046566,1309353.879999999888241,1371547.999999999767169,1490789.199999999720603,1257687.500000000000000,11022610.049999998882413
FS( 92 ),1396621.719999999972060,1523168.579999999841675,1442438.840000000083819,1203183.380000000121072,1322567.699999999720603,1358959.099999999860302,1495116.959999999962747,1251076.250000000000000,10993132.529999997466803
FS( 93 ),1394162.410000000149012,1528364.459999999962747,1449958.380000000121072,1202973.439999999944121,1316069.099999999860302,1360912.549999999813735,1489960.479999999981374,1248001.250000000000000,10990402.069999998435378
FS( 94 ),1405404.969999999972060,1517202.939999999944121,1435993.520000000018626,1205807.630000000121072,1329607.849999999860302,1357222.699999999953434,1479463.359999999869615,1249385.000000000000000,10980087.969999998807907
FS( 95 ),1405287.859999999869615,1523457.239999999990687,1432310.479999999981374,1204023.140000000130385,1329174.609999999869615,1356571.549999999813735,1452576.000000000000000,1254458.750000000000000,10957859.629999998956919
FS( 96 ),1402828.550000000046566,1530000.199999999953434,1433077.780000000027940,1198774.640000000130385,1323434.179999999934807,1352230.549999999813735,1461415.679999999701977,1256611.250000000000000,10958372.829999998211861
FS( 97 ),1405404.969999999972060,1535099.859999999869615,1451492.979999999981374,1198249.790000000037253,1324300.659999999916181,1361780.749999999767169,1461047.359999999869615,1258302.500000000000000,10995678.870000001043081
FS( 98 ),1406341.849999999860302,1518838.679999999934807,1449651.459999999962747,1195730.510000000009313,1314769.379999999888241,1366555.849999999860302,1464822.639999999664724,1263068.750000000000000,10979779.119999999180436
FS( 99 ),1405053.639999999897555,1544914.300000000046566,1476967.340000000083819,1173161.959999999962747,1311195.149999999906868,1378710.649999999906868,1477345.520000000018626,1279673.750000000000000,11047022.310000000521541
FS( 100 ),1427421.649999999906868,1610440.120000000111759,1506278.200000000186265,1184078.839999999850988,1319210.089999999850988,1382183.449999999720603,1484804.000000000000000,1289975.000000000000000,11204391.349999999627471
FS( 101 ),1428124.310000000055879,1627374.840000000083819,1492006.419999999925494,1174001.719999999972060,1320184.879999999888241,1394989.399999999674037,1498708.079999999841675,1279827.500000000000000,11215217.150000000372529
FS( 102 ),1428241.419999999925494,1613711.599999999860302,1519168.840000000083819,1190167.099999999860302,1330799.259999999776483,1427763.949999999953434,1500918.000000000000000,1287976.250000000000000,11298746.419999998062849
FS( 103 ),1424493.899999999906868,1593216.739999999990687,1485407.640000000130385,1187542.849999999860302,1332532.219999999739230,1413655.699999999720603,1492630.799999999813735,1286900.000000000000000,11216379.849999997764826
FS( 104 ),1421214.819999999832362,1572529.439999999944121,1468066.659999999916181,1188802.489999999990687,1327658.269999999785796,1403237.300000000046566,1492722.879999999888241,1271678.750000000000000,11145910.609999999403954
FS( 105 ),1507876.219999999972060,1577821.540000000037253,1459626.360000000102445,1188592.550000000046566,1326033.619999999878928,1380012.949999999720603,1498339.760000000009313,1267527.500000000000000,11205830.500000000000000
FS( 106 ),1505299.800000000046566,1561367.919999999925494,1439062.719999999972060,1192161.530000000027940,1334698.419999999925494,1371113.899999999906868,1480384.159999999683350,1265375.000000000000000,11149463.449999999254942
FS( 107 ),1511740.850000000093132,1562715.000000000000000,1431543.180000000167638,1192896.320000000065193,1345746.039999999804422,1382183.449999999720603,1490605.039999999804422,1323492.500000000000000,11240922.379999998956919
FS( 108 ),1525911.159999999916181,1577917.759999999776483,1425251.320000000065193,1190377.040000000037253,1348020.549999999813735,1381315.249999999767169,1478082.159999999683350,1319648.750000000000000,11246523.990000000223517
FS( 109 ),1540432.800000000046566,1602165.199999999953434,1432003.560000000055879,1191216.800000000046566,1349536.889999999897555,1376757.199999999720603,1478266.319999999832362,1318880.000000000000000,11289258.769999999552965
FS( 110 ),1546405.409999999916181,1576282.020000000018626,1425865.159999999916181,1190377.040000000037253,1350403.369999999878928,1374803.750000000000000,1476240.559999999823049,1308271.250000000000000,11248648.560000000521541
FS( 111 ),1550855.589999999850988,1580804.359999999869615,1441978.459999999962747,1197515.000000000000000,1348345.479999999981374,1390431.349999999860302,1477437.599999999860302,1315805.000000000000000,11303172.839999999850988
FS( 112 ),1547342.290000000037253,1599567.259999999776483,1478041.560000000055879,1209691.520000000018626,1362859.019999999785796,1389129.049999999813735,1480292.079999999841675,1320725.000000000000000,11387647.779999999329448
FS( 113 ),1561044.159999999916181,1616886.859999999869615,1511649.300000000046566,1216409.599999999860302,1359826.339999999850988,1404756.649999999674037,1491710.000000000000000,1329027.500000000000000,11491310.409999998286366
FS( 114 ),1581304.190000000176951,1621409.199999999953434,1505357.440000000176951,1221448.159999999916181,1362750.709999999962747,1401500.899999999674037,1502207.119999999878928,1335331.250000000000000,11531308.969999998807907
FS( 115 ),1587042.579999999841675,1629106.800000000046566,1519629.219999999972060,1230265.640000000130385,1370007.479999999981374,1400632.699999999953434,1512888.399999999674037,1345940.000000000000000,11595512.820000000298023
FS( 116 ),1585168.819999999832362,1643636.020000000018626,1507966.260000000009313,1239503.000000000000000,1372390.299999999813735,1400415.649999999674037,1506995.279999999795109,1343941.250000000000000,11600016.579999998211861
FS( 117 ),1589501.889999999897555,1661917.820000000065193,1517020.399999999906868,1247690.659999999916181,1384304.399999999906868,1402586.149999999906868,1451471.039999999804422,1344710.000000000000000,11599202.359999999403954
FS( 118 ),1600978.669999999925494,1689340.520000000018626,1505510.899999999906868,1256088.260000000009313,1386903.839999999850988,1399764.499999999767169,1478634.639999999664724,1351782.500000000000000,11669003.829999998211861
FS( 119 ),1605780.180000000167638,1687416.120000000111759,1507045.500000000000000,1254618.679999999934807,1384845.949999999720603,1396942.849999999860302,1478634.639999999664724,1349937.500000000000000,11665221.419999998062849
FS( 120 ),1598987.800000000046566,1701849.120000000111759,1466378.600000000093132,1277502.140000000130385,1389394.969999999972060,1402586.149999999906868,1497326.879999999888241,1355780.000000000000000,11689805.660000000149012
FS( 121 ),1600510.229999999981374,1707429.879999999888241,1465304.380000000121072,1288314.050000000046566,1393510.750000000000000,1402586.149999999906868,1501562.559999999823049,1359623.750000000000000,11718841.750000000000000
FS( 122 ),1603672.199999999953434,1726577.659999999916181,1495382.540000000037253,1284850.040000000037253,1375531.289999999804422,1394121.199999999953434,1522925.119999999878928,1353012.500000000000000,11756072.549999998882413
FS( 123 ),1604374.860000000102445,1734275.259999999776483,1483412.659999999916181,1282855.609999999869615,1382679.750000000000000,1388694.949999999720603,1522925.119999999878928,1352090.000000000000000,11751308.209999999031425
FS( 124 ),1637165.659999999916181,1769684.219999999972060,1512876.979999999981374,1300175.659999999916181,1397843.149999999906868,1409531.749999999767169,1546497.599999999860302,1368233.750000000000000,11942008.769999999552965
FS( 125 ),1627445.530000000027940,1760831.979999999981374,1448116.860000000102445,1297761.349999999860302,1388961.729999999748543,1389346.099999999860302,1540696.559999999823049,1361161.250000000000000,11814321.359999999403954
FS( 126 ),1637048.550000000046566,1753038.159999999916181,1459779.820000000065193,1299440.870000000111759,1385387.500000000000000,1394555.299999999813735,1548891.679999999701977,1365158.750000000000000,11843300.629999998956919
FS( 127 ),1631895.709999999962747,1741010.659999999916181,1468066.659999999916181,1298601.109999999869615,1386795.529999999795109,1394989.399999999674037,1553495.679999999701977,1367465.000000000000000,11842319.750000000000000
FS( 128 ),1634003.690000000176951,1751498.640000000130385,1472210.080000000074506,1299860.750000000000000,1387228.769999999785796,1397811.050000000046566,1549812.479999999981374,1369310.000000000000000,11861735.460000000894070
FS( 129 ),1627913.969999999972060,1748804.479999999981374,1430775.880000000121072,1302694.939999999944121,1387445.389999999897555,1410616.999999999767169,1546221.359999999869615,1367772.500000000000000,11822245.519999997690320
FS( 130 ),1624166.449999999953434,1737546.739999999990687,1402539.239999999990687,1322114.390000000130385,1387986.939999999711290,1404973.699999999953434,1547142.159999999683350,1370078.750000000000000,11796548.369999999180436
FS( 131 ),1629553.509999999776483,1719553.599999999860302,1416657.560000000055879,1324843.609999999869615,1386253.979999999981374,1409314.699999999953434,1565281.919999999692664,1379611.250000000000000,11831070.129999998956919
