代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12675293.119999999180436
真實報酬,2675293.119999999180436

夏普值報酬,0.258829312000000
夏普值風險,0.071177005289735
夏普值,3.636417561351502

二次趨勢線,-54.588353859073777 x^2 + 24559.993598145949363 x + 10000000.000000000000000
二次平均預期報酬,10749.140071800286023
風險,224976.836941135261441
二次平均趨勢值,0.047778874563041
一次趨勢線,14222.364621990152955 x + 10000000.000000000000000
一次預期報酬,14222.364621990152955
一次風險,449800.376426082162652
一次趨勢值,0.031619281279831
找到最佳解世代,2178
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),MCD[15](1),PG[21](8),UNH[23](12),
FS( 61 ),3088731.720000000204891,2895842.110000000335276,2964447.199999999720603,2702157.540000000037253,11651178.570000000298023
FS( 62 ),3034729.350000000093132,2857650.760000000242144,2946057.919999999925494,2693010.140000000130385,11531448.170000001788139
FS( 63 ),3024140.649999999906868,2841924.910000000149012,2939928.160000000149012,2622575.160000000149012,11428568.880000000819564
FS( 64 ),2979668.110000000335276,2854954.899999999906868,2966333.279999999795109,2625319.379999999888241,11426275.669999998062849
FS( 65 ),2968020.540000000502914,2808226.660000000149012,2979535.839999999850988,2587815.040000000037253,11343598.080000001937151
FS( 66 ),2972256.020000000018626,2784413.229999999981374,2949830.080000000074506,2500000.000000000000000,11206499.330000000074506
FS( 67 ),2924606.870000000111759,2767339.450000000186265,2951716.160000000149012,2511891.620000000111759,11155554.100000001490116
FS( 68 ),2857898.060000000055879,2782615.990000000223517,2945586.399999999906868,2588729.780000000260770,11174830.230000000447035
FS( 69 ),2871663.370000000111759,2723307.070000000298023,2917295.199999999720603,2603365.620000000111759,11115631.260000001639128
FS( 70 ),2992374.550000000279397,2722857.760000000242144,2934741.439999999944121,2607024.580000000074506,11256998.330000000074506
FS( 71 ),2971197.149999999906868,2743076.709999999962747,2934741.439999999944121,2772592.520000000018626,11421607.819999998435378
FS( 72 ),2944725.399999999906868,2770484.620000000111759,2939456.640000000130385,2788143.100000000093132,11442809.759999999776483
FS( 73 ),2979668.110000000335276,2792051.500000000000000,2971048.479999999981374,2831135.879999999888241,11573903.969999998807907
FS( 74 ),2937313.310000000055879,2785761.160000000149012,2929083.199999999720603,2864981.260000000242144,11517138.929999999701977
FS( 75 ),2950019.750000000000000,2804632.180000000167638,2930969.279999999795109,2945478.380000000353903,11631099.589999999850988
FS( 76 ),2902370.600000000093132,2782166.680000000167638,2904092.640000000130385,2910718.260000000242144,11499348.179999999701977
FS( 77 ),2956372.970000000204891,2793399.430000000167638,2902206.560000000055879,2885105.540000000037253,11537084.500000000000000
FS( 78 ),2998727.770000000018626,2815415.620000000111759,2890418.560000000055879,2942734.160000000149012,11647296.110000001266599
FS( 79 ),3030493.870000000111759,2829344.229999999981374,2890418.560000000055879,2956455.260000000242144,11706711.919999999925494
FS( 80 ),3056965.620000000111759,2846867.320000000298023,2890890.080000000074506,2892423.459999999962747,11687146.480000000447035
FS( 81 ),3161793.750000000000000,2849563.180000000167638,2889475.520000000018626,2897911.899999999906868,11798744.349999999627471
FS( 82 ),3200971.940000000409782,2858100.070000000298023,2888060.959999999962747,2871384.439999999944121,11818517.410000000149012
FS( 83 ),3162852.620000000111759,2857201.450000000186265,2903621.120000000111759,2821988.479999999981374,11745663.670000001788139
FS( 84 ),3200971.940000000409782,2825749.750000000000000,2893719.199999999720603,2836624.320000000298023,11757065.210000000894070
FS( 85 ),3187206.630000000353903,2805530.800000000279397,2858826.720000000204891,2788143.100000000093132,11639707.250000000000000
FS( 86 ),3236973.520000000018626,2820807.340000000316650,2881931.199999999720603,2884190.800000000279397,11823902.860000001266599
FS( 87 ),3243326.740000000223517,2799240.459999999962747,2882874.239999999757856,2879617.100000000093132,11805058.539999999105930
FS( 88 ),3191442.110000000335276,2761049.110000000335276,2869200.160000000149012,2907974.040000000037253,11729665.420000001788139
FS( 89 ),3185088.890000000130385,2781268.060000000055879,2853640.000000000000000,3019572.319999999832362,11839569.269999999552965
FS( 90 ),3206266.290000000502914,2778572.200000000186265,2849867.839999999850988,2991215.380000000353903,11825921.710000000894070
FS( 91 ),3178735.669999999925494,2800139.080000000074506,2838551.359999999869615,3011339.660000000149012,11828765.769999999552965
FS( 92 ),3141675.220000000204891,2815415.620000000111759,2871086.239999999757856,2931757.279999999795109,11759934.359999999403954
FS( 93 ),3186147.760000000242144,2812270.450000000186265,2900792.000000000000000,2976579.540000000037253,11875789.750000000000000
FS( 94 ),3168146.970000000204891,2814966.310000000055879,2903621.120000000111759,3047929.260000000242144,11934663.660000000149012
FS( 95 ),3115203.470000000204891,2798341.840000000316650,2867785.600000000093132,3087263.080000000074506,11868593.990000000223517
FS( 96 ),3252856.569999999832362,2852259.040000000037253,2910222.399999999906868,3213497.200000000186265,12228835.210000000894070
FS( 97 ),3203089.680000000167638,2831141.470000000204891,2850339.359999999869615,3160442.279999999795109,12045012.789999999105930
FS( 98 ),3146969.569999999832362,2839678.360000000335276,2821576.640000000130385,3027804.979999999981374,11836029.550000000745058
FS( 99 ),2991315.680000000167638,2848215.250000000000000,2843738.080000000074506,3033293.419999999925494,11716562.429999999701977
FS( 100 ),3071789.800000000279397,2834735.950000000186265,2858826.720000000204891,3018657.580000000074506,11784010.050000000745058
FS( 101 ),3115203.470000000204891,2867086.270000000018626,2861655.839999999850988,2967432.139999999664724,11811377.719999998807907
FS( 102 ),3144851.830000000074506,2863491.790000000037253,2867314.080000000074506,3040611.340000000316650,11916269.039999999105930
FS( 103 ),3014610.819999999832362,2823053.890000000130385,2908336.319999999832362,3057991.399999999906868,11803992.429999999701977
FS( 104 ),2905547.210000000428408,2805081.490000000223517,2902206.560000000055879,3018657.580000000074506,11631492.840000001713634
FS( 105 ),2945784.270000000018626,2870680.750000000000000,2922953.439999999944121,3030549.200000000186265,11769967.660000000149012
FS( 106 ),2962726.190000000409782,2876971.090000000316650,2965861.759999999776483,3114705.279999999795109,11920264.320000000298023
FS( 107 ),3013551.950000000186265,2929989.669999999925494,2954073.759999999776483,3047929.260000000242144,11945544.639999998733401
FS( 108 ),2905547.210000000428408,2878319.020000000018626,2895133.759999999776483,2969261.620000000111759,11648261.609999999403954
FS( 109 ),2956372.970000000204891,2847316.629999999888241,2890418.560000000055879,2976579.540000000037253,11670687.699999999254942
FS( 110 ),2936254.440000000409782,2827097.680000000167638,2876744.479999999981374,2964687.919999999925494,11604784.520000001415610
FS( 111 ),2968020.540000000502914,2856302.830000000074506,2912108.479999999981374,3018657.580000000074506,11755089.430000001564622
FS( 112 ),2951078.620000000111759,2841924.910000000149012,2907864.799999999813735,2992130.120000000111759,11692998.449999999254942
FS( 113 ),3005080.990000000223517,2866187.649999999906868,2921538.879999999888241,3029634.459999999962747,11822441.980000000447035
FS( 114 ),3031552.740000000223517,2857201.450000000186265,2912108.479999999981374,2943648.899999999906868,11744511.570000000298023
FS( 115 ),3077084.149999999906868,2876072.470000000204891,2962561.120000000111759,2893338.200000000186265,11809055.940000001341105
FS( 116 ),3064377.710000000428408,2887305.220000000204891,2963504.160000000149012,2977494.279999999795109,11892681.369999999180436
FS( 117 ),3069672.060000000055879,2897190.040000000502914,2988966.239999999757856,2990300.639999999664724,11946128.980000000447035
FS( 118 ),3050612.399999999906868,2908872.100000000093132,2991795.359999999869615,2921695.140000000130385,11872975.000000000000000
FS( 119 ),3031552.740000000223517,2910220.029999999795109,2990380.799999999813735,3025975.500000000000000,11958129.070000000298023
FS( 120 ),2980726.979999999981374,2914713.130000000353903,2980478.879999999888241,3001277.520000000484288,11877196.510000001639128
FS( 121 ),3035788.220000000204891,2932236.220000000204891,3012542.239999999757856,3075371.459999999962747,12055938.140000000596046
FS( 122 ),3055906.750000000000000,2892696.939999999944121,3003583.359999999869615,3059820.880000000353903,12012007.929999999701977
FS( 123 ),3095084.940000000409782,2868883.510000000242144,2983779.520000000018626,3097325.220000000204891,12045073.190000001341105
FS( 124 ),3161793.750000000000000,2874724.540000000037253,2994624.479999999981374,3113790.540000000037253,12144933.309999998658895
FS( 125 ),3159676.010000000242144,2878768.330000000074506,3004054.879999999888241,3105557.880000000353903,12148057.099999999627471
FS( 126 ),3166029.229999999981374,2858998.690000000409782,2996510.560000000055879,3119278.979999999981374,12140817.460000000894070
FS( 127 ),3187206.630000000353903,2850012.490000000223517,3002168.799999999813735,3014083.880000000353903,12053471.800000002607703
FS( 128 ),3312153.290000000502914,2860795.930000000167638,3003111.839999999850988,3086348.340000000316650,12262409.400000000372529
FS( 129 ),3314271.030000000260770,2925945.880000000353903,2979535.839999999850988,3027804.979999999981374,12247557.730000000447035
FS( 130 ),3373567.750000000000000,2925047.259999999776483,2984722.560000000055879,3025975.500000000000000,12309313.070000000298023
FS( 131 ),3401098.370000000111759,2917858.300000000279397,2971048.479999999981374,3040611.340000000316650,12330616.490000000223517
FS( 132 ),3410628.200000000186265,2929989.669999999925494,2978592.799999999813735,3064394.580000000074506,12383605.250000000000000
FS( 133 ),3427570.120000000111759,2944367.590000000316650,2985665.600000000093132,3010424.919999999925494,12368028.230000000447035
FS( 134 ),3386274.190000000409782,2962339.990000000223517,3003583.359999999869615,2975664.800000000279397,12327862.340000001713634
FS( 135 ),3394745.150000000372529,2968630.330000000074506,2995567.520000000018626,3023231.279999999795109,12382174.279999999329448
FS( 136 ),3390509.670000000391155,2982558.939999999944121,3018200.479999999981374,2995789.080000000074506,12387058.169999999925494
FS( 137 ),3397921.760000000707805,2996038.240000000223517,3004997.919999999925494,3072627.240000000223517,12471585.160000002011657
FS( 138 ),3361920.180000000167638,2989298.590000000316650,3010184.640000000130385,3145806.439999999944121,12507209.849999999627471
FS( 139 ),3400039.500000000000000,3010865.470000000204891,3012070.720000000204891,3046099.779999999795109,12469075.470000000670552
FS( 140 ),3454041.870000000111759,3026142.009999999776483,3042719.520000000018626,3033293.419999999925494,12556196.820000000298023
FS( 141 ),3469924.920000000391155,3001429.959999999962747,2999339.680000000167638,2993044.859999999869615,12463739.419999999925494
FS( 142 ),3428628.990000000223517,3005923.060000000521541,2999811.199999999720603,3029634.459999999962747,12463997.710000000894070
FS( 143 ),3493220.060000000521541,3022098.220000000204891,3003111.839999999850988,2984812.200000000186265,12503242.320000000298023
FS( 144 ),3515456.330000000540167,3013561.330000000074506,3004997.919999999925494,3004021.740000000223517,12538037.320000000298023
FS( 145 ),3567340.959999999962747,3021199.600000000093132,3001697.279999999795109,3024146.020000000484288,12614383.859999999403954
FS( 146 ),3554634.520000000018626,2997835.479999999981374,2983308.000000000000000,2988471.160000000149012,12524249.160000000149012
FS( 147 ),3569458.700000000186265,3036476.140000000130385,2987551.680000000167638,3017742.840000000316650,12611229.359999999403954
FS( 148 ),3607578.020000000018626,3056695.090000000316650,3006412.479999999981374,3031463.939999999944121,12702149.529999999329448
FS( 149 ),3623461.069999999832362,3046810.270000000018626,2975763.680000000167638,3056161.919999999925494,12702196.939999999478459
FS( 150 ),3639344.120000000111759,3041867.860000000335276,2947000.959999999962747,3012254.399999999906868,12640467.340000001713634
FS( 151 ),3629814.290000000502914,3089494.720000000204891,2949830.080000000074506,2983897.459999999962747,12653036.550000000745058
FS( 152 ),3657344.910000000149012,3085900.240000000223517,2957845.919999999925494,2950966.819999999832362,12652057.890000000596046
FS( 153 ),3664757.000000000000000,3079160.590000000316650,2956431.359999999869615,2950966.819999999832362,12651315.769999999552965
FS( 154 ),3666874.740000000223517,3096683.680000000167638,2970576.959999999962747,2941819.419999999925494,12675954.799999998882413
FS( 155 ),3716641.630000000353903,3119149.180000000167638,2979535.839999999850988,2840283.280000000260770,12655609.929999999701977
FS( 156 ),3765349.650000000372529,3107467.120000000111759,2970576.959999999962747,2801864.200000000186265,12645257.929999999701977
FS( 157 ),3742054.510000000707805,3101626.090000000316650,2963504.160000000149012,2811011.600000000093132,12618196.360000001266599
FS( 158 ),3737819.029999999795109,3141614.680000000167638,2980950.399999999906868,2856748.600000000093132,12717132.709999999031425
FS( 159 ),3699699.709999999962747,3160485.700000000186265,2979535.839999999850988,2833880.100000000093132,12673601.349999999627471
FS( 160 ),3921003.540000000502914,3161384.320000000298023,3000282.720000000204891,2768018.820000000298023,12850689.400000002235174
FS( 161 ),4031126.020000000018626,3191488.090000000316650,2998396.640000000130385,2786313.620000000111759,13007324.370000001043081
FS( 162 ),4096775.959999999962747,3196879.810000000521541,2996039.040000000037253,2831135.879999999888241,13120830.690000001341105
FS( 163 ),4076657.430000000167638,3191038.779999999795109,3014899.839999999850988,2730514.479999999981374,13013110.530000001192093
FS( 164 ),3963358.340000000316650,3169022.590000000316650,2975763.680000000167638,2725940.780000000260770,12834085.390000000596046
FS( 165 ),3957005.120000000111759,3160485.700000000186265,2978592.799999999813735,2784484.140000000130385,12880567.760000001639128
FS( 166 ),4063950.990000000223517,3213504.279999999795109,2932855.359999999869615,2863151.780000000260770,13073462.410000000149012
FS( 167 ),3949593.029999999795109,3171718.450000000186265,2930969.279999999795109,2772592.520000000018626,12824873.279999999329448
FS( 168 ),4029008.279999999795109,3209011.180000000167638,2955488.319999999832362,2768018.820000000298023,12961526.599999999627471
FS( 169 ),3912532.580000000540167,3173965.000000000000000,2909750.879999999888241,2697583.839999999850988,12693832.300000000745058
FS( 170 ),3872295.520000000018626,3174863.620000000111759,2930969.279999999795109,2744235.580000000074506,12722364.000000000000000
FS( 171 ),3725112.590000000316650,3119149.180000000167638,2864484.959999999962747,2674715.339999999850988,12383462.070000000298023
FS( 172 ),3567340.959999999962747,3055796.470000000204891,2843738.080000000074506,2654591.060000000055879,12121466.570000000298023
FS( 173 ),3841588.290000000502914,3171269.140000000130385,2943228.799999999813735,2733258.700000000186265,12689344.929999999701977
FS( 174 ),3880766.479999999981374,3166776.040000000502914,2940871.199999999720603,2730514.479999999981374,12718928.200000001117587
FS( 175 ),3964417.209999999962747,3175312.930000000167638,2971520.000000000000000,2773507.260000000242144,12884757.400000000372529
FS( 176 ),3908297.099999999627471,3167674.660000000149012,2958788.959999999962747,2760700.899999999906868,12795461.619999999180436
FS( 177 ),3839470.549999999813735,3126787.450000000186265,2948887.040000000037253,2779910.439999999944121,12695055.479999998584390
FS( 178 ),3845823.770000000018626,3151499.500000000000000,2988494.720000000204891,2784484.140000000130385,12770302.130000000819564
FS( 179 ),3817234.279999999795109,3146107.779999999795109,2980478.879999999888241,2760700.899999999906868,12704521.839999999850988
FS( 180 ),3756878.689999999944121,3118250.560000000521541,2980950.399999999906868,2743320.839999999850988,12599400.490000000223517
FS( 181 ),3596989.319999999832362,3040070.620000000111759,2905035.680000000167638,2649102.620000000111759,12191198.239999998360872
FS( 182 ),3665815.870000000111759,3049056.820000000298023,2916352.160000000149012,2625319.379999999888241,12256544.230000000447035
FS( 183 ),3732524.680000000167638,3040070.620000000111759,2895133.759999999776483,2637211.000000000000000,12304940.060000000521541
FS( 184 ),3709229.540000000502914,3048158.200000000186265,2878630.560000000055879,2640869.959999999962747,12276888.260000001639128
FS( 185 ),3692287.620000000111759,2965934.470000000204891,2849867.839999999850988,2633552.040000000037253,12141641.969999998807907
FS( 186 ),3832058.459999999962747,3019402.360000000335276,2873915.359999999869615,2682033.260000000242144,12407409.439999999478459
FS( 187 ),3886060.830000000540167,3004575.130000000353903,2880516.640000000130385,2659164.760000000242144,12430317.360000001266599
FS( 188 ),3945357.549999999813735,2981660.320000000298023,2883817.279999999795109,2650932.100000000093132,12461767.250000000000000
FS( 189 ),3993006.700000000186265,3045013.029999999795109,2911165.439999999944121,2736002.919999999925494,12685188.089999999850988
FS( 190 ),3980300.260000000707805,3048607.509999999776483,2913994.560000000055879,2786313.620000000111759,12729215.949999999254942
FS( 191 ),3872295.520000000018626,2996936.860000000335276,2866842.560000000055879,2775336.740000000223517,12511411.680000001564622
FS( 192 ),3796056.880000000353903,2999183.410000000149012,2858355.199999999720603,2786313.620000000111759,12439909.109999999403954
FS( 193 ),3771702.870000000111759,3072420.939999999944121,2930026.239999999757856,2825647.439999999944121,12599797.490000000223517
FS( 194 ),3678522.310000000521541,3067029.220000000204891,2898434.399999999906868,2792716.800000000279397,12436702.730000002309680
FS( 195 ),3789703.660000000149012,3116902.630000000353903,2919181.279999999795109,2808267.379999999888241,12634054.949999999254942
FS( 196 ),3835235.069999999832362,3124540.900000000372529,2876744.479999999981374,2805523.160000000149012,12642043.610000001266599
FS( 197 ),3846882.640000000130385,3113757.459999999962747,2888060.959999999962747,2798205.240000000223517,12646906.299999998882413
FS( 198 ),3928415.630000000353903,3163181.560000000521541,2919181.279999999795109,2853089.640000000130385,12863868.110000001266599
FS( 199 ),4042773.590000000316650,3158239.150000000372529,2885231.839999999850988,2871384.439999999944121,12957629.019999999552965
FS( 200 ),4112659.010000000707805,3147455.709999999962747,2912108.479999999981374,2881446.580000000074506,13053669.780000001192093
FS( 201 ),4145483.979999999981374,3139817.439999999944121,2890418.560000000055879,2865896.000000000000000,13041615.980000000447035
FS( 202 ),4087246.130000000353903,3141614.680000000167638,2880988.160000000149012,2849430.680000000167638,12959279.650000000372529
FS( 203 ),4142307.370000000111759,3084103.000000000000000,2863070.399999999906868,2802778.939999999944121,12892259.709999999031425
FS( 204 ),4098893.700000000186265,3083653.689999999944121,2894190.720000000204891,2763445.120000000111759,12840183.230000000447035
FS( 205 ),4069245.340000000316650,3043215.790000000502914,2870143.199999999720603,2722281.820000000298023,12704886.150000000372529
FS( 206 ),4034302.630000000353903,3029287.180000000167638,2819219.040000000037253,2733258.700000000186265,12616067.550000000745058
FS( 207 ),4058656.640000000130385,3025243.390000000130385,2858355.199999999720603,2670141.640000000130385,12612396.870000001043081
FS( 208 ),3875472.130000000353903,2986153.419999999925494,2844209.600000000093132,2618916.200000000186265,12324751.350000001490116
FS( 209 ),3804527.840000000316650,2959644.130000000353903,2828177.919999999925494,2597877.180000000167638,12190227.070000000298023
FS( 210 ),3758996.430000000167638,2997386.169999999925494,2807431.040000000037253,2547566.479999999981374,12111380.120000001043081
FS( 211 ),3735701.290000000502914,2971775.500000000000000,2799886.720000000204891,2588729.780000000260770,12096093.290000002831221
FS( 212 ),3761114.170000000391155,2970427.570000000298023,2798000.640000000130385,2642699.439999999944121,12172241.820000000298023
FS( 213 ),3912532.580000000540167,3024344.770000000018626,2867785.600000000093132,2671056.379999999888241,12475719.330000001937151
FS( 214 ),3904061.620000000111759,3101176.779999999795109,2921067.359999999869615,2714963.899999999906868,12641269.660000000149012
FS( 215 ),3927356.760000000707805,3110162.979999999981374,2911636.959999999962747,2741491.359999999869615,12690648.059999998658895
FS( 216 ),3892414.049999999813735,3142513.300000000279397,2927668.640000000130385,2747894.540000000037253,12710490.530000001192093
FS( 217 ),3808763.319999999832362,3182951.200000000186265,2941814.239999999757856,2757041.939999999944121,12690570.699999999254942
FS( 218 ),3822528.630000000353903,3185647.060000000521541,2954545.279999999795109,2773507.260000000242144,12736228.230000000447035
FS( 219 ),3803468.970000000204891,3204967.390000000130385,2957845.919999999925494,2824732.700000000186265,12791014.980000000447035
FS( 220 ),3780173.830000000540167,3142513.300000000279397,2922953.439999999944121,2775336.740000000223517,12620977.310000000521541
FS( 221 ),3714523.890000000130385,3141165.370000000111759,2916823.680000000167638,2819244.260000000242144,12591757.199999999254942
FS( 222 ),3809822.189999999944121,3184299.130000000353903,2926725.600000000093132,2820159.000000000000000,12741005.919999999925494
FS( 223 ),3845823.770000000018626,3150151.570000000298023,2881459.680000000167638,2808267.379999999888241,12685702.399999998509884
FS( 224 ),3917826.930000000167638,3208112.560000000521541,2893719.199999999720603,2835709.580000000074506,12855368.269999999552965
FS( 225 ),3931592.240000000223517,3140716.060000000521541,2919181.279999999795109,2828391.660000000149012,12819881.240000000223517
