代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16173396.760000001639128
真實報酬,6173396.760000001639128

夏普值報酬,0.608639676000000
夏普值風險,0.163634732880485
夏普值,3.719501754218257

二次趨勢線,4.248184641661666 x^2 + 29300.245566429999599 x + 10000000.000000000000000
二次平均預期報酬,30370.788096128741017
風險,376806.990791930875275
二次平均趨勢值,0.080600383852483
一次趨勢線,30101.556227327753732 x + 10000000.000000000000000
一次預期報酬,30101.556227327753732
一次風險,378005.054412516125012
一次趨勢值,0.079632681827788
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),MSFT[18](2),V[25](4),WMT[28](24),
FS( 22 ),2490436.149999999906868,2260235.770000000484288,2766212.800000000279397,2603069.439999999944121,10119954.160000000149012
FS( 23 ),2427314.739999999757856,2141054.720000000204891,2674139.200000000186265,2670708.759999999776483,9913217.419999999925494
FS( 24 ),2331676.239999999757856,2142456.850000000558794,2512009.600000000093132,2625615.879999999422580,9611758.569999998435378
FS( 25 ),2270467.599999999627471,2124229.160000000614673,2491993.600000000093132,2550461.079999999608845,9437151.439999999478459
FS( 26 ),2421576.429999999701977,2310712.450000000651926,2646116.800000000279397,2612732.199999999720603,9991137.880000000819564
FS( 27 ),2532517.089999999850988,2399046.640000000130385,2570056.000000000000000,2547776.979999999981374,10049396.710000000894070
FS( 28 ),2631981.129999999888241,2385025.340000000782311,2706164.799999999813735,2627226.339999999850988,10350397.609999999403954
FS( 29 ),2620504.509999999776483,2334548.660000000149012,2604083.200000000186265,2640646.839999999850988,10199783.210000000894070
FS( 30 ),2607115.120000000111759,2278463.460000000428408,2610088.000000000000000,2619710.859999999403954,10115377.439999999478459
FS( 31 ),2723794.089999999850988,2369601.910000000149012,2766212.800000000279397,2684129.259999999776483,10543738.060000000521541
FS( 32 ),2773526.109999999869615,2378014.690000000409782,2818254.399999999906868,2707749.339999999850988,10677544.540000000968575
FS( 33 ),2777351.649999999906868,2403253.030000000726432,2636108.800000000279397,2681445.160000000149012,10498158.640000000596046
FS( 34 ),2775438.879999999888241,2392035.990000000223517,2628102.400000000372529,2662119.640000000130385,10457696.910000000149012
FS( 35 ),2941849.870000000111759,2570106.500000000000000,2780224.000000000000000,2763578.619999999646097,11055758.990000000223517
FS( 36 ),2909332.780000000260770,2514021.300000000279397,2682145.600000000093132,2742105.819999999832362,10847605.500000000000000
FS( 37 ),2909332.780000000260770,2507010.650000000372529,2640112.000000000000000,2774315.019999999552965,10830770.449999999254942
FS( 38 ),3003058.509999999776483,2640213.000000000000000,2778222.400000000372529,2832291.579999999608845,11253785.490000000223517
FS( 39 ),2918896.629999999888241,2542063.900000000372529,2714171.200000000186265,2822092.000000000000000,10997223.730000000447035
FS( 40 ),2855775.219999999739230,2450925.450000000651926,2678142.400000000372529,2778609.579999999608845,10763452.650000000372529
FS( 41 ),2872990.149999999906868,2575715.020000000484288,2782225.600000000093132,2796861.459999999962747,11027792.230000000447035
FS( 42 ),2970541.419999999925494,2707515.240000000223517,2716172.800000000279397,2835512.500000000000000,11229741.960000000894070
FS( 43 ),3079569.310000000055879,2704710.980000000447035,2782225.600000000093132,2879531.739999999757856,11446037.630000000819564
FS( 44 ),3169469.500000000000000,2628995.960000000428408,3006404.799999999813735,2888120.859999999403954,11692991.120000001043081
FS( 45 ),3236416.450000000186265,2630398.090000000782311,2958366.399999999906868,2868258.519999999552965,11693439.460000000894070
FS( 46 ),3142690.719999999739230,2630398.090000000782311,2860288.000000000000000,2812429.239999999757856,11445806.050000000745058
FS( 47 ),3179033.350000000093132,2690689.680000000633299,2894315.200000000186265,2824239.279999999795109,11588277.509999999776483
FS( 48 ),3267020.769999999552965,2757991.920000000856817,2942353.600000000093132,2719559.379999999422580,11686925.669999999925494
FS( 49 ),3284235.700000000186265,2746774.880000000353903,3058446.399999999906868,2766262.719999999739230,11855719.699999999254942
FS( 50 ),3232590.909999999683350,2713123.760000000707805,2918334.399999999906868,2744253.099999999627471,11608302.169999999925494
FS( 51 ),3215375.979999999515712,2640213.000000000000000,2958366.399999999906868,2753379.039999999571592,11567334.419999998062849
FS( 52 ),3318665.560000000055879,2770611.090000000782311,2906324.799999999813735,2726001.219999999739230,11721602.669999998062849
FS( 53 ),3372223.119999999646097,2692091.810000000521541,2902321.600000000093132,2694865.660000000149012,11661502.189999999478459
FS( 54 ),3291886.780000000260770,2609366.140000000130385,2752201.600000000093132,2644941.399999999906868,11298395.919999999925494
FS( 55 ),3326316.640000000130385,2659842.820000000298023,2934347.200000000186265,2675003.319999999832362,11595509.980000000447035
FS( 56 ),3320578.329999999608845,2633202.350000000558794,2878302.400000000372529,2628299.979999999981374,11460383.060000000521541
FS( 57 ),3425780.679999999701977,2652832.170000000856817,2914331.200000000186265,2622931.779999999795109,11615875.830000000074506
FS( 58 ),3385612.509999999776483,2931856.040000000502914,3022417.600000000093132,2569786.599999999627471,11909672.750000000000000
FS( 59 ),3408565.750000000000000,2860347.410000000149012,2946356.800000000279397,2604143.079999999608845,11819413.040000000968575
FS( 60 ),3385612.509999999776483,2794447.300000000279397,3038430.399999999906868,2601995.799999999813735,11820486.010000001639128
FS( 61 ),3420042.369999999646097,2839315.460000000428408,3178542.400000000372529,2708286.160000000149012,12146186.390000000596046
FS( 62 ),3439170.069999999832362,2840717.590000000782311,3250600.000000000000000,2705602.059999999590218,12236089.719999998807907
FS( 63 ),3477425.469999999739230,2837913.330000000074506,3252601.600000000093132,2686813.359999999403954,12254753.759999999776483
FS( 64 ),3609406.600000000093132,2830902.680000000633299,3412729.600000000093132,2729222.140000000130385,12582261.020000001415610
FS( 65 ),3626621.530000000260770,2774817.480000000447035,3372697.600000000558794,2708822.979999999981374,12482959.590000001713634
FS( 66 ),3620883.219999999739230,2774817.480000000447035,3312649.600000000093132,2657825.079999999608845,12366175.380000000819564
FS( 67 ),3527157.490000000223517,2708917.370000000577420,3278622.399999999906868,2678224.239999999757856,12192921.500000001862645
FS( 68 ),3530983.030000000260770,2722938.670000000856817,3424739.200000000186265,2691644.739999999757856,12370305.640000002458692
FS( 69 ),3540546.880000000353903,2708917.370000000577420,3298638.400000000372529,2717948.919999999925494,12266051.570000002160668
FS( 70 ),3399001.899999999906868,2788838.780000000726432,3264611.199999999720603,2732443.059999999590218,12184894.940000001341105
FS( 71 ),3265108.000000000000000,2769208.960000000428408,3226580.800000000279397,2685739.719999999739230,11946637.480000000447035
FS( 72 ),3358833.729999999515712,2812674.990000000223517,3228582.399999999906868,2635815.459999999962747,12035906.579999998211861
FS( 73 ),3345444.339999999385327,2835109.070000000298023,3256604.799999999813735,2584817.559999999590218,12021975.769999999552965
FS( 74 ),3460210.540000000037253,2888390.010000000707805,3322657.600000000558794,2679834.699999999720603,12351092.850000001490116
FS( 75 ),3483163.780000000260770,2847728.240000000223517,3242593.600000000093132,2649772.779999999795109,12223258.400000000372529
FS( 76 ),3439170.069999999832362,2857543.150000000372529,3250600.000000000000000,2627226.339999999850988,12174539.560000000521541
FS( 77 ),3393263.589999999385327,2779023.870000000577420,3316652.800000000279397,2636352.279999999795109,12125292.539999999105930
FS( 78 ),3347357.109999999869615,2769208.960000000428408,3290632.000000000465661,2643867.759999999776483,12051065.830000000074506
FS( 79 ),3573063.969999999739230,2851934.630000000353903,3340672.000000000465661,2684129.259999999776483,12449799.859999999403954
FS( 80 ),3636185.380000000353903,2822489.900000000372529,3298638.400000000372529,2647625.500000000000000,12404939.180000001564622
FS( 81 ),3691655.709999999962747,2867358.060000000521541,3328662.399999999906868,2659972.359999999403954,12547648.529999999329448
FS( 82 ),3710783.409999999683350,2929051.780000000726432,3388710.399999999906868,2670171.939999999944121,12698717.529999999329448
FS( 83 ),3808334.679999999701977,3000560.410000000149012,3336668.800000000279397,2715801.640000000130385,12861365.530000001192093
FS( 84 ),3812160.219999999739230,3000560.410000000149012,3342673.600000000093132,2680371.519999999552965,12835765.750000000000000
FS( 85 ),3852328.390000000130385,3046830.700000000651926,3414731.199999999720603,2731369.419999999925494,13045259.710000000894070
FS( 86 ),3926926.419999999925494,3060852.000000000000000,3478782.399999999906868,2730832.599999999627471,13197393.419999999925494
FS( 87 ),3953705.200000000186265,3104318.030000000726432,3466772.800000000279397,2741569.000000000000000,13266365.030000001192093
FS( 88 ),3930751.959999999962747,3091698.860000000335276,3492793.600000000093132,2727611.679999999701977,13242856.099999999627471
FS( 89 ),3900147.640000000130385,3095905.250000000000000,3434747.200000000186265,2716875.279999999795109,13147675.369999999180436
FS( 90 ),3833200.689999999478459,3161805.360000000335276,3466772.800000000279397,2687350.179999999701977,13149129.029999999329448
FS( 91 ),3823636.839999999385327,3201065.000000000000000,3338670.399999999906868,2647625.500000000000000,13010997.740000000223517
FS( 92 ),3743300.500000000000000,3271171.500000000000000,3220576.000000000000000,2675540.140000000130385,12910588.140000000596046
FS( 93 ),3718434.490000000223517,3283790.670000000856817,3224579.200000000186265,2601458.979999999981374,12828263.340000001713634
FS( 94 ),3726085.569999999832362,3287997.060000000521541,3126500.799999999813735,2590185.759999999776483,12730769.189999999478459
FS( 95 ),3705045.100000000093132,3320246.050000000279397,3070456.000000000000000,2606827.179999999701977,12702574.330000000074506
FS( 96 ),3712696.179999999701977,3295007.710000000428408,3072457.600000000093132,2613269.019999999552965,12693430.509999999776483
FS( 97 ),3812160.219999999739230,3374929.120000000577420,3070456.000000000000000,2585891.199999999720603,12843436.539999999105930
FS( 98 ),3752864.350000000093132,3264160.850000000558794,3064451.200000000186265,2608437.640000000130385,12689914.040000002831221
FS( 99 ),3661051.390000000130385,3272573.630000000353903,3136508.800000000279397,2595553.959999999962747,12665687.780000001192093
FS( 100 ),3722260.030000000260770,3290801.320000000298023,3056444.799999999813735,2604143.079999999608845,12673649.230000000447035
FS( 101 ),3821724.069999999832362,3335669.480000000447035,3100480.000000000000000,2638499.559999999590218,12896373.109999999403954
FS( 102 ),3892496.560000000055879,3273975.760000000707805,3194555.200000000186265,2610584.919999999925494,12971612.439999999478459
FS( 103 ),3879107.169999999925494,3345484.390000000130385,3152521.600000000093132,2617563.579999999608845,12994676.740000000223517
FS( 104 ),3892496.560000000055879,3332865.220000000204891,3116492.800000000279397,2600385.339999999850988,12942239.919999999925494
FS( 105 ),3902060.409999999683350,3370722.730000000447035,3042433.600000000093132,2596627.599999999627471,12911844.339999999850988
FS( 106 ),3825549.609999999869615,3276780.020000000484288,3006404.799999999813735,2565492.039999999571592,12674226.469999998807907
FS( 107 ),3787294.209999999962747,3252943.810000000521541,3036428.800000000279397,2562271.119999999646097,12638937.939999999478459
FS( 108 ),3699306.790000000037253,3159001.100000000558794,2988390.399999999906868,2568176.140000000130385,12414874.430000001564622
FS( 109 ),3749038.810000000055879,3163207.490000000223517,2976380.799999999813735,2596627.599999999627471,12485254.700000001117587
FS( 110 ),3726085.569999999832362,3146381.930000000633299,3024419.200000000186265,2581059.819999999832362,12477946.519999999552965
FS( 111 ),3785381.439999999478459,3139371.280000000726432,2996396.800000000279397,2553682.000000000000000,12474831.520000001415610
FS( 112 ),3888671.019999999552965,3257150.200000000651926,3020416.000000000000000,2567639.319999999832362,12733876.540000000968575
FS( 113 ),3886758.250000000000000,3240324.640000000130385,3016412.800000000279397,2583743.919999999925494,12727239.610000001266599
FS( 114 ),4013001.069999999832362,3381939.770000000484288,3134507.200000000186265,2606290.359999999403954,13135738.399999998509884
FS( 115 ),4030216.000000000000000,3426807.930000000633299,3222577.600000000558794,2604143.079999999608845,13283744.610000001266599
FS( 116 ),4146894.969999999739230,3405775.980000000447035,3206564.799999999813735,2603069.439999999944121,13362305.189999999478459
FS( 117 ),4177499.290000000037253,3439427.100000000558794,3358686.400000000372529,2620784.500000000000000,13596397.290000000968575
FS( 118 ),4139243.890000000130385,3481491.000000000000000,3360688.000000000000000,2622931.779999999795109,13604354.669999999925494
FS( 119 ),4282701.640000000596046,3477284.610000000335276,3344675.200000000186265,2639573.199999999720603,13744234.650000000372529
FS( 120 ),4313305.960000000894070,3583846.490000000223517,3362689.600000000093132,2617563.579999999608845,13877405.630000000819564
FS( 121 ),4372601.830000000074506,3287997.060000000521541,3366692.800000000279397,2627226.339999999850988,13654518.030000001192093
FS( 122 ),4374514.599999999627471,3240324.640000000130385,3412729.600000000093132,2628836.799999999813735,13656405.640000000596046
FS( 123 ),4372601.830000000074506,3290801.320000000298023,3318654.399999999906868,2626152.699999999720603,13608210.250000000000000
FS( 124 ),4372601.830000000074506,3337071.610000000335276,3342673.600000000093132,2650309.599999999627471,13702656.640000000596046
FS( 125 ),4449112.630000000819564,3338473.740000000223517,3362689.600000000093132,2683055.619999999646097,13833331.589999999850988
FS( 126 ),4464414.789999999105930,3297811.970000000204891,3274619.200000000186265,2677687.419999999925494,13714533.380000000819564
FS( 127 ),4548576.669999999925494,3341278.000000000000000,3458766.400000000372529,2675540.140000000130385,14024161.210000000894070
FS( 128 ),4523710.660000000149012,3332865.220000000204891,3456764.799999999813735,2676076.959999999962747,13989417.640000000596046
FS( 129 ),4512234.039999999105930,3338473.740000000223517,3422737.600000000558794,2641183.660000000149012,13914629.039999999105930
FS( 130 ),4479716.950000001117587,3289399.190000000409782,3434747.200000000186265,2629373.619999999646097,13833236.960000000894070
FS( 131 ),4521797.890000000596046,3303420.490000000223517,3460768.000000000000000,2646015.039999999571592,13932001.419999999925494
FS( 132 ),4500757.419999999925494,3283790.670000000856817,3446756.799999999813735,2669098.299999999813735,13900403.190000001341105
FS( 133 ),4449112.630000000819564,3243128.900000000372529,3432745.599999999627471,2686276.539999999571592,13811263.669999999925494
FS( 134 ),4517972.349999999627471,3299214.100000000558794,3424739.200000000186265,2711507.079999999608845,13953432.730000000447035
FS( 135 ),4602134.230000000447035,3311833.270000000484288,3436748.800000000279397,2785051.419999999925494,14135767.720000000670552
FS( 136 ),4558140.519999999552965,3321648.180000000633299,3392713.600000000093132,2780220.039999999571592,14052722.339999999850988
FS( 137 ),4361125.210000000894070,3259954.460000000428408,3324659.200000000186265,2768410.000000000000000,13714148.870000001043081
FS( 138 ),4481629.720000000670552,3306224.750000000000000,3352681.600000000093132,2757136.779999999795109,13897672.849999999627471
FS( 139 ),4496931.880000000819564,3316039.660000000149012,3362689.600000000093132,2773778.199999999720603,13949439.339999999850988
FS( 140 ),4544751.130000000819564,3318843.920000000856817,3392713.600000000093132,2775925.479999999981374,14032234.130000002682209
FS( 141 ),4623174.700000001117587,3422601.540000000502914,3452761.600000000093132,2757136.779999999795109,14255674.620000001043081
FS( 142 ),4619349.160000000149012,3454850.530000000726432,3400720.000000000000000,2767336.359999999403954,14242256.050000000745058
FS( 143 ),4628913.009999999776483,3454850.530000000726432,3452761.600000000093132,2773778.199999999720603,14310303.339999999850988
FS( 144 ),4575355.450000001117587,3442231.360000000335276,3512809.600000000093132,2780756.859999999403954,14311153.270000001415610
FS( 145 ),4630825.779999999329448,3461861.180000000633299,3488790.399999999906868,2750694.939999999944121,14332172.299999998882413
FS( 146 ),4646127.939999999478459,3460459.050000000279397,3528822.399999999906868,2744789.919999999925494,14380199.310000000521541
FS( 147 ),4596395.919999999925494,3456252.660000000149012,3556844.799999999813735,2730832.599999999627471,14340325.979999998584390
FS( 148 ),4516059.580000000074506,3365114.210000000428408,3512809.600000000093132,2736200.799999999813735,14130184.190000001341105
FS( 149 ),4514146.810000000521541,3345484.390000000130385,3506804.799999999813735,2733516.699999999720603,14099952.699999999254942
FS( 150 ),4550489.439999999478459,3380537.640000000130385,3548838.400000000372529,2777535.939999999944121,14257401.419999999925494
FS( 151 ),4653779.019999999552965,3452046.270000000484288,3520816.000000000000000,2774315.019999999552965,14400956.309999998658895
FS( 152 ),4724551.509999999776483,3480088.870000000577420,3550840.000000000000000,2759284.059999999590218,14514764.440000001341105
FS( 153 ),4676732.259999999776483,3474480.350000000558794,3526820.800000000279397,2743716.279999999795109,14421749.689999999478459
FS( 154 ),4714987.660000000149012,3505327.210000000428408,3618894.399999999906868,2739421.719999999739230,14578630.990000002086163
FS( 155 ),4703511.039999999105930,3485697.390000000130385,3616892.800000000279397,2722780.299999999813735,14528881.530000001192093
FS( 156 ),4747504.750000000000000,3505327.210000000428408,3646916.799999999813735,2704528.419999999925494,14604277.180000001564622
FS( 157 ),4785760.150000000372529,3533369.810000000521541,3662929.600000000093132,2680371.519999999552965,14662431.080000000074506
FS( 158 ),4969386.070000000298023,3533369.810000000521541,3706964.799999999813735,2686276.539999999571592,14895997.219999998807907
FS( 159 ),5042071.330000000074506,3547391.110000000335276,3692953.600000000093132,2681981.979999999981374,14964398.020000001415610
FS( 160 ),5055460.720000000670552,3541782.590000000782311,3692953.600000000093132,2690034.279999999795109,14980231.190000001341105
FS( 161 ),5028681.939999999478459,3547391.110000000335276,3672937.600000000558794,2732979.879999999422580,14981990.530000001192093
FS( 162 ),5040158.560000000521541,3613291.220000000204891,3722977.600000000558794,2737274.439999999944121,15113701.820000002160668
FS( 163 ),5068850.109999999403954,3604878.440000000409782,3698958.400000000372529,2705602.059999999590218,15078289.010000001639128
FS( 164 ),5022943.630000000819564,3637127.430000000633299,3678942.399999999906868,2721706.660000000149012,15060720.120000002905726
FS( 165 ),4982775.460000000894070,3582444.360000000335276,3536828.800000000279397,2655677.799999999813735,14757726.420000001788139
FS( 166 ),5086065.039999999105930,3621704.000000000000000,3560848.000000000000000,2657288.259999999776483,14925905.299999998882413
FS( 167 ),5065024.570000000298023,3610486.960000000428408,3480784.000000000000000,2642794.119999999646097,14799089.650000000372529
FS( 168 ),5065024.570000000298023,3606280.570000000298023,3458766.400000000372529,2635278.640000000130385,14765350.180000001564622
FS( 169 ),4942607.289999999105930,3488501.650000000372529,3458766.400000000372529,2630447.259999999776483,14520322.599999999627471
FS( 170 ),5051635.179999999701977,3499718.690000000409782,3392713.600000000093132,2634741.819999999832362,14578809.290000000968575
FS( 171 ),5082239.500000000000000,3454850.530000000726432,3410728.000000000000000,2633668.179999999701977,14581486.210000000894070
FS( 172 ),5191267.390000000596046,3520750.640000000130385,3416732.800000000279397,2656214.619999999646097,14784965.450000001117587
FS( 173 ),5198918.470000000670552,3519348.510000000707805,3546836.799999999813735,2656751.439999999944121,14921855.220000000670552
FS( 174 ),5172139.689999999478459,3599269.920000000856817,3588870.399999999906868,2670171.939999999944121,15030451.949999999254942
FS( 175 ),5204656.779999999329448,3582444.360000000335276,3650920.000000000000000,2682518.799999999813735,15120539.940000001341105
FS( 176 ),5214220.630000000819564,3606280.570000000298023,3688950.399999999906868,2663193.279999999795109,15172644.880000000819564
FS( 177 ),5193180.160000000149012,3618899.740000000223517,3736988.800000000279397,2702381.140000000130385,15251449.840000001713634
FS( 178 ),5227610.019999999552965,3639931.690000000409782,3742993.600000000093132,2694328.839999999850988,15304864.150000000372529
FS( 179 ),5206569.549999998882413,3745091.440000000409782,3757004.799999999813735,2735127.160000000149012,15443792.949999999254942
FS( 180 ),5137709.830000000074506,3715646.710000000428408,3716972.800000000279397,2749621.299999999813735,15319950.640000000596046
FS( 181 ),5187441.849999999627471,3696016.890000000130385,3751000.000000000000000,2785588.239999999757856,15420046.980000000447035
FS( 182 ),5430363.640000000596046,3697419.020000000484288,3755003.200000000186265,2775388.660000000149012,15658174.519999999552965
FS( 183 ),5598687.400000000372529,3726863.750000000000000,3763009.600000000093132,2717948.919999999925494,15806509.669999999925494
FS( 184 ),5606338.480000000447035,3728265.880000000353903,3787028.800000000279397,2709896.619999999646097,15831529.780000001192093
FS( 185 ),5571908.619999999180436,3928770.470000000204891,3708966.400000000372529,2707749.339999999850988,15917394.830000000074506
FS( 186 ),5533653.220000000670552,4021311.050000000279397,3642913.600000000093132,2675540.140000000130385,15873418.010000001639128
FS( 187 ),5394021.009999999776483,4008691.880000000353903,3698958.400000000372529,2677150.599999999627471,15778821.890000000596046
FS( 188 ),5258214.339999999850988,3928770.470000000204891,3831064.000000000000000,2678761.059999999590218,15696809.870000001043081
FS( 189 ),5365329.460000000894070,3956813.070000000298023,3867092.800000000279397,2705602.059999999590218,15894837.390000000596046
FS( 190 ),5151099.220000000670552,3888108.700000000651926,3791032.000000000465661,2666951.019999999552965,15497190.940000001341105
FS( 191 ),5172139.689999999478459,3909140.650000000372529,3867092.800000000279397,2699160.219999999739230,15647533.359999999403954
FS( 192 ),5156837.529999999329448,3860066.100000000558794,3885107.200000000186265,2678761.059999999590218,15580771.889999996870756
FS( 193 ),5214220.630000000819564,3934378.990000000223517,3919134.399999999906868,2704528.419999999925494,15772262.440000001341105
FS( 194 ),5302208.049999998882413,3991866.320000000298023,3983185.599999999627471,2752842.219999999739230,16030102.189999997615814
FS( 195 ),5309859.130000000819564,3998876.970000000204891,3987188.800000000279397,2751231.759999999776483,16047156.660000002011657
FS( 196 ),5504961.669999999925494,4064777.080000000074506,4061248.000000000000000,2791493.259999999776483,16422480.009999999776483
FS( 197 ),5547042.609999999403954,4067581.340000000782311,4057244.799999999813735,2808134.679999999701977,16480003.429999999701977
FS( 198 ),5554693.689999999478459,4083004.770000000484288,4043233.600000000093132,2843564.799999999813735,16524496.859999999403954
FS( 199 ),5520263.830000000074506,4116655.890000000130385,3999198.400000000372529,2858058.939999999944121,16494177.060000000521541
FS( 200 ),5587210.779999999329448,4154513.400000000372529,4003201.600000000093132,2855911.660000000149012,16600837.439999999478459
FS( 201 ),5646506.650000000372529,4141894.230000000447035,3981184.000000000000000,2853764.379999999422580,16623349.259999999776483
FS( 202 ),5656070.500000000000000,4206392.210000000894070,4031224.000000000000000,2880605.379999999422580,16774292.089999999850988
FS( 203 ),5627378.950000001117587,4221815.640000000596046,4023217.600000000558794,2906909.559999999590218,16779321.750000000000000
FS( 204 ),5478182.890000000596046,4175545.350000000558794,4013209.600000000093132,2927845.539999999571592,16594783.380000000819564
FS( 205 ),5462880.730000000447035,4153111.270000000484288,4003201.600000000093132,2913888.219999999739230,16533081.820000000298023
FS( 206 ),5625466.179999999701977,4197979.429999999701977,4025219.200000000186265,2935361.019999999552965,16784025.829999998211861
FS( 207 ),5587210.779999999329448,4193773.040000000502914,4035227.200000000186265,2944486.959999999962747,16760697.980000000447035
FS( 208 ),5579559.700000001117587,4176947.480000000447035,4093273.600000000093132,2950391.979999999981374,16800172.760000001639128
FS( 209 ),5482008.429999999701977,4097026.070000000298023,4019214.399999999906868,2932676.919999999925494,16530925.820000000298023
FS( 210 ),5462880.730000000447035,4123666.540000000502914,4053241.600000000093132,2928382.359999999403954,16568171.230000000447035
FS( 211 ),5382544.390000000596046,4207794.339999999850988,4151320.000000000000000,2939118.759999999776483,16680777.490000000223517
FS( 212 ),5361503.919999999925494,4175545.350000000558794,4115291.199999999720603,2929456.000000000000000,16581796.469999998807907
FS( 213 ),5369155.000000000000000,4182556.000000000000000,4005203.200000000186265,2922477.339999999850988,16479391.539999999105930
FS( 214 ),5283080.349999999627471,4203587.950000001117587,4017212.800000000279397,2911740.939999999944121,16415622.040000000968575
FS( 215 ),5162575.839999999850988,4176947.480000000447035,3999198.400000000372529,2948781.519999999552965,16287503.240000000223517
FS( 216 ),5187441.849999999627471,4146100.620000000577420,4003201.600000000093132,2920866.879999999422580,16257610.949999999254942
FS( 217 ),5405497.630000000819564,4165730.440000000409782,4091272.000000000465661,2902615.000000000000000,16565115.070000000298023
FS( 218 ),5367242.230000000447035,4188164.520000000484288,4119294.399999999906868,2935897.839999999850988,16610598.990000000223517
FS( 219 ),5319422.980000000447035,4185360.260000000707805,4071256.000000000000000,2933750.559999999590218,16509789.800000000745058
FS( 220 ),5382544.390000000596046,4221815.640000000596046,4241392.000000000000000,2902615.000000000000000,16748367.030000001192093
FS( 221 ),5306033.589999999850988,4209196.470000000670552,4311448.000000000000000,2897783.619999999646097,16724461.679999999701977
FS( 222 ),5328986.830000000074506,4220413.509999999776483,4355483.200000001117587,2862353.500000000000000,16767237.040000000968575
FS( 223 ),5242912.179999999701977,4150307.010000000707805,4355483.200000001117587,2832291.579999999608845,16580993.970000002533197
FS( 224 ),5340463.450000001117587,4256868.890000000596046,4451560.000000000000000,2837122.959999999962747,16886015.300000000745058
FS( 225 ),5416974.250000000000000,4279302.970000000670552,4379502.400000000372529,2866648.059999999590218,16942427.679999999701977
