代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12939165.970000000670552
真實報酬,2939165.970000000670552

夏普值報酬,0.285216597000000
夏普值風險,0.081344132828560
夏普值,3.506295870178127

二次趨勢線,60.862253688809545 x^2 + -4159.220314311771290 x + 10000000.000000000000000
二次平均預期報酬,11117.205361579424789
風險,138201.018313437176403
二次平均趨勢值,0.080442282533446
一次趨勢線,7275.230041894223177 x + 10000000.000000000000000
一次預期報酬,7275.230041894223177
一次風險,449198.424077857227530
一次趨勢值,0.016196027527989
找到最佳解世代,1625
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](4),NKE[19](13),TRV[22](1),V[25](3),VZ[26](15),
FS( 38 ),2043237.649999999906868,1785845.280000000260770,1961301.250000000232831,2030549.059999999823049,2167157.510000000242144,9988090.750000000000000
FS( 39 ),2039251.199999999953434,1751350.560000000288710,1924150.449999999953434,1970750.900000000139698,2152364.810000000055879,9837867.919999999925494
FS( 40 ),2036798.000000000000000,1768597.920000000158325,1924150.449999999953434,2001299.959999999962747,2161733.520000000018626,9892579.849999999627471
FS( 41 ),2049677.300000000046566,1762848.800000000279397,1945202.570000000065193,2005849.820000000065193,2158774.979999999981374,9922353.470000000670552
FS( 42 ),2052743.799999999813735,1740570.959999999962747,1945821.750000000232831,1974650.780000000027940,2168143.689999999944121,9881930.980000000447035
FS( 43 ),2071756.100000000093132,1577439.680000000167638,1976471.160000000149012,2009099.719999999972060,2191318.919999999925494,9826085.580000000074506
FS( 44 ),2085248.699999999953434,1596124.320000000298023,1978947.880000000121072,2057848.219999999972060,2215480.330000000074506,9933649.449999999254942
FS( 45 ),2086475.300000000046566,1625588.560000000288710,1985449.270000000018626,2053298.360000000102445,2216466.510000000242144,9967278.000000001862645
FS( 46 ),2078502.399999999906868,1656490.080000000074506,1980186.240000000223517,2063698.040000000037253,2213507.970000000204891,9992384.730000000447035
FS( 47 ),2074209.300000000046566,1642117.280000000260770,1958514.939999999944121,2035748.900000000139698,2190332.740000000223517,9900923.160000000149012
FS( 48 ),2078502.399999999906868,1621995.360000000102445,1952632.730000000214204,2009099.719999999972060,2206111.620000000111759,9868341.830000000074506
FS( 49 ),2081568.899999999906868,1639961.360000000102445,1956966.990000000223517,1987000.400000000139698,2204139.260000000242144,9869636.910000000149012
FS( 50 ),2082182.200000000186265,1657927.360000000102445,1935914.870000000111759,1962301.160000000149012,2214001.060000000055879,9852326.650000000372529
FS( 51 ),2076355.849999999860302,1650022.320000000298023,1926936.760000000242144,1992850.219999999972060,2202659.990000000223517,9848825.140000000596046
FS( 52 ),2103954.349999999627471,1688110.239999999990687,1954490.270000000251457,2016249.500000000000000,2229286.850000000093132,9992091.210000000894070
FS( 53 ),2099047.950000000186265,1671581.520000000251457,1936534.050000000046566,2066297.959999999962747,2232245.390000000130385,10005706.870000001043081
FS( 54 ),2115913.700000000186265,1666551.040000000270084,1960062.890000000130385,2083847.420000000158325,2251475.899999999906868,10077850.950000001117587
FS( 55 ),2127259.750000000000000,1700327.120000000111759,1981424.600000000093132,2077347.620000000111759,2262816.970000000204891,10149176.060000000521541
FS( 56 ),2132166.150000000372529,1711825.360000000102445,1971827.310000000055879,2037698.840000000083819,2196249.819999999832362,10049767.480000000447035
FS( 57 ),2104567.649999999441206,1672300.160000000149012,1941487.490000000223517,2043548.660000000149012,2193784.370000000111759,9955688.330000000074506
FS( 58 ),2088621.849999999860302,1667988.320000000298023,1911457.260000000242144,2022749.300000000046566,2186881.109999999869615,9877697.839999999850988
FS( 59 ),2065316.449999999720603,1670144.239999999990687,1885142.110000000102445,1992850.219999999972060,2158281.890000000130385,9771734.910000000149012
FS( 60 ),2070836.149999999906868,1680205.199999999953434,1887928.419999999925494,1985700.440000000176951,2155816.439999999944121,9780486.650000000372529
FS( 61 ),2107940.799999999813735,1735540.479999999981374,1907432.590000000083819,2059798.160000000149012,2192305.100000000093132,10003017.130000000819564
FS( 62 ),2131859.500000000000000,1743445.520000000251457,1941797.080000000074506,2098146.979999999981374,2214001.060000000055879,10129250.140000000596046
FS( 63 ),2129712.950000000186265,1721886.320000000298023,1956966.990000000223517,2126096.120000000111759,2216466.510000000242144,10151128.890000000596046
FS( 64 ),2122660.000000000000000,1677330.640000000130385,1939629.949999999953434,2097497.000000000465661,2225835.220000000204891,10062952.810000000521541
FS( 65 ),2127566.399999999441206,1670862.880000000121072,1961301.250000000232831,2071497.800000000046566,2229286.850000000093132,10060515.179999999701977
FS( 66 ),2099047.950000000186265,1662957.840000000083819,1946440.929999999934807,2100746.899999999906868,2200194.540000000037253,10009388.160000000149012
FS( 67 ),2119593.500000000000000,1698889.840000000083819,1972446.490000000223517,2128046.060000000055879,2192305.100000000093132,10111280.990000000223517
FS( 68 ),2111007.299999999813735,1716137.199999999953434,1966564.280000000260770,2129346.020000000018626,2203646.169999999925494,10126700.970000000670552
FS( 69 ),2094141.550000000046566,1727635.439999999944121,1961920.429999999934807,2118946.340000000316650,2192798.189999999944121,10095441.949999999254942
FS( 70 ),2095981.449999999720603,1723323.600000000093132,1975542.390000000130385,2131295.959999999962747,2178498.580000000074506,10104641.980000000447035
FS( 71 ),2095061.499999999767169,1708232.160000000149012,1978019.110000000102445,2088397.280000000260770,2186388.020000000018626,10056098.070000000298023
FS( 72 ),2104874.299999999813735,1698171.199999999953434,1980805.419999999925494,2097497.000000000465661,2199208.359999999869615,10080556.279999999329448
FS( 73 ),2099354.599999999627471,1721886.320000000298023,1973065.669999999925494,2085147.379999999888241,2182936.390000000130385,10062390.359999999403954
FS( 74 ),2104874.299999999813735,1705357.600000000093132,1967183.459999999962747,2110496.600000000093132,2185894.929999999701977,10073806.889999998733401
FS( 75 ),2095981.449999999720603,1693140.719999999972060,1973684.850000000093132,2097497.000000000465661,2178991.669999999925494,10039295.689999999478459
FS( 76 ),2091381.699999999953434,1703201.680000000167638,1982353.370000000111759,2107246.700000000186265,2175540.040000000037253,10059723.490000000223517
FS( 77 ),2079115.699999999953434,1729791.360000000102445,2016408.270000000018626,2090997.200000000186265,2172581.500000000000000,10088894.030000001192093
FS( 78 ),2076049.199999999953434,1720449.040000000270084,2032197.360000000102445,2082547.459999999962747,2154830.260000000242144,10066073.320000000298023
FS( 79 ),2078502.399999999906868,1721886.320000000298023,2019504.170000000158325,2072147.780000000027940,2114889.970000000204891,10006930.640000000596046
FS( 80 ),2077582.449999999953434,1720449.040000000270084,2026315.150000000139698,2081897.480000000214204,2101576.540000000037253,10007820.660000000149012
FS( 81 ),2077275.799999999813735,1714699.920000000158325,2006191.800000000046566,2066297.959999999962747,2083332.209999999962747,9947797.689999999478459
FS( 82 ),2072982.699999999720603,1740570.959999999962747,2024767.200000000186265,2058498.200000000186265,2128696.490000000223517,10025515.550000000745058
FS( 83 ),2069609.549999999813735,1732665.920000000158325,2017956.220000000204891,2074747.700000000186265,2108479.799999999813735,10003459.189999999478459
FS( 84 ),2070222.850000000093132,1776502.959999999962747,2007430.160000000149012,2070197.840000000083819,2104041.990000000223517,10028395.800000000745058
FS( 85 ),2065929.750000000000000,1772909.760000000242144,2006191.800000000046566,2080597.520000000018626,2124751.770000000018626,10050380.599999999627471
FS( 86 ),2061023.349999999860302,1756381.040000000270084,1996594.510000000009313,2059148.179999999934807,2108972.890000000130385,9982119.970000000670552
FS( 87 ),2067769.650000000139698,1749194.640000000130385,2004334.260000000009313,2083847.420000000158325,2117355.419999999925494,10022501.390000000596046
FS( 88 ),2062556.600000000093132,1747757.360000000102445,2001238.360000000102445,2088397.280000000260770,2154830.260000000242144,10054779.860000001266599
FS( 89 ),2062863.249999999767169,1749194.640000000130385,1997832.870000000111759,2073447.739999999990687,2159761.159999999683350,10043099.660000000149012
FS( 90 ),2080342.300000000046566,1787282.560000000288710,2022909.660000000149012,2104646.780000000260770,2177019.310000000055879,10172200.610000001266599
FS( 91 ),2081568.899999999906868,1783689.360000000102445,2018884.989999999990687,2107896.680000000167638,2155816.439999999944121,10147856.369999999180436
FS( 92 ),2090768.400000000139698,1797343.520000000251457,2021980.890000000130385,2090997.200000000186265,2172581.500000000000000,10173671.510000001639128
FS( 93 ),2091381.699999999953434,1790875.760000000242144,2072753.650000000139698,2136495.799999999813735,2181457.120000000111759,10272964.030000001192093
FS( 94 ),2089848.450000000186265,1811716.320000000298023,2091019.460000000195578,2168994.799999999813735,2213507.970000000204891,10375087.000000000000000
FS( 95 ),2115607.049999999813735,1782252.080000000074506,2119192.150000000372529,2193044.060000000055879,2247531.179999999701977,10457626.519999999552965
FS( 96 ),2099661.250000000000000,1736259.120000000111759,2123216.819999999832362,2181344.420000000391155,2195756.729999999981374,10336238.339999999850988
FS( 97 ),2092914.949999999953434,1759974.239999999990687,2120120.920000000391155,2175494.600000000093132,2198222.179999999701977,10346726.890000000596046
FS( 98 ),2102114.450000000186265,1755662.400000000139698,2119501.739999999757856,2172244.700000000186265,2214494.149999999906868,10364017.439999999478459
FS( 99 ),2103647.700000000186265,1754943.760000000242144,2112381.170000000391155,2190444.140000000130385,2232245.390000000130385,10393662.160000002011657
FS( 100 ),2112847.200000000186265,1737696.400000000139698,2119192.150000000372529,2187194.239999999757856,2243093.370000000111759,10400023.359999999403954
FS( 101 ),2117753.599999999627471,1734103.199999999953434,2124145.589999999850988,2193694.040000000037253,2250489.720000000204891,10420186.150000000372529
FS( 102 ),2115913.700000000186265,1712544.000000000000000,2118263.380000000353903,2173544.659999999683350,2252462.080000000074506,10372727.820000000298023
FS( 103 ),2125726.500000000000000,1708232.160000000149012,2120120.920000000391155,2186544.260000000242144,2249503.540000000037253,10390127.379999998956919
FS( 104 ),2115913.700000000186265,1715418.560000000288710,2098449.620000000111759,2153395.280000000260770,2248024.270000000018626,10331201.430000001564622
FS( 105 ),2116220.350000000558794,1724760.880000000121072,2117953.790000000037253,2176144.579999999608845,2256406.799999999813735,10391486.399999998509884
FS( 106 ),2113153.849999999627471,1705357.600000000093132,2113309.940000000409782,2181994.399999999906868,2247038.089999999850988,10360853.880000000819564
FS( 107 ),2119900.149999999441206,1716855.840000000083819,2138386.729999999981374,2221643.180000000167638,2258872.250000000000000,10455658.149999998509884
FS( 108 ),2114687.099999999627471,1706076.239999999990687,2126931.900000000372529,2209943.540000000037253,2261337.699999999720603,10418976.480000000447035
FS( 109 ),2115913.700000000186265,1685235.680000000167638,2136529.190000000409782,2250892.280000000260770,2282047.479999999981374,10470618.330000000074506
FS( 110 ),2124193.250000000000000,1722604.959999999962747,2144888.120000000111759,2269741.700000000186265,2330370.299999999813735,10591798.330000000074506
FS( 111 ),2135845.950000000186265,1711106.719999999972060,2153556.640000000130385,2279491.399999999906868,2320015.409999999683350,10600016.120000001043081
FS( 112 ),2129406.299999999813735,1706794.880000000121072,2152937.460000000428408,2254142.180000000167638,2296347.089999999850988,10539627.910000000149012
FS( 113 ),2097821.349999999627471,1697452.560000000288710,2146126.479999999981374,2222293.159999999683350,2273664.949999999720603,10437358.500000000000000
FS( 114 ),2091995.000000000000000,1693140.719999999972060,2148603.200000000186265,2232692.840000000316650,2257392.979999999981374,10423824.740000000223517
FS( 115 ),2084328.750000000000000,1705357.600000000093132,2141173.040000000037253,2259342.020000000018626,2228793.760000000242144,10418995.169999999925494
FS( 116 ),2084328.750000000000000,1696733.920000000158325,2127551.080000000074506,2260641.979999999981374,2200194.540000000037253,10369450.269999999552965
FS( 117 ),2103647.700000000186265,1717574.479999999981374,2160677.210000000428408,2272991.600000000093132,2194277.459999999962747,10449168.449999999254942
FS( 118 ),2132779.450000000186265,1747038.719999999972060,2182348.509999999776483,2293790.959999999962747,2173567.679999999701977,10529525.320000000298023
FS( 119 ),2177243.700000000186265,1752787.840000000083819,2209902.020000000018626,2316540.260000000242144,2205125.439999999944121,10661599.259999999776483
FS( 120 ),2223854.500000000000000,1752787.840000000083819,2289157.060000000055879,2305490.600000000093132,2257392.979999999981374,10828682.980000000447035
FS( 121 ),2203615.599999999627471,1732665.920000000158325,2275844.690000000409782,2274291.560000000055879,2226821.399999999906868,10713239.169999999925494
FS( 122 ),2201162.400000000372529,1697452.560000000288710,2290705.009999999776483,2258692.040000000037253,2207590.890000000130385,10655602.900000002235174
FS( 123 ),2173870.549999999813735,1667988.320000000298023,2271820.020000000018626,2220343.219999999739230,2173074.589999999850988,10507096.699999999254942
FS( 124 ),2169270.799999999813735,1668706.959999999962747,2265628.220000000204891,2217743.299999999813735,2180964.029999999795109,10502313.310000000521541
FS( 125 ),2181536.799999999813735,1640680.000000000000000,2232811.680000000167638,2235292.760000000242144,2181950.209999999962747,10472271.449999999254942
FS( 126 ),2174177.200000000186265,1637805.439999999944121,2215474.640000000130385,2247642.379999999888241,2205618.529999999795109,10480718.189999999478459
FS( 127 ),2171724.000000000000000,1642117.280000000260770,2196280.060000000055879,2254792.159999999683350,2201180.720000000204891,10466094.220000000670552
FS( 128 ),2192576.200000000186265,1713262.640000000130385,2174299.170000000391155,2337989.600000000093132,2225835.220000000204891,10643962.830000001937151
FS( 129 ),2174177.200000000186265,1698889.840000000083819,2155414.180000000167638,2330189.840000000316650,2195263.640000000130385,10553934.700000001117587
FS( 130 ),2170804.049999999813735,1711825.360000000102445,2139625.089999999850988,2299640.780000000260770,2179484.760000000242144,10501380.040000000968575
FS( 131 ),2177550.350000000558794,1726916.800000000279397,2172441.630000000353903,2337989.600000000093132,2184415.659999999683350,10599314.040000000968575
FS( 132 ),2157004.799999999813735,1700327.120000000111759,2127241.489999999757856,2316540.260000000242144,2129682.669999999925494,10430796.339999999850988
FS( 133 ),2135845.950000000186265,1650740.959999999962747,2136219.600000000093132,2308740.500000000465661,2101083.449999999720603,10332630.459999999031425
FS( 134 ),2142592.250000000000000,1658646.000000000000000,2135600.420000000391155,2322390.079999999608845,2102562.720000000204891,10361791.470000000670552
FS( 135 ),2136765.900000000372529,1657927.360000000102445,2118572.970000000204891,2327589.920000000391155,2098618.000000000000000,10339474.150000000372529
FS( 136 ),2131552.850000000558794,1643554.560000000288710,2112381.170000000391155,2314590.319999999832362,2097631.819999999832362,10299710.720000002533197
FS( 137 ),2124193.250000000000000,1627744.479999999981374,2107427.729999999981374,2274291.560000000055879,2082839.120000000111759,10216496.140000000596046
FS( 138 ),2118060.250000000000000,1632056.320000000298023,2115167.479999999981374,2274941.540000000037253,2056212.260000000009313,10196437.850000001490116
FS( 139 ),2121740.049999999813735,1663676.479999999981374,2125383.950000000186265,2319140.180000000167638,2041419.559999999823049,10271360.220000000670552
FS( 140 ),2123579.950000000186265,1730510.000000000000000,2152937.460000000428408,2366588.719999999739230,2110945.250000000000000,10484561.379999998956919
FS( 141 ),2136459.250000000000000,1717574.479999999981374,2156033.360000000335276,2378288.360000000335276,2111438.339999999850988,10499793.789999999105930
FS( 142 ),2134006.049999999813735,1717574.479999999981374,2173989.580000000074506,2383488.200000000186265,2128203.399999999906868,10537261.709999999031425
FS( 143 ),2133086.099999999627471,1738415.040000000270084,2206496.529999999795109,2406887.479999999981374,2157788.799999999813735,10642673.949999999254942
FS( 144 ),2118673.549999999813735,1754943.760000000242144,2193803.339999999850988,2392587.920000000391155,2135106.659999999683350,10595115.230000000447035
FS( 145 ),2110087.349999999627471,1742726.880000000121072,2192874.569999999832362,2385438.140000000130385,2119327.779999999795109,10550454.719999998807907
FS( 146 ),2124806.549999999813735,1780814.800000000279397,2196899.239999999757856,2393237.899999999906868,2147927.000000000000000,10643685.490000000223517
FS( 147 ),2122660.000000000000000,1777940.239999999990687,2203710.220000000204891,2408187.439999999944121,2170116.049999999813735,10682613.949999999254942
FS( 148 ),2138299.150000000372529,1751350.560000000288710,2192564.979999999981374,2432886.680000000167638,2175540.040000000037253,10690641.410000000149012
FS( 149 ),2135845.950000000186265,1752787.840000000083819,2196589.650000000372529,2415337.219999999739230,2174553.859999999869615,10675114.519999999552965
FS( 150 ),2142285.599999999627471,1754943.760000000242144,2183586.870000000111759,2398437.739999999757856,2153350.990000000223517,10632604.960000000894070
FS( 151 ),2145658.750000000000000,1754943.760000000242144,2291014.600000000093132,2406237.500000000465661,2174553.859999999869615,10772408.470000000670552
FS( 152 ),2148111.950000000186265,1768597.920000000158325,2264699.450000000186265,2412737.299999999813735,2191812.010000000242144,10785958.630000000819564
FS( 153 ),2160377.950000000186265,1771472.479999999981374,2272129.610000000335276,2414037.260000000242144,2189839.649999999906868,10807856.950000001117587
FS( 154 ),2164977.700000000186265,1762130.160000000149012,2270581.660000000149012,2415987.200000000186265,2171102.229999999981374,10784778.950000001117587
FS( 155 ),2180310.200000000186265,1785845.280000000260770,2273367.970000000204891,2419887.079999999608845,2191318.919999999925494,10850729.450000001117587
FS( 156 ),2176017.099999999627471,1782252.080000000074506,2269652.890000000130385,2402987.600000000093132,2208577.069999999832362,10839486.740000000223517
FS( 157 ),2169577.450000000186265,1748476.000000000000000,2267176.170000000391155,2391937.939999999944121,2195263.640000000130385,10772431.200000001117587
FS( 158 ),2167737.549999999813735,1741289.600000000093132,2271510.430000000167638,2386088.120000000111759,2179977.850000000093132,10746603.549999998882413
FS( 159 ),2175403.799999999813735,1760692.880000000121072,2296896.810000000055879,2423136.979999999981374,2175540.040000000037253,10831670.510000001639128
FS( 160 ),2175710.450000000186265,1777221.600000000093132,2301231.069999999832362,2449136.180000000167638,2163212.790000000037253,10866512.089999999850988
FS( 161 ),2165897.649999999441206,1757099.680000000167638,2273367.970000000204891,2423786.959999999962747,2139051.379999999888241,10759203.640000000596046
FS( 162 ),2169577.450000000186265,1778658.880000000121072,2285441.979999999981374,2477735.299999999813735,2160254.250000000000000,10871667.859999999403954
FS( 163 ),2154858.250000000000000,1888610.800000000279397,2254482.979999999981374,2449786.159999999683350,2148420.089999999850988,10896158.279999999329448
FS( 164 ),2147192.000000000000000,1897234.479999999981374,2240241.839999999850988,2456935.939999999944121,2146940.819999999832362,10888545.080000000074506
FS( 165 ),2151791.750000000000000,1844773.760000000242144,2237455.529999999795109,2433536.659999999683350,2142503.010000000242144,10810060.709999999031425
FS( 166 ),2149338.549999999813735,1859865.199999999953434,2223523.979999999981374,2427686.840000000316650,2143982.279999999795109,10804396.849999999627471
FS( 167 ),2130632.900000000372529,1832556.880000000121072,2205567.759999999776483,2415337.219999999739230,2115383.060000000055879,10699477.820000000298023
FS( 168 ),2149645.200000000186265,1854116.080000000074506,2223523.979999999981374,2463435.739999999757856,2133627.390000000130385,10824348.390000000596046
FS( 169 ),2172337.299999999813735,1862739.760000000242144,2255721.339999999850988,2525183.840000000316650,2182936.390000000130385,10998918.630000000819564
FS( 170 ),2169270.799999999813735,1882143.040000000270084,2273058.380000000353903,2527133.780000000260770,2172581.500000000000000,11024187.500000000000000
FS( 171 ),2194109.450000000186265,1900109.040000000270084,2292872.140000000130385,2547283.159999999683350,2184415.659999999683350,11118789.450000001117587
FS( 172 ),2189509.700000000186265,1902983.600000000093132,2261913.140000000130385,2565482.600000000093132,2203646.169999999925494,11123535.210000000894070
FS( 173 ),2189816.349999999627471,1882861.680000000167638,2265937.810000000055879,2589531.860000000335276,2125244.859999999869615,11053392.559999998658895
FS( 174 ),2199629.150000000372529,1885017.600000000093132,2289157.060000000055879,2629180.640000000130385,2120313.959999999962747,11123298.410000000149012
FS( 175 ),2213735.049999999813735,1888610.800000000279397,2304946.150000000372529,2608381.280000000260770,2149406.270000000018626,11165079.550000000745058
FS( 176 ),2218641.450000000186265,1908014.080000000074506,2317329.750000000000000,2618780.959999999962747,2135106.659999999683350,11197872.900000000372529
FS( 177 ),2225081.099999999627471,1911607.280000000260770,2320425.650000000372529,2610331.219999999739230,2100097.270000000018626,11167542.519999999552965
FS( 178 ),2219254.750000000000000,1927417.360000000102445,2339310.640000000130385,2607081.319999999832362,2069525.689999999944121,11162589.759999999776483
FS( 179 ),2225694.399999999441206,1931010.560000000288710,2339001.049999999813735,2603181.439999999944121,2046843.549999999813735,11145731.000000000000000
FS( 180 ),2235507.200000000186265,1921668.239999999990687,2349836.700000000186265,2597981.600000000093132,2077415.130000000121072,11182408.870000001043081
FS( 181 ),2245626.650000000372529,1915200.479999999981374,2362529.890000000130385,2571982.399999999906868,2097631.819999999832362,11192971.240000000223517
FS( 182 ),2229067.549999999813735,1921668.239999999990687,2413302.650000000372529,2584332.020000000018626,2117355.419999999925494,11265725.880000000819564
FS( 183 ),2233973.950000000186265,1908014.080000000074506,2403705.360000000335276,2584332.020000000018626,2109959.069999999832362,11239984.480000000447035
FS( 184 ),2241640.200000000186265,1935322.400000000139698,2417636.910000000149012,2592781.760000000242144,2100097.270000000018626,11287478.540000000968575
FS( 185 ),2266785.500000000000000,1996406.800000000279397,2425686.250000000000000,2597331.620000000111759,2104041.990000000223517,11390252.160000002011657
FS( 186 ),2257586.000000000000000,1958318.880000000121072,2394727.250000000000000,2540783.360000000335276,2108972.890000000130385,11260388.380000000819564
FS( 187 ),2281811.349999999627471,1937478.320000000298023,2408968.390000000130385,2545983.200000000186265,2144968.459999999962747,11319209.720000002533197
FS( 188 ),2271998.549999999813735,1926698.719999999972060,2401847.819999999832362,2518684.040000000037253,2150392.449999999720603,11269621.579999998211861
FS( 189 ),2266785.500000000000000,1942508.800000000279397,2429091.739999999757856,2566132.579999999608845,2150392.449999999720603,11354911.070000000298023
FS( 190 ),2274758.400000000372529,1929573.280000000260770,2473363.110000000335276,2576532.260000000242144,2197236.000000000000000,11451463.050000000745058
FS( 191 ),2272611.849999999627471,1928136.000000000000000,2414850.600000000093132,2545333.219999999739230,2195263.640000000130385,11356195.309999998658895
FS( 192 ),2289477.599999999627471,1936759.680000000167638,2434973.950000000186265,2592131.780000000260770,2197236.000000000000000,11450579.009999999776483
