代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14251725.910000000149012
真實報酬,4251725.910000000149012

夏普值報酬,0.416472591000000
夏普值風險,0.097523313385899
夏普值,4.270492629306197

二次趨勢線,9.576962860684844 x^2 + 13969.906193777424050 x + 10000000.000000000000000
二次平均預期報酬,16383.300834670006225
風險,158658.953173589718062
二次平均趨勢值,0.103261117680166
一次趨勢線,15776.353673491201334 x + 10000000.000000000000000
一次預期報酬,15776.353673491201334
一次風險,172535.594460279011400
一次趨勢值,0.091438254945841
找到最佳解世代,2073
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](6),CAT[3](5),DIS[6](1),DD[7](2),INTC[11](4),MRK[17](8),MSFT[18](3),
FS( 7 ),1367582.319999999832362,1508557.059999999823049,1499143.459999999962747,1520467.560000000055879,1476470.459999999962747,1456711.869999999878928,1467107.600000000093132,10296043.330000000074506
FS( 8 ),1382113.179999999934807,1503536.290000000037253,1535484.759999999776483,1482690.840000000083819,1464819.239999999990687,1447936.760000000009313,1464867.099999999860302,10281451.169999999925494
FS( 9 ),1359191.259999999776483,1506479.500000000000000,1563619.959999999962747,1521271.320000000065193,1517249.729999999981374,1446121.219999999739230,1480102.500000000000000,10394038.489999998360872
FS( 10 ),1316008.000000000000000,1509422.709999999962747,1569481.459999999962747,1518592.120000000111759,1514013.280000000027940,1458224.819999999832362,1469796.199999999720603,10355541.589999999850988
FS( 11 ),1331357.500000000000000,1507518.279999999795109,1570419.300000000046566,1515109.159999999916181,1536668.429999999934807,1452778.199999999720603,1475621.500000000000000,10389475.369999999180436
FS( 12 ),1358577.279999999795109,1520849.290000000037253,1573467.280000000027940,1559048.040000000037253,1547025.069999999832362,1464579.209999999729916,1493097.399999999906868,10516646.569999998435378
FS( 13 ),1380885.219999999972060,1519291.119999999878928,1540877.339999999850988,1549402.919999999925494,1548319.650000000139698,1460342.949999999720603,1507436.600000000093132,10506558.799999998882413
FS( 14 ),1366559.019999999785796,1467352.119999999878928,1524230.680000000167638,1514841.239999999990687,1538610.300000000046566,1452778.199999999720603,1469348.099999999860302,10333722.660000000149012
FS( 15 ),1434506.140000000130385,1472199.760000000009313,1518134.719999999972060,1497158.520000000018626,1528900.949999999953434,1442792.729999999748543,1467107.600000000093132,10360803.419999999925494
FS( 16 ),1430003.620000000111759,1473584.799999999813735,1508052.939999999711290,1492335.960000000195578,1534726.560000000055879,1438253.879999999888241,1454560.800000000046566,10331521.559999998658895
FS( 17 ),1407900.340000000083819,1463023.869999999878928,1511100.919999999925494,1520735.479999999981374,1534079.270000000018626,1442490.139999999897555,1456801.299999999813735,10336134.320000000298023
FS( 18 ),1421612.559999999823049,1457829.969999999972060,1529623.259999999776483,1525825.960000000195578,1515307.859999999869615,1442792.729999999748543,1468451.900000000139698,10361447.240000000223517
FS( 19 ),1411379.559999999823049,1450904.769999999785796,1528450.959999999962747,1488853.000000000000000,1487474.389999999897555,1446121.219999999739230,1490856.900000000139698,10304043.799999998882413
FS( 20 ),1393983.459999999962747,1443979.570000000065193,1512038.759999999776483,1465276.040000000037253,1483590.650000000139698,1440674.599999999860302,1491305.000000000000000,10230851.080000000074506
FS( 21 ),1426729.059999999823049,1450212.250000000000000,1520010.399999999906868,1461793.080000000074506,1477765.039999999804422,1474867.270000000018626,1504747.999999999767169,10316128.099999999627471
FS( 22 ),1431436.239999999990687,1455579.279999999795109,1521182.699999999953434,1476528.679999999934807,1481648.780000000027940,1463671.439999999711290,1519983.400000000139698,10350033.519999999552965
FS( 23 ),1413426.159999999916181,1453847.979999999748543,1501019.139999999897555,1479207.880000000121072,1462877.370000000111759,1463368.849999999860302,1517294.799999999813735,10291045.179999999701977
FS( 24 ),1412198.199999999953434,1457829.969999999972060,1531030.020000000018626,1525825.960000000195578,1476470.459999999962747,1459435.179999999701977,1518191.000000000000000,10380983.789999999105930
FS( 25 ),1426115.080000000074506,1446230.260000000009313,1514383.360000000102445,1501445.239999999990687,1477765.039999999804422,1449147.119999999878928,1492201.199999999720603,10307290.299999998882413
FS( 26 ),1406263.059999999823049,1434457.419999999692664,1500550.219999999972060,1469830.679999999934807,1455109.889999999897555,1444910.859999999869615,1479206.299999999813735,10190331.429999999701977
FS( 27 ),1422635.860000000102445,1446057.129999999888241,1490937.360000000102445,1485102.120000000111759,1462230.080000000074506,1430386.540000000037253,1481894.899999999906868,10219246.990000000223517
FS( 28 ),1431640.899999999906868,1467005.859999999869615,1537594.899999999906868,1541365.320000000065193,1495241.870000000111759,1437043.520000000018626,1512813.799999999813735,10422709.170000001788139
FS( 29 ),1440850.600000000093132,1482241.299999999813735,1552365.879999999888241,1567085.640000000130385,1505598.510000000009313,1430991.719999999739230,1529393.500000000000000,10508530.149999998509884
FS( 30 ),1450264.959999999962747,1493148.489999999757856,1566902.399999999906868,1557440.520000000018626,1517897.020000000018626,1414651.859999999869615,1543732.700000000186265,10544040.949999999254942
FS( 31 ),1458042.039999999804422,1484665.119999999878928,1557758.459999999962747,1542704.919999999925494,1514013.280000000027940,1409205.239999999990687,1545525.100000000093132,10511917.159999998286366
FS( 32 ),1465205.140000000130385,1493667.879999999888241,1555648.319999999832362,1569229.000000000000000,1534079.270000000018626,1427360.639999999897555,1552246.600000000093132,10597439.849999999627471
FS( 33 ),1475028.819999999832362,1486396.419999999692664,1557289.540000000037253,1579142.040000000037253,1548319.650000000139698,1425545.099999999860302,1564793.400000000139698,10636517.970000000670552
FS( 34 ),1487922.399999999906868,1512192.790000000037253,1574405.120000000111759,1576194.919999999925494,1545730.489999999990687,1410415.599999999860302,1566585.800000000046566,10673450.120000001043081
FS( 35 ),1524351.880000000121072,1518425.469999999972060,1585190.280000000027940,1578070.360000000102445,1562560.030000000027940,1407389.699999999720603,1567930.100000000093132,10743920.820000000298023
FS( 36 ),1520054.019999999785796,1543875.579999999841675,1617780.219999999972060,1585304.200000000186265,1558029.000000000000000,1406179.339999999850988,1549557.999999999767169,10780783.359999999403954
FS( 37 ),1534789.539999999804422,1450212.250000000000000,1597147.739999999990687,1565746.040000000037253,1536668.429999999934807,1408902.649999999906868,1512813.799999999813735,10606283.449999999254942
FS( 38 ),1555255.539999999804422,1463543.260000000009313,1618952.520000000018626,1549938.760000000009313,1539257.590000000083819,1398614.589999999850988,1511021.399999999906868,10636586.660000000149012
FS( 39 ),1537859.439999999944121,1467698.379999999888241,1623876.180000000167638,1507875.320000000065193,1569032.929999999934807,1408297.469999999739230,1601089.499999999767169,10715732.219999998807907
FS( 40 ),1549320.399999999906868,1459215.010000000009313,1617780.219999999972060,1492335.960000000195578,1576800.409999999916181,1372289.260000000009313,1593919.899999999906868,10661664.160000000149012
FS( 41 ),1510639.659999999916181,1455579.279999999795109,1615904.540000000037253,1505464.040000000037253,1587157.050000000046566,1379248.829999999841675,1591679.400000000139698,10645675.799999998882413
FS( 42 ),1534789.539999999804422,1445537.739999999757856,1605353.839999999850988,1497962.280000000027940,1585862.469999999972060,1368960.770000000018626,1592575.599999999860302,10631045.239999998360872
FS( 43 ),1528240.419999999925494,1443287.049999999813735,1608167.360000000102445,1505999.880000000121072,1583920.599999999860302,1364421.919999999925494,1586750.299999999813735,10620790.530000001192093
FS( 44 ),1520463.340000000083819,1447269.040000000037253,1618014.680000000167638,1486173.800000000046566,1574858.539999999804422,1368658.179999999701977,1592127.500000000000000,10607568.080000000074506
FS( 45 ),1540110.699999999953434,1452462.939999999944121,1613325.479999999981374,1465276.040000000037253,1570327.510000000009313,1383485.089999999850988,1610499.599999999860302,10635490.359999997541308
FS( 46 ),1536222.159999999916181,1455233.019999999785796,1614263.319999999832362,1477332.440000000176951,1555439.840000000083819,1372591.849999999860302,1641866.600000000093132,10652952.230000000447035
FS( 47 ),1523123.919999999925494,1458176.229999999748543,1617780.219999999972060,1497962.280000000027940,1569680.219999999972060,1390747.250000000000000,1710874.000000000000000,10768347.119999999180436
FS( 48 ),1498360.059999999823049,1448307.820000000065193,1574405.120000000111759,1475457.000000000000000,1557381.709999999962747,1386510.989999999990687,1680403.199999999953434,10620828.899999998509884
FS( 49 ),1522100.620000000111759,1458522.489999999757856,1607932.899999999906868,1513501.640000000130385,1559323.580000000074506,1416164.809999999823049,1692950.000000000000000,10770499.040000000968575
FS( 50 ),1517598.100000000093132,1456964.320000000065193,1602305.860000000102445,1513233.719999999972060,1564501.900000000139698,1422216.609999999869615,1684436.100000000093132,10761259.609999999403954
FS( 51 ),1520463.340000000083819,1451770.419999999692664,1588941.639999999897555,1500909.400000000139698,1581331.439999999944121,1440069.419999999925494,1674129.799999999813735,10757618.460000000894070
FS( 52 ),1522305.279999999795109,1457829.969999999972060,1617076.839999999850988,1510822.440000000176951,1592335.370000000111759,1432504.669999999925494,1709977.799999999813735,10842855.370000001043081
FS( 53 ),1544203.899999999906868,1450212.250000000000000,1641695.139999999897555,1530112.679999999934807,1578742.280000000027940,1447028.989999999990687,1703704.400000000139698,10895702.640000000596046
FS( 54 ),1534994.199999999953434,1449865.989999999757856,1641226.219999999972060,1534935.239999999990687,1587157.050000000046566,1454593.739999999990687,1695638.600000000093132,10898414.039999999105930
FS( 55 ),1516370.140000000130385,1455059.889999999897555,1629503.219999999972060,1521271.320000000065193,1592335.370000000111759,1452778.199999999720603,1666960.200000000186265,10834281.339999999850988
FS( 56 ),1519030.719999999972060,1448654.079999999841675,1620593.739999999990687,1514841.239999999990687,1598808.270000000018626,1454593.739999999990687,1646347.600000000093132,10802872.390000000596046
FS( 57 ),1505727.819999999832362,1431514.209999999962747,1623172.800000000046566,1497962.280000000027940,1589746.209999999962747,1456409.280000000027940,1661582.999999999767169,10766118.599999999627471
FS( 58 ),1523737.899999999906868,1421818.929999999934807,1639819.459999999962747,1512162.040000000037253,1633114.639999999897555,1471236.189999999711290,1675922.199999999953434,10877814.359999999403954
FS( 59 ),1519849.360000000102445,1434976.809999999823049,1645915.419999999925494,1513233.719999999972060,1545083.199999999953434,1480919.069999999832362,1683539.899999999906868,10823520.480000000447035
FS( 60 ),1531310.319999999832362,1461292.570000000065193,1635130.259999999776483,1488317.159999999916181,1537315.719999999972060,1502705.549999999813735,1686676.600000000093132,10842751.179999997839332
FS( 61 ),1559553.399999999906868,1460600.049999999813735,1668892.500000000232831,1480011.640000000130385,1530842.819999999832362,1500284.829999999841675,1673681.699999999953434,10873869.939999999478459
FS( 62 ),1596187.539999999804422,1465967.079999999841675,1659279.639999999897555,1491800.120000000111759,1547025.069999999832362,1507849.579999999841675,1684884.199999999953434,10952996.229999998584390
FS( 63 ),1625863.239999999990687,1464755.169999999692664,1653887.060000000055879,1490460.520000000018626,1543141.330000000074506,1507849.579999999841675,1708633.500000000000000,10994593.400000000372529
FS( 64 ),1611741.699999999953434,1458695.619999999878928,1662562.079999999841675,1525558.040000000037253,1534079.270000000018626,1518440.229999999748543,1722972.700000000186265,11034052.640000000596046
FS( 65 ),1655743.600000000093132,1452116.679999999934807,1638881.620000000111759,1477332.440000000176951,1524369.919999999925494,1505731.449999999720603,1716699.300000000046566,10970878.010000001639128
FS( 66 ),1651855.059999999823049,1453847.979999999748543,1640522.839999999850988,1483762.520000000018626,1536668.429999999934807,1492114.899999999906868,1744929.599999999860302,11003704.329999998211861
FS( 67 ),1660450.779999999795109,1461465.699999999720603,1646618.800000000046566,1473045.719999999972060,1570327.510000000009313,1476985.399999999906868,1702808.199999999953434,10991705.109999997541308
FS( 68 ),1637324.199999999953434,1480336.869999999878928,1675457.379999999888241,1498230.200000000186265,1606575.750000000000000,1494535.619999999878928,1718939.799999999813735,11111402.820000000298023
FS( 69 ),1656152.919999999925494,1490551.540000000037253,1667251.280000000027940,1556636.760000000009313,1613695.939999999944121,1499679.649999999906868,1734623.300000000046566,11218594.390000000596046
FS( 70 ),1653492.340000000083819,1496264.829999999841675,1678036.439999999711290,1594145.560000000055879,1606575.750000000000000,1495745.979999999748543,1707737.299999999813735,11232001.199999999254942
FS( 71 ),1641212.739999999990687,1476528.010000000009313,1653418.139999999897555,1566281.880000000121072,1580684.150000000139698,1481221.659999999916181,1685332.299999999813735,11084681.879999998956919
FS( 72 ),1638961.479999999981374,1481548.779999999795109,1632551.199999999953434,1555297.159999999916181,1583920.599999999860302,1462158.489999999990687,1667856.399999999906868,11022297.109999999403954
FS( 73 ),1620951.399999999906868,1489859.019999999785796,1632316.739999999990687,1584232.520000000018626,1572269.379999999888241,1463974.030000000027940,1644107.099999999860302,11007713.189999999478459
FS( 74 ),1629956.439999999944121,1512885.309999999823049,1653183.680000000167638,1587179.640000000130385,1582626.020000000018626,1455198.919999999925494,1652621.000000000000000,11073654.009999999776483
FS( 75 ),1622588.679999999934807,1504921.329999999841675,1656700.579999999841675,1610220.760000000009313,1596219.109999999869615,1449449.709999999729916,1636489.400000000139698,11076592.569999998435378
FS( 76 ),1610309.080000000074506,1526562.579999999841675,1692807.419999999925494,1660053.880000000121072,1627936.319999999832362,1479708.709999999729916,1639177.999999999767169,11236558.989999998360872
FS( 77 ),1591889.679999999934807,1515655.389999999897555,1710860.839999999850988,1675057.400000000139698,1627289.030000000027940,1476380.219999999739230,1624390.699999999953434,11221526.259999999776483
FS( 78 ),1605192.580000000074506,1539720.459999999962747,1697496.620000000111759,1670502.760000000009313,1622110.709999999962747,1492417.489999999990687,1649036.199999999720603,11276479.819999998435378
FS( 79 ),1666795.239999999990687,1557552.849999999860302,1718129.100000000093132,1674253.640000000130385,1638940.250000000000000,1493627.849999999860302,1640970.399999999906868,11390272.330000000074506
FS( 80 ),1659836.799999999813735,1574000.199999999720603,1731493.319999999832362,1694883.479999999981374,1646060.439999999944121,1495140.799999999813735,1661582.999999999767169,11463001.039999999105930
FS( 81 ),1648785.159999999916181,1578155.320000000065193,1749546.739999999990687,1711494.520000000018626,1663537.270000000018626,1504521.089999999850988,1677714.599999999860302,11533757.699999999254942
FS( 82 ),1637528.860000000102445,1573307.679999999934807,1743216.319999999832362,1701581.479999999981374,1657064.370000000111759,1506639.219999999739230,1670993.099999999860302,11490334.029999999329448
FS( 83 ),1621360.719999999972060,1573307.679999999934807,1787294.800000000046566,1701581.479999999981374,1673246.620000000111759,1511178.069999999832362,1670993.099999999860302,11538965.469999998807907
FS( 84 ),1640394.100000000093132,1572268.899999999906868,1791280.620000000111759,1694079.719999999972060,1680366.810000000055879,1514506.559999999823049,1676370.299999999813735,11569270.010000001639128
FS( 85 ),1617267.519999999785796,1555994.679999999934807,1788232.639999999897555,1673717.800000000046566,1669362.879999999888241,1497561.520000000018626,1665167.799999999813735,11467307.839999999850988
FS( 86 ),1581656.679999999934807,1555129.029999999795109,1784481.280000000027940,1666216.040000000037253,1668715.590000000083819,1504823.679999999701977,1653965.299999999813735,11414990.600000001490116
FS( 87 ),1590252.399999999906868,1534699.689999999944121,1777681.939999999711290,1663268.919999999925494,1648002.310000000055879,1505126.270000000018626,1619013.500000000000000,11338048.029999999329448
FS( 88 ),1578996.100000000093132,1539720.459999999962747,1789873.860000000102445,1644782.440000000176951,1656417.080000000074506,1516322.099999999860302,1631560.299999999813735,11357675.339999999850988
FS( 89 ),1589024.439999999944121,1543356.189999999944121,1763614.339999999850988,1646657.880000000121072,1646060.439999999944121,1506639.219999999739230,1602433.799999999813735,11297789.309999998658895
FS( 90 ),1568763.100000000093132,1553224.599999999860302,1756111.620000000111759,1625492.200000000186265,1638292.959999999962747,1498469.290000000037253,1592127.500000000000000,11232484.269999999552965
FS( 91 ),1558120.779999999795109,1567075.000000000000000,1767600.159999999916181,1629511.000000000000000,1652533.340000000083819,1509362.530000000027940,1614980.599999999860302,11299186.409999998286366
FS( 92 ),1566307.179999999934807,1556340.939999999944121,1717894.639999999897555,1598432.280000000027940,1650591.469999999972060,1607401.689999999711290,1567481.999999999767169,11264453.199999999254942
FS( 93 ),1597620.159999999916181,1567940.649999999906868,1745560.919999999925494,1627367.640000000130385,1715967.760000000009313,1603770.609999999869615,1603330.000000000000000,11461560.739999998360872
FS( 94 ),1629547.120000000111759,1599969.699999999720603,1741575.100000000093132,1642639.080000000074506,1726324.400000000139698,1589246.290000000037253,1647243.799999999813735,11576548.490000002086163
FS( 95 ),1620542.080000000074506,1593044.500000000000000,1739933.879999999888241,1643978.679999999934807,1717909.629999999888241,1588641.109999999869615,1653069.100000000093132,11557121.979999998584390
FS( 96 ),1580838.039999999804422,1583176.089999999850988,1734541.300000000046566,1643442.840000000083819,1673246.620000000111759,1571998.659999999916181,1630216.000000000000000,11417462.549999998882413
FS( 97 ),1605397.239999999990687,1568633.169999999692664,1739699.419999999925494,1752486.280000000027940,1656417.080000000074506,1568367.579999999841675,1620805.900000000139698,11511809.669999999925494
FS( 98 ),1612560.340000000083819,1552012.689999999944121,1765724.479999999981374,1742841.159999999916181,1638292.959999999962747,1553843.260000000009313,1610051.500000000000000,11475329.390000000596046
FS( 99 ),1626067.899999999906868,1531929.609999999869615,1753532.560000000055879,1706404.040000000037253,1626641.739999999990687,1561408.010000000009313,1615876.800000000046566,11421863.660000002011657
FS( 100 ),1596596.860000000102445,1491936.579999999841675,1704999.339999999850988,1656303.000000000000000,1605928.459999999962747,1572906.429999999701977,1649484.300000000046566,11278157.969999998807907
FS( 101 ),1609490.439999999944121,1580579.139999999897555,1693979.719999999972060,1644514.520000000018626,1600102.849999999860302,1589548.879999999888241,1614532.500000000000000,11332751.050000000745058
FS( 102 ),1480963.959999999962747,1601008.479999999748543,1708750.699999999953434,1642907.000000000000000,1611754.069999999832362,1599836.939999999711290,1625286.900000000139698,11270511.049999998882413
FS( 103 ),1464181.840000000083819,1568979.429999999934807,1672409.399999999906868,1706671.960000000195578,1597513.689999999944121,1579866.000000000000000,1642762.799999999813735,11232388.120000001043081
FS( 104 ),1461316.600000000093132,1613646.969999999972060,1716722.339999999850988,1728909.320000000065193,1601397.429999999934807,1619202.699999999720603,1651724.799999999813735,11392923.160000000149012
FS( 105 ),1463567.860000000102445,1625939.199999999720603,1702420.280000000027940,1736411.080000000074506,1588451.629999999888241,1602862.839999999850988,1695638.600000000093132,11415294.490000000223517
FS( 106 ),1466433.100000000093132,1600142.829999999841675,1640991.759999999776483,1705064.440000000176951,1550261.520000000018626,1575932.329999999841675,1634696.999999999767169,11173525.980000000447035
FS( 107 ),1487513.080000000074506,1601527.869999999878928,1665844.520000000018626,1715513.320000000065193,1541846.750000000000000,1619202.699999999720603,1628871.699999999953434,11260322.939999999478459
FS( 108 ),1498769.380000000121072,1592178.849999999860302,1682491.180000000167638,1711226.600000000093132,1522428.050000000046566,1619807.879999999888241,1605122.399999999906868,11232027.339999999850988
FS( 109 ),1498564.719999999972060,1624554.159999999916181,1771585.979999999981374,1739358.200000000186265,1552850.679999999934807,1627070.040000000037253,1621254.000000000000000,11435240.779999999329448
FS( 110 ),1519440.039999999804422,1642559.679999999934807,1774165.040000000037253,1739894.040000000037253,1567091.060000000055879,1657329.040000000037253,1638281.800000000046566,11538763.699999999254942
FS( 111 ),1546659.819999999832362,1636153.869999999878928,1806754.979999999981374,1749003.320000000065193,1572269.379999999888241,1660960.119999999878928,1649036.199999999720603,11620840.689999999478459
FS( 112 ),1567125.819999999832362,1644117.849999999860302,1823870.560000000055879,1787047.960000000195578,1583920.599999999860302,1685469.909999999916181,1665615.900000000139698,11757171.600000001490116
FS( 113 ),1566921.159999999916181,1665066.579999999841675,1826684.079999999841675,1769365.240000000223517,1589098.919999999925494,1664288.609999999869615,1679058.899999999906868,11760486.490000000223517
FS( 114 ),1591889.679999999934807,1664027.799999999813735,1826449.620000000111759,1766686.040000000037253,1598808.270000000018626,1667314.510000000009313,1685332.299999999813735,11800511.219999998807907
FS( 115 ),1590457.059999999823049,1671645.519999999785796,1857632.800000000046566,1782225.399999999906868,1602692.010000000009313,1677602.569999999832362,1685780.399999999906868,11868038.759999999776483
FS( 116 ),1596392.199999999953434,1671818.649999999906868,1865838.899999999906868,1784904.600000000093132,1602692.010000000009313,1685167.319999999832362,1676818.400000000139698,11883635.080000000074506
FS( 117 ),1571219.019999999785796,1665759.099999999860302,1849192.239999999990687,1771776.520000000018626,1585862.469999999972060,1665498.969999999739230,1680851.299999999813735,11790162.620000001043081
FS( 118 ),1553004.279999999795109,1678051.329999999841675,1856694.959999999962747,1798568.520000000018626,1601397.429999999934807,1688798.399999999906868,1691605.699999999953434,11868123.619999999180436
FS( 119 ),1535812.840000000083819,1688092.869999999878928,1878734.199999999953434,1791870.520000000018626,1580684.150000000139698,1695455.379999999888241,1701911.999999999767169,11872564.960000000894070
FS( 120 ),1542361.959999999962747,1684976.529999999795109,1892801.800000000046566,1791334.679999999934807,1594277.239999999990687,1699994.229999999748543,1688917.099999999860302,11894666.539999999105930
FS( 121 ),1526398.479999999981374,1669221.699999999720603,1880609.879999999888241,1801783.560000000055879,1593629.949999999953434,1691824.299999999813735,1682195.599999999860302,11845666.469999996945262
FS( 122 ),1512686.259999999776483,1682898.969999999972060,1877561.899999999906868,1824824.679999999934807,1605281.169999999925494,1702717.540000000037253,1679058.899999999906868,11885032.419999999925494
FS( 123 ),1542771.279999999795109,1674242.469999999972060,1886940.300000000046566,1850812.919999999925494,1602692.010000000009313,1714518.549999999813735,1696534.799999999813735,11968515.330000001937151
FS( 124 ),1538678.080000000074506,1678916.979999999748543,1894677.479999999981374,1858582.600000000093132,1602692.010000000009313,1724504.020000000018626,1716699.300000000046566,12014753.469999998807907
FS( 125 ),1542975.939999999944121,1667490.399999999906868,1863025.379999999888241,1848133.720000000204891,1585862.469999999972060,1707256.389999999897555,1692950.000000000000000,11907697.300000000745058
FS( 126 ),1553208.939999999944121,1679782.629999999888241,1915778.879999999888241,1887250.040000000037253,1592982.659999999916181,1726622.149999999906868,1721180.299999999813735,12076808.599999997764826
FS( 127 ),1556483.500000000000000,1668529.179999999934807,1938521.500000000232831,1904396.919999999925494,1585862.469999999972060,1721175.530000000027940,1707737.299999999813735,12082709.399999998509884
FS( 128 ),1551776.319999999832362,1689824.169999999692664,1953995.860000000102445,1899306.440000000176951,1594277.239999999990687,1732673.949999999720603,1709529.699999999953434,12131386.679999997839332
FS( 129 ),1550957.679999999934807,1680302.019999999785796,1927501.879999999888241,1889125.480000000214204,1594924.530000000027940,1739028.339999999850988,1698327.199999999953434,12080170.129999998956919
FS( 130 ),1552390.299999999813735,1675108.119999999878928,1921874.839999999850988,1901181.879999999888241,1607870.330000000074506,1734489.489999999990687,1694742.399999999906868,12087660.359999999403954
FS( 131 ),1567330.479999999981374,1676666.290000000037253,1900304.520000000018626,1879480.360000000102445,1600750.139999999897555,1715426.319999999832362,1703704.400000000139698,12043665.510000001639128
FS( 132 ),1568967.759999999776483,1676320.029999999795109,1908041.699999999953434,1870638.999999999767169,1602692.010000000009313,1719057.399999999906868,1714906.900000000139698,12060627.800000000745058
FS( 133 ),1551571.659999999916181,1655371.299999999813735,1874045.000000000232831,1859654.280000000027940,1590393.500000000000000,1688193.219999999739230,1697879.100000000093132,11917111.060000000521541
FS( 134 ),1534175.559999999823049,1651562.439999999944121,1877327.439999999711290,1856171.320000000065193,1585862.469999999972060,1685469.909999999916181,1689365.200000000186265,11879937.339999999850988
FS( 135 ),1540110.699999999953434,1656410.079999999841675,1908276.159999999916181,1869567.320000000065193,1598808.270000000018626,1702414.949999999720603,1705048.699999999720603,11980639.179999997839332
FS( 136 ),1553618.259999999776483,1669221.699999999720603,1922343.759999999776483,1895019.720000000204891,1606575.750000000000000,1705440.849999999860302,1772263.699999999720603,12124486.739999998360872
FS( 137 ),1553208.939999999944121,1662815.889999999897555,1887878.139999999897555,1892876.360000000102445,1619521.550000000046566,1694245.020000000018626,1759716.900000000139698,12070265.800000000745058
FS( 138 ),1545841.179999999934807,1665759.099999999860302,1894677.479999999981374,1916989.159999999916181,1646060.439999999944121,1682141.419999999925494,1807215.499999999767169,12158687.279999999329448
FS( 139 ),1557916.120000000111759,1686188.439999999944121,1883892.319999999832362,1915649.560000000055879,1629230.900000000139698,1654000.549999999813735,1799597.799999999813735,12126478.690000001341105
FS( 140 ),1576540.179999999934807,1676839.419999999692664,1863728.759999999776483,1913774.120000000344589,1625994.449999999953434,1627372.629999999888241,1814833.199999999953434,12099085.759999997913837
FS( 141 ),1593526.959999999962747,1706964.040000000037253,1865135.520000000018626,1932260.600000000093132,1648002.310000000055879,1670037.819999999832362,1807663.600000000093132,12223593.849999999627471
FS( 142 ),1578177.459999999962747,1693286.769999999785796,1843330.739999999990687,1885910.440000000176951,1642823.989999999990687,1695152.790000000037253,1783018.099999999860302,12121703.290000000968575
FS( 143 ),1571423.679999999934807,1704540.219999999972060,1840048.300000000046566,1830986.840000000083819,1638292.959999999962747,1686377.679999999701977,1763749.799999999813735,12035422.480000000447035
FS( 144 ),1569581.739999999990687,1720814.439999999944121,1852005.759999999776483,1839024.440000000176951,1658358.949999999953434,1693942.429999999701977,1805871.199999999720603,12139601.959999999031425
FS( 145 ),1569377.080000000074506,1720468.179999999934807,1877327.439999999711290,1854027.960000000195578,1670657.459999999962747,1717847.040000000037253,1836790.100000000093132,12246498.259999999776483
FS( 146 ),1583703.279999999795109,1728085.899999999906868,1912496.439999999711290,1896627.240000000223517,1682308.679999999934807,1705743.439999999711290,1856058.400000000139698,12365026.379999998956919
FS( 147 ),1586363.860000000102445,1776908.559999999823049,1914841.040000000037253,1903861.080000000074506,1675835.780000000027940,1708466.750000000000000,1852921.699999999953434,12419201.769999999552965
