代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13137767.419999999925494
真實報酬,3137767.419999999925494

夏普值報酬,0.305076742000000
夏普值風險,0.092860853188983
夏普值,3.285310564389632

二次趨勢線,80.416179267245795 x^2 + -8059.563613922610784 x + 10000000.000000000000000
二次平均預期報酬,12205.313561423328792
風險,194307.740000975521980
二次平均趨勢值,0.062814345745373
一次趨勢線,7108.878247941682275 x + 10000000.000000000000000
一次預期報酬,7108.878247941682275
一次風險,601494.499148339149542
一次趨勢值,0.011818692037928
找到最佳解世代,2159
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
AAPL[0](1),HD[9](3),MSFT[18](4),NKE[19](7),
FS( 29 ),2429523.879999999888241,2537608.000000000000000,2274384.069999999366701,2376106.440000000409782,9617622.390000000596046
FS( 30 ),2478095.260000000242144,2538861.600000000558794,2326399.270000000018626,2376106.440000000409782,9719462.570000000298023
FS( 31 ),2527619.020000000018626,2540742.000000000000000,2390117.889999999664724,2384323.870000000111759,9842802.779999999329448
FS( 32 ),2513650.780000000260770,2546696.600000000558794,2398570.359999999869615,2364096.350000000093132,9823014.089999999850988
FS( 33 ),2452063.540000000037253,2538548.200000000186265,2365410.669999999925494,2319848.650000000372529,9675871.060000000521541
FS( 34 ),2490158.739999999757856,2521624.600000000093132,2351756.679999999701977,2331226.630000000353903,9694766.650000000372529
FS( 35 ),2501269.840000000316650,2513476.200000000186265,2336152.119999999646097,2323009.200000000186265,9673907.359999999403954
FS( 36 ),2522222.200000000186265,2514729.799999999813735,2344604.589999999850988,2298989.020000000018626,9680545.609999999403954
FS( 37 ),2476507.959999999962747,2480882.600000000093132,2393368.839999999850988,2264855.080000000074506,9615614.480000000447035
FS( 38 ),2496507.939999999944121,2473987.800000000279397,2342654.020000000018626,2272440.400000000372529,9585590.160000000149012
FS( 39 ),2297143.060000000055879,2461451.800000000279397,2358258.580000000074506,2297724.800000000279397,9414578.240000000223517
FS( 40 ),2271111.340000000316650,2403159.400000000372529,2383615.989999999292195,2268647.740000000223517,9326534.469999998807907
FS( 41 ),2266666.900000000372529,2410994.400000000372529,2396619.789999999571592,2336915.620000000111759,9411196.710000000894070
FS( 42 ),2270158.959999999962747,2408487.200000000186265,2460338.410000000149012,2302149.570000000298023,9441134.140000000596046
FS( 43 ),2274603.400000000372529,2353328.800000000279397,2371912.569999999366701,2240202.790000000037253,9240047.560000000521541
FS( 44 ),2307301.780000000260770,2349568.000000000000000,2363460.099999999627471,2228824.810000000055879,9249154.689999999478459
FS( 45 ),2324762.080000000074506,2358656.600000000558794,2329000.029999999795109,2231353.250000000000000,9243771.960000000894070
FS( 46 ),2324444.620000000111759,2386862.600000000093132,2352406.869999999646097,2260430.310000000055879,9324144.400000000372529
FS( 47 ),2356825.540000000037253,2395951.200000000186265,2377114.089999999850988,2297724.800000000279397,9427615.630000000819564
FS( 48 ),2399047.719999999739230,2394697.600000000093132,2392718.649999999441206,2297092.690000000409782,9483556.660000000149012
FS( 49 ),2430793.719999999739230,2403786.200000000186265,2416775.679999999701977,2338179.840000000316650,9589535.439999999478459
FS( 50 ),2430476.260000000242144,2421963.400000000372529,2436281.379999999422580,2342604.610000000335276,9631325.649999998509884
FS( 51 ),2469206.379999999888241,2431678.800000000279397,2445384.039999999571592,2366624.790000000037253,9712894.009999997913837
FS( 52 ),2466984.159999999683350,2442334.400000000372529,2446034.229999999515712,2372313.780000000260770,9727666.570000000298023
FS( 53 ),2476190.500000000000000,2431052.000000000000000,2433030.429999999701977,2376738.550000000279397,9717011.480000000447035
FS( 54 ),2437142.919999999925494,2395951.200000000186265,2438882.139999999664724,2364728.459999999962747,9636704.719999998807907
FS( 55 ),2408888.979999999981374,2428231.400000000372529,2454486.699999999720603,2388748.640000000130385,9680355.720000000670552
FS( 56 ),2382222.340000000316650,2436379.799999999813735,2469441.069999999366701,2417193.590000000316650,9705236.800000000745058
FS( 57 ),2392381.060000000055879,2440454.000000000465661,2450585.559999999590218,2460177.070000000298023,9743597.690000001341105
FS( 58 ),2367619.180000000167638,2537921.400000000372529,2440832.709999999497086,2469026.610000000335276,9815399.899999998509884
FS( 59 ),2346349.359999999869615,2560486.200000000186265,2436281.379999999422580,2478508.260000000242144,9821625.199999999254942
FS( 60 ),2393015.979999999981374,2568948.000000000000000,2461638.789999999571592,2465866.060000000055879,9889468.830000000074506
FS( 61 ),2386666.780000000260770,2570828.400000000372529,2490897.339999999850988,2474715.600000000093132,9923108.120000001043081
FS( 62 ),2393333.439999999944121,2569888.200000000186265,2456437.270000000018626,2446270.650000000372529,9865929.560000000521541
FS( 63 ),2409206.439999999944121,2597154.000000000465661,2497399.239999999292195,2484829.360000000335276,9988589.039999999105930
FS( 64 ),2414285.799999999813735,2598407.600000000093132,2477893.539999999571592,2446902.760000000242144,9937489.699999999254942
FS( 65 ),2406984.219999999739230,2582737.600000000093132,2480494.299999999813735,2472187.160000000149012,9942403.280000001192093
FS( 66 ),2405714.379999999888241,2587125.200000000186265,2464239.549999999813735,2511377.979999999981374,9968457.109999999403954
FS( 67 ),2407936.599999999627471,2575529.400000000372529,2459038.029999999795109,2496207.340000000316650,9938711.369999999180436
FS( 68 ),2431111.180000000167638,2547636.800000000279397,2472041.830000000074506,2490518.350000000093132,9941308.160000000149012
FS( 69 ),2433650.859999999869615,2524758.600000000093132,2488296.580000000074506,2496207.340000000316650,9942913.380000000819564
FS( 70 ),2406666.760000000242144,2469600.200000000186265,2463589.359999999869615,2482300.920000000391155,9822157.240000000223517
FS( 71 ),2379682.659999999683350,2487777.399999999906868,2451235.750000000000000,2475347.709999999962747,9794043.519999999552965
FS( 72 ),2388889.000000000000000,2494045.399999999906868,2473992.399999999441206,2496207.340000000316650,9853134.140000000596046
FS( 73 ),2409841.359999999869615,2501567.000000000000000,2571520.899999999441206,2517066.970000000204891,9999996.229999998584390
FS( 74 ),2409206.439999999944121,2499373.200000000186265,2553315.580000000074506,2501896.330000000074506,9963791.550000000745058
FS( 75 ),2397777.879999999888241,2510028.800000000279397,2622235.719999999739230,2505688.990000000223517,10035731.390000000596046
FS( 76 ),2416508.020000000018626,2520371.000000000465661,2611182.489999999292195,2376738.550000000279397,9924800.060000000521541
FS( 77 ),2445396.879999999888241,2496552.600000000093132,2633288.949999999720603,2365992.680000000167638,9941231.109999999403954
FS( 78 ),2471746.060000000055879,2490598.000000000000000,2622885.910000000149012,2328066.080000000074506,9913296.050000000745058
FS( 79 ),2447936.560000000055879,2471794.000000000465661,2587125.459999999497086,2314159.660000000149012,9821015.679999999701977
FS( 80 ),2437460.379999999888241,2465839.400000000372529,2559167.289999999571592,2317320.209999999962747,9779787.280000001192093
FS( 81 ),2434603.239999999757856,2467093.000000000000000,2620285.149999999441206,2324273.420000000391155,9846254.810000000521541
FS( 82 ),2434285.780000000260770,2479942.399999999906868,2665148.259999999776483,2334387.180000000167638,9913763.619999999180436
FS( 83 ),2456507.979999999981374,2487777.399999999906868,2693106.429999999701977,2351454.150000000372529,9988845.960000000894070
FS( 84 ),2460634.959999999962747,2505641.200000000186265,2688555.099999999627471,2355878.920000000391155,10010710.179999999701977
FS( 85 ),2443492.120000000111759,2488404.200000000186265,2666448.639999999664724,2338179.840000000316650,9936524.800000000745058
FS( 86 ),2411746.120000000111759,2467093.000000000000000,2592326.979999999515712,2302149.570000000298023,9773315.669999999925494
FS( 87 ),2373968.379999999888241,2417262.399999999906868,2587775.649999999441206,2238938.570000000298023,9617945.000000000000000
FS( 88 ),2373968.379999999888241,2416635.600000000093132,2589076.029999999795109,2304678.010000000242144,9684358.019999999552965
FS( 89 ),2405079.459999999962747,2437006.600000000558794,2631338.379999999422580,2324905.530000000260770,9798329.969999998807907
FS( 90 ),2373968.379999999888241,2406293.400000000372529,2559167.289999999571592,2290139.479999999981374,9629568.550000000745058
FS( 91 ),2356508.080000000074506,2372446.200000000186265,2549414.439999999944121,2252212.880000000353903,9530581.600000001490116
FS( 92 ),2366031.879999999888241,2380908.000000000000000,2547463.869999999646097,2287611.040000000037253,9582014.789999999105930
FS( 93 ),2348889.040000000037253,2378400.800000000279397,2584524.699999999720603,2284450.490000000223517,9596265.029999999329448
FS( 94 ),2353650.939999999944121,2400025.399999999906868,2626787.049999999813735,2310367.000000000000000,9690830.390000000596046
FS( 95 ),2380635.040000000037253,2416008.800000000279397,2601429.639999999664724,2340076.170000000391155,9738149.650000000372529
FS( 96 ),2408888.979999999981374,2443274.600000000093132,2596878.309999999590218,2335651.400000000372529,9784693.289999999105930
FS( 97 ),2411428.659999999683350,2496866.000000000465661,2600129.259999999776483,2349557.820000000298023,9857981.740000000223517
FS( 98 ),2379682.659999999683350,2460825.000000000000000,2580623.559999999590218,2341972.500000000000000,9763103.719999998807907
FS( 99 ),2574920.560000000055879,2500000.000000000000000,2591676.789999999571592,2319848.650000000372529,9986446.000000000000000
FS( 100 ),2593968.159999999683350,2487777.399999999906868,2594927.739999999292195,2297724.800000000279397,9974398.099999999627471
FS( 101 ),2694285.520000000018626,2512536.000000000465661,2657345.979999999515712,2265487.190000000409782,10129654.690000001341105
FS( 102 ),2686349.020000000018626,2492165.000000000000000,2633939.139999999664724,2290771.590000000316650,10103224.750000000000000
FS( 103 ),2676190.299999999813735,2491851.600000000558794,2626787.049999999813735,2305942.229999999981374,10100771.179999999701977
FS( 104 ),2682539.500000000000000,2486210.399999999906868,2600779.449999999720603,2304678.010000000242144,10074207.359999999403954
FS( 105 ),2687301.400000000372529,2488404.200000000186265,2580623.559999999590218,2306574.340000000316650,10062903.500000000000000
FS( 106 ),2725396.599999999627471,2466152.800000000279397,2563718.619999999646097,2316688.100000000093132,10071956.119999999180436
FS( 107 ),2695872.819999999832362,2426351.000000000465661,2539661.589999999850988,2283818.380000000353903,9945703.790000000968575
FS( 108 ),2686349.020000000018626,2415695.399999999906868,2563068.429999999701977,2281289.940000000409782,9946402.789999999105930
FS( 109 ),2666666.500000000000000,2414755.200000000186265,2577372.609999999869615,2309102.780000000260770,9967897.089999999850988
FS( 110 ),2655555.400000000372529,2435439.600000000093132,2570870.709999999497086,2321744.979999999981374,9983610.689999999478459
FS( 111 ),2688571.239999999757856,2452990.000000000000000,2598828.879999999422580,2359039.470000000204891,10099429.589999999850988
FS( 112 ),2692698.219999999739230,2421650.000000000000000,2628087.429999999701977,2357775.250000000000000,10100210.899999998509884
FS( 113 ),2693333.140000000130385,2391563.600000000093132,2616384.009999999776483,2325537.640000000130385,10026818.390000000596046
FS( 114 ),2670476.020000000018626,2389369.799999999813735,2574771.849999999627471,2305310.120000000111759,9939927.789999999105930
FS( 115 ),2709841.060000000055879,2424470.600000000093132,2589726.219999999739230,2336915.620000000111759,10060953.500000000000000
FS( 116 ),2741904.520000000018626,2397518.200000000186265,2584524.699999999720603,2353982.590000000316650,10077930.009999999776483
FS( 117 ),2742539.439999999944121,2443274.600000000093132,2579973.369999999646097,2315423.880000000353903,10081211.290000000968575
FS( 118 ),2749841.020000000018626,2447035.399999999906868,2623536.099999999627471,2345133.050000000279397,10165545.570000000298023
FS( 119 ),2753968.000000000000000,2468973.400000000372529,2607281.349999999627471,2366624.790000000037253,10196847.539999999105930
FS( 120 ),2785079.080000000074506,2481509.400000000372529,2608581.729999999515712,2396966.070000000298023,10272136.280000001192093
FS( 121 ),2837459.979999999981374,2497492.800000000279397,2613133.059999999590218,2421618.360000000335276,10369704.199999999254942
FS( 122 ),2829840.939999999944121,2497179.400000000372529,2601429.639999999664724,2410872.490000000223517,10339322.469999998807907
FS( 123 ),2881586.919999999925494,2504074.200000000186265,2622885.910000000149012,2414033.040000000037253,10422580.070000000298023
FS( 124 ),2870793.280000000260770,2514416.400000000372529,2661897.309999999590218,2431100.010000000242144,10478207.000000000000000
FS( 125 ),2851110.760000000242144,2533533.800000000279397,2652144.459999999497086,2424778.910000000149012,10461567.929999999701977
FS( 126 ),2891428.180000000167638,2528206.000000000465661,2619634.959999999497086,2388116.530000000260770,10427385.670000001788139
FS( 127 ),2924444.020000000018626,2524131.800000000279397,2621585.529999999795109,2406447.720000000204891,10476609.070000000298023
FS( 128 ),2935872.580000000074506,2519117.399999999906868,2679452.439999999944121,2398230.290000000037253,10532672.710000000894070
FS( 129 ),2927618.620000000111759,2527265.800000000279397,2697007.569999999366701,2409608.270000000018626,10561500.259999999776483
FS( 130 ),2974602.700000000186265,2526325.600000000093132,2683353.580000000074506,2423514.690000000409782,10607796.570000000298023
FS( 131 ),2992063.000000000000000,2530399.799999999813735,2672950.539999999571592,2412136.709999999962747,10607550.050000000745058
FS( 132 ),2979682.060000000055879,2501253.600000000093132,2656695.789999999571592,2374842.220000000204891,10512473.669999999925494
FS( 133 ),2929840.840000000316650,2458004.400000000372529,2638490.469999999739230,2363464.240000000223517,10389799.949999999254942
FS( 134 ),2897777.379999999888241,2446722.000000000000000,2680752.819999999366701,2358407.360000000335276,10383659.559999998658895
FS( 135 ),2926983.700000000186265,2472734.200000000186265,2698307.949999999720603,2356511.030000000260770,10454536.879999998956919
FS( 136 ),2923174.180000000167638,2507835.000000000000000,2710011.369999999646097,2373578.000000000000000,10514598.549999998882413
FS( 137 ),2926348.780000000260770,2529459.600000000093132,2708060.799999999813735,2408344.050000000279397,10572213.230000000447035
FS( 138 ),2916190.060000000055879,2520997.800000000279397,2698958.139999999664724,2390644.970000000204891,10526790.970000000670552
FS( 139 ),2886031.359999999869615,2512536.000000000465661,2710011.369999999646097,2373578.000000000000000,10482156.730000000447035
FS( 140 ),2883491.680000000167638,2527265.800000000279397,2730167.259999999776483,2384955.979999999981374,10525880.720000000670552
FS( 141 ),2866031.379999999888241,2520684.400000000372529,2714562.699999999720603,2369785.340000000316650,10471063.820000000298023
FS( 142 ),2868571.060000000055879,2523818.400000000372529,2732768.020000000018626,2417193.590000000316650,10542351.070000000298023
FS( 143 ),2885713.900000000372529,2530713.200000000186265,2712612.129999999422580,2429203.680000000167638,10558242.910000000149012
FS( 144 ),2919999.580000000074506,2542622.399999999906868,2747072.199999999720603,2455120.190000000409782,10664814.370000001043081
FS( 145 ),2950158.280000000260770,2537294.600000000093132,2711311.750000000000000,2451327.530000000260770,10650092.160000000149012
FS( 146 ),2968888.419999999925494,2564247.000000000000000,2722364.979999999515712,2465233.950000000186265,10720734.349999999627471
FS( 147 ),2967618.580000000074506,2569261.400000000372529,2724315.549999999813735,2458912.850000000093132,10720108.380000000819564
FS( 148 ),2985078.879999999888241,2571455.200000000186265,2717813.649999999441206,2479772.479999999981374,10754120.209999999031425
FS( 149 ),3046666.120000000111759,2551711.000000000465661,2730167.259999999776483,2486093.580000000074506,10814637.960000000894070
FS( 150 ),3026983.599999999627471,2531026.600000000558794,2716513.270000000018626,2455120.190000000409782,10729643.660000000149012
FS( 151 ),3028253.439999999944121,2530086.400000000372529,2709361.179999999701977,2487357.800000000279397,10755058.820000000298023
FS( 152 ),3017142.340000000316650,2488404.200000000186265,2710661.559999999590218,2449431.200000000186265,10665639.300000000745058
FS( 153 ),3022856.620000000111759,2494985.600000000093132,2736669.160000000149012,2443110.100000000093132,10697621.480000000447035
FS( 154 ),3061904.200000000186265,2490284.600000000093132,2739920.109999999869615,2463969.729999999981374,10756078.640000000596046
FS( 155 ),3026031.219999999739230,2502820.600000000093132,2760076.000000000000000,2466498.170000000391155,10755425.990000000223517
FS( 156 ),3008888.379999999888241,2496552.600000000093132,2866056.969999999739230,2431100.010000000242144,10802597.960000000894070
FS( 157 ),2955237.640000000130385,2493105.200000000186265,2895315.520000000018626,2419089.920000000391155,10762748.279999999329448
FS( 158 ),2997777.280000000260770,2509715.399999999906868,2905718.559999999590218,2450063.310000000055879,10863274.549999998882413
FS( 159 ),2982221.739999999757856,2498119.600000000093132,2915471.410000000149012,2427939.459999999962747,10823752.210000000894070
FS( 160 ),3006983.620000000111759,2524131.800000000279397,2914821.219999999739230,2434892.670000000391155,10880829.310000000521541
FS( 161 ),3085396.239999999757856,2539175.000000000000000,2917421.979999999515712,2445638.540000000037253,10987631.759999997913837
FS( 162 ),3080316.879999999888241,2544816.200000000186265,2886863.049999999813735,2484197.250000000000000,10996193.379999998956919
FS( 163 ),3100634.319999999832362,2539488.400000000372529,2893364.949999999720603,2456384.410000000149012,10989872.080000000074506
FS( 164 ),3143491.419999999925494,2540742.000000000000000,2858904.879999999422580,2477876.150000000372529,11021014.449999999254942
FS( 165 ),3123173.979999999981374,2537921.400000000372529,2853703.359999999869615,2468394.500000000000000,10983193.240000000223517
FS( 166 ),3115872.400000000372529,2562366.600000000558794,2833547.469999999739230,2516434.860000000335276,11028221.330000001937151
FS( 167 ),3034920.099999999627471,2533847.200000000186265,2806239.489999999292195,2438053.220000000204891,10813060.009999999776483
FS( 168 ),3051745.479999999981374,2499373.200000000186265,2786733.789999999571592,2426675.240000000223517,10764527.709999999031425
FS( 169 ),3034602.640000000130385,2508148.400000000372529,2819893.479999999515712,2438685.330000000074506,10801329.850000001490116
FS( 170 ),3019682.020000000018626,2508148.400000000372529,2801037.969999999739230,2431100.010000000242144,10759968.400000000372529
FS( 171 ),3014602.659999999683350,2523505.000000000000000,2778931.509999999776483,2438053.220000000204891,10755092.390000000596046
FS( 172 ),2999364.580000000074506,2521938.000000000000000,2810790.819999999366701,2412768.820000000298023,10744862.219999998807907
FS( 173 ),3007618.540000000037253,2583364.400000000372529,2808840.250000000000000,2435524.780000000260770,10835347.970000002533197
FS( 174 ),3047301.040000000037253,2597467.399999999906868,2808840.250000000000000,2435524.780000000260770,10889133.469999998807907
FS( 175 ),3046666.120000000111759,2598721.000000000465661,2829646.330000000074506,2425411.020000000018626,10900444.470000000670552
FS( 176 ),3086983.540000000037253,2604989.000000000465661,2866056.969999999739230,2441845.880000000353903,10999875.390000002458692
FS( 177 ),3095237.500000000000000,2628180.600000000093132,2878410.580000000074506,2443110.100000000093132,11044938.779999999329448
FS( 178 ),3110475.580000000074506,2622852.800000000279397,2912220.459999999497086,2438053.220000000204891,11083602.060000000521541
FS( 179 ),3147935.859999999869615,2619718.800000000279397,2933026.539999999571592,2482933.030000000260770,11183614.230000000447035
FS( 180 ),3191427.879999999888241,2765136.400000000372529,2947330.719999999739230,2481668.810000000055879,11385563.810000000521541
FS( 181 ),3192697.719999999739230,2844113.200000000186265,2922623.500000000000000,2494311.010000000242144,11453745.429999999701977
FS( 182 ),3193015.180000000167638,2856649.200000000186265,2940178.629999999422580,2494943.120000000111759,11484786.129999998956919
FS( 183 ),3216507.219999999739230,2852888.400000000372529,2935627.299999999813735,2506321.100000000093132,11511344.019999999552965
FS( 184 ),3223491.340000000316650,2858216.200000000186265,2936927.679999999701977,2529077.060000000055879,11547712.280000001192093
FS( 185 ),3202856.439999999944121,2871692.399999999906868,2926524.639999999664724,2512010.090000000316650,11513083.570000000298023
FS( 186 ),3242221.479999999981374,2879214.000000000465661,2917421.979999999515712,2519595.410000000149012,11558452.870000001043081
FS( 187 ),3246031.000000000000000,2899271.600000000558794,2918072.169999999925494,2491150.459999999962747,11554525.230000000447035
FS( 188 ),3253967.500000000000000,2930298.200000000186265,2953832.619999999646097,2482933.030000000260770,11621031.350000001490116
FS( 189 ),3279364.299999999813735,2856649.200000000186265,2931726.160000000149012,2505688.990000000223517,11573428.650000000372529
FS( 190 ),3140951.739999999757856,2789268.200000000186265,2923273.689999999944121,2491150.459999999962747,11344644.089999999850988
FS( 191 ),3114920.020000000018626,2818414.400000000372529,2942779.389999999664724,2525916.510000000242144,11402030.319999998435378
FS( 192 ),3141904.120000000111759,2871065.600000000093132,2985041.739999999292195,2592920.170000000391155,11590931.630000000819564
FS( 193 ),3122539.060000000055879,2846307.000000000000000,3021452.379999999422580,2604298.150000000372529,11594596.589999999850988
FS( 194 ),3110793.040000000037253,2787074.400000000372529,3040307.889999999664724,2586599.070000000298023,11524774.400000000372529
FS( 195 ),3206348.500000000000000,2797103.200000000186265,3045509.410000000149012,2606826.590000000316650,11655787.699999999254942
FS( 196 ),3219999.280000000260770,2796163.000000000000000,3055912.449999999720603,2585966.959999999962747,11658041.690000001341105
FS( 197 ),3227300.859999999869615,2784253.800000000279397,3036406.750000000000000,2586599.070000000298023,11634560.480000000447035
FS( 198 ),3226348.479999999981374,2801177.399999999906868,3006498.009999999776483,2579645.860000000335276,11613669.750000000000000
FS( 199 ),3201904.060000000055879,2829070.000000000000000,3040307.889999999664724,2566371.550000000279397,11637653.500000000000000
FS( 200 ),3224761.180000000167638,2858843.000000000000000,3024703.330000000074506,2576485.310000000055879,11684792.820000000298023
FS( 201 ),3231427.840000000316650,2886108.800000000279397,3035106.369999999646097,2591023.840000000316650,11743666.849999999627471
FS( 202 ),3205078.659999999683350,2893943.800000000279397,3089722.330000000074506,2585966.959999999962747,11774711.750000000000000
FS( 203 ),3208253.260000000242144,2879840.800000000279397,3059813.589999999850988,2550568.800000000279397,11698476.450000001117587
FS( 204 ),3258411.939999999944121,2867304.799999999813735,3027304.089999999850988,2532237.610000000335276,11685258.440000001341105
FS( 205 ),3230158.000000000000000,2915255.000000000000000,3061113.969999999739230,2554993.570000000298023,11761520.539999999105930
FS( 206 ),3106983.520000000018626,2880154.200000000186265,2993494.209999999497086,2520859.630000000353903,11501491.560000000521541
FS( 207 ),3198412.000000000000000,2909613.800000000279397,3017551.239999999292195,2828697.200000000186265,11954274.239999998360872
FS( 208 ),3178094.560000000055879,2910867.399999999906868,3019501.809999999590218,2816687.110000000335276,11925150.879999998956919
FS( 209 ),3198412.000000000000000,2875139.799999999813735,3014300.289999999571592,2819215.550000000279397,11907067.640000000596046
FS( 210 ),3148570.780000000260770,2852575.000000000000000,2984391.549999999813735,2771807.300000000279397,11757344.630000000819564
FS( 211 ),3171427.900000000372529,2890809.799999999813735,2975288.889999999664724,2822376.100000000093132,11859902.689999999478459
FS( 212 ),3162539.020000000018626,2931551.800000000279397,2996745.160000000149012,2853981.600000000093132,11944817.580000000074506
FS( 213 ),3162539.020000000018626,2922776.600000000558794,2996745.160000000149012,2819847.660000000149012,11901908.440000001341105
FS( 214 ),3134920.000000000000000,2898018.000000000000000,2960334.520000000018626,2783817.390000000130385,11777089.910000000149012
FS( 215 ),3199999.299999999813735,2948788.800000000279397,3041608.270000000018626,2807837.570000000298023,11998233.939999999478459
FS( 216 ),3206983.419999999925494,2916822.000000000000000,2981140.599999999627471,2757268.770000000018626,11862214.789999999105930
FS( 217 ),3197777.080000000074506,2900525.200000000186265,2862806.020000000018626,2756004.550000000279397,11717112.850000001490116
FS( 218 ),3168570.760000000242144,2839412.200000000186265,2838098.799999999813735,2699114.650000000372529,11545196.410000002011657
FS( 219 ),3134920.000000000000000,2823742.200000000186265,2843300.319999999366701,2689633.000000000000000,11491595.519999999552965
FS( 220 ),3096507.340000000316650,2753227.200000000186265,2810140.629999999422580,2692161.440000000409782,11352036.609999999403954
FS( 221 ),3055872.459999999962747,2785507.399999999906868,2778931.509999999776483,2750947.670000000391155,11371259.039999999105930
FS( 222 ),3100634.319999999832362,2828129.799999999813735,2836798.419999999925494,2755372.440000000409782,11520934.980000000447035
FS( 223 ),3166983.459999999962747,2878587.200000000186265,2866056.969999999739230,2809733.900000000372529,11721361.529999999329448
FS( 224 ),3253015.120000000111759,2952236.200000000186265,2918072.169999999925494,2864727.470000000204891,11988050.960000000894070
FS( 225 ),3269523.040000000037253,2925283.800000000279397,2885562.669999999925494,2840075.180000000167638,11920444.689999999478459
