代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13985840.309999998658895
真實報酬,3985840.309999998658895

夏普值報酬,0.389884031000000
夏普值風險,0.106123610363531
夏普值,3.673867009089060

二次趨勢線,52.894735079689738 x^2 + 2766.198684065217094 x + 10000000.000000000000000
二次平均預期報酬,16148.566659226720731
風險,171460.010567375080427
二次平均趨勢值,0.094182699544866
一次趨勢線,12783.099861512857387 x + 10000000.000000000000000
一次預期報酬,12783.099861512857387
一次風險,414532.188014354615007
一次趨勢值,0.030837411981793
找到最佳解世代,2088
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](1),MCD[15](6),MSFT[18](3),
FS( 226 ),3647165.379999999888241,3600534.399999999906868,2751280.959999999497086,3194408.039999999571592,13193388.779999997466803
FS( 227 ),3669763.370000000111759,3629209.599999999627471,2904386.079999999608845,3212856.209999999962747,13416215.259999997913837
FS( 228 ),3648181.020000000484288,3593612.799999999813735,2886759.520000000018626,3208598.939999999478459,13337152.279999999329448
FS( 229 ),3650974.029999999795109,3623474.560000000055879,2887374.399999999906868,3229412.259999999310821,13391235.250000000000000
FS( 230 ),3647419.290000000502914,3655313.919999999925494,2868108.160000000149012,3238399.829999999608845,13409241.200000001117587
FS( 231 ),3721814.920000000391155,3607060.479999999515712,2893113.279999999795109,3283337.679999999701977,13505326.359999999403954
FS( 232 ),3745428.549999999813735,3627825.279999999795109,2894752.959999999497086,3278134.349999999627471,13546141.139999998733401
FS( 233 ),3734002.600000000093132,3626836.479999999515712,2923242.399999999906868,3267727.689999999478459,13551809.169999999925494
FS( 234 ),3720545.370000000111759,3620508.159999999683350,2940254.079999999608845,3254955.879999999888241,13536263.489999998360872
FS( 235 ),3782245.500000000465661,3658873.599999999627471,2950707.040000000037253,3263943.449999999720603,13655769.589999999850988
FS( 236 ),3885079.049999999813735,3678847.359999999869615,2956445.919999999925494,3261105.269999999552965,13781477.599999999627471
FS( 237 ),3909962.230000000447035,3696448.000000000000000,2958905.439999999944121,3265835.569999999832362,13831151.240000000223517
FS( 238 ),3891426.799999999813735,3622683.520000000018626,2962184.800000000279397,3278607.379999999888241,13754902.500000000000000
FS( 239 ),3908946.589999999850988,3637713.279999999795109,2955831.040000000037253,3238399.829999999608845,13740890.740000000223517
FS( 240 ),3963537.239999999757856,3624067.839999999850988,2979401.439999999944121,3234615.589999999385327,13801622.109999999403954
FS( 241 ),3953380.839999999850988,3607060.479999999515712,2998257.759999999776483,3236980.740000000223517,13795679.819999998435378
FS( 242 ),3947540.910000000149012,3613191.039999999571592,3018958.719999999739230,3283337.679999999701977,13863028.349999997764826
FS( 243 ),3814999.890000000130385,3535669.119999999646097,3000922.239999999757856,3192042.890000000130385,13543634.140000000596046
FS( 244 ),3873145.279999999795109,3508378.239999999757856,3013219.839999999850988,3202922.579999999608845,13597665.939999999478459
FS( 245 ),3886348.600000000093132,3574825.599999999627471,3036585.279999999795109,3201976.519999999552965,13699735.999999998137355
FS( 246 ),3909962.230000000447035,3632373.759999999776483,3037405.119999999646097,3237926.799999999813735,13817667.910000000149012
FS( 247 ),3905137.940000000409782,3628814.080000000074506,3029821.599999999627471,3248806.490000000223517,13812580.110000001266599
FS( 248 ),3893458.080000000074506,3663619.839999999850988,3064254.879999999888241,3253063.759999999310821,13874396.560000000521541
FS( 249 ),3906915.310000000055879,3699612.159999999683350,3069993.759999999776483,3293271.310000000055879,13969792.540000000968575
FS( 250 ),3900313.650000000372529,3690119.679999999701977,3071633.439999999944121,3309354.329999999608845,13971421.099999999627471
FS( 251 ),3901837.109999999869615,3695854.719999999739230,3073068.160000000149012,3330640.679999999701977,14001400.669999999925494
FS( 252 ),3878731.299999999813735,3710686.719999999739230,3092744.319999999832362,3303677.969999999739230,13985840.309999998658895
