代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14950367.539999999105930
真實報酬,4950367.539999999105930

夏普值報酬,0.486336754000000
夏普值風險,0.102139042713444
夏普值,4.761516664733574

二次趨勢線,-27.603708268620593 x^2 + 25085.326988075146801 x + 10000000.000000000000000
二次平均預期報酬,18101.588796114130673
風險,199020.313569016609108
二次平均趨勢值,0.090953473399271
一次趨勢線,19857.895232508326444 x + 10000000.000000000000000
一次預期報酬,19857.895232508326444
一次風險,280001.121170822822023
一次趨勢值,0.070920770422178
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),DD[7](1),MRK[17](14),UNH[23](7),
FS( 75 ),3332986.750000000000000,2683220.840000000316650,2803189.479999999515712,3006814.350000000093132,11826211.419999999925494
FS( 76 ),3366953.199999999720603,2720748.000000000000000,2800257.279999999795109,3068005.760000000242144,11955964.239999998360872
FS( 77 ),3307754.529999999795109,2679909.620000000577420,2790287.799999999813735,3048387.140000000130385,11826339.089999999850988
FS( 78 ),3223323.639999999664724,2608718.390000000596046,2715809.919999999925494,2980189.079999999608845,11528041.029999999329448
FS( 79 ),3234322.299999999813735,2564568.790000000502914,2756274.279999999795109,2984860.179999999701977,11540025.549999998882413
FS( 80 ),3165418.929999999701977,2542493.990000000223517,2721674.319999999366701,3019893.430000000167638,11449480.669999998062849
FS( 81 ),3191945.109999999869615,2554083.260000000242144,2711118.399999999441206,2976919.309999999590218,11434066.079999998211861
FS( 82 ),3259231.029999999795109,2530904.720000000204891,2738094.639999999664724,3025965.859999999869615,11554196.250000000000000
FS( 83 ),3336868.629999999888241,2542493.990000000223517,2772694.600000000093132,3087157.270000000018626,11739214.490000000223517
FS( 84 ),3313900.839999999850988,2528145.370000000577420,2724020.080000000074506,3058663.560000000055879,11624729.850000001490116
FS( 85 ),3339780.039999999571592,2554083.260000000242144,2716396.359999999869615,3065670.209999999497086,11675929.869999999180436
FS( 86 ),3282522.309999999590218,2549668.300000000745058,2729884.479999999515712,3048854.249999999534339,11610929.339999999850988
FS( 87 ),3328457.889999999664724,2548564.560000000521541,2729884.479999999515712,3061466.220000000204891,11668373.150000000372529
FS( 88 ),3370835.080000000074506,2568983.750000000000000,2765657.319999999366701,3090894.149999999906868,11796370.299999998882413
FS( 89 ),3376334.410000000149012,2600440.340000000316650,2780318.319999999366701,3155822.439999999944121,11912915.509999999776483
FS( 90 ),3386362.600000000093132,2673839.050000000745058,2792633.559999999590218,3174973.949999999720603,12027809.160000000149012
FS( 91 ),3412888.779999999795109,2655627.340000000316650,2812572.520000000018626,3161894.869999999646097,12042983.509999999776483
FS( 92 ),3457530.399999999441206,2687635.800000000745058,2833097.919999999925494,3193191.239999999757856,12171455.360000001266599
FS( 93 ),3295461.910000000149012,2681565.230000000447035,2846586.039999999571592,3176375.279999999795109,11999988.459999999031425
FS( 94 ),3418064.619999999646097,2703640.030000000260770,2845413.160000000149012,3158625.100000000093132,12125742.910000000149012
FS( 95 ),3371805.549999999813735,2669975.960000000428408,2828406.399999999441206,3125460.289999999571592,11995648.199999999254942
FS( 96 ),3389920.990000000223517,2729577.920000000391155,2822542.000000000000000,3093696.810000000055879,12035737.720000000670552
FS( 97 ),3481792.149999999441206,2717988.650000000372529,2779731.879999999888241,3295488.329999999608845,12275001.009999999776483
FS( 98 ),3460118.319999999366701,2724611.090000000316650,2802603.039999999571592,3337528.229999999981374,12324860.679999999701977
FS( 99 ),3456883.419999999925494,2718540.520000000484288,2798497.959999999497086,3371627.260000000242144,12345549.160000000149012
FS( 100 ),3486967.990000000223517,2715229.300000000745058,2810813.199999999720603,3395449.869999999646097,12408460.359999999403954
FS( 101 ),3459794.830000000074506,2701432.550000000745058,2801430.160000000149012,3387976.109999999869615,12350633.650000000372529
FS( 102 ),3451707.580000000074506,2749997.110000000335276,2824887.759999999776483,3392180.100000000093132,12418772.549999998882413
FS( 103 ),3416123.679999999701977,2727370.440000000409782,2843653.839999999850988,3373028.589999999385327,12360176.550000000745058
FS( 104 ),3390567.969999999739230,2750548.980000000447035,2834857.240000000223517,3400120.970000000204891,12376095.160000002011657
FS( 105 ),3420329.049999999813735,2755515.810000000521541,2817850.479999999515712,3375831.249999999534339,12369526.589999999850988
FS( 106 ),3399949.179999999701977,2753860.200000000186265,2824887.759999999776483,3402923.629999999422580,12381620.769999999552965
FS( 107 ),3451707.580000000074506,2782005.570000000298023,2848931.799999999813735,3417404.039999999571592,12500048.989999998360872
FS( 108 ),3490526.379999999888241,2846574.360000000335276,2846586.039999999571592,3375364.140000000130385,12559050.919999999925494
FS( 109 ),3477586.779999999795109,2866993.550000000745058,2845999.600000000093132,3425812.020000000018626,12616391.949999999254942
FS( 110 ),3462706.240000000223517,2833881.350000000558794,2840721.639999999664724,3421140.919999999459833,12558450.150000000372529
FS( 111 ),3442649.859999999869615,2852093.060000000521541,2847172.479999999515712,3406193.399999999906868,12548108.799999998882413
FS( 112 ),3423887.439999999944121,2900657.620000000577420,2842480.959999999497086,3418338.260000000242144,12585364.279999999329448
FS( 113 ),3407389.449999999720603,2989508.690000000409782,2837789.439999999944121,3406660.510000000242144,12641348.089999999850988
FS( 114 ),3372129.039999999571592,2945359.090000000316650,2842480.959999999497086,3381436.569999999832362,12541405.660000000149012
FS( 115 ),3436503.549999999813735,2976815.680000000167638,2840135.199999999720603,3426279.129999999422580,12679733.559999998658895
FS( 116 ),3369541.119999999646097,2966882.020000000484288,2848345.359999999869615,3386107.669999999459833,12570876.169999999925494
FS( 117 ),3323282.049999999813735,2919973.070000000298023,2813158.959999999497086,3335192.680000000167638,12391606.759999999776483
FS( 118 ),3347220.309999999590218,2899002.010000000242144,2797325.080000000074506,3336594.010000000242144,12380141.410000000149012
FS( 119 ),3387656.559999999590218,2878582.820000000298023,2790287.799999999813735,3349673.089999999385327,12406200.269999999552965
FS( 120 ),3384745.149999999441206,2903968.840000000316650,2789114.919999999925494,3384706.339999999385327,12462535.250000000000000
FS( 121 ),3361453.869999999646097,2918869.330000000540167,2783250.520000000018626,3356212.629999999422580,12419786.349999999627471
FS( 122 ),3401243.139999999664724,2922732.420000000391155,2803775.919999999925494,3361817.949999999720603,12489569.429999999701977
FS( 123 ),3412241.799999999813735,3044695.690000000409782,2799084.399999999441206,3388443.220000000204891,12644465.110000001266599
FS( 124 ),3413859.250000000000000,3037521.380000000353903,2792633.559999999590218,3380969.459999999497086,12624983.650000000372529
FS( 125 ),3338809.569999999366701,2951981.530000000260770,2762725.119999999646097,3340797.999999999534339,12394314.219999998807907
FS( 126 ),3340750.509999999776483,2943151.610000000335276,2761552.240000000223517,3341732.220000000204891,12387186.580000000074506
FS( 127 ),3394449.850000000093132,2948670.310000000521541,2762138.679999999701977,3383772.119999999646097,12489030.959999999031425
FS( 128 ),3361777.359999999869615,2939288.520000000484288,2773281.039999999571592,3351074.419999999459833,12425421.339999999850988
FS( 129 ),3397037.770000000018626,2942599.740000000223517,2768589.520000000018626,3389377.439999999944121,12497604.469999998807907
FS( 130 ),3441032.410000000149012,2969089.500000000000000,2796152.199999999720603,3426279.129999999422580,12632553.239999998360872
FS( 131 ),3450090.129999999888241,3018757.800000000745058,2786182.719999999739230,3458509.720000000204891,12713540.370000001043081
FS( 132 ),3431327.709999999497086,3030347.070000000298023,2785009.839999999850988,3459443.939999999944121,12706128.559999998658895
FS( 133 ),3467558.589999999850988,3050214.390000000596046,2799670.839999999850988,3468319.029999999795109,12785762.849999999627471
FS( 134 ),3499260.609999999869615,3142376.680000000167638,2813745.399999999441206,3486069.209999999497086,12941451.899999998509884
FS( 135 ),3533550.549999999813735,3131891.150000000372529,2823128.439999999944121,3511760.260000000242144,13000330.400000000372529
FS( 136 ),3551989.479999999515712,3054077.480000000447035,2806121.679999999701977,3491207.419999999459833,12903396.060000000521541
FS( 137 ),3601483.449999999720603,3133546.760000000242144,2802603.039999999571592,3479062.560000000055879,13016695.810000000521541
FS( 138 ),3741878.109999999869615,3128028.060000000521541,2826060.639999999664724,3508957.600000000093132,13204924.409999998286366
FS( 139 ),3788460.669999999925494,3120853.750000000000000,2815504.719999999739230,3471121.689999999944121,13195940.830000000074506
FS( 140 ),3830190.879999999888241,3211360.430000000167638,2838375.879999999888241,3411798.720000000204891,13291725.910000002011657
FS( 141 ),3850894.240000000223517,3191493.110000000335276,2830165.719999999739230,3309034.520000000018626,13181587.589999999850988
FS( 142 ),3772933.149999999441206,3120301.880000000353903,2815504.719999999739230,3296422.549999999348074,13005162.299999998882413
FS( 143 ),3801400.270000000018626,3083878.460000000428408,2796152.199999999720603,3354811.299999999348074,13036242.229999998584390
FS( 144 ),3849600.279999999795109,3073944.800000000745058,2787355.600000000093132,3378166.799999999348074,13089067.479999998584390
FS( 145 ),3833749.270000000018626,3132443.020000000484288,2795565.759999999776483,3362285.060000000055879,13124043.110000001266599
FS( 146 ),3861892.899999999441206,3142928.550000000745058,2796152.199999999720603,3370693.039999999571592,13171666.689999999478459
FS( 147 ),3841189.539999999571592,3066770.490000000223517,2802603.039999999571592,3362752.169999999459833,13073315.239999998360872
FS( 148 ),3801076.779999999795109,3018205.930000000167638,2792047.119999999646097,3345001.989999999757856,12956331.820000000298023
FS( 149 ),3809164.029999999795109,3011031.620000000577420,2858314.839999999850988,3390311.659999999683350,13068822.150000000372529
FS( 150 ),3812075.439999999944121,3041384.470000000204891,2836616.559999999590218,3389844.549999999348074,13079921.019999997690320
FS( 151 ),3727968.039999999571592,3046903.170000000391155,2836030.119999999646097,3387508.999999999534339,12998410.330000000074506
FS( 152 ),3791372.080000000074506,3142928.550000000745058,2828406.399999999441206,3409463.169999999459833,13172170.200000001117587
FS( 153 ),3774874.089999999850988,3092708.380000000353903,2808467.439999999944121,3371160.149999999906868,13047210.060000000521541
FS( 154 ),3734437.839999999850988,3027587.720000000204891,2800257.279999999795109,3338929.560000000055879,12901212.400000000372529
FS( 155 ),3703059.309999999590218,3059044.310000000521541,2772108.160000000149012,3334258.459999999497086,12868470.240000000223517
FS( 156 ),3846365.379999999888241,3174937.010000000242144,2785009.839999999850988,3455707.060000000055879,13262019.290000000968575
FS( 157 ),3816604.299999999813735,3227916.530000000260770,2773281.039999999571592,3469253.249999999534339,13287055.119999999180436
FS( 158 ),3864480.819999999366701,3208049.210000000428408,2741613.279999999795109,3490273.199999999720603,13304416.509999997913837
FS( 159 ),3823074.100000000093132,3177696.360000000335276,2731057.359999999869615,3450568.850000000093132,13182396.669999999925494
FS( 160 ),3892947.939999999944121,3232331.490000000223517,2766243.759999999776483,3512227.369999999646097,13403750.559999998658895
FS( 161 ),3956028.490000000223517,3252750.680000000167638,2762725.119999999646097,3333791.350000000093132,13305295.639999998733401
FS( 162 ),3963468.759999999776483,3246680.110000000335276,2733403.119999999646097,3211875.640000000130385,13155427.630000000819564
FS( 163 ),3929502.309999999590218,3250543.200000000186265,2727538.719999999739230,3185717.479999999981374,13093301.710000000894070
FS( 164 ),3962174.799999999813735,3265443.690000000409782,2725192.959999999497086,3216546.739999999757856,13169358.189999999478459
FS( 165 ),4173737.260000000242144,3225157.180000000167638,2730470.919999999925494,3176842.390000000130385,13306207.750000000000000
FS( 166 ),4172443.299999999348074,3192596.850000000558794,2710531.959999999497086,3158157.989999999757856,13233730.099999999627471
FS( 167 ),4243934.589999999850988,3105953.260000000242144,2729298.039999999571592,3158625.100000000093132,13237810.989999998360872
FS( 168 ),4201557.400000000372529,3073944.800000000745058,2659511.679999999701977,3126861.619999999646097,13061875.500000000000000
FS( 169 ),4194440.619999999180436,3100986.430000000167638,2672999.799999999813735,3180112.159999999683350,13148539.009999997913837
FS( 170 ),4195087.599999999627471,3085534.070000000298023,2653060.839999999850988,3176842.390000000130385,13110524.900000000372529
FS( 171 ),4221613.779999999329448,3102090.170000000391155,2644264.240000000223517,3188520.140000000130385,13156488.330000000074506
FS( 172 ),4303456.750000000000000,3061251.790000000502914,2652474.399999999441206,3205803.209999999497086,13222986.150000000372529
FS( 173 ),4295692.990000000223517,3018205.930000000167638,2681209.959999999497086,3220750.729999999981374,13215859.609999999403954
FS( 174 ),4320925.209999999031425,3043040.080000000540167,2660098.119999999646097,3210007.199999999720603,13234070.609999997541308
FS( 175 ),4305397.689999999478459,3085534.070000000298023,2695284.520000000018626,3283343.470000000204891,13369559.750000000000000
FS( 176 ),4254286.269999999552965,3039176.990000000223517,2687074.359999999869615,3258586.640000000130385,13239124.259999999776483
FS( 177 ),4318337.290000000968575,3117542.530000000260770,2744545.479999999515712,3293152.779999999795109,13473578.080000000074506
FS( 178 ),4287282.250000000000000,3116990.660000000149012,2756274.279999999795109,3293152.779999999795109,13453699.969999998807907
FS( 179 ),4280812.450000001117587,3091604.640000000596046,2790874.240000000223517,3267461.729999999981374,13430753.060000002384186
FS( 180 ),4307985.609999999403954,3112023.830000000540167,2776213.240000000223517,3316975.390000000130385,13513198.070000000298023
FS( 181 ),4370095.689999999478459,3151758.470000000204891,2804362.359999999869615,3337061.119999999646097,13663277.639999998733401
FS( 182 ),4402121.200000001117587,3161692.130000000353903,2819023.359999999869615,3357146.850000000093132,13739983.540000000968575
FS( 183 ),4475876.919999999925494,3133546.760000000242144,2815504.719999999739230,3348271.760000000242144,13773200.159999998286366
FS( 184 ),4431235.299999998882413,3120301.880000000353903,2819023.359999999869615,3345001.989999999757856,13715562.529999999329448
FS( 185 ),4284694.330000000074506,3085534.070000000298023,2822542.000000000000000,3362285.060000000055879,13555055.460000000894070
FS( 186 ),4300221.849999999627471,3114783.180000000167638,2851277.559999999590218,3405726.289999999571592,13672008.879999998956919
FS( 187 ),4398562.810000000521541,3116990.660000000149012,2870043.639999999664724,3444496.419999999459833,13830093.529999999329448
FS( 188 ),4302486.279999999329448,3065666.750000000000000,2912267.319999999366701,3459911.049999999348074,13740331.399999996647239
FS( 189 ),4360067.500000000000000,3048558.780000000260770,2907575.799999999813735,3480930.999999999534339,13797133.080000000074506
FS( 190 ),4358126.560000000521541,3072841.060000000521541,2922236.799999999813735,3473457.239999999757856,13826661.660000002011657
FS( 191 ),4342922.529999999329448,3070081.710000000428408,2922236.799999999813735,3479062.560000000055879,13814303.599999999627471
FS( 192 ),4340011.119999999180436,3142376.680000000167638,2942762.199999999720603,3464115.039999999571592,13889265.039999997243285
FS( 193 ),4270137.279999999329448,3043040.080000000540167,2918131.719999999739230,3444029.310000000055879,13675338.389999998733401
FS( 194 ),4253962.779999999329448,3056284.960000000428408,2891741.919999999925494,3440292.430000000167638,13642282.089999999850988
FS( 195 ),4293752.049999998882413,3034210.160000000149012,2862419.919999999925494,3398252.529999999795109,13588634.659999998286366
FS( 196 ),4373007.099999999627471,3086085.940000000409782,2896433.439999999944121,3433285.779999999795109,13788812.259999999776483
FS( 197 ),4356832.599999999627471,3206393.600000000558794,2906402.919999999925494,3443562.199999999720603,13913191.320000000298023
FS( 198 ),4325130.580000000074506,3283655.400000000372529,2898779.199999999720603,3458976.829999999608845,13966542.009999999776483
FS( 199 ),4288252.720000000670552,3226260.920000000391155,2870630.080000000074506,3369758.819999999832362,13754902.540000000968575
FS( 200 ),4301192.320000000298023,3203634.250000000000000,2833684.359999999869615,3316975.390000000130385,13655486.320000000298023
FS( 201 ),4329335.950000001117587,3263236.210000000428408,2837203.000000000000000,3292218.560000000055879,13721993.720000002533197
FS( 202 ),4358126.560000000521541,3269306.780000000260770,2820196.240000000223517,3319310.939999999944121,13766940.520000001415610
FS( 203 ),4395651.400000000372529,3316767.600000000558794,2809053.879999999888241,3303896.310000000055879,13825369.190000001341105
FS( 204 ),4383035.290000000968575,3419415.420000000391155,2867697.879999999888241,3380969.459999999497086,14051118.049999998882413
FS( 205 ),4372683.609999999403954,3450320.140000000596046,2861247.039999999571592,3381436.569999999832362,14065687.359999999403954
FS( 206 ),4421207.109999999403954,3440938.350000000558794,2892328.359999999869615,3426279.129999999422580,14180752.949999999254942
FS( 207 ),4412472.880000000819564,3448664.530000000260770,2894674.119999999646097,3472990.129999999422580,14228801.660000000149012
FS( 208 ),4426382.950000001117587,3491158.520000000484288,2897606.319999999366701,3462713.709999999497086,14277861.500000000000000
FS( 209 ),4472965.509999999776483,3525374.460000000428408,2915785.959999999497086,3496345.629999999422580,14410471.559999998658895
FS( 210 ),4428647.380000000819564,3504955.270000000484288,2919891.039999999571592,3488871.869999999646097,14342365.560000000521541
FS( 211 ),4396945.359999999403954,3504955.270000000484288,2928687.639999999664724,3493075.859999999869615,14323664.129999998956919
FS( 212 ),4415384.290000000968575,3489502.910000000149012,2935138.479999999515712,3517365.579999999608845,14357391.259999999776483
FS( 213 ),4421207.109999999403954,3447560.790000000502914,2902297.839999999850988,3483266.549999999348074,14254332.289999999105930
FS( 214 ),4451938.660000000149012,3432108.430000000167638,2916372.399999999441206,3508023.379999999422580,14308442.869999997317791
FS( 215 ),4477494.369999999180436,3426037.860000000335276,2916958.839999999850988,3467851.919999999459833,14288342.990000000223517
FS( 216 ),4545427.269999999552965,3387958.830000000540167,2938657.119999999646097,3573885.890000000130385,14445929.109999999403954
FS( 217 ),4555455.459999999031425,3391821.920000000391155,2919891.039999999571592,3532313.100000000093132,14399481.519999997690320
FS( 218 ),4597832.650000000372529,3348224.190000000409782,2904057.160000000149012,3553800.159999999683350,14403914.160000000149012
FS( 219 ),4590392.380000000819564,3356502.240000000223517,2925169.000000000000000,3489338.979999999981374,14361402.600000001490116
FS( 220 ),4551573.580000000074506,3292485.320000000298023,3115175.559999999590218,3453838.619999999646097,14413073.080000000074506
FS( 221 ),4529252.769999999552965,3352087.280000000260770,3108138.279999999795109,3457575.499999999534339,14447053.830000000074506
FS( 222 ),4548985.660000000149012,3383543.870000000577420,3079989.160000000149012,3495878.520000000018626,14508397.210000000894070
FS( 223 ),4535722.570000000298023,3386303.220000000204891,3078816.279999999795109,3398719.640000000130385,14399561.710000000894070
FS( 224 ),4543809.820000000298023,3385199.480000000447035,3046562.080000000074506,3387508.999999999534339,14363080.380000000819564
FS( 225 ),4582952.109999999403954,3609810.570000000298023,3039524.799999999813735,3417404.039999999571592,14649691.519999999552965
