代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13193807.890000000596046
真實報酬,3193807.890000000596046

夏普值報酬,0.310680789000000
夏普值風險,0.088609464168489
夏普值,3.506180653674283

二次趨勢線,-34.958774930700507 x^2 + 22270.667319452368247 x + 10000000.000000000000000
二次平均預期報酬,13461.056036915842924
風險,274486.309000344481319
二次平均趨勢值,0.049040901478620
一次趨勢線,15676.594460853919372 x + 10000000.000000000000000
一次預期報酬,15676.594460853919372
一次風險,369568.945659969816916
一次趨勢值,0.042418592376204
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](2),MRK[17](15),
FS( 40 ),3727219.129999999888241,3456677.520000000018626,3556517.370000000577420,10740415.020000001415610
FS( 41 ),3711800.100000000093132,3456677.520000000018626,3536530.710000000428408,10705009.330000000074506
FS( 42 ),3711800.100000000093132,3450631.220000000204891,3512102.570000000298023,10674534.890000000596046
FS( 43 ),3622089.379999999888241,3430678.430000000167638,3462135.920000000391155,10514904.730000000447035
FS( 44 ),3701987.990000000223517,3428864.540000000037253,3514323.310000000055879,10645176.839999999850988
FS( 45 ),3724415.669999999925494,3422818.240000000223517,3527647.750000000000000,10674882.660000000149012
FS( 46 ),3804314.280000000260770,3473002.529999999795109,3609815.129999999888241,10887132.940000001341105
FS( 47 ),3809921.200000000186265,3454863.629999999888241,3574283.290000000037253,10839069.120000001043081
FS( 48 ),3790296.979999999981374,3438538.620000000111759,3600932.170000000391155,10829768.769999999552965
FS( 49 ),3814126.390000000130385,3428259.910000000149012,3615366.980000000447035,10857754.280000001192093
FS( 50 ),3821135.040000000502914,3427050.649999999906868,3648678.080000000074506,10896864.769999999552965
FS( 51 ),3805716.009999999776483,3449421.959999999962747,3599821.800000000279397,10854960.769999999552965
FS( 52 ),3830947.149999999906868,3476630.310000000055879,3653119.560000000055879,10960698.019999999552965
FS( 53 ),3815528.120000000111759,3518954.410000000149012,3697534.359999999869615,11032017.890000000596046
FS( 54 ),3765065.839999999850988,3554022.950000000186265,3687541.030000000260770,11006630.820000000298023
FS( 55 ),3801510.820000000298023,3584254.450000000186265,3745280.270000000018626,11131046.540000000968575
FS( 56 ),3979530.530000000260770,3562487.770000000018626,3744169.899999999906868,11286189.200000001117587
FS( 57 ),4102882.770000000018626,3526814.600000000093132,3628691.420000000391155,11258389.790000000968575
FS( 58 ),4108489.689999999944121,3597556.310000000055879,3649788.450000000186265,11355835.449999999254942
FS( 59 ),4083258.549999999813735,3593323.899999999906868,3600932.170000000391155,11277515.619999999180436
FS( 60 ),4055223.950000000186265,3579417.410000000149012,3555407.000000000465661,11190049.360000001266599
FS( 61 ),3952897.660000000149012,3568534.070000000298023,3600932.170000000391155,11122364.900000000372529
FS( 62 ),3853374.829999999608845,3545558.129999999888241,3558738.109999999869615,10957672.069999998435378
FS( 63 ),3931871.709999999962747,3575789.629999999888241,3476570.729999999981374,10984233.070000000298023
FS( 64 ),3774877.950000000186265,3543744.240000000223517,3434376.670000000391155,10752999.860000001266599
FS( 65 ),3790296.979999999981374,3576998.889999999664724,3471018.880000000353903,10838315.750000000000000
FS( 66 ),3779083.140000000130385,3581835.930000000167638,3405507.050000000279397,10766427.120000001043081
FS( 67 ),3821135.040000000502914,3645322.080000000074506,3624249.940000000409782,11090708.060000002384186
FS( 68 ),3885614.620000000111759,3717273.049999999813735,3632022.530000000260770,11234911.199999999254942
FS( 69 ),3891221.540000000502914,3731784.169999999925494,3618698.090000000782311,11241704.800000000745058
FS( 70 ),4034198.000000000000000,3787410.129999999888241,3711969.170000000391155,11533578.300000000745058
FS( 71 ),4065036.060000000055879,3765643.450000000186265,3731955.830000000074506,11562636.339999999850988
FS( 72 ),4070642.979999999981374,3798898.100000000093132,3688651.399999999906868,11558193.480000000447035
FS( 73 ),4045411.839999999850988,3758992.520000000018626,3662002.520000000018626,11466407.879999998956919
FS( 74 ),4094472.390000000130385,3844245.350000000093132,3675326.960000000428408,11614045.700000001117587
FS( 75 ),4137926.020000000018626,3901685.200000000186265,3754163.230000000447035,11793775.450000001117587
FS( 76 ),4144934.669999999925494,3843640.720000000204891,3807460.990000000223517,11796037.380000000819564
FS( 77 ),4123908.720000000204891,3868430.549999999813735,3901842.440000000409782,11894182.710000000894070
FS( 78 ),4014573.780000000260770,3833966.639999999664724,3922939.470000000204891,11771480.890000000596046
FS( 79 ),4003359.939999999944121,3867825.919999999925494,4048411.280000000260770,11919598.140000000596046
FS( 80 ),4122506.990000000223517,3869035.180000000167638,4043969.800000000279397,12035512.970000000670552
FS( 81 ),4094472.390000000130385,3882941.669999999925494,4021762.399999999906868,11999177.460000000894070
FS( 82 ),4088865.470000000204891,3896848.160000000149012,4060625.350000000093132,12046339.980000000447035
FS( 83 ),4017377.240000000223517,3845454.610000000335276,4029534.990000000223517,11892367.839999999850988
FS( 84 ),4003359.939999999944121,3824292.560000000055879,4020652.030000000260770,11848305.530000001192093
FS( 85 ),3944487.280000000260770,3841826.830000000074506,4095046.820000000298023,11881361.929999999701977
FS( 86 ),3929068.250000000000000,3778945.310000000055879,4086163.859999999869615,11794178.419999999925494
FS( 87 ),3934675.169999999925494,3746899.919999999925494,4082832.750000000465661,11764408.839999999850988
FS( 88 ),3871597.320000000298023,3723923.980000000447035,4075060.160000000614673,11670582.460000000894070
FS( 89 ),3783288.329999999608845,3744481.399999999906868,4075060.160000000614673,11602830.890000000596046
FS( 90 ),3801510.820000000298023,3664670.240000000223517,4036197.210000000428408,11502379.270000001415610
FS( 91 ),3961308.040000000502914,3664065.610000000335276,4125026.810000000055879,11750401.460000000894070
FS( 92 ),3933273.439999999944121,3691273.959999999962747,4168331.240000000223517,11792879.640000000596046
FS( 93 ),3898230.189999999944121,3728156.389999999664724,4116143.850000000093132,11742531.429999999701977
FS( 94 ),3944487.280000000260770,3757178.629999999888241,4193869.750000000465661,11895536.660000000149012
FS( 95 ),3888418.079999999608845,3748713.810000000055879,4219408.259999999776483,11856541.149999998509884
FS( 96 ),3905238.839999999850988,3774108.270000000018626,4191649.010000000242144,11870997.119999999180436
FS( 97 ),3842160.990000000223517,3743876.770000000018626,4139461.620000000577420,11725500.380000000819564
FS( 98 ),3913649.220000000204891,3758992.520000000018626,4152786.060000000055879,11825428.800000000745058
FS( 99 ),3969718.419999999925494,3788619.389999999664724,4184986.790000000037253,11943325.599999999627471
FS( 100 ),4011770.320000000298023,3807362.919999999925494,4191649.010000000242144,12010783.250000000000000
FS( 101 ),4046813.570000000298023,3830943.490000000223517,4136130.510000000242144,12013888.570000000298023
FS( 102 ),4185584.839999999850988,3834571.270000000018626,4107260.890000000596046,12127418.000000000000000
FS( 103 ),4237448.849999999627471,3846059.240000000223517,4140571.990000000223517,12224081.080000000074506
FS( 104 ),4186986.570000000298023,3844849.980000000447035,4119474.960000000428408,12151312.510000001639128
FS( 105 ),4237448.849999999627471,3802525.879999999888241,4115033.480000000447035,12155009.210000000894070
FS( 106 ),4219226.359999999403954,3775317.529999999795109,4057294.240000000223517,12051839.129999998956919
FS( 107 ),4285107.669999999925494,3795874.950000000186265,4109481.629999999888241,12190465.250000000000000
FS( 108 ),4293518.050000000745058,3766852.709999999962747,4126137.179999999701977,12186508.940000001341105
FS( 109 ),4224833.279999999329448,3715459.160000000149012,4181655.679999999701977,12121949.119999999180436
FS( 110 ),4216422.900000000372529,3742667.509999999776483,4188317.899999999906868,12147409.310000000521541
FS( 111 ),4244457.500000000000000,3739039.730000000447035,4186097.160000000614673,12169595.390000000596046
FS( 112 ),4208012.519999999552965,3768061.970000000204891,4202752.710000000894070,12178828.200000001117587
FS( 113 ),4158951.970000000204891,3788619.389999999664724,4169441.609999999869615,12117013.969999998807907
FS( 114 ),4217824.630000000819564,3784386.980000000447035,4322672.669999999925494,12324885.280000001192093
FS( 115 ),4193995.220000000204891,3788014.759999999776483,4440371.890000000596046,12422382.870000001043081
FS( 116 ),4123908.720000000204891,3765643.450000000186265,4382632.650000000372529,12272185.820000000298023
FS( 117 ),4306133.619999999180436,3838199.049999999813735,4510325.199999999254942,12654658.869999997317791
FS( 118 ),4240252.310000000521541,3809781.439999999944121,4555850.370000001043081,12605885.120000001043081
FS( 119 ),4165960.620000000111759,3821269.410000000149012,4450365.220000000670552,12437596.250000000000000
FS( 120 ),3959906.310000000055879,3832757.379999999888241,4316010.449999999254942,12108675.139999998733401
FS( 121 ),4066437.790000000502914,3814618.480000000447035,4303796.380000000819564,12184853.650000002235174
FS( 122 ),4123908.720000000204891,3858151.840000000316650,4283809.720000000670552,12265871.280000001192093
FS( 123 ),4163157.160000000149012,3853314.799999999813735,4290471.939999999478459,12306944.899999998509884
FS( 124 ),3990744.370000000111759,3798898.100000000093132,4216077.150000000372529,12005720.620000001043081
FS( 125 ),3846366.180000000167638,3774712.899999999906868,4239394.919999999925494,11860475.000000000000000
FS( 126 ),3899631.919999999925494,3862988.879999999888241,4252719.359999999403954,12015341.160000000149012
FS( 127 ),3922059.600000000093132,3871453.700000000186265,4390405.240000000223517,12183919.540000000968575
FS( 128 ),3989342.640000000130385,3942800.039999999571592,4299354.900000000372529,12231498.580000000074506
FS( 129 ),3846366.180000000167638,3873267.590000000316650,4119474.960000000428408,11839109.730000000447035
FS( 130 ),3913649.220000000204891,3831548.120000000111759,4078391.270000000018626,11823589.609999999403954
FS( 131 ),3887016.350000000093132,3804339.770000000018626,4062846.090000000782311,11754203.210000000894070
FS( 132 ),3929068.250000000000000,3843640.720000000204891,4049521.649999999906868,11822231.620000001043081
FS( 133 ),3906640.570000000298023,3824292.560000000055879,4019541.660000000614673,11750475.790000000968575
FS( 134 ),3978128.799999999813735,3856942.580000000074506,4095046.820000000298023,11930119.199999999254942
FS( 135 ),4013172.049999999813735,3844849.980000000447035,4099488.300000000279397,11957511.330000000074506
FS( 136 ),4073446.439999999944121,3870244.440000000409782,4181655.679999999701977,12125347.560000000521541
FS( 137 ),4056625.680000000167638,3885360.190000000409782,4146123.840000000782311,12088110.710000000894070
FS( 138 ),4063634.329999999608845,3898662.050000000279397,4140571.990000000223517,12102869.370000001043081
FS( 139 ),4038403.189999999944121,3914382.429999999701977,4162779.390000000596046,12115566.009999999776483
FS( 140 ),4013172.049999999813735,3916196.319999999832362,4121695.700000000186265,12051065.070000000298023
FS( 141 ),3945889.009999999776483,3922242.620000000111759,4053963.129999999888241,11922095.759999999776483
FS( 142 ),4018778.970000000204891,3945823.190000000409782,4100598.670000000391155,12065201.830000000074506
FS( 143 ),4045411.839999999850988,3892615.750000000000000,4060625.350000000093132,11998653.939999999478459
FS( 144 ),4097275.850000000093132,3860570.360000000335276,4095046.820000000298023,12052894.030000001192093
FS( 145 ),4185584.839999999850988,3868430.549999999813735,4138351.250000000465661,12192367.640000000596046
FS( 146 ),4182781.379999999888241,3873872.219999999739230,4151675.690000000409782,12208330.289999999105930
FS( 147 ),4191191.759999999776483,3847268.500000000000000,4131689.030000000260770,12170150.289999999105930
FS( 148 ),4219226.359999999403954,3835175.899999999906868,4123916.440000000409782,12178319.699999999254942
FS( 149 ),4384630.500000000000000,3849687.020000000018626,4162779.390000000596046,12397097.910000000149012
FS( 150 ),4387433.960000000894070,3937358.370000000111759,4147234.210000000428408,12472027.540000000968575
FS( 151 ),4465930.839999999850988,3936149.109999999869615,4112812.740000000223517,12514893.689999999478459
FS( 152 ),4502375.820000000298023,3926475.029999999795109,4071729.050000000279397,12500580.900000000372529
FS( 153 ),4514991.390000000596046,3942800.039999999571592,4095046.820000000298023,12552839.250000000000000
FS( 154 ),4537419.070000000298023,3962148.200000000186265,4126137.179999999701977,12625705.449999999254942
FS( 155 ),4482751.599999999627471,3986333.400000000372529,4191649.010000000242144,12660735.009999999776483
FS( 156 ),4493965.439999999478459,3994798.219999999739230,4212746.039999999105930,12701510.699999999254942
FS( 157 ),4488358.520000001415610,4013541.750000000000000,4228291.220000000670552,12730192.490000002086163
FS( 158 ),4498170.630000000819564,4031680.650000000372529,4269374.910000000149012,12799227.190000001341105
FS( 159 ),4450511.810000000521541,4022611.200000000186265,4226070.480000000447035,12699194.490000002086163
FS( 160 ),4500974.089999999850988,4051633.440000000409782,4252719.359999999403954,12805327.890000000596046
FS( 161 ),4572462.320000000298023,4072190.859999999869615,4274926.759999999776483,12919580.939999999478459
FS( 162 ),4593488.270000001415610,4038936.209999999962747,4220518.630000000819564,12852944.110000001266599
FS( 163 ),4538820.800000000745058,4044982.510000000242144,4194980.120000001043081,12778784.430000001564622
FS( 164 ),4624326.330000000074506,4066749.190000000409782,4156117.170000000391155,12847193.689999999478459
FS( 165 ),4653762.660000000149012,4055261.219999999739230,4207194.189999999478459,12916219.069999998435378
FS( 166 ),4722447.429999999701977,4065539.929999999701977,4181655.679999999701977,12969644.039999999105930
FS( 167 ),4705626.669999999925494,4034099.169999999925494,4147234.210000000428408,12886961.050000000745058
FS( 168 ),4725250.890000000596046,4086097.350000000093132,4187207.530000000260770,12998556.769999999552965
FS( 169 ),4775713.169999999925494,4113305.700000000186265,4151675.690000000409782,13040695.560000002384186
FS( 170 ),4796739.119999999180436,4100003.840000000316650,4136130.510000000242144,13032874.469999998807907
FS( 171 ),4817765.070000000298023,4093352.910000000149012,4085053.490000000223517,12996172.470000000670552
FS( 172 ),4805149.500000000000000,4157443.690000000409782,4083943.120000000577420,13046537.310000002384186
FS( 173 ),4841594.480000000447035,4152606.650000000372529,4105040.149999999906868,13099242.280000001192093
FS( 174 ),4851406.589999999850988,4143537.200000000186265,4091715.710000000428408,13086660.500000000000000
FS( 175 ),4854210.050000000745058,4167117.770000000018626,4075060.160000000614673,13096388.980000000447035
FS( 176 ),4920091.359999999403954,4197349.269999999552965,4020652.030000000260770,13138093.660000000149012
FS( 177 ),4984570.939999999478459,4181628.889999999664724,4001775.740000000223517,13167976.569999998435378
FS( 178 ),4953732.880000000819564,4173768.700000000186265,3965133.530000000260770,13092636.110000003129244
FS( 179 ),4948125.959999999031425,4227580.769999999552965,3986230.560000000055879,13161938.289999999105930
FS( 180 ),4897663.679999999701977,4252975.230000000447035,4003996.480000000447035,13154636.390000000596046
FS( 181 ),5190625.250000000000000,4254184.490000000223517,3857427.640000000596046,13302238.380000000819564
FS( 182 ),5336405.169999999925494,4294694.699999999254942,3749721.750000000465661,13380822.619999999180436
FS( 183 ),5423312.429999999701977,4301950.259999999776483,3937374.280000000260770,13662637.969999998807907
FS( 184 ),5396679.560000000521541,4294090.070000000298023,3886297.260000000242144,13577067.890000000596046
FS( 185 ),5246694.449999999254942,4264463.199999999254942,3828558.020000000018626,13339716.669999998062849
FS( 186 ),5238284.070000000298023,4252975.230000000447035,3837440.980000000447035,13328701.280000001192093
FS( 187 ),5379858.800000000745058,4324321.570000000298023,3914056.510000000242144,13618237.880000000819564
FS( 188 ),5228471.959999999031425,4268090.980000000447035,3890738.740000000223517,13387302.679999999701977
FS( 189 ),5333601.709999999031425,4318275.269999999552965,3916277.250000000465661,13568155.229999998584390
FS( 190 ),5179411.410000000149012,4271114.130000000819564,3976237.230000000447035,13426763.770000001415610
FS( 191 ),5126145.669999999925494,4272323.390000000596046,3951809.090000000782311,13350279.150000002235174
FS( 192 ),4931305.199999999254942,4197349.269999999552965,3805240.250000000465661,12933895.719999998807907
FS( 193 ),4722447.429999999701977,4112096.440000000409782,3718631.390000000596046,12553176.260000001639128
FS( 194 ),5085495.500000000000000,4267486.349999999627471,3803019.510000000242144,13156002.359999999403954
FS( 195 ),5137359.509999999776483,4261440.050000000745058,3720852.129999999888241,13119652.690000001341105
FS( 196 ),5248096.179999999701977,4272928.019999999552965,3735286.940000000409782,13256312.140000000596046
FS( 197 ),5173804.490000000223517,4262649.310000000521541,3698644.730000000447035,13135099.530000001192093
FS( 198 ),5082692.039999999105930,4207627.980000000447035,3650898.820000000298023,12941219.839999999850988
FS( 199 ),5091102.419999999925494,4240882.630000000819564,3639795.120000000577420,12971781.170000001788139
FS( 200 ),5053255.709999999031425,4233627.070000000298023,3592049.210000000428408,12878932.990000000223517
FS( 201 ),4973357.099999999627471,4196140.009999999776483,3622029.200000000186265,12791527.309999998658895
FS( 202 ),4761695.869999999180436,4090934.389999999664724,3533199.600000000093132,12385830.859999997541308
FS( 203 ),4852808.320000000298023,4103026.990000000223517,3557627.740000000223517,12513464.050000000745058
FS( 204 ),4941117.310000000521541,4090934.389999999664724,3537641.080000000074506,12569693.779999999329448
FS( 205 ),4910279.250000000000000,4101817.730000000447035,3559848.480000000447035,12571946.460000000894070
FS( 206 ),4887851.570000000298023,3991170.440000000409782,3599821.800000000279397,12478844.810000002384186
FS( 207 ),5072879.929999999701977,4063121.410000000149012,3733066.200000000186265,12869068.539999999105930
FS( 208 ),5144368.160000000149012,4043168.620000000111759,3740838.790000000037253,12928376.570000000298023
FS( 209 ),5222865.039999999105930,4012332.490000000223517,3723072.870000000577420,12958271.400000000372529
FS( 210 ),5285942.890000000596046,4097585.319999999832362,3815233.580000000074506,13198762.790000000968575
FS( 211 ),5269122.130000000819564,4102422.359999999869615,3807460.990000000223517,13179006.480000000447035
FS( 212 ),5126145.669999999925494,4032889.910000000149012,3683099.550000000279397,12842136.130000000819564
FS( 213 ),5025221.109999999403954,4035913.060000000055879,3698644.730000000447035,12759779.900000000372529
FS( 214 ),4992981.320000000298023,4134467.750000000000000,3754163.230000000447035,12881613.300000000745058
FS( 215 ),4869629.080000000074506,4127212.190000000409782,3743059.530000000260770,12739901.800000000745058
FS( 216 ),5016810.730000000447035,4194326.120000001043081,3847434.310000000055879,13058572.160000002011657
FS( 217 ),5077085.119999999180436,4204604.830000000074506,3870752.080000000074506,13152443.029999999329448
FS( 218 ),5092504.150000000372529,4190093.709999999962747,3888518.000000000465661,13171116.859999999403954
FS( 219 ),5200437.359999999403954,4256603.009999999776483,3999555.000000000465661,13456596.369999999180436
FS( 220 ),5351824.199999999254942,4249952.080000000074506,3998444.629999999888241,13600221.910000000149012
FS( 221 ),5444338.380000000819564,4235440.959999999031425,3981789.080000000074506,13661569.419999999925494
FS( 222 ),5487792.009999999776483,4225162.250000000000000,3960692.050000000279397,13673647.310000000521541
FS( 223 ),5410696.859999999403954,4227580.769999999552965,3899621.700000000186265,13537900.329999998211861
FS( 224 ),5483586.820000000298023,4150188.129999999888241,3900732.070000000298023,13534508.019999999552965
FS( 225 ),5426115.890000000596046,4149583.500000000000000,3932932.800000000279397,13508633.190000001341105
FS( 226 ),5386867.449999999254942,4095166.800000000279397,3954029.830000000074506,13436065.080000000074506
FS( 227 ),5340610.359999999403954,4076423.270000000018626,3989561.670000000391155,13406596.299999998882413
FS( 228 ),5372850.150000000372529,4070981.600000000093132,3990672.040000000037253,13434504.789999999105930
FS( 229 ),5130350.859999999403954,4018378.789999999571592,3934043.170000000391155,13082773.819999998435378
FS( 230 ),5036434.949999999254942,3982705.620000000111759,3882966.149999999906868,12902107.720000000670552
FS( 231 ),4976160.560000000521541,4033494.539999999571592,3824116.540000000037253,12833772.640000000596046
FS( 232 ),4945322.500000000000000,3999030.629999999888241,3799688.399999999906868,12744042.529999999329448
FS( 233 ),4978964.020000001415610,3997216.740000000223517,3847434.310000000055879,12823616.070000002160668
FS( 234 ),5179411.410000000149012,4069772.340000000316650,3934043.170000000391155,13183227.919999999925494
FS( 235 ),5168197.570000000298023,4173164.069999999832362,3981789.080000000074506,13323151.720000000670552
FS( 236 ),5199035.630000000819564,4185256.669999999925494,4030645.359999999869615,13414938.660000000149012
FS( 237 ),5152778.539999999105930,4228790.029999999329448,4007327.590000000782311,13388897.160000000149012
FS( 238 ),5042041.869999999180436,4283206.730000000447035,4047300.910000000614673,13372550.509999999776483
FS( 239 ),5060264.359999999403954,4286834.509999999776483,4019541.660000000614673,13366641.529999999329448
FS( 240 ),5035033.220000000670552,4312833.599999999627471,4051742.390000000596046,13399610.210000000894070
FS( 241 ),5004195.160000000149012,4228790.029999999329448,3987340.929999999701977,13220327.119999999180436
FS( 242 ),4917287.900000000372529,4226976.140000000596046,3975126.859999999869615,13119391.900000000372529
FS( 243 ),5043443.599999999627471,4285020.620000001043081,3959581.679999999701977,13288046.900000000372529
FS( 244 ),5091102.419999999925494,4239068.740000000223517,3907394.290000000037253,13237566.449999999254942
FS( 245 ),5186420.060000000521541,4317066.009999999776483,3906283.920000000391155,13409770.990000000223517
FS( 246 ),5204642.550000000745058,4226371.509999999776483,3871862.450000000186265,13302877.510000001639128
FS( 247 ),5192026.980000000447035,4285020.620000001043081,3916277.250000000465661,13393325.850000001490116
FS( 248 ),5288746.349999999627471,4256603.009999999776483,3906283.920000000391155,13451634.279999999329448
FS( 249 ),5225668.500000000000000,4218511.320000000298023,3857427.640000000596046,13301608.460000000894070
FS( 250 ),5168197.570000000298023,4194930.750000000000000,3892959.480000000447035,13256088.800000000745058
FS( 251 ),5151376.810000000521541,4216092.800000000745058,3826337.280000000260770,13193807.890000000596046
