代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13199702.980000000447035
真實報酬,3199702.980000000447035

夏普值報酬,0.311270298000000
夏普值風險,0.095602205315664
夏普值,3.255890352866172

二次趨勢線,28.395857005285354 x^2 + 8041.893000214216954 x + 10000000.000000000000000
二次平均預期報酬,15140.857251535557225
風險,195854.365719194058329
二次平均趨勢值,0.077306713056597
一次趨勢線,13355.446402756351745 x + 10000000.000000000000000
一次預期報酬,13355.446402756351745
一次風險,278376.269073968927842
一次趨勢值,0.047976238948758
找到最佳解世代,2079
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
BA[2](1),DD[7](18),PG[21](14),UNH[23](5),V[25](3),
FS( 48 ),2079580.399999999906868,2010296.510000000009313,1990504.639999999664724,1913491.840000000083819,2229068.959999999962747,10222942.349999999627471
FS( 49 ),2070267.799999999813735,2013238.370000000111759,1983679.849999999627471,1913125.279999999795109,2216619.559999999590218,10196930.859999999403954
FS( 50 ),2011852.400000000139698,1974503.880000000121072,1974184.489999999757856,1878668.639999999897555,2178026.419999999925494,10017235.829999998211861
FS( 51 ),2004797.400000000139698,1947536.829999999841675,1967953.159999999683350,1878668.639999999897555,2178648.889999999664724,9977604.919999998062849
FS( 52 ),1997177.999999999767169,1936750.010000000009313,1982789.659999999683350,1902495.039999999804422,2220976.849999999627471,10040189.559999998658895
FS( 53 ),2030759.799999999580905,2009806.200000000186265,2015429.959999999962747,1939517.599999999860302,2266417.160000000149012,10261930.719999998807907
FS( 54 ),2047127.400000000139698,2010296.510000000009313,2026705.699999999720603,1947948.479999999981374,2277621.620000000111759,10309699.710000000894070
FS( 55 ),2064341.600000000093132,2012257.750000000000000,2031750.109999999869615,1962244.319999999832362,2282601.379999999888241,10353195.160000000149012
FS( 56 ),2080991.399999999674037,2051482.550000000279397,2064983.869999999878928,1976540.159999999916181,2305010.299999999813735,10479008.280000001192093
FS( 57 ),2095947.999999999767169,2065701.540000000037253,2061719.839999999850988,1962244.319999999832362,2291315.959999999962747,10476929.660000000149012
FS( 58 ),2102156.399999999441206,2074527.120000000111759,2047180.069999999599531,1927787.679999999934807,2284468.790000000037253,10436120.059999998658895
FS( 59 ),2090868.399999999906868,2085804.250000000000000,2060532.919999999692664,1933652.639999999897555,2291938.429999999701977,10462796.639999998733401
FS( 60 ),2091715.000000000000000,2094629.829999999841675,2062313.299999999813735,1992668.799999999813735,2306255.239999999292195,10547582.169999998062849
FS( 61 ),2096230.199999999953434,2107868.200000000186265,2072105.389999999664724,1993768.479999999981374,2329909.099999999627471,10599881.369999999180436
FS( 62 ),2088892.999999999767169,2046089.139999999897555,2064687.139999999664724,1975440.479999999981374,2313102.410000000149012,10488212.169999999925494
FS( 63 ),2089739.599999999860302,2045598.829999999841675,2056675.429999999934807,1962610.879999999888241,2296918.189999999478459,10451542.929999999701977
FS( 64 ),2084660.000000000000000,2059327.510000000009313,2059642.729999999748543,1973607.679999999934807,2304387.830000000074506,10481625.750000000000000
FS( 65 ),2087764.199999999953434,2069624.020000000018626,2075666.149999999906868,1966643.039999999804422,2310612.529999999329448,10510309.939999997615814
FS( 66 ),2106389.399999999441206,2115713.160000000149012,2085754.969999999972060,1974707.359999999869615,2311857.469999999739230,10594422.359999999403954
FS( 67 ),2131505.200000000186265,2137286.799999999813735,2083677.859999999869615,1986437.279999999795109,2313724.879999999888241,10652632.019999999552965
FS( 68 ),2139689.000000000000000,2168176.330000000074506,2096733.979999999748543,2007331.199999999720603,2317459.699999999254942,10729390.209999999031425
FS( 69 ),2129812.000000000000000,2175040.669999999925494,2099701.279999999795109,2025292.639999999897555,2301275.479999999515712,10731122.070000000298023
FS( 70 ),2097359.000000000000000,2166705.399999999441206,2081007.289999999571592,1993401.919999999925494,2290693.489999999292195,10629167.099999997764826
FS( 71 ),2088892.999999999767169,2193672.450000000186265,2075072.689999999944121,1981305.439999999711290,2285091.259999999776483,10624034.839999999850988
FS( 72 ),2106671.599999999627471,2221620.120000000111759,2075072.689999999944121,1992668.799999999813735,2320572.049999999813735,10716605.260000001639128
FS( 73 ),2131223.000000000000000,2289773.209999999962747,2076259.609999999869615,2014295.840000000083819,2345470.849999999627471,10857022.509999999776483
FS( 74 ),2130940.799999999813735,2264277.089999999850988,2057565.619999999878928,1997434.080000000074506,2321194.519999999552965,10771412.109999999403954
FS( 75 ),2150412.599999999627471,2268689.879999999888241,2071808.659999999683350,2032990.399999999906868,2372859.529999999329448,10896761.069999998435378
FS( 76 ),2149566.000000000000000,2233877.870000000111759,2039168.359999999869615,2017228.319999999832362,2346093.319999999366701,10785933.870000001043081
FS( 77 ),2143922.000000000000000,2247116.240000000223517,2033233.759999999776483,2010630.239999999990687,2352940.489999999292195,10787842.730000000447035
FS( 78 ),2145333.000000000000000,2263786.780000000260770,2017803.799999999813735,1987536.959999999962747,2330531.569999999366701,10744992.109999999403954
FS( 79 ),2139971.200000000186265,2242703.450000000186265,2016913.609999999869615,1995601.279999999795109,2324929.339999999850988,10720118.879999998956919
FS( 80 ),2107800.399999999441206,2207891.440000000409782,1992581.750000000000000,1974340.799999999813735,2313102.410000000149012,10595716.800000000745058
FS( 81 ),2126707.799999999813735,2257412.750000000000000,2014539.769999999785796,1988270.080000000074506,2359165.189999999478459,10746095.589999999850988
FS( 82 ),2174964.000000000000000,2307914.679999999701977,2059049.269999999785796,1999266.879999999888241,2418299.839999999850988,10959494.669999998062849
FS( 83 ),2186252.000000000000000,2314779.020000000484288,2045993.149999999906868,1905794.080000000074506,2420167.250000000000000,10872985.500000000000000
FS( 84 ),2192460.399999999441206,2348120.099999999627471,2050147.369999999878928,1909459.679999999934807,2439463.819999999366701,10939651.369999997317791
FS( 85 ),2148437.200000000186265,2345668.549999999813735,2036201.060000000055879,1909459.679999999934807,2456892.979999999515712,10896659.469999998807907
FS( 86 ),2091997.199999999720603,2311346.849999999627471,2032937.030000000027940,1884167.039999999804422,2479924.370000000111759,10800372.489999998360872
FS( 87 ),2166215.799999999813735,2339294.520000000484288,2043916.039999999571592,1919723.359999999869615,2517895.040000000037253,10987044.759999997913837
FS( 88 ),2175528.400000000372529,2362829.399999999441206,2055488.509999999776483,1946848.799999999813735,2497976.000000000000000,11038671.109999999403954
FS( 89 ),2121063.799999999813735,2364300.330000000074506,2054004.859999999869615,1936218.559999999823049,2507935.519999999552965,10983523.070000000298023
FS( 90 ),2160289.599999999627471,2393718.929999999701977,2066170.789999999571592,1956012.799999999813735,2499843.410000000149012,11076035.529999997466803
FS( 91 ),2171295.399999999441206,2380480.559999999590218,2073589.039999999571592,1965543.359999999869615,2496731.059999999590218,11087639.419999998062849
FS( 92 ),2097923.400000000372529,2350081.339999999850988,2057565.619999999878928,1967009.599999999860302,2492996.239999999292195,10965576.199999999254942
FS( 93 ),2123885.799999999813735,2360868.160000000149012,2067357.709999999962747,1994135.039999999804422,2488016.479999999515712,11034263.189999997615814
FS( 94 ),2117677.400000000372529,2359887.540000000037253,2075369.419999999692664,2000000.000000000000000,2463117.679999999701977,11016052.039999999105930
FS( 95 ),2092843.799999999813735,2370674.360000000335276,2075666.149999999906868,2053517.760000000009313,2474944.609999999403954,11067646.679999999701977
FS( 96 ),2096512.400000000139698,2379499.940000000409782,2097624.169999999925494,2049485.599999999860302,2474944.609999999403954,11098066.720000000670552
FS( 97 ),2125579.000000000000000,2404015.440000000409782,2089612.459999999962747,2060848.959999999962747,2483036.719999999739230,11163092.579999998211861
FS( 98 ),2117395.200000000186265,2414802.259999999776483,2173587.049999999813735,2054250.879999999888241,2487394.009999999776483,11247429.400000000372529
FS( 99 ),2088328.599999999860302,2403525.129999999888241,2189017.009999999776483,2045820.000000000000000,2433239.120000000111759,11159929.859999999403954
FS( 100 ),2078451.600000000093132,2425098.770000000484288,2225514.799999999813735,2063048.319999999832362,2438218.879999999888241,11230332.370000001043081
FS( 101 ),2104978.400000000372529,2416763.500000000000000,2227888.639999999664724,2055717.119999999878928,2412075.139999999664724,11217422.800000000745058
FS( 102 ),2084660.000000000000000,2248587.169999999925494,2230262.479999999515712,2023826.399999999906868,2457515.449999999254942,11044851.499999998137355
FS( 103 ),2112880.000000000000000,2275554.219999999739230,2252813.959999999962747,2044353.760000000009313,2467474.969999999739230,11153076.910000000149012
FS( 104 ),2122474.799999999813735,2243684.070000000298023,2232933.049999999813735,2043620.639999999897555,2437596.410000000149012,11080308.970000000670552
FS( 105 ),2141664.399999999441206,2255941.820000000298023,2246285.899999999906868,2117665.759999999776483,2482414.250000000000000,11243972.129999998956919
FS( 106 ),2152952.400000000372529,2271631.740000000223517,2259638.750000000000000,2103369.919999999925494,2502955.759999999776483,11290548.570000000298023
FS( 107 ),2185123.200000000186265,2248587.169999999925494,2259638.750000000000000,2091273.439999999711290,2444443.580000000074506,11229066.140000000596046
FS( 108 ),2160571.799999999813735,2263786.780000000260770,2247769.549999999813735,2116566.080000000074506,2455648.040000000037253,11244342.250000000000000
FS( 109 ),2141100.000000000000000,2267709.259999999776483,2249549.929999999701977,2093839.359999999869615,2432616.649999999441206,11184815.199999999254942
FS( 110 ),2144486.399999999441206,2287321.660000000149012,2254594.339999999850988,2089807.199999999720603,2440086.290000000037253,11216295.890000000596046
FS( 111 ),2110340.200000000186265,2304482.509999999776483,2271804.679999999701977,2097871.519999999552965,2408340.319999999366701,11192839.230000000447035
FS( 112 ),2114573.200000000186265,2268689.879999999888241,2278332.739999999757856,2091273.439999999711290,2427014.419999999925494,11179883.679999999701977
FS( 113 ),2117395.200000000186265,2245645.309999999590218,2271211.220000000204891,2101170.559999999590218,2458760.389999999664724,11194182.679999999701977
FS( 114 ),2106671.599999999627471,2248587.169999999925494,2296136.539999999571592,2076977.599999999860302,2452535.689999999478459,11180908.599999997764826
FS( 115 ),2110340.200000000186265,2209362.370000000111759,2287234.639999999664724,2023826.399999999906868,2418299.839999999850988,11049063.449999999254942
FS( 116 ),2145050.799999999813735,2153467.030000000260770,2286047.720000000204891,2024926.080000000074506,2450045.809999999590218,11059537.440000001341105
FS( 117 ),2163393.799999999813735,2191220.899999999441206,2284564.069999999832362,1996700.959999999962747,2481169.309999999590218,11117049.039999999105930
FS( 118 ),2117395.200000000186265,2139248.040000000037253,2252813.959999999962747,1953813.439999999711290,2425769.479999999515712,10889040.120000001043081
FS( 119 ),2134891.599999999627471,2156899.200000000186265,2257561.639999999664724,1944649.439999999711290,2456270.509999999776483,10950272.389999998733401
FS( 120 ),2183147.799999999813735,2221129.809999999590218,2277442.549999999813735,1974707.359999999869615,2488016.479999999515712,11144444.000000000000000
FS( 121 ),2170166.599999999627471,2214755.780000000260770,2260528.939999999944121,1959311.840000000083819,2468719.910000000149012,11073483.070000000298023
FS( 122 ),2180890.200000000186265,2221129.809999999590218,2269727.569999999832362,1961877.760000000009313,2460005.330000000074506,11093630.669999999925494
FS( 123 ),2175528.400000000372529,2228974.770000000484288,2275365.439999999944121,1954546.559999999823049,2482414.250000000000000,11116829.420000001788139
FS( 124 ),2219833.799999999813735,2248587.169999999925494,2286344.449999999720603,1961144.639999999897555,2494241.179999999701977,11210151.240000000223517
FS( 125 ),2231686.200000000186265,2283889.490000000223517,2290795.399999999906868,1965176.799999999813735,2506690.580000000074506,11278238.470000000670552
FS( 126 ),2287279.599999999627471,2269180.190000000409782,2281893.500000000000000,1972141.439999999711290,2497976.000000000000000,11308470.730000000447035
FS( 127 ),2292359.200000000186265,2288302.280000000260770,2290201.939999999944121,1972508.000000000000000,2500465.879999999888241,11343837.300000000745058
FS( 128 ),2340615.399999999441206,2303501.889999999664724,2295246.349999999627471,1987170.399999999906868,2508557.989999999292195,11435092.029999997466803
FS( 129 ),2375043.799999999813735,2321153.049999999813735,2289905.209999999962747,2009897.119999999878928,2486771.540000000037253,11482770.719999998807907
FS( 130 ),2391693.599999999627471,2318701.500000000000000,2278926.199999999720603,1997067.519999999785796,2479924.370000000111759,11466313.189999997615814
FS( 131 ),2388025.000000000000000,2351061.959999999962747,2296433.270000000018626,2006231.519999999785796,2500465.879999999888241,11542217.629999998956919
FS( 132 ),2439103.200000000186265,2360868.160000000149012,2265276.620000000111759,2006231.519999999785796,2467474.969999999739230,11538954.469999998807907
FS( 133 ),2403828.200000000186265,2323114.290000000037253,2259935.479999999515712,2016128.639999999897555,2460005.330000000074506,11463011.939999999478459
FS( 134 ),2413140.799999999813735,2317720.879999999888241,2288124.829999999608845,2022360.159999999916181,2427636.889999999664724,11468983.559999998658895
FS( 135 ),2409190.000000000000000,2334881.729999999515712,2302071.139999999664724,2011729.919999999925494,2479301.899999999441206,11537174.689999997615814
FS( 136 ),2379841.200000000186265,2267709.259999999776483,2291092.129999999422580,2018328.000000000000000,2455648.040000000037253,11412618.629999998956919
FS( 137 ),2393669.000000000000000,2288792.589999999850988,2292872.509999999776483,1996334.399999999906868,2491128.830000000074506,11462797.330000000074506
FS( 138 ),2394515.599999999627471,2254470.889999999664724,2275365.439999999944121,2010996.799999999813735,2552130.889999999664724,11487479.620000001043081
FS( 139 ),2444465.000000000000000,2234368.179999999701977,2296730.000000000000000,2039955.039999999804422,2606285.779999999329448,11621803.999999998137355
FS( 140 ),2432612.599999999627471,2219168.570000000298023,2286641.179999999701977,2075511.359999999869615,2624959.879999999888241,11638893.589999999850988
FS( 141 ),2422735.599999999627471,2223091.049999999813735,2286641.179999999701977,2097138.399999999906868,2643011.509999999776483,11672617.739999998360872
FS( 142 ),2405803.599999999627471,2190240.280000000260770,2305631.899999999906868,2161652.959999999962747,2604418.370000000111759,11667747.109999999403954
FS( 143 ),2373068.400000000372529,2161311.990000000223517,2343019.879999999422580,2263190.080000000074506,2613755.419999999925494,11754345.769999999552965
FS( 144 ),2380687.799999999813735,2164744.160000000149012,2318094.560000000055879,2260624.160000000149012,2563957.819999999366701,11688108.500000000000000
FS( 145 ),2397337.599999999627471,2194653.070000000298023,2330557.220000000204891,2273820.320000000298023,2590724.029999999329448,11787092.240000000223517
FS( 146 ),2431766.000000000000000,2157389.509999999776483,2321358.589999999850988,2276386.240000000223517,2570182.519999999552965,11757082.859999999403954
FS( 147 ),2448133.599999999627471,2142189.899999999441206,2337975.470000000204891,2268688.479999999515712,2587611.679999999701977,11784599.129999998956919
FS( 148 ),2461114.799999999813735,2195143.379999999888241,2322248.779999999795109,2279318.719999999739230,2563957.819999999366701,11821783.500000000000000
FS( 149 ),2478329.000000000000000,2222600.740000000223517,2351328.319999999832362,2287749.599999999627471,2598816.139999999664724,11938823.800000000745058
FS( 150 ),2498365.200000000186265,2224561.979999999515712,2364087.709999999962747,2308643.519999999552965,2608775.660000000149012,12004434.070000000298023
FS( 151 ),2508524.399999999441206,2216717.020000000484288,2376253.639999999664724,2310476.320000000298023,2579519.569999999366701,11991490.949999999254942
FS( 152 ),2448698.000000000000000,2107377.889999999664724,2363494.250000000000000,2257691.679999999701977,2509802.929999999701977,11687064.750000000000000
FS( 153 ),2452084.399999999441206,2113751.919999999925494,2376847.099999999627471,2302412.000000000000000,2563335.349999999627471,11808430.769999997690320
FS( 154 ),2446440.399999999441206,2115713.160000000149012,2345987.179999999701977,2273820.320000000298023,2524742.209999999962747,11706703.269999999552965
FS( 155 ),2430355.000000000000000,2107377.889999999664724,2370022.310000000055879,2188045.280000000260770,2511670.339999999850988,11607470.820000000298023
FS( 156 ),2482279.799999999813735,2133364.320000000298023,2416312.189999999944121,2200874.879999999888241,2551508.419999999925494,11784339.610000001266599
FS( 157 ),2453495.399999999441206,2163763.540000000037253,2415422.000000000000000,2170816.959999999962747,2544661.250000000000000,11748159.149999998509884
FS( 158 ),2488488.200000000186265,2210833.299999999813735,2449249.220000000204891,2145890.879999999888241,2578274.629999999888241,11872736.230000000447035
FS( 159 ),2563271.200000000186265,2246135.620000000111759,2288421.560000000055879,2155054.879999999888241,2600061.080000000074506,11852944.340000001713634
FS( 160 ),2586976.000000000000000,2372145.290000000037253,2272398.139999999664724,2175215.679999999701977,2626204.819999999366701,12032939.929999999701977
FS( 161 ),2620275.599999999627471,2333410.799999999813735,2287828.099999999627471,2180347.519999999552965,2602550.959999999962747,12024412.980000000447035
FS( 162 ),2593466.599999999627471,2364790.639999999664724,2305038.439999999944121,2199775.200000000186265,2613132.949999999254942,12076203.829999998211861
FS( 163 ),2579638.799999999813735,2367732.500000000000000,2278036.009999999776483,2196842.719999999739230,2621847.529999999329448,12044097.559999998658895
FS( 164 ),2573148.200000000186265,2314779.020000000484288,2284564.069999999832362,2189144.959999999962747,2583876.859999999403954,11945513.109999999403954
FS( 165 ),2602214.799999999813735,2312817.780000000260770,2307412.279999999795109,2180347.519999999552965,2729534.839999999850988,12132327.219999998807907
FS( 166 ),2645391.399999999441206,2371164.669999999925494,2320171.669999999925494,2159820.160000000149012,2794271.719999999739230,12290819.619999997317791
FS( 167 ),2658090.399999999441206,2374596.839999999850988,2307115.549999999813735,2206739.839999999850988,2783689.729999999515712,12330232.359999999403954
FS( 168 ),2675022.400000000372529,2411860.399999999441206,2312753.419999999925494,2217736.639999999664724,2798006.540000000037253,12415379.399999998509884
FS( 169 ),2653857.400000000372529,2409899.160000000149012,2327589.919999999925494,2291415.200000000186265,2789914.429999999701977,12472676.109999999403954
FS( 170 ),2669942.799999999813735,2438337.139999999664724,2320765.129999999422580,2273087.200000000186265,2779332.439999999478459,12481464.709999999031425
FS( 171 ),2659501.399999999441206,2405976.679999999701977,2337085.279999999795109,2306077.599999999627471,2781822.319999999366701,12490463.279999997466803
FS( 172 ),2674175.799999999813735,2398622.030000000260770,2332040.870000000111759,2287016.479999999515712,2784312.199999999254942,12476167.379999998956919
FS( 173 ),2712272.799999999813735,2438827.450000000186265,2358153.109999999869615,2262823.519999999552965,2806098.649999999441206,12578175.529999997466803
FS( 174 ),2737953.000000000000000,2467755.740000000223517,2394057.439999999944121,2258424.799999999813735,2828507.569999999366701,12686698.550000000745058
FS( 175 ),2725536.200000000186265,2451085.200000000186265,2379814.399999999906868,2277852.479999999515712,2798006.540000000037253,12632294.820000000298023
FS( 176 ),2791571.000000000000000,2501096.820000000298023,2374473.259999999776483,2303511.679999999701977,2872080.469999999739230,12842733.230000000447035
FS( 177 ),2785927.000000000000000,2486387.520000000484288,2346877.370000000111759,2293248.000000000000000,2826017.689999999478459,12738457.580000000074506
FS( 178 ),2786773.599999999627471,2498154.959999999962747,2338272.199999999720603,2304611.359999999403954,2825395.219999999739230,12753207.339999999850988
FS( 179 ),2763633.200000000186265,2452065.820000000298023,2338865.659999999683350,2282984.320000000298023,2803608.769999999552965,12641157.769999999552965
FS( 180 ),2814993.599999999627471,2451085.200000000186265,2335304.899999999906868,2285916.799999999813735,2771862.799999999813735,12659163.300000000745058
FS( 181 ),2822048.599999999627471,2449614.270000000484288,2429665.039999999571592,2274920.000000000000000,2807966.059999999590218,12784213.969999998807907
FS( 182 ),2825152.799999999813735,2446672.410000000149012,2399398.579999999608845,2321839.679999999701977,2801741.359999999403954,12794804.829999998211861
FS( 183 ),2796368.400000000372529,2439808.070000000298023,2341239.500000000000000,2322206.240000000223517,2772485.269999999552965,12672107.480000000447035
FS( 184 ),2837287.400000000372529,2430001.870000000111759,2346877.370000000111759,2370225.599999999627471,2817303.109999999403954,12801695.349999999627471
FS( 185 ),2794393.000000000000000,2405976.679999999701977,2277739.279999999795109,2295813.919999999925494,2772485.269999999552965,12546408.149999998509884
FS( 186 ),2842931.399999999441206,2397641.410000000149012,2304444.979999999515712,2302045.439999999478459,2804231.239999999292195,12651294.469999998807907
FS( 187 ),2811042.799999999813735,2417253.809999999590218,2295839.810000000055879,2285916.799999999813735,2804231.239999999292195,12614284.459999997168779
FS( 188 ),2779436.399999999441206,2350081.339999999850988,2274771.979999999515712,2263556.639999999664724,2758168.459999999962747,12426014.820000000298023
FS( 189 ),2815275.799999999813735,2366261.570000000298023,2279519.659999999683350,2269788.160000000149012,2791159.370000000111759,12522004.559999998658895
FS( 190 ),2892316.399999999441206,2398622.030000000260770,2307115.549999999813735,2293614.559999999590218,2800496.419999999925494,12692164.959999999031425
FS( 191 ),2885261.399999999441206,2397151.099999999627471,2316610.909999999683350,2334302.719999999739230,2837222.149999999441206,12770548.279999997466803
FS( 192 ),2871433.599999999627471,2374106.530000000260770,2318094.560000000055879,2343466.719999999739230,2796139.129999999888241,12703240.539999999105930
