代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,17703234.549999997019768
真實報酬,7703234.549999997019768

夏普值報酬,0.761623455000000
夏普值風險,0.153234965628757
夏普值,4.970298077040644

二次趨勢線,-76.610023605327470 x^2 + 50915.191821035543398 x + 10000000.000000000000000
二次平均預期報酬,31609.465872493019560
風險,361864.369863399653696
二次平均趨勢值,0.087351694460622
一次趨勢線,36464.683233309311618 x + 10000000.000000000000000
一次預期報酬,36464.683233309311618
一次風險,651949.204206722904928
一次趨勢值,0.055931785786408
找到最佳解世代,2626
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),BA[2](19),JNJ[12](7),MMM[16](2),MRK[17](13),MSFT[18](5),PG[21](12),
FS( 80 ),2176973.620000000111759,2123724.240000000223517,1639930.989999999757856,1902751.119999999878928,1530349.149999999906868,2111642.149999999906868,1540733.719999999972060,13026107.990000000223517
FS( 81 ),2213370.099999999627471,2000281.290000000037253,1653345.939999999944121,1916756.439999999711290,1551070.449999999953434,2123403.640000000130385,1540733.719999999972060,12998964.580000000074506
FS( 82 ),2272514.379999999888241,2058856.179999999934807,1677492.850000000093132,1964107.759999999776483,1619328.849999999860302,2152355.000000000000000,1575174.989999999990687,13319833.009999999776483
FS( 83 ),2314597.810000000521541,2027390.330000000074506,1687330.479999999981374,1976112.319999999832362,1645535.199999999953434,2112546.880000000353903,1577308.520000000018626,13340824.540000000968575
FS( 84 ),2306636.080000000074506,2064665.259999999776483,1698062.439999999944121,1999454.519999999785796,1697338.449999999953434,2158688.109999999869615,1591938.439999999944121,13516786.299999997019768
FS( 85 ),2314597.810000000521541,2057403.909999999916181,1693292.679999999701977,2004122.959999999962747,1704042.399999999906868,2150545.540000000037253,1557497.170000000158325,13481505.470000000670552
FS( 86 ),2320284.759999999776483,2044333.479999999748543,1701341.649999999906868,2025464.399999999906868,1709527.449999999953434,2174973.250000000000000,1584928.270000000018626,13560856.259999997913837
FS( 87 ),2274789.160000000149012,1976560.879999999888241,1668847.659999999683350,2009124.859999999869615,1646144.650000000139698,2114356.340000000316650,1557801.959999999962747,13247628.509999997913837
FS( 88 ),2252041.360000000335276,1963490.449999999953434,1687926.699999999720603,2023130.179999999934807,1699776.250000000000000,2098975.930000000167638,1590109.700000000186265,13315453.570000000298023
FS( 89 ),2199721.419999999925494,1889908.769999999785796,1676300.409999999683350,1959439.319999999832362,1683321.100000000093132,2038359.020000000251457,1582185.159999999916181,13029238.199999999254942
FS( 90 ),2229293.560000000521541,1914597.359999999869615,1701639.759999999776483,1968109.280000000027940,1708918.000000000000000,2041073.209999999962747,1604434.830000000074506,13168069.000000001862645
FS( 91 ),2215644.879999999888241,1902495.109999999869615,1690013.469999999739230,1970443.500000000000000,1646144.650000000139698,2030216.450000000186265,1597424.659999999916181,13052385.719999998807907
FS( 92 ),2250903.969999999739230,1919438.259999999776483,1697168.109999999869615,1993785.699999999953434,1612015.449999999953434,2025692.800000000046566,1591633.649999999906868,13090640.940000001341105
FS( 93 ),2312323.029999999329448,1957681.369999999878928,1720718.799999999813735,2017127.899999999906868,1634565.099999999860302,2101690.120000000111759,1614797.689999999944121,13358907.009999999776483
FS( 94 ),2311185.639999999664724,1956229.099999999860302,1735922.409999999683350,2021796.339999999850988,1655286.399999999906868,2090833.360000000102445,1631865.929999999934807,13403122.179999997839332
FS( 95 ),2386253.379999999888241,2002217.649999999906868,1757684.439999999944121,2067480.359999999869615,1688806.149999999906868,2182211.090000000316650,1665697.619999999878928,13750353.689999997615814
FS( 96 ),2396489.889999999664724,2035619.859999999869615,1766329.629999999888241,2114164.759999999776483,1698557.350000000093132,2211162.450000000186265,1682765.860000000102445,13905092.800000000745058
FS( 97 ),2465870.679999999701977,2002217.649999999906868,1765733.409999999683350,2098158.679999999701977,1686977.800000000046566,2197591.500000000000000,1704405.950000000186265,13920958.670000001788139
FS( 98 ),2484068.919999999925494,2042881.209999999962747,1760665.540000000037253,2128837.000000000000000,1702823.500000000000000,2219305.020000000018626,1693433.510000000009313,14032017.699999999254942
FS( 99 ),2461321.120000000111759,2082576.590000000083819,1773484.270000000018626,2140841.560000000055879,1807039.449999999953434,2246446.919999999925494,1691299.979999999981374,14203012.890000000596046
FS( 100 ),2546625.370000000111759,2033199.409999999916181,1764540.969999999739230,2156514.179999999701977,1794850.449999999953434,2243732.729999999981374,1672403.000000000000000,14211869.109999999403954
FS( 101 ),2564823.610000000335276,2030778.959999999962747,1795246.299999999813735,2315241.140000000130385,1843606.449999999953434,2312492.209999999962747,1681241.909999999916181,14543433.579999998211861
FS( 102 ),2600082.700000000186265,2051110.739999999757856,1833702.489999999757856,2314907.679999999701977,1888705.749999999767169,2121594.180000000167638,1701967.630000000121072,14512074.169999999925494
FS( 103 ),2601220.089999999850988,2044817.570000000065193,1826547.850000000093132,2331247.219999999739230,1875297.849999999860302,2090833.360000000102445,1700138.890000000130385,14470105.830000000074506
FS( 104 ),2600082.700000000186265,2093710.659999999916181,1816114.000000000000000,2330246.839999999850988,1829589.099999999860302,2123403.640000000130385,1698005.360000000102445,14491155.299999998882413
FS( 105 ),2600082.700000000186265,2099519.740000000223517,1823268.639999999897555,2291565.479999999981374,1820447.350000000093132,2153259.729999999981374,1710501.750000000000000,14498648.390000000596046
FS( 106 ),2645578.299999999813735,2093226.570000000065193,1842049.569999999832362,2330913.760000000242144,1824713.500000000000000,2154164.459999999962747,1713854.439999999944121,14604503.599999999627471
FS( 107 ),2654677.419999999925494,2077251.599999999860302,1815219.669999999925494,2351588.279999999795109,1828979.650000000139698,2127927.290000000037253,1691909.560000000055879,14547556.470000000670552
FS( 108 ),2704722.580000000074506,2119851.519999999552965,1821479.979999999981374,2405608.799999999813735,1829589.099999999860302,2155973.919999999925494,1694957.459999999962747,14732186.359999999403954
FS( 109 ),2689936.509999999776483,2137762.849999999627471,1820287.540000000037253,2401940.739999999757856,1818619.000000000000000,2150545.540000000037253,1690385.610000000102445,14709480.789999999105930
FS( 110 ),2683112.169999999925494,2131469.679999999701977,1802102.830000000074506,2395271.540000000037253,1804601.649999999906868,2154164.459999999962747,1643143.159999999916181,14613868.489999998360872
FS( 111 ),2663776.540000000037253,2203599.089999999850988,1786601.109999999869615,2414278.760000000242144,1789365.399999999906868,2122498.910000000149012,1568469.610000000102445,14548592.419999999925494
FS( 112 ),2688799.120000000111759,2260237.620000000111759,1785706.779999999795109,2430951.760000000242144,1834464.699999999953434,2131546.209999999962747,1585842.640000000130385,14717551.829999998211861
FS( 113 ),2676287.830000000074506,2215701.339999999850988,1810151.799999999813735,2364593.219999999739230,1864937.199999999953434,2118879.990000000223517,1590109.700000000186265,14640664.079999998211861
FS( 114 ),2645578.299999999813735,2197305.919999999925494,1795246.299999999813735,2378932.000000000000000,1848482.049999999813735,2092642.820000000065193,1582794.739999999990687,14540985.130000000819564
FS( 115 ),2686524.339999999850988,2243294.469999999739230,1806276.369999999878928,2411944.540000000037253,1873469.499999999767169,2128832.020000000018626,1587366.589999999850988,14737710.829999998211861
FS( 116 ),2736569.500000000000000,2256848.990000000223517,1798227.399999999906868,2420947.959999999497086,1888096.300000000046566,2136974.590000000316650,1594071.969999999972060,14831739.710000000894070
FS( 117 ),2710409.529999999329448,2172133.240000000223517,1791072.759999999776483,2378265.079999999608845,1888096.300000000046566,2143307.700000000186265,1596205.500000000000000,14679493.109999999403954
FS( 118 ),2593258.360000000335276,2137762.849999999627471,1783321.899999999906868,2336916.040000000037253,1882001.799999999813735,2103499.580000000074506,1591328.860000000102445,14428092.389999998733401
FS( 119 ),2664913.929999999701977,2119367.429999999701977,1782725.679999999701977,2345919.459999999497086,1871641.149999999906868,2133355.669999999925494,1598643.820000000065193,14516570.139999998733401
FS( 120 ),2674013.049999999813735,2106781.089999999850988,1799717.949999999720603,2360591.700000000186265,1918568.800000000046566,2139688.779999999795109,1609311.469999999972060,14608675.839999999850988
FS( 121 ),2702447.799999999813735,2165840.070000000298023,1817008.330000000074506,2375263.939999999944121,1910036.500000000000000,2141498.240000000223517,1616016.850000000093132,14728114.730000000447035
FS( 122 ),2749080.790000000037253,2220542.240000000223517,1819393.209999999962747,2422281.799999999813735,1984389.400000000139698,2208448.260000000242144,1633085.089999999850988,15037223.789999999105930
FS( 123 ),2746806.009999999776483,2281537.580000000074506,1826845.959999999962747,2419614.120000000111759,1980732.699999999953434,2229257.050000000279397,1625770.130000000121072,15110566.550000000745058
FS( 124 ),2752492.959999999962747,2335755.660000000149012,1822672.419999999925494,2423615.640000000130385,2008157.950000000186265,2229257.050000000279397,1627598.869999999878928,15199553.549999998882413
FS( 125 ),2720646.040000000037253,2314939.790000000037253,1807468.810000000055879,2381599.679999999701977,1991702.800000000046566,2221114.479999999981374,1626379.709999999962747,15063854.310000002384186
FS( 126 ),2753630.349999999627471,2508575.790000000037253,1803295.270000000018626,2388602.339999999850988,2003282.349999999860302,2233780.700000000186265,1617236.010000000009313,15308405.810000000521541
FS( 127 ),2762729.469999999739230,2470816.769999999552965,1797333.069999999832362,2398272.679999999701977,1969762.599999999860302,2232875.970000000204891,1621198.280000000027940,15252991.839999997988343
FS( 128 ),2733157.330000000074506,2404496.440000000409782,1801804.719999999739230,2404274.959999999497086,1976466.550000000046566,2230161.779999999795109,1649238.959999999962747,15199603.739999998360872
FS( 129 ),2685386.950000000186265,2360928.339999999850988,1786899.219999999739230,2338249.879999999888241,1937461.750000000000000,2171354.330000000074506,1616016.850000000093132,14896300.320000000298023
FS( 130 ),2684249.560000000521541,2343017.009999999776483,1781533.239999999757856,2353589.040000000037253,1877735.649999999906868,2158688.109999999869615,1609311.469999999972060,14808127.080000001937151
FS( 131 ),2705859.969999999739230,2345921.549999999813735,1779446.469999999739230,2368261.279999999795109,1842996.999999999767169,2181306.359999999869615,1611445.000000000000000,14835240.629999998956919
FS( 132 ),2767279.029999999329448,2379323.759999999776483,1798227.399999999906868,2379265.459999999497086,1871031.699999999953434,2227447.590000000316650,1611140.209999999962747,15033718.149999998509884
FS( 133 ),2809362.459999999962747,2396266.910000000149012,1805680.149999999906868,2390603.099999999627471,1887486.849999999860302,2245542.189999999944121,1651982.070000000065193,15186926.729999998584390
FS( 134 ),2780927.709999999962747,2446128.179999999701977,1816114.000000000000000,2440288.640000000130385,1922834.949999999953434,2241923.270000000018626,1638571.310000000055879,15286791.059999998658895
FS( 135 ),2803675.509999999776483,2444191.820000000298023,1808363.139999999897555,2480637.299999999813735,1947822.399999999906868,2261827.330000000074506,1708063.429999999934807,15454583.929999999701977
FS( 136 ),2796851.169999999925494,2485823.559999999590218,1801208.500000000000000,2467632.359999999869615,1983170.500000000000000,2249161.109999999869615,1695871.830000000074506,15479722.029999999329448
FS( 137 ),2823011.139999999664724,2467428.139999999664724,1798823.619999999878928,2486306.120000000111759,2004501.250000000000000,2261827.330000000074506,1685508.969999999972060,15527409.570000000298023
FS( 138 ),2845758.939999999478459,2520678.040000000037253,1793159.529999999795109,2490307.640000000130385,1992921.700000000186265,2279921.930000000167638,1677279.640000000130385,15600030.420000001788139
FS( 139 ),2954948.379999999888241,2534716.649999999441206,1794351.969999999739230,2513649.839999999850988,1960620.850000000093132,2279921.930000000167638,1685813.760000000009313,15724026.379999998956919
FS( 140 ),2998169.200000000186265,2559889.330000000074506,1811642.350000000093132,2497310.299999999813735,1950869.649999999906868,2288969.229999999981374,1692519.140000000130385,15799372.200000001117587
FS( 141 ),3006130.929999999701977,2566666.589999999850988,1811940.459999999962747,2488306.879999999888241,1942946.799999999813735,2285350.310000000055879,1747076.550000000046566,15848421.520000001415610
FS( 142 ),2990207.469999999739230,2558921.149999999441206,1808661.250000000000000,2485639.200000000186265,1939290.099999999860302,2288969.229999999981374,1740371.170000000158325,15812062.570000000298023
FS( 143 ),2997031.810000000521541,2572475.669999999925494,1820883.759999999776483,2499977.979999999981374,1909427.049999999813735,2331491.540000000037253,1744638.229999999981374,15875929.039999999105930
FS( 144 ),3014092.660000000149012,2535200.740000000223517,1811642.350000000093132,2481637.679999999701977,1909427.049999999813735,2326063.160000000149012,1744943.020000000018626,15823009.660000000149012
FS( 145 ),2986795.299999999813735,2507123.519999999552965,1810151.799999999813735,2470966.959999999497086,1889924.650000000139698,2346871.950000000186265,1762925.630000000121072,15774762.810000000521541
FS( 146 ),2962910.110000000335276,2494053.089999999850988,1807170.699999999720603,2460963.159999999683350,1904551.449999999953434,2311587.479999999981374,1768107.060000000055879,15709346.050000000745058
FS( 147 ),3024329.169999999925494,2569087.040000000037253,1826547.850000000093132,2501311.819999999832362,1952088.550000000046566,2336919.919999999925494,1772678.909999999916181,15982966.260000001639128
