代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13085378.710000000894070
真實報酬,3085378.710000000894070

夏普值報酬,0.299837871000000
夏普值風險,0.096525300056491
夏普值,3.106313793632570

二次趨勢線,47.528935133447760 x^2 + 2410.950314198659726 x + 10000000.000000000000000
二次平均預期報酬,14435.770902960943204
風險,303094.551619367033709
二次平均趨勢值,0.047627945886305
一次趨勢線,11411.707111331628766 x + 10000000.000000000000000
一次預期報酬,11411.707111331628766
一次風險,454831.552629632526077
一次趨勢值,0.025089963625774
找到最佳解世代,2111
找到最佳解實驗#,2
找到最佳解次數,25

stock[index](rank)
投資組合檔數,3
AAPL[0](4),MRK[17](2),MSFT[18](1),
FS( 33 ),3523675.689999999944121,3386338.039999999571592,3461566.599999999627471,10371581.329999998211861
FS( 34 ),3486126.450000000186265,3386940.369999999646097,3439526.449999999720603,10312594.269999999552965
FS( 35 ),3482331.580000000074506,3379712.409999999683350,3427103.819999999832362,10289148.810000000521541
FS( 36 ),3495513.760000000242144,3409226.580000000074506,3426302.359999999869615,10331043.699999999254942
FS( 37 ),3495513.760000000242144,3394770.659999999683350,3426703.089999999850988,10316988.509999999776483
FS( 38 ),3406833.640000000130385,3393566.000000000000000,3422295.060000000055879,10222695.700000001117587
FS( 39 ),3407432.830000000074506,3393566.000000000000000,3434717.689999999478459,10235717.519999999552965
FS( 40 ),3417019.870000000577420,3409226.580000000074506,3435118.419999999925494,10261365.870000001043081
FS( 41 ),3380069.819999999832362,3389349.689999999944121,3427905.280000000260770,10197325.789999999105930
FS( 42 ),3440588.010000000242144,3386338.039999999571592,3444335.209999999962747,10271262.259999999776483
FS( 43 ),3439988.819999999832362,3381519.399999999906868,3460364.409999999683350,10281873.629999998956919
FS( 44 ),3455967.220000000204891,3436331.429999999701977,3490819.889999999664724,10383119.539999999105930
FS( 45 ),3495314.030000000260770,3432717.449999999720603,3534098.729999999981374,10462131.210000000894070
FS( 46 ),3482331.580000000074506,3412840.559999999590218,3537705.299999999813735,10432878.439999999478459
FS( 47 ),3481932.120000000577420,3421273.179999999701977,3535300.919999999925494,10438507.220000000670552
FS( 48 ),3481133.200000000186265,3451389.679999999701977,3519271.719999999739230,10451795.599999999627471
FS( 49 ),3500906.470000000204891,3469459.580000000074506,3529690.699999999720603,10500057.750000000000000
FS( 50 ),3537057.600000000558794,3533306.559999999590218,3590601.659999999683350,10660966.820000000298023
FS( 51 ),3519081.900000000372529,3738701.089999999850988,3540510.409999999683350,10798294.400000000372529
FS( 52 ),3577203.330000000074506,3736291.770000000018626,3612241.080000000074506,10925737.179999999701977
FS( 53 ),3580399.010000000242144,3682082.069999999832362,3610638.159999999683350,10873120.240000000223517
FS( 54 ),3564420.610000000335276,3691117.020000000018626,3606630.859999999869615,10862169.490000000223517
FS( 55 ),3535260.030000000260770,3689310.029999999795109,3671148.389999999664724,10895719.449999999254942
FS( 56 ),3536058.950000000186265,3716414.879999999888241,3682769.560000000055879,10935244.390000000596046
FS( 57 ),3479735.090000000316650,3685093.719999999739230,3679563.719999999739230,10844393.530000001192093
FS( 58 ),3417619.060000000521541,3692321.679999999701977,3700000.949999999720603,10809942.689999999478459
FS( 59 ),3425608.260000000242144,3736894.099999999627471,3769327.239999999757856,10931830.599999999627471
FS( 60 ),3354704.110000000335276,3712198.569999999832362,3763717.020000000018626,10830620.699999999254942
FS( 61 ),3334930.840000000316650,3653170.229999999515712,3716430.879999999888241,10704532.949999999254942
FS( 62 ),3344118.420000000391155,3568844.029999999795109,3807396.589999999850988,10720360.039999999105930
FS( 63 ),3351108.970000000204891,3605586.159999999683350,3777341.839999999850988,10734037.969999998807907
FS( 64 ),3205705.530000000260770,3527283.259999999776483,3677960.799999999813735,10410950.589999999850988
FS( 65 ),3125613.800000000279397,3397179.979999999515712,3526484.859999999869615,10049279.639999998733401
FS( 66 ),3256237.220000000204891,3340560.959999999962747,3659927.949999999720603,10256727.129999998956919
FS( 67 ),3186531.450000000186265,3365858.819999999832362,3591002.389999999664724,10143393.660000000149012
FS( 68 ),3098849.980000000447035,3296590.869999999646097,3406666.589999999850988,9802108.439999999478459
FS( 69 ),3124015.959999999962747,3305023.489999999757856,3533698.000000000000000,9962738.449999999254942
FS( 70 ),3249845.860000000335276,3338753.969999999739230,3571767.349999999627471,10160368.179999999701977
FS( 71 ),3282401.850000000558794,3306830.479999999515712,3599818.449999999720603,10189051.779999999329448
FS( 72 ),3342920.040000000502914,3306830.479999999515712,3639089.989999999757856,10288841.509999999776483
FS( 73 ),3455168.300000000279397,3372484.449999999720603,3713225.039999999571592,10540878.789999999105930
FS( 74 ),3443983.420000000391155,3390554.349999999627471,3686776.859999999869615,10521315.629999998956919
FS( 75 ),3432399.080000000074506,3311649.119999999646097,3715629.419999999925494,10459678.619999999180436
FS( 76 ),3416820.140000000130385,3285748.929999999701977,3666339.629999999888241,10368909.699999999254942
FS( 77 ),3445381.530000000260770,3286953.589999999850988,3675957.149999999906868,10408293.269999999552965
FS( 78 ),3505300.530000000260770,3305023.489999999757856,3769327.239999999757856,10579652.259999999776483
FS( 79 ),3574606.840000000316650,3376700.759999999776483,3823826.520000000018626,10775135.119999999180436
FS( 80 ),3563022.500000000000000,3295988.539999999571592,3774937.459999999962747,10633949.500000000000000
FS( 81 ),3557629.790000000502914,3265872.039999999571592,3757706.069999999832362,10581208.900000000372529
FS( 82 ),3495314.030000000260770,3234550.879999999888241,3720838.909999999683350,10450704.820000000298023
FS( 83 ),3519481.360000000335276,3274304.659999999683350,3728853.509999999776483,10522640.529999999329448
FS( 84 ),3531664.890000000130385,3276713.979999999515712,3752496.580000000074506,10560876.449999999254942
FS( 85 ),3528668.939999999944121,3270690.679999999701977,3739673.219999999739230,10539033.839999999850988
FS( 86 ),3495913.220000000204891,3280930.289999999571592,3761312.639999999664724,10538157.149999998509884
FS( 87 ),3534061.650000000372529,3298397.859999999869615,3784154.250000000000000,10616614.759999999776483
FS( 88 ),3594779.569999999832362,3321286.399999999906868,3868708.280000000260770,10784775.250000000000000
FS( 89 ),3629532.590000000316650,3334537.659999999683350,3877925.069999999832362,10841996.320000000298023
FS( 90 ),3594579.840000000316650,3335139.989999999757856,3783352.789999999571592,10713073.619999999180436
FS( 91 ),3564021.150000000372529,3300807.179999999701977,3760911.909999999683350,10625741.240000000223517
FS( 92 ),3568215.480000000447035,3327912.029999999795109,3774136.000000000000000,10670264.509999999776483
FS( 93 ),3555632.490000000689179,3353209.890000000130385,3790966.659999999683350,10699810.040000000968575
FS( 94 ),3501305.930000000633299,3290567.569999999832362,3722441.830000000074506,10514316.330000000074506
FS( 95 ),3500107.550000000279397,3291169.899999999906868,3732059.349999999627471,10523337.800000000745058
FS( 96 ),3420814.740000000689179,3294181.549999999813735,3706011.899999999906868,10421009.190000001341105
FS( 97 ),3372480.080000000074506,3259848.739999999757856,3598215.530000000260770,10230545.350000001490116
FS( 98 ),3294385.650000000372529,3217083.309999999590218,3493625.000000000000000,10005094.960000000894070
FS( 99 ),3450774.240000000689179,3255030.099999999627471,3758106.799999999813735,10463912.140000000596046
FS( 100 ),3362293.850000000558794,3237562.529999999795109,3585392.169999999925494,10185249.550000000745058
FS( 101 ),3325144.069999999832362,3318274.750000000000000,3582186.330000000074506,10225606.150000000372529
FS( 102 ),3351108.970000000204891,3280930.289999999571592,3657523.569999999832362,10289563.830000000074506
FS( 103 ),3329138.670000000391155,3208650.689999999944121,3547322.819999999832362,10085113.179999999701977
FS( 104 ),3363292.500000000000000,3258041.750000000000000,3595009.689999999478459,10216344.939999999478459
FS( 105 ),3427605.560000000521541,3285146.599999999627471,3700000.949999999720603,10412754.109999999403954
FS( 106 ),3451373.430000000633299,3284544.270000000018626,3702004.599999999627471,10437923.300000000745058
FS( 107 ),3363092.770000000018626,3214071.659999999683350,3615847.649999999906868,10193013.080000000074506
FS( 108 ),3396447.680000000633299,3382724.059999999590218,3637487.069999999832362,10416659.810000000521541
FS( 109 ),3460361.280000000260770,3402600.949999999720603,3722041.099999999627471,10585004.330000000074506
FS( 110 ),3444183.150000000372529,3385133.379999999888241,3681166.639999999664724,10510484.169999999925494
FS( 111 ),3478137.250000000000000,3417659.199999999720603,3750092.199999999720603,10645889.649999998509884
FS( 112 ),3489921.319999999832362,3443559.390000000130385,3730055.699999999720603,10663537.410000000149012
FS( 113 ),3511691.890000000130385,3532704.229999999515712,3773735.270000000018626,10818132.389999998733401
FS( 114 ),3560026.550000000279397,3570048.689999999944121,3849873.969999999739230,10979950.210000000894070
FS( 115 ),3552037.350000000558794,3548967.140000000130385,3864700.979999999981374,10965706.470000000670552
FS( 116 ),3451373.430000000633299,3532101.899999999906868,3851476.889999999664724,10834953.219999998807907
FS( 117 ),3309964.590000000316650,3543546.169999999459833,3806995.859999999869615,10660507.619999999180436
FS( 118 ),3300377.550000000279397,3629077.029999999795109,3821021.409999999683350,10750476.990000000223517
FS( 119 ),3254439.650000000372529,3619439.750000000000000,3731658.620000000111759,10605539.019999999552965
FS( 120 ),3268620.480000000447035,3591732.569999999832362,3699199.489999999757856,10559553.540000000968575
FS( 121 ),3280005.090000000316650,3578481.309999999590218,3777341.839999999850988,10635829.240000000223517
FS( 122 ),3242056.390000000130385,3582095.289999999571592,3839855.719999999739230,10664008.399999998509884
FS( 123 ),3300777.010000000242144,3545955.489999999757856,3747687.819999999832362,10594421.320000000298023
FS( 124 ),3377473.330000000074506,3492348.119999999646097,3806995.859999999869615,10676818.309999998658895
FS( 125 ),3526671.640000000130385,3451389.679999999701977,3747287.089999999850988,10725349.410000000149012
FS( 126 ),3533063.000000000000000,3465243.270000000018626,3769727.969999999739230,10768035.239999998360872
FS( 127 ),3671675.620000000577420,3478494.529999999795109,3813407.539999999571592,10963578.689999999478459
FS( 128 ),3698239.709999999962747,3456208.319999999832362,3855884.919999999925494,11010333.949999999254942
FS( 129 ),3716015.680000000633299,3418863.859999999869615,3839454.989999999757856,10974335.530000001192093
FS( 130 ),3742180.310000000521541,3490541.129999999888241,3884737.479999999981374,11117459.919999999925494
FS( 131 ),3795707.950000000186265,3497166.759999999776483,3923608.289999999571592,11216484.000000000000000
FS( 132 ),3766747.100000000558794,3595346.549999999813735,3915192.959999999962747,11277287.609999999403954
FS( 133 ),3757958.980000000447035,3594744.219999999739230,3928417.049999999813735,11281121.250000000000000
FS( 134 ),3723805.150000000372529,3565832.379999999888241,3899965.219999999739230,11189603.750000000000000
FS( 135 ),3758558.170000000391155,3598960.529999999795109,3893152.810000000055879,11250672.509999999776483
FS( 136 ),3734790.300000000279397,3558002.089999999850988,3854282.000000000000000,11147075.390000000596046
FS( 137 ),3721208.660000000149012,3562218.399999999906868,3861495.139999999664724,11144923.199999999254942
FS( 138 ),3747573.020000000018626,3527885.589999999850988,3911185.659999999683350,11186645.269999999552965
FS( 139 ),3738185.709999999962747,3520657.629999999888241,3907178.359999999869615,11166022.699999999254942
FS( 140 ),3762153.310000000521541,3564025.390000000130385,3953663.039999999571592,11279842.740000000223517
FS( 141 ),3757958.980000000447035,3561616.069999999832362,3939637.489999999757856,11259213.540000000968575
FS( 142 ),3766547.370000000577420,3559206.750000000000000,3941641.139999999664724,11267396.260000001639128
FS( 143 ),3752965.730000000447035,3517645.979999999515712,3927615.589999999850988,11198228.300000000745058
FS( 144 ),3744976.530000000260770,3597153.539999999571592,3965284.209999999962747,11307415.280000001192093
FS( 145 ),3732393.540000000502914,3585709.270000000018626,3960876.180000000167638,11278979.990000000223517
FS( 146 ),3799702.550000000279397,3647749.259999999776483,4039018.530000000260770,11486471.339999999850988
FS( 147 ),3831459.620000000577420,3735689.439999999944121,4074282.770000000018626,11641432.830000000074506
FS( 148 ),3861019.660000000149012,3697742.649999999906868,4095120.729999999981374,11653884.040000000968575
FS( 149 ),3874401.569999999832362,3730268.469999999739230,4107142.629999999888241,11711813.669999998062849
FS( 150 ),3864015.610000000335276,3733882.449999999720603,4042625.099999999627471,11640524.160000000149012
FS( 151 ),3828863.129999999888241,3769419.919999999459833,4072679.849999999627471,11670963.899999998509884
FS( 152 ),3819475.819999999832362,3754361.669999999459833,4049437.509999999776483,11623276.000000000000000
FS( 153 ),3840447.470000000204891,3760987.299999999813735,4059856.489999999757856,11661292.259999999776483
FS( 154 ),3808890.129999999888241,3770022.250000000000000,4041422.909999999683350,11620336.289999999105930
FS( 155 ),3810887.430000000633299,3707982.259999999776483,4064264.520000000018626,11583135.210000000894070
FS( 156 ),3771740.350000000558794,3736291.770000000018626,4012570.349999999627471,11520603.470000000670552
FS( 157 ),3769743.050000000279397,3673649.449999999720603,4041823.639999999664724,11485217.140000000596046
FS( 158 ),3708825.400000000372529,3676058.770000000018626,4041823.639999999664724,11426708.809999998658895
FS( 159 ),3725003.530000000260770,3691117.020000000018626,4082297.370000000111759,11498418.920000001788139
FS( 160 ),3704231.610000000335276,3685093.719999999739230,4053044.080000000074506,11442370.410000000149012
FS( 161 ),3693446.189999999944121,3702561.289999999571592,4023790.789999999571592,11419799.269999999552965
FS( 162 ),3638520.439999999944121,3679070.419999999459833,3942843.330000000074506,11260435.189999999478459
FS( 163 ),3683659.420000000391155,3657386.539999999571592,3970493.699999999720603,11311540.660000000149012
FS( 164 ),3678266.709999999962747,3606790.819999999832362,3908781.280000000260770,11193839.809999998658895
FS( 165 ),3705030.530000000260770,3632088.679999999701977,3952460.849999999627471,11289581.059999998658895
FS( 166 ),3697241.060000000521541,3656181.879999999888241,3951659.389999999664724,11305083.330000000074506
FS( 167 ),3738585.170000000391155,3641725.959999999962747,4007761.589999999850988,11388073.720000000670552
FS( 168 ),3673473.189999999944121,3656784.209999999962747,3969291.509999999776483,11299549.910000000149012
FS( 169 ),3703033.230000000447035,3712800.899999999906868,3997743.339999999850988,11413578.470000000670552
FS( 170 ),3754363.840000000316650,3746531.379999999888241,4053845.539999999571592,11554741.759999999776483
FS( 171 ),3806493.370000000577420,3735689.439999999944121,4081495.909999999683350,11623679.720000000670552
FS( 172 ),3801899.580000000074506,3752554.679999999701977,4092315.620000000111759,11646770.879999998956919
FS( 173 ),3752566.270000000018626,3728461.479999999515712,4086705.399999999906868,11567734.150000000372529
FS( 174 ),3815481.220000000204891,3774238.559999999590218,4175266.729999999981374,11764987.509999999776483
FS( 175 ),3821473.120000000577420,3788092.149999999906868,4224957.250000000000000,11834523.519999999552965
FS( 176 ),3813084.459999999962747,3770022.250000000000000,4204119.289999999105930,11787227.000000000000000
FS( 177 ),3823869.879999999888241,3766408.270000000018626,4245795.210000000894070,11836074.360000001266599
FS( 178 ),3802898.230000000447035,3791103.799999999813735,4212534.619999999180436,11806537.649999998509884
FS( 179 ),3832458.270000000018626,3765203.609999999869615,4183682.060000000055879,11781344.939999999478459
FS( 180 ),3823670.150000000372529,3765805.939999999944121,4258618.570000000298023,11848095.660000000149012
FS( 181 ),3823670.150000000372529,3776045.549999999813735,4326742.669999999925494,11926459.370000001043081
FS( 182 ),3854828.030000000260770,3820015.640000000130385,4314320.039999999105930,11989164.709999999031425
FS( 183 ),3891178.890000000130385,3884464.949999999254942,4441351.449999999254942,12216996.289999999105930
FS( 184 ),3878995.360000000335276,3855553.110000000335276,4392863.119999999180436,12127412.589999999850988
FS( 185 ),3814482.569999999832362,3824231.949999999720603,4315121.500000000000000,11953837.019999999552965
FS( 186 ),3793111.459999999962747,3903739.509999999776483,4222552.869999999180436,11919404.839999999850988
FS( 187 ),3800701.200000000186265,3967586.490000000223517,4251004.699999999254942,12019293.390000000596046
FS( 188 ),4024598.530000000260770,3944697.949999999254942,4259019.300000000745058,12228316.780000001192093
FS( 189 ),4142239.500000000000000,3928435.039999999571592,4310713.469999998807907,12381389.009999997913837
FS( 190 ),4154223.300000000279397,3971200.470000000204891,4329547.779999999329448,12454972.550000000745058
FS( 191 ),4175794.140000000130385,3988668.039999999571592,4333154.349999999627471,12497617.529999999329448
FS( 192 ),4136647.060000000521541,4010351.919999999459833,4363209.099999999627471,12510209.080000000074506
FS( 193 ),4139443.280000000260770,4016977.549999999813735,4387653.629999998956919,12544075.459999999031425
FS( 194 ),4171999.270000000018626,3975416.779999999795109,4394866.769999999552965,12542283.820000000298023
FS( 195 ),4145035.720000000204891,3979633.089999999385327,4368017.859999999403954,12492687.669999998062849
FS( 196 ),4171799.540000000502914,4018784.539999999571592,4336360.189999999478459,12526945.269999999552965
FS( 197 ),4189375.780000000260770,4003123.959999999497086,4390458.740000000223517,12582959.480000000447035
FS( 198 ),4199162.550000000745058,4057935.990000000223517,4314320.039999999105930,12571419.580000000074506
FS( 199 ),4260679.389999999664724,4147080.829999999608845,4313518.580000000074506,12721279.799999998882413
FS( 200 ),4345764.370000000111759,4159729.759999999776483,4311114.199999999254942,12816609.329999998211861
FS( 201 ),4303421.610000000335276,4226588.390000000596046,4282662.369999999180436,12812673.369999999180436
FS( 202 ),4295032.950000000186265,4166355.390000000130385,4246997.400000000372529,12708386.740000000223517
FS( 203 ),4295232.680000000633299,4158525.100000000093132,4290276.240000000223517,12744035.020000001415610
FS( 204 ),4304020.800000000745058,4154308.789999999571592,4310312.740000000223517,12768643.330000000074506
FS( 205 ),4317402.709999999962747,4158525.100000000093132,4343974.060000000521541,12819902.870000001043081
FS( 206 ),4352954.650000000372529,4155513.449999999254942,4392061.660000000149012,12900530.759999999776483
FS( 207 ),4388107.129999999888241,4133829.569999999366701,4418509.839999999850988,12940447.539999999105930
FS( 208 ),4453618.570000000298023,4144671.509999999776483,4489038.320000000298023,13087329.400000000372529
FS( 209 ),4494563.220000000670552,4128408.600000000093132,4486233.210000000894070,13109206.030000001192093
FS( 210 ),4546493.020000000484288,4131420.250000000000000,4501460.949999999254942,13179375.219999998807907
FS( 211 ),4561073.310000000521541,4092871.129999999888241,4476615.689999999478459,13130561.130000000819564
FS( 212 ),4531313.540000000037253,4133227.240000000223517,4347580.629999998956919,13012122.410000000149012
FS( 213 ),4456015.330000000074506,4179004.319999999366701,4357598.879999998956919,12992619.529999997466803
FS( 214 ),4420063.930000000633299,4196471.890000000596046,4336360.189999999478459,12952897.009999999776483
FS( 215 ),4360744.120000000111759,4189846.259999999776483,4383245.599999999627471,12933836.979999998584390
FS( 216 ),4470995.080000000074506,4160934.419999999459833,4457781.379999998956919,13089711.879999998956919
FS( 217 ),4415470.139999999664724,4207916.160000000149012,4476615.689999999478459,13100002.990000000223517
FS( 218 ),4522125.959999999962747,4266342.169999999925494,4524703.289999999105930,13313172.419999998062849
FS( 219 ),4470795.350000000558794,4215144.119999999180436,4543136.869999999180436,13229077.339999997988343
FS( 220 ),4351756.270000000484288,4241646.640000000596046,4493847.080000000074506,13087250.990000000223517
FS( 221 ),4358946.550000000745058,4241646.640000000596046,4536725.189999999478459,13137319.380000000819564
FS( 222 ),4361543.040000000037253,4215144.119999999180436,4476214.960000000894070,13052903.120000001043081
FS( 223 ),4394698.220000000670552,4263330.519999999552965,4551151.469999998807907,13209181.209999999031425
FS( 224 ),4347362.209999999962747,4282605.080000000074506,4578801.839999999850988,13208770.129999998956919
FS( 225 ),4409877.700000000186265,4263330.519999999552965,4595231.769999999552965,13268440.989999998360872
FS( 226 ),4437839.900000000372529,4255500.230000000447035,4586415.710000000894070,13279756.840000001713634
FS( 227 ),4402487.690000000409782,4236225.669999999925494,4567581.400000000372529,13206295.759999999776483
FS( 228 ),4492965.379999999888241,4259716.539999999105930,4584812.789999999105930,13337495.709999997168779
FS( 229 ),4508744.050000000745058,4272967.799999998882413,4583209.869999999180436,13364922.719999998807907
FS( 230 ),4539103.009999999776483,4308505.269999999552965,4632900.390000000596046,13480509.669999999925494
FS( 231 ),4579448.470000000670552,4321756.529999999329448,4614466.810000000521541,13515672.810000000521541
FS( 232 ),4635173.139999999664724,4298867.990000000223517,4615268.269999999552965,13549310.399999998509884
FS( 233 ),4553683.300000000745058,4289833.039999999105930,4519894.529999999329448,13363411.869999999180436
FS( 234 ),4479783.200000000186265,4278388.769999999552965,4493446.349999999627471,13251619.319999998435378
FS( 235 ),4469397.240000000223517,4304288.959999999031425,4442152.910000000149012,13215840.109999999403954
FS( 236 ),4531313.540000000037253,4357294.000000000000000,4498655.839999999850988,13387264.379999998956919
FS( 237 ),4321397.310000000521541,4243453.630000000819564,4254210.539999999105930,12819062.480000000447035
FS( 238 ),4283248.879999999888241,4118168.990000000223517,4244192.289999999105930,12645611.160000000149012
FS( 239 ),4436242.060000000521541,4204904.509999999776483,4390859.469999998807907,13032007.039999999105930
FS( 240 ),4341370.310000000521541,4183822.959999999497086,4311915.660000000149012,12837109.929999999701977
FS( 241 ),4437040.980000000447035,4289833.039999999105930,4448163.859999999403954,13175038.879999998956919
FS( 242 ),4417866.900000000372529,4325972.839999999850988,4436542.689999999478459,13180383.429999999701977
FS( 243 ),4314606.490000000223517,4349463.709999999031425,4347981.359999999403954,13012052.559999998658895
FS( 244 ),4380317.660000000149012,4357896.330000000074506,4354393.039999999105930,13092608.029999999329448
FS( 245 ),4407081.480000000447035,4371147.589999999850988,4393263.849999999627471,13171493.919999999925494
FS( 246 ),4448625.320000000298023,4342838.080000000074506,4331952.160000000149012,13123416.560000000521541
FS( 247 ),4296031.600000000558794,4248874.599999999627471,4100330.219999999739230,12645237.419999998062849
FS( 248 ),4390104.430000000633299,4213939.459999999031425,4339966.759999999776483,12944011.650000000372529
FS( 249 ),4320198.930000000633299,4240441.980000000447035,4286268.939999999478459,12846910.849999999627471
FS( 250 ),4239108.550000000745058,4303686.630000000819564,4161641.909999999683350,12704438.090000001713634
FS( 251 ),4260279.930000000633299,4389217.490000000223517,4156833.149999999906868,12806331.570000002160668
FS( 252 ),4371329.810000000521541,4433789.910000000149012,4280257.990000000223517,13085378.710000000894070
