代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13671357.699999999254942
真實報酬,3671357.699999999254942

夏普值報酬,0.358435770000000
夏普值風險,0.085637460979165
夏普值,4.185502067689809

二次趨勢線,-7.465713393925220 x^2 + 15997.879580251252264 x + 10000000.000000000000000
二次平均預期報酬,14116.519804982095593
風險,164632.463207392749609
二次平均趨勢值,0.085745663582759
一次趨勢線,14589.664957211767614 x + 10000000.000000000000000
一次預期報酬,14589.664957211767614
一次風險,172906.745488133019535
一次趨勢值,0.084378807293051
找到最佳解世代,1970
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](1),KO[14](11),TRV[22](4),V[25](2),WMT[28](7),
FS( 23 ),2172849.200000000186265,2085576.919999999925494,2134810.270000000018626,2069558.049999999813735,2037535.300000000046566,10500329.740000002086163
FS( 24 ),2190642.500000000000000,2076001.879999999655411,2155885.729999999981374,2085106.320000000065193,2027639.630000000121072,10535276.060000000521541
FS( 25 ),2196234.679999999701977,2062836.199999999720603,2156612.470000000204891,2060556.419999999925494,2013307.969999999972060,10489547.740000000223517
FS( 26 ),2197759.819999999366701,2062836.199999999720603,2168967.049999999813735,2044189.820000000065193,2019450.109999999869615,10493202.999999998137355
FS( 27 ),2213011.219999999739230,2074805.000000000000000,2183865.220000000204891,2041734.829999999841675,2014672.889999999897555,10528089.160000000149012
FS( 28 ),2209452.559999999590218,2036504.839999999850988,2176597.819999999832362,2027823.219999999972060,2026957.169999999925494,10477335.609999999403954
FS( 29 ),2205893.899999999441206,2021543.839999999850988,2172964.120000000111759,2073649.699999999953434,2030369.469999999972060,10504421.029999999329448
FS( 30 ),2211994.459999999962747,2004189.079999999841675,2157339.209999999962747,2061374.750000000000000,2031734.389999999897555,10466631.890000000596046
FS( 31 ),2223687.200000000186265,2014961.000000000000000,2168967.049999999813735,2097381.270000000018626,2042312.520000000018626,10547309.039999999105930
FS( 32 ),2281642.519999999552965,2022740.719999999506399,2176234.450000000186265,2123567.830000000074506,2047772.199999999953434,10651957.719999998807907
FS( 33 ),2308586.659999999217689,2018551.639999999664724,2191132.620000000111759,2094107.949999999953434,2068246.000000000000000,10680624.869999999180436
FS( 34 ),2262832.459999999962747,2037701.719999999506399,2238007.350000000093132,2058101.429999999934807,2081895.199999999953434,10678538.159999998286366
FS( 35 ),2281642.519999999552965,2050867.399999999906868,2190769.250000000000000,2037643.179999999934807,2078482.899999999906868,10639405.250000000000000
FS( 36 ),2285709.559999999590218,2031717.320000000065193,2107557.520000000018626,2066284.729999999981374,2094861.939999999944121,10586131.070000000298023
FS( 37 ),2300960.959999999962747,2047875.199999999720603,2149345.069999999832362,2057283.100000000093132,2097591.780000000260770,10653056.109999999403954
FS( 38 ),2285201.179999999701977,2035307.959999999729916,2132993.419999999925494,2063829.739999999990687,2080530.280000000027940,10597862.579999998211861
FS( 39 ),2281134.139999999664724,2017953.199999999720603,2109374.370000000111759,2067103.060000000055879,2071658.300000000046566,10547223.070000000298023
FS( 40 ),2276050.339999999850988,2018551.639999999664724,2111554.589999999850988,2043371.489999999990687,2091790.869999999878928,10541318.929999997839332
FS( 41 ),2256731.899999999441206,2020945.399999999906868,2118458.620000000111759,2058919.760000000009313,2093838.250000000000000,10548893.929999999701977
FS( 42 ),2260798.939999999478459,2029922.000000000000000,2153705.510000000242144,2097381.270000000018626,2121819.110000000335276,10663626.829999998211861
FS( 43 ),2260290.559999999590218,2029922.000000000000000,2158065.950000000186265,2170212.640000000130385,2113629.589999999850988,10732120.740000000223517
FS( 44 ),2296385.540000000037253,2037103.279999999795109,2184591.959999999962747,2189852.560000000055879,2116700.660000000149012,10824634.000000000000000
FS( 45 ),2297910.679999999701977,2035906.399999999906868,2155885.729999999981374,2196399.200000000186265,2111582.209999999962747,10797684.220000002533197
FS( 46 ),2311128.559999999590218,2051465.839999999850988,2170783.899999999906868,2189034.229999999981374,2105098.839999999850988,10827511.369999999180436
FS( 47 ),2296385.540000000037253,2044883.000000000000000,2174780.970000000204891,2216857.450000000186265,2102710.229999999515712,10835617.190000001341105
FS( 48 ),2301469.339999999850988,2034111.079999999841675,2176234.450000000186265,2300327.109999999869615,2114312.049999999813735,10926454.030000001192093
FS( 49 ),2304519.620000000111759,2032914.199999999720603,2157702.580000000074506,2330605.319999999832362,2112264.669999999925494,10938006.390000000596046
FS( 50 ),2335022.419999999925494,2047875.199999999720603,2143531.149999999906868,2306055.419999999925494,2108511.139999999664724,10940995.329999998211861
FS( 51 ),2341631.360000000335276,2061639.320000000065193,2149708.439999999944121,2357610.209999999962747,2123184.030000000260770,11033773.360000003129244
FS( 52 ),2323838.059999999590218,2046678.320000000065193,2154432.250000000000000,2355155.220000000204891,2107487.450000000186265,10987591.300000000745058
FS( 53 ),2335022.419999999925494,2060442.439999999711290,2159882.799999999813735,2328150.330000000074506,2117041.889999999664724,11000539.879999998956919
FS( 54 ),2374676.059999999590218,2066426.839999999850988,2174780.970000000204891,2352700.229999999981374,2132056.009999999776483,11100640.109999999403954
FS( 55 ),2385352.040000000037253,2059245.559999999590218,2153705.510000000242144,2336333.629999999888241,2049819.580000000074506,10984456.319999998435378
FS( 56 ),2367558.740000000223517,2072411.239999999990687,2141714.299999999813735,2380523.450000000186265,1999658.770000000018626,10961866.500000000000000
FS( 57 ),2386877.179999999701977,2070017.479999999981374,2142441.040000000037253,2382978.439999999944121,1997611.389999999897555,10979925.530000001192093
FS( 58 ),2388402.319999999366701,2064631.519999999785796,2129359.720000000204891,2405073.350000000093132,2006142.139999999897555,10993609.049999998882413
FS( 59 ),2385860.419999999925494,2059844.000000000000000,2129359.720000000204891,2391161.739999999757856,1994881.550000000046566,10961107.430000001564622
FS( 60 ),2401111.819999999366701,2059844.000000000000000,2122092.319999999832362,2433714.899999999906868,2010919.359999999869615,11027682.399999998509884
FS( 61 ),2418396.740000000223517,2090364.439999999711290,2106467.410000000149012,2380523.450000000186265,2016037.809999999823049,11011789.849999999627471
FS( 62 ),2412804.559999999590218,2082584.719999999506399,2122819.060000000055879,2397708.379999999888241,2007165.830000000074506,11023082.549999998882413
FS( 63 ),2410262.659999999217689,2070017.479999999981374,2107920.890000000130385,2376431.799999999813735,2013649.199999999953434,10978282.029999997466803
FS( 64 ),2409245.899999999441206,2071812.799999999580905,2125726.020000000018626,2378068.459999999962747,2026957.169999999925494,11011810.349999999627471
FS( 65 ),2358407.899999999441206,2057450.239999999990687,2070857.150000000139698,2349426.910000000149012,2012284.280000000027940,10848426.479999998584390
FS( 66 ),2409245.899999999441206,2058647.119999999646097,2066496.709999999962747,2365793.509999999776483,2042653.750000000000000,10942836.989999998360872
FS( 67 ),2431106.240000000223517,2073009.679999999934807,2074854.219999999972060,2413256.649999999906868,2039582.680000000167638,11031809.469999998807907
FS( 68 ),2445340.879999999888241,2080190.959999999729916,2093386.090000000083819,2396890.049999999813735,2050160.809999999823049,11065968.790000000968575
FS( 69 ),2470251.500000000000000,2099341.040000000037253,2093386.090000000083819,2383796.770000000018626,2070634.609999999869615,11117410.009999999776483
FS( 70 ),2498212.399999999441206,2102333.240000000223517,2122455.689999999944121,2399345.040000000037253,2081553.969999999972060,11203900.340000001713634
FS( 71 ),2514988.939999999478459,2101136.359999999403954,2142077.669999999925494,2388706.750000000000000,2084283.809999999823049,11231193.529999999329448
FS( 72 ),2501262.679999999701977,2104727.000000000000000,2146801.479999999981374,2393616.729999999981374,2089402.259999999776483,11235810.150000000372529
FS( 73 ),2493636.979999999515712,2099341.040000000037253,2151161.919999999925494,2387070.090000000316650,2076094.290000000037253,11207304.320000000298023
FS( 74 ),2482452.620000000111759,2106522.320000000298023,2148254.959999999962747,2431259.910000000149012,2072681.989999999990687,11241171.800000000745058
FS( 75 ),2510413.519999999552965,2112506.719999999739230,2149708.439999999944121,2383796.770000000018626,2067904.770000000018626,11224330.219999998807907
FS( 76 ),2531257.099999999627471,2128066.160000000149012,2126089.390000000130385,2388706.750000000000000,2066539.850000000093132,11240659.250000000000000
FS( 77 ),2525664.919999999925494,2137042.759999999776483,2106467.410000000149012,2399345.040000000037253,2069610.919999999925494,11238131.049999998882413
FS( 78 ),2518547.599999999627471,2138838.080000000074506,2114824.919999999925494,2430441.580000000074506,2073023.219999999972060,11275675.400000000372529
FS( 79 ),2548542.019999999552965,2151405.320000000298023,2138443.970000000204891,2456628.140000000130385,2088378.570000000065193,11383398.020000001415610
FS( 80 ),2543966.599999999627471,2150806.879999999888241,2124999.279999999795109,2450899.830000000074506,2084625.040000000037253,11355297.629999998956919
FS( 81 ),2537357.659999999217689,2174146.040000000037253,2135537.010000000242144,2441898.200000000186265,2088037.339999999850988,11376976.250000000000000
FS( 82 ),2537357.659999999217689,2208855.559999999590218,2131176.569999999832362,2434533.229999999981374,2075411.830000000074506,11387334.849999999627471
FS( 83 ),2557692.860000000335276,2214839.959999999962747,2151161.919999999925494,2414074.979999999981374,2088378.570000000065193,11426148.290000000968575
FS( 84 ),2541424.700000000186265,2218430.599999999627471,2155885.729999999981374,2434533.229999999981374,2093838.250000000000000,11444112.509999999776483
FS( 85 ),2541933.080000000074506,2207060.240000000223517,2154068.879999999888241,2462356.450000000186265,2069610.919999999925494,11435029.570000000298023
FS( 86 ),2534307.379999999888241,2198083.639999999664724,2151888.660000000149012,2434533.229999999981374,2056302.949999999953434,11375115.859999999403954
FS( 87 ),2573452.639999999664724,2198682.080000000074506,2139534.080000000074506,2475449.729999999981374,2070293.380000000121072,11457411.910000000149012
FS( 88 ),2571419.120000000111759,2180728.879999999888241,2109374.370000000111759,2445171.520000000018626,2051866.959999999962747,11358560.850000001490116
FS( 89 ),2509396.759999999776483,2154995.959999999962747,2098473.270000000018626,2388706.750000000000000,2045042.359999999869615,11196615.099999999627471
FS( 90 ),2529223.580000000074506,2157988.160000000149012,2113734.810000000055879,2401800.030000000260770,2040606.369999999878928,11243352.950000001117587
FS( 91 ),2573961.019999999552965,2160980.359999999403954,2147528.220000000204891,2476268.060000000055879,2052208.189999999944121,11410945.849999999627471
FS( 92 ),2590737.559999999590218,2152602.199999999254942,2111917.959999999962747,2519639.549999999813735,2039582.680000000167638,11414479.949999999254942
FS( 93 ),2627849.299999999813735,2167563.199999999254942,2149708.439999999944121,2472176.410000000149012,2067222.309999999823049,11484519.660000000149012
FS( 94 ),2645134.219999999739230,2213044.639999999664724,2179868.149999999906868,2497544.640000000130385,2111240.979999999515712,11646832.629999998956919
FS( 95 ),2633949.860000000335276,2219627.480000000447035,2160972.910000000149012,2491816.330000000074506,2117724.349999999627471,11624090.930000001564622
FS( 96 ),2621240.360000000335276,2208855.559999999590218,2242004.419999999925494,2479541.379999999888241,2107146.219999999739230,11658787.939999997615814
FS( 97 ),2616156.559999999590218,2218430.599999999627471,2280158.270000000018626,2475449.729999999981374,2131032.320000000298023,11721227.480000000447035
FS( 98 ),2597854.879999999888241,2205264.919999999925494,2285972.189999999944121,2416529.970000000204891,2031734.389999999897555,11537356.350000001490116
FS( 99 ),2604463.819999999366701,2217832.160000000149012,2302687.209999999962747,2432896.569999999832362,1971336.680000000167638,11529216.439999999478459
FS( 100 ),2639033.659999999217689,2242368.199999999254942,2317585.379999999888241,2491816.330000000074506,1957346.250000000000000,11648149.819999998435378
FS( 101 ),2637000.139999999664724,2265108.919999999925494,2353559.009999999776483,2520457.879999999888241,2011601.820000000065193,11787727.769999999552965
FS( 102 ),2641067.179999999701977,2293235.599999999627471,2325942.890000000130385,2527004.520000000018626,2014331.659999999916181,11801581.849999999627471
FS( 103 ),2632933.099999999627471,2283660.559999999590218,2337207.359999999869615,2516366.229999999981374,2010236.899999999906868,11780404.150000000372529
FS( 104 ),2659877.240000000223517,2302212.199999999254942,2347381.719999999739230,2518002.890000000130385,2015696.580000000074506,11843170.629999998956919
FS( 105 ),2679704.059999999590218,2308795.040000000037253,2352468.899999999906868,2499999.629999999888241,2013649.199999999953434,11854616.829999998211861
FS( 106 ),2667502.939999999478459,2317173.199999999254942,2352832.270000000018626,2381341.780000000260770,2012966.739999999990687,11731816.929999997839332
FS( 107 ),2641575.559999999590218,2304007.519999999552965,2343748.020000000018626,2409983.330000000074506,2003071.070000000065193,11702385.500000000000000
FS( 108 ),2612597.899999999441206,2312385.679999999701977,2347018.350000000093132,2424713.270000000018626,2019791.339999999850988,11716506.539999999105930
FS( 109 ),2573452.639999999664724,2308196.599999999627471,2339750.950000000186265,2417348.299999999813735,2015014.119999999878928,11653762.609999997541308
FS( 110 ),2547525.259999999776483,2297424.679999999701977,2322672.560000000055879,2402618.359999999869615,2014331.659999999916181,11584572.519999999552965
FS( 111 ),2573452.639999999664724,2316574.759999999776483,2348835.200000000186265,2417348.299999999813735,2019791.339999999850988,11676002.239999998360872
FS( 112 ),2559218.000000000000000,2318370.080000000074506,2348108.459999999962747,2412438.319999999832362,2027639.630000000121072,11665774.490000000223517
FS( 113 ),2535832.519999999552965,2300416.879999999888241,2343021.280000000260770,2387888.419999999925494,2015696.580000000074506,11582855.679999999701977
FS( 114 ),2474318.540000000037253,2290841.839999999850988,2331030.070000000298023,2385433.429999999701977,2025251.020000000018626,11506874.899999998509884
FS( 115 ),2479402.339999999850988,2284259.000000000000000,2311408.089999999850988,2404255.020000000018626,2019791.339999999850988,11499115.789999999105930
FS( 116 ),2390435.839999999850988,2247754.160000000149012,2278341.419999999925494,2352700.229999999981374,2104757.610000000335276,11373989.260000001639128
FS( 117 ),2391960.979999999515712,2216036.839999999850988,2259446.180000000167638,2304418.759999999776483,2130349.860000000335276,11302212.620000001043081
FS( 118 ),2420430.259999999776483,2229800.959999999962747,2278341.419999999925494,2378068.459999999962747,2151164.889999999664724,11457805.989999998360872
FS( 119 ),2453474.959999999962747,2220225.919999999925494,2282701.859999999869615,2422258.280000000260770,2174709.759999999776483,11553370.779999999329448
FS( 120 ),2453474.959999999962747,2220225.919999999925494,2282701.859999999869615,2422258.280000000260770,2174709.759999999776483,11553370.779999999329448
FS( 121 ),2527190.059999999590218,2260919.839999999850988,2296146.549999999813735,2450081.500000000000000,2220434.580000000074506,11754772.529999999329448
FS( 122 ),2513463.799999999813735,2251344.799999999813735,2274707.720000000204891,2441898.200000000186265,2228624.099999999627471,11710038.619999999180436
FS( 123 ),2530748.719999999739230,2257927.639999999664724,2284882.080000000074506,2460719.790000000037253,2241249.610000000335276,11775527.839999999850988
FS( 124 ),2527190.059999999590218,2245958.839999999850988,2248908.450000000186265,2403436.689999999944121,2233060.089999999850988,11658554.129999998956919
FS( 125 ),2508380.000000000000000,2236383.799999999813735,2270710.649999999906868,2356791.879999999888241,2246026.830000000074506,11618293.159999998286366
FS( 126 ),2438223.559999999590218,2187311.719999999739230,2201306.979999999981374,2296235.459999999962747,2236813.620000000111759,11359891.339999999850988
FS( 127 ),2478893.959999999962747,2203469.599999999627471,2194039.580000000074506,2335515.299999999813735,2251827.740000000223517,11463746.179999999701977
FS( 128 ),2487028.040000000037253,2191500.799999999813735,2209301.120000000111759,2328150.330000000074506,2235107.469999999739230,11451087.759999997913837
FS( 129 ),2572435.879999999888241,2232793.160000000149012,2239824.200000000186265,2380523.450000000186265,2249780.360000000335276,11675357.050000000745058
FS( 130 ),2604972.200000000186265,2222619.679999999701977,2249635.189999999944121,2389525.080000000074506,2247732.980000000447035,11714485.130000000819564
FS( 131 ),2661402.379999999888241,2251344.799999999813735,2257992.700000000186265,2385433.429999999701977,2327922.030000000260770,11884095.339999999850988
FS( 132 ),2610564.379999999888241,2233990.040000000037253,2236917.240000000223517,2380523.450000000186265,2304377.160000000149012,11766372.269999999552965
FS( 133 ),2655810.200000000186265,2250147.919999999925494,2250725.299999999813735,2396890.049999999813735,2310860.530000000260770,11864434.000000000000000
FS( 134 ),2591245.939999999478459,2235186.919999999925494,2240187.569999999832362,2351063.569999999832362,2288680.580000000074506,11706364.580000000074506
FS( 135 ),2651743.159999999217689,2266305.799999999813735,2293602.959999999962747,2382978.439999999944121,2307789.459999999962747,11902419.820000000298023
FS( 136 ),2637000.139999999664724,2277077.719999999739230,2304140.689999999944121,2422258.280000000260770,2311884.219999999739230,11952361.049999997019768
FS( 137 ),2659877.240000000223517,2273487.080000000074506,2291786.109999999869615,2457446.470000000204891,2324509.730000000447035,12007106.630000000819564
FS( 138 ),2692921.939999999478459,2266305.799999999813735,2305594.169999999925494,2482814.700000000186265,2313931.599999999627471,12061568.209999999031425
FS( 139 ),2685804.620000000111759,2260919.839999999850988,2320128.970000000204891,2508182.929999999701977,2338158.929999999701977,12113195.289999999105930
FS( 140 ),2605988.959999999962747,2234588.480000000447035,2273980.979999999981374,2444353.189999999944121,2310178.070000000298023,11869089.679999999701977
FS( 141 ),2644625.839999999850988,2242368.199999999254942,2301960.470000000204891,2556464.399999999906868,2296528.870000000111759,12041947.780000001192093
FS( 142 ),2619206.839999999850988,2237580.679999999701977,2258356.069999999832362,2481178.040000000037253,2326557.110000000335276,11922878.739999998360872
FS( 143 ),2637508.519999999552965,2246557.279999999329448,2258356.069999999832362,2519639.549999999813735,2340206.309999999590218,12002267.729999996721745
FS( 144 ),2620731.979999999515712,2284259.000000000000000,2283065.229999999981374,2525367.859999999869615,2340547.540000000037253,12053971.609999999403954
FS( 145 ),2627849.299999999813735,2290841.839999999850988,2283791.970000000204891,2486088.020000000018626,2330651.870000000111759,12019223.000000000000000
FS( 146 ),2693938.700000000186265,2339913.919999999925494,2319765.600000000093132,2529459.509999999776483,2379106.530000000260770,12262184.260000001639128
FS( 147 ),2694955.459999999962747,2361457.759999999776483,2322672.560000000055879,2590834.259999999776483,2366481.019999999552965,12336401.059999998658895
FS( 148 ),2625815.779999999329448,2368639.040000000037253,2330303.330000000074506,2585105.950000000186265,2414253.219999999739230,12324117.320000000298023
FS( 149 ),2649201.259999999776483,2347693.639999999664724,2324126.040000000037253,2598199.229999999981374,2425513.809999999590218,12344733.980000000447035
FS( 150 ),2651234.779999999329448,2338717.040000000037253,2298690.140000000130385,2563011.040000000037253,2435068.250000000000000,12286721.250000000000000
FS( 151 ),2649709.639999999664724,2333331.080000000074506,2291786.109999999869615,2529459.509999999776483,2448717.450000000186265,12253003.789999999105930
FS( 152 ),2654793.439999999478459,2333331.080000000074506,2296873.290000000037253,2501636.290000000037253,2460660.500000000000000,12247294.599999999627471
FS( 153 ),2626832.540000000037253,2317771.639999999664724,2272164.129999999888241,2470539.750000000000000,2465778.950000000186265,12153087.009999997913837
FS( 154 ),2620731.979999999515712,2293235.599999999627471,2261626.399999999906868,2509001.259999999776483,2467485.099999999627471,12152080.339999997988343
FS( 155 ),2648184.500000000000000,2312385.679999999701977,2293966.330000000074506,2538461.140000000130385,2497172.110000000335276,12290169.760000001639128
FS( 156 ),2615648.179999999701977,2288448.080000000074506,2272890.870000000111759,2601472.549999999813735,2490347.509999999776483,12268807.189999999478459
FS( 157 ),2578536.439999999478459,2324952.919999999925494,2300506.990000000223517,2623567.459999999962747,2494442.269999999552965,12322006.079999998211861
FS( 158 ),2588195.659999999217689,2317173.199999999254942,2325579.520000000018626,2615384.160000000149012,2485911.519999999552965,12332244.059999998658895
FS( 159 ),2590737.559999999590218,2320763.839999999850988,2314315.049999999813735,2565466.030000000260770,2440869.160000000149012,12232151.640000000596046
FS( 160 ),2577519.679999999701977,2305204.400000000372529,2278704.790000000037253,2572831.000000000000000,2465437.719999999739230,12199697.589999999850988
FS( 161 ),2590737.559999999590218,2300416.879999999888241,2243457.899999999906868,2546644.439999999944121,2451788.519999999552965,12133045.299999998882413
FS( 162 ),2601413.540000000037253,2293834.040000000037253,2212571.450000000186265,2509001.259999999776483,2461684.190000000409782,12078504.480000000447035
FS( 163 ),2596329.740000000223517,2304605.959999999962747,2215841.779999999795109,2499999.629999999888241,2459636.809999999590218,12076413.919999998062849
FS( 164 ),2689871.659999999217689,2359064.000000000000000,2238734.089999999850988,2593289.250000000000000,2513892.379999999888241,12394851.379999998956919
FS( 165 ),2730542.059999999590218,2394371.959999999962747,2279068.160000000149012,2641570.720000000204891,2542896.929999999701977,12588449.830000000074506
FS( 166 ),2707156.580000000074506,2427286.160000000149012,2296873.290000000037253,2676758.910000000149012,2558593.509999999776483,12666668.450000001117587
FS( 167 ),2652759.919999999925494,2417711.120000000111759,2276524.569999999832362,2640752.390000000130385,2539825.860000000335276,12527573.859999999403954
FS( 168 ),2627340.919999999925494,2424293.959999999962747,2301960.470000000204891,2608019.189999999944121,2512186.230000000447035,12473800.769999999552965
FS( 169 ),2612597.899999999441206,2386592.240000000223517,2284518.709999999962747,2644844.040000000037253,2526859.120000000111759,12455412.010000001639128
FS( 170 ),2658352.099999999627471,2418908.000000000000000,2315041.790000000037253,2679213.900000000372529,2543920.620000000111759,12615436.410000000149012
FS( 171 ),2643609.080000000074506,2412923.599999999627471,2308137.760000000242144,2680850.559999999590218,2534707.410000000149012,12580228.410000000149012
FS( 172 ),2663944.279999999329448,2387190.679999999701977,2302687.209999999962747,2667757.280000000260770,2524811.740000000223517,12546391.189999999478459
FS( 173 ),2683771.099999999627471,2380607.839999999850988,2318675.490000000223517,2683305.549999999813735,2535731.099999999627471,12602091.080000000074506
FS( 174 ),2702072.779999999329448,2371032.799999999813735,2321582.450000000186265,2629295.770000000018626,2520034.519999999552965,12544018.319999998435378
FS( 175 ),2697497.360000000335276,2357867.120000000111759,2324852.779999999795109,2640752.390000000130385,2514233.610000000335276,12535203.260000001639128
FS( 176 ),2685296.240000000223517,2351882.719999999739230,2315768.529999999795109,2625204.119999999646097,2504679.169999999925494,12482830.779999999329448
FS( 177 ),2781380.059999999590218,2356670.240000000223517,2308864.500000000000000,2657118.989999999757856,2525494.200000000186265,12629527.989999998360872
FS( 178 ),2796123.080000000074506,2354874.919999999925494,2316495.270000000018626,2640752.390000000130385,2540508.320000000298023,12648753.980000000447035
FS( 179 ),2862720.860000000335276,2366843.719999999739230,2326669.629999999888241,2653027.340000000316650,2462025.419999999925494,12671286.970000000670552
FS( 180 ),2884072.819999999366701,2365646.839999999850988,2366640.330000000074506,2632569.090000000316650,2456565.740000000223517,12705494.820000000298023
FS( 181 ),2875938.740000000223517,2362056.199999999254942,2385172.200000000186265,2621930.799999999813735,2467143.870000000111759,12712241.809999998658895
FS( 182 ),2863229.240000000223517,2349488.959999999962747,2370274.030000000260770,2608837.520000000018626,2437456.860000000335276,12629286.609999999403954
FS( 183 ),2879497.399999999441206,2320165.400000000372529,2378268.169999999925494,2621112.470000000204891,2449058.679999999701977,12648102.119999999180436
FS( 184 ),2874921.979999999515712,2280668.359999999403954,2354649.120000000111759,2601472.549999999813735,2441892.849999999627471,12553604.859999997541308
FS( 185 ),2895765.559999999590218,2302212.199999999254942,2376451.320000000298023,2591652.590000000316650,2460660.500000000000000,12626742.169999999925494
FS( 186 ),2881022.540000000037253,2284259.000000000000000,2368457.180000000167638,2612110.840000000316650,2473968.469999999739230,12619818.030000001192093
FS( 187 ),2873905.219999999739230,2274085.519999999552965,2356102.600000000093132,2606382.530000000260770,2470897.399999999441206,12581373.269999999552965
FS( 188 ),2889665.000000000000000,2241769.759999999776483,2354649.120000000111759,2619475.809999999590218,2483181.679999999701977,12588741.369999999180436
FS( 189 ),2878480.639999999664724,2222619.679999999701977,2343384.649999999906868,2592470.919999999925494,2465437.719999999739230,12502393.609999999403954
FS( 190 ),2885089.580000000074506,2238179.120000000111759,2352468.899999999906868,2623567.459999999962747,2477380.769999999552965,12576685.829999998211861
FS( 191 ),2887123.099999999627471,2230997.839999999850988,2348835.200000000186265,2629295.770000000018626,2508432.700000000186265,12604684.609999999403954
FS( 192 ),2874413.599999999627471,2244761.959999999962747,2344838.129999999888241,2610474.179999999701977,2509797.620000000111759,12584285.489999998360872
