代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14703812.509999999776483
真實報酬,4703812.509999999776483

夏普值報酬,0.461681251000000
夏普值風險,0.118555543640047
夏普值,3.894219003387450

二次趨勢線,30.804209814060268 x^2 + 10944.674243865030803 x + 10000000.000000000000000
二次平均預期報酬,18738.139326822285511
風險,211398.697476344008464
二次平均趨勢值,0.088638858945283
一次趨勢線,16778.198602989497886 x + 10000000.000000000000000
一次預期報酬,16778.198602989497886
一次風險,304955.364352298900485
一次趨勢值,0.055018538987255
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),DD[7](9),MMM[16](2),NKE[19](3),UNH[23](11),
FS( 13 ),2033054.839999999850988,1911848.510000000009313,2007170.559999999823049,2020134.079999999841675,1858123.279999999795109,9830331.269999999552965
FS( 14 ),2049441.000000000000000,1912314.919999999925494,1994846.159999999916181,2005033.519999999785796,1866200.419999999925494,9827836.019999999552965
FS( 15 ),2066674.719999999972060,1914180.559999999823049,1993053.520000000018626,2005033.519999999785796,1879896.439999999944121,9858838.759999999776483
FS( 16 ),2083343.399999999674037,1951493.360000000102445,2023080.239999999990687,2029362.200000000186265,1893592.459999999962747,9980871.660000000149012
FS( 17 ),2098316.959999999962747,1965019.250000000000000,2018822.719999999972060,2048657.360000000102445,1879896.439999999944121,10010712.730000000447035
FS( 18 ),2104532.399999999906868,1973414.630000000121072,2023752.479999999981374,2034395.719999999972060,1846885.520000000018626,9982980.750000000000000
FS( 19 ),2093231.600000000093132,1984142.059999999823049,2037645.440000000176951,2078858.479999999981374,1852504.399999999906868,10046381.980000000447035
FS( 20 ),2094079.160000000149012,1992537.439999999944121,2031371.200000000186265,2075502.799999999813735,1909044.379999999888241,10102534.980000000447035
FS( 21 ),2098599.479999999981374,2005130.510000000009313,2038093.600000000093132,2044462.760000000009313,1910097.919999999925494,10096384.269999999552965
FS( 22 ),2091253.959999999729916,1946362.849999999860302,2023528.399999999906868,2046140.600000000093132,1892538.919999999925494,9999824.729999998584390
FS( 23 ),2092101.519999999785796,1945896.439999999944121,2019494.960000000195578,2048657.360000000102445,1880247.619999999878928,9986397.900000000372529
FS( 24 ),2087016.160000000149012,1958955.919999999925494,2033836.080000000074506,2048657.360000000102445,1890783.020000000018626,10019248.540000000968575
FS( 25 ),2090123.880000000121072,1968750.530000000027940,2038093.600000000093132,2064596.839999999850988,1884110.599999999860302,10045675.449999999254942
FS( 26 ),2108770.199999999720603,2012593.069999999832362,2050642.080000000074506,2067952.519999999785796,1891836.559999999823049,10131794.429999999701977
FS( 27 ),2133914.479999999981374,2033115.110000000102445,2058708.960000000195578,2057046.559999999823049,1903074.319999999832362,10185859.429999999701977
FS( 28 ),2142107.559999999590218,2062498.939999999944121,2099267.439999999944121,2084730.920000000158325,1923091.579999999841675,10311696.439999999478459
FS( 29 ),2132219.359999999869615,2069028.679999999934807,2086718.960000000195578,2080536.320000000065193,1940299.399999999906868,10308802.720000000670552
FS( 30 ),2099729.559999999590218,2061099.709999999729916,2072826.000000000000000,2041107.079999999841675,1909746.739999999990687,10184509.089999999850988
FS( 31 ),2091253.959999999729916,2086752.260000000009313,2067896.239999999990687,2032717.880000000121072,1898157.799999999813735,10176778.140000000596046
FS( 32 ),2109052.720000000204891,2113337.629999999888241,2084702.239999999990687,2055368.719999999972060,1909044.379999999888241,10271505.689999999478459
FS( 33 ),2133631.959999999962747,2178168.620000000111759,2103076.799999999813735,2074663.880000000121072,1929764.000000000000000,10419305.259999999776483
FS( 34 ),2133349.439999999944121,2153915.299999999813735,2084478.159999999916181,2051174.119999999878928,1913609.719999999972060,10336526.740000000223517
FS( 35 ),2152843.319999999832362,2158112.990000000223517,2109351.040000000037253,2076341.719999999972060,1947674.179999999934807,10444323.250000000000000
FS( 36 ),2151995.759999999776483,2124997.879999999888241,2086270.799999999813735,2204696.480000000447035,1932573.439999999944121,10500534.359999999403954
FS( 37 ),2146345.359999999869615,2137590.949999999720603,2088287.520000000018626,2214763.519999999552965,1926252.199999999953434,10513239.549999998882413
FS( 38 ),2147757.959999999962747,2153448.890000000130385,2085598.559999999823049,2153522.360000000335276,1904127.859999999869615,10444455.629999998956919
FS( 39 ),2142390.080000000074506,2133393.260000000242144,2075963.120000000111759,2171139.679999999701977,1911853.819999999832362,10434739.960000000894070
FS( 40 ),2110182.799999999813735,2100278.149999999906868,2056692.239999999990687,2139260.719999999739230,1891485.379999999888241,10297899.289999999105930
FS( 41 ),2129111.640000000130385,2147385.560000000055879,2080668.799999999813735,2164428.320000000298023,1904830.219999999972060,10426424.540000000968575
FS( 42 ),2177422.559999999590218,2195425.790000000037253,2123916.240000000223517,2174495.360000000335276,1915365.619999999878928,10586625.569999998435378
FS( 43 ),2188723.359999999869615,2201955.529999999795109,2121451.359999999869615,2197146.200000000186265,1825814.719999999972060,10535091.169999999925494
FS( 44 ),2194938.799999999813735,2233671.410000000149012,2137136.959999999962747,2218119.200000000186265,1829326.520000000018626,10613192.890000000596046
FS( 45 ),2150865.679999999701977,2231339.359999999869615,2139825.919999999925494,2221474.879999999888241,1829326.520000000018626,10572832.359999999403954
FS( 46 ),2094361.679999999701977,2198690.660000000149012,2140050.000000000000000,2197985.120000000111759,1805095.099999999860302,10436182.560000000521541
FS( 47 ),2168664.439999999944121,2225276.029999999795109,2160441.279999999795109,2200501.879999999888241,1839159.559999999823049,10594043.189999999478459
FS( 48 ),2177987.600000000093132,2247663.709999999962747,2171197.120000000111759,2204696.480000000447035,1865146.879999999888241,10666691.789999999105930
FS( 49 ),2123461.239999999757856,2249062.939999999944121,2157528.240000000223517,2227347.320000000298023,1854962.659999999916181,10612362.400000000372529
FS( 50 ),2162731.520000000018626,2277047.540000000037253,2175454.640000000130385,2231541.919999999925494,1873926.379999999888241,10720702.000000000000000
FS( 51 ),2173749.799999999813735,2264454.469999999739230,2180160.320000000298023,2249998.160000000149012,1883057.059999999823049,10751419.810000000521541
FS( 52 ),2100294.600000000093132,2235537.049999999813735,2187106.799999999813735,2254192.759999999776483,1884461.779999999795109,10661592.990000000223517
FS( 53 ),2126286.439999999944121,2245798.069999999832362,2197862.640000000130385,2243286.799999999813735,1910449.099999999860302,10723683.049999998882413
FS( 54 ),2120071.000000000000000,2244865.250000000000000,2212651.919999999925494,2235736.519999999552965,1916067.979999999981374,10729392.669999999925494
FS( 55 ),2095209.239999999757856,2255126.270000000018626,2225872.640000000130385,2243286.799999999813735,1967340.260000000009313,10786835.209999999031425
FS( 56 ),2098882.000000000000000,2263521.649999999906868,2229457.919999999925494,2227347.320000000298023,1963477.279999999795109,10782686.169999999925494
FS( 57 ),2127981.559999999590218,2286842.149999999906868,2233491.359999999869615,2259226.280000000260770,1974363.859999999869615,10881905.209999997168779
FS( 58 ),2119788.479999999981374,2297103.169999999925494,2254106.720000000204891,2330534.480000000447035,1968042.619999999878928,10969575.470000000670552
FS( 59 ),2090688.919999999925494,2286375.740000000223517,2255451.200000000186265,2286071.719999999739230,1959965.479999999981374,10878553.060000000521541
FS( 60 ),2080800.719999999972060,2306897.779999999795109,2281444.479999999981374,2261743.040000000037253,1976470.939999999944121,10907356.959999999031425
FS( 61 ),2107357.600000000093132,2298968.810000000055879,2258812.399999999906868,2249159.240000000223517,1969447.339999999850988,10883745.390000000596046
FS( 62 ),2087016.160000000149012,2138990.179999999701977,2253210.399999999906868,2267615.480000000447035,1938894.679999999934807,10685726.900000000372529
FS( 63 ),2115268.160000000149012,2164642.729999999981374,2275842.479999999981374,2252514.919999999925494,1958560.760000000009313,10766829.050000000745058
FS( 64 ),2124873.839999999850988,2134326.079999999608845,2258140.159999999683350,2250837.080000000074506,1957858.399999999906868,10726035.560000000521541
FS( 65 ),2144085.199999999720603,2145986.329999999608845,2274273.919999999925494,2260904.120000000111759,2028796.760000000009313,10854046.330000000074506
FS( 66 ),2155386.000000000000000,2160911.449999999720603,2301163.520000000018626,2271810.080000000074506,2015100.739999999990687,10904371.789999999105930
FS( 67 ),2187593.280000000260770,2138990.179999999701977,2290631.759999999776483,2293622.000000000000000,2003511.799999999813735,10914349.019999999552965
FS( 68 ),2163014.040000000037253,2153448.890000000130385,2300491.279999999795109,2290266.320000000298023,2027743.219999999972060,10934963.750000000000000
FS( 69 ),2143520.160000000149012,2157180.169999999925494,2299594.959999999962747,2316272.839999999850988,2005970.059999999823049,10922538.189999999478459
FS( 70 ),2146910.399999999906868,2175836.569999999832362,2318417.679999999701977,2311239.320000000298023,2002107.079999999841675,10954511.049999998882413
FS( 71 ),2112725.479999999981374,2192160.919999999925494,2304972.879999999888241,2288588.480000000447035,2009833.039999999804422,10908280.800000000745058
FS( 72 ),2116963.280000000260770,2158112.990000000223517,2303180.240000000223517,2291105.240000000223517,2003511.799999999813735,10872873.550000000745058
FS( 73 ),2119788.479999999981374,2136191.719999999739230,2313263.840000000316650,2305366.879999999888241,2012993.659999999916181,10887604.579999998211861
FS( 74 ),2109052.720000000204891,2138990.179999999701977,2334551.439999999944121,2285232.799999999813735,1989815.779999999795109,10857642.919999999925494
FS( 75 ),2112725.479999999981374,2101677.379999999888241,2311471.200000000186265,2265937.639999999664724,1938894.679999999934807,10730706.379999998956919
FS( 76 ),2147475.439999999944121,2048506.639999999897555,2301835.759999999776483,2287749.559999999590218,1939948.219999999972060,10725515.619999999180436
FS( 77 ),2165839.239999999757856,2084420.209999999729916,2320210.320000000298023,2285232.799999999813735,1912907.359999999869615,10768609.929999999701977
FS( 78 ),2119788.479999999981374,2034980.750000000000000,2280100.000000000000000,2266776.559999999590218,1871819.299999999813735,10573465.089999999850988
FS( 79 ),2137304.720000000204891,2051771.510000000009313,2292648.479999999981374,2276843.599999999627471,1863039.799999999813735,10621608.109999999403954
FS( 80 ),2185615.640000000130385,2112871.219999999739230,2320882.560000000055879,2279360.360000000335276,1891836.559999999823049,10790566.340000001713634
FS( 81 ),2172619.720000000204891,2106807.890000000130385,2330518.000000000000000,2284393.879999999888241,1877087.000000000000000,10771426.490000000223517
FS( 82 ),2183355.479999999981374,2112871.219999999739230,2325364.159999999683350,2299494.440000000409782,1879545.260000000009313,10800630.560000000521541
FS( 83 ),2177987.600000000093132,2120333.779999999795109,2314384.240000000223517,2296138.759999999776483,1872521.659999999916181,10781366.039999999105930
FS( 84 ),2222343.239999999757856,2138990.179999999701977,2340601.600000000093132,2302850.120000000111759,1878842.899999999906868,10883628.040000000968575
FS( 85 ),2234209.080000000074506,2172571.699999999720603,2345307.279999999795109,2319628.519999999552965,1882705.879999999888241,10954422.459999997168779
FS( 86 ),2289865.520000000018626,2158579.399999999906868,2342618.320000000298023,2316272.839999999850988,1889378.299999999813735,10996714.379999998956919
FS( 87 ),2294950.879999999888241,2176769.390000000130385,2368835.679999999701977,2294460.919999999925494,1889729.479999999981374,11024746.349999999627471
FS( 88 ),2343261.799999999813735,2191228.099999999627471,2371076.479999999981374,2287749.559999999590218,1903776.679999999934807,11097092.619999997317791
FS( 89 ),2377729.239999999757856,2208018.859999999869615,2355839.040000000037253,2244125.719999999739230,1925549.839999999850988,11111262.699999999254942
FS( 90 ),2394397.919999999925494,2205686.810000000055879,2354942.720000000204891,2301172.280000000260770,1913258.539999999804422,11169458.269999999552965
FS( 91 ),2390725.160000000149012,2236469.870000000111759,2375782.159999999683350,2294460.919999999925494,1922038.039999999804422,11219476.149999998509884
FS( 92 ),2441861.280000000260770,2245798.069999999832362,2384297.200000000186265,2297816.599999999627471,1922038.039999999804422,11291811.189999997615814
FS( 93 ),2406546.280000000260770,2209884.500000000000000,2362113.279999999795109,2271810.080000000074506,1931519.899999999906868,11181874.040000000968575
FS( 94 ),2415869.439999999944121,2204753.990000000223517,2356959.439999999944121,2258387.360000000335276,1937489.959999999962747,11173460.190000001341105
FS( 95 ),2411914.160000000149012,2221078.339999999850988,2367715.279999999795109,2300333.360000000335276,1927305.739999999990687,11228346.880000000819564
FS( 96 ),2382532.080000000074506,2157180.169999999925494,2351581.520000000018626,2248320.320000000298023,1933626.979999999981374,11073241.070000000298023
FS( 97 ),2396375.559999999590218,2177235.799999999813735,2384745.359999999869615,2497479.559999999590218,1912556.179999999934807,11368392.459999997168779
FS( 98 ),2397223.119999999646097,2144587.099999999627471,2356735.359999999869615,2498318.480000000447035,1926603.379999999888241,11323467.439999997615814
FS( 99 ),2447229.160000000149012,2125464.290000000037253,2376902.560000000055879,2494962.799999999813735,1954346.599999999860302,11398905.409999998286366
FS( 100 ),2435363.319999999832362,2111005.579999999608845,2359424.320000000298023,2452177.879999999888241,1988411.059999999823049,11346382.160000000149012
FS( 101 ),2425475.119999999646097,2114736.859999999869615,2382280.479999999981374,2475667.639999999664724,2009130.679999999934807,11407290.779999997466803
FS( 102 ),2408523.919999999925494,2083487.389999999897555,2367491.200000000186265,2443788.679999999701977,2070938.359999999869615,11374229.549999998882413
FS( 103 ),2375751.600000000093132,2055969.199999999953434,2386986.159999999683350,2470634.120000000111759,2168215.220000000204891,11457556.299999998882413
FS( 104 ),2383379.640000000130385,2059234.069999999832362,2368163.439999999944121,2471473.040000000037253,2165756.959999999962747,11448007.150000002235174
FS( 105 ),2400048.319999999832362,2087685.079999999841675,2371300.560000000055879,2489090.360000000335276,2178399.439999999944121,11526523.759999999776483
FS( 106 ),2434515.759999999776483,2052237.919999999925494,2370404.240000000223517,2473989.799999999813735,2180857.700000000186265,11512005.419999998062849
FS( 107 ),2450901.919999999925494,2037779.209999999729916,2369732.000000000000000,2515096.879999999888241,2173482.919999999925494,11546992.929999999701977
FS( 108 ),2463897.839999999850988,2088151.489999999990687,2374213.600000000093132,2512580.120000000111759,2183667.139999999664724,11622510.190000001341105
FS( 109 ),2481131.559999999590218,2114270.449999999720603,2413203.520000000018626,2529358.519999999552965,2191744.279999999795109,11729708.329999998211861
FS( 110 ),2501190.479999999981374,2116136.089999999850988,2425752.000000000000000,2567109.919999999925494,2211761.539999999571592,11821950.029999999329448
FS( 111 ),2511361.199999999720603,2108673.529999999795109,2412979.439999999944121,2541103.399999999441206,2213517.439999999944121,11787635.009999999776483
FS( 112 ),2451466.959999999962747,2004664.099999999860302,2369956.080000000074506,2503352.000000000000000,2162947.520000000018626,11492386.660000000149012
FS( 113 ),2454857.199999999720603,2010727.429999999934807,2378695.200000000186265,2537747.719999999739230,2205791.479999999981374,11587819.030000001192093
FS( 114 ),2449206.799999999813735,2012593.069999999832362,2363681.840000000316650,2554526.120000000111759,2178399.439999999944121,11558407.269999997690320
FS( 115 ),2433103.160000000149012,2004664.099999999860302,2352477.840000000316650,2524325.000000000000000,2096223.319999999832362,11410793.419999999925494
FS( 116 ),2485086.839999999850988,2029383.829999999841675,2368835.679999999701977,2555365.040000000037253,2108514.619999999646097,11547186.009999999776483
FS( 117 ),2456269.799999999813735,2058301.250000000000000,2370852.399999999906868,2573821.280000000260770,2079717.859999999869615,11538962.589999999850988
FS( 118 ),2491302.280000000260770,2103076.609999999869615,2406481.120000000111759,2587244.000000000000000,2055837.619999999878928,11643941.630000000819564
FS( 119 ),2566170.080000000074506,2136658.129999999888241,2417236.959999999962747,2581371.559999999590218,2064617.119999999878928,11766053.849999999627471
FS( 120 ),2589901.759999999776483,2256525.500000000000000,2350237.040000000037253,2604022.399999999441206,2083932.020000000018626,11884618.719999998807907
FS( 121 ),2623239.119999999646097,2219679.109999999869615,2325812.320000000298023,2596472.120000000111759,2088848.539999999804422,11854051.209999999031425
FS( 122 ),2596399.720000000204891,2249529.349999999627471,2326708.640000000130385,2627512.160000000149012,2107461.079999999608845,11907610.950000001117587
FS( 123 ),2582556.239999999757856,2252327.810000000055879,2346427.679999999701977,2667780.320000000298023,2104651.639999999664724,11953743.690000001341105
FS( 124 ),2576058.280000000260770,2201955.529999999795109,2342842.399999999906868,2657713.280000000260770,2097276.859999999869615,11875846.350000001490116
FS( 125 ),2605157.839999999850988,2200089.890000000130385,2376230.320000000298023,2656035.440000000409782,2088848.539999999804422,11926362.030000001192093
FS( 126 ),2648383.399999999906868,2255592.679999999701977,2416340.640000000130385,2708048.480000000447035,2069182.459999999962747,12097547.660000000149012
FS( 127 ),2661096.799999999813735,2258857.549999999813735,2416564.720000000204891,2682880.879999999888241,2114133.500000000000000,12133533.449999999254942
FS( 128 ),2678048.000000000000000,2294304.709999999962747,2420374.080000000074506,2681203.040000000037253,2124668.899999999906868,12198598.730000000447035
FS( 129 ),2656859.000000000000000,2292439.069999999832362,2424631.600000000093132,2680364.120000000111759,2195256.079999999608845,12249549.869999999180436
FS( 130 ),2672962.640000000130385,2319490.849999999627471,2463173.359999999869615,2673652.759999999776483,2177697.079999999608845,12306976.689999999478459
FS( 131 ),2662509.399999999906868,2288707.790000000037253,2475721.840000000316650,2716437.680000000633299,2209303.279999999795109,12352679.990000000223517
FS( 132 ),2677200.439999999944121,2281711.640000000130385,2476170.000000000000000,2712243.080000000074506,2191041.919999999925494,12338367.080000000074506
FS( 133 ),2715340.640000000130385,2319957.260000000242144,2478186.720000000204891,2765095.040000000037253,2167864.039999999571592,12446443.699999999254942
FS( 134 ),2741049.959999999962747,2347475.449999999720603,2498578.000000000000000,2761739.360000000335276,2163649.879999999888241,12512492.649999998509884
FS( 135 ),2728619.080000000074506,2331617.510000000242144,2488942.560000000055879,2703014.959999999962747,2182262.419999999925494,12434456.529999999329448
FS( 136 ),2794728.759999999776483,2379191.329999999608845,2496113.120000000111759,2739927.439999999478459,2206845.020000000018626,12616805.669999998062849
FS( 137 ),2789078.359999999869615,2365199.029999999795109,2503507.759999999776483,2740766.360000000335276,2197011.979999999981374,12595563.490000000223517
FS( 138 ),2789925.919999999925494,2376392.870000000111759,2510006.080000000074506,2736571.759999999776483,2207898.559999999590218,12620795.189999997615814
FS( 139 ),2766759.280000000260770,2332550.329999999608845,2482668.320000000298023,2703853.879999999888241,2187178.939999999944121,12473010.749999998137355
FS( 140 ),2818177.919999999925494,2331617.510000000242144,2474153.279999999795109,2656874.360000000335276,2189988.379999999888241,12470811.449999999254942
FS( 141 ),2825240.919999999925494,2330218.279999999795109,2471016.159999999683350,2634223.519999999552965,2179452.979999999981374,12440151.859999999403954
FS( 142 ),2828348.640000000130385,2327419.819999999832362,2500594.720000000204891,2654357.599999999627471,2224404.020000000018626,12535124.799999998882413
FS( 143 ),2799531.600000000093132,2320890.079999999608845,2490287.040000000037253,2640095.959999999962747,2224755.200000000186265,12475559.879999998956919
FS( 144 ),2840497.000000000000000,2311561.879999999888241,2496785.359999999869615,2618284.040000000037253,2270759.779999999795109,12537888.060000000521541
FS( 145 ),2797553.959999999962747,2288707.790000000037253,2471016.159999999683350,2586405.080000000074506,2199470.240000000223517,12343153.230000000447035
FS( 146 ),2846147.399999999906868,2280778.819999999832362,2478634.879999999888241,2644290.559999999590218,2205440.299999999813735,12455291.960000000894070
FS( 147 ),2814222.640000000130385,2299435.219999999739230,2465414.159999999683350,2633384.599999999627471,2189988.379999999888241,12402445.000000000000000
FS( 148 ),2782580.399999999906868,2235537.049999999813735,2433370.720000000204891,2590599.679999999701977,2168566.399999999906868,12210654.250000000000000
FS( 149 ),2818460.439999999944121,2250928.579999999608845,2435163.359999999869615,2607378.080000000074506,2174536.459999999962747,12286466.919999998062849
FS( 150 ),2895588.399999999906868,2281711.640000000130385,2489838.879999999888241,2632545.679999999701977,2197363.160000000149012,12497047.759999999776483
FS( 151 ),2888525.399999999906868,2280312.410000000149012,2483116.479999999981374,2644290.559999999590218,2236344.139999999664724,12532588.990000002086163
FS( 152 ),2874681.919999999925494,2258391.140000000130385,2469895.759999999776483,2607378.080000000074506,2245123.639999999664724,12455470.539999999105930
FS( 153 ),2850102.679999999701977,2244398.839999999850988,2443230.240000000223517,2576338.040000000037253,2241611.839999999850988,12355681.640000000596046
FS( 154 ),2886265.239999999757856,2301300.859999999869615,2491855.600000000093132,2590599.679999999701977,2252849.600000000093132,12522870.979999998584390
FS( 155 ),2876942.080000000074506,2258857.549999999813735,2488046.240000000223517,2596472.120000000111759,2240558.299999999813735,12460876.289999999105930
FS( 156 ),2910844.479999999981374,2267719.339999999850988,2507765.279999999795109,2598149.959999999962747,2260575.560000000055879,12545054.619999999180436
FS( 157 ),2940509.080000000074506,2299435.219999999739230,2531517.759999999776483,2607378.080000000074506,2306580.140000000130385,12685420.280000001192093
FS( 158 ),2888807.919999999925494,2264920.879999999888241,2500146.560000000055879,2590599.679999999701977,2291830.580000000074506,12536305.619999999180436
FS( 159 ),2815070.199999999720603,2204753.990000000223517,2437628.240000000223517,2549492.599999999627471,2240558.299999999813735,12247503.329999998211861
FS( 160 ),2824675.879999999888241,2167441.189999999944121,2455778.720000000204891,2541103.399999999441206,2244070.099999999627471,12233069.290000000968575
FS( 161 ),2764499.119999999646097,2148784.790000000037253,2408946.000000000000000,2515096.879999999888241,2270408.600000000093132,12107735.389999998733401
FS( 162 ),2787665.759999999776483,2158579.399999999906868,2425527.919999999925494,2533553.120000000111759,2238100.039999999571592,12143426.239999998360872
FS( 163 ),2846429.919999999925494,2138990.179999999701977,2457795.439999999944121,2594794.280000000260770,2274973.939999999944121,12312983.759999999776483
FS( 164 ),2914234.720000000204891,2148784.790000000037253,2470343.919999999925494,2614089.440000000409782,2320978.520000000018626,12468431.390000000596046
FS( 165 ),2894175.799999999813735,2136658.129999999888241,2450400.799999999813735,2671136.000000000000000,2299556.540000000037253,12451927.269999999552965
FS( 166 ),2916777.399999999906868,2158579.399999999906868,2449504.479999999981374,2614928.360000000335276,2304824.239999999757856,12444613.880000000819564
FS( 167 ),2866771.359999999869615,2154848.120000000111759,2436507.840000000316650,2626673.240000000223517,2292181.759999999776483,12376982.320000000298023
FS( 168 ),2906889.199999999720603,2153915.299999999813735,2452641.600000000093132,2636740.280000000260770,2301663.620000000111759,12451850.000000000000000
FS( 169 ),2943899.319999999832362,2171172.469999999739230,2499474.320000000298023,2669458.160000000149012,2323787.959999999962747,12607792.230000000447035
FS( 170 ),2948702.160000000149012,2197757.839999999850988,2512695.040000000037253,2672813.839999999850988,2372601.979999999981374,12704570.859999999403954
FS( 171 ),2957460.280000000260770,2259790.370000000111759,2540032.799999999813735,2682041.959999999962747,2387000.359999999869615,12826325.769999999552965
FS( 172 ),2980626.919999999925494,2244398.839999999850988,2541825.439999999944121,2667780.320000000298023,2377167.319999999832362,12811798.839999999850988
FS( 173 ),3019614.679999999701977,2271450.620000000111759,2566474.240000000223517,2672813.839999999850988,2400696.379999999888241,12931049.759999997913837
FS( 174 ),2878072.160000000149012,2266320.109999999869615,2580143.120000000111759,2671136.000000000000000,2388053.899999999906868,12783725.290000000968575
FS( 175 ),2985147.239999999757856,2284976.510000000242144,2573644.799999999813735,2657713.280000000260770,2374709.060000000055879,12876190.890000000596046
FS( 176 ),2944746.879999999888241,2256525.500000000000000,2562216.720000000204891,2630028.919999999925494,2349775.279999999795109,12743293.299999998882413
FS( 177 ),2960568.000000000000000,2306897.779999999795109,2568939.120000000111759,2656874.360000000335276,2325895.040000000037253,12819174.300000000745058
FS( 178 ),3040803.679999999701977,2297103.169999999925494,2587761.840000000316650,2656035.440000000409782,2477604.799999999813735,13059308.929999999701977
FS( 179 ),3021874.839999999850988,2302700.089999999850988,2603671.520000000018626,2657713.280000000260770,2509211.000000000000000,13095170.730000000447035
FS( 180 ),3019049.640000000130385,2297569.579999999608845,2605688.240000000223517,2655196.519999999552965,2534847.140000000130385,13112351.120000001043081
FS( 181 ),3045324.000000000000000,2294771.120000000111759,2616220.000000000000000,2651001.919999999925494,2552757.319999999832362,13160074.359999999403954
FS( 182 ),3021592.319999999832362,2283110.870000000111759,2606808.640000000130385,2627512.160000000149012,2547138.439999999944121,13086162.429999999701977
FS( 183 ),3014529.319999999832362,2324154.949999999720603,2611738.399999999906868,2621639.719999999739230,2550299.060000000055879,13122361.450000001117587
FS( 184 ),2983452.119999999646097,2305032.140000000130385,2619805.279999999795109,2623317.559999999590218,2535900.679999999701977,13067507.779999997466803
FS( 185 ),2961133.040000000037253,2324621.359999999869615,2613082.879999999888241,2630867.839999999850988,2556269.120000000111759,13085974.240000002086163
FS( 186 ),2987124.879999999888241,2328819.049999999813735,2618236.720000000204891,2636740.280000000260770,2538007.759999999776483,13108928.689999999478459
FS( 187 ),2969326.119999999646097,2327419.819999999832362,2631457.439999999944121,2639257.040000000037253,2558376.199999999720603,13125836.619999997317791
FS( 188 ),3014529.319999999832362,2351206.729999999981374,2653417.279999999795109,2767611.799999999813735,2569262.779999999795109,13356027.909999998286366
FS( 189 ),3048431.720000000204891,2405776.699999999720603,2650056.080000000074506,2781034.519999999552965,2537656.580000000074506,13422955.599999999627471
FS( 190 ),3037130.919999999925494,2423033.870000000111759,2642437.359999999869615,2785229.120000000111759,2575584.020000000018626,13463415.289999999105930
FS( 191 ),3024135.000000000000000,2395049.270000000018626,2633026.000000000000000,2791101.560000000521541,2572072.219999999739230,13415384.050000000745058
FS( 192 ),3006618.759999999776483,2410440.799999999813735,2640420.640000000130385,2753350.160000000149012,2560834.459999999962747,13371664.820000000298023
