代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12844765.609999997541308
真實報酬,2844765.609999997541308

夏普值報酬,0.275776561000000
夏普值風險,0.074137384144527
夏普值,3.719804309016167

二次趨勢線,6.320128725087857 x^2 + 9551.836429927470817 x + 10000000.000000000000000
二次平均預期報酬,11157.149126099786372
風險,196466.550417776510585
二次平均趨勢值,0.056789051888857
一次趨勢線,10753.446229133354791 x + 10000000.000000000000000
一次預期報酬,10753.446229133354791
一次風險,201655.752345201733988
一次趨勢值,0.053325759885715
找到最佳解世代,2002
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JPM[13](1),MRK[17](6),PG[21](20),UNH[23](4),
FS( 49 ),2471967.820000000298023,2711822.299999999813735,2549616.979999999981374,2725211.679999999701977,10458618.779999999329448
FS( 50 ),2517838.660000000149012,2726107.990000000223517,2552698.779999999795109,2735350.520000000018626,10531995.949999999254942
FS( 51 ),2624445.890000000130385,2756649.810000000055879,2541296.119999999646097,2756059.640000000130385,10678451.460000000894070
FS( 52 ),2658424.290000000502914,2780787.700000000186265,2527428.020000000018626,2760805.479999999981374,10727445.490000000223517
FS( 53 ),2627843.729999999981374,2765516.790000000037253,2536365.239999999757856,2746783.679999999701977,10676509.439999999478459
FS( 54 ),2644832.930000000167638,2783743.359999999869615,2552698.779999999795109,2757138.239999999757856,10738413.310000000521541
FS( 55 ),2689429.580000000074506,2800984.709999999962747,2566566.879999999888241,2815166.919999999925494,10872148.089999999850988
FS( 56 ),2728504.739999999757856,2787191.629999999888241,2513251.739999999757856,2889158.879999999888241,10918106.989999998360872
FS( 57 ),2701322.020000000484288,2788176.850000000093132,2490138.239999999757856,2868234.040000000037253,10847871.150000002235174
FS( 58 ),2717037.030000000260770,2795073.390000000130385,2494760.939999999944121,2893473.279999999795109,10900344.639999998733401
FS( 59 ),2701322.020000000484288,2769457.669999999925494,2508937.219999999739230,2885923.080000000074506,10865639.990000000223517
FS( 60 ),2715338.110000000335276,2760590.689999999944121,2451615.739999999757856,2895846.200000000186265,10823390.740000002086163
FS( 61 ),2722983.250000000000000,2773891.160000000149012,2462093.859999999869615,2864782.520000000018626,10823750.789999999105930
FS( 62 ),2701322.020000000484288,2745812.390000000130385,2458087.520000000018626,2849034.959999999962747,10754256.890000000596046
FS( 63 ),2684332.820000000298023,2701477.490000000223517,2469182.000000000000000,2840621.879999999888241,10695614.190000001341105
FS( 64 ),2709391.890000000130385,2724137.549999999813735,2495377.299999999813735,2849682.119999999646097,10778588.859999999403954
FS( 65 ),2657150.100000000093132,2713300.129999999888241,2499383.639999999664724,2857448.040000000037253,10727281.910000000149012
FS( 66 ),2657150.100000000093132,2699999.660000000149012,2514792.639999999664724,2848172.080000000074506,10720114.480000000447035
FS( 67 ),2601085.740000000223517,2664531.740000000223517,2505547.239999999757856,2854212.239999999757856,10625376.960000000894070
FS( 68 ),2616376.020000000484288,2640393.850000000093132,2531126.179999999701977,2848387.799999999813735,10636283.850000001490116
FS( 69 ),2599811.550000000279397,2665024.350000000093132,2530818.000000000000000,2861978.159999999683350,10657632.060000000521541
FS( 70 ),2635064.140000000130385,2693595.729999999981374,2541912.479999999981374,2881392.959999999962747,10751965.309999998658895
FS( 71 ),2625295.350000000093132,2675369.160000000149012,2531742.540000000037253,2819265.600000000093132,10651672.650000000372529
FS( 72 ),2623596.430000000167638,2666009.569999999832362,2539755.219999999739230,2798772.200000000186265,10628133.419999999925494
FS( 73 ),2599386.820000000298023,2654186.930000000167638,2503389.979999999981374,2782808.919999999925494,10539772.650000000372529
FS( 74 ),2618924.399999999906868,2692117.899999999906868,2515717.179999999701977,2818186.999999999534339,10644946.479999998584390
FS( 75 ),2618924.399999999906868,2675861.770000000018626,2484591.000000000000000,2794889.239999999757856,10574266.410000000149012
FS( 76 ),2720010.140000000596046,2693103.120000000111759,2460861.139999999664724,2815382.639999999664724,10689357.039999999105930
FS( 77 ),2692402.690000000409782,2688669.629999999888241,2471339.259999999776483,2804380.919999999925494,10656792.500000000000000
FS( 78 ),2697499.450000000186265,2714777.959999999962747,2466100.199999999720603,2824658.600000000093132,10703036.209999999031425
FS( 79 ),2695375.800000000279397,2705418.370000000111759,2471647.439999999944121,2813441.159999999683350,10685882.769999999552965
FS( 80 ),2741246.640000000596046,2738915.850000000093132,2495377.299999999813735,2860252.399999999906868,10835792.189999999478459
FS( 81 ),2782870.180000000167638,2786699.020000000018626,2511094.479999999981374,2878157.159999999683350,10958820.839999999850988
FS( 82 ),2762058.410000000149012,2777832.040000000037253,2503081.799999999813735,2868665.479999999515712,10911637.730000000447035
FS( 83 ),2779047.610000000335276,2782265.529999999795109,2509553.580000000074506,2890668.919999999925494,10961535.640000000596046
FS( 84 ),2772251.930000000167638,2771428.109999999869615,2497534.560000000055879,2883550.159999999683350,10924764.759999999776483
FS( 85 ),2790090.590000000316650,2774876.379999999888241,2520648.060000000055879,2902102.080000000074506,10987717.110000001266599
FS( 86 ),2795187.350000000093132,2799014.270000000018626,2525578.939999999944121,2934675.799999999813735,11054456.359999999403954
FS( 87 ),2745493.940000000409782,2790147.290000000037253,2541604.299999999813735,2951933.399999999906868,11029178.929999999701977
FS( 88 ),2772676.660000000149012,2816255.620000000111759,2550849.699999999720603,2980192.720000000204891,11119974.700000001117587
FS( 89 ),2763332.600000000093132,2807881.250000000000000,2536981.599999999627471,2954090.600000000093132,11062286.049999998882413
FS( 90 ),2771402.470000000204891,2838423.069999999832362,2547151.540000000037253,3028729.720000000204891,11185706.800000000745058
FS( 91 ),2750165.970000000204891,2816748.229999999981374,2563176.899999999906868,3034769.879999999888241,11164860.980000000447035
FS( 92 ),2711515.540000000502914,2798521.660000000149012,2564101.439999999944121,3003706.200000000186265,11077844.839999999850988
FS( 93 ),2687305.930000000167638,2764038.959999999962747,2544686.099999999627471,2978898.399999999906868,10974929.390000000596046
FS( 94 ),2636763.060000000055879,2770935.500000000000000,2568724.139999999664724,2974152.560000000055879,10950575.259999999776483
FS( 95 ),2632091.030000000260770,2763053.740000000223517,2556396.939999999944121,2960993.639999999664724,10912535.350000001490116
FS( 96 ),2642709.280000000260770,2832511.750000000000000,2570573.219999999739230,2991194.439999999944121,11036988.689999999478459
FS( 97 ),2645257.660000000149012,2753201.540000000037253,2561944.179999999701977,2970269.600000000093132,10930672.980000000447035
FS( 98 ),2649080.229999999981374,2765516.790000000037253,2559170.560000000055879,2988174.360000000335276,10961941.940000001341105
FS( 99 ),2673714.570000000298023,2770935.500000000000000,2570573.219999999739230,2981055.600000000093132,10996278.890000000596046
FS( 100 ),2663521.050000000279397,2809851.689999999944121,2575504.099999999627471,2974799.720000000204891,11023676.560000000521541
FS( 101 ),2720434.870000000111759,2841378.729999999981374,2595227.619999999646097,3002627.600000000093132,11159668.819999998435378
FS( 102 ),2531430.020000000484288,2752708.930000000167638,2535132.520000000018626,2961640.799999999813735,10780912.269999999552965
FS( 103 ),2446908.750000000000000,2724630.160000000149012,2503389.979999999981374,2957757.840000000316650,10632686.730000000447035
FS( 104 ),2528032.180000000167638,2737930.629999999888241,2541296.119999999646097,2992273.040000000037253,10799531.969999998807907
FS( 105 ),2599386.820000000298023,2810344.299999999813735,2585982.219999999739230,3031318.360000000335276,11027031.699999999254942
FS( 106 ),2639311.440000000409782,2837930.459999999962747,2609403.899999999906868,3045987.319999999832362,11132633.120000001043081
FS( 107 ),2601935.200000000186265,2854186.589999999850988,2612793.879999999888241,3038652.840000000316650,11107568.509999999776483
FS( 108 ),2529306.370000000111759,2857142.250000000000000,2633133.759999999776483,3053753.239999999757856,11073335.619999999180436
FS( 109 ),2556489.090000000316650,2914285.009999999776483,2620498.379999999888241,3071442.279999999795109,11162714.759999999776483
FS( 110 ),2556489.090000000316650,2895565.830000000074506,2614334.779999999795109,3037358.520000000018626,11103748.219999998807907
FS( 111 ),2626144.810000000055879,2923644.600000000093132,2643303.699999999720603,3047497.360000000335276,11240590.469999998807907
FS( 112 ),2644832.930000000167638,2923151.990000000223517,2642687.339999999850988,3027003.959999999962747,11237676.219999998807907
FS( 113 ),2684332.820000000298023,2935959.850000000093132,2642687.339999999850988,3017080.840000000316650,11280060.849999999627471
FS( 114 ),2682633.899999999906868,2933496.799999999813735,2647001.859999999869615,3052027.479999999515712,11315160.039999999105930
FS( 115 ),2723407.980000000447035,2938422.899999999906868,2646385.500000000000000,3038221.399999999906868,11346437.780000001192093
FS( 116 ),2725956.360000000335276,2937437.680000000167638,2650700.020000000018626,3048791.680000000167638,11362885.740000000223517
FS( 117 ),2716612.300000000279397,2907388.470000000204891,2648234.580000000074506,3036279.919999999925494,11308515.269999999552965
FS( 118 ),2712365.000000000000000,2889654.509999999776483,2655630.899999999906868,3075972.399999999906868,11333622.810000000521541
FS( 119 ),2715338.110000000335276,2896058.439999999944121,2629435.599999999627471,3085248.360000000335276,11326080.510000001639128
FS( 120 ),2705144.590000000316650,2896058.439999999944121,2627586.520000000018626,3082012.560000000055879,11310802.110000001266599
FS( 121 ),2720010.140000000596046,2897536.270000000018626,2641762.799999999813735,3099701.600000000093132,11359010.810000000521541
FS( 122 ),2712789.729999999981374,2884728.410000000149012,2644228.239999999757856,3057420.479999999515712,11299166.859999999403954
FS( 123 ),2723832.709999999962747,2874876.209999999962747,2627894.699999999720603,3056773.319999999832362,11283376.939999999478459
FS( 124 ),2732327.310000000055879,2886698.850000000093132,2602932.119999999646097,3056341.879999999888241,11278300.160000000149012
FS( 125 ),2722558.520000000018626,2878324.479999999981374,2613718.419999999925494,3079639.639999999664724,11294241.059999998658895
FS( 126 ),2717037.030000000260770,2889654.509999999776483,2637756.459999999962747,3089131.319999999832362,11333579.320000000298023
FS( 127 ),2709816.620000000111759,2889654.509999999776483,2663027.219999999739230,3095818.639999999664724,11358316.989999998360872
FS( 128 ),2703445.669999999925494,2873398.379999999888241,2673813.520000000018626,3088484.159999999683350,11339141.730000000447035
FS( 129 ),2746343.399999999906868,2839900.899999999906868,2649467.299999999813735,3082228.279999999795109,11317939.879999998956919
FS( 130 ),2742096.100000000093132,2849260.490000000223517,2651932.739999999757856,3078561.040000000037253,11321850.370000001043081
FS( 131 ),2815999.120000000111759,3145811.709999999962747,2643611.879999999888241,3084601.200000000186265,11690023.910000000149012
FS( 132 ),2807504.520000000018626,3096550.709999999962747,2642995.520000000018626,3066049.279999999795109,11613100.029999999329448
FS( 133 ),2797735.730000000447035,3078324.140000000130385,2650083.659999999683350,3059361.959999999962747,11585505.490000002086163
FS( 134 ),2772676.660000000149012,3085713.290000000037253,2659945.419999999925494,3067343.600000000093132,11585678.970000000670552
FS( 135 ),2780321.799999999813735,3134481.680000000167638,2672888.979999999981374,3076835.279999999795109,11664527.740000000223517
FS( 136 ),2774375.580000000074506,3120688.600000000093132,2682442.560000000055879,3082228.279999999795109,11659735.019999999552965
FS( 137 ),2791364.780000000260770,3119210.770000000018626,2681826.199999999720603,3055047.560000000055879,11647449.310000000521541
FS( 138 ),2790940.049999999813735,3105417.689999999944121,2668266.279999999795109,3043398.680000000167638,11608022.699999999254942
FS( 139 ),2798585.190000000409782,3117732.939999999944121,2679977.119999999646097,3056989.040000000037253,11653284.289999999105930
FS( 140 ),2801133.570000000298023,3134481.680000000167638,2694769.759999999776483,3066912.159999999683350,11697297.169999999925494
FS( 141 ),2797311.000000000000000,3121181.209999999962747,2690763.419999999925494,3064107.799999999813735,11673363.429999999701977
FS( 142 ),2794762.620000000111759,3130540.799999999813735,2676587.139999999664724,3065186.399999999906868,11667076.959999999031425
FS( 143 ),2793488.430000000167638,3132018.629999999888241,2693537.040000000037253,3063460.639999999664724,11682504.740000002086163
FS( 144 ),2801133.570000000298023,3090146.779999999795109,2690763.419999999925494,3017296.560000000055879,11599340.330000000074506
FS( 145 ),2806230.330000000074506,3069949.770000000018626,2708946.040000000037253,2961856.520000000018626,11546982.660000000149012
FS( 146 ),2812601.280000000260770,3096058.100000000093132,2699084.279999999795109,2947187.560000000055879,11554931.220000000670552
FS( 147 ),2843606.570000000298023,3103939.859999999869615,2721273.239999999757856,2961209.360000000335276,11630029.030000001192093
FS( 148 ),2866966.720000000204891,3089161.560000000055879,2697851.560000000055879,2952580.560000000055879,11606560.400000000372529
FS( 149 ),2866966.720000000204891,3093102.439999999944121,2690763.419999999925494,2934891.520000000018626,11585724.099999999627471
FS( 150 ),2854649.549999999813735,3098521.149999999906868,2721581.419999999925494,2928204.200000000186265,11602956.320000000298023
FS( 151 ),2866541.989999999757856,3102462.029999999795109,2718191.439999999944121,2946971.840000000316650,11634167.299999998882413
FS( 152 ),2864418.340000000316650,3115269.890000000130385,2731751.359999999869615,2933165.759999999776483,11644605.349999999627471
FS( 153 ),2852525.899999999906868,3097043.319999999832362,2710486.939999999944121,2912025.200000000186265,11572081.359999999403954
FS( 154 ),2856348.470000000204891,3115269.890000000130385,2705247.879999999888241,2921732.600000000093132,11598598.839999999850988
FS( 155 ),2830864.670000000391155,3078324.140000000130385,2657788.159999999683350,2882471.560000000055879,11449448.530000001192093
FS( 156 ),2848278.600000000093132,3112806.839999999850988,2719732.339999999850988,2923674.080000000074506,11604491.859999999403954
FS( 157 ),2825767.910000000149012,3044826.660000000149012,2682750.739999999757856,2889590.319999999832362,11442935.630000000819564
FS( 158 ),2820246.420000000391155,3022166.600000000093132,2681518.020000000018626,2883981.600000000093132,11407912.640000000596046
FS( 159 ),2830439.940000000409782,3072905.430000000167638,2713876.919999999925494,2925399.840000000316650,11542622.130000000819564
FS( 160 ),2795612.080000000074506,3067979.330000000074506,2713568.739999999757856,2987095.759999999776483,11564255.910000000149012
FS( 161 ),2811327.090000000316650,3021181.379999999888241,2723430.500000000000000,2970053.879999999888241,11525992.850000001490116
FS( 162 ),2822794.799999999813735,3051230.589999999850988,2729902.279999999795109,2965523.759999999776483,11569451.429999999701977
FS( 163 ),2838934.540000000502914,3088668.950000000186265,2705864.239999999757856,3018159.439999999944121,11651627.169999999925494
FS( 164 ),2862294.690000000409782,3104432.470000000204891,2742537.659999999683350,3042535.799999999813735,11751800.620000001043081
FS( 165 ),2856348.470000000204891,3101476.810000000055879,2704631.520000000018626,3031102.639999999664724,11693559.440000001341105
FS( 166 ),2793913.160000000149012,3061575.399999999906868,2707405.139999999664724,3014060.759999999776483,11576954.459999999031425
FS( 167 ),2818547.500000000000000,3082265.020000000018626,2723122.319999999832362,3037142.799999999813735,11661077.640000000596046
FS( 168 ),2833413.049999999813735,3118225.549999999813735,2757022.119999999646097,3028945.439999999944121,11737606.159999998286366
FS( 169 ),2788391.670000000391155,3049752.759999999776483,2719115.979999999981374,2983859.959999999962747,11541120.370000001043081
FS( 170 ),2828316.290000000502914,3074383.259999999776483,2765959.339999999850988,3020100.919999999925494,11688759.810000000521541
FS( 171 ),2824918.450000000651926,3079801.970000000204891,2732367.719999999739230,2987527.200000000186265,11624615.339999999850988
FS( 172 ),2828741.020000000018626,3076846.310000000055879,2722814.139999999664724,2980408.439999999944121,11608809.909999998286366
FS( 173 ),2875036.590000000316650,3093595.049999999813735,2738223.139999999664724,2968328.119999999646097,11675182.900000000372529
FS( 174 ),2882681.730000000447035,3086698.509999999776483,2749625.799999999813735,2943951.759999999776483,11662957.799999998882413
FS( 175 ),2892875.250000000000000,3092117.220000000204891,2773663.839999999850988,2948050.439999999944121,11706706.750000000000000
FS( 176 ),2915385.940000000409782,3147782.149999999906868,2744694.919999999925494,2978682.680000000167638,11786545.689999999478459
FS( 177 ),2901369.850000000093132,3050737.979999999981374,2728669.560000000055879,2906847.919999999925494,11587625.310000000521541
FS( 178 ),2893724.709999999962747,3037437.509999999776483,2729594.099999999627471,2914398.119999999646097,11575154.439999999478459
FS( 179 ),2877160.239999999757856,3079309.359999999869615,2719424.159999999683350,2894767.600000000093132,11570661.359999999403954
FS( 180 ),2867816.180000000167638,3061082.790000000037253,2725279.580000000074506,2888943.159999999683350,11543121.710000000894070
FS( 181 ),2852950.630000000353903,3030540.970000000204891,2706788.779999999795109,2893473.279999999795109,11483753.660000000149012
FS( 182 ),2875461.320000000298023,3058619.740000000223517,2695077.939999999944121,3093229.999999999534339,11722389.000000000000000
FS( 183 ),2903068.770000000018626,3047782.319999999832362,2636215.560000000055879,3114370.560000000055879,11701437.210000000894070
FS( 184 ),2899246.200000000651926,3050245.370000000111759,2617416.580000000074506,3129470.959999999962747,11696379.109999999403954
FS( 185 ),2909014.989999999757856,3014777.450000000186265,2598925.779999999795109,3135942.560000000055879,11658660.779999999329448
FS( 186 ),2925154.730000000447035,2992610.000000000000000,2591837.639999999664724,3121273.600000000093132,11630875.970000000670552
FS( 187 ),2922181.620000000111759,3051723.200000000186265,2680285.299999999813735,3101643.080000000074506,11755833.200000001117587
FS( 188 ),2936197.709999999962747,2998521.319999999832362,2693537.040000000037253,3068206.479999999515712,11696462.550000000745058
FS( 189 ),2940445.010000000242144,3019210.939999999944121,2668266.279999999795109,3061950.600000000093132,11689872.830000000074506
FS( 190 ),2935348.250000000000000,2898521.490000000223517,2676278.959999999962747,3027651.119999999646097,11537799.819999998435378
FS( 191 ),2941719.200000000651926,2892610.169999999925494,2675046.239999999757856,3048791.680000000167638,11558167.290000000968575
FS( 192 ),2929402.030000000260770,2921181.549999999813735,2676587.139999999664724,3007804.879999999888241,11534975.599999997764826
FS( 193 ),2917084.860000000335276,2898521.490000000223517,2673197.159999999683350,2998097.479999999515712,11486900.989999998360872
FS( 194 ),2904342.959999999962747,2878324.479999999981374,2668882.639999999664724,2973289.680000000167638,11424839.759999997913837
FS( 195 ),2878009.700000000651926,2897536.270000000018626,2622039.279999999795109,2970701.040000000037253,11368286.289999999105930
FS( 196 ),2968052.459999999962747,2958127.299999999813735,2667649.919999999925494,3061734.879999999888241,11655564.559999998658895
FS( 197 ),2974423.410000000149012,2980787.359999999869615,2695386.119999999646097,3082659.720000000204891,11733256.609999999403954
FS( 198 ),3111186.470000000204891,3161575.230000000447035,2648234.580000000074506,3061087.720000000204891,11982084.000000001862645
FS( 199 ),3255594.670000000391155,3199998.809999999590218,2556705.119999999646097,3152337.279999999795109,12164635.879999998956919
FS( 200 ),3257293.590000000316650,3150245.200000000186265,2575812.279999999795109,3158593.159999999683350,12141944.230000000447035
FS( 201 ),3377067.450000000651926,3129555.580000000074506,2557937.839999999850988,3285005.080000000074506,12349565.950000001117587
FS( 202 ),3370696.500000000000000,3135466.899999999906868,2577045.000000000000000,3283926.479999999515712,12367134.879999998956919
FS( 203 ),3287449.420000000391155,3085220.680000000167638,2563793.259999999776483,3268178.919999999925494,12204642.279999999329448
FS( 204 ),3313782.680000000167638,3088668.950000000186265,2560095.099999999627471,3252431.360000000335276,12214978.089999999850988
FS( 205 ),3300616.049999999813735,3047782.319999999832362,2527119.839999999850988,3223956.319999999832362,12099474.529999999329448
FS( 206 ),3315056.870000000111759,3068964.549999999813735,2546843.359999999869615,3244665.439999999944121,12175530.219999998807907
FS( 207 ),3335443.910000000149012,3039407.950000000186265,2550541.520000000018626,3284573.639999999664724,12209967.019999999552965
FS( 208 ),3349460.000000000000000,3036452.290000000037253,2548076.080000000074506,3312185.799999999813735,12246174.170000001788139
FS( 209 ),3348185.810000000055879,3064531.060000000055879,2572114.119999999646097,3296438.239999999757856,12281269.230000000447035
FS( 210 ),3326524.580000000074506,3044334.049999999813735,2560095.099999999627471,3281337.840000000316650,12212291.570000000298023
FS( 211 ),3352008.380000000353903,3063545.839999999850988,2554547.859999999869615,3399552.399999999906868,12369654.480000000447035
FS( 212 ),3405099.630000000353903,3014284.839999999850988,2541296.119999999646097,3415299.959999999962747,12375980.550000000745058
FS( 213 ),3473905.890000000596046,2993102.609999999869615,2522805.319999999832362,3471818.600000000093132,12461632.419999999925494
FS( 214 ),3465836.020000000018626,3011329.180000000167638,2539447.040000000037253,3467288.479999999515712,12483900.719999998807907
FS( 215 ),3536341.200000000651926,2967979.500000000000000,2557629.659999999683350,3400415.279999999795109,12462365.640000000596046
FS( 216 ),3554604.590000000316650,2969457.330000000074506,2555164.219999999739230,3393727.959999999962747,12472954.100000001490116
FS( 217 ),3570744.330000000074506,2958619.910000000149012,2594303.080000000074506,3438597.720000000204891,12562265.040000000968575
FS( 218 ),3615340.980000000447035,2961575.569999999832362,2573346.839999999850988,3436871.959999999962747,12587135.350000001490116
FS( 219 ),3631055.989999999757856,3016255.279999999795109,2600158.500000000000000,3454129.560000000055879,12701599.330000000074506
FS( 220 ),3598776.510000000242144,3040393.169999999925494,2623580.179999999701977,3440539.200000000186265,12703289.059999998658895
FS( 221 ),3600050.700000000651926,3043841.439999999944121,2625121.080000000074506,3463189.799999999813735,12732203.019999999552965
FS( 222 ),3598776.510000000242144,3044334.049999999813735,2600158.500000000000000,3448520.840000000316650,12691789.900000000372529
FS( 223 ),3652717.220000000204891,3072412.819999999832362,2609712.080000000074506,3464915.560000000055879,12799757.680000001564622
FS( 224 ),3607695.840000000316650,3075861.089999999850988,2609712.080000000074506,3536534.600000000093132,12829803.609999999403954
FS( 225 ),3628507.610000000335276,3011821.790000000037253,2610636.619999999646097,3484761.799999999813735,12735727.820000000298023
