代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13416719.969999998807907
真實報酬,3416719.969999998807907

夏普值報酬,0.332971997000000
夏普值風險,0.096159379559413
夏普值,3.462709498809416

二次趨勢線,41.298786487058891 x^2 + 4248.901424650136505 x + 10000000.000000000000000
二次平均預期報酬,14614.896832901917151
風險,209360.250839536543936
二次平均趨勢值,0.069807409832077
一次趨勢線,12007.880023641007938 x + 10000000.000000000000000
一次預期報酬,12007.880023641007938
一次風險,357695.146133629372343
一次趨勢值,0.033570150876901
找到最佳解世代,2318
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),PG[21](1),V[25](4),
FS( 61 ),3871898.430000000167638,3748887.859999999869615,3188549.159999999683350,10809336.449999999254942
FS( 62 ),3900959.939999999944121,3741229.719999999739230,3137130.599999999627471,10779321.259999999776483
FS( 63 ),3885501.689999999944121,3809346.859999999869615,3195991.320000000298023,10890840.870000001043081
FS( 64 ),3820783.150000000372529,3761382.719999999739230,3270187.399999999906868,10852354.269999999552965
FS( 65 ),3813981.520000000018626,3760979.659999999683350,3126756.679999999701977,10701718.859999999403954
FS( 66 ),3822432.029999999795109,3770653.099999999627471,3181107.000000000000000,10774193.129999998956919
FS( 67 ),3771110.640000000130385,3726316.500000000000000,3092252.120000000111759,10589680.260000001639128
FS( 68 ),3805943.229999999981374,3749693.979999999981374,3109617.159999999683350,10665255.369999999180436
FS( 69 ),3784095.570000000298023,3785163.259999999776483,3085486.520000000018626,10654746.349999999627471
FS( 70 ),3781828.359999999869615,3789999.979999999981374,3107813.000000000000000,10679642.339999999850988
FS( 71 ),3842630.810000000055879,3889152.739999999757856,3101949.479999999515712,10833734.029999999329448
FS( 72 ),3777912.270000000018626,3895198.639999999664724,3046697.080000000074506,10719808.990000000223517
FS( 73 ),3726384.770000000018626,3739214.419999999459833,2963480.200000000186265,10429080.390000000596046
FS( 74 ),3704124.890000000130385,3727928.739999999757856,2991895.719999999739230,10423950.349999999627471
FS( 75 ),3692788.839999999850988,3698505.359999999869615,2960322.919999999925494,10351618.119999999180436
FS( 76 ),3579840.560000000055879,3667066.680000000167638,2903942.919999999925494,10150851.160000000149012
FS( 77 ),3589527.729999999981374,3666663.619999999646097,2802458.919999999925494,10058651.269999999552965
FS( 78 ),3509763.160000000149012,3521158.959999999962747,2745402.359999999869615,9776325.480000000447035
FS( 79 ),3587054.410000000149012,3631194.339999999850988,2937094.359999999869615,10155344.109999999403954
FS( 80 ),3621680.890000000130385,3708984.919999999459833,2977236.919999999925494,10307903.730000000447035
FS( 81 ),3618589.240000000223517,3675127.879999999888241,2953106.279999999795109,10246824.400000000372529
FS( 82 ),3660017.350000000093132,3704954.319999999832362,2975658.279999999795109,10340630.949999999254942
FS( 83 ),3628894.740000000223517,3679158.479999999981374,2997759.239999999757856,10305813.460000000894070
FS( 84 ),3604985.979999999981374,3653362.639999999664724,2889735.159999999683350,10148084.779999999329448
FS( 85 ),3674651.160000000149012,3727928.739999999757856,3014222.200000000186265,10416803.100000001490116
FS( 86 ),3714636.500000000000000,3713015.520000000018626,3068572.520000000018626,10496225.539999999105930
FS( 87 ),3722468.680000000167638,3726719.559999999590218,3085261.000000000000000,10534450.240000000223517
FS( 88 ),3716079.270000000018626,3665857.500000000000000,3121569.719999999739230,10503507.489999998360872
FS( 89 ),3742049.130000000353903,3674724.819999999832362,3127433.239999999757856,10544208.189999999478459
FS( 90 ),3758950.150000000372529,3698908.419999999459833,3113676.520000000018626,10571536.089999999850988
FS( 91 ),3735247.500000000000000,3673918.700000000186265,3092026.599999999627471,10501193.800000000745058
FS( 92 ),3731125.300000000279397,3708581.859999999869615,3097439.080000000074506,10537147.240000000223517
FS( 93 ),3696704.930000000167638,3682786.020000000018626,3097439.080000000074506,10476931.030000001192093
FS( 94 ),3732980.290000000502914,3653362.639999999664724,3096085.959999999962747,10482429.890000000596046
FS( 95 ),3763072.350000000093132,3684801.319999999832362,3123599.399999999906868,10571474.070000000298023
FS( 96 ),3804294.350000000093132,3645301.439999999944121,3113451.000000000000000,10563047.789999999105930
FS( 97 ),3835623.070000000298023,3822647.839999999850988,3089996.919999999925494,10748268.830000000074506
FS( 98 ),3862005.150000000372529,3800882.599999999627471,3105557.799999999813735,10768446.550000000745058
FS( 99 ),3792546.080000000074506,3772668.399999999441206,3127433.239999999757856,10692648.719999998807907
FS( 100 ),3784301.680000000167638,3769443.919999999459833,3066993.879999999888241,10620740.480000000447035
FS( 101 ),3754827.949999999720603,3770250.040000000037253,3044667.399999999906868,10569746.390000000596046
FS( 102 ),3746583.550000000279397,3809749.919999999459833,3103302.599999999627471,10659637.070000000298023
FS( 103 ),3684956.660000000149012,3888346.619999999646097,3044892.919999999925494,10618197.199999999254942
FS( 104 ),3642498.000000000000000,3928652.619999999646097,3160810.200000000186265,10731961.820000000298023
FS( 105 ),3659605.130000000353903,3951223.979999999981374,3191255.399999999906868,10802085.509999999776483
FS( 106 ),3660017.350000000093132,3927443.439999999944121,3214483.959999999962747,10801945.750000000000000
FS( 107 ),3631368.060000000055879,3946790.319999999832362,3191029.879999999888241,10769189.259999999776483
FS( 108 ),3612818.160000000149012,3915351.639999999664724,3161261.239999999757856,10689432.039999999105930
FS( 109 ),3601894.330000000074506,3938326.059999999590218,3165997.159999999683350,10706218.549999998882413
FS( 110 ),3591794.939999999944121,3960897.419999999459833,3175469.000000000000000,10728162.359999999403954
FS( 111 ),3585817.750000000000000,4000800.359999999869615,3202305.879999999888241,10788924.989999998360872
FS( 112 ),3589527.729999999981374,3999994.239999999757856,3236133.879999999888241,10825656.849999999627471
FS( 113 ),3624978.650000000372529,3968555.559999999590218,3228691.719999999739230,10822226.929999999701977
FS( 114 ),3709483.750000000000000,3969361.680000000167638,3268157.719999999739230,10947004.149999998509884
FS( 115 ),3694643.830000000074506,4030223.739999999757856,3257558.279999999795109,10982426.849999999627471
FS( 116 ),3720201.470000000204891,4001606.479999999981374,3264098.359999999869615,10985907.310000000521541
FS( 117 ),3768018.990000000223517,4021759.479999999981374,3247635.399999999906868,11037414.870000001043081
FS( 118 ),3775438.949999999720603,4040703.299999999813735,3289807.640000000130385,11105950.890000000596046
FS( 119 ),3763896.790000000502914,4013295.219999999739230,3294092.520000000018626,11071285.529999999329448
FS( 120 ),3776263.390000000130385,4023774.779999999795109,3316193.479999999515712,11116232.649999998509884
FS( 121 ),3779355.040000000502914,3986693.259999999776483,3320252.839999999850988,11086302.140000000596046
FS( 122 ),3789248.320000000298023,3972183.099999999627471,3340549.640000000130385,11101982.060000000521541
FS( 123 ),3814187.630000000353903,3967749.439999999944121,3370994.839999999850988,11152932.910000000149012
FS( 124 ),3722262.570000000298023,3985081.020000000018626,3336941.320000000298023,11044285.910000000149012
FS( 125 ),3737926.930000000167638,3993948.339999999850988,3336715.799999999813735,11068592.070000000298023
FS( 126 ),3751942.410000000149012,3987499.379999999888241,3333558.520000000018626,11073001.310000000521541
FS( 127 ),3720819.800000000279397,3972183.099999999627471,3311457.560000000055879,11004461.460000000894070
FS( 128 ),3699796.580000000074506,3966540.259999999776483,3323184.599999999627471,10989522.439999999478459
FS( 129 ),3732361.960000000428408,4013698.279999999795109,3398057.239999999757856,11144118.480000000447035
FS( 130 ),3747820.210000000428408,4032642.099999999627471,3421962.359999999869615,11202425.669999999925494
FS( 131 ),3752560.740000000223517,4078187.879999999888241,3438650.839999999850988,11269400.460000000894070
FS( 132 ),3766576.220000000204891,4083830.719999999739230,3477665.799999999813735,11328073.739999998360872
FS( 133 ),3819958.710000000428408,4128973.439999999944121,3506081.320000000298023,11455014.470000000670552
FS( 134 ),3791515.529999999795109,4091488.859999999869615,3494805.320000000298023,11377810.710000000894070
FS( 135 ),3774202.290000000502914,4107208.200000000186265,3486461.080000000074506,11367872.570000000298023
FS( 136 ),3812538.750000000000000,4099953.119999999646097,3467517.399999999906868,11380010.269999999552965
FS( 137 ),3841394.150000000372529,4130988.739999999757856,3513749.000000000000000,11486132.890000000596046
FS( 138 ),3850462.990000000223517,4097534.759999999776483,3452182.039999999571592,11400180.789999999105930
FS( 139 ),3827997.000000000000000,4109626.559999999590218,3451279.959999999962747,11388904.519999999552965
FS( 140 ),3864272.359999999869615,4152350.919999999459833,3502473.000000000000000,11519097.279999999329448
FS( 141 ),3864890.689999999944121,4147514.200000000186265,3478116.839999999850988,11490522.730000000447035
FS( 142 ),3903639.369999999646097,4173713.099999999627471,3488265.239999999757856,11565618.709999999031425
FS( 143 ),3914150.979999999981374,4193866.099999999627471,3522544.279999999795109,11630562.359999999403954
FS( 144 ),3883028.369999999646097,4177340.639999999664724,3546674.919999999925494,11607044.929999999701977
FS( 145 ),3882203.930000000167638,4181774.299999999813735,3558401.959999999962747,11622381.190000001341105
FS( 146 ),3882203.930000000167638,4179355.939999999944121,3573737.320000000298023,11635298.190000001341105
FS( 147 ),3913532.650000000372529,4168876.379999999888241,3555244.679999999701977,11637654.710000000894070
FS( 148 ),3930845.890000000130385,4177743.700000000186265,3555470.200000000186265,11664060.789999999105930
FS( 149 ),3913120.430000000167638,4230947.620000000111759,3557725.399999999906868,11701794.450000001117587
FS( 150 ),3917860.960000000428408,4218452.759999999776483,3551861.879999999888241,11688176.600000001490116
FS( 151 ),3900135.500000000000000,4218049.700000000186265,3575992.520000000018626,11694178.720000000670552
FS( 152 ),3893127.759999999776483,4222080.299999999813735,3560206.120000000111759,11675415.179999999701977
FS( 153 ),3949189.680000000167638,4234575.160000000149012,3600348.679999999701977,11784114.519999999552965
FS( 154 ),3954342.430000000167638,4261580.179999999701977,3618390.279999999795109,11834313.889999998733401
FS( 155 ),3951250.779999999795109,4289391.320000000298023,3613654.359999999869615,11854297.459999999031425
FS( 156 ),3949395.790000000502914,4266416.899999999441206,3618390.279999999795109,11834203.969999998807907
FS( 157 ),4017412.089999999850988,4274478.099999999627471,3612075.719999999739230,11903966.910000000149012
FS( 158 ),3997007.199999999720603,4272865.860000000335276,3617488.200000000186265,11887362.260000001639128
FS( 159 ),4024625.939999999944121,4157993.759999999776483,3645903.719999999739230,11828524.419999998062849
FS( 160 ),4073474.009999999776483,4179355.939999999944121,3642069.879999999888241,11894900.829999998211861
FS( 161 ),4079657.310000000055879,4162830.479999999981374,3631470.439999999944121,11873959.230000000447035
FS( 162 ),4069145.699999999720603,4266819.959999999962747,3674544.760000000242144,12010511.419999999925494
FS( 163 ),4062962.400000000372529,4223289.479999999515712,3702058.200000000186265,11988311.080000000074506
FS( 164 ),4072237.350000000093132,4291809.679999999701977,3708372.760000000242144,12072420.789999999105930
FS( 165 ),4002159.949999999720603,4229335.379999999888241,3671387.479999999515712,11902883.809999998658895
FS( 166 ),4011228.790000000502914,4254728.160000000149012,3633725.640000000130385,11899683.590000001713634
FS( 167 ),4071206.800000000279397,4275687.279999999329448,3654473.479999999515712,12001368.559999998658895
FS( 168 ),4099649.979999999981374,4259564.879999999888241,3659885.959999999962747,12019101.820000000298023
FS( 169 ),4081924.520000000018626,4220065.000000000000000,3613203.320000000298023,11915193.839999999850988
FS( 170 ),4081718.410000000149012,4234978.219999999739230,3625606.919999999925494,11942304.550000000745058
FS( 171 ),4075535.109999999869615,4201524.239999999292195,3604182.520000000018626,11881242.869999999180436
FS( 172 ),4122115.970000000204891,4272865.860000000335276,3624479.320000000298023,12019462.150000000372529
FS( 173 ),4102329.410000000149012,4276896.459999999962747,3548253.560000000055879,11927480.429999999701977
FS( 174 ),4081306.189999999944121,4256340.399999999441206,3613203.320000000298023,11950850.910000000149012
FS( 175 ),4103153.850000000093132,4300677.000000000000000,3671387.479999999515712,12075219.329999998211861
FS( 176 ),4122115.970000000204891,4357508.459999999962747,3718295.640000000130385,12197921.070000000298023
FS( 177 ),4106245.500000000000000,4330906.500000000000000,3700705.080000000074506,12137858.080000000074506
FS( 178 ),4101504.970000000204891,4326069.779999999329448,3686722.839999999850988,12114298.589999999850988
FS( 179 ),4119024.320000000298023,4287376.019999999552965,3695518.120000000111759,12101919.460000000894070
FS( 180 ),4121497.640000000130385,4301483.120000000111759,3704087.879999999888241,12127069.640000000596046
FS( 181 ),4101092.750000000000000,4303095.360000000335276,3642520.919999999925494,12046710.029999999329448
FS( 182 ),4076359.550000000279397,4300273.939999999478459,3668004.679999999701977,12044639.169999999925494
FS( 183 ),4053687.449999999720603,4210391.559999999590218,3692135.320000000298023,11956215.330000000074506
FS( 184 ),4040290.300000000279397,4199508.939999999478459,3670034.359999999869615,11909834.599999999627471
FS( 185 ),4106657.720000000204891,4245457.779999999329448,3670710.919999999925494,12022827.419999999925494
FS( 186 ),4086665.050000000279397,4147917.259999999776483,3638461.560000000055879,11873044.870000001043081
FS( 187 ),4097176.660000000149012,4183789.599999999627471,3576894.599999999627471,11857861.859999999403954
FS( 188 ),4114696.009999999776483,4219258.879999999888241,3661013.560000000055879,11994969.449999999254942
FS( 189 ),4125001.509999999776483,4301886.179999999701977,3730022.679999999701977,12156911.369999999180436
FS( 190 ),4185185.630000000353903,4328085.080000000074506,3764527.239999999757856,12277798.950000001117587
FS( 191 ),4235270.359999999403954,4384110.419999999925494,3835115.000000000000000,12454496.779999999329448
FS( 192 ),4149116.380000000353903,4382095.120000000111759,3852480.039999999571592,12383692.539999999105930
FS( 193 ),4189513.939999999944121,4408697.080000000074506,3840978.520000000018626,12439190.539999999105930
FS( 194 ),4223934.310000000521541,4420788.879999999888241,3869845.080000000074506,12514569.270000001415610
FS( 195 ),4214865.470000000670552,4470365.259999999776483,3819328.599999999627471,12504560.330000000074506
FS( 196 ),4231354.269999999552965,4482054.000000000000000,3826319.719999999739230,12539728.989999998360872
FS( 197 ),4200849.990000000223517,4473589.739999999292195,3824064.520000000018626,12498505.250000000000000
FS( 198 ),4215277.689999999478459,4417564.399999999441206,3817749.959999999962747,12450593.050000000745058
FS( 199 ),4216102.129999999888241,4450615.320000000298023,3849548.279999999795109,12516266.729999998584390
FS( 200 ),4227850.400000000372529,4503819.239999999292195,3918331.879999999888241,12650002.519999999552965
FS( 201 ),4210124.939999999478459,4482054.000000000000000,3911566.279999999795109,12603746.219999998807907
FS( 202 ),4203117.200000000186265,4527599.779999999329448,3920812.599999999627471,12651530.580000000074506
FS( 203 ),4240010.890000000596046,4503013.120000000111759,3862853.959999999962747,12605878.970000002533197
FS( 204 ),4216102.129999999888241,4422804.179999999701977,3857892.520000000018626,12496799.829999998211861
FS( 205 ),4251553.050000000745058,4424819.479999999515712,3861726.359999999869615,12538099.890000000596046
FS( 206 ),4280202.339999999850988,4419579.700000000186265,3914047.000000000000000,12613830.039999999105930
FS( 207 ),4252171.379999999888241,4453436.739999999292195,3922842.279999999795109,12628451.399999998509884
FS( 208 ),4319775.459999999962747,4493339.679999999701977,3953061.959999999962747,12766178.100000001490116
FS( 209 ),4386348.990000000223517,4598135.279999999329448,3988919.640000000130385,12973404.910000000149012
FS( 210 ),4353989.720000000670552,4560650.700000000186265,3984183.719999999739230,12898825.140000000596046
FS( 211 ),4372951.839999999850988,4596926.099999999627471,3973584.279999999795109,12943463.219999998807907
FS( 212 ),4371509.070000000298023,4550977.259999999776483,4008314.359999999869615,12930801.689999999478459
FS( 213 ),4390265.080000000074506,4584834.299999999813735,4043946.520000000018626,13019046.899999998509884
FS( 214 ),4383875.669999999925494,4610227.080000000074506,4076195.879999999888241,13070299.629999998956919
FS( 215 ),4390058.970000000670552,4634813.739999999292195,4066949.560000000055879,13091823.270000001415610
FS( 216 ),4415204.390000000596046,4654563.679999999701977,4072362.039999999571592,13142131.109999999403954
FS( 217 ),4405105.000000000000000,4671089.139999999664724,4043946.520000000018626,13120141.660000000149012
FS( 218 ),4404898.890000000596046,4673104.439999999478459,4040338.200000000186265,13118342.530000001192093
FS( 219 ),4450243.089999999850988,4652951.439999999478459,4071459.959999999962747,13174655.489999998360872
FS( 220 ),4408196.650000000372529,4635619.860000000335276,4042367.879999999888241,13086185.390000000596046
FS( 221 ),4431487.080000000074506,4647308.599999999627471,4072362.039999999571592,13151158.719999998807907
FS( 222 ),4417265.490000000223517,4588864.899999999441206,4079804.200000000186265,13085935.589999999850988
FS( 223 ),4385730.660000000149012,4538482.399999999441206,4134605.560000000055879,13058819.619999999180436
FS( 224 ),4419944.919999999925494,4545334.419999999925494,4095365.080000000074506,13060645.419999999925494
FS( 225 ),4443441.459999999962747,4624334.179999999701977,4142724.279999999795109,13210500.919999999925494
FS( 226 ),4431074.859999999403954,4675522.799999999813735,4131899.320000000298023,13238497.980000000447035
FS( 227 ),4376661.820000000298023,4853272.259999999776483,4094011.959999999962747,13323947.039999999105930
FS( 228 ),4343272.000000000000000,4757747.040000000037253,4014403.399999999906868,13115423.439999999478459
FS( 229 ),4354195.830000000074506,4704946.179999999701977,4040789.239999999757856,13099932.250000000000000
FS( 230 ),4420769.359999999403954,4693257.439999999478459,4001323.239999999757856,13115351.039999999105930
FS( 231 ),4337707.030000000260770,4557829.279999999329448,3808278.120000000111759,12703815.429999999701977
FS( 232 ),4412524.959999999962747,4606196.479999999515712,3889916.359999999869615,12908638.799999998882413
FS( 233 ),4469205.209999999962747,4656175.919999999925494,3953964.039999999571592,13079346.169999998062849
FS( 234 ),4493526.189999999478459,4733563.439999999478459,4057252.200000000186265,13284342.829999998211861
FS( 235 ),4558244.730000000447035,4706961.479999999515712,4038083.000000000000000,13303290.210000000894070
FS( 236 ),4476006.839999999850988,4676731.979999999515712,3976967.080000000074506,13129706.900000000372529
FS( 237 ),4528977.109999999403954,4725905.299999999813735,3976967.080000000074506,13231850.490000000223517
FS( 238 ),4461991.359999999403954,4667058.540000000037253,3913144.919999999925494,13042195.819999998435378
FS( 239 ),4498885.050000000745058,4731548.139999999664724,3975388.439999999944121,13205822.630000000819564
FS( 240 ),4503007.250000000000000,4803695.879999999888241,4019590.359999999869615,13326294.489999998360872
FS( 241 ),4509396.660000000149012,4846420.239999999292195,4053643.879999999888241,13409461.779999997466803
FS( 242 ),4503007.250000000000000,4792410.200000000186265,4042367.879999999888241,13337786.329999998211861
FS( 243 ),4549175.890000000596046,4804502.000000000000000,4080706.279999999795109,13434385.169999999925494
FS( 244 ),4524030.470000000670552,4813369.320000000298023,4061537.080000000074506,13398937.870000001043081
FS( 245 ),4424479.339999999850988,4728726.719999999739230,3951934.359999999869615,13105141.419999998062849
FS( 246 ),4470854.089999999850988,4809338.719999999739230,4005157.080000000074506,13285350.889999998733401
FS( 247 ),4453128.629999999888241,4858915.099999999627471,4022973.159999999683350,13335017.890000000596046
FS( 248 ),4494762.849999999627471,4893175.200000000186265,4029513.239999999757856,13417452.290000000968575
FS( 249 ),4545672.019999999552965,4884307.879999999888241,4085893.239999999757856,13515874.139999998733401
FS( 250 ),4492701.750000000000000,4846017.179999999701977,4078000.039999999571592,13416719.969999998807907
