代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13354146.379999998956919
真實報酬,3354146.379999998956919

夏普值報酬,0.326714638000000
夏普值風險,0.086063966669749
夏普值,3.796183822826727

二次趨勢線,41.930107605703768 x^2 + 2553.318780980531301 x + 10000000.000000000000000
二次平均預期報酬,13161.636005223583197
風險,197041.191259600571357
二次平均趨勢值,0.066796368419653
一次趨勢線,10493.801772592169073 x + 10000000.000000000000000
一次預期報酬,10493.801772592169073
一次風險,358234.061462138139177
一次趨勢值,0.029293143510032
找到最佳解世代,2088
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,7
AAPL[0](11),GS[8](2),INTC[11](13),JPM[13](1),PG[21](19),UNH[23](5),V[25](17),
FS( 23 ),1562997.599999999860302,1476326.289999999804422,1526410.040000000037253,1444738.770000000018626,1469018.800000000046566,1525434.249999999767169,1485031.050000000046566,10489959.799999998882413
FS( 24 ),1579054.899999999906868,1457390.439999999944121,1505242.939999999944121,1428571.000000000000000,1463391.279999999795109,1520385.620000000111759,1489624.409999999916181,10443663.589999999850988
FS( 25 ),1560439.800000000046566,1435036.899999999906868,1500539.139999999897555,1408300.959999999962747,1462511.979999999981374,1491620.170000000158325,1473164.870000000111759,10331616.820000000298023
FS( 26 ),1576781.299999999813735,1433558.979999999981374,1509005.979999999748543,1419159.910000000149012,1473942.880000000121072,1503243.760000000009313,1496897.229999999981374,10412593.040000000968575
FS( 27 ),1542393.100000000093132,1389406.119999999878928,1484075.840000000083819,1383204.719999999972060,1463918.859999999869615,1489624.200000000186265,1484839.659999999916181,10237465.500000000000000
FS( 28 ),1544098.299999999813735,1388205.310000000055879,1487838.879999999888241,1393339.739999999990687,1463215.419999999925494,1475652.410000000149012,1493452.209999999962747,10245805.269999999552965
FS( 29 ),1549213.899999999906868,1405940.349999999860302,1489720.400000000139698,1404440.000000000000000,1454950.000000000000000,1483284.060000000055879,1489433.020000000018626,10276984.730000000447035
FS( 30 ),1569392.099999999860302,1425430.419999999925494,1498657.619999999878928,1430501.479999999981374,1456708.599999999860302,1488802.330000000074506,1502830.320000000065193,10372325.869999999180436
FS( 31 ),1592128.100000000093132,1476603.399999999906868,1511357.880000000121072,1491070.290000000037253,1450201.779999999795109,1500073.690000000176951,1525605.729999999981374,10547043.869999999180436
FS( 32 ),1592980.699999999953434,1486394.619999999878928,1495835.340000000083819,1510375.090000000083819,1442288.080000000074506,1502656.709999999962747,1537471.909999999916181,10568005.449999999254942
FS( 33 ),1561008.199999999953434,1464318.189999999944121,1479842.419999999925494,1493000.770000000018626,1447388.020000000018626,1495025.060000000055879,1532687.159999999916181,10473272.820000000298023
FS( 34 ),1527330.500000000000000,1468936.689999999944121,1488779.639999999897555,1502653.170000000158325,1456708.599999999860302,1500660.739999999990687,1558907.590000000083819,10503979.929999999701977
FS( 35 ),1519230.799999999813735,1502467.000000000000000,1486427.739999999990687,1527990.719999999972060,1464622.300000000046566,1532244.030000000027940,1545510.290000000037253,10578495.879999998956919
FS( 36 ),1522357.000000000000000,1542463.209999999962747,1505242.939999999944121,1550191.239999999990687,1434198.520000000018626,1572515.660000000149012,1553165.890000000130385,10680137.460000000894070
FS( 37 ),1505873.399999999906868,1527129.789999999804422,1503831.799999999813735,1534747.400000000139698,1421009.020000000018626,1561126.890000000130385,1546275.850000000093132,10599997.150000000372529
FS( 38 ),1501752.500000000000000,1540338.699999999953434,1488309.260000000009313,1543675.870000000111759,1423646.919999999925494,1574863.859999999869615,1514122.330000000074506,10586712.439999999478459
FS( 39 ),1493226.500000000000000,1525005.280000000027940,1476549.760000000009313,1534747.400000000139698,1431736.479999999981374,1570754.510000000009313,1495557.500000000000000,10527580.429999999701977
FS( 40 ),1482853.199999999953434,1531933.030000000027940,1477020.139999999897555,1542710.630000000121072,1399026.520000000018626,1576155.370000000111759,1503021.709999999962747,10512723.600000001490116
FS( 41 ),1390061.899999999906868,1541908.989999999757856,1493483.439999999944121,1547054.209999999962747,1405005.760000000009313,1559248.330000000074506,1507423.680000000167638,10444189.309999998658895
FS( 42 ),1347574.000000000000000,1517615.679999999934807,1463379.119999999878928,1534747.400000000139698,1402719.580000000074506,1550677.399999999906868,1486753.560000000055879,10303469.740000000223517
FS( 43 ),1332085.099999999860302,1515953.020000000018626,1424337.580000000074506,1525095.000000000000000,1409050.540000000037253,1546098.410000000149012,1478332.399999999906868,10230955.050000000745058
FS( 44 ),1330664.099999999860302,1535073.610000000102445,1439860.119999999878928,1539332.290000000037253,1423998.639999999897555,1551029.629999999888241,1501681.979999999981374,10321643.370000001043081
FS( 45 ),1352547.500000000000000,1506993.129999999888241,1428100.619999999878928,1509651.160000000149012,1426284.819999999832362,1555256.390000000130385,1477375.449999999953434,10256212.070000000298023
FS( 46 ),1338479.599999999860302,1478635.539999999804422,1404111.239999999990687,1509651.160000000149012,1435077.819999999832362,1550207.760000000009313,1477375.449999999953434,10193541.569999998435378
FS( 47 ),1324980.099999999860302,1473647.560000000055879,1406463.139999999897555,1477798.239999999990687,1429802.020000000018626,1553495.239999999990687,1480629.080000000074506,10146818.380000000819564
FS( 48 ),1317590.899999999906868,1467366.399999999906868,1413048.459999999962747,1486485.400000000139698,1444398.399999999906868,1550325.169999999925494,1487519.120000000111759,10166736.850000001490116
FS( 49 ),1318585.600000000093132,1454988.819999999832362,1401759.340000000083819,1477074.310000000055879,1444222.540000000037253,1557721.999999999767169,1497088.620000000111759,10151444.230000000447035
FS( 50 ),1327537.899999999906868,1491105.489999999757856,1417752.260000000009313,1497103.040000000037253,1450553.500000000000000,1568288.899999999906868,1515844.840000000083819,10268188.929999999701977
FS( 51 ),1314606.800000000046566,1472631.489999999757856,1413989.219999999972060,1491552.910000000149012,1444750.120000000111759,1534474.820000000065193,1479480.739999999990687,10151489.099999999627471
FS( 52 ),1283771.100000000093132,1460161.539999999804422,1399877.820000000065193,1490587.670000000158325,1449322.479999999981374,1523320.870000000111759,1490772.750000000000000,10097817.230000000447035
FS( 53 ),1286328.899999999906868,1434944.530000000027940,1406933.520000000018626,1476833.000000000000000,1428571.000000000000000,1514632.530000000027940,1470485.409999999916181,10018731.889999998733401
FS( 54 ),1334074.500000000000000,1435314.010000000009313,1429511.760000000009313,1487933.260000000009313,1435605.399999999906868,1533887.769999999785796,1489050.239999999990687,10145379.939999999478459
FS( 55 ),1328532.599999999860302,1428571.000000000000000,1410226.179999999934807,1487933.260000000009313,1417843.540000000037253,1521207.489999999990687,1469719.850000000093132,10064036.919999998062849
FS( 56 ),1343737.300000000046566,1477434.729999999981374,1410696.559999999823049,1545365.040000000270084,1404302.319999999832362,1532361.439999999944121,1481968.810000000055879,10195869.199999999254942
FS( 57 ),1338621.699999999953434,1429032.849999999860302,1393762.879999999888241,1529679.890000000130385,1410281.559999999823049,1526373.530000000027940,1471442.359999999869615,10099197.769999999552965
FS( 58 ),1353115.899999999906868,1427277.819999999832362,1418222.639999999897555,1532575.610000000102445,1407291.939999999944121,1537410.070000000065193,1486562.170000000158325,10162459.150000000372529
FS( 59 ),1370310.000000000000000,1435960.599999999860302,1421985.679999999934807,1531369.060000000055879,1410457.419999999925494,1531304.749999999767169,1477758.229999999981374,10179148.740000000223517
FS( 60 ),1391198.699999999953434,1455727.780000000027940,1461027.219999999972060,1557430.540000000270084,1423998.639999999897555,1556782.719999999972060,1519289.859999999869615,10365458.459999999031425
FS( 61 ),1415639.899999999906868,1489535.199999999953434,1476549.760000000009313,1581078.919999999925494,1432967.500000000000000,1566527.749999999767169,1513165.380000000121072,10475467.410000000149012
FS( 62 ),1426865.799999999813735,1470784.089999999850988,1481253.559999999823049,1569254.729999999981374,1428395.139999999897555,1561361.709999999962747,1512017.040000000037253,10449935.070000000298023
FS( 63 ),1426013.199999999953434,1473647.560000000055879,1485016.599999999860302,1578907.130000000121072,1432088.200000000186265,1573337.530000000027940,1524648.780000000027940,10493661.999999998137355
FS( 64 ),1419050.300000000046566,1473185.709999999962747,1485957.359999999869615,1575046.169999999925494,1425229.660000000149012,1569462.999999999767169,1510868.699999999953434,10458803.899999998509884
FS( 65 ),1399156.299999999813735,1477711.839999999850988,1489250.020000000018626,1585181.189999999944121,1438419.160000000149012,1579560.260000000009313,1516227.620000000111759,10485509.390000000596046
FS( 66 ),1388640.899999999906868,1471338.310000000055879,1493953.820000000065193,1588076.910000000149012,1441232.919999999925494,1597289.169999999925494,1530199.090000000083819,10510734.120000001043081
FS( 67 ),1391482.899999999906868,1437992.739999999757856,1487368.500000000000000,1559843.640000000130385,1450377.639999999897555,1606681.969999999972060,1530007.699999999953434,10463758.089999997988343
FS( 68 ),1401572.000000000000000,1450832.169999999925494,1490190.780000000027940,1575287.479999999981374,1455653.439999999944121,1622062.680000000167638,1541491.100000000093132,10537092.649999998509884
FS( 69 ),1407256.000000000000000,1433374.239999999757856,1499598.379999999888241,1569978.660000000149012,1447739.739999999757856,1607856.070000000065193,1542639.439999999944121,10508445.529999999329448
FS( 70 ),1405977.099999999860302,1428478.629999999888241,1500068.760000000009313,1574563.550000000046566,1453543.120000000111759,1648479.930000000167638,1562735.390000000130385,10573849.480000000447035
FS( 71 ),1416066.199999999953434,1414900.239999999757856,1502420.659999999916181,1562498.050000000046566,1462687.840000000083819,1651767.410000000149012,1555271.180000000167638,10565614.579999998211861
FS( 72 ),1404414.000000000000000,1384602.879999999888241,1507124.459999999962747,1540538.840000000083819,1463215.419999999925494,1634860.370000000111759,1534601.060000000055879,10469360.029999999329448
FS( 73 ),1383241.100000000093132,1372964.260000000009313,1513239.400000000139698,1526784.170000000158325,1452136.239999999757856,1621358.219999999972060,1500533.640000000130385,10370260.030000001192093
FS( 74 ),1384946.299999999813735,1350425.979999999981374,1511828.260000000009313,1498068.280000000027940,1465853.319999999832362,1618775.200000000186265,1503787.270000000018626,10333687.609999999403954
FS( 75 ),1380399.099999999860302,1350148.869999999878928,1486898.119999999878928,1495413.870000000111759,1458818.919999999925494,1611613.189999999944121,1496131.670000000158325,10279426.740000000223517
FS( 76 ),1386225.199999999953434,1354490.260000000009313,1490661.159999999916181,1501446.620000000111759,1466908.479999999981374,1628050.590000000083819,1499576.689999999944121,10327362.000000000000000
FS( 77 ),1354679.000000000000000,1345345.629999999888241,1493953.820000000065193,1502894.479999999981374,1461984.399999999906868,1616661.820000000065193,1473547.649999999906868,10249069.800000000745058
FS( 78 ),1351410.699999999953434,1364835.699999999953434,1513239.400000000139698,1505066.270000000018626,1460401.660000000149012,1626406.850000000093132,1480246.300000000046566,10301609.880000000819564
FS( 79 ),1362920.799999999813735,1370377.899999999906868,1520295.099999999860302,1519062.250000000000000,1466908.479999999981374,1622532.320000000065193,1480054.909999999916181,10342154.759999999776483
FS( 80 ),1357805.199999999953434,1368438.129999999888241,1518883.959999999962747,1513270.810000000055879,1469722.239999999757856,1619127.430000000167638,1464743.709999999962747,10311994.480000000447035
FS( 81 ),1365620.699999999953434,1410189.369999999878928,1551810.560000000055879,1545606.350000000093132,1480977.279999999795109,1634273.320000000065193,1497280.010000000009313,10485760.589999999850988
FS( 82 ),1327253.699999999953434,1310429.770000000018626,1484075.840000000083819,1438223.400000000139698,1446684.580000000074506,1611965.419999999925494,1436417.989999999990687,10055053.700000001117587
FS( 83 ),1307928.100000000093132,1288722.819999999832362,1445034.299999999813735,1390202.709999999962747,1428571.000000000000000,1609852.040000000270084,1403690.300000000046566,9874004.270000001415610
FS( 84 ),1329953.600000000093132,1315510.119999999878928,1467142.159999999916181,1436292.920000000158325,1450201.779999999795109,1628637.640000000130385,1438523.280000000027940,10066264.500000000000000
FS( 85 ),1341463.699999999953434,1344052.449999999953434,1501950.280000000027940,1476833.000000000000000,1475701.479999999981374,1649888.850000000093132,1468762.899999999906868,10258655.660000000149012
FS( 86 ),1358515.699999999953434,1372502.410000000149012,1542873.339999999850988,1499516.140000000130385,1489066.840000000083819,1657872.729999999981374,1419575.670000000158325,10339925.830000000074506
FS( 87 ),1362636.599999999860302,1369454.199999999953434,1540521.439999999944121,1478280.860000000102445,1491001.300000000046566,1653880.790000000270084,1425508.760000000009313,10321286.950000001117587
FS( 88 ),1349847.599999999860302,1334353.599999999860302,1537228.780000000027940,1437016.850000000093132,1502608.059999999823049,1662099.489999999990687,1429145.170000000158325,10252302.549999998882413
FS( 89 ),1357521.000000000000000,1344791.410000000149012,1550869.799999999813735,1452460.689999999944121,1495397.800000000046566,1671727.109999999869615,1417470.380000000121072,10290241.190000001341105
FS( 90 ),1363347.099999999860302,1357907.949999999953434,1561688.540000000037253,1452460.689999999944121,1491880.599999999860302,1653176.330000000074506,1417470.380000000121072,10297934.589999999850988
FS( 91 ),1373862.500000000000000,1389129.010000000009313,1599318.939999999944121,1492035.530000000027940,1508411.439999999944121,1658694.600000000093132,1462638.420000000158325,10484093.439999999478459
FS( 92 ),1378125.500000000000000,1405847.979999999981374,1617193.380000000121072,1502653.170000000158325,1508059.719999999972060,1647540.649999999906868,1464552.320000000065193,10523975.720000000670552
FS( 93 ),1384377.899999999906868,1449538.989999999757856,1643534.659999999916181,1525095.000000000000000,1508059.719999999972060,1642139.790000000270084,1482925.760000000009313,10635674.820000000298023
FS( 94 ),1376562.399999999906868,1458775.989999999757856,1646827.319999999832362,1524129.760000000009313,1510521.760000000009313,1661160.209999999962747,1482542.979999999981374,10660523.419999998062849
FS( 95 ),1403845.600000000093132,1501450.929999999934807,1655764.540000000037253,1547295.520000000251457,1510170.040000000037253,1653645.969999999972060,1495557.500000000000000,10767733.100000001490116
FS( 96 ),1403703.500000000000000,1493137.629999999888241,1649649.599999999860302,1548743.380000000121072,1512632.080000000074506,1659399.060000000288710,1498619.739999999990687,10765887.990000000223517
FS( 97 ),1418624.000000000000000,1508748.160000000149012,1648708.839999999850988,1543434.560000000055879,1511225.200000000186265,1652589.280000000027940,1498811.130000000121072,10782144.170000001788139
FS( 98 ),1419192.399999999906868,1491013.119999999878928,1653412.639999999897555,1541021.459999999962747,1515445.840000000083819,1674192.719999999972060,1506658.120000000111759,10800939.300000000745058
FS( 99 ),1420471.299999999813735,1494338.439999999944121,1678813.159999999916181,1542710.630000000121072,1500497.739999999757856,1679241.350000000093132,1518907.080000000074506,10834982.699999999254942
FS( 100 ),1412940.000000000000000,1478450.800000000046566,1612019.200000000186265,1536919.189999999944121,1499442.580000000074506,1677480.200000000186265,1507997.850000000093132,10725252.819999998435378
FS( 101 ),1401998.299999999813735,1481776.119999999878928,1630364.019999999785796,1545365.040000000270084,1507532.139999999897555,1687107.820000000065193,1529433.530000000027940,10783579.969999998807907
FS( 102 ),1383241.100000000093132,1482699.819999999832362,1631775.159999999916181,1541262.770000000018626,1508939.020000000018626,1664095.459999999962747,1510868.699999999953434,10722885.029999997466803
FS( 103 ),1373720.399999999906868,1488703.869999999878928,1650590.360000000102445,1547536.829999999841675,1499618.439999999944121,1663743.229999999981374,1502256.149999999906868,10726172.280000001192093
FS( 104 ),1462959.199999999953434,1487133.580000000074506,1638360.479999999748543,1552363.030000000027940,1485373.779999999795109,1663508.410000000149012,1503021.709999999962747,10792723.190000001341105
FS( 105 ),1482711.100000000093132,1482884.560000000055879,1635538.200000000186265,1546812.899999999906868,1491528.880000000121072,1676188.689999999944121,1515653.449999999953434,10831320.779999999329448
FS( 106 ),1480863.799999999813735,1466996.919999999925494,1639771.619999999878928,1543675.870000000111759,1505245.959999999962747,1681354.729999999981374,1493834.989999999990687,10811746.890000000596046
FS( 107 ),1507010.199999999953434,1461177.610000000102445,1639301.239999999990687,1539573.600000000093132,1519666.479999999981374,1684994.439999999944121,1497854.180000000167638,10849580.750000000000000
FS( 108 ),1484700.500000000000000,1441595.169999999925494,1625660.219999999972060,1535953.949999999953434,1525821.580000000074506,1681002.499999999767169,1498236.959999999962747,10792973.879999998956919
FS( 109 ),1503315.600000000093132,1462655.530000000027940,1611078.439999999944121,1560326.260000000009313,1511928.639999999897555,1677597.609999999869615,1506466.729999999981374,10833371.810000000521541
FS( 110 ),1504452.399999999906868,1459976.800000000046566,1626600.979999999748543,1557913.160000000149012,1513335.520000000018626,1675601.640000000130385,1521203.760000000009313,10859087.259999999776483
FS( 111 ),1527330.500000000000000,1497294.280000000027940,1645416.179999999701977,1599901.100000000093132,1508587.300000000046566,1678889.120000000111759,1533835.500000000000000,10991256.980000000447035
FS( 112 ),1539977.399999999906868,1504129.660000000149012,1648238.459999999962747,1595074.899999999906868,1508235.580000000074506,1668791.859999999869615,1530199.090000000083819,10994649.949999999254942
FS( 113 ),1546229.800000000046566,1509764.229999999981374,1642593.900000000139698,1589524.770000000251457,1512280.359999999869615,1665152.149999999906868,1532304.380000000121072,10997852.590000001713634
FS( 114 ),1534719.699999999953434,1498217.979999999981374,1624249.080000000074506,1575287.479999999981374,1517907.880000000121072,1669496.320000000065193,1525031.560000000055879,10944913.000000000000000
FS( 115 ),1533725.000000000000000,1513643.770000000018626,1631304.780000000027940,1579631.059999999823049,1525294.000000000000000,1674662.359999999869615,1533452.720000000204891,10991716.689999999478459
FS( 116 ),1537277.500000000000000,1508009.199999999953434,1626130.599999999860302,1576252.719999999972060,1530745.660000000149012,1677597.609999999869615,1531538.820000000065193,10987555.109999999403954
FS( 117 ),1555750.500000000000000,1529254.300000000046566,1642123.519999999785796,1585905.120000000111759,1530393.939999999944121,1662803.950000000186265,1548572.530000000027940,11054806.859999997541308
FS( 118 ),1554329.500000000000000,1530178.000000000000000,1656234.919999999925494,1585663.809999999823049,1522656.099999999860302,1656463.810000000288710,1546658.630000000121072,11052187.769999999552965
FS( 119 ),1552055.899999999906868,1530362.739999999757856,1647297.700000000186265,1590007.390000000130385,1529338.779999999795109,1663860.640000000130385,1547232.800000000046566,11060158.950000001117587
FS( 120 ),1550066.500000000000000,1533965.169999999925494,1644945.799999999813735,1591455.250000000000000,1537780.059999999823049,1669261.499999999767169,1536323.570000000065193,11063800.849999999627471
FS( 121 ),1554045.300000000046566,1535535.459999999962747,1657646.060000000055879,1589283.459999999962747,1535493.880000000121072,1667735.169999999925494,1540151.370000000111759,11079893.699999999254942
FS( 122 ),1541966.800000000046566,1535812.569999999832362,1663290.619999999878928,1587835.600000000093132,1527404.319999999832362,1668322.219999999972060,1551443.380000000121072,11076078.510000001639128
FS( 123 ),1546798.199999999953434,1534149.910000000149012,1665172.139999999897555,1587111.669999999925494,1537076.620000000111759,1667382.939999999944121,1546467.239999999990687,11084161.720000000670552
FS( 124 ),1535146.000000000000000,1526945.050000000046566,1653412.639999999897555,1591455.250000000000000,1535493.880000000121072,1642257.200000000186265,1536706.350000000093132,11021419.369999999180436
FS( 125 ),1528609.399999999906868,1532487.250000000000000,1650590.360000000102445,1594350.969999999972060,1545869.620000000111759,1612082.830000000074506,1537280.520000000018626,11001273.949999999254942
FS( 126 ),1519657.099999999860302,1533133.839999999850988,1658586.819999999832362,1597970.620000000111759,1540242.099999999860302,1604098.950000000186265,1542065.270000000018626,10995757.699999999254942
FS( 127 ),1517951.899999999906868,1541447.139999999897555,1672227.839999999850988,1615586.250000000000000,1552904.020000000018626,1611730.600000000093132,1547806.970000000204891,11059657.720000000670552
FS( 128 ),1506299.699999999953434,1564539.639999999897555,1679283.540000000037253,1628858.300000000046566,1539538.660000000149012,1607034.200000000186265,1553548.670000000158325,11079105.709999999031425
FS( 129 ),1507720.699999999953434,1565370.969999999972060,1688220.760000000009313,1628858.300000000046566,1535493.880000000121072,1597406.580000000074506,1548381.140000000130385,11071455.330000000074506
FS( 130 ),1516673.000000000000000,1556595.819999999832362,1694335.700000000186265,1621860.309999999823049,1553079.880000000121072,1593766.870000000111759,1556036.739999999990687,11092351.319999998435378
FS( 131 ),1530883.000000000000000,1562784.610000000102445,1697157.979999999748543,1628616.989999999990687,1551145.419999999925494,1603981.540000000270084,1569434.040000000037253,11144006.580000001937151
FS( 132 ),1530456.699999999953434,1564170.160000000149012,1720206.599999999860302,1627410.439999999944121,1558883.260000000009313,1596467.300000000046566,1579577.709999999962747,11177175.170000001788139
FS( 133 ),1539835.300000000046566,1567310.739999999757856,1715032.419999999925494,1620653.760000000009313,1546748.919999999925494,1584961.120000000111759,1593166.399999999906868,11167711.660000000149012
FS( 134 ),1499478.899999999906868,1585692.369999999878928,1714091.659999999916181,1622825.550000000046566,1543759.300000000046566,1590244.570000000065193,1587998.870000000111759,11144094.219999998807907
FS( 135 ),1465517.000000000000000,1557150.039999999804422,1667053.659999999916181,1608346.950000000186265,1516676.859999999869615,1568875.950000000186265,1556610.909999999916181,10940234.370000001043081
FS( 136 ),1498342.099999999860302,1580150.169999999925494,1697157.979999999748543,1618240.660000000149012,1552024.719999999972060,1591301.260000000009313,1587998.870000000111759,11125218.759999997913837
FS( 137 ),1534009.199999999953434,1542647.949999999953434,1675050.119999999878928,1605451.229999999981374,1530921.520000000018626,1572750.479999999981374,1567328.750000000000000,11028162.250000000000000
FS( 138 ),1588291.399999999906868,1534888.869999999878928,1675520.499999999767169,1602314.200000000186265,1530218.080000000074506,1569697.820000000065193,1559673.149999999906868,11060607.019999999552965
FS( 139 ),1642289.399999999906868,1552623.910000000149012,1719736.219999999972060,1608105.640000000130385,1548683.380000000121072,1592240.540000000270084,1569625.430000000167638,11233307.519999999552965
FS( 140 ),1633052.899999999906868,1533410.949999999953434,1771948.400000000139698,1588318.219999999972060,1548507.520000000018626,1625819.800000000046566,1570773.770000000018626,11271834.560000000521541
FS( 141 ),1614011.500000000000000,1535350.719999999972060,1747959.019999999785796,1597246.689999999944121,1554135.040000000037253,1616544.410000000149012,1579194.930000000167638,11244445.309999998658895
FS( 142 ),1613869.399999999906868,1537752.339999999850988,1747018.260000000009313,1603762.059999999823049,1557828.099999999860302,1614078.800000000046566,1578620.760000000009313,11252932.719999998807907
FS( 143 ),1613585.199999999953434,1542925.060000000055879,1761600.040000000037253,1612931.840000000083819,1544111.020000000018626,1642726.840000000083819,1592783.620000000111759,11310666.620000001043081
FS( 144 ),1628789.899999999906868,1552069.689999999944121,1766303.839999999850988,1626203.890000000130385,1565038.359999999869615,1655994.169999999925494,1595463.080000000074506,11389865.929999999701977
FS( 145 ),1601648.799999999813735,1525374.760000000009313,1749370.159999999916181,1622825.550000000046566,1543407.580000000074506,1649771.439999999944121,1579769.100000000093132,11272170.389999998733401
FS( 146 ),1604064.500000000000000,1491659.709999999962747,1723969.639999999897555,1587352.979999999981374,1544990.319999999832362,1640496.050000000046566,1565797.630000000121072,11158333.830000001937151
FS( 147 ),1607048.600000000093132,1504683.879999999888241,1748899.780000000027940,1601348.959999999962747,1553959.179999999934807,1653058.919999999925494,1572496.280000000027940,11241498.599999999627471
