代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12138519.780000001192093
真實報酬,2138519.780000001192093

夏普值報酬,0.205151978000000
夏普值風險,0.056863999972420
夏普值,3.607765512442008

二次趨勢線,-33.679973542296729 x^2 + 16141.068476708702292 x + 10000000.000000000000000
二次平均預期報酬,7586.355196965334471
風險,183757.474740956240566
二次平均趨勢值,0.041284607375345
一次趨勢線,9737.688418202551475 x + 10000000.000000000000000
一次預期報酬,9737.688418202551475
一次風險,304032.585905473330058
一次趨勢值,0.032028436653267
找到最佳解世代,2149
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PG[21](3),UNH[23](2),WMT[28](1),
FS( 42 ),3560703.920000000391155,3322724.729999999981374,3814199.060000000055879,10697628.710000000894070
FS( 43 ),3521199.320000000298023,3265096.020000000018626,3778035.220000000204891,10564331.560000000521541
FS( 44 ),3559826.040000000037253,3232697.790000000037253,3744696.679999999701977,10537221.509999999776483
FS( 45 ),3542268.440000000409782,3274270.740000000223517,3753172.580000000074506,10569712.760000001639128
FS( 46 ),3564215.440000000409782,3203166.660000000149012,3785946.060000000055879,10553329.160000000149012
FS( 47 ),3626544.920000000391155,3154425.959999999962747,3780295.460000000428408,10561267.340000001713634
FS( 48 ),3627422.800000000279397,3187110.899999999906868,3718703.920000000391155,10533238.620000001043081
FS( 49 ),3582650.920000000391155,3232411.080000000074506,3717573.800000000279397,10532636.800000000745058
FS( 50 ),3507153.240000000223517,3171628.560000000055879,3691015.979999999515712,10369798.780000001192093
FS( 51 ),3554997.699999999720603,3206033.759999999776483,3739611.140000000596046,10500643.599999999627471
FS( 52 ),3576066.820000000298023,3301508.190000000409782,3723789.460000000428408,10601365.470000000670552
FS( 53 ),3619082.940000000409782,3391821.839999999850988,3735655.720000000204891,10746561.500000000000000
FS( 54 ),3598452.760000000242144,3367451.490000000223517,3623208.780000000260770,10589114.030000001192093
FS( 55 ),3590112.900000000372529,3374045.820000000298023,3653722.020000000018626,10617881.740000000223517
FS( 56 ),3605036.859999999869615,3476974.709999999962747,3708532.839999999850988,10790545.410000000149012
FS( 57 ),3590990.780000000260770,3473534.190000000409782,3756562.940000000409782,10821088.910000000149012
FS( 58 ),3580017.280000000260770,3446296.740000000223517,3792726.780000000260770,10819041.800000000745058
FS( 59 ),3614254.600000000093132,3474967.740000000223517,3844712.300000000279397,10933935.640000000596046
FS( 60 ),3559826.040000000037253,3478694.970000000204891,3758258.120000000577420,10796780.130000000819564
FS( 61 ),3524271.900000000372529,3414758.639999999664724,3748652.100000000093132,10687683.640000000596046
FS( 62 ),3565532.260000000242144,3488443.109999999869615,3755432.819999999832362,10809409.189999999478459
FS( 63 ),3623472.339999999850988,3476974.709999999962747,3741306.319999999832362,10841754.369999999180436
FS( 64 ),3636201.600000000093132,3492743.759999999776483,3737350.899999999906868,10866297.259999999776483
FS( 65 ),3664732.699999999720603,3492170.339999999850988,3773514.740000000223517,10930418.779999999329448
FS( 66 ),3647614.040000000037253,3491023.500000000000000,3836236.399999999906868,10974874.939999999478459
FS( 67 ),3645858.280000000260770,3488156.399999999906868,3844712.300000000279397,10978727.980000000447035
FS( 68 ),3641468.879999999888241,3472100.639999999664724,3815894.240000000223517,10929464.759999999776483
FS( 69 ),3611620.959999999962747,3500484.930000000167638,3809113.520000000018626,10921220.410000000149012
FS( 70 ),3588357.140000000130385,3586784.639999999664724,3795552.080000000074506,10970694.859999999403954
FS( 71 ),3562898.620000000111759,3590225.160000000149012,3806288.220000000204891,10959413.000000000000000
FS( 72 ),3569043.780000000260770,3579616.889999999664724,3847537.600000000093132,10996199.269999999552965
FS( 73 ),3570360.600000000093132,3581050.440000000409782,3841886.999999999534339,10993299.040000000968575
FS( 74 ),3632251.140000000130385,3570442.169999999925494,3811373.760000000242144,11014068.070000000298023
FS( 75 ),3649808.740000000223517,3633231.660000000149012,3783120.760000000242144,11066162.160000000149012
FS( 76 ),3657270.719999999739230,3633805.080000000074506,3840756.879999999888241,11131833.679999999701977
FS( 77 ),3631812.199999999720603,3670503.960000000428408,3835106.280000000260770,11137423.440000001341105
FS( 78 ),3635323.719999999739230,3721251.629999999888241,3811938.819999999832362,11168515.169999999925494
FS( 79 ),3638396.300000000279397,3686846.430000000167638,3842452.060000000055879,11167695.790000000968575
FS( 80 ),3626544.920000000391155,3696307.859999999869615,3849232.780000000260770,11172086.560000000521541
FS( 81 ),3634445.839999999850988,3722398.470000000204891,3844147.240000000223517,11200992.550000000745058
FS( 82 ),3629178.560000000521541,3718097.820000000298023,3887656.859999999869615,11234934.240000000223517
FS( 83 ),3612937.780000000260770,3695734.440000000409782,3870139.999999999534339,11178813.220000000670552
FS( 84 ),3666488.459999999962747,3724978.859999999869615,3902348.420000000391155,11293816.740000000223517
FS( 85 ),3652442.379999999888241,3712650.330000000074506,3904608.659999999683350,11269702.369999999180436
FS( 86 ),3650247.680000000167638,3642406.380000000353903,3878615.899999999906868,11171270.960000000894070
FS( 87 ),3678778.780000000260770,3670790.669999999925494,3901218.300000000279397,11250788.750000000000000
FS( 88 ),3653759.199999999720603,3637532.310000000055879,3854883.379999999888241,11146175.890000000596046
FS( 89 ),3652003.440000000409782,3603413.820000000298023,3845842.420000000391155,11101260.680000001564622
FS( 90 ),3631373.260000000242144,3622049.970000000204891,3808548.460000000428408,11061972.690000001341105
FS( 91 ),3635762.660000000149012,3635525.339999999850988,3887656.859999999869615,11158945.859999999403954
FS( 92 ),3619521.879999999888241,3663049.500000000000000,3907433.960000000428408,11190006.339999999850988
FS( 93 ),3599769.580000000540167,3669357.120000000111759,3887656.859999999869615,11156784.560000000521541
FS( 94 ),3612498.839999999850988,3650720.970000000204891,3902348.420000000391155,11165569.230000000447035
FS( 95 ),3635762.660000000149012,3664483.050000000279397,3947553.220000000204891,11247799.930000001564622
FS( 96 ),3655514.959999999962747,3741608.040000000037253,3942467.679999999701977,11339591.679999999701977
FS( 97 ),3579578.339999999850988,3839949.570000000298023,3910824.319999999832362,11330353.230000000447035
FS( 98 ),3546657.839999999850988,3812138.700000000186265,3869009.879999999888241,11227807.419999999925494
FS( 99 ),3553241.940000000409782,3845683.770000000018626,3883136.379999999888241,11282063.089999999850988
FS( 100 ),3573433.180000000167638,3835648.919999999925494,3925515.879999999888241,11334598.980000000447035
FS( 101 ),3491790.339999999850988,3848837.580000000074506,3915909.859999999869615,11256538.779999999329448
FS( 102 ),3506714.300000000279397,3807551.340000000316650,3922690.580000000074506,11236957.220000000670552
FS( 103 ),3501008.080000000540167,3786621.509999999776483,3893872.520000000018626,11181503.109999999403954
FS( 104 ),3516809.920000000391155,3775439.820000000298023,3778600.280000000260770,11070851.019999999552965
FS( 105 ),3554119.820000000298023,3787481.639999999664724,3819284.600000000093132,11160887.060000000521541
FS( 106 ),3559826.040000000037253,3797803.200000000186265,3785946.060000000055879,11143576.300000000745058
FS( 107 ),3581773.040000000037253,3785474.669999999925494,3796682.199999999720603,11163930.910000000149012
FS( 108 ),3568604.839999999850988,3793502.550000000279397,3797812.319999999832362,11159920.710000000894070
FS( 109 ),3605036.859999999869615,3785761.379999999888241,3856578.560000000055879,11247377.800000000745058
FS( 110 ),3604597.920000000391155,3803824.109999999869615,3896132.760000000242144,11304555.790000000968575
FS( 111 ),3620399.760000000242144,3829628.009999999776483,3887091.800000000279397,11337120.570000000298023
FS( 112 ),3605914.740000000223517,3747055.529999999795109,3752607.520000000018626,11105578.789999999105930
FS( 113 ),3617327.180000000167638,3719818.080000000074506,3777470.159999999683350,11114616.419999999925494
FS( 114 ),3565532.260000000242144,3698601.540000000037253,3669543.699999999720603,10933678.500000000000000
FS( 115 ),3583089.859999999869615,3745621.979999999515712,3730570.179999999701977,11059283.019999999552965
FS( 116 ),3538756.920000000391155,3714657.300000000279397,3678584.659999999683350,10931999.880000000819564
FS( 117 ),3504958.540000000037253,3741894.750000000000000,3568397.959999999962747,10815252.250000000000000
FS( 118 ),3519882.500000000000000,3727272.540000000037253,3910259.260000000242144,11157415.300000000745058
FS( 119 ),3512420.520000000018626,3754223.279999999795109,3947553.220000000204891,11214198.019999999552965
FS( 120 ),3520321.440000000409782,3739314.359999999869615,3927211.060000000055879,11186847.860000001266599
FS( 121 ),3554119.820000000298023,3801530.430000000167638,3969025.499999999534339,11324676.750000000000000
FS( 122 ),3576505.760000000242144,3825327.359999999869615,3982586.940000000409782,11384421.060000000521541
FS( 123 ),3565093.320000000298023,3812712.119999999646097,4003494.159999999683350,11381300.599999999627471
FS( 124 ),3574311.060000000521541,3841956.540000000037253,3997843.560000000055879,11414112.160000000149012
FS( 125 ),3557192.400000000372529,3832495.109999999869615,3999538.740000000223517,11389227.250000000000000
FS( 126 ),3590112.900000000372529,3857152.169999999925494,3983717.060000000055879,11430983.130000000819564
FS( 127 ),3597135.940000000409782,3900445.379999999888241,4009144.760000000242144,11506727.080000000074506
FS( 128 ),3619960.820000000298023,3923382.180000000167638,4004624.280000000260770,11547968.280000001192093
FS( 129 ),3633129.020000000018626,3960941.190000000409782,4014795.359999999869615,11608866.570000000298023
FS( 130 ),3613376.719999999739230,3926249.279999999795109,4013665.240000000223517,11553292.240000000223517
FS( 131 ),3627861.740000000223517,4025450.940000000409782,4027791.740000000223517,11681105.420000001788139
FS( 132 ),3650686.620000000111759,4033478.820000000298023,4017055.600000000093132,11701222.040000000968575
FS( 133 ),3652003.440000000409782,3992192.580000000074506,4019880.899999999906868,11664077.919999999925494
FS( 134 ),3624350.219999999739230,3959220.930000000167638,3985412.240000000223517,11568984.390000000596046
FS( 135 ),3658587.540000000037253,3952913.310000000055879,4009144.760000000242144,11620646.609999999403954
FS( 136 ),3641029.940000000409782,3935424.000000000000000,4018750.780000000260770,11595205.720000000670552
FS( 137 ),3661221.180000000167638,3975563.399999999906868,4028921.859999999869615,11665707.439999999478459
FS( 138 ),3648930.859999999869615,3947752.529999999795109,4009144.760000000242144,11605829.150000000372529
FS( 139 ),3644980.400000000372529,3971549.460000000428408,4017620.659999999683350,11634151.520000001415610
FS( 140 ),3661221.180000000167638,3962088.029999999795109,4037962.819999999832362,11661273.029999999329448
FS( 141 ),3668244.219999999739230,3953773.440000000409782,4054349.560000000055879,11676368.220000000670552
FS( 142 ),3696336.379999999888241,3990759.029999999795109,4074126.659999999683350,11761223.070000000298023
FS( 143 ),3610743.080000000540167,3936284.129999999888241,4066215.819999999832362,11613244.030000001192093
FS( 144 ),3565532.260000000242144,3931123.350000000558794,4040223.060000000055879,11536879.670000001788139
FS( 145 ),3619521.879999999888241,3976996.950000000186265,4040788.120000000577420,11637307.950000001117587
FS( 146 ),3683168.180000000167638,4028891.460000000428408,4094468.819999999832362,11806529.460000000894070
FS( 147 ),3716527.620000000111759,4048387.739999999757856,4126112.179999999701977,11891028.539999999105930
FS( 148 ),3721355.959999999962747,4038639.600000000558794,4114245.920000000391155,11874242.480000000447035
FS( 149 ),3750326.000000000000000,4058709.300000000279397,4132892.899999999906868,11941929.200000001117587
FS( 150 ),3732329.459999999962747,4082219.520000000018626,4171316.979999999515712,11985866.960000000894070
FS( 151 ),3723550.660000000149012,4036919.340000000316650,4154930.240000000223517,11915401.240000000223517
FS( 152 ),3764811.020000000018626,4050394.710000000428408,4172447.100000000093132,11987653.830000000074506
FS( 153 ),3763933.140000000130385,4023157.259999999776483,4184878.420000000391155,11971969.820000000298023
FS( 154 ),3763933.140000000130385,4009968.600000000558794,4140238.679999999701977,11914141.419999999925494
FS( 155 ),3770078.300000000279397,4056415.619999999646097,4160015.780000000260770,11986510.699999999254942
FS( 156 ),3769200.420000000391155,4038066.180000000167638,4164536.260000000242144,11971803.860000001266599
FS( 157 ),3775345.580000000540167,4052114.970000000204891,4162841.080000000074506,11990302.630000000819564
FS( 158 ),3771834.060000000521541,4035485.790000000037253,4172447.100000000093132,11979767.950000001117587
FS( 159 ),3782368.620000000111759,4088240.430000000167638,4162276.020000000018626,12032886.070000000298023
FS( 160 ),3745058.719999999739230,4100568.960000000428408,4169621.800000000279397,12015250.480000000447035
FS( 161 ),3742425.080000000540167,4096268.310000000055879,4154365.179999999701977,11993059.570000000298023
FS( 162 ),3762616.320000000298023,4119778.529999999795109,4156060.359999999869615,12038456.209999999031425
FS( 163 ),3766127.839999999850988,4063583.369999999646097,4167361.560000000055879,11997073.769999999552965
FS( 164 ),3742864.020000000018626,4062723.239999999757856,4166231.440000000409782,11971819.699999999254942
FS( 165 ),3707309.879999999888241,4062149.820000000298023,4143063.979999999515712,11912524.679999999701977
FS( 166 ),3722672.780000000260770,4093114.500000000000000,4138543.499999999534339,11954331.779999999329448
FS( 167 ),3756910.100000000093132,4105729.739999999757856,4123286.879999999888241,11985927.719999998807907
FS( 168 ),3792903.180000000167638,4114617.750000000000000,4169056.740000000223517,12076578.669999999925494
FS( 169 ),3808266.080000000540167,4104869.609999999869615,4132327.839999999850988,12045464.530000001192093
FS( 170 ),3773589.820000000298023,4096555.020000000018626,4121591.699999999720603,11991737.539999999105930
FS( 171 ),3777101.339999999850988,4091680.950000000186265,4141933.859999999869615,12010717.150000000372529
FS( 172 ),3765249.959999999962747,4099708.830000000074506,4167926.620000000577420,12032886.410000000149012
FS( 173 ),3764372.080000000540167,4075051.770000000018626,4144194.100000000093132,11983618.950000001117587
FS( 174 ),3774467.699999999720603,4066163.759999999776483,4155495.300000000279397,11996127.759999999776483
FS( 175 ),3788513.780000000260770,4076772.029999999795109,4178662.760000000242144,12043949.570000000298023
FS( 176 ),3806949.260000000242144,4089387.270000000018626,4170186.859999999869615,12066524.390000000596046
FS( 177 ),3820556.400000000372529,4096555.020000000018626,4175272.399999999906868,12092384.820000000298023
FS( 178 ),3819678.520000000018626,4060429.560000000055879,4143063.979999999515712,12023173.059999998658895
FS( 179 ),3800365.160000000149012,4044947.220000000204891,4118766.399999999906868,11964079.780000001192093
FS( 180 ),3817044.879999999888241,4063009.950000000186265,4121026.640000000596046,12001082.470000000670552
FS( 181 ),3838114.000000000000000,4076198.609999999869615,4198439.859999999403954,12112753.469999998807907
FS( 182 ),3832407.780000000260770,4072471.379999999888241,4114245.920000000391155,12019126.080000000074506
FS( 183 ),3812216.540000000037253,4073904.930000000167638,4108030.260000000242144,11994152.730000000447035
FS( 184 ),3836358.240000000223517,4071611.250000000000000,4066780.879999999888241,11974751.370000001043081
FS( 185 ),3832407.780000000260770,4010255.310000000055879,4081472.440000000409782,11924136.530000001192093
FS( 186 ),3858305.240000000223517,3936570.840000000316650,4024401.379999999888241,11819278.460000000894070
FS( 187 ),3844259.160000000149012,3917074.560000000055879,4019880.899999999906868,11781215.620000001043081
FS( 188 ),3875862.839999999850988,3935710.710000000428408,4034572.460000000428408,11846147.010000001639128
FS( 189 ),3842503.400000000372529,3924242.310000000055879,4029486.920000000391155,11796233.630000000819564
FS( 190 ),3832407.780000000260770,3900732.090000000316650,4036832.699999999720603,11769973.570000000298023
FS( 191 ),3876301.780000000260770,3891844.080000000074506,4115941.100000000093132,11884087.960000000894070
FS( 192 ),3871473.440000000409782,3916787.850000000558794,4096729.060000000055879,11884991.350000001490116
FS( 193 ),3890786.800000000279397,3898438.410000000149012,4124982.060000000055879,11914208.270000001415610
FS( 194 ),3860499.940000000409782,3870340.830000000074506,4071866.420000000391155,11802708.190000001341105
FS( 195 ),3853037.959999999962747,3883242.779999999795109,4058870.040000000037253,11795151.780000001192093
FS( 196 ),3785441.199999999720603,3831061.560000000055879,3972415.859999999869615,11588919.619999999180436
FS( 197 ),3873668.140000000130385,3885823.169999999925494,4065085.699999999720603,11824578.009999999776483
FS( 198 ),3820995.339999999850988,3840522.989999999757856,4037962.819999999832362,11699482.150000000372529
FS( 199 ),3819239.580000000540167,3833068.529999999795109,4041353.179999999701977,11693662.289999999105930
FS( 200 ),3865328.280000000260770,3888116.850000000558794,4091078.460000000428408,11844524.590000001713634
FS( 201 ),3864889.339999999850988,3970115.910000000149012,4117636.280000000260770,11952642.530000001192093
FS( 202 ),3878935.420000000391155,3947465.820000000298023,4073561.600000000093132,11899963.839999999850988
FS( 203 ),3888153.160000000149012,3941444.910000000149012,4066780.879999999888241,11896379.949999999254942
FS( 204 ),3853915.839999999850988,4011402.149999999906868,4079212.199999999720603,11944531.189999999478459
FS( 205 ),3906149.699999999720603,4043800.379999999888241,4083732.679999999701977,12033683.759999999776483
FS( 206 ),3852160.080000000540167,4028604.750000000000000,4088253.159999999683350,11969018.990000000223517
FS( 207 ),3856110.540000000037253,4005954.660000000149012,4047003.780000000260770,11909069.980000000447035
FS( 208 ),3878496.479999999981374,4036632.629999999888241,4087123.040000000037253,12002253.149999998509884
FS( 209 ),3926779.879999999888241,4025737.649999999906868,4056609.800000000279397,12009128.330000000074506
FS( 210 ),3872790.260000000242144,3965815.259999999776483,3996713.440000000409782,11835319.960000000894070
FS( 211 ),3939509.140000000130385,4013982.540000000037253,4075256.780000000260770,12028749.460000000894070
FS( 212 ),3891664.680000000167638,3970689.330000000074506,4069041.120000000577420,11931396.130000000819564
FS( 213 ),3878057.540000000037253,3961227.899999999906868,4054349.560000000055879,11893636.000000000000000
FS( 214 ),3900004.540000000037253,3945172.139999999664724,4049829.080000000074506,11895006.759999999776483
FS( 215 ),3916245.320000000298023,3912773.910000000149012,3919300.220000000204891,11748320.450000001117587
FS( 216 ),3950482.640000000130385,3918221.399999999906868,3882006.260000000242144,11750711.300000000745058
FS( 217 ),3909222.280000000260770,3958934.220000000204891,3841321.940000000409782,11709479.440000001341105
FS( 218 ),3886397.400000000372529,3863459.790000000037253,3807983.399999999906868,11557841.589999999850988
FS( 219 ),3887714.219999999739230,3873494.639999999664724,3811938.819999999832362,11573148.679999999701977
FS( 220 ),3873229.199999999720603,3847404.029999999795109,3855448.440000000409782,11576082.669999999925494
FS( 221 ),3881569.060000000521541,3839662.859999999869615,3867879.760000000242144,11589112.679999999701977
FS( 222 ),3855232.660000000149012,3845683.770000000018626,3854883.379999999888241,11555800.809999998658895
FS( 223 ),3838552.940000000409782,4111177.229999999515712,3891612.280000000260770,11841343.449999999254942
FS( 224 ),3754715.400000000372529,4139274.810000000055879,3892742.399999999906868,11786733.610000001266599
FS( 225 ),3727940.060000000521541,4159344.509999999776483,3883701.440000000409782,11770987.010000001639128
FS( 226 ),3701603.660000000149012,4167945.810000000055879,3861664.100000000093132,11731214.570000000298023
FS( 227 ),3691508.040000000037253,4148449.529999999795109,3909694.199999999720603,11749652.769999999552965
FS( 228 ),3817483.820000000298023,4122358.919999999925494,3919300.220000000204891,11859143.960000000894070
FS( 229 ),3836358.240000000223517,4077918.869999999646097,3932296.600000000093132,11846574.709999999031425
FS( 230 ),3800365.160000000149012,4069604.279999999795109,3945858.040000000037253,11815828.480000000447035
FS( 231 ),3811777.600000000093132,4024017.389999999664724,3954898.999999999534339,11790694.990000000223517
FS( 232 ),3810021.839999999850988,4052114.970000000204891,3956594.179999999701977,11818731.990000000223517
FS( 233 ),3812216.540000000037253,3997640.070000000298023,3915909.859999999869615,11725767.470000000670552
FS( 234 ),3807388.199999999720603,3984738.119999999646097,3924385.760000000242144,11716513.080000000074506
FS( 235 ),3801243.040000000037253,3951766.470000000204891,3934556.839999999850988,11687567.349999999627471
FS( 236 ),3734524.160000000149012,3948325.950000000186265,3907999.020000000018626,11590850.130000000819564
FS( 237 ),3799487.280000000260770,4069317.570000000298023,3943032.740000000223517,11811838.589999999850988
FS( 238 ),3838991.879999999888241,4097128.440000000409782,3943597.800000000279397,11879719.120000001043081
FS( 239 ),3771834.060000000521541,4068457.440000000409782,4017620.659999999683350,11857913.160000000149012
FS( 240 ),3641468.879999999888241,4189735.770000000018626,4034007.399999999906868,11865213.050000000745058
FS( 241 ),3668683.160000000149012,4198050.359999999403954,4024966.440000000409782,11891700.960000000894070
FS( 242 ),3643224.640000000130385,4366062.419999999925494,3983151.999999999534339,11992440.060000000521541
FS( 243 ),3670438.920000000391155,4364628.870000000111759,4035702.580000000074506,12070771.370000001043081
FS( 244 ),3651564.500000000000000,4343699.040000000037253,4034007.399999999906868,12029271.939999999478459
FS( 245 ),3646297.219999999739230,4322769.209999999962747,3909694.199999999720603,11878761.629999998956919
FS( 246 ),3599330.640000000130385,4284923.489999999292195,3872965.300000000279397,11757220.429999999701977
FS( 247 ),3627422.800000000279397,4312447.650000000372529,3919865.280000000260770,11859736.730000000447035
FS( 248 ),3632690.080000000540167,4365489.000000000000000,3962244.780000000260770,11960424.859999999403954
FS( 249 ),3629178.560000000521541,4402187.879999999888241,4002364.040000000037253,12033731.480000000447035
FS( 250 ),3663415.879999999888241,4381258.049999999813735,4024966.440000000409782,12069641.370000001043081
FS( 251 ),3646297.219999999739230,4361188.350000000558794,4022706.199999999720603,12030192.769999999552965
FS( 252 ),3638396.300000000279397,4518305.429999999701977,4032877.280000000260770,12189580.010000001639128
FS( 253 ),3619521.879999999888241,4539235.259999999776483,3979761.640000000596046,12138519.780000001192093
