代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14914106.800000000745058
真實報酬,4914106.800000000745058

夏普值報酬,0.482710680000000
夏普值風險,0.118962720132774
夏普值,4.057663438270801

二次趨勢線,-17.433206927716604 x^2 + 24893.742087401089520 x + 10000000.000000000000000
二次平均預期報酬,20465.707527761071105
風險,205721.994270461960696
二次平均趨勢值,0.099482350442583
一次趨勢線,21579.266514652765181 x + 10000000.000000000000000
一次預期報酬,21579.266514652765181
一次風險,240915.657144634926226
一次趨勢值,0.089571872456997
找到最佳解世代,1910
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
CAT[3](2),KO[14](8),MCD[15](18),UNH[23](1),VZ[26](3),
FS( 192 ),3517760.139999999664724,2555940.360000000335276,2297763.439999999478459,3091095.530000000260770,2858486.719999999739230,14321046.189999997615814
FS( 193 ),3476931.110000000335276,2541905.400000000372529,2291434.459999999962747,3067631.110000000335276,2836474.239999999757856,14214376.320000002160668
FS( 194 ),3446224.979999999515712,2542685.120000000111759,2299270.339999999850988,3006209.540000000037253,2830971.119999999646097,14125361.099999999627471
FS( 195 ),3513710.979999999515712,2559059.240000000223517,2276666.839999999850988,3024843.049999999813735,2867920.639999999664724,14242200.750000000000000
FS( 196 ),3453985.870000000111759,2558279.520000000484288,2283899.959999999962747,3070391.629999999888241,2881285.359999999869615,14247842.339999999850988
FS( 197 ),3320026.160000000149012,2545804.000000000000000,2311024.160000000149012,3022082.530000000260770,2861631.359999999869615,14060568.210000000894070
FS( 198 ),3375027.250000000000000,2527090.719999999739230,2312531.060000000521541,3008279.930000000633299,2818392.560000000055879,14041321.520000001415610
FS( 199 ),3445212.689999999478459,2492783.040000000037253,2280584.780000000260770,2978604.339999999850988,2765719.839999999850988,13962904.689999999478459
FS( 200 ),3399659.639999999664724,2457695.640000000130385,2264008.879999999888241,2953069.530000000260770,2741348.879999999888241,13815782.570000000298023
FS( 201 ),3387849.589999999850988,2401555.800000000279397,2211568.759999999776483,2888887.440000000409782,2696537.759999999776483,13586399.349999999627471
FS( 202 ),3479630.549999999813735,2428066.280000000260770,2212171.520000000484288,2917182.770000000484288,2777512.239999999757856,13814563.360000001266599
FS( 203 ),3545091.969999999739230,2444440.400000000372529,2199814.939999999478459,2939957.060000000521541,2817606.400000000372529,13946910.770000001415610
FS( 204 ),3630461.759999999776483,2478748.080000000074506,2223021.200000000186265,2980674.729999999515712,2866348.319999999832362,14179254.089999999850988
FS( 205 ),3603467.360000000335276,2476408.920000000391155,2226336.379999999888241,2949618.879999999888241,2904870.160000000149012,14160701.700000001117587
FS( 206 ),3602455.070000000298023,2506038.280000000260770,2246227.459999999962747,2950309.009999999776483,2907228.639999999664724,14212258.460000000894070
FS( 207 ),3656781.299999999813735,2522412.400000000372529,2258282.660000000149012,3022772.660000000149012,2922951.839999999850988,14383200.859999999403954
FS( 208 ),3681076.259999999776483,2542685.120000000111759,2267926.820000000298023,3019322.009999999776483,2931599.600000000093132,14442609.809999998658895
FS( 209 ),3691536.589999999850988,2535667.640000000596046,2260392.320000000298023,3027603.570000000298023,2967762.959999999962747,14482963.080000001937151
FS( 210 ),3730003.610000000335276,2562178.120000000111759,2271543.379999999888241,3069701.500000000000000,3010215.600000000093132,14643642.209999999031425
FS( 211 ),3763409.179999999701977,2574653.640000000596046,2284804.100000000558794,3133193.459999999962747,3023580.319999999832362,14779640.700000002980232
FS( 212 ),3757335.439999999478459,2586349.440000000409782,2293242.740000000223517,3119390.860000000335276,3029869.600000000093132,14786188.080000000074506
FS( 213 ),3817060.549999999813735,2620657.120000000111759,2290228.939999999478459,3147686.190000000409782,3024366.479999999981374,14899999.280000001192093
FS( 214 ),3825833.729999999515712,2637810.959999999962747,2302284.139999999664724,3146996.060000000521541,3035372.719999999739230,14948297.609999999403954
FS( 215 ),3789728.719999999739230,2630793.480000000447035,2308613.120000000111759,3111799.430000000633299,3017291.040000000037253,14858225.789999999105930
FS( 216 ),3745525.389999999664724,2637031.240000000223517,2312229.679999999701977,3102827.740000000223517,2975624.560000000055879,14773238.609999999403954
FS( 217 ),3706720.939999999478459,2629234.040000000037253,2290831.700000000186265,3066250.849999999627471,2968549.119999999646097,14661586.649999998509884
FS( 218 ),3705708.649999999441206,2622996.280000000260770,2291735.839999999850988,3062800.200000000186265,2965404.479999999981374,14648645.449999999254942
FS( 219 ),3680401.399999999441206,2627674.600000000558794,2298064.820000000298023,3058659.419999999925494,2975624.560000000055879,14640424.800000000745058
FS( 220 ),3596043.899999999441206,2608181.600000000558794,2310421.400000000372529,3092475.790000000037253,2959115.200000000186265,14566237.890000000596046
FS( 221 ),3631811.479999999515712,2622996.280000000260770,2317353.139999999664724,3059349.549999999813735,2963046.000000000000000,14594556.449999999254942
FS( 222 ),3630124.330000000074506,2663541.719999999739230,2322777.979999999515712,3093165.919999999925494,2964618.319999999832362,14674228.269999999552965
FS( 223 ),3617639.419999999925494,2651845.919999999925494,2332120.759999999776483,3104208.000000000000000,2975624.560000000055879,14681438.660000000149012
FS( 224 ),3505950.089999999850988,2624555.719999999739230,2320668.320000000298023,3005519.410000000149012,2933171.919999999925494,14389865.459999999031425
FS( 225 ),3580184.689999999478459,2615199.080000000074506,2308613.120000000111759,3033814.740000000223517,2927668.800000000279397,14465480.430000001564622
FS( 226 ),3653744.429999999701977,2644828.440000000409782,2362861.520000000484288,3053138.379999999888241,2970907.600000000093132,14685480.369999999180436
FS( 227 ),3692211.450000000186265,2646387.879999999888241,2317955.900000000372529,3299514.790000000037253,2901725.519999999552965,14857795.539999999105930
FS( 228 ),3672977.939999999478459,2640929.839999999850988,2324586.259999999776483,3292613.490000000223517,2908014.800000000279397,14839122.330000000074506
FS( 229 ),3777243.809999999590218,2609741.040000000037253,2318860.040000000037253,3267768.810000000521541,2958329.040000000037253,14931942.740000002086163
FS( 230 ),3799851.620000000111759,2612080.200000000186265,2346888.379999999888241,3327119.990000000223517,3007070.959999999962747,15093011.149999998509884
FS( 231 ),3800863.910000000149012,2628454.320000000298023,2351710.459999999962747,3388541.560000000521541,3008643.280000000260770,15178213.530000001192093
FS( 232 ),3894332.019999999552965,2630013.759999999776483,2360149.100000000558794,3397513.250000000000000,2970121.439999999944121,15252129.569999998435378
FS( 233 ),3859239.299999999813735,2640150.120000000111759,2370094.639999999664724,3442371.700000000186265,2952825.919999999925494,15264681.679999997839332
FS( 234 ),3822122.000000000000000,2646387.879999999888241,2379136.040000000037253,3428569.099999999627471,2971693.759999999776483,15247908.779999999329448
FS( 235 ),3737764.500000000000000,2630013.759999999776483,2383053.979999999515712,3420287.540000000037253,2961473.680000000167638,15132593.459999997168779
FS( 236 ),3691199.160000000149012,2600384.400000000372529,2368889.120000000111759,3421667.799999999813735,2918234.879999999888241,15000375.359999999403954
FS( 237 ),3723255.009999999776483,2608181.600000000558794,2371902.919999999925494,3458934.820000000298023,2930813.439999999944121,15093087.790000000968575
FS( 238 ),3767795.769999999552965,2610520.759999999776483,2390287.100000000558794,3483089.370000000111759,2927668.800000000279397,15179361.800000000745058
FS( 239 ),3808624.799999999813735,2625335.440000000409782,2402342.299999999813735,3485849.889999999664724,2953612.080000000074506,15275764.509999999776483
FS( 240 ),3711107.530000000260770,2624555.719999999739230,2396314.700000000186265,3452033.520000000484288,2929241.119999999646097,15113252.589999997988343
FS( 241 ),3665554.479999999515712,2663541.719999999739230,2430973.400000000372529,3456174.299999999813735,2942605.839999999850988,15158849.739999998360872
FS( 242 ),3587945.580000000074506,2658083.680000000633299,2433384.439999999478459,3447202.610000000335276,2929241.119999999646097,15055857.429999997839332
FS( 243 ),3579847.259999999776483,2644828.440000000409782,2445439.639999999664724,3462385.469999999739230,2906442.479999999981374,15038943.289999999105930
FS( 244 ),3444537.830000000074506,2650286.480000000447035,2439110.660000000149012,3449963.129999999888241,2917448.719999999739230,14901346.820000000298023
FS( 245 ),3551503.139999999664724,2662762.000000000000000,2456289.320000000298023,3492751.190000000409782,2915876.400000000372529,15079182.050000002607703
FS( 246 ),3553190.290000000037253,2668999.759999999776483,2486728.700000000186265,3488610.410000000149012,2933958.080000000074506,15131487.240000000223517
FS( 247 ),3520459.580000000074506,2662762.000000000000000,2481303.860000000335276,3432709.879999999888241,2920593.359999999869615,15017828.679999999701977
FS( 248 ),3438126.660000000149012,2630793.480000000447035,2486427.320000000298023,3392682.339999999850988,2897008.560000000055879,14845038.360000001266599
FS( 249 ),3426654.040000000037253,2630793.480000000447035,2490646.639999999664724,3309866.740000000223517,2900939.359999999869615,14758900.259999999776483
FS( 250 ),3484017.139999999664724,2608961.320000000298023,2493057.679999999701977,3303655.570000000298023,2861631.359999999869615,14751323.070000000298023
FS( 251 ),3515735.559999999590218,2600384.400000000372529,2484317.660000000149012,3291923.360000000335276,2878140.719999999739230,14770501.699999999254942
FS( 252 ),3529570.189999999478459,2593366.919999999925494,2459905.879999999888241,3333331.160000000149012,2882857.680000000167638,14799031.829999998211861
FS( 253 ),3570061.790000000037253,2605062.719999999739230,2457494.839999999850988,3378189.610000000335276,2903297.839999999850988,14914106.800000000745058
