代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13422080.029999999329448
真實報酬,3422080.029999999329448

夏普值報酬,0.333508003000000
夏普值風險,0.092230941639869
夏普值,3.616009953603597

二次趨勢線,-38.693141772619327 x^2 + 24258.379546862179268 x + 10000000.000000000000000
二次平均預期報酬,14469.014678389490655
風險,245219.914084007468773
二次平均趨勢值,0.059004240061159
一次趨勢線,16930.894556203445973 x + 10000000.000000000000000
一次預期報酬,16930.894556203445973
一次風險,369260.102772844897117
一次趨勢值,0.045850863467421
找到最佳解世代,1805
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](4),NKE[19](3),UNH[23](1),
FS( 41 ),3532268.359999999869615,3887486.099999999627471,3574483.000000000000000,10994238.459999999031425
FS( 42 ),3526051.629999999888241,3866463.599999999627471,3586829.879999999422580,10979346.109999999403954
FS( 43 ),3566277.529999999795109,3910190.399999999906868,3622327.159999999683350,11098796.089999999850988
FS( 44 ),3566277.529999999795109,3909349.500000000000000,3665927.080000000074506,11141555.109999999403954
FS( 45 ),3513983.859999999869615,3929531.099999999627471,3660139.479999999515712,11103655.439999997615814
FS( 46 ),3509229.889999999664724,3950553.599999999627471,3664769.560000000055879,11124554.049999998882413
FS( 47 ),3502647.469999999739230,3980826.000000000000000,3696408.439999999478459,11179882.910000000149012
FS( 48 ),3557866.660000000149012,3977462.399999999441206,3712227.879999999422580,11247557.939999999478459
FS( 49 ),3571031.500000000000000,3942985.500000000000000,3611909.479999999515712,11125927.480000000447035
FS( 50 ),3589681.689999999944121,3992598.599999999627471,3655895.239999999757856,11238176.529999999329448
FS( 51 ),3588950.310000000055879,3989234.999999999534339,3692164.199999999720603,11270350.509999999776483
FS( 52 ),3601749.459999999497086,4028757.299999999813735,3691778.359999999869615,11322286.119999999180436
FS( 53 ),3620399.649999999906868,4041370.800000000279397,3700266.839999999850988,11362038.289999999105930
FS( 54 ),3592607.209999999497086,4015302.899999999906868,3669785.479999999515712,11277696.589999999850988
FS( 55 ),3584927.719999999739230,4038848.100000000093132,3722259.719999999739230,11346036.539999999105930
FS( 56 ),3509961.270000000018626,4056507.000000000000000,3788624.199999999720603,11355093.469999998807907
FS( 57 ),3536290.950000000186265,4076688.599999999627471,3737307.479999999515712,11350288.029999999329448
FS( 58 ),3568105.979999999515712,4090983.899999999906868,3736921.639999999664724,11396012.519999999552965
FS( 59 ),3594069.969999999739230,4096029.299999999813735,3731519.879999999422580,11421620.149999998509884
FS( 60 ),3598458.250000000000000,4118733.599999999627471,3738850.839999999850988,11456043.689999999478459
FS( 61 ),3547627.340000000316650,4090983.899999999906868,3777434.839999999850988,11416047.080000000074506
FS( 62 ),3572859.950000000186265,4112006.399999999906868,3785537.479999999515712,11470404.829999998211861
FS( 63 ),3635027.250000000000000,4175073.899999999906868,3805601.159999999683350,11615703.310000000521541
FS( 64 ),3616011.369999999646097,4107801.899999999906868,3822192.279999999795109,11546006.549999998882413
FS( 65 ),3589681.689999999944121,4122097.200000000186265,3851901.959999999497086,11563681.849999999627471
FS( 66 ),3605406.359999999869615,4141437.899999999906868,3889328.439999999478459,11636173.699999999254942
FS( 67 ),3618571.200000000186265,4164983.100000000093132,3845728.520000000018626,11629283.820000000298023
FS( 68 ),3643803.810000000055879,4176755.700000000186265,3871193.959999999497086,11691754.469999998807907
FS( 69 ),3672693.320000000298023,4108642.799999999813735,3855374.520000000018626,11636711.640000000596046
FS( 70 ),3643803.810000000055879,4080052.200000000186265,3897816.919999999459833,11621673.929999999701977
FS( 71 ),3618205.509999999776483,4106120.099999999627471,3823349.799999999813735,11547676.410000000149012
FS( 72 ),3666842.279999999795109,4075847.699999999720603,3848043.560000000055879,11590734.539999999105930
FS( 73 ),3648923.469999999739230,4043893.500000000000000,3810617.080000000074506,11503435.050000000745058
FS( 74 ),3658797.099999999627471,4012780.199999999720603,3791710.919999999459833,11463289.219999998807907
FS( 75 ),3549455.790000000037253,3919440.299999999813735,3698337.639999999664724,11167234.730000000447035
FS( 76 ),3618205.509999999776483,3973257.899999999906868,3825279.000000000000000,11416743.410000000149012
FS( 77 ),3681469.879999999888241,4081734.000000000000000,3944889.399999999441206,11708094.279999999329448
FS( 78 ),3727546.820000000298023,3987553.200000000186265,3954535.399999999441206,11669636.419999999925494
FS( 79 ),3784960.149999999906868,4033802.699999999720603,3975756.600000000093132,11794520.449999999254942
FS( 80 ),3794468.090000000316650,4035484.500000000000000,3968425.639999999664724,11798379.230000000447035
FS( 81 ),3787154.290000000037253,4048938.899999999906868,3961866.359999999869615,11797960.549999998882413
FS( 82 ),3794102.399999999906868,4071643.200000000186265,3956850.439999999478459,11822597.039999999105930
FS( 83 ),3822626.219999999739230,4090983.899999999906868,3948361.959999999497086,11861973.079999998211861
FS( 84 ),3813118.279999999795109,4073324.999999999534339,3968425.639999999664724,11854869.919999998062849
FS( 85 ),3838716.580000000074506,4043052.599999999627471,3900517.799999999813735,11782287.980000000447035
FS( 86 ),3782400.320000000298023,3995962.200000000186265,3888556.759999999776483,11666920.280000001192093
FS( 87 ),3703045.590000000316650,3931212.899999999906868,3824507.319999999832362,11458766.810000000521541
FS( 88 ),3691709.200000000186265,3908508.599999999627471,3816790.520000000018626,11417009.320000000298023
FS( 89 ),3818237.939999999944121,3989234.999999999534339,3855760.359999999869615,11663234.299999998882413
FS( 90 ),3902712.330000000074506,4080893.100000000093132,4039806.040000000037253,12023412.469999998807907
FS( 91 ),3835791.060000000055879,4036325.399999999906868,4001993.719999999739230,11874111.179999999701977
FS( 92 ),3818603.629999999888241,4030439.100000000093132,3956850.439999999478459,11805894.169999999925494
FS( 93 ),3793371.020000000018626,3995121.299999999813735,3976914.119999999646097,11765407.439999999478459
FS( 94 ),3753510.810000000055879,3940462.799999999813735,3986945.959999999497086,11680920.569999998435378
FS( 95 ),3693903.340000000316650,3902622.299999999813735,4030545.879999999422580,11627072.519999999552965
FS( 96 ),3807632.930000000167638,3910190.399999999906868,4081090.919999999459833,11798915.250000000000000
FS( 97 ),3775817.899999999906868,3936258.300000000279397,4075303.319999999832362,11787380.519999999552965
FS( 98 ),3786057.219999999739230,3932053.799999999813735,4218064.119999999180436,11936176.139999998733401
FS( 99 ),3878942.479999999515712,4030439.100000000093132,4392849.639999998733401,12302232.219999998807907
FS( 100 ),3853344.180000000167638,4043052.599999999627471,4321469.240000000223517,12217867.019999999552965
FS( 101 ),3889547.489999999757856,4051461.600000000093132,4306421.480000000447035,12247431.570000000298023
FS( 102 ),3845664.689999999944121,3973257.899999999906868,4244687.080000000074506,12063610.669999999925494
FS( 103 ),3830305.709999999497086,3923644.799999999813735,4184881.879999999422580,11938833.389999998733401
FS( 104 ),3935624.430000000167638,3989234.999999999534339,4220765.000000000000000,12145625.429999999701977
FS( 105 ),3818603.629999999888241,3879077.100000000093132,4099611.239999999757856,11797292.970000000670552
FS( 106 ),3818969.320000000298023,3864781.799999999813735,4139738.600000000093132,11823490.720000000670552
FS( 107 ),3921728.209999999497086,3925326.600000000093132,4159802.279999999795109,12006858.089999999850988
FS( 108 ),3964513.939999999944121,3890849.700000000186265,4164046.520000000018626,12019411.160000000149012
FS( 109 ),3985723.959999999497086,3924485.700000000186265,4198772.119999999180436,12108982.779999999329448
FS( 110 ),3987552.410000000149012,3859736.399999999906868,4151699.639999999664724,11998989.449999999254942
FS( 111 ),3961954.109999999869615,3833668.500000000000000,4108871.399999999441206,11904495.009999997913837
FS( 112 ),4047159.879999999888241,3900099.600000000093132,4204559.719999998807907,12151820.199999999254942
FS( 113 ),4033995.040000000037253,3839554.799999999813735,4238513.639999998733401,12112064.479999998584390
FS( 114 ),4101647.689999999944121,3868145.399999999906868,4238127.800000000745058,12207921.890000000596046
FS( 115 ),4091774.060000000055879,3869827.200000000186265,4222694.199999999254942,12184296.459999999031425
FS( 116 ),4095796.649999999906868,3862259.100000000093132,4235041.080000000074506,12193097.830000000074506
FS( 117 ),4095430.959999999497086,3936258.300000000279397,4235426.919999999925494,12267117.179999999701977
FS( 118 ),4057033.509999999776483,3939621.899999999906868,4245458.759999999776483,12242115.169999999925494
FS( 119 ),4104573.209999999497086,3991757.699999999720603,4345391.320000000298023,12441723.230000000447035
FS( 120 ),4106035.969999999739230,3995121.299999999813735,4491238.839999999850988,12592397.109999999403954
FS( 121 ),4269499.400000000372529,4011939.299999999813735,4453812.359999999403954,12735252.059999998658895
FS( 122 ),4253409.039999999105930,4070802.299999999813735,4400566.439999999478459,12724778.779999997466803
FS( 123 ),4219399.869999999180436,4078370.399999999906868,4385518.679999999701977,12683289.949999999254942
FS( 124 ),4196361.400000000372529,4083415.800000000279397,4384361.160000000149012,12664139.360000001266599
FS( 125 ),4246460.929999999701977,4152369.600000000093132,4414070.839999999850988,12812902.369999999180436
FS( 126 ),4244632.480000000447035,4119574.500000000000000,4354651.480000000447035,12718859.460000000894070
FS( 127 ),4196727.089999999850988,4100233.799999999813735,4391692.119999999180436,12688654.009999997913837
FS( 128 ),4238781.439999999478459,4139756.099999999627471,4429118.599999999627471,12807657.139999998733401
FS( 129 ),4185390.700000000186265,4075006.799999999813735,4355423.160000000149012,12615821.660000000149012
FS( 130 ),4214645.900000000372529,4096870.199999999720603,4433362.839999999850988,12744879.939999999478459
FS( 131 ),4116275.290000000037253,4058188.799999999813735,4339217.879999998956919,12513682.969999998807907
FS( 132 ),4134925.479999999515712,4008575.700000000186265,4349249.719999998807907,12492751.899999998509884
FS( 133 ),4245729.549999998882413,4080052.200000000186265,4432591.160000000149012,12758373.910000000149012
FS( 134 ),4198921.230000000447035,4028757.299999999813735,4446867.240000000223517,12674546.769999999552965
FS( 135 ),4260357.150000000372529,4054825.199999999720603,4573036.919999999925494,12888220.269999999552965
FS( 136 ),4226713.669999999925494,4059029.700000000186265,4537539.639999998733401,12823284.009999997913837
FS( 137 ),4244998.169999999925494,4100233.799999999813735,4628597.879999998956919,12973830.849999997764826
FS( 138 ),4211354.689999999478459,4133869.799999999813735,4659465.080000000074506,13004690.570000000298023
FS( 139 ),4296560.459999999031425,4287754.500000000000000,4596959.000000000000000,13181274.959999999031425
FS( 140 ),4244632.480000000447035,4265891.099999999627471,4593100.599999999627471,13103625.179999999701977
FS( 141 ),4247558.000000000000000,4232255.099999999627471,4557603.320000000298023,13037417.419999999925494
FS( 142 ),4157232.570000000298023,4162460.399999999906868,4496640.599999999627471,12816334.570000000298023
FS( 143 ),4109327.180000000167638,4176755.700000000186265,4485451.240000000223517,12771535.120000001043081
FS( 144 ),4163814.989999999757856,4199460.000000000000000,4553359.080000000074506,12916635.070000000298023
FS( 145 ),4191973.119999999646097,4242345.900000000372529,4668725.240000000223517,13103045.259999999776483
FS( 146 ),4154672.739999999757856,4218800.699999999254942,4564162.599999999627471,12937637.039999999105930
FS( 147 ),4137119.619999999646097,4186005.600000000093132,4531752.039999999105930,12854878.259999997913837
FS( 148 ),4188681.910000000149012,4190210.099999999627471,4528279.480000000447035,12907172.490000000223517
FS( 149 ),4203675.199999999254942,4193573.699999999720603,4541398.039999999105930,12938647.939999997615814
FS( 150 ),4179905.349999999627471,4188528.300000000279397,4527893.639999998733401,12896328.289999999105930
FS( 151 ),4227079.359999999403954,4239823.199999999254942,4560304.199999999254942,13027207.759999997913837
FS( 152 ),4189778.979999999515712,4234777.800000000745058,4574194.439999999478459,12998752.220000000670552
FS( 153 ),4214280.209999999031425,4203664.500000000000000,4591557.240000000223517,13009502.949999999254942
FS( 154 ),4185025.009999999776483,4174233.000000000000000,4605833.320000000298023,12965092.330000000074506
FS( 155 ),4170763.099999999627471,4185164.700000000186265,4627054.519999999552965,12982983.320000000298023
FS( 156 ),4148821.700000000186265,4197778.199999999254942,4526736.119999999180436,12873337.019999999552965
FS( 157 ),4145896.180000000167638,4200300.900000000372529,4691875.639999998733401,13038073.719999998807907
FS( 158 ),4099453.549999999813735,4143960.600000000093132,4580367.879999998956919,12823783.029999999329448
FS( 159 ),4127245.989999999757856,4204505.400000000372529,4575351.959999999031425,12907104.349999999627471
FS( 160 ),4138582.379999999888241,4217118.900000000372529,4602360.759999999776483,12958063.039999999105930
FS( 161 ),4131999.959999999497086,4211232.599999999627471,4545642.279999999329448,12888875.839999997988343
FS( 162 ),4167471.889999999664724,4251595.800000000745058,4563005.080000000074506,12982073.770000001415610
FS( 163 ),4157963.950000000186265,4244868.599999999627471,4579596.199999999254942,12982429.750000000000000
FS( 164 ),4073489.560000000055879,4244027.699999999254942,4485065.400000000372529,12802583.660000000149012
FS( 165 ),4043868.669999999925494,4198619.099999999627471,4537153.800000000745058,12779642.570000000298023
FS( 166 ),3975484.639999999664724,4212073.500000000000000,4383589.480000000447035,12571148.620000001043081
FS( 167 ),3912220.270000000018626,4155733.200000000186265,4298318.839999999850988,12366273.310000000521541
FS( 168 ),4006202.599999999627471,4237300.500000000000000,4367770.039999999105930,12611274.139999998733401
FS( 169 ),4024852.790000000037253,4239823.199999999254942,4420244.279999999329448,12684921.269999999552965
FS( 170 ),3951714.790000000037253,4222164.300000000745058,4374329.320000000298023,12548209.410000000149012
FS( 171 ),3960857.040000000037253,4213755.300000000745058,4378959.400000000372529,12553572.740000002086163
FS( 172 ),4024121.410000000149012,4265891.099999999627471,4427961.080000000074506,12717974.589999999850988
FS( 173 ),4112984.080000000074506,4307095.199999999254942,4463458.359999999403954,12883538.639999998733401
FS( 174 ),4092139.750000000000000,4322231.400000000372529,4428346.919999999925494,12842719.070000000298023
FS( 175 ),4114812.529999999795109,4304572.500000000000000,4423331.000000000000000,12842717.029999999329448
FS( 176 ),4066175.759999999776483,4295322.599999999627471,4470403.480000000447035,12831902.839999999850988
FS( 177 ),4093602.509999999776483,4349140.199999999254942,4573422.759999999776483,13016166.469999998807907
FS( 178 ),4145164.799999999813735,4413889.500000000000000,4604289.959999999031425,13163345.259999999776483
FS( 179 ),4181002.419999999925494,4404639.599999999627471,4622424.439999999478459,13208067.459999999031425
FS( 180 ),4108230.109999999869615,4399594.199999999254942,4651362.439999999478459,13159187.749999998137355
FS( 181 ),4099453.549999999813735,4398753.300000000745058,4677985.400000000372529,13176193.250000001862645
FS( 182 ),4096162.340000000316650,4389503.400000000372529,4647889.879999998956919,13133556.619999999180436
FS( 183 ),4101647.689999999944121,4391185.199999999254942,4614321.800000000745058,13107155.689999999478459
FS( 184 ),4056667.820000000298023,4348299.300000000745058,4562233.400000000372529,12967201.520000001415610
FS( 185 ),4101647.689999999944121,4323913.199999999254942,4608920.039999999105930,13034481.929999997839332
FS( 186 ),4102744.759999999776483,4301208.900000000372529,4615479.320000000298023,13019433.980000000447035
FS( 187 ),4074586.629999999888241,4275141.000000000000000,4638243.879999998956919,12987972.509999997913837
FS( 188 ),4083728.879999999888241,4278504.599999999627471,4624739.480000000447035,12986973.960000000894070
FS( 189 ),4080803.359999999869615,4293640.800000000745058,4543327.240000000223517,12917772.400000000372529
FS( 190 ),4138216.689999999944121,4310458.799999998882413,4566477.639999998733401,13015154.129999997094274
FS( 191 ),4076049.389999999664724,4286913.599999999627471,4500884.839999999850988,12863848.829999998211861
FS( 192 ),4036189.180000000167638,4290277.199999999254942,4496254.759999999776483,12822722.139999998733401
FS( 193 ),4020098.820000000298023,4265050.199999999254942,4510916.679999999701977,12796066.699999999254942
FS( 194 ),4005471.219999999739230,4261686.599999999627471,4514003.400000000372529,12781162.219999998807907
FS( 195 ),4058496.270000000018626,4344935.699999999254942,4574194.439999999478459,12977627.409999998286366
FS( 196 ),4069832.660000000149012,4367640.000000000000000,4603904.119999999180436,13041377.779999999329448
FS( 197 ),4044600.049999999813735,4363435.500000000000000,4539468.839999999850988,12947505.390000000596046
FS( 198 ),4023024.340000000316650,4345776.599999999627471,4590785.560000000521541,12959587.500000000000000
FS( 199 ),4031069.520000000018626,4396230.599999999627471,4689946.439999999478459,13117247.559999998658895
FS( 200 ),4039846.080000000074506,4404639.599999999627471,4620109.400000000372529,13064596.080000000074506
FS( 201 ),4090311.299999999813735,4456775.400000000372529,4664481.000000000000000,13211568.699999999254942
FS( 202 ),4111521.320000000298023,4479479.699999999254942,4642873.959999999031425,13233875.979999998584390
FS( 203 ),4134925.479999999515712,4490411.400000000372529,4639787.240000000223517,13265125.119999999180436
FS( 204 ),4138948.070000000298023,4507229.400000000372529,4735861.400000000372529,13382039.870000001043081
FS( 205 ),4108595.799999999813735,4466025.300000000745058,4598116.519999999552965,13172738.620000001043081
FS( 206 ),4104573.209999999497086,4423980.300000000745058,4720041.959999999031425,13248596.469999998807907
FS( 207 ),4117738.049999999813735,4613182.800000000745058,4755539.240000000223517,13486461.090000001713634
FS( 208 ),4042405.910000000149012,4527411.000000000000000,4676056.199999999254942,13245874.109999999403954
FS( 209 ),4063981.619999999646097,4541706.299999998882413,4707309.240000000223517,13312998.159999998286366
FS( 210 ),4098356.479999999515712,4601410.199999999254942,4760555.160000000149012,13460322.839999999850988
FS( 211 ),4077146.459999999497086,4619910.000000000000000,4699978.279999999329448,13397035.739999998360872
FS( 212 ),4070929.729999999515712,4618228.199999999254942,4713482.679999999701977,13402641.609999999403954
FS( 213 ),4110424.250000000000000,4679613.900000000372529,4657150.039999999105930,13447189.189999999478459
FS( 214 ),4059227.649999999906868,4594683.000000000000000,4583068.759999999776483,13236980.410000000149012
FS( 215 ),4073123.869999999646097,4601410.199999999254942,4604675.800000000745058,13279210.869999999180436
FS( 216 ),4136022.549999999813735,4646818.799999998882413,4713096.839999999850988,13495939.189999997615814
FS( 217 ),4201846.750000000000000,4726704.300000000745058,4724672.039999999105930,13653224.089999999850988
FS( 218 ),4218668.490000000223517,4723340.699999999254942,4823061.240000000223517,13765071.429999999701977
FS( 219 ),4226713.669999999925494,4704840.900000000372529,4856243.480000000447035,13787799.050000000745058
FS( 220 ),4195630.019999999552965,4723340.699999999254942,4820360.359999999403954,13739332.079999998211861
FS( 221 ),4186122.080000000074506,4742681.400000000372529,4778689.639999998733401,13707494.119999999180436
FS( 222 ),4147358.939999999944121,4756976.699999999254942,4732388.839999999850988,13636725.479999998584390
FS( 223 ),4163814.989999999757856,4751090.400000000372529,4663323.480000000447035,13578229.870000001043081
FS( 224 ),4201846.750000000000000,4797339.900000000372529,4653677.480000000447035,13652865.130000000819564
FS( 225 ),4190510.359999999869615,4793135.400000000372529,4604289.959999999031425,13587936.719999998807907
FS( 226 ),4153941.359999999869615,4751090.400000000372529,4550658.199999999254942,13455690.959999999031425
FS( 227 ),4134925.479999999515712,4698113.699999999254942,4548343.160000000149012,13381383.339999999850988
FS( 228 ),4199652.609999999403954,4771272.000000000000000,4688788.919999999925494,13659714.529999999329448
FS( 229 ),4255603.179999999701977,4831816.800000000745058,4688788.919999999925494,13776209.900000000372529
FS( 230 ),4258894.390000000596046,4836021.299999998882413,4651748.279999999329448,13746664.969999998807907
FS( 231 ),4279738.720000000670552,4844430.300000000745058,4684158.839999999850988,13808328.860000001266599
FS( 232 ),4274619.060000000521541,4828453.199999999254942,4664481.000000000000000,13767554.259999999776483
FS( 233 ),4298023.220000000670552,4867975.500000000000000,4662551.800000000745058,13828551.520000001415610
FS( 234 ),4315210.650000000372529,4909179.599999999627471,4781390.519999999552965,14005781.769999999552965
FS( 235 ),4262551.289999999105930,4840225.800000000745058,4708852.599999999627471,13811630.689999999478459
FS( 236 ),4276081.820000000298023,4814998.799999998882413,4700364.119999999180436,13791445.739999998360872
FS( 237 ),4300583.049999998882413,4850316.599999999627471,4725829.560000000521541,13876730.209999999031425
FS( 238 ),4303874.259999999776483,4812476.099999999627471,4717341.080000000074506,13833692.439999999478459
FS( 239 ),4303874.259999999776483,4753613.099999999627471,4676442.039999999105930,13733930.399999998509884
FS( 240 ),4352511.029999999329448,4776317.400000000372529,4650204.919999999925494,13779034.349999999627471
FS( 241 ),4379206.400000000372529,4808271.599999999627471,4669496.919999999925494,13856975.919999999925494
FS( 242 ),4377377.949999999254942,4834339.500000000000000,4777532.119999999180436,13989250.569999998435378
FS( 243 ),4490741.849999999627471,4827612.299999998882413,4842353.240000000223517,14160708.389999998733401
FS( 244 ),4489279.089999999850988,4833498.599999999627471,4754381.719999998807907,14077160.409999998286366
FS( 245 ),4408095.910000000149012,4721658.900000000372529,4622038.599999999627471,13751794.410000000149012
FS( 246 ),4247923.689999999478459,4493775.000000000000000,4486608.759999999776483,13228308.449999999254942
FS( 247 ),4115543.910000000149012,4367640.000000000000000,4260892.359999999403954,12744077.269999999552965
FS( 248 ),4058130.580000000074506,4353344.699999999254942,4243529.560000000521541,12655005.839999999850988
FS( 249 ),4239512.820000000298023,4572819.599999999627471,4377801.879999998956919,13190135.299999998882413
FS( 250 ),4302777.189999999478459,4735113.300000000745058,4544098.919999999925494,13581990.410000000149012
FS( 251 ),4297657.529999999329448,4730067.900000000372529,4525192.759999999776483,13552919.189999999478459
FS( 252 ),4258894.390000000596046,4698954.599999999627471,4464230.039999999105930,13422080.029999999329448
