代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12282990.679999999701977
真實報酬,2282990.679999999701977

夏普值報酬,0.219599068000000
夏普值風險,0.062566412090695
夏普值,3.509855538490416

二次趨勢線,29.969570575888909 x^2 + 1338.471178532354088 x + 10000000.000000000000000
二次平均預期報酬,8920.772534232246471
風險,242870.281644070899347
二次平均趨勢值,0.036730605629658
一次趨勢線,7013.936351709705377 x + 10000000.000000000000000
一次預期報酬,7013.936351709705377
一次風險,323592.298950981115922
一次趨勢值,0.021675226432914
找到最佳解世代,2216
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),UNH[23](10),
FS( 25 ),4884459.759999999776483,5147082.770000000484288,10031542.530000001192093
FS( 26 ),4873212.479999999515712,5163866.990000000223517,10037079.469999998807907
FS( 27 ),4843049.320000000298023,5167400.509999999776483,10010449.830000000074506
FS( 28 ),4872190.000000000000000,5236304.150000000372529,10108494.150000000372529
FS( 29 ),4887015.959999999962747,5270314.280000000260770,10157330.240000000223517
FS( 30 ),4859920.240000000223517,5196552.050000000745058,10056472.290000000968575
FS( 31 ),4821066.000000000000000,5255296.820000000298023,10076362.820000000298023
FS( 32 ),4837936.919999999925494,5368811.150000000372529,10206748.070000000298023
FS( 33 ),4868100.080000000074506,5288865.259999999776483,10156965.339999999850988
FS( 34 ),4916667.879999999888241,5339659.610000000335276,10256327.490000000223517
FS( 35 ),4912066.719999999739230,5314924.969999999739230,10226991.689999999478459
FS( 36 ),4952454.679999999701977,5311391.450000000186265,10263846.129999998956919
FS( 37 ),4968303.120000000111759,5421372.259999999776483,10389675.379999998956919
FS( 38 ),4940696.160000000149012,5263688.930000000633299,10204385.089999999850988
FS( 39 ),4897240.759999999776483,5403262.969999999739230,10300503.730000000447035
FS( 40 ),4973926.759999999776483,5443898.450000000186265,10417825.210000000894070
FS( 41 ),4879347.359999999403954,5352910.310000000521541,10232257.669999999925494
FS( 42 ),4860431.479999999515712,5388687.200000000186265,10249118.679999999701977
FS( 43 ),4895707.040000000037253,5449640.419999999925494,10345347.460000000894070
FS( 44 ),4916667.879999999888241,5380295.089999999850988,10296962.969999998807907
FS( 45 ),4890083.400000000372529,5395754.240000000223517,10285837.640000000596046
FS( 46 ),4942741.120000000111759,5331267.500000000000000,10274008.620000001043081
FS( 47 ),4899796.959999999962747,5246463.020000000484288,10146259.980000000447035
FS( 48 ),4933027.559999999590218,5271197.660000000149012,10204225.219999998807907
FS( 49 ),4992331.400000000372529,5395312.550000000745058,10387643.950000001117587
FS( 50 ),5032208.120000000111759,5408563.250000000000000,10440771.370000001043081
FS( 51 ),5050101.519999999552965,5521194.200000000186265,10571295.719999998807907
FS( 52 ),5064927.479999999515712,5559179.540000000037253,10624107.019999999552965
FS( 53 ),5003067.439999999478459,5518102.370000000111759,10521169.809999998658895
FS( 54 ),4984662.799999999813735,5470399.849999999627471,10455062.649999998509884
FS( 55 ),4984151.559999999590218,5417397.050000000745058,10401548.609999999403954
FS( 56 ),4975460.479999999515712,5338334.540000000037253,10313795.019999999552965
FS( 57 ),4988752.719999999739230,5327292.290000000037253,10316045.009999999776483
FS( 58 ),4963701.959999999962747,5270755.969999999739230,10234457.929999999701977
FS( 59 ),4913089.199999999254942,5209361.060000000521541,10122450.259999999776483
FS( 60 ),4910021.759999999776483,5206710.919999999925494,10116732.679999999701977
FS( 61 ),4975971.719999999739230,5367486.080000000074506,10343457.800000000745058
FS( 62 ),5020960.839999999850988,5367486.080000000074506,10388446.919999999925494
FS( 63 ),5070039.879999999888241,5325083.839999999850988,10395123.719999998807907
FS( 64 ),5105315.439999999478459,5362185.800000000745058,10467501.240000000223517
FS( 65 ),5082820.879999999888241,5339659.610000000335276,10422480.490000000223517
FS( 66 ),5068506.160000000149012,5337451.160000000149012,10405957.320000000298023
FS( 67 ),5102248.000000000000000,5473491.680000000633299,10575739.679999999701977
FS( 68 ),5079242.199999999254942,5390453.960000000894070,10469696.160000000149012
FS( 69 ),5057258.879999999888241,5380736.780000000260770,10437995.660000000149012
FS( 70 ),5081287.160000000149012,5409888.320000000298023,10491175.480000000447035
FS( 71 ),5051635.240000000223517,5400171.140000000596046,10451806.380000000819564
FS( 72 ),5024539.519999999552965,5353352.000000000000000,10377891.519999999552965
FS( 73 ),5080264.679999999701977,5323317.080000000074506,10403581.759999999776483
FS( 74 ),5075152.279999999329448,5345401.580000000074506,10420553.859999999403954
FS( 75 ),5146214.639999999664724,5469074.780000000260770,10615289.419999999925494
FS( 76 ),5151327.040000000037253,5543278.700000000186265,10694605.740000000223517
FS( 77 ),5168709.199999999254942,5442573.379999999888241,10611282.579999998211861
FS( 78 ),5100203.040000000037253,5291073.710000000894070,10391276.750000000000000
FS( 79 ),4965746.919999999925494,5136040.520000000484288,10101787.440000001341105
FS( 80 ),4747958.679999999701977,4877651.870000000111759,9625610.550000000745058
FS( 81 ),4663092.839999999850988,4857775.820000000298023,9520868.660000000149012
FS( 82 ),4864521.400000000372529,5011483.939999999478459,9876005.339999999850988
FS( 83 ),4975971.719999999739230,5201852.330000000074506,10177824.050000000745058
FS( 84 ),4920757.799999999813735,5180209.520000000484288,10100967.320000000298023
FS( 85 ),4857875.279999999329448,5110422.500000000000000,9968297.779999999329448
FS( 86 ),4778633.080000000074506,4974823.669999999925494,9753456.750000000000000
FS( 87 ),4910021.759999999776483,5045494.070000000298023,9955515.830000000074506
FS( 88 ),4908488.040000000037253,5034893.509999999776483,9943381.550000000745058
FS( 89 ),4849184.199999999254942,4962898.040000000037253,9812082.239999998360872
FS( 90 ),4947853.519999999552965,5127648.410000000149012,10075501.929999999701977
FS( 91 ),4878836.120000000111759,5083037.719999999739230,9961873.839999999850988
FS( 92 ),4869633.799999999813735,5157683.330000000074506,10027317.129999998956919
FS( 93 ),4980061.639999999664724,5242929.500000000000000,10222991.140000000596046
FS( 94 ),4957567.080000000074506,5203177.400000000372529,10160744.480000000447035
FS( 95 ),5019938.359999999403954,5301674.270000000484288,10321612.629999998956919
FS( 96 ),5045500.359999999403954,5351143.550000000745058,10396643.910000000149012
FS( 97 ),5002044.959999999962747,5444340.140000000596046,10446385.100000001490116
FS( 98 ),4961657.000000000000000,5409446.629999999888241,10371103.629999998956919
FS( 99 ),5005112.400000000372529,5474375.060000000521541,10479487.460000000894070
FS( 100 ),4969325.599999999627471,5429764.370000000111759,10399089.969999998807907
FS( 101 ),4978527.919999999925494,5445223.520000000484288,10423751.440000001341105
FS( 102 ),4973926.759999999776483,5348493.410000000149012,10322420.169999999925494
FS( 103 ),4989263.959999999962747,5140015.730000000447035,10129279.690000001341105
FS( 104 ),4905931.839999999850988,4977915.500000000000000,9883847.339999999850988
FS( 105 ),4983640.320000000298023,5045052.379999999888241,10028692.699999999254942
FS( 106 ),5037320.519999999552965,5124114.890000000596046,10161435.410000000149012
FS( 107 ),5050101.519999999552965,5150616.290000000037253,10200717.809999998658895
FS( 108 ),5101736.759999999776483,5248671.469999999739230,10350408.230000000447035
FS( 109 ),5172287.879999999888241,5284890.050000000745058,10457177.929999999701977
FS( 110 ),5209608.400000000372529,5125881.650000000372529,10335490.050000000745058
FS( 111 ),5202962.279999999329448,5142665.870000000111759,10345628.149999998509884
FS( 112 ),5263288.599999999627471,5127206.719999999739230,10390495.320000000298023
FS( 113 ),5253575.040000000037253,5268105.830000000074506,10521680.870000001043081
FS( 114 ),5278114.559999999590218,5411213.390000000596046,10689327.949999999254942
FS( 115 ),5285271.919999999925494,5476583.509999999776483,10761855.429999999701977
FS( 116 ),5256642.479999999515712,5391779.030000000260770,10648421.509999999776483
FS( 117 ),5299586.639999999664724,5307857.930000000633299,10607444.570000000298023
FS( 118 ),5358890.479999999515712,5299465.820000000298023,10658356.300000000745058
FS( 119 ),5342019.559999999590218,5332592.570000000298023,10674612.129999998956919
FS( 120 ),5308788.959999999962747,5318900.180000000633299,10627689.140000000596046
FS( 121 ),5242327.759999999776483,5216869.790000000037253,10459197.550000000745058
FS( 122 ),5668190.679999999701977,5026943.089999999850988,10695133.769999999552965
FS( 123 ),5756123.959999999962747,5120139.680000000633299,10876263.640000000596046
FS( 124 ),5735163.120000000111759,5147082.770000000484288,10882245.890000000596046
FS( 125 ),5707556.160000000149012,5272522.730000000447035,10980078.890000000596046
FS( 126 ),5774017.359999999403954,5290632.020000000484288,11064649.379999998956919
FS( 127 ),5757657.679999999701977,5287540.189999999478459,11045197.869999999180436
FS( 128 ),5738741.799999999813735,5202294.020000000484288,10941035.820000000298023
FS( 129 ),5731584.439999999478459,5242487.810000000521541,10974072.250000000000000
FS( 130 ),5730050.719999999739230,5196993.740000000223517,10927044.460000000894070
FS( 131 ),5746410.400000000372529,5063603.360000000335276,10810013.760000001639128
FS( 132 ),5769416.199999999254942,5133832.070000000298023,10903248.269999999552965
FS( 133 ),5792933.240000000223517,5071112.089999999850988,10864045.330000000074506
FS( 134 ),5773506.120000000111759,5046819.140000000596046,10820325.260000001639128
FS( 135 ),5788332.080000000074506,5118814.610000000335276,10907146.690000001341105
FS( 136 ),5820540.199999999254942,5059186.460000000894070,10879726.660000000149012
FS( 137 ),5731584.439999999478459,4983215.780000000260770,10714800.219999998807907
FS( 138 ),5622179.080000000074506,4920937.490000000223517,10543116.570000000298023
FS( 139 ),5677904.240000000223517,5027384.780000000260770,10705289.019999999552965
FS( 140 ),5671769.359999999403954,5052561.110000000335276,10724330.469999998807907
FS( 141 ),5753056.519999999552965,5178884.450000000186265,10931940.969999998807907
FS( 142 ),5792422.000000000000000,4886485.669999999925494,10678907.669999999925494
FS( 143 ),5823607.639999999664724,4989841.129999999888241,10813448.769999999552965
FS( 144 ),5852237.080000000074506,4954064.240000000223517,10806301.320000000298023
FS( 145 ),5842523.519999999552965,4999558.310000000521541,10842081.830000000074506
FS( 146 ),5848658.400000000372529,5053444.490000000223517,10902102.890000000596046
FS( 147 ),5839967.320000000298023,5050352.660000000149012,10890319.980000000447035
FS( 148 ),5836388.639999999664724,4978357.189999999478459,10814745.829999998211861
FS( 149 ),5851214.599999999627471,5135157.140000000596046,10986371.740000000223517
FS( 150 ),5813894.080000000074506,5196110.360000000335276,11010004.440000001341105
FS( 151 ),5797023.160000000149012,5079504.200000000186265,10876527.359999999403954
FS( 152 ),5940681.599999999627471,5200527.259999999776483,11141208.859999999403954
FS( 153 ),5951928.879999999888241,5119697.990000000223517,11071626.870000001043081
FS( 154 ),5957552.519999999552965,5118372.919999999925494,11075925.439999999478459
FS( 155 ),5960108.719999999739230,5081712.650000000372529,11041821.370000001043081
FS( 156 ),5991805.599999999627471,5132948.689999999478459,11124754.289999999105930
FS( 157 ),5934546.719999999739230,5122789.820000000298023,11057336.539999999105930
FS( 158 ),5943749.040000000037253,5117047.849999999627471,11060796.890000000596046
FS( 159 ),5978002.120000000111759,5194785.290000000037253,11172787.410000000149012
FS( 160 ),6024524.959999999962747,5248671.469999999739230,11273196.429999999701977
FS( 161 ),6007142.799999999813735,5265897.379999999888241,11273040.179999999701977
FS( 162 ),5964198.639999999664724,5115722.780000000260770,11079921.419999999925494
FS( 163 ),6016856.359999999403954,5185951.490000000223517,11202807.849999999627471
FS( 164 ),6018390.080000000074506,5187276.560000000521541,11205666.640000000596046
FS( 165 ),6073604.000000000000000,5242487.810000000521541,11316091.810000000521541
FS( 166 ),6061845.479999999515712,5227028.660000000149012,11288874.140000000596046
FS( 167 ),6071047.799999999813735,5226586.969999999739230,11297634.769999999552965
FS( 168 ),6138531.479999999515712,5292398.780000000260770,11430930.259999999776483
FS( 169 ),6105812.120000000111759,5252646.680000000633299,11358458.800000000745058
FS( 170 ),6039862.160000000149012,5196110.360000000335276,11235972.519999999552965
FS( 171 ),6011232.719999999739230,5143990.939999999478459,11155223.660000000149012
FS( 172 ),6094053.599999999627471,5153708.120000000111759,11247761.719999998807907
FS( 173 ),6053154.400000000372529,5101147.009999999776483,11154301.410000000149012
FS( 174 ),5913074.639999999664724,4950972.410000000149012,10864047.050000000745058
FS( 175 ),5903872.320000000298023,4865726.240000000223517,10769598.560000000521541
FS( 176 ),5965732.359999999403954,4840108.219999999739230,10805840.579999998211861
FS( 177 ),6004075.359999999403954,4958481.140000000596046,10962556.500000000000000
FS( 178 ),5885467.679999999701977,4824649.070000000298023,10710116.750000000000000
FS( 179 ),5962153.679999999701977,4892227.640000000596046,10854381.320000000298023
FS( 180 ),5888535.120000000111759,4826415.830000000074506,10714950.949999999254942
FS( 181 ),6007142.799999999813735,4972615.219999999739230,10979758.019999999552965
FS( 182 ),5919209.519999999552965,5070228.710000000894070,10989438.230000000447035
FS( 183 ),6024524.959999999962747,5013250.700000000186265,11037775.660000000149012
FS( 184 ),6053154.400000000372529,5049910.969999999739230,11103065.370000001043081
FS( 185 ),6094053.599999999627471,5007950.419999999925494,11102004.019999999552965
FS( 186 ),6156936.120000000111759,5033568.439999999478459,11190504.559999998658895
FS( 187 ),6179430.679999999701977,4961572.969999999739230,11141003.649999998509884
FS( 188 ),6256627.919999999925494,4919612.419999999925494,11176240.339999999850988
FS( 189 ),6328201.519999999552965,5086571.240000000223517,11414772.759999999776483
FS( 190 ),6370634.439999999478459,5118814.610000000335276,11489449.050000000745058
FS( 191 ),6336892.599999999627471,5030034.919999999925494,11366927.519999999552965
FS( 192 ),6210105.080000000074506,4980123.950000000186265,11190229.030000001192093
FS( 193 ),6168694.639999999664724,5044169.000000000000000,11212863.640000000596046
FS( 194 ),5899782.400000000372529,4934629.879999999888241,10834412.280000001192093
FS( 195 ),5933013.000000000000000,4859542.580000000074506,10792555.580000000074506
FS( 196 ),5982092.040000000037253,4909895.240000000223517,10891987.280000001192093
FS( 197 ),6009187.759999999776483,4979682.259999999776483,10988870.019999999552965
FS( 198 ),5967777.320000000298023,4886043.980000000447035,10853821.300000000745058
FS( 199 ),6029126.120000000111759,4939046.780000000260770,10968172.900000000372529
FS( 200 ),6093031.120000000111759,5086129.550000000745058,11179160.670000001788139
FS( 201 ),6065424.160000000149012,5225261.900000000372529,11290686.060000000521541
FS( 202 ),5990271.879999999888241,5187718.250000000000000,11177990.129999998956919
FS( 203 ),5957552.519999999552965,5197877.120000000111759,11155429.640000000596046
FS( 204 ),6015833.879999999888241,5356443.830000000074506,11372277.710000000894070
FS( 205 ),5976468.400000000372529,5351143.550000000745058,11327611.950000001117587
FS( 206 ),5984648.240000000223517,5309183.000000000000000,11293831.240000000223517
FS( 207 ),6051620.679999999701977,5353352.000000000000000,11404972.679999999701977
FS( 208 ),5984648.240000000223517,5359093.969999999739230,11343742.210000000894070
FS( 209 ),5991294.359999999403954,5260597.099999999627471,11251891.459999999031425
FS( 210 ),6076160.199999999254942,5374111.430000000633299,11450271.629999998956919
FS( 211 ),6057244.320000000298023,5356443.830000000074506,11413688.150000000372529
FS( 212 ),5965732.359999999403954,5380736.780000000260770,11346469.140000000596046
FS( 213 ),5990783.120000000111759,5379853.400000000372529,11370636.519999999552965
FS( 214 ),5989249.400000000372529,5378086.640000000596046,11367336.040000000968575
FS( 215 ),6054176.879999999888241,5373669.740000000223517,11427846.620000001043081
FS( 216 ),6116548.160000000149012,5348935.099999999627471,11465483.259999999776483
FS( 217 ),6133930.320000000298023,5392662.410000000149012,11526592.730000000447035
FS( 218 ),6214195.000000000000000,5525611.099999999627471,11739806.099999999627471
FS( 219 ),6283212.400000000372529,5530911.379999999888241,11814123.780000001192093
FS( 220 ),6310308.120000000111759,5514568.849999999627471,11824876.969999998807907
FS( 221 ),6314909.279999999329448,5516777.300000000745058,11831686.580000000074506
FS( 222 ),6296504.639999999664724,5500434.770000000484288,11796939.410000000149012
FS( 223 ),6343538.719999999739230,5597164.879999999888241,11940703.599999999627471
FS( 224 ),6329735.240000000223517,5598048.259999999776483,11927783.500000000000000
FS( 225 ),6330246.479999999515712,5654584.580000001005828,11984831.060000000521541
FS( 226 ),6349162.359999999403954,5732763.709999999962747,12081926.070000000298023
FS( 227 ),6303150.759999999776483,5679760.910000000149012,11982911.669999999925494
FS( 228 ),6297015.879999999888241,5694336.679999999701977,11991352.559999998658895
FS( 229 ),6337915.080000000074506,5734530.470000000670552,12072445.550000000745058
FS( 230 ),6433005.719999999739230,5727905.120000000111759,12160910.839999999850988
FS( 231 ),6425337.120000000111759,5693453.300000000745058,12118790.420000001788139
FS( 232 ),6493843.279999999329448,5738505.679999999701977,12232348.959999999031425
FS( 233 ),6521961.479999999515712,5719513.010000000707805,12241474.490000000223517
FS( 234 ),6512247.919999999925494,5611298.960000000894070,12123546.880000000819564
FS( 235 ),6519405.279999999329448,5655026.270000000484288,12174431.550000000745058
FS( 236 ),6551102.159999999217689,5603790.230000000447035,12154892.390000000596046
FS( 237 ),6541899.839999999850988,5551229.120000000111759,12093128.960000000894070
FS( 238 ),6521450.240000000223517,5579938.969999999739230,12101389.210000000894070
FS( 239 ),6524006.439999999478459,5600698.400000000372529,12124704.839999999850988
FS( 240 ),6487197.160000000149012,5643100.640000000596046,12130297.800000000745058
FS( 241 ),6518894.040000000037253,5652817.820000000298023,12171711.859999999403954
FS( 242 ),6532697.519999999552965,5624107.969999999739230,12156805.489999998360872
FS( 243 ),6587400.199999999254942,5645309.089999999850988,12232709.289999999105930
FS( 244 ),6587911.440000000409782,5764123.700000000186265,12352035.140000000596046
FS( 245 ),6572063.000000000000000,5915623.370000000111759,12487686.370000001043081
FS( 246 ),6430960.759999999776483,5872779.440000000409782,12303740.199999999254942
FS( 247 ),6416134.799999999813735,5924457.169999999925494,12340591.969999998807907
FS( 248 ),6516337.839999999850988,5908998.020000000484288,12425335.859999999403954
FS( 249 ),6529118.839999999850988,5929315.760000000707805,12458434.600000001490116
FS( 250 ),6559282.000000000000000,5865712.400000000372529,12424994.400000000372529
FS( 251 ),6539854.879999999888241,5833469.030000000260770,12373323.910000000149012
FS( 252 ),6466747.559999999590218,5816243.120000000111759,12282990.679999999701977
