代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11407665.010000001639128
真實報酬,1407665.010000001639128

夏普值報酬,0.132066501000000
夏普值風險,0.043361689234914
夏普值,3.045695482123054

二次趨勢線,3.022784716171772 x^2 + 12301.338849244739322 x + 10000000.000000000000000
二次平均預期報酬,12682.209723482383197
風險,75102.309145708772121
二次平均趨勢值,0.168865776135820
一次趨勢線,12585.853944541837336 x + 10000000.000000000000000
一次預期報酬,12585.853944541837336
一次風險,75291.432799290210824
一次趨勢值,0.167161833380072
找到最佳解世代,2799
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](21),KO[14](7),MCD[15](1),MMM[16](3),V[25](2),
FS( 108 ),1996983.520000000018626,2177508.660000000149012,2540358.080000000074506,2302814.719999999739230,2417354.629999999888241,11435019.609999999403954
FS( 109 ),1966818.719999999972060,2159327.180000000167638,2531831.389999999664724,2313260.479999999981374,2417354.629999999888241,11388592.399999998509884
FS( 110 ),1991327.620000000111759,2168417.920000000391155,2532667.339999999850988,2324380.160000000149012,2378864.419999999925494,11395657.460000000894070
FS( 111 ),2018098.880000000121072,2168896.379999999888241,2482343.150000000372529,2329546.879999999888241,2352198.000000000000000,11351083.289999999105930
FS( 112 ),2009049.439999999944121,2154542.580000000074506,2504913.799999999813735,2348865.919999999925494,2391946.060000000055879,11409317.800000000745058
FS( 113 ),2001131.179999999934807,2167461.000000000000000,2519292.139999999664724,2358974.719999999739230,2397983.739999999757856,11444842.779999999329448
FS( 114 ),1998114.700000000186265,2165068.700000000186265,2527484.450000000186265,2373351.679999999701977,2369053.189999999944121,11433072.720000000670552
FS( 115 ),1989253.790000000037253,2167939.460000000428408,2541194.030000000260770,2395254.080000000074506,2369053.189999999944121,11462694.550000000745058
FS( 116 ),1986614.370000000111759,2171288.680000000167638,2560420.879999999888241,2396601.919999999925494,2384650.530000000260770,11499576.379999998956919
FS( 117 ),1959654.580000000074506,2182293.260000000242144,2575969.549999999813735,2396601.919999999925494,2374336.159999999683350,11488855.470000000670552
FS( 118 ),1975868.159999999916181,2163633.320000000298023,2570285.089999999850988,2390985.919999999925494,2378361.280000000260770,11479133.769999999552965
FS( 119 ),1964933.419999999925494,2156456.420000000391155,2588174.419999999925494,2383797.439999999944121,2363518.649999999906868,11456880.349999999627471
FS( 120 ),1967572.840000000083819,2165068.700000000186265,2585499.379999999888241,2391435.200000000186265,2404524.560000000055879,11514100.680000001564622
FS( 121 ),1990384.969999999972060,2173680.979999999981374,2574130.459999999962747,2388177.919999999925494,2395468.040000000037253,11521842.370000001043081
FS( 122 ),1987368.489999999990687,2155499.500000000000000,2570117.900000000372529,2356391.359999999869615,2387417.800000000279397,11456795.050000000745058
FS( 123 ),2014705.340000000083819,2168417.920000000391155,2579814.919999999925494,2365826.239999999757856,2420876.609999999869615,11549641.029999999329448
FS( 124 ),1993024.389999999897555,2144973.379999999888241,2560253.689999999478459,2334713.599999999627471,2375342.439999999944121,11408307.499999998137355
FS( 125 ),2003205.010000000009313,2145930.300000000279397,2560755.259999999776483,2338532.479999999981374,2359241.959999999962747,11407665.010000001639128
