代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11560091.969999998807907
真實報酬,1560091.969999998807907

夏普值報酬,0.147309197000000
夏普值風險,0.050112682000664
夏普值,2.939559231694063

二次趨勢線,105.109308967185839 x^2 + 98.124534350162548 x + 10000000.000000000000000
二次平均預期報酬,13447.006773182767574
風險,103416.707688244379824
二次平均趨勢值,0.130027411177307
一次趨勢線,10070.214428181645417 x + 10000000.000000000000000
一次預期報酬,10070.214428181645417
一次風險,214928.271659289835952
一次趨勢值,0.046853838029020
找到最佳解世代,1979
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),HD[9](2),PG[21](13),TRV[22](10),WMT[28](7),
FS( 10 ),1900548.399999999906868,2068013.599999999860302,1976909.659999999916181,1994269.469999999972060,1974576.679999999934807,9914317.810000000521541
FS( 11 ),1947080.800000000046566,2081616.319999999832362,1984014.379999999655411,2022247.940000000176951,2016622.939999999944121,10051582.380000000819564
FS( 12 ),1938413.000000000000000,2072814.559999999823049,1976021.569999999832362,2004719.260000000009313,2022815.800000000046566,10014784.189999999478459
FS( 13 ),1919708.799999999813735,2062812.559999999823049,1970693.029999999562278,2079890.330000000074506,2012711.659999999916181,10045816.379999998956919
FS( 14 ),1932026.199999999953434,2058811.759999999776483,1998519.850000000093132,2115284.780000000260770,2035527.459999999962747,10140170.050000000745058
FS( 15 ),1916515.399999999906868,2044408.879999999888241,1973061.270000000018626,2120678.219999999739230,1940678.919999999925494,9995342.689999999478459
FS( 16 ),1924270.800000000046566,2049609.919999999692664,1983422.319999999832362,2136184.360000000335276,1882987.540000000037253,9976474.939999999478459
FS( 17 ),1947993.200000000186265,2076815.359999999636784,1980165.989999999757856,2150005.049999999813735,1869624.000000000000000,10024603.599999997764826
FS( 18 ),1978102.399999999906868,2075215.039999999804422,1979573.929999999934807,2183376.959999999962747,1921448.459999999962747,10137716.789999999105930
FS( 19 ),1977646.199999999953434,2078415.679999999934807,1907638.639999999664724,2157758.120000000111759,1924055.979999999981374,10045514.619999999180436
FS( 20 ),1966697.399999999906868,2072014.399999999906868,1883956.239999999757856,2168207.910000000149012,1920144.699999999720603,10011020.649999998509884
FS( 21 ),1997719.000000000000000,2093218.639999999897555,1881884.029999999795109,2177646.429999999701977,1925359.739999999990687,10075827.839999999850988
FS( 22 ),1986314.000000000000000,2108821.759999999776483,1894021.259999999776483,2182365.689999999478459,1923404.099999999860302,10094926.809999998658895
FS( 23 ),1998631.400000000139698,2099219.839999999850988,1909710.850000000093132,2182702.780000000260770,1922752.219999999972060,10113017.089999999850988
FS( 24 ),1958485.800000000046566,2078815.759999999776483,1902902.159999999916181,2174275.530000000260770,1913299.959999999962747,10027779.210000000894070
FS( 25 ),1999087.599999999860302,2056011.199999999953434,1902014.069999999832362,2177309.339999999850988,1929271.019999999785796,10063693.229999998584390
FS( 26 ),2020985.199999999720603,2025205.039999999804422,1899349.799999999813735,2170567.540000000037253,1924707.859999999869615,10040815.439999999478459
FS( 27 ),2053831.600000000093132,2004800.959999999729916,1884844.329999999841675,2154724.310000000521541,1924055.979999999981374,10022257.179999999701977
FS( 28 ),2065692.800000000046566,2025205.039999999804422,1898757.739999999757856,2178994.790000000037253,1929271.019999999785796,10097921.390000000596046
FS( 29 ),2078466.400000000139698,2014002.800000000046566,1885140.359999999869615,2178320.610000000335276,1936767.639999999897555,10092697.810000000521541
FS( 30 ),2060674.600000000093132,1995599.119999999878928,1882180.059999999823049,2173601.350000000558794,1925359.739999999990687,10037414.869999999180436
FS( 31 ),2053375.399999999906868,1947189.439999999944121,1886324.479999999748543,2162477.379999999888241,1934486.060000000055879,9983852.759999999776483
FS( 32 ),2056568.799999999813735,1951190.239999999990687,1903198.189999999944121,2144274.519999999552965,1929271.019999999785796,9984502.769999999552965
FS( 33 ),2022353.799999999813735,1881176.239999999990687,1893429.199999999953434,2113599.330000000074506,2010430.079999999841675,9920988.650000000372529
FS( 34 ),1998631.400000000139698,1882376.479999999748543,1880403.879999999888241,2096070.649999999906868,2034875.579999999841675,9892357.990000000223517
FS( 35 ),2025091.000000000000000,1904780.959999999729916,1876555.489999999757856,2113599.330000000074506,2054757.919999999925494,9974784.699999999254942
FS( 36 ),2025091.000000000000000,1930786.159999999683350,1869450.769999999785796,2117644.410000000149012,2077247.779999999795109,10020220.119999999180436
FS( 37 ),2025091.000000000000000,1930786.159999999683350,1846952.489999999757856,2117644.410000000149012,2077247.779999999795109,9997721.839999999850988
FS( 38 ),2027371.999999999767169,1988797.759999999776483,1852281.029999999795109,2130116.740000000223517,2120923.739999999292195,10119491.269999999552965
FS( 39 ),2030109.199999999953434,1977995.599999999860302,1849912.789999999804422,2110228.429999999701977,2128746.299999999813735,10096992.320000000298023
FS( 40 ),2074816.799999999813735,1991598.319999999832362,1863530.169999999925494,2119666.950000000186265,2140806.080000000074506,10190418.320000000298023
FS( 41 ),2062043.200000000186265,1988797.759999999776483,1844880.279999999795109,2086295.040000000037253,2132983.519999999552965,10114999.800000000745058
FS( 42 ),2085309.399999999906868,1973994.800000000046566,1843992.189999999711290,2106520.440000000409782,2145369.239999999292195,10155186.070000000298023
FS( 43 ),2025547.199999999953434,1918783.759999999776483,1822085.969999999739230,2042136.250000000000000,2136568.859999999403954,9945122.039999999105930
FS( 44 ),2026003.399999999906868,1950790.159999999683350,1817645.519999999785796,2035394.450000000186265,2150910.219999999739230,9980743.750000000000000
FS( 45 ),2045620.000000000000000,1957191.439999999944121,1810836.829999999841675,2049552.229999999981374,2134939.160000000149012,9998139.660000000149012
FS( 46 ),2077097.800000000046566,2024404.879999999888241,1829486.719999999739230,2077867.790000000037253,2148954.580000000074506,10157811.769999999552965
FS( 47 ),2081659.800000000046566,2050010.000000000000000,1857905.599999999860302,2086969.219999999972060,2146998.940000000409782,10223543.559999998658895
FS( 48 ),2109488.000000000000000,2094418.879999999888241,1857609.569999999832362,2094722.290000000037253,2223594.839999999850988,10379833.579999998211861
FS( 49 ),2089415.199999999720603,2054410.879999999888241,1851392.939999999711290,2075171.070000000065193,2201104.979999999515712,10271495.070000000298023
FS( 50 ),2115874.799999999813735,2090018.000000000000000,1857905.599999999860302,2087980.489999999990687,2207297.839999999850988,10359076.730000000447035
FS( 51 ),2109031.799999999813735,2039207.839999999850988,1852281.029999999795109,2078204.879999999888241,2186111.739999999292195,10264837.289999999105930
FS( 52 ),2152370.799999999813735,2086817.359999999636784,1870338.859999999869615,2127757.110000000335276,2204364.379999999888241,10441648.509999999776483
FS( 53 ),2148265.000000000000000,2075215.039999999804422,1861457.959999999962747,2137532.719999999739230,2208275.660000000149012,10430746.379999998956919
FS( 54 ),2148721.200000000186265,2093218.639999999897555,1843992.189999999711290,2126071.660000000149012,2220335.440000000409782,10432339.129999998956919
FS( 55 ),2167425.399999999441206,2119223.839999999850988,1841623.949999999953434,2138881.080000000074506,2210231.299999999813735,10477385.570000000298023
FS( 56 ),2177461.799999999813735,2113622.719999999739230,1787746.489999999757856,2152364.679999999701977,2233373.040000000037253,10464568.730000000447035
FS( 57 ),2162407.200000000186265,2050810.159999999683350,1768800.569999999832362,2109554.250000000000000,2206645.959999999962747,10298218.140000000596046
FS( 58 ),2165600.599999999627471,2081216.239999999990687,1771168.809999999823049,2135510.179999999701977,2193608.359999999403954,10347104.189999997615814
FS( 59 ),2130473.200000000186265,2061212.239999999990687,1755775.250000000000000,2095059.379999999888241,2222291.080000000074506,10264811.150000000372529
FS( 60 ),2157845.200000000186265,2075615.119999999878928,1754591.129999999888241,2095059.379999999888241,2235328.679999999701977,10318439.509999999776483
FS( 61 ),2183848.599999999627471,2062412.479999999748543,1775609.259999999776483,2117981.500000000000000,2235654.620000000111759,10375506.459999999031425
FS( 62 ),2181567.599999999627471,2068013.599999999860302,1784786.189999999711290,2118655.679999999701977,2226202.359999999403954,10379225.429999997839332
FS( 63 ),2212589.200000000186265,2120024.000000000000000,1813205.069999999832362,2152027.589999999850988,2272485.839999999850988,10570331.699999999254942
FS( 64 ),2222625.599999999627471,2120824.160000000149012,1811428.889999999664724,2154724.310000000521541,2260426.059999999590218,10570029.019999999552965
FS( 65 ),2216695.000000000000000,2066413.279999999795109,1816461.399999999906868,2161803.200000000186265,2306057.660000000149012,10567430.539999999105930
FS( 66 ),2194797.400000000372529,2084816.959999999729916,1816165.369999999878928,2156072.669999999925494,2316813.679999999701977,10568666.080000000074506
FS( 67 ),2191604.000000000000000,2086417.279999999795109,1814093.159999999916181,2132476.370000000111759,2325940.000000000000000,10550530.809999998658895
FS( 68 ),2189779.200000000186265,2085217.039999999804422,1822085.969999999739230,2126071.660000000149012,2338977.599999999627471,10562131.469999998807907
FS( 69 ),2160582.400000000372529,2089217.839999999850988,1827414.509999999776483,2130790.919999999925494,2350385.500000000000000,10558391.169999999925494
FS( 70 ),2156476.600000000558794,2067213.439999999944121,1817645.519999999785796,2107868.799999999813735,2355274.599999999627471,10504478.960000000894070
FS( 71 ),2162863.399999999441206,2062412.479999999748543,1885732.419999999925494,2098093.190000000409782,2356904.299999999813735,10566005.789999999105930
FS( 72 ),2198447.000000000000000,2084016.800000000046566,1926880.589999999850988,2128094.200000000186265,2385261.080000000074506,10722699.669999999925494
FS( 73 ),2183392.400000000372529,2058411.679999999934807,1918591.750000000000000,2108542.979999999515712,2378742.280000000260770,10647681.089999999850988
FS( 74 ),2251366.200000000186265,2029205.839999999850988,1934577.369999999646097,2134161.820000000298023,2382653.559999999590218,10731964.789999999105930
FS( 75 ),2251366.200000000186265,2036807.359999999636784,1918887.779999999562278,2157421.030000000260770,2374505.059999999590218,10738987.429999999701977
FS( 76 ),2234943.000000000000000,2038807.759999999776483,1921848.079999999841675,2146971.240000000223517,2331480.979999999515712,10674051.059999998658895
FS( 77 ),2216695.000000000000000,2028405.679999999934807,1916223.510000000009313,2113936.419999999925494,2354948.660000000149012,10630209.269999999552965
FS( 78 ),2188866.799999999813735,2038807.759999999776483,1906158.489999999757856,2081238.690000000176951,2341911.059999999590218,10556982.799999998882413
FS( 79 ),2197078.399999999441206,2047209.439999999944121,1895205.379999999655411,2052586.040000000037253,2351363.320000000298023,10543442.580000000074506
FS( 80 ),2203465.200000000186265,2043208.639999999897555,1895205.379999999655411,2055619.849999999860302,2349407.679999999701977,10546906.750000000000000
FS( 81 ),2267789.400000000372529,2116823.359999999403954,1911191.000000000000000,2076856.520000000018626,2401232.139999999664724,10773892.419999998062849
FS( 82 ),2278282.000000000000000,2148829.759999999776483,1926880.589999999850988,2114273.509999999776483,2428937.040000000037253,10897202.899999998509884
FS( 83 ),2271895.200000000186265,2130426.080000000074506,1927176.619999999646097,2130790.919999999925494,2443930.280000000260770,10904219.100000001490116
FS( 84 ),2241786.000000000000000,2087617.519999999785796,1910598.939999999944121,2111913.879999999888241,2426003.580000000074506,10777919.919999998062849
FS( 85 ),2241786.000000000000000,2067613.519999999785796,1894909.350000000093132,2135510.179999999701977,2399602.440000000409782,10739421.489999998360872
FS( 86 ),2234486.799999999813735,2056011.199999999953434,1880107.849999999860302,2119329.860000000335276,2413617.859999999403954,10703553.570000000298023
FS( 87 ),2270526.600000000558794,2092018.399999999906868,1939017.819999999832362,2147645.419999999925494,2429914.859999999403954,10879123.099999999627471
FS( 88 ),2265052.200000000186265,2080416.079999999841675,1948194.750000000000000,2141240.709999999962747,2421114.479999999515712,10856018.219999998807907
FS( 89 ),2272351.400000000372529,2096419.279999999795109,1960331.979999999748543,2136184.360000000335276,2411662.219999999739230,10876949.239999998360872
FS( 90 ),2303373.000000000000000,2112022.399999999441206,1975133.479999999748543,2151016.320000000298023,2422092.299999999813735,10963637.500000000000000
FS( 91 ),2279194.400000000372529,2126425.279999999329448,1975429.510000000009313,2153713.040000000037253,2407099.059999999590218,10941861.289999999105930
FS( 92 ),2265052.200000000186265,2122824.559999999590218,1976613.629999999655411,2156746.849999999627471,2401558.080000000074506,10922795.319999998435378
FS( 93 ),2274632.400000000372529,2113222.639999999664724,1968028.760000000009313,2148319.599999999627471,2392431.759999999776483,10896635.159999998286366
FS( 94 ),2266877.000000000000000,2188837.759999999776483,1975429.510000000009313,2141914.889999999664724,2412314.099999999627471,10985373.259999999776483
FS( 95 ),2276001.000000000000000,2200440.080000000074506,1972765.239999999757856,2148993.780000000260770,2426655.459999999962747,11024855.560000002384186
FS( 96 ),2292424.200000000186265,2252850.559999999590218,1983422.319999999832362,2158432.299999999813735,2351689.259999999776483,11038818.639999998733401
FS( 97 ),2302004.400000000372529,2269653.919999999925494,1983422.319999999832362,2195512.200000000186265,2346474.219999999739230,11097067.059999998658895
FS( 98 ),2301548.200000000186265,2263252.639999999664724,1976021.569999999832362,2212703.790000000037253,2356578.359999999403954,11110104.559999998658895
FS( 99 ),2264596.000000000000000,2253250.639999999664724,1976613.629999999655411,2198883.100000000558794,2328221.580000000074506,11021564.950000001117587
FS( 100 ),2265508.399999999441206,2266053.200000000186265,1978981.869999999646097,2206299.080000000074506,2339303.540000000037253,11056146.089999999850988
FS( 101 ),2243154.599999999627471,2262452.479999999515712,1973949.360000000102445,2184388.229999999515712,2332458.799999999813735,10996403.469999998807907
FS( 102 ),2260946.400000000372529,2278855.759999999776483,1984014.379999999655411,2204613.629999999888241,2350385.500000000000000,11078815.669999999925494
FS( 103 ),2264139.799999999813735,2267253.439999999478459,1986678.649999999906868,2197197.650000000372529,2363097.160000000149012,11078366.699999999254942
FS( 104 ),2264139.799999999813735,2261652.320000000298023,1983126.289999999571592,2185736.589999999850988,2360163.700000000186265,11054818.699999999254942
FS( 105 ),2282844.000000000000000,2274054.799999999813735,1979573.929999999934807,2184388.229999999515712,2371897.540000000037253,11092758.500000000000000
FS( 106 ),2254559.599999999627471,2265253.040000000037253,1979869.959999999729916,2173938.439999999478459,2354948.660000000149012,11028569.699999999254942
FS( 107 ),2256840.599999999627471,2270454.080000000074506,1989046.889999999664724,2182365.689999999478459,2366356.559999999590218,11065063.819999996572733
FS( 108 ),2265508.399999999441206,2272054.399999999441206,1995263.520000000018626,2178994.790000000037253,2396017.099999999627471,11107838.209999999031425
FS( 109 ),2317059.000000000000000,2262052.399999999441206,1992007.189999999944121,2175286.799999999813735,2397320.859999999403954,11143726.250000000000000
FS( 110 ),2365872.400000000372529,2306461.279999999329448,2020130.039999999571592,2202591.089999999850988,2438389.299999999813735,11333444.109999999403954
FS( 111 ),2360398.000000000000000,2290858.160000000149012,2028418.879999999655411,2198208.919999999925494,2406121.239999999292195,11284005.199999999254942
FS( 112 ),2350361.600000000558794,2292458.479999999515712,2028122.850000000093132,2201579.820000000298023,2396017.099999999627471,11268539.849999999627471
FS( 113 ),2352186.400000000372529,2269253.839999999850988,2020722.100000000093132,2256862.580000000074506,2413943.799999999813735,11312968.719999998807907
FS( 114 ),2358573.200000000186265,2282456.479999999515712,2015985.619999999646097,2276750.890000000596046,2414269.739999999292195,11348035.929999999701977
FS( 115 ),2399631.200000000186265,2332466.479999999515712,2039964.049999999813735,2307426.080000000074506,2449145.320000000298023,11528633.129999998956919
FS( 116 ),2388226.200000000186265,2378875.759999999776483,2047364.799999999813735,2311808.250000000000000,2428285.160000000149012,11554560.169999999925494
FS( 117 ),2379102.200000000186265,2356871.359999999403954,2050029.069999999832362,2308437.350000000558794,2411662.219999999739230,11506102.199999999254942
FS( 118 ),2367697.200000000186265,2354870.959999999962747,2049140.979999999748543,2307763.169999999925494,2410358.459999999962747,11489830.769999999552965
FS( 119 ),2404193.200000000186265,2379275.839999999850988,2050325.100000000093132,2300010.100000000558794,2424047.940000000409782,11557852.180000003427267
FS( 120 ),2402368.399999999441206,2371674.320000000298023,2059206.000000000000000,2307426.080000000074506,2436433.660000000149012,11577108.460000000894070
FS( 121 ),2406018.000000000000000,2377275.439999999478459,2055061.579999999841675,2312819.519999999552965,2426655.459999999962747,11577830.000000000000000
FS( 122 ),2414229.599999999627471,2376075.200000000186265,2065126.600000000093132,2306414.810000000521541,2436107.719999999739230,11597953.929999999701977
FS( 123 ),2396894.000000000000000,2389277.839999999850988,2060094.089999999850988,2308437.350000000558794,2420462.599999999627471,11575165.880000000819564
FS( 124 ),2369522.000000000000000,2367273.439999999478459,2051509.219999999739230,2284841.049999999813735,2418181.019999999552965,11491326.729999998584390
FS( 125 ),2398718.799999999813735,2395679.120000000111759,2051509.219999999739230,2306077.719999999739230,2411336.280000000260770,11563321.140000000596046
FS( 126 ),2385032.799999999813735,2415283.040000000037253,2053285.399999999906868,2301021.370000000111759,2405469.359999999403954,11560091.969999998807907
