代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12795712.859999999403954
真實報酬,2795712.859999999403954

夏普值報酬,0.270871286000000
夏普值風險,0.081899422087673
夏普值,3.307365047216480

二次趨勢線,79.509189428549121 x^2 + 14906.678554908110527 x + 10000000.000000000000000
二次平均預期報酬,24924.836422905300424
風險,139560.645089404482860
二次平均趨勢值,0.178595021590350
一次趨勢線,22390.362221240753570 x + 10000000.000000000000000
一次預期報酬,22390.362221240753570
一次風險,197878.365789083414711
一次趨勢值,0.113152148452178
找到最佳解世代,2114
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),BA[2](1),DIS[6](4),
FS( 15 ),3454198.919999999925494,3415168.000000000000000,3352794.060000000055879,10222161.980000000447035
FS( 16 ),3485304.120000000111759,3460995.599999999627471,3365047.320000000298023,10311348.039999999105930
FS( 17 ),3503078.520000000018626,3500528.200000000186265,3342703.140000000130385,10346310.860000001266599
FS( 18 ),3424278.680000000167638,3664701.799999999813735,3369372.000000000000000,10458353.480000000447035
FS( 19 ),3391396.040000000037253,3608550.400000000372529,3388472.669999999925494,10388420.109999999403954
FS( 20 ),3368881.799999999813735,3600996.399999999906868,3382346.040000000037253,10352225.239999998360872
FS( 21 ),3363549.479999999981374,3586392.000000000465661,3340540.800000000279397,10290483.280000001192093
FS( 22 ),3302820.279999999795109,3585888.399999999906868,3329729.100000000093132,10218438.779999999329448
FS( 23 ),3305782.680000000167638,3544089.600000000093132,3312430.379999999888241,10162303.660000000149012
FS( 24 ),3253644.439999999944121,3525708.200000000186265,3365047.320000000298023,10144400.960000000894070
FS( 25 ),3224316.680000000167638,3513621.799999999813735,3331891.440000000409782,10069830.920000001788139
FS( 26 ),3270826.359999999869615,3601500.000000000000000,3403248.660000000149012,10275576.019999999552965
FS( 27 ),3290081.959999999962747,3580600.599999999627471,3401446.709999999962747,10272130.269999999552965
FS( 28 ),3284749.639999999664724,3653370.800000000279397,3410816.850000000093132,10348938.289999999105930
FS( 29 ),3193211.479999999981374,3718838.799999999813735,3422349.330000000074506,10334400.609999999403954
FS( 30 ),3212170.840000000316650,3739738.200000000186265,3520375.410000000149012,10472285.450000001117587
FS( 31 ),3131593.560000000055879,3776752.800000000279397,3529024.770000000018626,10437372.130000000819564
FS( 32 ),3173067.160000000149012,3729414.400000000372529,3521096.190000000409782,10423578.750000000000000
FS( 33 ),3258384.279999999795109,3687363.799999999813735,3572271.570000000298023,10518020.650000000372529
FS( 34 ),3257199.320000000298023,3659414.000000000465661,3581281.320000000298023,10497895.640000000596046
FS( 35 ),3260457.959999999962747,3685097.600000000093132,3540557.250000000000000,10486113.810000000521541
FS( 36 ),3309930.040000000037253,3701968.200000000186265,3518573.459999999962747,10530472.699999999254942
FS( 37 ),3312003.719999999739230,3764918.200000000186265,3521456.580000000074506,10598379.500000000000000
FS( 38 ),3295118.040000000037253,3770457.800000000279397,3541278.030000000260770,10606854.870000001043081
FS( 39 ),3311707.479999999981374,3778011.799999999813735,3561459.870000000111759,10651180.149999998509884
FS( 40 ),3305190.199999999720603,3771213.200000000186265,3566865.720000000204891,10643270.120000001043081
FS( 41 ),3301931.560000000055879,3818299.799999999813735,3592093.020000000018626,10712325.379999998956919
FS( 42 ),3274085.000000000000000,3791105.400000000372529,3572271.570000000298023,10637462.970000000670552
FS( 43 ),3243572.279999999795109,3837184.799999999813735,3565784.550000000279397,10646542.630000000819564
FS( 44 ),3255718.120000000111759,3833659.600000000093132,3549927.390000000130385,10639306.110000001266599
FS( 45 ),3232315.160000000149012,3831393.399999999906868,3602544.330000000074506,10666253.890000000596046
FS( 46 ),3257199.320000000298023,3833407.800000000279397,3627771.629999999888241,10718379.750000000000000
FS( 47 ),3289193.240000000223517,3881249.799999999813735,3675703.500000000000000,10846147.539999999105930
FS( 48 ),3321483.400000000372529,3912724.799999999813735,3725797.709999999962747,10960006.910000000149012
FS( 49 ),3375695.320000000298023,3940422.800000000279397,3779135.430000000167638,11095254.550000000745058
FS( 50 ),3356439.719999999739230,3957293.399999999906868,3750304.229999999981374,11064038.349999999627471
FS( 51 ),3412429.080000000074506,3944703.399999999906868,3742736.040000000037253,11099869.519999999552965
FS( 52 ),3412429.080000000074506,3889559.200000000186265,3749943.839999999850988,11051933.120000001043081
FS( 53 ),3431092.199999999720603,3871933.200000000186265,3762197.100000000093132,11065223.500000000000000
FS( 54 ),3435535.799999999813735,3890314.600000000093132,3744898.379999999888241,11070749.780000001192093
FS( 55 ),3455383.879999999888241,3932617.000000000465661,3794992.589999999850988,11182994.470000000670552
FS( 56 ),3464567.320000000298023,3937904.799999999813735,3800758.830000000074506,11203231.949999999254942
FS( 57 ),3467825.959999999962747,3965351.000000000000000,3804362.729999999981374,11237540.689999999478459
FS( 58 ),3445015.479999999981374,3964847.400000000372529,3799317.270000000018626,11209181.150000000372529
FS( 59 ),3451829.000000000000000,3973660.400000000372529,3789586.740000000223517,11215077.140000000596046
FS( 60 ),3473750.760000000242144,3965351.000000000000000,3790307.520000000018626,11229410.279999999329448
FS( 61 ),3458938.760000000242144,3930602.600000000093132,3758953.589999999850988,11148495.949999999254942
FS( 62 ),3458050.040000000037253,3920278.799999999813735,3768323.729999999981374,11146653.570000000298023
FS( 63 ),3431092.199999999720603,3920027.000000000465661,3756070.470000000204891,11107190.669999999925494
FS( 64 ),3440868.120000000111759,3952509.200000000186265,3823103.010000000242144,11216481.330000000074506
FS( 65 ),3437017.000000000000000,3994056.200000000186265,3872116.050000000279397,11303190.250000000000000
FS( 66 ),3454495.160000000149012,3996322.400000000372529,3869953.709999999962747,11320772.269999999552965
FS( 67 ),3493006.359999999869615,4006142.600000000093132,3927616.110000000335276,11426766.070000000298023
FS( 68 ),3525000.279999999795109,3986502.199999999720603,3905271.930000000167638,11416775.410000000149012
FS( 69 ),3528555.160000000149012,4005387.199999999720603,3905992.709999999962747,11439936.070000000298023
FS( 70 ),3547514.520000000018626,4013696.600000000093132,3944194.050000000279397,11505406.169999999925494
FS( 71 ),3532702.520000000018626,3985746.799999999813735,3875359.560000000055879,11393809.880000000819564
FS( 72 ),3526481.479999999981374,3999344.000000000465661,3894460.229999999981374,11420286.710000000894070
FS( 73 ),3554920.520000000018626,3970135.199999999720603,3891216.720000000204891,11416273.439999999478459
FS( 74 ),3554624.279999999795109,3986502.199999999720603,3898064.129999999888241,11439191.609999999403954
FS( 75 ),3548403.240000000223517,4003624.600000000093132,3866349.810000000055879,11418378.650000000372529
FS( 76 ),3554920.520000000018626,4016970.000000000000000,3880044.629999999888241,11451936.149999998509884
FS( 77 ),3557290.439999999944121,3974415.800000000279397,3860583.570000000298023,11392290.810000000521541
FS( 78 ),3554031.799999999813735,4042653.600000000558794,3888693.990000000223517,11485380.390000000596046
FS( 79 ),3610613.639999999664724,4214129.400000000372529,3893739.450000000186265,11718483.490000000223517
FS( 80 ),3612391.080000000074506,4258446.200000001117587,3894460.229999999981374,11765298.510000001639128
FS( 81 ),3612687.320000000298023,4222690.599999999627471,3939148.589999999850988,11774527.509999999776483
FS( 82 ),3603207.639999999664724,4169057.199999999720603,3998252.550000000279397,11770518.390000000596046
FS( 83 ),3594912.919999999925494,4114920.199999999720603,3987801.240000000223517,11697635.359999999403954
FS( 84 ),3814130.520000000018626,4128769.200000000186265,4011226.589999999850988,11954127.310000000521541
FS( 85 ),3807613.240000000223517,4085711.399999999906868,3986359.680000000167638,11879685.320000000298023
FS( 86 ),3823906.440000000409782,4089236.600000000093132,3975187.589999999850988,11888331.630000000819564
FS( 87 ),3859751.479999999981374,4129021.000000000000000,3948879.120000000111759,11937652.600000001490116
FS( 88 ),3896485.240000000223517,4192474.600000000093132,3928336.890000000130385,12017297.730000000447035
FS( 89 ),3911593.479999999981374,4124740.400000000372529,3928336.890000000130385,11964671.770000001415610
FS( 90 ),3922850.599999999627471,4136575.000000000000000,3945996.000000000000000,12005422.599999999627471
FS( 91 ),3913963.400000000372529,4185676.000000000000000,3937707.030000000260770,12037347.429999999701977
FS( 92 ),3948623.479999999981374,4231000.000000000000000,3951762.240000000223517,12131386.720000000670552
FS( 93 ),3999873.000000000465661,4242834.599999999627471,3976268.760000000242144,12218977.359999999403954
FS( 94 ),4014388.759999999776483,4262978.599999999627471,3970862.910000000149012,12248231.269999999552965
FS( 95 ),4009648.919999999925494,4301000.400000000372529,3989963.580000000074506,12300613.900000000372529
FS( 96 ),4020609.799999999813735,4348842.400000000372529,3966538.229999999981374,12335991.429999999701977
FS( 97 ),4049641.319999999832362,4420605.400000000372529,3964736.280000000260770,12434984.000000000000000
FS( 98 ),4061787.160000000614673,4415569.400000000372529,3968700.570000000298023,12446058.130000000819564
FS( 99 ),4044605.240000000223517,4453339.400000000372529,3954645.360000000335276,12452591.000000000000000
FS( 100 ),4048456.359999999869615,4467943.800000000745058,3975908.370000000111759,12492309.530000001192093
FS( 101 ),4056454.840000000316650,4518052.000000000000000,3972664.860000000335276,12547172.699999999254942
FS( 102 ),4058232.280000000260770,4538196.000000000000000,3967619.400000000372529,12564048.680000001564622
FS( 103 ),4141179.479999999981374,4630858.400000000372529,4001856.450000000186265,12773895.330000001937151
FS( 104 ),4116591.560000000055879,4607692.800000000745058,3985638.900000000372529,12709924.260000001639128
FS( 105 ),4140883.240000000223517,4587297.000000000000000,4009064.250000000000000,12737245.490000000223517
FS( 106 ),4127848.680000000167638,4555822.000000000000000,3988522.020000000018626,12672193.699999999254942
FS( 107 ),4133181.000000000465661,4583268.200000001117587,3995369.430000000167638,12711819.630000000819564
FS( 108 ),4117776.520000000018626,4576217.800000000745058,3994648.650000000372529,12688643.970000000670552
FS( 109 ),4108296.840000000316650,4546757.199999999254942,4001496.060000000055879,12656551.099999999627471
FS( 110 ),4121923.879999999422580,4499670.599999999627471,3997531.770000000018626,12619127.249999998137355
FS( 111 ),4123701.319999999832362,4508483.599999999627471,4019155.169999999925494,12651341.089999999850988
FS( 112 ),4117480.280000000260770,4500426.000000000000000,4047625.979999999981374,12665533.260000001639128
FS( 113 ),4161027.560000000055879,4499922.400000000372529,4031768.820000000298023,12692719.780000001192093
FS( 114 ),4167841.080000000074506,4486828.800000000745058,4026002.580000000074506,12680673.460000000894070
FS( 115 ),4147104.280000000260770,4534922.599999999627471,4027804.530000000260770,12709832.410000000149012
FS( 116 ),4190651.560000000055879,4517044.799999998882413,4062041.580000000074506,12769738.939999999478459
FS( 117 ),4142660.680000000167638,4430677.400000000372529,4027444.140000000130385,12600783.220000000670552
FS( 118 ),4189466.599999999627471,4456361.000000000000000,4039337.010000000242144,12685165.609999999403954
FS( 119 ),4174654.599999999627471,4463411.400000000372529,4045103.250000000000000,12683170.250000000000000
FS( 120 ),4166359.879999999422580,4427152.199999999254942,4041499.350000000093132,12635012.429999997839332
FS( 121 ),4173469.639999999664724,4434202.599999999627471,4050148.709999999962747,12657821.949999999254942
FS( 122 ),4259971.720000000670552,4465929.400000000372529,4074294.839999999850988,12800196.960000000894070
FS( 123 ),4269451.400000000372529,4472728.000000000000000,4055554.560000000055879,12797734.960000000894070
FS( 124 ),4263822.839999999850988,4481541.000000000000000,4078979.910000000149012,12824344.750000000000000
FS( 125 ),4255824.359999999403954,4453339.400000000372529,4086548.100000000093132,12795712.859999999403954
