代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11455728.719999998807907
真實報酬,1455728.719999998807907

夏普值報酬,0.136872872000000
夏普值風險,0.039069176088859
夏普值,3.503346773648244

二次趨勢線,74.256798530904561 x^2 + 1266.900124980995315 x + 10000000.000000000000000
二次平均預期報酬,10623.256739874970663
風險,94950.553414380818140
二次平均趨勢值,0.111881988654802
一次趨勢線,8256.210345270346807 x + 10000000.000000000000000
一次預期報酬,8256.210345270346807
一次風險,161802.982066120370291
一次趨勢值,0.051026317561295
找到最佳解世代,2716
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](1),KO[14](7),TRV[22](10),UNH[23](9),VZ[26](3),WMT[28](6),
FS( 32 ),1807183.919999999925494,1636251.279999999795109,1679379.849999999860302,1773480.399999999906868,1596191.680000000167638,1713904.750000000000000,10206395.879999998956919
FS( 33 ),1816319.760000000009313,1641003.579999999841675,1690963.580000000074506,1769919.919999999925494,1613390.770000000251457,1726059.750000000000000,10257661.359999999403954
FS( 34 ),1808489.040000000037253,1635300.819999999832362,1674576.840000000083819,1790635.439999999944121,1614649.240000000223517,1659483.500000000000000,10183138.880000000819564
FS( 35 ),1795437.840000000083819,1645755.880000000121072,1665253.349999999860302,1786103.919999999925494,1602903.520000000251457,1618874.750000000000000,10114333.259999999776483
FS( 36 ),1804573.679999999934807,1643854.959999999962747,1665818.410000000149012,1778335.599999999860302,1599547.600000000325963,1617217.250000000000000,10109351.500000000000000
FS( 37 ),1797178.000000000000000,1639577.889999999897555,1655647.330000000074506,1801316.879999999888241,1599967.090000000316650,1624123.500000000000000,10117814.689999999478459
FS( 38 ),1811534.320000000065193,1635776.050000000046566,1655647.330000000074506,1803906.319999999832362,1599547.600000000325963,1615007.250000000000000,10121422.869999999180436
FS( 39 ),1824150.479999999981374,1635776.050000000046566,1649996.729999999981374,1807466.800000000046566,1600386.580000000074506,1627991.000000000000000,10145771.640000000596046
FS( 40 ),1826760.720000000204891,1660012.779999999795109,1637847.939999999944121,1804553.679999999934807,1598708.620000000111759,1632134.750000000000000,10160022.489999998360872
FS( 41 ),1844162.320000000065193,1653834.789999999804422,1650561.790000000037253,1812322.000000000000000,1612132.300000000279397,1624952.250000000000000,10197969.450000001117587
FS( 42 ),1842857.199999999953434,1643854.959999999962747,1638978.060000000055879,1807466.800000000046566,1622200.060000000288710,1630201.000000000000000,10185562.080000000074506
FS( 43 ),1857648.560000000055879,1645280.649999999674037,1652822.030000000027940,1781572.399999999906868,1636043.230000000214204,1640974.750000000000000,10214345.620000001043081
FS( 44 ),1827195.760000000009313,1633875.130000000121072,1610160.000000000000000,1762798.959999999962747,1623039.040000000037253,1629096.000000000000000,10086168.890000000596046
FS( 45 ),1816319.760000000009313,1634825.589999999850988,1606769.639999999897555,1760533.199999999953434,1630589.860000000102445,1653682.250000000000000,10102724.299999998882413
FS( 46 ),1828065.840000000083819,1646231.109999999869615,1613267.830000000074506,1800022.159999999916181,1645272.010000000242144,1651196.000000000000000,10184058.950000001117587
FS( 47 ),1837636.720000000204891,1651933.869999999878928,1627676.860000000102445,1805524.719999999972060,1640238.130000000353903,1659759.750000000000000,10222774.050000000745058
FS( 48 ),1841987.120000000111759,1667141.229999999748543,1627676.860000000102445,1780925.040000000037253,1649466.910000000149012,1676334.750000000000000,10243535.910000000149012
FS( 49 ),1914638.799999999813735,1669517.380000000121072,1650279.260000000009313,1790959.119999999878928,1656178.750000000000000,1685174.750000000000000,10366752.059999998658895
FS( 50 ),1891581.679999999934807,1668566.919999999925494,1665535.880000000121072,1805524.719999999972060,1655759.260000000242144,1687384.750000000000000,10374357.209999999031425
FS( 51 ),1891146.639999999897555,1671418.300000000046566,1669208.770000000018626,1803258.959999999962747,1658695.690000000176951,1691528.500000000000000,10385260.859999999403954
FS( 52 ),1878965.520000000018626,1667141.229999999748543,1672599.130000000121072,1799374.800000000046566,1659954.160000000149012,1680754.750000000000000,10358793.589999999850988
FS( 53 ),1889841.520000000018626,1672843.989999999990687,1670338.889999999897555,1816853.520000000018626,1663310.080000000074506,1677992.250000000000000,10391184.250000000000000
FS( 54 ),1881140.720000000204891,1677596.289999999804422,1671469.010000000009313,1773156.719999999972060,1662471.100000000325963,1674124.750000000000000,10339962.589999999850988
FS( 55 ),1882445.840000000083819,1689952.270000000018626,1653104.560000000055879,1746938.639999999897555,1668763.450000000186265,1673019.750000000000000,10314228.509999999776483
FS( 56 ),1883315.919999999925494,1697080.719999999972060,1637847.939999999944121,1744025.520000000018626,1663729.570000000065193,1675506.000000000000000,10301509.669999999925494
FS( 57 ),1898977.359999999869615,1698506.409999999916181,1644346.130000000121072,1736904.559999999823049,1653661.810000000288710,1678268.500000000000000,10310668.769999999552965
FS( 58 ),1930735.280000000027940,1708486.239999999990687,1662710.580000000074506,1783514.479999999981374,1649886.400000000139698,1690699.750000000000000,10426036.730000000447035
FS( 59 ),1920729.359999999869615,1708011.009999999776483,1652256.969999999972060,1794195.919999999925494,1621780.570000000065193,1687661.000000000000000,10384638.830000000074506
FS( 60 ),1892886.799999999813735,1726544.979999999748543,1660450.340000000083819,1794519.599999999860302,1605000.970000000204891,1690423.500000000000000,10369830.189999999478459
FS( 61 ),1871134.799999999813735,1754108.319999999832362,1657059.979999999981374,1880942.159999999916181,1597030.660000000149012,1680202.250000000000000,10440482.169999999925494
FS( 62 ),1904632.880000000121072,1758860.619999999878928,1672599.130000000121072,1907807.599999999860302,1603742.500000000000000,1690699.750000000000000,10538346.480000000447035
FS( 63 ),1907243.120000000111759,1761712.000000000000000,1676272.020000000018626,1913633.839999999850988,1615907.710000000428408,1695119.750000000000000,10569892.440000001341105
FS( 64 ),1883315.919999999925494,1752682.630000000121072,1674859.370000000111759,1922696.879999999888241,1613390.770000000251457,1675506.000000000000000,10522455.570000000298023
FS( 65 ),1867654.479999999981374,1745554.179999999701977,1673164.189999999944121,1911691.760000000009313,1610454.340000000316650,1664732.250000000000000,10473255.199999999254942
FS( 66 ),1874180.079999999841675,1746029.409999999916181,1663558.170000000158325,1910073.359999999869615,1579831.570000000065193,1676058.500000000000000,10449735.089999999850988
FS( 67 ),1831981.199999999953434,1731772.509999999776483,1640108.179999999934807,1881913.199999999953434,1571441.770000000251457,1661141.000000000000000,10318361.859999999403954
FS( 68 ),1783256.720000000204891,1711337.619999999878928,1631632.280000000027940,1863139.760000000009313,1543755.430000000167638,1655616.000000000000000,10188741.810000000521541
FS( 69 ),1799788.239999999990687,1713713.770000000018626,1643498.540000000037253,1878029.040000000037253,1568085.850000000325963,1652024.750000000000000,10255144.189999999478459
FS( 70 ),1833721.359999999869615,1716089.919999999925494,1669773.830000000074506,1892270.959999999962747,1575217.180000000167638,1661417.250000000000000,10348494.500000000000000
FS( 71 ),1820670.160000000149012,1709436.699999999953434,1642085.889999999897555,1879000.079999999841675,1563051.970000000204891,1651196.000000000000000,10265444.800000000745058
FS( 72 ),1812404.399999999906868,1721317.449999999953434,1671469.010000000009313,1856666.159999999916181,1570183.300000000279397,1673572.250000000000000,10305616.570000000298023
FS( 73 ),1856778.479999999981374,1757434.929999999701977,1694919.000000000000000,1880618.479999999981374,1583187.490000000223517,1709208.500000000000000,10482150.880000000819564
FS( 74 ),1848512.720000000204891,1762662.459999999962747,1680227.439999999944121,1855371.439999999944121,1579831.570000000065193,1714457.250000000000000,10441066.880000000819564
FS( 75 ),1830676.079999999841675,1754108.319999999832362,1743231.630000000121072,1900362.959999999962747,1600386.580000000074506,1705893.500000000000000,10534663.070000000298023
FS( 76 ),1842422.160000000149012,1761712.000000000000000,1772897.280000000027940,1926257.359999999869615,1624717.000000000000000,1725231.000000000000000,10653240.800000000745058
FS( 77 ),1827630.799999999813735,1751256.939999999944121,1777417.760000000009313,1915899.599999999860302,1618005.160000000149012,1644842.250000000000000,10535056.509999999776483
FS( 78 ),1835026.479999999981374,1761236.770000000018626,1790414.139999999897555,1900686.639999999897555,1657017.730000000214204,1595946.000000000000000,10540331.759999999776483
FS( 79 ),1857648.560000000055879,1780721.199999999953434,1801997.870000000111759,1905541.839999999850988,1656178.750000000000000,1584619.750000000000000,10586711.969999998807907
FS( 80 ),1886361.199999999953434,1798779.939999999944121,1829968.339999999850988,1889357.839999999850988,1683865.090000000316650,1628543.500000000000000,10716879.910000000149012
FS( 81 ),1885926.160000000149012,1821115.750000000000000,1808496.060000000288710,1874468.559999999823049,1687640.500000000000000,1630753.500000000000000,10708404.530000001192093
FS( 82 ),1875485.199999999953434,1813512.069999999832362,1817254.489999999757856,1817500.879999999888241,1693932.850000000325963,1627438.500000000000000,10645127.990000000223517
FS( 83 ),1905067.919999999925494,1828244.199999999953434,1825165.329999999841675,1849221.520000000018626,1701483.670000000391155,1631858.500000000000000,10741045.140000000596046
FS( 84 ),1894191.919999999925494,1833471.729999999748543,1829120.749999999767169,1834008.559999999823049,1703161.630000000353903,1630201.000000000000000,10724159.589999999850988
FS( 85 ),1905938.000000000000000,1840124.949999999953434,1829403.280000000027940,1803582.639999999897555,1704839.590000000316650,1629648.500000000000000,10713540.960000000894070
FS( 86 ),1867654.479999999981374,1829669.889999999897555,1822340.030000000027940,1771214.639999999897555,1688898.970000000204891,1621637.250000000000000,10601419.259999999776483
FS( 87 ),1906373.040000000037253,1836323.109999999869615,1824882.800000000046566,1788369.679999999934807,1700225.200000000186265,1635173.500000000000000,10691351.330000000074506
FS( 88 ),1927254.959999999962747,1832996.500000000000000,1819232.199999999953434,1806819.439999999944121,1701064.180000000167638,1631306.000000000000000,10718677.279999999329448
FS( 89 ),1958577.840000000083819,1824442.359999999869615,1805953.290000000037253,1787398.639999999897555,1688479.480000000214204,1630753.500000000000000,10695609.109999999403954
FS( 90 ),1969888.880000000121072,1839649.719999999972060,1826295.449999999953434,1789664.399999999906868,1701064.180000000167638,1635173.500000000000000,10761740.129999998956919
FS( 91 ),1982070.000000000000000,1841075.409999999916181,1825730.390000000130385,1786751.280000000027940,1726653.070000000065193,1641527.250000000000000,10803811.400000000372529
FS( 92 ),1965103.440000000176951,1826818.509999999776483,1821774.970000000204891,1785456.559999999823049,1715326.840000000316650,1631858.500000000000000,10746342.820000000298023
FS( 93 ),1958142.799999999813735,1819214.829999999841675,1812451.480000000214204,1778335.599999999860302,1722038.680000000167638,1639593.500000000000000,10729780.890000000596046
FS( 94 ),1961188.079999999841675,1813987.300000000046566,1797194.860000000102445,1777040.879999999888241,1714907.350000000325963,1635173.500000000000000,10699495.970000000670552
FS( 95 ),1928560.079999999841675,1784998.270000000018626,1771484.630000000121072,1776393.520000000018626,1735462.360000000102445,1703959.750000000000000,10700862.609999999403954
FS( 96 ),1905938.000000000000000,1759811.079999999841675,1756793.070000000065193,1747586.000000000000000,1742174.200000000186265,1724678.500000000000000,10636984.850000001490116
FS( 97 ),1931170.320000000065193,1770741.369999999878928,1771484.630000000121072,1798080.079999999841675,1734203.890000000363216,1741529.750000000000000,10747214.040000000968575
FS( 98 ),1931170.320000000065193,1763137.689999999944121,1774874.989999999990687,1803582.639999999897555,1736301.340000000316650,1760591.000000000000000,10769661.980000000447035
FS( 99 ),1931170.320000000065193,1763137.689999999944121,1774874.989999999990687,1803582.639999999897555,1736301.340000000316650,1760591.000000000000000,10769661.980000000447035
FS( 100 ),1933345.520000000018626,1795453.329999999841675,1785328.599999999860302,1819766.639999999897555,1736301.340000000316650,1797608.499999999767169,10867807.929999999701977
FS( 101 ),1935955.760000000009313,1787849.649999999674037,1768659.330000000074506,1816529.839999999850988,1738818.280000000260770,1804238.500000000000000,10852055.359999999403954
FS( 102 ),1978589.679999999934807,1793077.179999999701977,1776570.170000000158325,1817500.879999999888241,1751402.980000000214204,1814459.750000000232831,10931604.639999998733401
FS( 103 ),1966408.560000000055879,1783572.579999999841675,1748599.699999999953434,1818148.239999999990687,1737559.810000000288710,1807829.750000000000000,10862122.640000000596046
FS( 104 ),1988595.600000000093132,1775968.899999999674037,1765551.500000000000000,1805201.040000000037253,1746788.590000000316650,1818327.249999999767169,10900436.880000000819564
FS( 105 ),1931605.359999999869615,1737000.039999999804422,1711588.270000000018626,1781572.399999999906868,1721199.700000000186265,1810868.500000000000000,10693838.269999999552965
FS( 106 ),1932040.399999999906868,1749831.250000000000000,1705937.670000000158325,1777364.559999999823049,1734203.890000000363216,1823023.499999999767169,10722405.269999999552965
FS( 107 ),1950747.120000000111759,1740326.649999999674037,1717803.929999999934807,1813940.399999999906868,1728331.030000000260770,1809487.250000000000000,10760640.379999998956919
FS( 108 ),1980764.880000000121072,1773117.520000000018626,1741536.449999999953434,1867671.280000000027940,1752241.960000000428408,1821366.000000000232831,10936702.090000001713634
FS( 109 ),1985115.280000000027940,1765038.609999999869615,1749164.760000000009313,1859579.280000000027940,1746788.590000000316650,1819708.500000000232831,10925399.019999999552965
FS( 110 ),2011652.720000000204891,1787849.649999999674037,1755662.949999999953434,1877381.679999999934807,1780347.790000000037253,1884627.250000000000000,11097526.039999999105930
FS( 111 ),1992510.959999999962747,1774067.979999999748543,1739276.210000000195578,1859902.959999999962747,1785381.670000000391155,1865566.000000000000000,11016709.779999999329448
FS( 112 ),2017743.280000000027940,1786899.189999999944121,1750012.349999999860302,1872202.800000000046566,1801322.290000000037253,1870814.750000000000000,11098998.660000000149012
FS( 113 ),2011217.679999999934807,1775018.439999999944121,1741818.979999999981374,1877705.359999999869615,1803419.740000000223517,1852858.499999999767169,11062042.699999999254942
FS( 114 ),2052546.479999999981374,1799730.399999999674037,1783350.889999999897555,1917841.679999999934807,1835300.980000000214204,1868328.499999999767169,11257102.929999999701977
FS( 115 ),2048631.120000000111759,1808284.539999999804422,1791544.260000000009313,1906512.879999999888241,1826911.180000000167638,1871643.500000000000000,11253531.480000000447035
FS( 116 ),2049066.160000000149012,1805433.159999999916181,1781938.239999999990687,1923344.239999999990687,1838237.410000000149012,1881864.750000000232831,11279887.960000000894070
FS( 117 ),2066902.799999999813735,1799730.399999999674037,1792674.380000000121072,1950533.359999999869615,1834462.000000000000000,1873301.000000000000000,11317607.939999999478459
FS( 118 ),2076473.679999999934807,1795453.329999999841675,1803975.580000000074506,1929170.479999999981374,1816423.930000000167638,1892914.750000000000000,11314415.750000000000000
FS( 119 ),2062117.359999999869615,1774543.209999999962747,1768094.270000000018626,1888386.800000000046566,1817682.400000000139698,1870262.250000000000000,11181090.289999999105930
FS( 120 ),2065162.639999999897555,1780721.199999999953434,1789849.080000000074506,1912015.439999999944121,1843690.780000000260770,1859212.250000000000000,11250655.390000000596046
FS( 121 ),2031664.560000000055879,1776919.359999999869615,1755945.479999999981374,1867347.599999999860302,1831106.080000000074506,1883522.250000000232831,11146509.330000000074506
FS( 122 ),2057766.959999999962747,1784047.809999999823049,1755945.479999999981374,1903276.079999999841675,1839076.390000000363216,1894572.250000000000000,11234688.970000000670552
FS( 123 ),2082564.239999999990687,1813987.300000000046566,1775157.520000000018626,1919136.399999999906868,1836559.450000000186265,1894848.500000000000000,11322257.410000000149012
FS( 124 ),2080389.040000000037253,1819214.829999999841675,1775722.580000000074506,1929170.479999999981374,1844529.760000000242144,1886837.250000000000000,11335867.939999999478459
FS( 125 ),2109971.759999999776483,1858183.689999999944121,1803693.050000000046566,1893565.679999999934807,1864245.790000000037253,1926064.750000000000000,11455728.719999998807907
