代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10987494.279999999329448
真實報酬,987494.279999999329448

夏普值報酬,0.090049428000000
夏普值風險,0.026771851950571
夏普值,3.363586059203432

預期報酬,17661.384253689629986
風險,123492.254380844693515
趨勢值,0.143016129572165
找到最佳解世代,1939
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](2),JNJ[12](4),MCD[15](1),PG[21](5),WMT[28](30),
20151021,2135245.770000000484288,2091694.719999999972060,2081394.980000000214204,2045870.000000000000000,1808761.000000000000000,10162966.470000000670552
20151022,2153601.790000000037253,2132400.320000000298023,2250477.320000000298023,2080897.999999999767169,1816780.699999999953434,10434158.129999998956919
20151023,2157931.040000000037253,2149111.040000000037253,2285389.880000000353903,2141502.000000000000000,1798273.699999999953434,10532207.660000000149012
20151026,2164857.839999999850988,2141184.160000000149012,2277067.700000000186265,2154290.000000000000000,1789637.100000000093132,10527036.799999998882413
20151027,2155506.660000000149012,2146540.160000000149012,2266106.780000000260770,2148730.000000000000000,1772980.799999999813735,10489864.400000002235174
20151028,2144250.610000000335276,2152753.120000000111759,2292494.180000000167638,2127046.000000000000000,1777916.000000000000000,10494459.910000000149012
20151029,2140960.379999999888241,2171820.479999999981374,2285998.820000000298023,2141224.000000000000000,1787786.399999999906868,10527790.080000000074506
20151030,2141133.549999999813735,2164536.320000000298023,2278488.560000000055879,2123432.000000000000000,1765578.000000000000000,10473168.429999999701977
20151102,2154467.639999999664724,2188959.680000000167638,2275646.839999999850988,2129548.000000000000000,1776990.649999999906868,10525612.810000000521541
20151103,2176113.889999999664724,2184460.640000000130385,2275037.899999999906868,2142058.000000000000000,1792413.149999999906868,10570083.580000000074506
20151104,2171265.129999999888241,2184032.160000000149012,2281533.260000000242144,2142336.000000000000000,1800432.849999999860302,10579599.400000000372529
20151105,2177152.910000000149012,2192387.520000000018626,2290667.359999999869615,2123710.000000000000000,1807835.649999999906868,10591753.439999999478459
20151106,2181655.330000000074506,2183603.680000000167638,2300004.439999999944121,2100914.000000000000000,1813079.300000000046566,10579256.750000000000000
20151109,2156026.169999999925494,2160465.760000000242144,2292291.200000000186265,2096188.000000000232831,1804134.250000000000000,10509105.380000000819564
20151110,2169187.089999999850988,2173534.400000000372529,2298177.620000000111759,2106474.000000000000000,1809994.800000000046566,10557367.910000000149012
20151111,2159662.740000000223517,2182318.240000000223517,2310965.359999999869615,2111756.000000000000000,1776065.299999999813735,10540767.640000000596046
20151112,2144077.440000000409782,2148254.080000000074506,2275646.839999999850988,2075616.000000000000000,1756632.949999999953434,10400227.309999998658895
20151113,2078099.670000000158325,2139898.720000000204891,2232209.120000000111759,2056155.999999999767169,1740285.100000000093132,10246648.609999999403954
20151116,2092645.950000000186265,2168606.879999999888241,2254333.939999999944121,2093408.000000000000000,1785010.349999999860302,10394005.119999999180436
20151117,2185118.730000000447035,2174605.600000000093132,2251898.180000000167638,2087013.999999999767169,1848242.600000000093132,10546879.109999999403954
20151118,2191352.850000000558794,2199671.680000000167638,2284172.000000000000000,2110088.000000000000000,1879396.050000000046566,10664680.580000001937151
20151119,2196894.290000000037253,2195815.359999999869615,2299801.459999999962747,2118984.000000000000000,1872301.699999999953434,10683796.809999998658895
20151120,2254906.240000000223517,2195601.120000000111759,2312183.239999999757856,2107864.000000000000000,1852869.349999999860302,10723423.949999999254942
20151123,2294562.169999999925494,2201814.080000000074506,2323550.120000000111759,2112034.000000000000000,1858729.899999999906868,10790690.270000001415610
20151124,2313610.870000000111759,2186174.560000000055879,2319693.500000000000000,2125378.000000000000000,1848242.600000000093132,10793099.529999999329448
20151125,2331793.720000000670552,2184460.640000000130385,2322129.260000000242144,2110088.000000000000000,1858113.000000000000000,10806584.620000001043081
20151127,2333352.250000000000000,2193244.479999999981374,2318678.600000000093132,2104528.000000000000000,1847317.250000000000000,10797120.580000000074506
20151130,2318459.629999999888241,2169035.359999999869615,2317257.739999999757856,2080620.000000000000000,1814930.000000000000000,10700302.730000000447035
20151201,2327983.980000000447035,2193030.240000000223517,2323144.160000000149012,2111200.000000000000000,1819556.750000000000000,10774915.130000000819564
20151202,2317247.440000000409782,2186388.799999999813735,2308326.620000000111759,2107030.000000000000000,1799815.949999999953434,10718808.809999998658895
20151203,2267374.480000000447035,2159394.560000000055879,2301628.280000000260770,2105640.000000000000000,1821099.000000000000000,10655136.320000000298023
20151204,2329715.680000000633299,2205670.400000000372529,2358665.660000000149012,2163742.000000000000000,1840222.899999999906868,10898016.640000002458692
20151207,2319325.480000000447035,2213597.279999999795109,2363131.220000000204891,2178754.000000000000000,1866132.699999999953434,10940940.679999999701977
20151208,2317766.950000000186265,2194315.680000000167638,2365364.000000000000000,2161518.000000000000000,1838680.649999999906868,10877645.280000001192093
20151209,2284171.970000000670552,2188531.200000000186265,2366378.899999999906868,2160128.000000000000000,1823875.050000000046566,10823085.120000001043081
20151210,2295254.849999999627471,2199028.959999999962747,2378963.660000000149012,2162630.000000000000000,1837138.400000000139698,10873015.869999999180436
20151211,2258889.150000000372529,2178461.920000000391155,2356229.899999999906868,2162352.000000000000000,1830969.399999999906868,10786902.370000001043081
20151214,2286076.839999999850988,2188531.200000000186265,2359883.540000000037253,2176530.000000000000000,1862739.750000000000000,10873761.330000000074506
20151215,2273608.599999999627471,2230950.720000000204891,2373483.200000000186265,2215172.000000000000000,1839606.000000000000000,10932820.519999999552965
20151216,2301488.970000000670552,2254945.600000000093132,2391954.380000000353903,2251590.000000000000000,1859963.699999999953434,11059942.650000000372529
20151217,2274647.620000000111759,2220452.959999999962747,2385053.060000000055879,2232130.000000000000000,1819248.299999999813735,10931531.940000001341105
20151218,2256291.599999999627471,2184246.400000000372529,2368002.739999999757856,2172082.000000000000000,1815238.449999999953434,10795861.189999999478459
20151221,2273954.940000000409782,2176319.520000000018626,2388909.680000000167638,2194878.000000000000000,1836829.949999999953434,10870892.089999999850988
20151222,2283825.629999999888241,2200528.640000000130385,2389518.620000000111759,2212948.000000000000000,1867366.500000000000000,10954187.390000000596046
20151223,2305125.540000000037253,2217239.359999999869615,2411440.459999999962747,2221844.000000000000000,1884331.250000000000000,11039980.609999999403954
20151224,2301488.970000000670552,2222166.879999999888241,2406771.919999999925494,2218230.000000000000000,1876311.549999999813735,11024969.320000000298023
20151228,2297679.230000000447035,2211454.879999999888241,2410425.560000000055879,2221844.000000000000000,1873843.949999999953434,11015247.619999999180436
20151229,2315342.570000000298023,2228808.320000000298023,2437218.919999999925494,2234076.000000000000000,1900370.649999999906868,11115816.460000000894070
20151230,2309281.620000000111759,2223452.320000000298023,2424228.200000000186265,2226014.000000000000000,1902529.800000000046566,11085505.940000001341105
20151231,2290232.919999999925494,2200742.879999999888241,2398043.780000000260770,2207666.000000000000000,1890808.699999999953434,10987494.279999999329448
